,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,CLE,NBA,C,18,1,6.1,0.7,1.6,0.414,0.0,0.0,,0.7,1.6,0.414,0.414,0.1,0.3,0.2,0.3,0.7,0.9,0.3,0.1,0.6,0.7,1.1,1.4,109,5.9,14.1,0.414,0.0,0.0,,5.9,14.1,0.414,0.5,2.4,0.2,2.4,5.9,8.3,2.4,0.5,4.9,5.9,9.3,12.2,67,107,109,3.2,0.401,0.0,0.172,5.4,12.8,9.2,7.3,0.5,6.7,27.8,18.2,-0.4,0.1,-0.3,-0.124,-9.4,-0.2,-9.5,-0.2,82.0,19855.0,2948.0,6582.0,0.448,387.0,1026.0,0.377,2561.0,5556.0,0.461,1529.0,1980.0,0.772,968.0,2483.0,3451.0,1891.0,572.0,470.0,1196.0,1752.0,7812.0,82.0,19855.0,3053.0,6678.0,0.457,473.0,1200.0,0.394,2580.0,5478.0,0.471,1506.0,2014.0,0.748,928.0,2382.0,3310.0,1989.0,602.0,459.0,1063.0,1638.0,8085.0,29,53,31,51,-3.33,-0.19,-3.52,104.6,108.2,90.3,0.301,0.156,0.477,13.8,28.9,0.232,0.493,12.3,72.8,0.226,Gund Arena,596115,18,6.1,-5.06,-1.61,-6.67,-0.28,207,109,-7.940416604,-1.303117719,-9.243534323,-0.364952832,-0.364952832,0.0,-7.591868615,-2.489928785,-10.0817974,0.974884623,18,8,10,6.1,100.9,0.7,10.4,16.0,0.1,6.7,0.6,55.6,2.3,1.4,1.7,4.4,0.021,0.0
1,2002-03,2003,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,CLE,NBA,PF,80,1,11.8,0.7,1.9,0.351,0.0,0.0,,0.7,1.9,0.351,0.351,0.1,0.4,0.367,0.8,1.9,2.7,0.5,0.4,1.0,0.7,1.9,1.5,943,2.9,8.3,0.351,0.0,0.0,,2.9,8.3,0.351,0.6,1.6,0.367,3.4,8.2,11.6,2.3,1.8,4.4,3.0,8.0,6.4,74,102,943,6.7,0.356,0.0,0.195,7.3,18.4,12.8,6.9,1.8,6.1,25.1,10.3,-1.4,1.2,-0.2,-0.012,-6.2,1.9,-4.4,-0.6,82.0,19830.0,2850.0,6746.0,0.422,293.0,896.0,0.327,2557.0,5850.0,0.437,1502.0,2012.0,0.747,1118.0,2542.0,3660.0,1712.0,636.0,521.0,1501.0,1864.0,7495.0,82.0,19830.0,3072.0,6786.0,0.453,428.0,1197.0,0.358,2644.0,5589.0,0.473,1712.0,2219.0,0.772,932.0,2491.0,3423.0,1972.0,802.0,494.0,1162.0,1709.0,8284.0,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,94.0,0.298,0.133,0.444,16.4,31.0,0.223,0.484,13.0,73.2,0.252,Gund Arena,471374,80,11.8,-5.28,0.82,-4.46,-0.84,1868,943,-5.999768558,1.279421027,-4.720347531,-0.951927073,-0.951927073,0.0,-6.02401877,0.871921062,-5.152097709,0.38429464,80,16,64,11.8,100.6,1.9,16.3,25.1,0.4,18.3,1.0,60.4,5.2,2.7,3.8,8.8,0.038,0.0
2,2003-04,2004,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,CLE,NBA,C,56,3,13.0,1.0,2.6,0.388,0.0,0.0,,1.0,2.6,0.388,0.388,0.2,0.4,0.6,1.3,2.3,3.6,0.6,0.5,0.9,0.5,2.1,2.3,730,4.1,10.6,0.388,0.0,0.0,,4.1,10.6,0.388,0.9,1.4,0.6,5.2,9.2,14.4,2.5,1.9,3.7,2.1,8.4,9.1,93,100,730,10.4,0.404,0.0,0.136,10.9,19.2,15.1,7.1,1.9,5.0,15.7,11.3,-0.1,1.1,1.0,0.063,-3.8,1.7,-2.1,0.0,82.0,19855.0,2922.0,6753.0,0.433,247.0,786.0,0.314,2675.0,5967.0,0.448,1528.0,2030.0,0.753,1118.0,2619.0,3737.0,1808.0,585.0,537.0,1216.0,1743.0,7619.0,82.0,19855.0,2956.0,6759.0,0.437,431.0,1162.0,0.371,2525.0,5597.0,0.451,1491.0,1990.0,0.749,971.0,2475.0,3446.0,1783.0,635.0,434.0,1071.0,1656.0,7834.0,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,90.8,0.301,0.116,0.451,13.7,31.1,0.226,0.469,12.3,73.0,0.221,Gund Arena,749790,56,13.0,-3.46,2.58,-0.88,1.15,1397,730,-3.79169795,2.409295519,-1.382402431,0.510266071,0.510266071,0.0,-3.64601104,2.329069267,-1.316941773,0.162872632,56,21,35,12.9,96.4,2.3,17.1,25.8,0.5,23.4,0.9,56.0,4.2,3.5,3.3,9.1,0.054,0.0
3,2004-05,2005,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CLE,NBA,C,39,0,7.8,0.5,1.8,0.29,0.0,0.1,0.0,0.5,1.7,0.299,0.29,0.0,0.1,0.0,0.8,1.0,1.8,0.4,0.2,0.7,0.3,1.4,1.0,306,3.5,12.1,0.29,0.0,0.3,0.0,3.5,11.7,0.299,0.0,0.9,0.0,5.2,7.0,12.2,2.6,1.4,4.7,2.1,9.3,7.0,77,103,306,6.3,0.281,0.029,0.072,11.3,15.8,13.5,7.1,1.4,6.6,14.4,12.3,-0.5,0.4,0.0,-0.006,-6.2,1.0,-5.2,-0.2,82.0,19855.0,2990.0,6687.0,0.447,300.0,904.0,0.332,2690.0,5783.0,0.465,1634.0,2174.0,0.752,1117.0,2352.0,3469.0,1851.0,654.0,461.0,1141.0,1850.0,7914.0,82.0,19855.0,2913.0,6444.0,0.452,422.0,1122.0,0.376,2491.0,5322.0,0.468,1601.0,2135.0,0.75,938.0,2324.0,3262.0,1737.0,549.0,419.0,1213.0,1770.0,7849.0,42,40,43,39,0.79,-0.52,0.27,106.6,105.7,89.7,0.325,0.135,0.47,13.0,32.5,0.244,0.485,14.1,71.5,0.248,Gund Arena,784249,39,7.8,-5.1,2.17,-2.93,0.05,578,306,-6.184997267,1.214695712,-4.970301555,-0.347732675,-0.347732675,0.0,-5.929942155,0.748603479,-5.181338676,0.291133744,39,16,23,7.8,95.4,1.0,13.5,21.4,0.2,14.8,0.7,62.8,2.6,2.0,1.9,5.5,0.043,0.0
4,2005-06,2006,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,DAL,NBA,C,81,45,18.6,0.9,1.9,0.487,0.0,0.0,0.5,0.9,1.9,0.487,0.49,0.5,0.9,0.542,1.8,2.8,4.6,0.3,0.5,1.8,0.4,3.1,2.3,1510,2.7,5.6,0.487,0.0,0.1,0.5,2.7,5.5,0.487,1.4,2.6,0.542,5.3,8.3,13.5,0.8,1.6,5.3,1.3,9.2,6.9,116,100,1510,11.5,0.512,0.013,0.468,11.8,17.9,14.9,2.2,1.6,7.4,16.2,6.9,1.3,2.7,4.1,0.13,-2.3,2.8,0.5,1.0,82.0,19880.0,2948.0,6375.0,0.462,416.0,1113.0,0.374,2532.0,5262.0,0.481,1818.0,2322.0,0.783,1030.0,2431.0,3461.0,1473.0,593.0,488.0,1112.0,1834.0,8130.0,82.0,19880.0,2801.0,6319.0,0.443,404.0,1120.0,0.361,2397.0,5199.0,0.461,1626.0,2163.0,0.752,935.0,2209.0,3144.0,1433.0,536.0,400.0,1151.0,1958.0,7632.0,60,22,58,24,6.07,-0.11,5.96,111.8,105.0,87.8,0.364,0.175,0.495,13.1,31.8,0.285,0.475,13.7,72.2,0.257,American Airlines Center,824693,81,18.6,-3.17,4.22,1.05,3.86,3556,1917,-2.254796386,4.174250856,1.91945447,4.621307391,3.217786869,1.403520522,-2.236942694,4.223252888,1.986310194,0.279586818,81,60,21,18.6,99.5,2.8,16.1,24.7,0.5,18.0,1.8,61.6,4.5,5.0,4.5,13.0,0.08,0.0
5,2006-07,2007,DeSagana Diop,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,DAL,NBA,C,81,9,18.3,0.9,1.9,0.47,0.0,0.0,0.0,0.9,1.9,0.473,0.47,0.6,1.1,0.558,2.0,3.4,5.4,0.4,0.5,1.4,0.8,3.0,2.3,1480,2.6,5.5,0.47,0.0,0.0,0.0,2.6,5.4,0.473,1.7,3.1,0.558,6.0,9.9,15.9,1.1,1.4,4.1,2.3,8.8,6.9,107,98,1480,10.6,0.503,0.007,0.57,13.8,21.6,17.8,2.8,1.4,5.8,25.0,7.9,0.7,3.1,3.8,0.123,-2.8,2.6,-0.2,0.7,82.0,19755.0,3010.0,6442.0,0.467,535.0,1404.0,0.381,2475.0,5038.0,0.491,1646.0,2045.0,0.805,920.0,2515.0,3435.0,1632.0,560.0,408.0,1140.0,1837.0,8201.0,82.0,19755.0,2790.0,6241.0,0.447,375.0,1074.0,0.349,2415.0,5167.0,0.467,1654.0,2216.0,0.746,839.0,2286.0,3125.0,1471.0,565.0,312.0,1190.0,1811.0,7609.0,67,15,61,21,7.22,0.06,7.28,111.3,103.2,89.5,0.317,0.218,0.509,13.4,28.7,0.256,0.477,14.2,75.0,0.265,American Airlines Center,834411,81,18.3,-3.94,3.07,-0.87,2.17,3066,1620,-3.478067717,3.879203659,0.401135942,2.620020356,2.59023483,0.029785526,-3.358411971,3.779780698,0.421368727,0.200873406,81,66,15,18.3,98.8,3.4,19.3,29.0,0.5,19.0,1.4,68.1,6.0,4.5,4.8,12.5,0.085,0.0
6,2007-08,2008,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,DAL,NBA,C,52,18,17.2,1.3,2.2,0.583,0.0,0.0,,1.3,2.2,0.583,0.583,0.5,0.8,0.6,2.1,3.1,5.2,0.5,0.4,1.2,0.8,1.9,3.0,894,4.0,6.8,0.583,0.0,0.0,,4.0,6.8,0.583,1.4,2.4,0.6,6.6,9.5,16.1,1.5,1.2,3.8,2.5,6.0,9.4,116,102,894,13.4,0.596,0.0,0.348,14.8,19.9,17.5,4.2,1.2,5.2,24.1,9.1,1.0,1.5,2.6,0.137,-1.0,1.7,0.7,0.6,82.0,19730.0,3025.0,6515.0,0.464,494.0,1403.0,0.352,2531.0,5112.0,0.495,1690.0,2075.0,0.814,883.0,2643.0,3526.0,1720.0,490.0,402.0,1037.0,1786.0,8234.0,82.0,19730.0,2903.0,6551.0,0.443,408.0,1168.0,0.349,2495.0,5383.0,0.463,1648.0,2168.0,0.76,882.0,2419.0,3301.0,1547.0,536.0,357.0,999.0,1739.0,7862.0,51,31,54,28,4.54,0.16,4.7,111.1,106.1,90.2,0.318,0.215,0.502,12.3,26.7,0.259,0.474,11.7,75.0,0.252,American Airlines Center,831738,79,16.4,-3.11,3.83,0.72,2.91,2472,1295,-2.848533333,2.552174629,-0.296358703,1.624097938,1.624097938,0.0,-2.92308757,1.717850633,-1.205236937,-0.200149654,79,44,35,16.4,100.0,2.9,18.3,27.4,0.3,14.4,1.1,57.1,5.6,4.6,4.6,12.4,0.074,0.0
7,2007-08,2008,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NJN,NBA,C,27,5,14.9,1.0,2.4,0.415,0.0,0.0,,1.0,2.4,0.415,0.415,0.5,1.1,0.467,1.8,2.7,4.5,0.5,0.2,0.9,0.6,1.7,2.5,401,3.5,8.5,0.415,0.0,0.0,,3.5,8.5,0.415,1.8,3.9,0.467,6.4,9.6,16.0,1.8,0.8,3.3,2.1,6.0,8.9,100,106,401,10.4,0.435,0.0,0.462,14.1,21.1,17.6,5.3,0.8,4.9,17.0,10.8,0.0,0.5,0.5,0.058,-3.1,-0.3,-3.4,-0.1,82.0,19830.0,2856.0,6450.0,0.443,498.0,1430.0,0.348,2358.0,5020.0,0.47,1647.0,2237.0,0.736,913.0,2520.0,3433.0,1925.0,521.0,390.0,1229.0,1855.0,7857.0,82.0,19830.0,2982.0,6543.0,0.456,534.0,1448.0,0.369,2448.0,5095.0,0.48,1774.0,2311.0,0.768,896.0,2517.0,3413.0,1810.0,662.0,362.0,1098.0,1836.0,8272.0,34,48,27,55,-5.06,-0.09,-5.15,104.0,109.4,91.5,0.347,0.222,0.481,14.2,26.6,0.255,0.497,12.7,73.8,0.271,Izod Center,641921,79,16.4,-3.11,3.83,0.72,2.91,2472,1295,-2.848533333,2.552174629,-0.296358703,1.624097938,1.624097938,0.0,-2.92308757,1.717850633,-1.205236937,-0.200149654,79,44,35,16.4,100.0,2.9,18.3,27.4,0.3,14.4,1.1,57.1,5.6,4.6,4.6,12.4,0.074,0.0
8,2008-09,2009,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,DAL,NBA,C,34,0,13.3,0.6,1.7,0.379,0.0,0.0,,0.6,1.7,0.379,0.379,0.4,0.9,0.414,1.3,2.1,3.5,0.4,0.4,0.7,0.3,1.6,1.6,452,2.6,6.7,0.379,0.0,0.0,,2.6,6.7,0.379,1.4,3.4,0.414,5.2,8.5,13.7,1.5,1.4,2.9,1.3,6.4,6.5,102,106,452,8.9,0.396,0.0,0.5,11.5,18.4,15.0,3.9,1.4,4.1,13.5,8.3,0.1,0.6,0.7,0.07,-3.5,0.9,-2.6,-0.1,82.0,19805.0,3128.0,6770.0,0.462,571.0,1632.0,0.35,2557.0,5138.0,0.498,1516.0,1852.0,0.819,909.0,2595.0,3504.0,1779.0,591.0,429.0,1043.0,1600.0,8343.0,82.0,19805.0,3071.0,6752.0,0.455,517.0,1379.0,0.375,2554.0,5373.0,0.475,1522.0,1907.0,0.798,884.0,2509.0,3393.0,1611.0,589.0,334.0,1064.0,1645.0,8181.0,50,32,47,35,1.98,-0.3,1.68,110.5,108.4,91.5,0.274,0.241,0.504,12.1,26.6,0.224,0.493,12.3,74.6,0.225,American Airlines Center,821723,75,13.8,-4.26,0.37,-3.89,-0.66,1959,1036,-4.31246517,-0.479657239,-4.792122409,-1.075528829,-1.075528829,0.0,-4.309704555,-0.549960931,-4.859665487,0.158116115,75,38,37,13.8,107.8,2.1,16.7,26.7,0.4,21.3,0.7,54.9,5.1,4.1,3.3,11.4,0.033,0.0
9,2008-09,2009,DeSagana Diop,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHA,NBA,C,41,1,14.2,1.3,2.8,0.46,0.0,0.0,,1.3,2.8,0.46,0.46,0.2,0.9,0.27,1.7,2.1,3.8,0.5,0.4,0.8,0.7,1.8,2.8,584,4.8,10.5,0.46,0.0,0.0,,4.8,10.5,0.46,0.9,3.4,0.27,6.4,8.0,14.4,1.8,1.6,2.9,2.6,6.8,10.6,95,103,584,10.3,0.441,0.0,0.327,14.7,18.1,16.4,5.2,1.6,4.4,17.8,12.7,-0.2,1.0,0.7,0.06,-3.8,0.8,-3.0,-0.2,82.0,19930.0,2866.0,6299.0,0.455,490.0,1339.0,0.366,2376.0,4960.0,0.479,1455.0,1965.0,0.74,886.0,2366.0,3252.0,1741.0,580.0,397.0,1279.0,1754.0,7677.0,82.0,19930.0,2883.0,6349.0,0.454,558.0,1526.0,0.366,2325.0,4823.0,0.482,1457.0,1928.0,0.756,877.0,2310.0,3187.0,1604.0,626.0,488.0,1206.0,1714.0,7781.0,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,Time Warner Cable Arena,597548,75,13.8,-4.26,0.37,-3.89,-0.66,1959,1036,-4.31246517,-0.479657239,-4.792122409,-1.075528829,-1.075528829,0.0,-4.309704555,-0.549960931,-4.859665487,0.158116115,75,38,37,13.8,107.8,2.1,16.7,26.7,0.4,21.3,0.7,54.9,5.1,4.1,3.3,11.4,0.033,0.0
