,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,LAL,NBA,C,82,69,30.8,4.8,10.0,0.485,0.3,0.9,0.28,4.6,9.1,0.505,0.498,2.9,4.2,0.689,2.7,6.2,8.9,2.8,1.6,1.7,2.6,3.8,12.8,2525,7.8,16.2,0.485,0.4,1.5,0.28,7.4,14.7,0.505,4.6,6.7,0.689,4.3,10.1,14.4,4.6,2.5,2.8,4.2,6.1,20.8,104,103,2525,17.1,0.542,0.092,0.416,9.8,23.2,16.5,13.6,2.5,3.4,18.1,20.0,1.5,4.1,5.6,0.107,-0.3,1.8,1.5,2.2,82.0,19830,3309,6994,0.473,187,626,0.299,3122,6368,0.49,1741,2304,0.756,1103,2288,3391,2013,782,431,1266,1778,8546,82.0,19830,3438,7116,0.483,245,726,0.337,3193,6390,0.5,1529,2050,0.746,1158,2411,3569,2130,686,384,1334,1872,8650,39,43,38,44,-1.27,0.06,-1.2,107.6,108.9,96.2,0.329,0.09,0.486,13.7,31.4,0.249,0.5,14.3,66.4,0.215,Great Western Forum,633655,0,0,0.0,0.0,0.0,0.0,5444,2692,-0.91204497,2.507377134,1.595332163,6.027891749,5.218244128,0.809647621,-0.340998421,2.488429179,2.147430758,0.326774123,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,LAL,NBA,C,79,73,34.0,5.7,11.3,0.506,0.1,0.6,0.191,5.6,10.7,0.524,0.511,2.6,3.8,0.686,3.6,7.2,10.8,3.9,1.2,1.4,2.4,3.6,14.2,2685,8.5,16.8,0.506,0.2,0.9,0.191,8.3,15.9,0.524,3.9,5.7,0.686,5.3,10.7,15.9,5.7,1.7,2.1,3.6,5.4,21.0,110,105,2685,18.8,0.546,0.053,0.339,10.9,24.0,17.2,17.2,1.7,2.6,15.7,19.1,4.2,3.2,7.4,0.132,1.5,0.8,2.3,2.9,82.0,19755,3291,7316,0.45,241,803,0.3,3050,6513,0.468,1410,1967,0.717,1260,2204,3464,1983,751,461,1197,1877,8233,82.0,19755,3337,7008,0.476,228,723,0.315,3109,6285,0.495,1683,2346,0.717,1284,2533,3817,2163,664,427,1344,1659,8585,33,49,29,53,-4.29,0.36,-3.93,104.8,109.3,95.5,0.269,0.11,0.466,12.8,33.2,0.193,0.492,14.3,63.2,0.24,Great Western Forum,545915,0,0,0.0,0.0,0.0,0.0,5403,2685,0.634202939,0.455022536,1.089225475,5.248797935,5.248797935,0.0,0.78998207,0.775953753,1.565935823,-0.192268362,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,LAL,NBA,C,80,80,35.1,6.1,12.0,0.507,0.1,0.7,0.189,5.9,11.3,0.525,0.512,3.7,4.8,0.777,3.3,7.1,10.4,4.1,1.4,2.2,2.6,3.8,16.0,2807,8.7,17.2,0.507,0.2,1.0,0.189,8.5,16.2,0.525,5.3,6.9,0.777,4.7,10.2,14.9,5.9,2.0,3.1,3.7,5.5,22.9,114,104,2807,20.5,0.568,0.055,0.399,10.3,22.4,16.3,18.0,2.0,4.3,15.4,20.4,5.3,4.2,9.5,0.162,1.9,2.1,3.9,4.1,82.0,19905,3284,7088,0.463,525,1492,0.352,2759,5596,0.493,1523,2072,0.735,1126,2316,3442,2078,750,563,1243,1933,8616,82.0,19905,3299,7050,0.468,456,1294,0.352,2843,5756,0.494,1580,2233,0.708,1283,2474,3757,2203,644,489,1390,1807,8634,48,34,40,42,-0.22,0.21,-0.01,109.1,109.4,95.2,0.292,0.21,0.5,13.4,31.3,0.215,0.5,14.8,64.4,0.224,Great Western Forum,591125,0,0,0.0,0.0,0.0,0.0,6352,3195,0.456178767,1.958945442,2.415124209,8.385827166,7.667337014,0.718490151,0.635083764,2.004055195,2.63913896,-0.344546542,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,LAL,NBA,C,79,79,31.3,5.2,10.2,0.513,0.0,0.2,0.167,5.2,10.0,0.521,0.515,2.4,3.7,0.641,2.5,6.1,8.6,3.3,1.0,1.7,2.5,3.5,12.9,2470,8.7,17.0,0.513,0.1,0.4,0.167,8.6,16.6,0.521,4.0,6.2,0.641,4.2,10.1,14.3,5.5,1.6,2.8,4.2,5.8,21.5,106,103,2470,17.4,0.544,0.022,0.366,9.5,22.2,16.0,16.3,1.6,3.7,17.5,20.6,2.2,4.0,6.1,0.119,-0.2,1.6,1.4,2.1,82.0,19680,3216,6706,0.48,477,1359,0.351,2739,5347,0.512,1529,2049,0.746,995,2303,3298,2080,722,516,1163,1702,8438,82.0,19680,3118,6806,0.458,442,1203,0.367,2676,5603,0.478,1395,1891,0.738,1146,2316,3462,2006,588,483,1334,1806,8073,53,29,53,29,4.45,-0.24,4.21,111.4,106.6,92.4,0.306,0.203,0.515,13.3,30.1,0.228,0.491,14.9,66.8,0.205,Great Western Forum,649634,0,0,0.0,0.0,0.0,0.0,5035,2585,-1.370417815,1.635304386,0.26488657,3.970660664,3.929952778,0.040707887,-0.917793717,1.494272147,0.57647843,-0.20744825,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHH,NBA,C,81,80,35.1,5.2,10.5,0.494,0.1,0.6,0.234,5.0,9.9,0.509,0.5,2.2,3.2,0.683,3.0,6.0,9.0,3.7,1.3,2.2,2.4,3.4,12.6,2840,8.0,16.2,0.494,0.2,0.9,0.234,7.8,15.3,0.509,3.4,4.9,0.683,4.6,9.2,13.8,5.7,2.0,3.4,3.7,5.3,19.5,108,104,2840,17.9,0.533,0.055,0.306,10.6,20.0,15.5,17.5,2.0,4.7,16.7,19.1,3.4,3.9,7.3,0.123,0.6,2.0,2.5,3.3,82.0,19805,2988,6342,0.471,591,1382,0.428,2397,4960,0.483,1541,1984,0.777,910,2298,3208,2021,597,349,1203,1702,8108,82.0,19805,3056,6650,0.46,487,1364,0.357,2569,5286,0.486,1356,1857,0.73,1077,2256,3333,1783,532,335,1143,1781,7955,54,28,46,36,1.87,0.26,2.13,110.9,108.9,88.6,0.313,0.218,0.518,14.3,28.7,0.243,0.496,13.3,68.1,0.204,Charlotte Coliseum,985722,81,35.1,-0.29,3.48,3.19,11.44,5515,2956,-0.07958753,1.83488203,1.7552945,6.76494599,6.601907645,0.163038345,0.458216493,1.813048832,2.271265325,-0.445193819,81,53,28,35.1,104.9,6.0,17.3,29.1,1.3,24.6,2.2,64.1,10.6,11.5,7.5,30.0,0.092,0
5,1997-98,1998,Vlade Divac,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,CHH,NBA,C,64,41,28.2,4.2,8.4,0.498,0.0,0.2,0.214,4.1,8.2,0.506,0.501,2.0,2.9,0.691,2.9,5.2,8.1,2.7,1.3,1.5,1.8,2.8,10.4,1805,7.9,15.9,0.498,0.1,0.4,0.214,7.9,15.5,0.506,3.9,5.6,0.691,5.4,10.0,15.4,5.1,2.5,2.8,3.4,5.3,19.8,110,100,1805,19.4,0.539,0.026,0.351,12.4,22.2,17.3,15.8,2.5,3.8,15.6,18.8,2.9,3.0,5.9,0.157,1.8,2.2,4.0,2.7,82.0,19780,2968,6344,0.468,346,904,0.383,2622,5440,0.482,1641,2186,0.751,985,2341,3326,1941,691,312,1247,1757,7923,82.0,19780,2977,6417,0.464,369,1063,0.347,2608,5354,0.487,1436,1964,0.731,965,2259,3224,1806,582,372,1240,1902,7759,51,31,47,35,2.0,0.45,2.45,107.5,105.3,89.4,0.345,0.142,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,64,28.2,0.74,2.56,3.29,7.32,4008,2150,0.160428173,2.818057763,2.978485935,6.259952569,5.528820975,0.731131594,0.481178061,2.544579527,3.025757588,-0.3920895,64,40,24,28.2,99.0,5.2,19.8,30.5,1.3,25.3,1.5,60.6,9.9,7.5,7.4,23.2,0.113,0
6,1998-99,1999,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,SAC,NBA,C,50,50,35.2,5.2,11.1,0.47,0.2,0.9,0.256,5.0,10.3,0.488,0.48,3.6,5.1,0.702,2.8,7.2,10.0,4.3,0.9,1.0,2.6,3.3,14.3,1761,7.4,15.8,0.47,0.3,1.2,0.256,7.1,14.6,0.488,5.1,7.2,0.702,4.0,10.3,14.2,6.1,1.2,1.4,3.7,4.7,20.3,108,101,1761,18.0,0.533,0.077,0.458,8.4,21.5,15.0,19.2,1.2,1.8,16.4,19.4,3.1,2.1,5.2,0.142,1.2,0.9,2.2,1.8,50.0,12200,1918,4307,0.445,290,943,0.308,1628,3364,0.484,883,1293,0.683,706,1573,2279,1129,444,232,842,1016,5009,50.0,12200,2009,4500,0.446,219,652,0.336,1790,3848,0.465,793,1113,0.712,750,1598,2348,1165,490,221,790,1102,5030,27,23,24,26,-0.42,-0.47,-0.89,102.7,103.1,96.0,0.3,0.219,0.479,14.7,30.6,0.205,0.471,13.7,67.7,0.176,ARCO Arena (II),418751,50,35.2,1.46,-0.01,1.45,5.98,3933,1959,0.170393896,0.441784019,0.612177915,3.370569161,2.884409686,0.486159475,0.210643853,0.675568588,0.886212441,-0.391694861,50,27,23,35.1,99.4,7.2,18.7,30.4,0.9,13.8,1.0,32.5,11.8,11.3,9.8,31.9,0.104,0
7,1999-00,2000,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,SAC,NBA,C,82,81,29.0,4.7,9.3,0.503,0.1,0.3,0.269,4.6,9.0,0.511,0.507,2.8,4.1,0.691,2.1,5.9,8.0,3.0,1.3,1.3,2.3,3.1,12.3,2374,7.8,15.6,0.503,0.1,0.5,0.269,7.7,15.0,0.511,4.7,6.8,0.691,3.5,9.8,13.4,5.0,2.1,2.1,3.9,5.1,20.5,106,98,2374,18.0,0.552,0.034,0.436,7.6,21.3,14.4,15.4,2.1,2.8,17.3,19.3,3.0,4.1,7.2,0.145,0.4,2.4,2.8,2.9,82.0,19805,3276,7288,0.45,534,1656,0.322,2742,5632,0.487,1521,2016,0.754,1056,2635,3691,1953,787,381,1325,1729,8607,82.0,19805,3269,7239,0.452,396,1123,0.353,2873,6116,0.47,1434,1910,0.751,1143,2761,3904,1950,753,404,1437,1943,8368,44,38,49,33,2.91,0.12,3.04,105.0,102.1,99.3,0.277,0.227,0.486,13.9,27.7,0.209,0.479,15.1,69.7,0.198,ARCO Arena (II),720033,82,29.0,0.57,1.14,1.71,7.12,5278,2534,-0.947655446,2.386421388,1.438765942,5.387720615,5.349301743,0.038418872,-0.672410981,2.300358927,1.627947946,-0.080269467,82,44,38,29.0,98.9,5.9,18.5,29.0,1.3,21.7,1.3,43.3,11.3,8.4,10.8,25.1,0.109,0
8,2000-01,2001,Vlade Divac,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,32,SAC,NBA,C,81,81,29.9,4.5,9.3,0.482,0.0,0.2,0.286,4.4,9.1,0.486,0.485,3.0,4.3,0.691,2.6,5.8,8.3,2.9,1.1,1.1,2.4,3.0,12.0,2420,7.6,15.9,0.482,0.1,0.3,0.286,7.6,15.6,0.486,5.1,7.4,0.691,4.3,9.8,14.1,4.9,1.8,2.0,4.0,5.1,20.5,105,97,2420,17.7,0.536,0.019,0.464,9.5,20.2,15.0,15.2,1.8,2.6,17.4,20.1,3.1,4.3,7.4,0.147,0.3,1.6,1.9,2.4,82.0,20080,3132,6969,0.449,479,1353,0.354,2653,5616,0.472,1600,2075,0.771,987,2705,3692,1852,793,432,1221,1596,8343,82.0,20080,3087,7139,0.432,401,1131,0.355,2686,6008,0.447,1291,1724,0.749,1121,2643,3764,1816,666,476,1334,1766,7866,55,27,57,25,5.82,0.25,6.07,105.6,99.6,94.4,0.298,0.194,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,ARCO Arena (II),709997,81,29.9,0.84,-0.11,0.73,5.96,5270,2645,-0.539086181,1.699447146,1.160360965,5.278653535,4.814791165,0.46386237,-0.277874209,1.478084679,1.200210471,-0.216052178,81,55,26,29.8,99.5,5.8,18.5,28.3,1.1,18.3,1.1,37.3,10.0,8.2,9.2,24.8,0.098,0
9,2001-02,2002,Vlade Divac,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,SAC,NBA,C,80,80,30.3,4.2,9.0,0.472,0.0,0.2,0.231,4.2,8.8,0.477,0.474,2.6,4.3,0.615,2.6,5.8,8.4,3.7,1.0,1.2,2.0,2.9,11.1,2420,7.0,14.9,0.472,0.1,0.3,0.231,7.0,14.6,0.477,4.3,7.1,0.615,4.3,9.7,13.9,6.2,1.6,2.0,3.3,4.8,18.4,107,99,2420,17.0,0.513,0.018,0.475,9.2,20.2,14.8,17.9,1.6,2.6,15.4,18.4,3.1,4.2,7.3,0.145,0.7,2.1,2.8,2.9,82.0,19755,3267,7003,0.467,426,1160,0.367,2841,5843,0.486,1618,2154,0.751,1013,2702,3715,1958,741,375,1128,1560,8578,82.0,19755,3128,7108,0.44,386,1145,0.337,2742,5963,0.46,1312,1764,0.744,1065,2617,3682,1839,633,387,1246,1827,7954,61,21,61,21,7.61,0.0,7.61,109.0,101.1,95.6,0.308,0.166,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,ARCO Arena (II),709997,80,30.3,0.57,3.06,3.62,10.42,5934,2955,-0.661306362,4.63924483,3.977938467,10.17245793,8.340179561,1.832278373,-0.294333169,3.974027796,3.679694627,-0.228378517,80,59,21,30.2,97.2,5.8,18.1,27.3,1.0,18.0,1.2,43.9,8.8,8.5,8.7,25.8,0.136,0
