,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2005-06,2006,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,GSW,NBA,SG,49,3,18.1,2.7,6.5,0.415,0.6,1.7,0.341,2.1,4.8,0.441,0.459,0.9,1.2,0.712,0.4,1.7,2.1,1.6,0.7,0.2,1.2,1.4,6.8,886,7.7,18.5,0.415,1.6,4.8,0.341,6.0,13.7,0.441,2.4,3.4,0.712,1.3,4.8,6.1,4.5,1.9,0.6,3.4,4.0,19.4,95,107,886,11.1,0.486,0.258,0.186,2.7,10.7,6.6,14.9,1.9,0.9,14.4,20.2,-0.3,0.8,0.5,0.028,-1.9,0.2,-1.7,0.1,82.0,19830,2939,6785,0.433,625,1832,0.341,2314,4953,0.467,1573,2190,0.718,980,2485,3465,1694,604,357,1156,1941,8076,82.0,19830,3047,6674,0.457,469,1335,0.351,2578,5339,0.483,1624,2187,0.743,985,2662,3647,1828,576,409,1258,1919,8187,34,48,37,45,-1.35,0.25,-1.11,104.8,106.2,93.3,0.323,0.27,0.479,13.0,26.9,0.232,0.492,14.1,71.6,0.243,Oakland Arena,749185,49,18.1,-0.5,-0.38,-0.88,1.28,1742,886,-1.896464496,0.20283439,-1.693630106,0.477782389,0.477782389,0.0,-2.062859426,-0.752448386,-2.815307812,0.050639357,49,16,33,18.1,98.9,1.7,9.3,14.6,0.7,21.5,0.2,12.4,6.3,4.5,5.1,14.8,0.083,0.0
1,2006-07,2007,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,GSW,NBA,SG,77,53,34.3,6.2,13.1,0.475,0.5,1.9,0.273,5.7,11.3,0.509,0.495,3.5,4.6,0.763,0.8,2.4,3.2,4.1,1.7,0.3,2.9,2.7,16.5,2638,8.8,18.5,0.475,0.7,2.6,0.273,8.1,15.9,0.509,5.0,6.6,0.763,1.1,3.3,4.5,5.9,2.4,0.4,4.1,3.9,23.3,104,109,2638,15.0,0.545,0.142,0.354,2.5,7.7,5.1,18.8,2.4,0.6,15.9,22.4,2.0,1.9,4.0,0.072,-0.9,-0.2,-1.1,0.6,82.0,19755,3261,7048,0.463,700,1967,0.356,2561,5081,0.504,1515,2113,0.717,940,2456,3396,1950,750,466,1309,1933,8737,82.0,19755,3171,6871,0.462,609,1664,0.366,2562,5207,0.492,1814,2419,0.75,1074,2733,3807,2023,680,399,1525,1832,8765,42,40,40,42,-0.34,0.34,0.0,107.0,107.4,99.2,0.3,0.279,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,Oracle Arena,742267,77,34.3,1.4,-2.77,-1.38,3.37,5992,2876,-0.244152848,-0.237183436,-0.481336284,3.294061779,3.683060343,-0.388998564,-0.302866933,-0.116144519,-0.419011452,0.126445269,77,39,38,34.3,105.6,2.4,6.8,11.1,1.7,25.9,0.3,6.7,12.5,11.6,9.4,31.8,0.085,0.0
2,2007-08,2008,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,GSW,NBA,SG,81,72,37.9,8.0,15.1,0.531,0.1,0.6,0.231,7.9,14.5,0.545,0.536,4.0,5.1,0.767,1.6,3.3,5.0,3.9,1.5,0.3,2.1,2.4,20.2,3071,10.3,19.4,0.531,0.2,0.8,0.231,10.1,18.6,0.545,5.1,6.6,0.767,2.1,4.3,6.4,5.0,2.0,0.4,2.7,3.1,25.9,117,111,3071,19.0,0.58,0.042,0.34,4.5,9.8,7.0,15.8,2.0,0.6,10.9,21.7,7.1,1.8,9.0,0.14,1.8,-0.3,1.6,2.8,82.0,19780,3403,7406,0.459,761,2185,0.348,2642,5221,0.506,1538,2044,0.752,1045,2496,3541,1833,744,377,1082,1875,9105,82.0,19780,3273,6998,0.468,572,1556,0.368,2701,5442,0.496,1806,2378,0.759,1053,2803,3856,1939,567,413,1384,1736,8924,48,34,47,35,2.21,0.17,2.38,111.8,109.5,98.8,0.276,0.295,0.511,11.5,27.2,0.208,0.509,14.7,70.3,0.258,Oracle Arena,804864,81,37.9,2.1,-2.39,-0.3,5.51,6394,3071,2.113787193,-0.35921773,1.754569464,7.024299315,7.024299315,0.0,1.775318325,-0.158798625,1.616519699,-0.444964912,81,48,33,37.9,107.9,3.3,8.7,13.9,1.5,20.7,0.3,9.3,12.3,12.6,11.6,35.9,0.079,0.0
3,2008-09,2009,Monta Ellis,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,GSW,NBA,SG,25,25,35.7,7.8,17.2,0.451,0.3,1.0,0.308,7.4,16.2,0.46,0.46,3.1,3.8,0.83,0.6,3.8,4.3,3.7,1.6,0.3,2.7,2.7,19.0,892,10.6,23.6,0.451,0.4,1.4,0.308,10.2,22.1,0.46,4.3,5.2,0.83,0.8,5.2,5.9,5.1,2.1,0.4,3.7,3.7,26.0,99,114,892,14.5,0.503,0.06,0.219,1.7,11.5,6.6,17.5,2.1,0.6,12.4,25.8,-0.1,0.3,0.2,0.012,-1.8,-1.5,-3.4,-0.3,82.0,19880,3231,7055,0.458,550,1475,0.373,2681,5580,0.48,1893,2392,0.791,953,2492,3445,1711,638,527,1201,1842,8905,82.0,19880,3401,7273,0.468,582,1531,0.38,2819,5742,0.491,1828,2346,0.779,1165,2695,3860,1980,647,414,1229,1927,9212,29,53,31,51,-3.74,-0.06,-3.8,109.5,113.3,98.2,0.339,0.209,0.497,12.9,26.1,0.268,0.508,12.9,68.1,0.251,Oracle Arena,776660,25,35.7,0.38,-2.72,-2.34,0.37,1846,892,-1.299616651,-1.114434831,-2.414051482,0.152725262,0.152725262,0.0,-1.060440481,-0.726168275,-1.786608756,-0.099772052,25,12,13,35.7,113.3,3.8,10.4,16.3,1.6,26.5,0.3,7.4,14.2,11.6,15.5,36.7,0.025,0.0
4,2009-10,2010,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,GSW,NBA,SG,64,64,41.4,9.9,22.0,0.449,1.2,3.6,0.338,8.7,18.4,0.47,0.476,4.6,6.1,0.753,0.7,3.3,4.0,5.3,2.2,0.4,3.8,3.0,25.5,2647,11.4,25.4,0.449,1.4,4.1,0.338,10.0,21.3,0.47,5.3,7.0,0.753,0.8,3.8,4.6,6.1,2.6,0.5,4.4,3.4,29.5,99,112,2647,16.7,0.517,0.162,0.276,1.9,9.0,5.4,21.2,2.6,0.7,13.4,29.5,0.0,1.3,1.3,0.023,0.1,-1.5,-1.4,0.4,82.0,19730,3329,7094,0.469,633,1687,0.375,2696,5407,0.499,1631,2085,0.782,753,2397,3150,1839,761,340,1204,1886,8922,82.0,19730,3409,7033,0.485,567,1514,0.375,2842,5519,0.515,1832,2390,0.767,1100,2842,3942,1979,645,407,1442,1757,9217,26,56,32,50,-3.6,0.32,-3.28,108.1,111.7,100.4,0.294,0.238,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,Oracle Arena,739120,64,41.4,1.74,-4.14,-2.4,0.88,5600,2647,-0.419676508,-1.200220559,-1.619897067,1.529051204,1.529051204,0.0,0.18521873,-0.687138829,-0.501920099,0.175157135,64,19,45,41.4,111.4,3.3,8.3,13.3,2.2,27.3,0.4,10.5,16.2,13.0,16.8,42.3,0.047,-1.25
5,2010-11,2011,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,GSW,NBA,SG,80,80,40.3,9.1,20.1,0.451,1.7,4.7,0.361,7.4,15.4,0.478,0.493,4.3,5.4,0.789,0.6,3.0,3.5,5.6,2.1,0.3,3.2,2.5,24.1,3227,11.4,25.3,0.451,2.1,5.9,0.361,9.2,19.3,0.478,5.3,6.8,0.789,0.7,3.7,4.4,7.1,2.6,0.4,4.0,3.2,30.3,107,112,3227,18.6,0.536,0.235,0.268,1.5,8.5,4.9,23.4,2.6,0.5,12.3,28.1,4.3,1.7,6.0,0.089,1.7,-0.9,0.8,2.3,82.0,19830,3251,7047,0.461,685,1749,0.392,2566,5298,0.484,1290,1695,0.761,955,2370,3325,1847,737,406,1198,1806,8477,82.0,19830,3173,6788,0.467,567,1586,0.358,2606,5202,0.501,1755,2262,0.776,1051,2623,3674,2029,672,352,1324,1512,8668,36,46,35,47,-2.33,0.33,-2.0,108.2,110.7,94.8,0.241,0.248,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,Oracle Arena,766398,80,40.3,2.83,-2.41,0.42,7.86,6447,3227,1.60573817,-1.101649022,0.504089148,5.360685776,5.360685776,0.0,2.00876025,-0.513259295,1.495500954,0.053981294,80,35,45,40.3,110.1,3.0,7.6,12.4,2.1,27.8,0.3,7.3,14.7,12.2,16.5,39.0,0.059,-1.72
6,2011-12,2012,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,GSW,NBA,SG,37,37,36.9,8.2,19.0,0.433,1.4,4.2,0.321,6.9,14.8,0.465,0.469,4.1,5.0,0.812,0.4,3.0,3.4,6.0,1.5,0.3,3.3,2.3,21.9,1365,11.6,26.8,0.433,1.9,5.9,0.321,9.7,20.9,0.465,5.8,7.1,0.812,0.6,4.2,4.8,8.5,2.1,0.5,4.7,3.2,30.9,101,111,1365,18.6,0.516,0.222,0.264,1.3,9.2,5.3,29.3,2.1,0.7,13.5,30.7,1.2,0.4,1.5,0.054,2.0,-1.5,0.6,0.9,66.0,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453,66.0,15915,2461,5431,0.453,468,1281,0.365,1993,4150,0.48,1288,1725,0.747,869,2157,3026,1527,499,328,978,1095,6678,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,92.3,0.227,0.248,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,Oracle Arena,622311,58,36.6,2.28,-1.89,0.39,4.0,4146,2120,1.015948939,-1.322761887,-0.306812947,2.667425555,2.667425555,0.0,1.323046751,-0.87789181,0.445154941,0.741779136,58,29,29,36.6,106.1,3.1,8.5,13.7,1.5,22.4,0.3,7.7,12.3,11.6,11.3,33.1,0.066,-1.23
7,2011-12,2012,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIL,NBA,SG,21,21,36.0,6.9,16.0,0.432,0.6,2.1,0.267,6.3,13.9,0.457,0.449,3.2,4.2,0.764,0.2,3.3,3.5,5.9,1.4,0.3,2.6,2.5,17.6,755,9.8,22.8,0.432,0.8,3.1,0.267,9.0,19.7,0.457,4.6,6.0,0.764,0.3,4.7,5.0,8.3,2.0,0.4,3.7,3.5,25.1,100,107,755,15.4,0.493,0.134,0.265,0.6,10.4,5.3,27.3,2.0,0.6,12.6,25.0,0.5,0.6,1.1,0.067,-0.8,-1.1,-1.9,0.0,66.0,15865,2502,5652,0.443,436,1265,0.345,2066,4387,0.471,1095,1415,0.774,820,1983,2803,1550,548,335,929,1273,6535,66.0,15865,2449,5453,0.449,438,1247,0.351,2011,4206,0.478,1181,1535,0.769,813,2138,2951,1433,499,297,1049,1278,6517,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,93.7,0.25,0.224,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,Bradley Center,485717,58,36.6,2.28,-1.89,0.39,4.0,4146,2120,1.015948939,-1.322761887,-0.306812947,2.667425555,2.667425555,0.0,1.323046751,-0.87789181,0.445154941,0.741779136,58,29,29,36.6,106.1,3.1,8.5,13.7,1.5,22.4,0.3,7.7,12.3,11.6,11.3,33.1,0.066,-1.23
8,2012-13,2013,Monta Ellis,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,MIL,NBA,SG,82,82,37.5,7.3,17.5,0.416,1.1,4.0,0.287,6.1,13.5,0.454,0.448,3.5,4.6,0.773,0.5,3.3,3.9,6.0,2.1,0.4,3.1,2.0,19.2,3076,9.8,23.7,0.416,1.5,5.4,0.287,8.3,18.3,0.454,4.8,6.2,0.773,0.7,4.5,5.2,8.2,2.8,0.6,4.2,2.7,26.0,100,105,3076,16.2,0.493,0.228,0.26,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,1.2,3.3,4.6,0.071,0.3,0.3,0.6,2.1,82.0,19830,3128,7197,0.435,601,1670,0.36,2527,5527,0.457,1251,1700,0.736,1068,2537,3605,1876,685,550,1156,1554,8108,82.0,19830,3152,6946,0.454,529,1519,0.348,2623,5427,0.483,1398,1841,0.759,1019,2757,3776,1893,658,362,1310,1567,8231,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,94.7,0.236,0.232,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,BMO Harris Bradley Center,616469,82,37.5,2.57,-1.93,0.64,6.86,6429,3228,0.867078853,0.787110397,1.65418925,7.269001484,7.001032038,0.267969447,1.112629599,1.134581168,2.247210767,0.147333503,82,38,44,37.5,104.3,3.3,8.7,13.8,2.1,30.9,0.4,8.5,13.2,11.6,12.6,36.6,0.103,-0.24
9,2013-14,2014,Monta Ellis,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,DAL,NBA,SG,82,82,36.9,7.0,15.6,0.451,0.8,2.5,0.33,6.2,13.0,0.474,0.478,4.1,5.2,0.788,0.5,3.1,3.6,5.7,1.7,0.3,3.2,2.4,19.0,3023,9.8,21.7,0.451,1.2,3.5,0.33,8.6,18.1,0.474,5.8,7.3,0.788,0.6,4.4,5.0,8.0,2.4,0.4,4.5,3.3,26.5,104,109,3023,16.8,0.532,0.164,0.336,1.5,9.8,5.6,24.8,2.4,0.6,15.2,26.0,2.8,2.1,4.9,0.078,0.3,-0.5,-0.3,1.3,82.0,19830,3249,6858,0.474,721,1877,0.384,2528,4981,0.508,1378,1733,0.795,840,2514,3354,1935,704,356,1110,1636,8597,82.0,19830,3096,6673,0.464,678,1888,0.359,2418,4785,0.505,1530,2019,0.758,943,2569,3512,1808,635,288,1312,1633,8400,49,33,48,34,2.4,0.5,2.91,111.2,108.7,93.5,0.253,0.274,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,American Airlines Center,817982,82,36.9,0.99,-2.29,-1.3,3.08,6503,3272,0.821124289,-0.857440332,-0.036316043,4.554127202,4.581653639,-0.027526437,1.682181668,-0.311649792,1.370531876,0.601898481,82,49,33,36.9,108.2,3.1,8.8,13.5,1.7,26.7,0.3,8.6,12.9,10.7,12.5,34.6,0.067,-1.19
