,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2002-03,2003,Reggie Evans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,SEA,NBA,PF,67,60,20.4,1.0,2.1,0.471,0.0,0.0,,1.0,2.1,0.471,0.471,1.2,2.3,0.519,2.5,4.1,6.6,0.5,0.6,0.2,0.8,2.6,3.2,1365,2.6,5.6,0.471,0.0,0.0,,2.6,5.6,0.471,3.2,6.2,0.519,6.7,11.1,17.8,1.4,1.5,0.4,2.1,6.9,8.5,109,102,1365,10.4,0.51,0.0,1.1,14.2,24.3,19.2,3.7,1.5,0.6,20.0,8.9,1.3,1.7,3.0,0.105,-2.4,-0.3,-2.8,-0.3,82.0,19855.0,2887.0,6599.0,0.437,456.0,1291.0,0.353,2431.0,5308.0,0.458,1325.0,1780.0,0.744,963.0,2385.0,3348.0,1775.0,679.0,295.0,1085.0,1712.0,7555.0,82.0,19855.0,2871.0,6424.0,0.447,472.0,1371.0,0.344,2399.0,5053.0,0.475,1351.0,1821.0,0.742,938.0,2462.0,3400.0,1703.0,500.0,409.0,1209.0,1671.0,7565.0,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,88.0,0.27,0.196,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,637194,67,20.4,-2.98,2.34,-0.64,2.08,2531,1365,-1.858192922,0.608734544,-1.249458378,1.046916536,1.046916536,0.0,-2.157563551,0.487987622,-1.669575929,0.167847503,67,35,32,20.4,102.8,4.1,22.6,34.6,0.6,15.5,0.2,13.8,6.2,4.9,5.4,16.4,0.049,0.0
1,2003-04,2004,Reggie Evans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,SEA,NBA,PF,75,27,17.1,0.9,2.2,0.406,0.0,0.0,0.0,0.9,2.2,0.414,0.406,1.1,2.0,0.561,2.1,3.4,5.4,0.4,0.7,0.1,0.9,2.3,2.9,1280,2.8,6.9,0.406,0.0,0.1,0.0,2.8,6.8,0.414,3.5,6.2,0.561,6.5,10.5,17.0,1.4,2.3,0.4,2.7,7.3,9.0,101,104,1280,9.9,0.471,0.018,0.897,14.5,23.0,18.8,3.7,2.3,0.6,22.0,10.7,0.7,1.1,1.7,0.065,-2.7,-1.2,-3.9,-0.6,82.0,19805.0,2939.0,6590.0,0.446,723.0,1936.0,0.373,2216.0,4654.0,0.476,1363.0,1782.0,0.765,907.0,2318.0,3225.0,1782.0,661.0,387.0,1188.0,1784.0,7964.0,82.0,19805.0,2980.0,6622.0,0.45,486.0,1394.0,0.349,2494.0,5228.0,0.477,1570.0,2028.0,0.774,1068.0,2430.0,3498.0,1728.0,629.0,387.0,1211.0,1658.0,8016.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,89.9,0.27,0.294,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,KeyArena at Seattle Center,625474,75,17.1,-3.44,2.39,-1.05,1.95,2425,1280,-3.086119908,0.416029212,-2.670090696,0.052420729,0.052420729,0.0,-2.942577859,0.584133634,-2.358444226,0.411448193,75,33,42,17.1,104.1,3.4,21.5,36.0,0.7,22.2,0.1,11.1,6.0,5.0,5.0,14.5,0.03,0.0
2,2004-05,2005,Reggie Evans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,SEA,NBA,PF,79,79,23.8,1.7,3.5,0.476,0.0,0.0,0.0,1.7,3.5,0.48,0.476,1.6,3.0,0.534,3.2,6.1,9.3,0.7,0.7,0.2,1.3,2.6,4.9,1881,3.8,8.0,0.476,0.0,0.1,0.0,3.8,7.9,0.48,3.6,6.8,0.534,7.4,14.0,21.4,1.7,1.7,0.4,3.0,5.9,11.2,107,105,1881,13.0,0.512,0.007,0.851,16.6,31.2,23.9,4.7,1.7,0.6,21.6,11.8,1.5,2.3,3.8,0.096,-0.4,-0.7,-1.1,0.4,82.0,19755.0,2882.0,6498.0,0.444,666.0,1824.0,0.365,2216.0,4674.0,0.474,1683.0,2131.0,0.79,1041.0,2311.0,3352.0,1487.0,553.0,338.0,1113.0,1944.0,8113.0,82.0,19755.0,2932.0,6382.0,0.459,470.0,1317.0,0.357,2462.0,5065.0,0.486,1591.0,2124.0,0.749,930.0,2174.0,3104.0,1698.0,508.0,390.0,1085.0,1949.0,7925.0,52,30,48,34,2.29,0.3,2.59,112.2,109.6,87.9,0.328,0.281,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,KeyArena at Seattle Center,675490,79,23.8,-3.03,1.63,-1.4,2.04,3873,2089,-1.798227146,0.34970317,-1.448523976,1.387698468,1.340398382,0.047300086,-1.672017464,0.239772732,-1.432244732,-0.082683992,79,51,28,23.8,106.8,6.1,28.0,43.9,0.7,21.6,0.2,8.5,7.5,6.4,6.7,20.5,0.044,0.0
3,2005-06,2006,Reggie Evans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,SEA,NBA,PF,41,23,19.2,2.1,4.2,0.509,0.0,0.0,0.0,2.1,4.2,0.512,0.509,1.6,2.9,0.55,2.8,4.0,6.7,0.6,0.6,0.1,1.0,2.3,5.9,788,5.8,11.5,0.509,0.0,0.1,0.0,5.8,11.4,0.512,4.4,8.0,0.55,7.6,10.8,18.3,1.5,1.6,0.3,2.7,6.3,16.1,112,112,788,15.0,0.536,0.006,0.694,17.2,25.2,21.2,4.4,1.6,0.5,15.4,15.2,1.2,0.3,1.5,0.09,0.1,-3.0,-2.9,-0.2,82.0,19830.0,3077.0,6711.0,0.459,605.0,1631.0,0.371,2472.0,5080.0,0.487,1652.0,2104.0,0.785,1013.0,2233.0,3246.0,1696.0,622.0,306.0,1208.0,1933.0,8411.0,82.0,19830.0,3202.0,6596.0,0.485,542.0,1445.0,0.375,2660.0,5151.0,0.516,1713.0,2255.0,0.76,1003.0,2316.0,3319.0,1973.0,598.0,399.0,1194.0,1820.0,8659.0,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,0.314,0.243,0.504,13.7,30.4,0.246,0.527,13.6,69.0,0.26,KeyArena at Seattle Center,664157,67,20.8,-1.8,-0.58,-2.38,0.5,2852,1462,-2.536636795,-1.79373376,-4.330370554,-1.167024081,-1.217362666,0.050338584,-2.453329027,-1.691014725,-4.144343753,0.162133721,67,26,41,20.8,111.5,4.9,26.8,40.7,0.6,18.4,0.1,10.2,7.6,5.4,5.9,18.9,0.011,0.0
4,2005-06,2006,Reggie Evans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,DEN,NBA,PF,26,2,23.3,1.7,3.7,0.453,0.0,0.0,,1.7,3.7,0.453,0.453,1.9,3.7,0.505,2.2,6.5,8.7,0.6,0.6,0.2,1.7,2.7,5.2,605,3.6,8.0,0.453,0.0,0.0,,3.6,8.0,0.453,4.1,8.2,0.505,4.8,14.3,19.1,1.3,1.4,0.4,3.7,6.0,11.4,91,102,605,9.2,0.49,0.0,1.021,11.1,32.3,21.8,3.5,1.4,0.6,24.2,13.4,-0.4,1.0,0.6,0.048,-4.3,-0.5,-4.9,-0.4,82.0,19930.0,3078.0,6672.0,0.461,350.0,1076.0,0.325,2728.0,5596.0,0.487,1721.0,2312.0,0.744,903.0,2486.0,3389.0,1921.0,698.0,463.0,1216.0,1863.0,8227.0,82.0,19930.0,3070.0,6764.0,0.454,530.0,1480.0,0.358,2540.0,5284.0,0.481,1538.0,2090.0,0.736,965.0,2469.0,3434.0,1959.0,586.0,436.0,1323.0,1911.0,8208.0,44,38,42,40,0.23,0.13,0.36,105.5,105.2,93.9,0.347,0.161,0.488,13.7,26.8,0.258,0.493,14.7,72.0,0.227,Pepsi Center,702555,67,20.8,-1.8,-0.58,-2.38,0.5,2852,1462,-2.536636795,-1.79373376,-4.330370554,-1.167024081,-1.217362666,0.050338584,-2.453329027,-1.691014725,-4.144343753,0.162133721,67,26,41,20.8,111.5,4.9,26.8,40.7,0.6,18.4,0.1,10.2,7.6,5.4,5.9,18.9,0.011,0.0
5,2006-07,2007,Reggie Evans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,DEN,NBA,PF,66,11,17.1,1.8,3.3,0.544,0.0,0.0,,1.8,3.3,0.544,0.544,1.4,2.8,0.497,2.4,4.6,7.0,0.7,0.6,0.2,1.4,2.2,4.9,1127,5.1,9.4,0.544,0.0,0.0,,5.1,9.4,0.544,4.0,8.0,0.497,6.8,13.3,20.1,2.0,1.8,0.7,4.2,6.3,14.2,101,101,1127,13.5,0.55,0.0,0.851,15.8,29.9,23.0,5.7,1.8,1.0,24.3,14.8,0.4,1.9,2.3,0.096,-2.2,0.0,-2.2,-0.1,82.0,19780.0,3164.0,6805.0,0.465,484.0,1440.0,0.336,2680.0,5365.0,0.5,1827.0,2449.0,0.746,1001.0,2558.0,3559.0,1920.0,678.0,435.0,1352.0,1756.0,8639.0,82.0,19780.0,3257.0,7088.0,0.46,554.0,1569.0,0.353,2703.0,5519.0,0.49,1438.0,1945.0,0.739,1006.0,2461.0,3467.0,2010.0,680.0,424.0,1343.0,1946.0,8506.0,45,37,45,37,1.62,0.07,1.69,107.6,105.9,97.4,0.36,0.212,0.501,14.6,28.9,0.268,0.499,14.5,71.8,0.203,Pepsi Center,706437,66,17.1,-0.97,1.5,0.53,2.83,2313,1127,-1.848543987,1.403654614,-0.444889373,1.328809398,1.328809398,0.0,-1.889018094,0.859909005,-1.029109089,0.237365671,66,37,29,17.1,101.1,4.6,26.1,40.8,0.6,22.8,0.2,16.5,6.6,4.7,5.9,15.9,0.066,0.0
6,2007-08,2008,Reggie Evans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,PHI,NBA,PF,81,61,23.2,1.9,4.3,0.439,0.0,0.0,1.0,1.9,4.3,0.438,0.441,1.5,3.2,0.467,2.8,4.8,7.5,0.8,1.1,0.1,1.3,2.6,5.2,1879,4.3,9.8,0.439,0.0,0.0,1.0,4.3,9.7,0.438,3.4,7.3,0.467,6.3,10.9,17.3,1.8,2.4,0.2,3.1,6.0,12.0,97,103,1879,11.0,0.463,0.003,0.743,14.0,24.7,19.3,5.0,2.4,0.3,19.0,13.6,-0.3,3.0,2.7,0.068,-3.0,0.0,-3.0,-0.5,82.0,19755.0,3056.0,6648.0,0.46,302.0,952.0,0.317,2754.0,5696.0,0.483,1509.0,2137.0,0.706,1067.0,2370.0,3437.0,1673.0,712.0,400.0,1172.0,1620.0,7923.0,82.0,19755.0,3000.0,6504.0,0.461,557.0,1549.0,0.36,2443.0,4955.0,0.493,1332.0,1726.0,0.772,923.0,2293.0,3216.0,1903.0,550.0,420.0,1289.0,1708.0,7889.0,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,90.4,0.321,0.143,0.482,13.4,31.8,0.227,0.504,15.1,72.0,0.205,Wachovia Center,609675,81,23.2,-3.09,3.75,0.66,4.14,3847,2027,-2.661796384,1.861546106,-0.800250278,2.032604291,1.829501392,0.203102899,-2.459276783,1.859460722,-0.59981606,0.342289317,81,40,41,23.2,102.8,4.8,22.8,34.9,1.1,24.5,0.1,5.3,7.2,6.1,5.2,18.1,0.084,0.0
7,2008-09,2009,Reggie Evans,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,PHI,NBA,PF,79,7,14.4,1.0,2.3,0.444,0.0,0.0,0.0,1.0,2.2,0.446,0.444,1.3,2.2,0.594,1.7,2.9,4.6,0.3,0.5,0.1,0.9,2.0,3.3,1137,3.7,8.4,0.444,0.0,0.0,0.0,3.7,8.3,0.446,4.9,8.2,0.594,6.3,10.6,16.9,1.2,1.9,0.4,3.2,7.6,12.3,102,105,1137,10.4,0.514,0.006,0.983,14.1,24.0,19.0,3.3,1.9,0.6,21.3,13.0,0.3,1.6,1.9,0.079,-3.5,-0.6,-4.2,-0.6,82.0,19755.0,2997.0,6532.0,0.459,341.0,1072.0,0.318,2656.0,5460.0,0.486,1652.0,2216.0,0.745,1039.0,2336.0,3375.0,1647.0,658.0,415.0,1157.0,1650.0,7987.0,82.0,19755.0,2997.0,6489.0,0.462,585.0,1595.0,0.367,2412.0,4894.0,0.493,1402.0,1792.0,0.782,935.0,2285.0,3220.0,1799.0,575.0,400.0,1278.0,1786.0,7981.0,41,41,41,41,0.07,0.09,0.16,107.9,107.8,90.0,0.339,0.164,0.485,13.4,31.3,0.253,0.507,14.9,71.4,0.216,Wachovia Center,647898,79,14.4,-3.0,-0.02,-3.01,-0.1,2223,1173,-2.888561863,-0.022149056,-2.910710918,-0.096372532,-0.102662213,0.00628968,-2.925801318,-0.054571192,-2.98037251,0.546305538,79,39,40,14.4,106.8,2.9,21.9,36.0,0.5,21.8,0.1,8.1,5.3,4.3,3.5,12.1,0.039,0.0
8,2009-10,2010,Reggie Evans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,TOR,NBA,PF,28,1,11.1,1.2,2.5,0.493,0.0,0.0,,1.2,2.5,0.493,0.493,1.0,2.1,0.45,1.1,2.7,3.8,0.3,0.5,0.1,0.8,1.6,3.4,311,5.6,11.4,0.493,0.0,0.0,,5.6,11.4,0.493,4.5,10.0,0.45,5.0,12.4,17.4,1.3,2.3,0.7,3.6,7.3,15.8,96,107,311,11.4,0.498,0.0,0.87,11.7,27.7,19.9,3.7,2.3,1.0,18.7,17.2,-0.1,0.3,0.2,0.033,-3.5,-1.1,-4.6,-0.2,82.0,19780.0,3199.0,6631.0,0.482,518.0,1397.0,0.371,2681.0,5234.0,0.512,1618.0,2118.0,0.764,806.0,2507.0,3313.0,1804.0,469.0,384.0,1100.0,1819.0,8534.0,82.0,19780.0,3194.0,6824.0,0.468,609.0,1665.0,0.366,2585.0,5159.0,0.501,1683.0,2146.0,0.784,933.0,2453.0,3386.0,1889.0,580.0,360.0,1040.0,1730.0,8680.0,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,93.1,0.319,0.211,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,Air Canada Centre,733784,28,11.1,-1.94,1.45,-0.49,0.5,610,311,-4.024829931,0.355240636,-3.669589295,-0.147406563,-0.147406563,0.0,-3.498297784,0.173012963,-3.325284821,0.960669731,28,11,17,11.1,100.2,2.7,25.0,39.3,0.5,25.9,0.1,13.8,3.7,2.6,4.6,9.2,0.052,1.58
9,2010-11,2011,Reggie Evans,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,TOR,NBA,PF,30,18,26.6,1.4,3.4,0.408,0.0,0.0,0.0,1.4,3.4,0.412,0.408,1.6,2.9,0.545,4.0,7.5,11.5,1.3,1.0,0.2,1.3,3.0,4.4,798,2.7,6.7,0.408,0.0,0.1,0.0,2.7,6.6,0.412,3.1,5.7,0.545,7.7,14.6,22.3,2.5,1.9,0.4,2.5,5.8,8.6,106,107,798,12.4,0.466,0.01,0.854,17.2,34.4,25.6,6.4,1.9,0.6,21.6,10.1,0.5,0.8,1.3,0.077,-0.9,-0.6,-1.5,0.1,82.0,19780.0,3144.0,6755.0,0.465,345.0,1091.0,0.316,2799.0,5664.0,0.494,1491.0,1976.0,0.755,963.0,2343.0,3306.0,1795.0,581.0,350.0,1206.0,1807.0,8124.0,82.0,19780.0,3213.0,6668.0,0.482,541.0,1438.0,0.376,2672.0,5230.0,0.511,1672.0,2175.0,0.769,912.0,2457.0,3369.0,1854.0,625.0,456.0,1141.0,1620.0,8639.0,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,92.9,0.293,0.162,0.491,13.7,28.2,0.221,0.522,13.0,72.0,0.251,Air Canada Centre,680255,30,26.6,-3.2,1.33,-1.87,0.65,1562,798,-1.3439269,-0.084852029,-1.428778929,0.536505217,0.536505217,0.0,-1.320555766,0.432971455,-0.887584312,-0.24535563,30,11,19,26.6,112.3,7.5,30.2,48.0,1.0,26.4,0.2,11.5,12.0,7.4,10.0,27.7,0.02,1.03
