,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1999-00,2000,Jeff Foster,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,IND,NBA,C,19,0,4.5,0.7,1.2,0.565,0.0,0.1,0.0,0.7,1.2,0.591,0.565,0.9,1.3,0.68,0.6,1.1,1.7,0.3,0.3,0.1,0.1,0.9,2.3,86,7.8,13.8,0.565,0.0,0.6,0.0,7.8,13.2,0.591,10.2,15.0,0.68,7.2,12.0,19.2,3.0,3.0,0.6,1.2,10.8,25.8,138,97,86,25.6,0.632,0.043,1.087,16.3,25.1,20.9,9.4,3.0,0.8,5.6,19.0,0.5,0.2,0.6,0.345,2.8,1.7,4.4,0.1,82.0,19730,3047,6640,0.459,583,1487,0.392,2464,5153,0.478,1629,2008,0.811,842,2612,3454,1857,559,422,1159,1786,8306,82.0,19730,3113,6982,0.446,329,1006,0.327,2784,5976,0.466,1374,1821,0.755,1040,2545,3585,1735,610,323,1126,1910,7929,56,26,54,28,4.6,-0.45,4.15,108.5,103.6,93.1,0.302,0.224,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.197,Conseco Fieldhouse,752145,19,4.5,3.0,0.51,3.52,0.34,169,86,4.240280902,3.303827548,7.544108449,0.45764969,0.45764969,0.0,3.896088281,3.819547565,7.715635847,1.245963332,19,16,3,4.5,99.5,1.1,21.7,30.3,0.3,31.3,0.1,12.5,2.5,1.2,2.3,4.4,0.019,0.0
1,2000-01,2001,Jeff Foster,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,IND,NBA,C,71,9,16.2,1.4,3.0,0.469,0.0,0.1,0.286,1.4,2.9,0.476,0.474,0.7,1.3,0.516,2.0,3.5,5.5,0.5,0.5,0.4,0.7,2.1,3.5,1152,4.7,9.9,0.469,0.1,0.3,0.286,4.6,9.6,0.476,2.2,4.2,0.516,6.7,11.4,18.1,1.5,1.8,1.3,2.4,7.1,11.6,103,98,1152,12.5,0.492,0.033,0.427,14.6,23.4,19.1,4.6,1.8,1.7,17.0,12.4,0.8,1.9,2.7,0.113,-1.9,-0.2,-2.1,0.0,82.0,19980,2828,6431,0.44,396,1159,0.342,2432,5272,0.461,1539,2009,0.766,921,2595,3516,1763,563,487,1244,1926,7591,82.0,19980,2829,6683,0.423,377,1121,0.336,2452,5562,0.441,1572,2074,0.758,1042,2495,3537,1695,589,387,1115,1882,7607,41,41,40,42,-0.2,-0.57,-0.77,102.0,102.2,89.4,0.312,0.18,0.471,14.5,27.0,0.239,0.452,12.8,71.4,0.235,Conseco Fieldhouse,731800,71,16.2,-2.14,2.3,0.16,2.31,2265,1204,-2.354048016,1.920563971,-0.433484045,1.417313391,1.515379914,-0.098066523,-2.389390829,1.610634127,-0.778756702,0.153054857,71,34,37,16.3,94.3,3.5,20.5,31.1,0.5,20.7,0.4,18.2,5.4,3.6,3.9,10.1,0.083,0.0
2,2001-02,2002,Jeff Foster,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,IND,NBA,C,82,48,21.8,2.2,4.8,0.449,0.0,0.2,0.133,2.1,4.6,0.462,0.452,1.4,2.2,0.61,2.5,4.3,6.8,0.9,0.9,0.5,1.0,2.8,5.7,1786,5.2,11.5,0.449,0.1,0.4,0.133,5.1,11.1,0.462,3.2,5.3,0.61,6.0,10.2,16.3,2.0,2.1,1.1,2.3,6.8,13.7,105,101,1786,12.9,0.493,0.038,0.462,13.3,21.6,17.6,6.1,2.1,1.5,14.3,14.0,1.5,2.7,4.2,0.113,-1.7,0.3,-1.4,0.3,82.0,19905,2935,6580,0.446,405,1195,0.339,2530,5385,0.47,1663,2155,0.772,930,2568,3498,1884,658,436,1249,1876,7938,82.0,19905,2977,6800,0.438,418,1200,0.348,2559,5600,0.457,1544,2062,0.749,1048,2514,3562,1771,618,466,1173,1855,7916,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,91.9,0.328,0.182,0.477,14.2,27.0,0.253,0.469,13.2,71.0,0.227,Conseco Fieldhouse,686537,82,21.8,-1.9,2.23,0.33,3.5,3608,1864,-1.973422972,1.488772964,-0.484650008,2.162884996,2.08226745,0.080617547,-1.812264884,1.618222997,-0.194041887,0.270988163,82,42,40,21.8,100.1,4.3,19.1,30.1,0.9,23.5,0.5,19.0,6.9,6.7,6.4,17.3,0.079,0.0
3,2002-03,2003,Jeff Foster,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,IND,NBA,C,77,2,10.4,0.8,2.3,0.36,0.0,0.0,0.0,0.8,2.3,0.364,0.36,0.4,0.8,0.54,1.5,2.1,3.6,0.7,0.4,0.3,0.4,1.3,2.1,802,4.2,11.6,0.36,0.0,0.1,0.0,4.2,11.5,0.364,2.2,4.1,0.54,7.7,10.5,18.2,3.3,1.8,1.4,2.2,6.7,10.6,99,98,802,12.0,0.394,0.011,0.354,16.9,22.0,19.5,9.8,1.8,1.9,14.2,13.5,0.2,1.4,1.6,0.098,-2.0,0.2,-1.8,0.0,82.0,19905,2911,6608,0.441,379,1119,0.339,2532,5489,0.461,1739,2271,0.766,1004,2622,3626,1910,696,443,1210,1811,7940,82.0,19905,2860,6690,0.428,407,1197,0.34,2453,5493,0.447,1527,1992,0.767,1006,2458,3464,1696,620,513,1258,1923,7654,48,34,51,31,3.49,-0.7,2.79,104.6,100.8,91.6,0.344,0.169,0.469,13.7,29.0,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,670461,77,10.4,-1.76,1.1,-0.66,1.25,1619,840,-2.553128906,0.90647741,-1.646651496,0.475199936,0.389436137,0.085763799,-2.513817127,0.390194034,-2.123623093,-0.239475279,77,45,32,10.4,96.0,2.1,20.7,31.4,0.4,21.9,0.3,26.3,3.6,2.6,3.0,8.3,0.049,0.0
4,2003-04,2004,Jeff Foster,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,IND,NBA,C,82,79,23.9,2.4,4.4,0.544,0.0,0.0,0.0,2.4,4.4,0.55,0.544,1.3,1.9,0.669,3.0,4.4,7.4,0.8,0.9,0.3,0.7,2.3,6.1,1961,5.5,10.1,0.544,0.0,0.1,0.0,5.5,10.0,0.55,2.9,4.3,0.669,6.9,10.1,17.1,1.8,2.0,0.8,1.7,5.3,13.9,122,96,1961,16.2,0.578,0.011,0.425,14.8,22.0,18.4,5.5,2.0,1.1,12.3,11.8,4.4,3.8,8.3,0.202,0.8,0.5,1.3,1.6,82.0,19805,2753,6322,0.435,449,1281,0.351,2304,5041,0.457,1538,2014,0.764,965,2452,3417,1774,726,411,1182,1709,7493,82.0,19805,2671,6180,0.432,329,1014,0.324,2342,5166,0.453,1350,1800,0.75,867,2423,3290,1649,582,512,1301,1794,7021,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,87.5,0.319,0.203,0.471,14.1,28.5,0.243,0.459,15.7,73.9,0.218,Conseco Fieldhouse,678326,82,23.9,-0.24,2.9,2.66,7.59,4176,2268,0.545592625,3.215284414,3.760877039,7.537156693,6.27388254,1.263274153,0.301531082,3.05853361,3.360064692,-0.455265669,82,61,21,23.8,91.6,4.4,19.4,28.4,0.9,19.0,0.3,13.3,6.8,5.3,5.5,18.0,0.14,0.0
5,2004-05,2005,Jeff Foster,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,IND,NBA,C,61,43,26.1,2.8,5.3,0.519,0.0,0.1,0.0,2.8,5.2,0.527,0.519,1.5,2.3,0.634,3.4,5.7,9.0,0.7,0.8,0.2,0.9,3.0,7.0,1594,5.8,11.2,0.519,0.0,0.2,0.0,5.8,11.0,0.527,3.1,4.9,0.634,7.1,11.9,19.0,1.5,1.6,0.4,1.9,6.4,14.7,118,102,1594,15.4,0.551,0.015,0.438,15.6,25.4,20.6,4.8,1.6,0.6,12.5,13.3,2.9,2.5,5.4,0.162,0.2,-0.4,-0.3,0.7,82.0,19905,2668,6169,0.432,542,1575,0.344,2126,4594,0.463,1748,2206,0.792,868,2418,3286,1489,615,357,1173,1890,7626,82.0,19905,2768,6284,0.44,391,1071,0.365,2377,5213,0.456,1637,2202,0.743,972,2416,3388,1540,549,398,1142,1883,7564,44,38,43,39,0.76,-0.27,0.49,105.5,104.6,87.2,0.358,0.255,0.476,14.1,26.4,0.283,0.472,13.6,71.3,0.261,Conseco Fieldhouse,696764,61,26.1,-1.67,4.63,2.96,6.15,3369,1839,0.682529092,3.009935479,3.692464571,6.084027636,4.505495113,1.578532522,0.384462139,3.026919145,3.411381284,-0.28828362,61,32,29,26.3,96.4,5.7,22.2,33.0,0.8,19.2,0.2,9.3,6.7,6.1,5.8,19.7,0.136,0.0
6,2005-06,2006,Jeff Foster,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,IND,NBA,C,63,37,25.1,2.2,4.0,0.552,0.0,0.1,0.0,2.2,3.9,0.561,0.552,1.5,2.5,0.604,3.6,5.6,9.1,0.8,0.7,0.4,1.0,3.0,5.9,1581,4.7,8.5,0.552,0.0,0.1,0.0,4.7,8.3,0.561,3.3,5.4,0.604,7.6,11.9,19.4,1.7,1.4,0.9,2.2,6.5,12.6,120,100,1581,15.1,0.581,0.016,0.636,16.9,24.8,20.9,5.1,1.4,1.2,16.7,11.3,2.8,2.9,5.7,0.174,-0.3,0.4,0.0,0.8,82.0,19730,2786,6274,0.444,536,1536,0.349,2250,4738,0.475,1591,2158,0.737,898,2559,3457,1631,598,409,1254,1821,7699,82.0,19730,2831,6504,0.435,371,1083,0.343,2460,5421,0.454,1511,2060,0.733,968,2416,3384,1520,661,399,1112,1800,7544,41,41,47,35,1.89,-0.27,1.62,104.5,102.4,89.7,0.344,0.245,0.487,14.8,27.1,0.254,0.464,13.0,72.6,0.232,Conseco Fieldhouse,663368,63,25.1,-0.57,2.03,1.46,4.59,3134,1661,0.18122687,2.214296158,2.395523028,4.359478787,4.040142579,0.319336208,-0.143547725,2.358588805,2.21504108,-0.291870906,63,30,33,25.1,100.2,5.6,22.7,34.2,0.7,18.5,0.4,18.0,8.2,6.0,6.0,20.8,0.102,0.0
7,2006-07,2007,Jeff Foster,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,IND,NBA,C,75,43,23.2,1.6,3.5,0.469,0.0,0.0,0.0,1.6,3.5,0.471,0.469,1.0,1.6,0.639,3.4,4.7,8.1,0.8,0.8,0.5,0.9,2.7,4.3,1740,3.6,7.8,0.469,0.0,0.0,0.0,3.6,7.7,0.471,2.3,3.6,0.639,7.5,10.6,18.2,1.7,1.9,1.1,2.1,6.0,9.6,113,102,1740,13.0,0.513,0.004,0.469,16.5,24.1,20.2,5.0,1.9,1.6,18.2,9.9,1.8,2.7,4.5,0.124,-1.2,0.3,-0.9,0.5,82.0,19780,2872,6561,0.438,481,1389,0.346,2391,5172,0.462,1615,2125,0.76,990,2441,3431,1680,599,447,1335,1912,7840,82.0,19780,2931,6416,0.457,437,1175,0.372,2494,5241,0.476,1741,2311,0.753,915,2499,3414,1642,644,410,1289,1942,8040,35,47,34,48,-2.44,-0.18,-2.62,102.9,105.5,92.4,0.324,0.212,0.474,15.1,28.4,0.246,0.491,14.8,72.7,0.271,Conseco Fieldhouse,629750,75,23.2,-2.42,1.96,-0.46,3.04,3388,1740,-0.60120551,1.174398381,0.573192872,2.938083859,2.938083859,0.0,-0.872338013,1.48749758,0.615159568,-0.380788067,75,32,43,23.2,103.1,4.7,22.2,32.8,0.8,22.1,0.5,20.1,8.5,5.4,6.4,18.5,0.075,0.0
8,2007-08,2008,Jeff Foster,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,IND,NBA,C,77,52,24.5,2.7,4.8,0.55,0.0,0.0,0.0,2.7,4.8,0.554,0.55,1.1,1.9,0.593,3.4,5.2,8.7,1.7,0.7,0.4,0.8,2.9,6.4,1884,5.3,9.7,0.55,0.0,0.1,0.0,5.3,9.7,0.554,2.2,3.8,0.593,6.9,10.5,17.4,3.4,1.5,0.8,1.6,5.8,12.9,126,105,1884,15.7,0.568,0.008,0.389,14.9,23.8,19.3,10.1,1.5,1.3,12.4,11.5,4.0,2.4,6.5,0.165,0.3,0.2,0.5,1.2,82.0,19755,3102,6993,0.444,755,2021,0.374,2347,4972,0.472,1568,2042,0.768,904,2633,3537,1864,623,412,1236,1921,8527,82.0,19755,3093,6817,0.454,606,1571,0.386,2487,5246,0.474,1850,2443,0.757,929,2800,3729,1820,663,416,1297,1782,8642,36,46,37,45,-1.4,-0.46,-1.87,106.0,107.5,97.7,0.292,0.289,0.498,13.5,24.4,0.224,0.498,14.1,73.9,0.271,Conseco Fieldhouse,501092,77,24.5,-0.4,0.84,0.44,4.18,3879,1884,-0.149130523,1.171297454,1.022166931,3.609102371,3.609102371,0.0,-0.464336683,1.400178876,0.935842193,-0.432637825,77,34,43,24.5,104.4,5.2,21.7,31.9,0.7,19.4,0.4,19.9,8.0,6.2,5.9,18.7,0.077,0.0
9,2008-09,2009,Jeff Foster,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,IND,NBA,C,74,26,24.7,2.4,4.8,0.501,0.0,0.1,0.286,2.4,4.7,0.506,0.504,1.3,2.0,0.658,2.9,4.0,6.9,1.8,0.7,0.7,1.2,3.1,6.1,1828,4.8,9.6,0.501,0.1,0.2,0.286,4.8,9.4,0.506,2.6,4.0,0.658,5.9,8.0,13.8,3.5,1.4,1.3,2.4,6.2,12.3,115,108,1828,13.0,0.542,0.02,0.414,12.8,17.8,15.3,9.9,1.4,2.0,17.4,12.0,2.3,1.9,4.2,0.111,-1.2,0.6,-0.6,0.7,82.0,19830,3220,7080,0.455,652,1725,0.378,2568,5355,0.48,1525,1890,0.807,924,2661,3585,1775,573,434,1189,1895,8617,82.0,19830,3141,6862,0.458,569,1519,0.375,2572,5343,0.481,1857,2431,0.764,909,2708,3617,1731,635,444,1151,1692,8708,36,46,38,44,-1.11,0.35,-0.76,108.1,109.2,96.5,0.267,0.244,0.501,13.1,25.4,0.215,0.499,12.7,74.5,0.271,Conseco Fieldhouse,581472,74,24.7,-1.02,3.01,1.98,6.2,3717,1828,-0.974677969,2.06632154,1.091643571,3.573627106,3.573627106,0.0,-1.065081002,1.99225055,0.927169548,-0.239974814,74,31,43,24.7,103.6,4.0,16.0,23.4,0.7,20.2,0.7,28.2,8.7,5.9,5.9,17.7,0.09,0.0
