,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2014-15,2015,Jerami Grant,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,PHI,NBA,SF,65,11,21.2,1.9,5.4,0.352,0.8,2.4,0.314,1.2,3.0,0.383,0.422,1.8,3.0,0.591,0.8,2.3,3.0,1.2,0.6,1.0,1.3,2.2,6.3,1377,4.5,12.8,0.352,1.8,5.7,0.314,2.7,7.1,0.383,4.2,7.0,0.591,1.8,5.4,7.2,2.9,1.5,2.5,3.1,5.2,15.0,91,106,1377,8.7,0.47,0.443,0.548,3.7,12.3,7.8,9.4,1.5,4.0,16.3,16.5,-0.9,1.4,0.5,0.019,-3.9,0.6,-3.3,-0.5,82.0,19805,2765,6777,0.408,692,2160,0.32,2073,4617,0.449,1320,1953,0.676,978,2536,3514,1683,789,487,1453,1778,7542,82.0,19805,3045,6785,0.449,658,1879,0.35,2387,4906,0.487,1530,2023,0.756,940,2853,3793,1942,779,454,1374,1657,8278,18,64,18,64,-8.98,-0.07,-9.04,95.5,104.8,95.7,0.288,0.319,0.459,16.0,25.5,0.195,0.497,15.2,73.0,0.225,Wells Fargo Center,571572,65,21.2,-1.97,0.39,-1.59,1.09,2844,1377,-2.64022573,0.324738189,-2.315487541,0.308240653,0.308240653,0.0,-3.036634877,-0.375287625,-3.411922502,0.934843797,65,18,47,21.2,100.1,2.3,10.4,16.5,0.6,15.7,1.0,32.1,9.2,6.0,6.3,17.2,0.088,0.35
1,2015-16,2016,Jerami Grant,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,PHI,NBA,PF,77,52,26.8,3.3,7.8,0.419,0.5,1.9,0.24,2.8,5.9,0.477,0.448,2.8,4.2,0.658,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7,2066,6.0,14.2,0.419,0.8,3.5,0.24,5.1,10.7,0.477,5.0,7.6,0.658,2.3,6.2,8.6,3.2,1.3,3.0,2.6,5.1,17.8,100,108,2066,12.6,0.506,0.244,0.538,5.0,14.3,9.5,10.4,1.3,4.7,12.9,18.0,0.5,1.6,2.1,0.05,-2.1,0.4,-1.7,0.1,82.0,19805,2970,6887,0.431,764,2255,0.339,2206,4632,0.476,1284,1850,0.694,777,2605,3382,1765,680,495,1343,1780,7988,82.0,19805,3253,7005,0.464,638,1776,0.359,2615,5229,0.5,1683,2141,0.786,913,2987,3900,1919,711,466,1241,1571,8827,10,72,16,66,-10.23,0.31,-9.92,98.8,109.2,97.9,0.269,0.327,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24,Wells Fargo Center,614650,77,26.8,-1.7,0.13,-1.57,1.08,4295,2066,-2.473602672,0.880951501,-1.592651171,1.222232355,1.222232355,0.0,-2.366812622,0.307239484,-2.059573138,0.184374767,77,9,68,26.8,106.6,3.4,12.2,18.8,0.7,15.9,1.6,43.1,11.4,8.2,9.0,25.2,0.062,0.17
2,2016-17,2017,Jerami Grant,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,PHI,NBA,PF,2,0,20.5,3.0,8.5,0.353,0.0,1.0,0.0,3.0,7.5,0.4,0.353,2.0,4.0,0.5,0.0,3.0,3.0,0.0,0.0,2.0,1.5,2.5,8.0,41,7.1,20.2,0.353,0.0,2.4,0.0,7.1,17.8,0.4,4.8,9.5,0.5,0.0,7.1,7.1,0.0,0.0,4.8,3.6,5.9,19.0,70,108,41,3.0,0.39,0.118,0.471,0.0,16.2,8.1,0.0,0.0,7.7,12.8,24.9,-0.2,0.0,-0.1,-0.144,-8.0,-0.3,-8.3,-0.1,82.0,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400,82.0,19830,3244,7043,0.461,729,2044,0.357,2515,4999,0.503,1650,2135,0.773,886,2802,3688,1859,704,446,1241,1610,8867,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,Wells Fargo Center,710557,80,19.1,-2.06,-1.23,-3.29,-1.56,3412,1642,-1.940774492,-0.412079286,-2.352853778,0.320730042,0.765321941,-0.444591899,-2.597549628,-0.718443657,-3.315993285,-0.37832716,80,43,37,19.1,108.4,2.1,10.6,15.7,0.4,14.5,1.0,41.8,6.6,5.0,5.1,19.7,0.049,0.3
3,2016-17,2017,Jerami Grant,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,OKC,NBA,PF,78,4,19.1,1.9,4.0,0.469,0.6,1.5,0.377,1.3,2.5,0.523,0.539,1.1,1.8,0.619,0.5,2.1,2.6,0.6,0.4,1.0,0.5,1.8,5.4,1490,4.8,10.2,0.469,1.4,3.8,0.377,3.4,6.5,0.523,2.8,4.6,0.619,1.3,5.3,6.6,1.5,1.1,2.5,1.4,4.7,13.9,113,108,1490,10.3,0.566,0.367,0.447,2.8,12.0,7.4,4.3,1.1,4.0,9.9,11.8,1.3,1.7,3.0,0.098,-1.9,0.9,-1.1,0.4,82.0,19805,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1230,1715,8741,82.0,19805,3215,6998,0.459,724,2036,0.356,2491,4962,0.502,1525,1996,0.764,750,2583,3333,1758,698,450,1129,1697,8679,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218,Chesapeake Energy Arena,746323,80,19.1,-2.06,-1.23,-3.29,-1.56,3412,1642,-1.940774492,-0.412079286,-2.352853778,0.320730042,0.765321941,-0.444591899,-2.597549628,-0.718443657,-3.315993285,-0.37832716,80,43,37,19.1,108.4,2.1,10.6,15.7,0.4,14.5,1.0,41.8,6.6,5.0,5.1,19.7,0.049,0.3
4,2017-18,2018,Jerami Grant,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,OKC,NBA,PF,81,1,20.3,3.0,5.6,0.535,0.4,1.4,0.291,2.6,4.3,0.613,0.57,2.0,3.0,0.675,1.1,2.9,3.9,0.7,0.4,1.0,0.7,1.9,8.4,1647,7.4,13.7,0.535,1.0,3.3,0.291,6.4,10.4,0.613,4.9,7.2,0.675,2.6,7.0,9.6,1.7,0.9,2.3,1.6,4.7,20.6,122,108,1647,16.2,0.607,0.241,0.526,5.6,16.3,10.7,5.1,0.9,4.2,8.8,16.0,3.5,1.9,5.4,0.156,0.0,0.3,0.3,1.0,82.0,19830,3271,7221,0.453,881,2491,0.354,2390,4730,0.505,1421,1985,0.716,1024,2671,3695,1750,743,412,1147,1653,8844,82.0,19830,3156,6885,0.458,920,2507,0.367,2236,4378,0.511,1332,1733,0.769,781,2676,3457,1911,630,377,1315,1750,8564,48,34,50,32,3.41,0.0,3.42,110.7,107.2,96.7,0.275,0.345,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,746322,81,20.3,-1.49,2.03,0.54,2.17,3648,1780,-0.937306126,0.979576249,0.042270123,2.535654892,2.012590727,0.523064165,-0.87525613,-0.008468496,-0.883724626,-0.755815119,81,48,33,20.3,104.7,2.9,14.0,21.3,0.4,11.1,1.0,37.0,6.1,6.2,4.3,17.9,0.073,0.55
5,2018-19,2019,Jerami Grant,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,OKC,NBA,PF,80,77,32.7,5.1,10.3,0.497,1.4,3.7,0.392,3.7,6.6,0.555,0.567,2.0,2.8,0.71,1.2,4.0,5.2,1.0,0.8,1.3,0.8,2.7,13.6,2612,7.3,14.7,0.497,2.1,5.2,0.392,5.3,9.5,0.555,2.8,3.9,0.71,1.7,5.7,7.5,1.4,1.1,1.8,1.2,3.8,19.5,119,108,2612,13.8,0.592,0.356,0.269,3.7,13.1,8.2,4.2,1.1,3.2,6.8,15.4,4.0,3.3,7.3,0.134,-0.4,0.6,0.2,1.5,82.0,19855,3497,7706,0.454,932,2677,0.348,2565,5029,0.51,1461,2049,0.713,1031,2911,3942,1917,766,425,1145,1839,9387,82.0,19855,3343,7272,0.46,922,2592,0.356,2421,4680,0.517,1500,1971,0.761,811,2936,3747,2039,672,415,1372,1844,9108,49,33,50,32,3.4,0.15,3.56,110.3,107.0,102.8,0.266,0.347,0.514,11.7,26.0,0.19,0.523,14.4,78.2,0.206,Chesapeake Energy Arena,746323,80,32.7,-0.61,0.78,0.17,2.8,6067,2788,-0.286538944,1.178368894,0.891829951,5.211769775,4.599217154,0.612552621,-0.6807938,1.820136589,1.139342789,0.126244657,80,48,32,32.7,105.6,4.0,11.8,16.5,0.8,12.1,1.3,37.6,10.7,8.0,8.3,32.5,0.126,1.31
6,2019-20,2020,Jerami Grant,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DEN,NBA,PF,71,24,26.6,4.3,8.9,0.478,1.4,3.5,0.389,2.9,5.4,0.537,0.555,2.1,2.8,0.75,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0,1892,7.9,16.6,0.478,2.6,6.6,0.389,5.4,10.0,0.537,3.8,5.1,0.75,1.5,5.0,6.5,2.3,1.3,1.5,1.6,4.0,22.2,117,112,1892,14.4,0.591,0.397,0.309,3.4,11.2,7.3,6.6,1.3,2.8,8.0,18.0,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7,73.0,17745,3069,6488,0.473,801,2234,0.359,2268,4254,0.533,1185,1526,0.777,786,2436,3222,1952,586,337,1005,1485,8124,73.0,17745,2919,6311,0.463,885,2473,0.358,2034,3838,0.53,1247,1643,0.759,736,2377,3113,1852,525,324,1041,1494,7970,46,27,41,32,2.11,0.24,2.35,113.1,111.0,97.1,0.235,0.344,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,Pepsi Center,633153,71,26.6,-1.04,-1.04,-2.09,0.03,5200,2545,-0.981641202,-1.15139368,-2.133034882,0.82510616,0.36247571,0.462630449,-0.506307274,-0.603624299,-1.109931573,-0.083805398,71,45,26,26.6,112.3,2.7,9.9,15.0,0.7,17.5,0.8,29.2,9.2,7.0,6.8,27.5,0.052,-1.17
7,2020-21,2021,Jerami Grant,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,DET,NBA,SF,54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4.0,4.6,2.8,0.6,1.1,2.0,2.3,22.3,1829,10.7,25.0,0.429,3.1,8.8,0.35,7.6,16.2,0.473,7.8,9.2,0.845,0.9,5.8,6.7,4.1,0.9,1.6,2.9,3.4,32.3,109,114,1829,16.9,0.556,0.353,0.368,2.1,13.2,7.6,14.3,0.9,2.8,9.1,28.5,1.6,1.6,3.2,0.083,1.9,-0.8,1.1,1.4,72.0,17430,2783,6162,0.452,832,2370,0.351,1951,3792,0.515,1278,1683,0.759,694,2381,3075,1743,531,371,1075,1477,7676,72.0,17430,2980,6260,0.476,817,2260,0.362,2163,4000,0.541,1221,1607,0.76,717,2475,3192,1785,578,419,1004,1469,7998,20,52,26,46,-4.47,0.09,-4.38,108.0,112.5,97.9,0.273,0.385,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena,14250,54,33.9,-0.02,1.37,1.35,5.74,3780,1829,1.07080228422161,-0.4375042943323939,0.6332979898892159,3.169332636446739,3.169332636446739,0.0,1.066903762519707,-0.9174585700357326,0.1494451924839745,0.3898298024718953,54,15,39,33.9,111.5,4.0,11.8,17.1,0.6,12.3,1.1,29.4,11.2,9.2,7.6,35.1,0.091,-0.22
8,2021-22,2022,Jerami Grant,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,DET,NBA,PF,47,47,31.9,6.3,14.9,0.426,1.9,5.4,0.358,4.4,9.5,0.465,0.491,4.6,5.5,0.838,0.6,3.5,4.1,2.4,0.9,1.0,1.8,2.3,19.2,1500,9.7,22.7,0.426,3.0,8.3,0.358,6.7,14.5,0.465,7.1,8.4,0.838,0.9,5.3,6.2,3.6,1.4,1.6,2.8,3.5,29.4,109,114,1500,16.1,0.556,0.363,0.371,1.9,12.4,6.9,12.5,1.4,2.9,9.5,25.7,1.2,1.1,2.3,0.075,1.4,-0.2,1.2,1.2,82.0,19780,3129,7267,0.431,925,2838,0.326,2204,4429,0.498,1413,1806,0.782,900,2625,3525,1924,630,393,1163,1799,8596,82.0,19780,3333,7051,0.473,966,2668,0.362,2367,4383,0.54,1597,2056,0.777,847,2946,3793,2061,606,427,1197,1625,9229,23,59,22,60,-7.72,0.37,-7.36,106.0,113.8,98.4,0.249,0.391,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,Little Caesars Arena,663556,47,31.9,-0.2,1.99,1.79,5.97,3072,1500,-0.5228566792579588,-0.6882653598021816,-1.21112203906014,1.176527362333205,1.176527362333205,0.0,-0.8774984774992712,-0.8565105023468359,-1.734008979846107,-0.0998532419581059,47,11,36,31.9,110.7,3.5,10.8,15.9,0.9,21.6,1.0,31.2,11.2,8.1,6.8,32.2,0.089,0.76
9,2022-23,2023,Jerami Grant,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,POR,NBA,PF,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,2246,9.4,19.8,0.475,3.1,7.8,0.401,6.3,12.0,0.523,6.0,7.4,0.813,1.1,5.0,6.1,3.3,1.1,1.1,2.5,3.3,28.0,117,120,2246,16.0,0.606,0.393,0.375,2.7,11.9,7.2,10.3,1.1,2.1,9.8,22.8,3.1,1.0,4.1,0.087,1.2,-1.4,-0.2,1.0,82.0,19730,3317,7001,0.474,1056,2893,0.365,2261,4108,0.55,1609,2021,0.796,774,2551,3325,1981,553,376,1185,1643,9299,82.0,19730,3522,7176,0.491,1029,2717,0.379,2493,4459,0.559,1555,1977,0.787,857,2686,3543,2214,640,352,1108,1679,9628,33,49,31,51,-4.01,0.05,-3.96,114.8,118.8,98.6,0.289,0.413,0.549,13.1,22.4,0.23,0.563,12.1,74.9,0.217,Moda Center,767374,63,35.7,-0.33,2.08,1.75,8.08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,28,35,35.6,117.3,3.7,10.4,15.5,0.8,17.4,0.8,25.9,12.4,10.3,10.4,39.6,0.06,-0.28
