,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2003-04,2004,Udonis Haslem,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIA,NBA,PF,75,24,23.9,2.7,6.0,0.459,0.0,0.0,0.0,2.7,5.9,0.462,0.459,1.9,2.4,0.765,2.5,3.8,6.3,0.7,0.4,0.3,1.0,2.6,7.3,1795,6.2,13.6,0.459,0.0,0.1,0.0,6.2,13.5,0.462,4.3,5.6,0.765,5.7,8.6,14.4,1.6,1.0,0.7,2.2,6.0,16.7,109,102,1795,13.7,0.521,0.007,0.409,12.1,18.7,15.4,4.9,1.0,1.1,12.3,15.8,2.7,2.1,4.8,0.128,-1.1,-0.9,-2.0,0.0,82.0,19755,2729,6417,0.425,485,1357,0.357,2244,5060,0.443,1459,1915,0.762,940,2459,3399,1565,590,313,1137,1812,7402,82.0,19755,2658,6205,0.428,431,1256,0.343,2227,4949,0.45,1612,2100,0.768,892,2486,3378,1526,578,439,1207,1729,7359,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,88.0,0.298,0.211,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,AmericanAirlines Arena,624809,75,23.9,-1.7,1.25,-0.44,3.43,3691,1994,-0.760189962,-0.895827326,-1.656017288,1.121614564,0.8261927,0.295421864,-1.159077606,-1.038637719,-2.197715325,-0.303739162,75,39,36,24.0,99.2,3.8,16.5,25.7,0.4,12.4,0.3,15.1,7.8,6.5,5.2,17.0,0.08,0.0
1,2004-05,2005,Udonis Haslem,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,MIA,NBA,PF,80,80,33.4,4.3,8.0,0.54,0.0,0.1,0.0,4.3,8.0,0.543,0.54,2.2,2.8,0.791,3.0,6.1,9.1,1.4,0.8,0.5,1.4,3.3,10.9,2675,6.8,12.7,0.54,0.0,0.1,0.0,6.8,12.6,0.543,3.5,4.4,0.791,4.7,9.6,14.3,2.1,1.2,0.8,2.2,5.1,17.2,118,102,2675,15.5,0.588,0.006,0.351,10.9,20.4,15.8,6.3,1.2,1.1,13.2,14.9,5.2,4.0,9.2,0.165,0.2,0.3,0.4,1.6,82.0,19980,3097,6368,0.486,475,1260,0.377,2622,5108,0.513,1658,2466,0.672,887,2639,3526,1790,528,474,1127,1814,8327,82.0,19980,2865,6705,0.427,441,1269,0.348,2424,5436,0.446,1621,2134,0.76,922,2397,3319,1620,611,264,1085,2020,7792,59,23,59,23,6.52,-0.76,5.77,110.2,103.1,90.8,0.387,0.198,0.524,13.1,27.0,0.26,0.46,12.4,74.1,0.242,AmericanAirlines Arena,815143,80,33.4,-0.69,1.02,0.32,6.15,6150,3218,0.636519693,0.69355686,1.330076553,6.689886735,5.779651035,0.910235701,0.545261394,1.091325667,1.636587062,-0.480755751,80,59,21,33.5,101.9,6.1,18.2,27.7,0.8,18.0,0.5,13.4,10.2,8.6,7.8,23.7,0.114,0.0
2,2005-06,2006,Udonis Haslem,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,MIA,NBA,PF,81,80,30.8,3.7,7.3,0.508,0.0,0.0,0.0,3.7,7.3,0.509,0.508,1.9,2.5,0.789,2.1,5.8,7.8,1.2,0.6,0.2,1.0,2.7,9.3,2491,6.3,12.4,0.508,0.0,0.0,0.0,6.3,12.4,0.509,3.3,4.2,0.789,3.5,9.8,13.3,2.0,1.1,0.4,1.7,4.5,15.9,116,105,2491,13.7,0.558,0.003,0.337,8.2,21.2,15.0,5.9,1.1,0.5,10.5,14.1,3.9,3.1,7.0,0.134,-0.4,-0.1,-0.5,0.9,82.0,19755,3039,6355,0.478,497,1441,0.345,2542,4914,0.517,1616,2310,0.7,858,2675,3533,1692,522,442,1186,1871,8191,82.0,19755,2871,6529,0.44,490,1359,0.361,2381,5170,0.461,1642,2223,0.739,826,2359,3185,1596,560,298,1063,1938,7874,52,30,52,30,3.87,-0.27,3.59,108.7,104.5,91.6,0.363,0.227,0.517,13.9,26.7,0.254,0.477,12.4,76.4,0.251,AmericanAirlines Arena,818149,81,30.8,-1.58,1.32,-0.26,4.42,6045,3141,-0.977373159,0.595760437,-0.381612722,3.80173786,2.998724863,0.803012997,-1.126135758,0.762721152,-0.363414607,-0.435204163,81,52,29,30.7,102.3,5.8,19.0,27.7,0.6,15.1,0.2,6.0,10.3,7.7,7.8,23.2,0.105,0.0
3,2006-07,2007,Udonis Haslem,18T,0.0,1.0,1.0,False,1.0,5.0,500.0,26,MIA,NBA,PF,79,79,31.4,4.5,9.1,0.492,0.0,0.1,0.0,4.5,9.0,0.495,0.492,1.7,2.6,0.68,2.4,5.9,8.3,1.2,0.6,0.3,1.4,3.0,10.7,2483,7.6,15.4,0.492,0.0,0.1,0.0,7.6,15.3,0.495,3.0,4.4,0.68,4.0,10.0,14.1,2.1,1.1,0.6,2.4,5.1,18.1,106,105,2483,13.7,0.523,0.006,0.283,9.2,21.6,15.5,6.6,1.1,0.8,12.0,17.5,2.0,3.1,5.1,0.099,-1.6,-0.8,-2.3,-0.2,82.0,19855,2919,6288,0.464,528,1539,0.343,2391,4749,0.503,1393,2019,0.69,817,2526,3343,1681,566,442,1201,1749,7759,82.0,19855,2895,6517,0.444,531,1495,0.355,2364,5022,0.471,1513,2039,0.742,921,2467,3388,1656,562,314,1185,1790,7834,44,38,38,44,-0.91,-0.29,-1.21,104.3,105.3,89.9,0.321,0.245,0.506,14.3,24.9,0.222,0.485,13.8,73.3,0.232,AmericanAirlines Arena,808541,79,31.4,-1.58,0.14,-1.44,2.8,4903,2586,-1.142080504,0.307965932,-0.834114572,2.523431151,2.394414168,0.129016983,-1.320888012,0.650479925,-0.670408087,-0.289896812,79,43,36,31.4,103.7,5.9,18.8,28.7,0.6,14.6,0.3,9.5,10.3,8.6,8.5,24.2,0.099,0.0
4,2007-08,2008,Udonis Haslem,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,27,MIA,NBA,PF,49,48,36.8,4.8,10.3,0.467,0.0,0.0,,4.8,10.3,0.467,0.467,2.3,2.9,0.81,2.2,6.9,9.0,1.4,0.8,0.4,1.4,3.0,12.0,1805,7.0,14.9,0.467,0.0,0.0,,7.0,14.9,0.467,3.4,4.2,0.81,3.2,9.9,13.1,2.0,1.1,0.5,2.0,4.3,17.4,104,109,1805,12.7,0.517,0.0,0.28,7.0,22.7,14.7,6.5,1.1,0.8,10.5,16.7,1.0,1.5,2.5,0.067,-1.8,-0.9,-2.7,-0.3,82.0,19830,2808,6336,0.443,491,1373,0.358,2317,4963,0.467,1384,1903,0.727,743,2342,3085,1644,589,355,1202,1670,7491,82.0,19830,3029,6477,0.468,552,1497,0.369,2477,4980,0.497,1590,2105,0.755,916,2617,3533,1817,631,341,1166,1650,8200,15,67,18,64,-8.65,0.11,-8.53,100.5,110.0,90.2,0.3,0.217,0.482,14.4,22.1,0.218,0.51,13.6,71.9,0.245,AmericanAirlines Arena,798004,49,36.8,-2.37,-1.33,-3.7,-1.17,3431,1805,-2.637750122,-0.24586038,-2.883610502,-0.122445189,-0.122445189,0.0,-2.816852634,0.296235381,-2.520617253,-0.454822089,49,10,39,36.8,108.9,6.9,20.0,30.7,0.8,13.7,0.4,9.5,13.5,10.0,10.8,30.7,0.067,0.0
5,2008-09,2009,Udonis Haslem,-1,0.0,1.0,0.0,False,1.0,0.0,500.0,28,MIA,NBA,PF,75,75,34.1,4.4,8.6,0.518,0.0,0.0,,4.4,8.6,0.518,0.518,1.7,2.3,0.753,2.3,6.0,8.2,1.1,0.6,0.3,1.1,2.7,10.6,2560,6.9,13.4,0.518,0.0,0.0,,6.9,13.4,0.518,2.7,3.5,0.753,3.5,9.4,12.9,1.8,0.9,0.5,1.7,4.3,16.6,113,108,2560,13.1,0.553,0.0,0.264,7.8,21.2,14.4,5.3,0.9,0.8,10.3,14.7,3.0,2.6,5.7,0.106,-1.4,-0.9,-2.3,-0.2,82.0,19955,3034,6646,0.457,582,1631,0.357,2452,5015,0.489,1411,1871,0.754,828,2411,3239,1671,651,451,1026,1696,8061,82.0,19955,2920,6412,0.455,591,1519,0.389,2329,4893,0.476,1609,2086,0.771,896,2536,3432,1646,528,335,1246,1632,8040,43,39,42,40,0.26,0.23,0.49,107.8,107.6,89.9,0.282,0.245,0.5,12.1,24.6,0.212,0.501,14.5,72.9,0.251,AmericanAirlines Arena,748778,75,34.1,-2.21,0.09,-2.12,1.29,5205,2764,-2.000801242,-0.53632036,-2.537121602,0.32115667,0.098653699,0.222502971,-2.133516972,-0.225516492,-2.359033464,-0.541656524,75,40,35,34.1,105.3,6.0,19.1,28.9,0.6,9.3,0.3,8.7,10.5,8.7,8.3,28.1,0.108,0.0
6,2009-10,2010,Udonis Haslem,-1,0.0,1.0,0.0,False,1.0,0.0,500.0,29,MIA,NBA,PF,78,0,27.9,4.0,8.1,0.494,0.0,0.0,,4.0,8.1,0.494,0.494,1.9,2.5,0.762,2.1,5.9,8.1,0.7,0.4,0.3,1.0,2.2,9.9,2177,7.7,15.5,0.494,0.0,0.0,,7.7,15.5,0.494,3.6,4.7,0.762,4.1,11.4,15.5,1.3,0.7,0.6,1.8,4.3,19.0,111,104,2177,14.6,0.538,0.0,0.305,9.1,24.8,17.0,3.9,0.7,0.9,9.5,17.1,2.8,3.2,6.0,0.132,-0.8,-0.8,-1.7,0.2,82.0,19880,2984,6518,0.458,494,1426,0.346,2490,5092,0.489,1452,1931,0.752,875,2553,3428,1548,605,457,1079,1710,7914,82.0,19880,2813,6408,0.439,524,1531,0.342,2289,4877,0.469,1577,2091,0.754,856,2483,3339,1545,517,355,1184,1639,7727,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,89.6,0.296,0.219,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.246,AmericanAirlines Arena,726935,78,27.9,-2.67,1.61,-1.07,2.52,4383,2319,-1.764827554,-0.96962424,-2.734451794,0.013818635,0.264263782,-0.250445147,-1.956319207,-0.775269149,-2.731588355,-0.541856119,78,45,33,27.9,102.0,5.9,22.0,33.7,0.4,9.4,0.3,9.3,7.9,7.5,6.3,20.2,0.112,0.42
7,2010-11,2011,Udonis Haslem,-1,0.0,1.0,0.0,False,2.0,0.0,500.0,30,MIA,NBA,PF,13,0,26.5,3.4,6.6,0.512,0.0,0.0,,3.4,6.6,0.512,0.512,1.2,1.5,0.8,2.2,5.9,8.2,0.5,0.5,0.2,1.1,3.0,8.0,345,6.7,13.2,0.512,0.0,0.0,,6.7,13.2,0.512,2.4,3.1,0.8,4.4,11.8,16.2,0.9,1.1,0.5,2.1,6.0,15.9,110,102,345,12.7,0.549,0.0,0.233,10.6,25.0,18.2,2.7,1.1,0.7,12.9,14.8,0.4,0.6,0.9,0.13,-1.7,-0.5,-2.3,0.0,82.0,19780,3031,6301,0.481,547,1479,0.37,2484,4822,0.515,1760,2288,0.769,790,2666,3456,1639,544,430,1142,1674,8369,82.0,19780,2869,6614,0.434,546,1584,0.345,2323,5030,0.462,1473,1980,0.744,864,2349,3213,1651,574,246,1081,1788,7757,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,90.9,0.363,0.235,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,AmericanAirlines Arena,810930,13,26.5,-2.19,-0.86,-3.05,0.01,1188,635,-2.689604836,-0.405317716,-3.094922552,-0.133251329,0.165088766,-0.298340095,-2.703081688,-0.052503046,-2.755584733,-0.102292253,13,8,5,26.5,100.4,5.9,21.9,33.3,0.5,13.5,0.2,11.1,7.4,7.6,7.0,20.3,0.12,-0.14
8,2011-12,2012,Udonis Haslem,-1,0.0,1.0,0.0,False,2.0,0.0,500.0,31,MIA,NBA,PF,64,10,24.8,2.4,5.6,0.423,0.0,0.0,,2.4,5.6,0.423,0.423,1.3,1.6,0.814,1.8,5.5,7.3,0.7,0.5,0.4,0.9,2.2,6.0,1589,5.0,11.8,0.423,0.0,0.0,,5.0,11.8,0.423,2.7,3.4,0.814,3.9,11.7,15.6,1.4,1.2,0.8,2.0,4.7,12.8,102,99,1589,10.9,0.479,0.0,0.286,9.1,25.6,17.7,4.0,1.2,1.2,13.0,13.5,0.7,2.8,3.5,0.106,-2.2,-0.2,-2.4,-0.2,66.0,16040,2446,5212,0.469,370,1030,0.359,2076,4182,0.496,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500,66.0,16040,2285,5267,0.434,479,1318,0.363,1806,3949,0.457,1056,1457,0.725,727,1897,2624,1297,549,280,1107,1356,6105,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,91.2,0.307,0.198,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,AmericanAirlines Arena,657855,64,24.8,-3.89,1.91,-1.98,0.37,3892,2041,-2.983065831,0.118942244,-2.864123587,-0.122806611,-0.045319166,-0.077487444,-2.95945131,0.144539837,-2.814911474,-0.2733496,64,44,20,24.8,96.9,5.5,22.0,33.8,0.5,13.9,0.4,15.0,8.7,6.7,6.0,18.0,0.117,1.21
9,2012-13,2013,Udonis Haslem,-1,0.0,1.0,0.0,False,2.0,0.0,500.0,32,MIA,NBA,PF,75,59,18.9,1.7,3.3,0.514,0.0,0.0,,1.7,3.3,0.514,0.514,0.4,0.6,0.711,1.3,4.1,5.4,0.5,0.4,0.2,0.6,2.3,3.9,1414,4.8,9.4,0.514,0.0,0.0,,4.8,9.4,0.514,1.2,1.7,0.711,3.6,11.5,15.1,1.4,1.1,0.6,1.7,6.5,10.9,110,103,1414,9.9,0.535,0.0,0.179,9.0,25.3,17.6,3.8,1.1,0.9,14.2,10.7,1.2,2.0,3.2,0.108,-2.6,-0.5,-3.2,-0.4,82.0,19880,3148,6348,0.496,717,1809,0.396,2431,4539,0.536,1423,1887,0.754,676,2490,3166,1890,710,441,1143,1533,8436,82.0,19880,2919,6633,0.44,624,1783,0.35,2295,4850,0.473,1329,1735,0.766,921,2369,3290,1655,649,262,1280,1673,7791,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,0.297,0.285,0.552,13.7,22.2,0.224,0.487,14.8,73.0,0.2,AmericanAirlines Arena,819290,75,18.9,-3.21,0.93,-2.29,0.23,3360,1771,-2.668811585,0.521328378,-2.147483207,0.596566531,-0.176092273,0.772658803,-2.779212791,0.615941479,-2.163271312,0.189743722,75,60,15,18.9,100.2,4.1,22.9,35.3,0.4,10.2,0.2,11.7,5.9,5.7,4.8,16.3,0.077,0.58
