,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2005-06,2006,Chuck Hayes,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,HOU,NBA,PF,40,0,13.4,1.5,2.6,0.562,0.0,0.0,0.0,1.5,2.6,0.567,0.562,0.7,1.1,0.644,1.7,2.8,4.5,0.4,0.7,0.4,0.3,1.9,3.7,535,6.0,10.7,0.562,0.0,0.1,0.0,6.0,10.6,0.567,3.0,4.6,0.644,6.8,11.4,18.2,1.4,2.6,1.4,1.2,7.7,15.0,127,98,535,18.0,0.589,0.01,0.429,14.9,24.1,19.6,4.6,2.6,2.1,8.8,12.2,1.2,1.1,2.4,0.212,0.2,1.6,1.8,0.5,82.0,19830.0,2708.0,6252.0,0.433,469.0,1414.0,0.332,2239.0,4838.0,0.463,1502.0,1980.0,0.759,849.0,2565.0,3414.0,1580.0,588.0,320.0,1193.0,1863.0,7387.0,82.0,19830.0,2708.0,6310.0,0.429,541.0,1465.0,0.369,2167.0,4845.0,0.447,1560.0,2135.0,0.731,874.0,2477.0,3351.0,1647.0,582.0,373.0,1094.0,1716.0,7517.0,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,636110,40,13.4,-0.28,4.13,3.86,2.28,992,535,0.936131315,2.755411508,3.691542823,1.760973734,1.760973734,0.0,0.340573001,2.817235588,3.157808589,0.141204602,40,19,21,13.4,91.3,2.8,22.0,31.8,0.7,27.1,0.4,37.8,3.8,2.6,2.0,7.5,0.093,0.0
1,2006-07,2007,Chuck Hayes,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,HOU,NBA,PF,78,43,22.0,2.5,4.3,0.573,0.0,0.0,,2.5,4.3,0.573,0.573,0.7,1.1,0.618,2.6,4.1,6.7,0.6,0.9,0.2,0.8,3.6,5.6,1714,5.9,10.3,0.573,0.0,0.0,,5.9,10.3,0.573,1.7,2.7,0.618,6.3,9.8,16.1,1.5,2.2,0.6,2.0,8.7,13.6,119,98,1714,13.9,0.587,0.0,0.266,13.8,21.1,17.5,4.4,2.2,0.8,14.6,11.9,2.9,3.6,6.4,0.179,-2.3,1.6,-0.7,0.6,82.0,19855.0,2906.0,6528.0,0.445,705.0,1893.0,0.372,2201.0,4635.0,0.475,1436.0,1906.0,0.753,880.0,2673.0,3553.0,1704.0,583.0,337.0,1162.0,1710.0,7953.0,82.0,19855.0,2793.0,6503.0,0.429,472.0,1346.0,0.351,2321.0,5157.0,0.45,1497.0,2000.0,0.749,800.0,2548.0,3348.0,1588.0,571.0,353.0,1163.0,1631.0,7555.0,52,30,55,27,4.85,0.19,5.04,106.0,100.7,90.7,0.292,0.29,0.499,13.6,25.7,0.22,0.466,13.6,77.0,0.23,Toyota Center,678362,78,22.0,-1.38,4.64,3.25,7.23,3640,1911,-0.927313622,4.031831176,3.104517553,5.750075306,5.223839796,0.52623551,-1.217886747,4.37959253,3.161705783,0.462610612,78,50,28,22.0,93.8,4.1,18.8,26.9,0.9,24.9,0.2,12.3,6.4,4.4,4.0,14.1,0.137,0.0
2,2007-08,2008,Chuck Hayes,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,HOU,NBA,PF,79,44,19.9,1.4,2.8,0.511,0.0,0.0,0.0,1.4,2.8,0.518,0.511,0.1,0.3,0.458,1.7,3.7,5.4,1.2,1.1,0.5,0.8,2.7,3.0,1575,3.8,7.5,0.511,0.0,0.1,0.0,3.8,7.4,0.518,0.4,0.8,0.458,4.5,9.9,14.4,3.1,2.9,1.5,2.1,7.2,8.0,107,97,1575,11.2,0.512,0.014,0.109,9.6,20.8,15.3,8.4,2.9,2.0,21.1,8.5,0.8,3.7,4.4,0.136,-3.2,4.1,0.8,1.1,82.0,19730.0,3003.0,6698.0,0.448,583.0,1707.0,0.342,2420.0,4991.0,0.485,1342.0,1848.0,0.726,1002.0,2659.0,3661.0,1757.0,598.0,420.0,1125.0,1609.0,7931.0,82.0,19730.0,2852.0,6594.0,0.433,433.0,1186.0,0.365,2419.0,5408.0,0.447,1410.0,1912.0,0.737,894.0,2441.0,3335.0,1548.0,622.0,379.0,1094.0,1615.0,7547.0,55,27,55,27,4.68,0.15,4.83,106.8,101.6,90.4,0.276,0.255,0.492,13.0,29.1,0.2,0.465,12.8,74.8,0.214,Toyota Center,718524,79,19.9,-3.63,4.06,0.43,3.25,3193,1683,-2.494547899,5.178911904,2.684364005,4.694831839,4.370101545,0.324730295,-2.602595378,5.153169343,2.550573965,0.352952684,79,52,27,19.9,95.4,3.7,18.4,27.1,1.1,30.0,0.5,24.4,5.5,4.9,4.5,14.1,0.12,0.0
3,2008-09,2009,Chuck Hayes,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,HOU,NBA,C,71,1,12.1,0.6,1.6,0.372,0.0,0.1,0.0,0.6,1.5,0.385,0.372,0.1,0.3,0.368,1.0,2.5,3.5,0.6,0.5,0.3,0.4,1.9,1.3,858,2.6,7.0,0.372,0.0,0.2,0.0,2.6,6.8,0.385,0.4,1.2,0.368,4.6,10.9,15.5,2.6,2.1,1.2,1.6,8.3,5.6,98,100,858,7.8,0.375,0.035,0.168,10.5,23.0,17.0,7.0,2.1,1.6,17.1,7.9,-0.1,1.7,1.6,0.092,-4.1,2.6,-1.5,0.1,82.0,19805.0,2959.0,6526.0,0.453,621.0,1656.0,0.375,2338.0,4870.0,0.48,1531.0,1903.0,0.805,862.0,2662.0,3524.0,1662.0,548.0,355.0,1158.0,1553.0,8070.0,82.0,19805.0,2991.0,6735.0,0.444,464.0,1298.0,0.357,2527.0,5437.0,0.465,1296.0,1730.0,0.749,873.0,2399.0,3272.0,1620.0,588.0,435.0,1012.0,1689.0,7742.0,53,29,53,29,4.0,-0.27,3.73,108.4,104.0,90.2,0.292,0.254,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192,Toyota Center,717669,71,12.1,-5.19,0.85,-4.34,-0.82,1950,1031,-4.499212156,3.457543375,-1.041668782,0.939236192,0.300900069,0.638336124,-4.401376856,3.696257142,-0.705119714,0.570646833,71,46,25,12.1,99.3,2.5,21.5,31.4,0.5,24.5,0.3,31.7,3.8,2.4,3.2,9.2,0.061,0.0
4,2009-10,2010,Chuck Hayes,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,HOU,NBA,C,82,82,21.6,2.0,4.0,0.489,0.0,0.0,,2.0,4.0,0.489,0.489,0.4,0.8,0.545,1.8,3.8,5.7,1.7,0.9,0.5,0.9,2.7,4.4,1773,4.6,9.5,0.489,0.0,0.0,,4.6,9.5,0.489,1.0,1.9,0.545,4.3,9.0,13.4,4.0,2.1,1.2,2.1,6.3,10.3,108,105,1773,11.7,0.5,0.0,0.201,9.4,21.1,15.0,11.4,2.1,1.8,17.1,10.8,1.2,2.4,3.6,0.098,-2.2,2.0,-0.2,0.8,82.0,19905.0,3094.0,6923.0,0.447,646.0,1838.0,0.351,2448.0,5085.0,0.481,1561.0,2022.0,0.772,971.0,2471.0,3442.0,1790.0,583.0,318.0,1188.0,1712.0,8395.0,82.0,19905.0,3236.0,6810.0,0.475,489.0,1344.0,0.364,2747.0,5466.0,0.503,1464.0,1917.0,0.764,875.0,2632.0,3507.0,1716.0,597.0,532.0,1207.0,1840.0,8425.0,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,94.0,0.292,0.265,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,Toyota Center,677658,82,21.6,-2.8,2.25,-0.56,2.73,3512,1773,-2.471558509,3.608253255,1.136694746,3.515642999,3.515642999,0.0,-2.472846428,3.421207933,0.948361505,-0.005372135,82,42,40,21.6,104.6,3.8,18.9,28.6,0.9,25.2,0.5,28.7,7.2,5.9,6.3,20.1,0.069,2.5
5,2010-11,2011,Chuck Hayes,12T,0.0,1.0,2.0,False,0.0,13.0,500.0,27,HOU,NBA,C,74,63,28.1,3.3,6.3,0.527,0.0,0.0,0.0,3.3,6.2,0.529,0.527,1.3,1.9,0.662,3.0,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9,2079,6.0,11.3,0.527,0.0,0.0,0.0,6.0,11.3,0.529,2.3,3.5,0.662,5.4,9.3,14.7,5.0,1.9,1.2,2.1,4.9,14.3,120,106,2079,16.2,0.554,0.004,0.307,11.9,20.7,16.3,14.3,1.9,1.6,14.1,13.0,3.9,2.4,6.3,0.146,0.6,1.3,1.9,2.1,82.0,19880.0,3170.0,6975.0,0.454,677.0,1843.0,0.367,2493.0,5132.0,0.486,1668.0,2083.0,0.801,962.0,2549.0,3511.0,1955.0,581.0,371.0,1110.0,1641.0,8685.0,82.0,19880.0,3266.0,6979.0,0.468,448.0,1250.0,0.358,2818.0,5729.0,0.492,1526.0,1954.0,0.781,955.0,2552.0,3507.0,1707.0,588.0,449.0,1125.0,1754.0,8506.0,43,39,47,35,2.18,0.19,2.37,111.3,109.0,94.2,0.299,0.264,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,Toyota Center,663839,74,28.1,-0.99,1.11,0.13,4.52,4127,2079,0.320218421,1.726671737,2.046890158,5.056894958,5.056894958,0.0,0.385180674,2.046753832,2.431934506,-0.571359861,74,41,33,28.1,105.8,5.1,18.6,28.5,1.1,25.1,0.7,26.1,8.2,7.9,8.3,26.7,0.077,1.57
6,2011-12,2012,Chuck Hayes,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,28,SAC,NBA,C,54,9,19.2,1.4,3.1,0.429,0.0,0.0,0.0,1.4,3.1,0.435,0.429,0.5,0.7,0.667,1.3,3.0,4.3,1.4,0.7,0.3,0.9,2.1,3.2,1039,3.6,8.3,0.429,0.0,0.1,0.0,3.6,8.2,0.435,1.3,1.9,0.667,3.5,7.9,11.4,3.8,1.8,0.8,2.4,5.4,8.4,98,109,1039,8.9,0.459,0.012,0.229,7.3,18.0,12.4,10.4,1.8,1.2,21.1,9.9,0.1,0.5,0.6,0.028,-3.2,0.2,-3.0,-0.3,66.0,15915.0,2490.0,5712.0,0.436,411.0,1301.0,0.316,2079.0,4411.0,0.471,1127.0,1532.0,0.736,882.0,1947.0,2829.0,1271.0,561.0,323.0,952.0,1287.0,6518.0,66.0,15915.0,2668.0,5609.0,0.476,439.0,1236.0,0.355,2229.0,4373.0,0.51,1118.0,1468.0,0.762,815.0,2154.0,2969.0,1571.0,518.0,423.0,1014.0,1313.0,6893.0,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,94.7,0.268,0.228,0.472,13.0,29.1,0.197,0.515,13.9,70.5,0.199,Power Balance Pavilion,478764,54,19.2,-3.44,-1.12,-4.56,-1.57,2073,1039,-3.365050616,-0.811399868,-4.176450484,-0.755541014,-0.755541014,0.0,-3.496902328,-0.691470155,-4.188372483,-0.075385688,54,19,35,19.2,107.5,3.0,15.8,26.4,0.7,20.5,0.3,15.2,6.7,6.3,6.8,17.7,0.026,-0.68
7,2012-13,2013,Chuck Hayes,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,29,SAC,NBA,C,74,1,16.3,1.1,2.6,0.442,0.0,0.0,0.0,1.1,2.6,0.444,0.442,0.4,0.6,0.625,1.5,2.5,4.0,1.5,0.4,0.2,0.6,1.5,2.7,1209,3.6,8.1,0.442,0.0,0.0,0.0,3.6,8.0,0.444,1.3,2.0,0.625,4.8,7.9,12.7,4.7,1.3,0.8,1.9,4.8,8.4,111,111,1209,10.7,0.469,0.005,0.253,10.5,18.2,14.2,13.1,1.3,1.2,17.2,9.4,1.1,0.4,1.5,0.06,-1.2,-0.2,-1.4,0.2,82.0,19830.0,3086.0,6904.0,0.447,610.0,1681.0,0.363,2476.0,5223.0,0.474,1437.0,1869.0,0.769,943.0,2385.0,3328.0,1708.0,671.0,342.0,1199.0,1717.0,8219.0,82.0,19830.0,3222.0,6831.0,0.472,625.0,1762.0,0.355,2597.0,5069.0,0.512,1550.0,1980.0,0.783,973.0,2601.0,3574.0,2058.0,624.0,517.0,1208.0,1636.0,8619.0,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,0.271,0.243,0.491,13.4,26.6,0.208,0.517,13.6,71.0,0.227,Sleep Train Arena,563743,74,16.3,-2.59,2.37,-0.22,1.87,2385,1209,-1.61850142,0.688383658,-0.930117762,1.115991586,1.115991586,0.0,-1.963133859,0.135552631,-1.827581228,-0.544872101,74,27,47,16.3,104.3,2.5,15.6,25.0,0.4,14.4,0.2,17.6,5.8,4.6,4.7,14.1,0.045,0.38
8,2013-14,2014,Chuck Hayes,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,30,SAC,NBA,C,16,1,11.2,0.9,2.0,0.438,0.0,0.0,,0.9,2.0,0.438,0.438,0.3,0.4,0.714,1.3,1.7,2.9,0.4,0.7,0.1,0.4,1.1,2.1,179,4.0,9.1,0.438,0.0,0.0,,4.0,9.1,0.438,1.4,2.0,0.714,5.7,7.7,13.4,1.7,3.1,0.6,2.0,5.1,9.4,105,105,179,11.4,0.47,0.0,0.219,12.5,17.2,14.8,4.9,3.1,0.9,16.6,10.4,0.1,0.2,0.3,0.081,-2.4,0.8,-1.6,0.0,82.0,19830.0,3026.0,6766.0,0.447,491.0,1475.0,0.333,2535.0,5291.0,0.479,1698.0,2237.0,0.759,990.0,2656.0,3646.0,1547.0,587.0,318.0,1249.0,1849.0,8241.0,82.0,19830.0,3103.0,6734.0,0.461,696.0,1833.0,0.38,2407.0,4901.0,0.491,1577.0,2139.0,0.737,813.0,2568.0,3381.0,1927.0,637.0,459.0,1116.0,1897.0,8479.0,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949,61,12.3,-3.31,1.49,-1.83,0.47,1563,792,-2.220152845,2.538130957,0.317978113,1.237398402,1.129122678,0.108275723,-3.240845042,1.319059345,-1.921785697,-0.286149853,61,33,28,12.4,99.9,2.3,19.5,28.6,0.6,25.6,0.2,27.3,4.4,2.9,3.1,9.7,0.055,1.28
9,2013-14,2014,Chuck Hayes,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,30,TOR,NBA,C,45,0,12.8,0.9,2.2,0.429,0.0,0.0,0.0,0.9,2.2,0.433,0.429,0.3,0.4,0.833,1.1,2.5,3.6,0.6,0.5,0.2,0.6,1.7,2.2,575,3.8,8.9,0.429,0.0,0.1,0.0,3.8,8.8,0.433,1.4,1.6,0.833,4.5,10.4,14.8,2.6,2.1,0.9,2.4,7.0,9.0,101,102,575,9.6,0.467,0.01,0.184,9.9,23.2,16.5,7.5,2.1,1.4,19.7,10.4,0.1,0.9,1.1,0.088,-3.3,1.5,-1.9,0.0,82.0,19955.0,2992.0,6718.0,0.445,713.0,1917.0,0.372,2279.0,4801.0,0.475,1608.0,2055.0,0.782,935.0,2552.0,3487.0,1737.0,577.0,343.0,1159.0,1882.0,8305.0,82.0,19955.0,2957.0,6573.0,0.45,568.0,1578.0,0.36,2389.0,4995.0,0.478,1557.0,2071.0,0.752,854.0,2505.0,3359.0,1719.0,596.0,352.0,1224.0,1815.0,8039.0,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,91.8,0.306,0.285,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,748339,61,12.3,-3.31,1.49,-1.83,0.47,1563,792,-2.220152845,2.538130957,0.317978113,1.237398402,1.129122678,0.108275723,-3.240845042,1.319059345,-1.921785697,-0.286149853,61,33,28,12.4,99.9,2.3,19.5,28.6,0.6,25.6,0.2,27.3,4.4,2.9,3.1,9.7,0.055,1.28
