,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2004-05,2005,Kris Humphries,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,19,UTA,NBA,PF,67,4,13.0,1.7,4.3,0.404,0.0,0.1,0.333,1.7,4.2,0.406,0.408,0.7,1.5,0.436,1.1,1.9,2.9,0.6,0.4,0.3,0.8,1.4,4.1,873,7.2,17.9,0.404,0.1,0.4,0.333,7.1,17.5,0.406,2.7,6.3,0.436,4.5,7.7,12.3,2.7,1.6,1.1,3.2,6.0,17.3,88,108,873,9.5,0.419,0.021,0.352,10.1,18.1,14.0,8.5,1.6,1.7,13.6,20.2,-1.0,0.7,-0.3,-0.019,-3.3,-1.4,-4.6,-0.6,82.0,19780.0,2828.0,6301.0,0.449,250.0,762.0,0.328,2578.0,5539.0,0.465,1719.0,2272.0,0.757,1047.0,2243.0,3290.0,1826.0,541.0,374.0,1292.0,2189.0,7625.0,82.0,19780.0,2731.0,5965.0,0.458,486.0,1297.0,0.375,2245.0,4668.0,0.481,2027.0,2653.0,0.764,859.0,2230.0,3089.0,1592.0,646.0,474.0,1182.0,2058.0,7975.0,26,56,29,53,-4.27,0.53,-3.74,104.7,109.5,88.4,0.361,0.121,0.469,15.0,31.9,0.273,0.499,14.2,72.3,0.34,Delta Center,769014,67,13.0,-3.14,1.54,-1.61,0.87,1626,873,-4.987300087,-0.852291724,-5.839591811,-1.378728242,-1.378728242,0.0,-4.492077314,-1.56162371,-6.053701025,0.1745431,67,17,50,13.0,102.5,1.9,15.8,25.4,0.4,19.8,0.3,25.4,5.0,3.3,3.7,9.4,0.042,0.0
1,2005-06,2006,Kris Humphries,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,UTA,NBA,PF,62,2,10.0,1.2,3.3,0.379,0.0,0.1,0.0,1.2,3.2,0.389,0.379,0.5,1.0,0.523,0.9,1.6,2.5,0.5,0.4,0.3,0.5,1.3,3.0,619,6.8,17.9,0.379,0.0,0.4,0.0,6.8,17.5,0.389,3.0,5.7,0.523,4.9,8.9,13.9,2.6,2.0,1.4,2.7,7.2,16.6,90,104,619,10.3,0.406,0.025,0.32,10.9,20.0,15.4,8.6,2.0,2.2,11.8,19.7,-0.6,0.8,0.2,0.019,-4.0,-0.5,-4.5,-0.4,82.0,19880.0,2744.0,6207.0,0.442,311.0,925.0,0.336,2433.0,5282.0,0.461,1774.0,2466.0,0.719,1071.0,2380.0,3451.0,1772.0,524.0,492.0,1290.0,2032.0,7573.0,82.0,19880.0,2730.0,6077.0,0.449,490.0,1297.0,0.378,2240.0,4780.0,0.469,1839.0,2466.0,0.746,871.0,2237.0,3108.0,1511.0,663.0,463.0,1166.0,2104.0,7789.0,41,41,33,49,-2.63,0.14,-2.49,104.1,107.0,87.8,0.397,0.149,0.467,15.0,32.4,0.286,0.49,14.0,73.2,0.303,Delta Center,751621,62,10.0,-2.59,1.23,-1.36,0.63,1145,619,-4.299720297,-0.902781732,-5.202502029,-0.777925371,-0.777925371,0.0,-3.9858454,-1.04184518,-5.02769058,0.401213786,62,27,35,10.0,100.8,1.6,17.6,28.6,0.4,27.7,0.3,27.6,3.9,3.0,2.8,6.7,0.04,0.0
2,2006-07,2007,Kris Humphries,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,TOR,NBA,PF,60,2,11.2,1.5,3.1,0.47,0.0,0.0,,1.5,3.1,0.47,0.47,0.9,1.3,0.671,1.3,1.8,3.1,0.3,0.2,0.4,0.5,1.6,3.8,670,6.7,14.3,0.47,0.0,0.0,,6.7,14.3,0.47,4.1,6.1,0.671,6.0,8.4,14.5,1.4,1.1,1.6,2.5,7.6,17.6,107,105,670,13.5,0.516,0.0,0.427,13.5,19.3,16.4,4.2,1.1,2.4,12.7,17.4,0.7,0.8,1.5,0.107,-2.5,-0.8,-3.2,-0.2,82.0,19755.0,3032.0,6547.0,0.463,531.0,1464.0,0.363,2501.0,5083.0,0.492,1562.0,1982.0,0.788,755.0,2480.0,3235.0,1822.0,581.0,321.0,1104.0,1672.0,8157.0,82.0,19755.0,3051.0,6593.0,0.463,533.0,1491.0,0.357,2518.0,5102.0,0.494,1441.0,1911.0,0.754,848.0,2641.0,3489.0,1742.0,489.0,317.0,1241.0,1786.0,8076.0,47,35,44,38,0.99,-0.38,0.61,107.0,106.0,92.6,0.303,0.224,0.504,13.0,22.2,0.239,0.503,14.3,74.5,0.219,Air Canada Centre,748603,60,11.2,-1.18,-0.4,-1.58,0.7,1438,739,-1.802009095,-1.599193964,-3.401203059,-0.254251082,-0.105488706,-0.148762376,-2.126747386,-1.633075953,-3.759823339,0.125818822,60,35,25,11.2,105.3,1.8,17.2,28.1,0.2,12.1,0.4,48.8,3.3,3.4,2.8,9.6,0.03,0.0
3,2007-08,2008,Kris Humphries,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,TOR,NBA,PF,70,0,13.2,2.3,4.8,0.483,0.0,0.0,0.0,2.3,4.7,0.486,0.483,1.1,1.8,0.605,1.3,2.4,3.7,0.4,0.4,0.4,0.7,1.5,5.7,925,9.3,19.2,0.483,0.0,0.1,0.0,9.3,19.0,0.486,4.3,7.1,0.605,5.2,9.7,14.9,1.6,1.4,1.6,2.7,6.2,22.8,103,105,925,15.7,0.512,0.006,0.372,11.4,21.8,16.6,4.9,1.4,2.5,10.8,22.1,0.6,1.3,1.8,0.096,-1.6,-0.7,-2.3,-0.1,82.0,19830.0,3148.0,6726.0,0.468,572.0,1459.0,0.392,2576.0,5267.0,0.489,1347.0,1658.0,0.812,790.0,2496.0,3286.0,1953.0,570.0,336.0,959.0,1596.0,8215.0,82.0,19830.0,3007.0,6569.0,0.458,619.0,1683.0,0.368,2388.0,4886.0,0.489,1344.0,1732.0,0.776,830.0,2583.0,3413.0,1797.0,470.0,333.0,1149.0,1508.0,7977.0,41,41,49,33,2.9,-0.44,2.47,110.2,107.0,90.2,0.247,0.217,0.511,11.4,23.4,0.2,0.505,13.5,75.0,0.205,Air Canada Centre,796835,70,13.2,-1.16,1.42,0.26,1.8,1762,927,-2.615582439,-0.041972915,-2.657555353,0.04410169,0.053123174,-0.009021484,-2.411022071,-0.48196732,-2.892989391,0.058149824,70,38,32,13.2,101.7,2.4,19.1,29.2,0.4,17.2,0.4,44.4,4.0,3.2,2.7,10.2,0.054,0.0
4,2008-09,2009,Kris Humphries,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,TOR,NBA,SF,29,0,9.1,1.3,3.1,0.422,0.0,0.0,,1.3,3.1,0.422,0.422,1.3,1.7,0.792,0.8,1.6,2.4,0.3,0.3,0.2,0.3,1.1,3.9,265,7.5,17.7,0.422,0.0,0.0,,7.5,17.7,0.422,7.5,9.5,0.792,4.7,9.1,13.8,2.0,1.6,1.2,1.6,6.1,22.4,112,108,265,16.3,0.513,0.0,0.533,10.7,20.2,15.5,6.0,1.6,1.8,6.7,20.7,0.4,0.3,0.7,0.125,-0.9,-0.7,-1.7,0.0,82.0,19805.0,3054.0,6673.0,0.458,479.0,1289.0,0.372,2575.0,5384.0,0.478,1534.0,1861.0,0.824,802.0,2513.0,3315.0,1835.0,523.0,390.0,1098.0,1593.0,8121.0,82.0,19805.0,3172.0,6827.0,0.465,629.0,1716.0,0.367,2543.0,5111.0,0.498,1379.0,1759.0,0.784,895.0,2539.0,3434.0,1887.0,521.0,386.0,1093.0,1645.0,8352.0,33,49,33,49,-2.82,0.28,-2.54,107.0,110.0,92.0,0.279,0.193,0.494,12.8,24.0,0.23,0.511,12.6,73.7,0.202,Air Canada Centre,769707,29,9.1,-0.44,0.45,0.01,0.5,514,265,-0.329095975,0.239373486,-0.089722489,0.358903168,0.358903168,0.0,-0.995019848,-0.337163489,-1.332183338,-0.199790363,29,11,18,9.1,103.2,1.6,18.8,28.9,0.3,18.2,0.2,33.3,2.5,2.9,2.4,7.6,0.035,0.0
5,2009-10,2010,Kris Humphries,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,DAL,NBA,PF,25,0,12.6,2.1,4.6,0.461,0.0,0.0,,2.1,4.6,0.461,0.461,1.0,1.8,0.568,1.5,2.3,3.8,0.3,0.3,0.4,0.5,1.7,5.2,315,8.7,18.9,0.461,0.0,0.0,,8.7,18.9,0.461,4.1,7.2,0.568,6.3,9.4,15.7,1.2,1.2,1.8,2.1,7.1,21.6,104,105,315,14.8,0.487,0.0,0.383,14.0,20.5,17.3,3.6,1.2,2.6,8.8,21.5,0.2,0.4,0.6,0.097,-2.4,-1.0,-3.4,-0.1,82.0,19880.0,3140.0,6760.0,0.464,558.0,1498.0,0.372,2582.0,5262.0,0.491,1526.0,1870.0,0.816,834.0,2586.0,3420.0,1917.0,624.0,449.0,1059.0,1563.0,8364.0,82.0,19880.0,3107.0,6805.0,0.457,525.0,1515.0,0.347,2582.0,5290.0,0.488,1402.0,1849.0,0.758,922.0,2592.0,3514.0,1659.0,563.0,337.0,1195.0,1652.0,8141.0,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,92.5,0.277,0.222,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,American Airlines Center,819770,69,17.7,-1.68,-0.67,-2.35,0.4,2359,1221,-2.334397631,-1.967445558,-4.301843189,-0.968649011,-0.968649011,0.0,-2.408393947,-1.691226482,-4.099620429,0.198058954,69,27,42,17.7,108.5,3.7,22.8,35.9,0.5,20.9,0.7,41.0,6.4,4.7,5.7,16.3,0.036,-0.23
6,2009-10,2010,Kris Humphries,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,NJN,NBA,PF,44,0,20.6,2.9,6.7,0.433,0.0,0.0,0.0,2.9,6.6,0.435,0.433,2.3,3.3,0.699,1.9,4.6,6.4,0.6,0.7,0.8,1.2,2.3,8.1,906,7.4,17.0,0.433,0.0,0.1,0.0,7.4,16.9,0.435,5.9,8.5,0.699,4.8,11.7,16.4,1.4,1.7,2.1,3.1,5.9,20.6,100,106,906,15.1,0.498,0.003,0.498,10.0,26.7,18.0,4.8,1.7,3.0,12.9,20.8,0.1,1.1,1.3,0.066,-2.6,-0.9,-3.5,-0.3,82.0,19780.0,2813.0,6554.0,0.429,377.0,1185.0,0.318,2436.0,5369.0,0.454,1572.0,2015.0,0.78,897.0,2358.0,3255.0,1540.0,573.0,393.0,1182.0,1643.0,7575.0,82.0,19780.0,3172.0,6593.0,0.481,468.0,1278.0,0.366,2704.0,5315.0,0.509,1511.0,2021.0,0.748,925.0,2683.0,3608.0,1960.0,638.0,421.0,1149.0,1647.0,8323.0,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,91.4,0.307,0.181,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,Izod Center,537230,69,17.7,-1.68,-0.67,-2.35,0.4,2359,1221,-2.334397631,-1.967445558,-4.301843189,-0.968649011,-0.968649011,0.0,-2.408393947,-1.691226482,-4.099620429,0.198058954,69,27,42,17.7,108.5,3.7,22.8,35.9,0.5,20.9,0.7,41.0,6.4,4.7,5.7,16.3,0.036,-0.23
7,2010-11,2011,Kris Humphries,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,NJN,NBA,PF,74,44,27.9,4.1,7.9,0.527,0.0,0.0,0.0,4.1,7.9,0.527,0.527,1.7,2.6,0.665,3.0,7.4,10.4,1.1,0.4,1.1,1.4,2.3,10.0,2061,8.0,15.1,0.527,0.0,0.0,0.0,8.0,15.1,0.527,3.3,4.9,0.665,5.8,14.1,20.0,2.2,0.9,2.1,2.7,4.4,19.2,111,105,2061,17.8,0.555,0.002,0.328,12.5,32.2,22.1,7.0,0.9,3.0,13.4,17.3,2.7,2.7,5.4,0.125,0.5,-0.1,0.4,1.3,82.0,20005.0,2918.0,6638.0,0.44,459.0,1337.0,0.343,2459.0,5301.0,0.464,1427.0,1881.0,0.759,909.0,2440.0,3349.0,1723.0,458.0,384.0,1152.0,1807.0,7722.0,82.0,20005.0,3069.0,6602.0,0.465,507.0,1393.0,0.364,2562.0,5209.0,0.492,1589.0,2115.0,0.751,849.0,2575.0,3424.0,1824.0,561.0,375.0,1010.0,1638.0,8234.0,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,89.9,0.283,0.201,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241,Prudential Center,581378,74,27.9,-1.47,1.37,-0.11,4.11,3904,2061,-0.708974871,0.927427632,0.21845276,3.094830179,3.094830179,0.0,-0.967760751,0.637542961,-0.330217789,-0.793106325,74,23,51,27.8,107.8,7.4,27.9,42.1,0.4,14.6,1.1,38.6,9.1,6.6,7.4,23.9,0.06,1.69
8,2011-12,2012,Kris Humphries,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NJN,NBA,PF,62,62,34.9,5.2,10.8,0.481,0.0,0.0,,5.2,10.8,0.481,0.481,3.4,4.5,0.752,3.8,7.2,11.0,1.5,0.8,1.2,1.9,2.8,13.8,2162,8.0,16.5,0.481,0.0,0.0,,8.0,16.5,0.481,5.1,6.8,0.752,5.7,11.0,16.8,2.2,1.2,1.8,2.9,4.3,21.1,110,106,2162,17.9,0.539,0.0,0.414,12.2,24.8,18.3,7.4,1.2,2.6,13.0,19.3,3.6,1.7,5.3,0.118,0.2,-1.2,-0.9,0.6,66.0,15890.0,2262.0,5320.0,0.425,507.0,1481.0,0.342,1755.0,3839.0,0.457,1113.0,1433.0,0.777,783.0,1879.0,2662.0,1311.0,493.0,260.0,995.0,1268.0,6144.0,66.0,15890.0,2501.0,5294.0,0.472,431.0,1151.0,0.374,2070.0,4143.0,0.5,1106.0,1494.0,0.74,780.0,2032.0,2812.0,1539.0,525.0,330.0,943.0,1274.0,6539.0,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,90.1,0.269,0.278,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,Prudential Center,460719,62,34.9,-0.86,-0.19,-1.05,1.9,4105,2162,0.240075134,0.103275303,0.343350437,3.387859705,3.387859705,0.0,0.014991763,0.393220644,0.408212407,-0.656822537,62,22,40,34.9,107.2,7.2,21.7,33.5,0.8,16.0,1.2,39.2,13.0,9.6,11.4,32.3,0.05,-0.09
9,2012-13,2013,Kris Humphries,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,BRK,NBA,PF,65,21,18.3,2.1,4.8,0.448,0.0,0.0,0.0,2.1,4.7,0.451,0.448,1.5,1.9,0.789,1.9,3.7,5.6,0.5,0.2,0.5,0.9,2.0,5.8,1191,6.3,14.1,0.448,0.0,0.1,0.0,6.3,14.0,0.451,4.4,5.6,0.789,5.7,10.9,16.6,1.5,0.7,1.5,2.6,5.8,17.0,109,105,1191,13.6,0.515,0.006,0.397,12.4,23.9,18.1,4.3,0.7,2.1,13.5,16.3,1.4,1.3,2.7,0.109,-1.9,-1.0,-3.0,-0.3,82.0,19855.0,2942.0,6544.0,0.45,628.0,1760.0,0.357,2314.0,4784.0,0.484,1432.0,1958.0,0.731,1047.0,2460.0,3507.0,1668.0,599.0,391.0,1206.0,1500.0,7944.0,82.0,19855.0,3066.0,6614.0,0.464,518.0,1415.0,0.366,2548.0,5199.0,0.49,1148.0,1571.0,0.731,878.0,2336.0,3214.0,1756.0,614.0,390.0,1102.0,1751.0,7798.0,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,88.8,0.299,0.269,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,Barclays Center,704702,65,18.3,-2.7,-0.79,-3.49,-0.74,2383,1274,-2.360412747,-1.179440708,-3.539853455,-0.513455846,-0.463349754,-0.050106092,-2.556149788,-1.262226339,-3.818376127,-0.315839753,65,36,29,18.3,106.5,3.7,21.1,32.5,0.2,9.5,0.5,27.5,6.6,5.2,5.5,17.8,0.039,-0.67
