,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1997-98,1998,Bobby Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,DEN,NBA,PG,68,53,30.0,4.6,11.6,0.392,0.3,1.2,0.259,4.3,10.4,0.407,0.405,2.2,2.7,0.814,1.1,3.3,4.4,4.7,1.5,0.2,2.7,2.4,11.6,2042,8.1,20.7,0.392,0.6,2.1,0.259,7.6,18.6,0.407,3.9,4.8,0.814,2.0,5.9,7.9,8.3,2.8,0.3,4.8,4.2,20.7,92,111,2042,13.6,0.453,0.102,0.231,4.4,13.3,8.7,29.5,2.8,0.4,17.4,23.5,-1.3,0.7,-0.6,-0.014,-1.3,-1.3,-2.6,-0.3,82.0,19730.0,2677.0,6412.0,0.417,288.0,893.0,0.323,2389.0,5519.0,0.433,1658.0,2147.0,0.772,1040.0,2157.0,3197.0,1547.0,664.0,393.0,1311.0,1937.0,7300.0,82.0,19730.0,3015.0,6370.0,0.473,419.0,1105.0,0.379,2596.0,5265.0,0.493,1817.0,2410.0,0.754,1095.0,2401.0,3496.0,1983.0,662.0,535.0,1243.0,1782.0,8266.0,11,71,12,70,-11.78,0.04,-11.74,99.0,112.1,89.7,0.335,0.139,0.44,15.1,30.2,0.259,0.506,14.3,66.3,0.285,McNichols Sports Arena,380590,68,30.0,-0.79,-1.19,-1.97,1.26,3860,2042,-2.118400189,-1.08666883,-3.205069019,-0.474163002,-0.474163002,0.0,-1.90233301,-0.798040996,-2.700374006,0.011402326,68,8,60,30.1,109.5,3.3,11.4,19.1,1.5,29.5,0.2,5.3,12.1,9.7,8.6,26.3,0.02,0
1,1998-99,1999,Bobby Jackson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,MIN,NBA,PG,50,12,18.8,2.8,7.0,0.405,0.2,0.5,0.37,2.6,6.4,0.408,0.42,1.2,1.6,0.772,0.9,1.8,2.7,3.3,0.8,0.1,1.5,1.5,7.1,941,7.9,19.5,0.405,0.6,1.5,0.37,7.3,18.0,0.408,3.4,4.4,0.772,2.4,5.2,7.6,9.4,2.2,0.2,4.2,4.2,19.8,96,103,941,14.4,0.461,0.078,0.227,4.7,11.9,8.0,28.9,2.2,0.2,16.4,21.4,0.3,0.9,1.2,0.062,-0.5,0.0,-0.4,0.4,50.0,12025.0,1838.0,4327.0,0.425,122.0,410.0,0.298,1716.0,3917.0,0.438,849.0,1143.0,0.743,754.0,1392.0,2146.0,1218.0,426.0,272.0,641.0,1185.0,4647.0,50.0,12025.0,1680.0,3823.0,0.439,213.0,654.0,0.326,1467.0,3169.0,0.463,1055.0,1470.0,0.718,591.0,1563.0,2154.0,1114.0,363.0,262.0,836.0,1017.0,4628.0,25,25,26,24,0.38,-0.55,-0.17,101.9,101.5,91.0,0.264,0.095,0.439,11.7,32.5,0.196,0.467,15.8,70.2,0.276,Target Center,427974,50,18.8,-0.07,0.19,0.12,2.08,1852,968,-0.884509,-0.9585598,-1.8430688,0.435450587,0.522200368,-0.086749781,-1.027670223,-1.388097477,-2.4157677,-0.308052932,50,25,25,18.8,97.6,1.8,10.0,17.1,0.8,24.8,0.1,3.3,5.7,5.1,4.8,13.8,0.067,0
2,1999-00,2000,Bobby Jackson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,MIN,NBA,PG,73,10,14.2,1.9,4.7,0.405,0.2,0.6,0.283,1.7,4.1,0.423,0.423,1.0,1.3,0.776,0.7,1.4,2.1,2.4,0.7,0.1,0.8,1.6,5.1,1034,7.1,17.5,0.405,0.7,2.3,0.283,6.4,15.2,0.423,3.8,5.0,0.776,2.5,5.2,7.7,8.7,2.4,0.4,2.9,5.8,18.7,104,104,1034,14.6,0.474,0.133,0.283,5.6,11.7,8.6,24.6,2.4,0.5,13.0,19.5,1.0,1.1,2.2,0.101,-0.5,0.9,0.3,0.6,82.0,19905.0,3226.0,6910.0,0.467,248.0,716.0,0.346,2978.0,6194.0,0.481,1379.0,1769.0,0.78,1016.0,2471.0,3487.0,2205.0,622.0,444.0,1139.0,1913.0,8079.0,82.0,19905.0,2924.0,6576.0,0.445,380.0,1066.0,0.356,2544.0,5510.0,0.462,1644.0,2185.0,0.752,916.0,2440.0,3356.0,1737.0,591.0,344.0,1232.0,1685.0,7872.0,50,32,48,34,2.52,0.14,2.67,106.1,103.4,91.8,0.256,0.104,0.485,12.9,29.4,0.2,0.474,14.0,73.0,0.25,Target Center,690012,73,14.2,0.17,-0.01,0.16,1.76,2052,1064,0.226708778,0.213625035,0.440333813,1.758663396,1.550560353,0.208103043,0.128683173,0.097092174,0.225775347,0.18641823,73,43,30,14.2,100.5,1.4,9.8,15.5,0.7,30.8,0.1,6.5,4.2,4.2,3.9,11.5,0.047,0
3,2000-01,2001,Bobby Jackson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,SAC,NBA,PG,79,7,20.9,2.9,6.7,0.439,0.5,1.3,0.375,2.4,5.3,0.455,0.476,0.8,1.1,0.739,0.9,2.2,3.1,2.0,1.1,0.1,1.3,1.8,7.2,1648,7.1,16.2,0.439,1.2,3.2,0.375,5.9,13.0,0.455,2.0,2.7,0.739,2.3,5.3,7.6,5.0,2.7,0.2,3.2,4.3,17.5,99,100,1648,13.1,0.501,0.198,0.167,5.0,11.0,8.0,15.3,2.7,0.3,15.4,17.9,0.9,2.3,3.1,0.091,-1.2,1.3,0.1,0.9,82.0,20080.0,3132.0,6969.0,0.449,479.0,1353.0,0.354,2653.0,5616.0,0.472,1600.0,2075.0,0.771,987.0,2705.0,3692.0,1852.0,793.0,432.0,1221.0,1596.0,8343.0,82.0,20080.0,3087.0,7139.0,0.432,401.0,1131.0,0.355,2686.0,6008.0,0.447,1291.0,1724.0,0.749,1121.0,2643.0,3764.0,1816.0,666.0,476.0,1334.0,1766.0,7866.0,55,27,57,25,5.82,0.25,6.07,105.6,99.6,94.4,0.298,0.194,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,ARCO Arena (II),709997,79,20.9,-1.21,3.32,2.1,5.34,3647,1830,-0.682688869,2.167807223,1.485118353,3.974833881,3.264178488,0.710655393,-0.684363438,1.817432301,1.133068863,0.088700042,79,54,25,20.9,93.8,2.2,10.0,16.0,1.1,26.3,0.1,4.2,6.7,5.4,5.2,15.5,0.104,0
4,2001-02,2002,Bobby Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,SAC,NBA,PG,81,3,21.6,4.1,9.3,0.443,1.0,2.7,0.361,3.1,6.6,0.477,0.495,1.8,2.3,0.81,1.0,2.1,3.1,2.0,0.9,0.1,1.1,1.8,11.1,1750,9.6,21.6,0.443,2.3,6.3,0.361,7.3,15.4,0.477,4.3,5.3,0.81,2.4,4.9,7.2,4.7,2.1,0.3,2.7,4.2,25.7,109,103,1750,17.3,0.537,0.29,0.244,5.1,10.1,7.7,14.7,2.1,0.4,10.0,23.1,3.2,2.2,5.4,0.148,1.8,0.4,2.1,1.8,82.0,19755.0,3267.0,7003.0,0.467,426.0,1160.0,0.367,2841.0,5843.0,0.486,1618.0,2154.0,0.751,1013.0,2702.0,3715.0,1958.0,741.0,375.0,1128.0,1560.0,8578.0,82.0,19755.0,3128.0,7108.0,0.44,386.0,1145.0,0.337,2742.0,5963.0,0.46,1312.0,1764.0,0.744,1065.0,2617.0,3682.0,1839.0,633.0,387.0,1246.0,1827.0,7954.0,61,21,61,21,7.61,0.0,7.61,109.0,101.1,95.6,0.308,0.166,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,ARCO Arena (II),709997,81,21.6,2.54,-0.38,2.16,5.72,4265,2124,1.939498303,-0.507297968,1.432200335,4.569758213,3.613360684,0.95639753,1.996110943,-0.489996482,1.506114461,0.12586528,81,61,20,21.6,98.4,2.1,9.3,14.7,0.9,22.0,0.1,6.7,5.9,6.3,5.5,18.0,0.087,0
5,2002-03,2003,Bobby Jackson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,SAC,NBA,PG,59,26,28.4,5.8,12.4,0.464,1.5,4.0,0.379,4.3,8.4,0.505,0.525,2.1,2.5,0.846,1.0,2.7,3.7,3.1,1.2,0.1,1.8,2.1,15.2,1676,10.2,22.0,0.464,2.7,7.1,0.379,7.5,14.9,0.505,3.8,4.5,0.846,1.7,4.9,6.6,5.5,2.1,0.1,3.2,3.8,26.9,109,101,1676,18.4,0.561,0.321,0.204,3.8,9.8,7.0,17.7,2.1,0.1,11.7,23.8,3.3,2.2,5.5,0.157,2.4,0.5,2.9,2.1,82.0,19830.0,3242.0,6990.0,0.464,491.0,1288.0,0.381,2751.0,5702.0,0.482,1367.0,1832.0,0.746,900.0,2751.0,3651.0,2034.0,736.0,457.0,1192.0,1666.0,8342.0,82.0,19830.0,2991.0,7125.0,0.42,373.0,1166.0,0.32,2618.0,5959.0,0.439,1454.0,1962.0,0.741,1145.0,2614.0,3759.0,1759.0,684.0,356.0,1262.0,1635.0,7809.0,59,23,59,23,6.5,0.18,6.68,105.9,99.1,95.4,0.262,0.184,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997,59,28.4,2.31,-0.74,1.56,5.35,4030,2007,2.356490581,-0.786470398,1.570020183,4.453121847,3.498177231,0.954944615,2.526142746,-0.418510689,2.107632057,1.72e-05,59,45,14,28.4,96.4,2.7,8.9,14.5,1.2,23.0,0.1,1.6,9.5,8.4,7.3,22.4,0.125,0
6,2003-04,2004,Bobby Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,SAC,NBA,SG,50,0,23.7,5.3,11.8,0.444,1.6,4.4,0.37,3.6,7.5,0.488,0.513,1.6,2.2,0.752,1.1,2.4,3.5,2.1,1.0,0.2,1.3,2.1,13.8,1185,11.5,25.8,0.444,3.5,9.6,0.37,7.9,16.3,0.488,3.6,4.8,0.752,2.4,5.2,7.6,4.6,2.1,0.3,2.8,4.6,30.1,107,106,1185,19.2,0.538,0.37,0.184,5.4,11.1,8.3,15.8,2.1,0.5,9.0,26.8,2.3,0.8,3.1,0.124,3.1,-1.0,2.1,1.2,82.0,19780.0,3103.0,6711.0,0.462,601.0,1498.0,0.401,2502.0,5213.0,0.48,1626.0,2044.0,0.795,888.0,2492.0,3380.0,2152.0,710.0,325.0,1137.0,1586.0,8433.0,82.0,19780.0,3140.0,6920.0,0.454,409.0,1205.0,0.339,2731.0,5715.0,0.478,1333.0,1780.0,0.749,1080.0,2521.0,3601.0,1743.0,651.0,413.0,1225.0,1817.0,8022.0,55,27,55,27,5.01,0.4,5.41,110.3,104.9,92.8,0.305,0.223,0.507,13.0,26.0,0.242,0.483,13.7,69.8,0.193,ARCO Arena (II),709997,50,23.7,3.8,0.29,4.09,5.96,2317,1185,3.512910316,-1.124769802,2.388140513,3.118595697,3.118595697,0.0,3.759153765,-1.115064221,2.644089544,0.356420649,50,35,15,23.8,99.9,2.4,9.8,16.1,1.0,23.0,0.2,8.5,6.9,7.1,5.4,20.3,0.073,0
7,2004-05,2005,Bobby Jackson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,SAC,NBA,SG,25,0,21.4,4.4,10.2,0.427,1.3,3.8,0.344,3.0,6.4,0.478,0.492,2.0,2.3,0.862,0.9,2.5,3.4,2.4,0.6,0.1,1.1,2.3,12.0,536,10.5,24.5,0.427,3.2,9.2,0.344,7.3,15.3,0.478,4.8,5.6,0.862,2.2,6.0,8.2,5.7,1.3,0.2,2.7,5.6,29.0,111,110,536,18.0,0.537,0.376,0.227,4.8,12.9,8.9,18.2,1.3,0.3,9.1,25.6,1.1,0.3,1.4,0.126,2.2,-1.0,1.3,0.5,82.0,19855.0,3203.0,6978.0,0.459,522.0,1396.0,0.374,2681.0,5582.0,0.48,1577.0,2004.0,0.787,1023.0,2455.0,3478.0,2005.0,674.0,316.0,1073.0,1685.0,8505.0,82.0,19855.0,3186.0,6941.0,0.459,471.0,1318.0,0.357,2715.0,5623.0,0.483,1485.0,2011.0,0.738,1102.0,2532.0,3634.0,1766.0,622.0,365.0,1204.0,1762.0,8328.0,50,32,47,35,2.16,0.4,2.56,110.5,108.2,93.0,0.287,0.2,0.496,12.0,28.8,0.226,0.493,13.3,69.0,0.214,ARCO Arena (II),709997,25,21.4,3.65,0.64,4.3,2.62,1200,615,1.852813794,-1.125785459,0.727028336,1.085579451,1.178026669,-0.092447217,1.890322778,-1.551931421,0.338391357,0.446258605,25,18,7,21.6,100.4,2.5,10.8,18.0,0.6,16.1,0.1,4.5,6.5,7.5,4.1,14.2,0.084,0
8,2005-06,2006,Bobby Jackson,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,32,MEM,NBA,PG,71,15,25.0,4.0,10.5,0.382,1.8,4.7,0.389,2.2,5.9,0.377,0.469,1.5,2.1,0.733,0.6,2.5,3.1,2.7,0.9,0.0,1.4,2.2,11.4,1775,9.0,23.4,0.382,4.0,10.4,0.389,4.9,13.0,0.377,3.4,4.6,0.733,1.4,5.6,7.0,6.1,1.9,0.0,3.2,4.9,25.3,102,103,1775,14.6,0.497,0.444,0.195,3.0,12.1,7.6,20.7,1.9,0.0,11.1,25.0,1.0,2.5,3.5,0.095,0.6,-0.2,0.4,1.1,82.0,19855.0,2746.0,6125.0,0.448,590.0,1578.0,0.374,2156.0,4547.0,0.474,1476.0,2077.0,0.711,834.0,2379.0,3213.0,1586.0,600.0,442.0,1134.0,1757.0,7558.0,82.0,19855.0,2691.0,6172.0,0.436,408.0,1223.0,0.334,2283.0,4949.0,0.461,1465.0,1942.0,0.754,927.0,2404.0,3331.0,1605.0,597.0,456.0,1213.0,1867.0,7255.0,49,33,52,30,3.7,0.05,3.74,105.9,101.6,86.3,0.339,0.258,0.496,13.9,25.8,0.241,0.469,14.7,72.0,0.237,FedEx Forum,647533,71,25.0,1.34,1.2,2.54,6.09,3403,1875,0.627240728,0.612965519,1.240206247,3.802248773,4.156422208,-0.354173435,1.049249188,0.574312904,1.623562092,0.420523318,71,43,28,25.0,98.2,2.5,10.9,16.6,0.9,23.2,0.0,0.6,7.9,6.2,6.0,18.2,0.118,0
9,2006-07,2007,Bobby Jackson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,33,NOK,NBA,SG,56,2,23.8,3.6,9.3,0.394,1.0,2.9,0.327,2.7,6.3,0.425,0.446,2.3,3.0,0.774,0.8,2.4,3.2,2.5,0.9,0.1,1.4,1.8,10.6,1330,8.2,20.7,0.394,2.2,6.6,0.327,6.0,14.1,0.425,5.2,6.7,0.774,1.7,5.4,7.1,5.6,2.0,0.2,3.1,3.9,23.7,104,107,1330,15.1,0.5,0.319,0.324,3.6,12.1,7.7,17.9,2.0,0.4,11.6,23.0,1.2,1.3,2.5,0.088,0.2,0.3,0.6,0.8,82.0,19880.0,2971.0,6674.0,0.445,455.0,1256.0,0.362,2516.0,5418.0,0.464,1436.0,1941.0,0.74,1025.0,2512.0,3537.0,1537.0,522.0,347.0,1187.0,1620.0,7833.0,82.0,19880.0,3004.0,6579.0,0.457,559.0,1575.0,0.355,2445.0,5004.0,0.489,1395.0,1839.0,0.759,853.0,2493.0,3346.0,1703.0,554.0,392.0,1119.0,1733.0,7962.0,39,43,36,46,-1.57,0.38,-1.19,104.8,106.5,90.2,0.291,0.188,0.479,13.6,29.1,0.215,0.499,13.2,74.7,0.212,Ford Center,731165,56,23.8,0.74,-0.17,0.56,3.26,2528,1330,0.971386197,0.833660776,1.805046973,3.096169534,3.096169534,0.0,0.951232893,0.501161239,1.452394132,0.158622759,56,30,26,23.7,101.7,2.4,10.3,16.0,0.9,24.2,0.1,5.0,8.0,6.7,5.6,17.9,0.089,0
