,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2003-04,2004,LeBron James,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,CLE,NBA,SG,79,79,39.5,7.9,18.9,0.417,0.8,2.7,0.29,7.1,16.1,0.438,0.438,4.4,5.8,0.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,3122,10.5,25.3,0.417,1.1,3.7,0.29,9.5,21.6,0.438,5.9,7.8,0.754,1.7,5.6,7.3,7.9,2.2,1.0,4.6,2.5,28.0,99,104,3122,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,2.4,2.6,5.1,0.078,2.3,-0.6,1.7,2.9,82.0,19855,2922,6753,0.433,247,786,0.314,2675,5967,0.448,1528,2030,0.753,1118,2619,3737,1808,585,537,1216,1743,7619,82.0,19855,2956,6759,0.437,431,1162,0.371,2525,5597,0.451,1491,1990,0.749,971,2475,3446,1783,635,434,1071,1656,7834,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,90.8,0.301,0.116,0.451,13.7,31.1,0.226,0.469,12.3,73.0,0.221,Gund Arena,749790,79,39.5,2.11,-2.2,-0.1,6.98,5974,3122,1.337109873,-0.298264024,1.038845849,6.013994518,6.013994518,0.0,1.629358074,-0.105367396,1.523990678,-0.31800111,79,33,46,39.6,103.4,4.2,10.4,16.2,1.6,27.7,0.7,12.8,13.1,11.3,11.2,31.9,0.079,0.0
1,2004-05,2005,LeBron James,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,CLE,NBA,SF,80,80,42.4,9.9,21.1,0.472,1.4,3.9,0.351,8.6,17.2,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,3388,12.6,26.6,0.472,1.7,4.9,0.351,10.8,21.7,0.499,7.5,10.0,0.75,1.8,7.5,9.3,9.1,2.8,0.8,4.1,2.3,34.3,114,103,3388,25.7,0.554,0.183,0.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,0.203,7.0,1.7,8.6,9.1,82.0,19855,2990,6687,0.447,300,904,0.332,2690,5783,0.465,1634,2174,0.752,1117,2352,3469,1851,654,461,1141,1850,7914,82.0,19855,2913,6444,0.452,422,1122,0.376,2491,5322,0.468,1601,2135,0.75,938,2324,3262,1737,549,419,1213,1770,7849,42,40,43,39,0.79,-0.52,0.27,106.6,105.7,89.7,0.325,0.135,0.47,13.0,32.5,0.244,0.485,14.1,71.5,0.248,Gund Arena,784249,80,42.4,4.24,0.71,4.95,17.99,6404,3388,5.094678357,1.423964185,6.518642542,15.95042997,15.95042997,0.0,5.324233376,1.480191196,6.804424572,-0.407580049,80,41,39,42.3,104.1,6.0,14.7,23.7,2.2,32.1,0.7,13.2,13.2,11.5,11.2,34.0,0.116,0.0
2,2005-06,2006,LeBron James,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,CLE,NBA,SF,79,79,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,3361,13.9,29.0,0.48,2.0,6.0,0.335,11.9,23.0,0.518,9.6,12.9,0.738,1.2,7.6,8.8,8.3,2.0,1.0,4.1,2.9,39.4,115,104,3361,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,0.232,7.5,1.6,9.1,9.4,82.0,19830,2908,6412,0.454,497,1465,0.339,2411,4947,0.487,1689,2318,0.729,959,2511,3470,1560,567,392,1137,1733,8002,82.0,19830,2949,6481,0.455,459,1291,0.356,2490,5190,0.48,1462,1970,0.742,807,2421,3228,1666,540,357,1079,1842,7819,50,32,48,34,2.23,-0.06,2.17,107.8,105.4,89.8,0.362,0.228,0.492,13.3,28.4,0.263,0.49,12.8,75.7,0.226,Gund Arena,792391,79,42.5,5.98,0.05,6.02,20.1,7452,3965,6.415884113,0.840637535,7.256521648,20.23541443,18.05391633,2.181498099,6.492075985,0.916880157,7.408956142,-0.123552575,79,47,32,42.5,104.4,6.1,15.0,22.5,1.6,26.0,0.8,19.2,12.8,10.3,9.1,32.8,0.117,0.0
3,2006-07,2007,LeBron James,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,CLE,NBA,SF,78,78,40.9,9.9,20.8,0.476,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,3190,12.8,26.9,0.476,1.6,5.1,0.319,11.2,21.7,0.513,8.1,11.6,0.698,1.4,7.3,8.7,7.8,2.1,0.9,4.1,2.8,35.3,112,100,3190,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,0.206,5.9,2.2,8.1,8.1,82.0,19880,2978,6658,0.447,494,1404,0.352,2484,5254,0.473,1484,2133,0.696,1039,2529,3568,1708,625,353,1177,1781,7934,82.0,19880,2838,6337,0.448,405,1231,0.329,2433,5106,0.476,1539,2096,0.734,807,2461,3268,1649,540,349,1254,1804,7620,50,32,52,30,3.83,-0.5,3.33,105.5,101.3,90.8,0.32,0.211,0.484,13.4,29.7,0.223,0.48,14.7,75.8,0.243,Quicken Loans Arena,837883,78,40.9,4.17,2.78,6.95,21.53,7717,4083,4.632207144,2.641377662,7.273584806,21.01817691,15.99684927,5.021327641,4.681354315,2.435116036,7.116470351,-0.138090935,78,47,31,40.9,99.9,5.7,14.7,21.8,1.6,25.5,0.7,19.2,11.8,9.9,8.7,32.0,0.174,0.0
4,2007-08,2008,LeBron James,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CLE,NBA,SF,75,74,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,3027,14.0,28.9,0.484,2.0,6.3,0.315,12.0,22.6,0.531,9.7,13.6,0.712,2.3,8.1,10.4,9.5,2.4,1.4,4.5,2.9,39.6,116,104,3027,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,0.242,8.2,2.6,10.9,9.8,82.0,19855,2937,6697,0.439,552,1544,0.358,2385,5153,0.463,1477,2061,0.717,1092,2563,3655,1640,579,427,1145,1712,7903,82.0,19855,2939,6462,0.455,506,1419,0.357,2433,5043,0.482,1548,2070,0.748,814,2500,3314,1721,559,388,1092,1666,7932,45,37,40,42,-0.35,-0.17,-0.53,106.0,106.4,90.2,0.308,0.231,0.48,13.1,30.4,0.221,0.494,12.9,75.9,0.24,Quicken Loans Arena,839074,75,40.4,6.17,-0.38,5.8,17.43,6753,3579,6.802467,1.626495475,8.428962475,20.49272427,17.52677363,2.965950635,6.839819449,1.65439352,8.494212969,0.015236558,75,45,30,40.4,105.5,6.1,15.8,23.3,1.8,30.5,1.1,24.0,13.3,9.5,10.6,31.8,0.115,0.0
5,2008-09,2009,LeBron James,2,0.0,1.0,4.0,False,1.0,148.0,500.0,24,CLE,NBA,SF,81,81,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,3054,14.0,28.6,0.489,2.3,6.8,0.344,11.6,21.8,0.535,10.5,13.5,0.78,1.9,9.0,10.9,10.4,2.4,1.6,4.3,2.5,40.8,122,99,3054,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8,82.0,19780,3022,6454,0.468,656,1670,0.393,2366,4784,0.495,1523,2012,0.757,886,2574,3460,1663,593,435,1045,1663,8223,82.0,19780,2775,6444,0.431,482,1447,0.333,2293,4997,0.459,1459,1895,0.77,878,2310,3188,1568,519,338,1137,1664,7491,66,16,65,17,8.93,-0.25,8.68,112.4,102.4,88.7,0.312,0.259,0.519,12.5,27.7,0.236,0.468,13.5,74.6,0.226,Quicken Loans Arena,841000,81,37.7,7.21,2.84,10.05,25.85,6760,3634,9.334993762,3.245820847,12.58081461,28.52525948,22.79505684,5.730202644,9.408782313,2.868373513,12.27715583,-0.344555623,81,66,15,37.7,99.4,6.3,16.8,25.3,1.7,27.4,1.1,26.4,10.4,9.2,9.3,29.0,0.186,0.0
6,2009-10,2010,LeBron James,4,0.0,2.0,4.0,False,1.0,61.0,500.0,25,CLE,NBA,SF,76,76,39.0,10.1,20.1,0.503,1.7,5.1,0.333,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,2966,13.6,27.1,0.503,2.3,6.9,0.333,11.3,20.2,0.56,10.5,13.7,0.767,1.3,8.6,9.8,11.5,2.2,1.4,4.6,2.1,40.0,121,102,2966,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3,82.0,19780,3101,6391,0.485,602,1582,0.381,2499,4809,0.52,1569,2180,0.72,791,2692,3483,1835,564,425,1137,1591,8373,82.0,19780,2935,6633,0.442,524,1511,0.347,2411,5122,0.471,1444,1907,0.757,794,2366,3160,1661,542,325,1045,1708,7838,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,76,39.0,8.03,1.9,9.92,25.34,6611,3426,9.196731423,2.250083757,11.44681518,24.81281621,21.80502538,3.007790833,9.158159023,1.967559351,11.12571837,-0.376950737,76,60,16,39.0,103.0,6.4,16.5,24.0,1.6,28.9,1.0,23.9,12.4,9.4,10.2,29.6,0.145,1.53
7,2010-11,2011,LeBron James,9,0.0,3.0,0.0,False,1.0,25.0,500.0,26,MIA,NBA,SF,79,79,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,3063,13.1,25.6,0.51,1.6,4.8,0.33,11.5,20.8,0.552,8.7,11.4,0.759,1.4,8.8,10.2,9.6,2.1,0.9,4.9,2.8,36.4,116,102,3063,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,82.0,19780,3031,6301,0.481,547,1479,0.37,2484,4822,0.515,1760,2288,0.769,790,2666,3456,1639,544,430,1142,1674,8369,82.0,19780,2869,6614,0.434,546,1584,0.345,2323,5030,0.462,1473,1980,0.744,864,2349,3213,1651,574,246,1081,1788,7757,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,90.9,0.363,0.235,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,AmericanAirlines Arena,810930,79,38.8,4.84,0.89,5.74,18.33,7544,3985,6.041355599,1.546103098,7.587458697,21.08700843,16.49667462,4.590333809,6.311465546,1.520262568,7.831728114,-0.219552029,79,57,22,38.8,101.4,6.5,16.3,24.4,1.6,29.5,0.6,15.2,12.4,9.9,10.2,31.0,0.16,1.24
8,2011-12,2012,LeBron James,4,0.0,4.0,7.0,False,1.0,112.0,500.0,27,MIA,NBA,SF,62,62,37.5,10.0,18.9,0.531,0.9,2.4,0.362,9.1,16.5,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,2326,14.1,26.4,0.531,1.2,3.4,0.362,12.8,23.1,0.556,8.8,11.4,0.771,2.1,9.0,11.1,8.8,2.6,1.1,4.8,2.2,38.1,118,97,2326,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,10.0,4.5,14.5,0.298,8.2,2.7,10.9,7.6,66.0,16040,2446,5212,0.469,370,1030,0.359,2076,4182,0.496,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500,66.0,16040,2285,5267,0.434,479,1318,0.363,1806,3949,0.457,1056,1457,0.725,727,1897,2624,1297,549,280,1107,1356,6105,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,91.2,0.307,0.198,0.505,14.5,26.6,0.238,0.479,15.8,73.9,0.2,AmericanAirlines Arena,657855,62,37.5,5.49,1.39,6.88,14.3,6293,3309,7.897845729,2.09039534,9.988241069,21.64944658,14.64251251,7.006934064,7.896980707,1.868152192,9.7651329,-0.364794159,62,45,17,37.5,98.4,6.4,17.1,26.7,1.9,24.6,0.8,18.3,11.8,10.2,8.6,28.7,0.16,0.91
9,2012-13,2013,LeBron James,2,0.0,5.0,18.0,False,1.0,149.0,500.0,28,MIA,NBA,PF,76,76,37.9,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,2877,14.1,24.9,0.565,1.9,4.7,0.406,12.2,20.2,0.602,7.4,9.8,0.753,1.8,9.4,11.2,10.1,2.4,1.2,4.2,2.0,37.5,125,101,2877,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,14.6,4.7,19.3,0.322,9.3,2.4,11.7,9.9,82.0,19880,3148,6348,0.496,717,1809,0.396,2431,4539,0.536,1423,1887,0.754,676,2490,3166,1890,710,441,1143,1533,8436,82.0,19880,2919,6633,0.44,624,1783,0.35,2295,4850,0.473,1329,1735,0.766,921,2369,3290,1655,649,262,1280,1673,7791,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,0.297,0.285,0.552,13.7,22.2,0.224,0.487,14.8,73.0,0.2,AmericanAirlines Arena,819290,76,37.9,6.32,1.26,7.58,19.41,7265,3837,8.529732991,1.092302181,9.622035172,24.21956155,18.43211,5.787451547,8.668272788,1.078147967,9.746420755,-0.614577772,76,61,15,37.9,101.9,6.8,18.0,28.3,1.7,23.5,0.9,20.7,11.4,11.2,9.2,31.4,0.132,1.22
