,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2011-12,2012,Cory Joseph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,SAS,NBA,PG,29,1,9.2,0.8,2.4,0.314,0.1,0.5,0.2,0.7,1.9,0.345,0.336,0.4,0.6,0.647,0.2,0.7,0.9,1.2,0.2,0.1,0.4,0.6,2.0,266,4.3,13.6,0.314,0.6,2.9,0.2,3.7,10.7,0.345,2.1,3.3,0.647,1.0,3.9,4.9,6.6,1.4,0.6,2.3,3.1,11.3,88,106,266,6.9,0.374,0.214,0.243,2.2,8.5,5.4,17.4,1.4,0.8,13.4,15.4,-0.2,0.2,0.0,0.001,-4.4,-0.6,-5.0,-0.2,66.0,15940.0,2611.0,5463.0,0.478,552.0,1405.0,0.393,2059.0,4058.0,0.507,1067.0,1427.0,0.748,683.0,2153.0,2836.0,1528.0,490.0,293.0,895.0,1143.0,6841.0,66.0,15940.0,2512.0,5560.0,0.452,412.0,1166.0,0.353,2100.0,4394.0,0.478,932.0,1233.0,0.756,680.0,2039.0,2719.0,1291.0,489.0,330.0,906.0,1244.0,6368.0,50,16,48,18,7.17,0.11,7.28,110.9,103.2,92.9,0.261,0.257,0.528,12.8,25.1,0.195,0.489,12.9,76.0,0.168,AT&T Center,607095,29,9.2,-2.59,-2.67,-5.25,-0.52,521,266,-3.281715421,-2.216892291,-5.498607711,-0.372262517,-0.372262517,0.0,-3.402922135,-2.570169623,-5.973091758,-0.1881149,29,21,8,9.2,110.8,0.7,8.0,12.3,0.2,21.9,0.1,18.8,3.2,1.9,2.5,8.4,0.003,-1.23
1,2012-13,2013,Cory Joseph,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,SAS,NBA,PG,28,9,13.9,1.8,3.9,0.464,0.2,0.8,0.286,1.6,3.2,0.506,0.491,0.6,0.8,0.857,0.4,1.4,1.9,1.9,0.5,0.1,0.8,0.9,4.5,388,6.7,14.4,0.464,0.8,2.8,0.286,5.9,11.7,0.506,2.4,2.8,0.857,1.6,5.3,6.8,7.0,2.0,0.5,2.8,3.3,16.5,107,103,388,13.5,0.528,0.191,0.191,3.8,11.3,7.7,20.2,2.0,0.7,15.0,16.6,0.4,0.5,0.9,0.113,-1.2,0.8,-0.4,0.2,82.0,19880.0,3210.0,6675.0,0.481,663.0,1764.0,0.376,2547.0,4911.0,0.519,1365.0,1725.0,0.791,666.0,2721.0,3387.0,2058.0,695.0,446.0,1206.0,1427.0,8448.0,82.0,19880.0,3079.0,6960.0,0.442,519.0,1471.0,0.353,2560.0,5489.0,0.466,1246.0,1639.0,0.76,912.0,2577.0,3489.0,1756.0,675.0,405.0,1221.0,1565.0,7923.0,58,24,58,24,6.4,0.27,6.67,108.3,101.6,94.2,0.258,0.264,0.531,14.0,20.5,0.204,0.48,13.7,74.9,0.179,AT&T Center,755700,28,13.9,-0.38,-1.44,-1.82,0.19,1133,580,-0.750115996,-0.525990709,-1.276106705,0.440346102,0.282533171,0.157812931,-1.042963212,-0.810219109,-1.853182321,-0.224264637,28,19,9,13.9,100.7,1.4,10.2,14.2,0.5,25.4,0.1,10.0,5.1,2.9,5.2,12.1,0.055,-0.53
2,2013-14,2014,Cory Joseph,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,22,SAS,NBA,SG,68,19,13.8,1.9,3.9,0.475,0.2,0.6,0.316,1.7,3.3,0.502,0.498,1.2,1.4,0.823,0.5,1.1,1.6,1.7,0.5,0.2,0.6,1.2,5.0,936,6.8,14.3,0.475,0.6,2.1,0.316,6.2,12.3,0.502,4.3,5.2,0.823,1.7,4.0,5.8,6.2,1.9,0.8,2.3,4.5,18.5,115,104,936,14.7,0.558,0.143,0.362,4.0,8.7,6.4,17.2,1.9,1.1,12.3,16.9,1.6,1.3,2.9,0.148,-0.4,1.3,0.9,0.7,82.0,19755.0,3326.0,6844.0,0.486,698.0,1757.0,0.397,2628.0,5087.0,0.517,1289.0,1642.0,0.785,762.0,2786.0,3548.0,2064.0,604.0,420.0,1180.0,1495.0,8639.0,82.0,19755.0,3096.0,6976.0,0.444,529.0,1500.0,0.353,2567.0,5476.0,0.469,1285.0,1691.0,0.76,862.0,2600.0,3462.0,1669.0,628.0,379.0,1137.0,1585.0,8006.0,62,20,61,21,7.72,0.28,8.0,110.5,102.4,95.0,0.24,0.257,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,AT&T Center,755031,68,13.8,-1.03,-1.83,-2.86,-0.06,2067,1023,0.636426809,-0.446343845,0.190082964,1.540310607,1.117992338,0.422318269,-0.22910851,0.433818829,0.204710319,-0.62303518,68,52,16,13.8,104.3,1.1,7.9,11.7,0.5,25.5,0.2,14.9,4.9,4.1,3.6,12.9,0.042,-0.77
3,2014-15,2015,Cory Joseph,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,SAS,NBA,PG,79,14,18.3,2.6,5.2,0.504,0.2,0.6,0.364,2.4,4.6,0.52,0.523,1.3,1.8,0.734,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8,1444,7.3,14.6,0.504,0.6,1.6,0.364,6.8,13.0,0.52,3.7,5.1,0.734,1.6,5.2,6.8,6.7,1.6,0.6,2.4,3.7,19.0,115,104,1444,15.5,0.564,0.107,0.348,3.5,11.4,7.5,19.7,1.6,0.9,12.4,17.0,2.7,1.8,4.5,0.149,0.2,1.3,1.4,1.2,82.0,19955.0,3208.0,6854.0,0.468,677.0,1847.0,0.367,2531.0,5007.0,0.505,1368.0,1754.0,0.78,806.0,2772.0,3578.0,2000.0,657.0,444.0,1146.0,1564.0,8461.0,82.0,19955.0,3044.0,6861.0,0.444,558.0,1550.0,0.36,2486.0,5311.0,0.468,1307.0,1754.0,0.745,813.0,2643.0,3456.0,1699.0,648.0,362.0,1167.0,1613.0,7953.0,55,27,58,24,6.2,0.14,6.34,108.5,102.0,93.8,0.256,0.269,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,AT&T Center,762855,79,18.3,-1.38,1.91,0.52,3.15,2919,1466,0.621197769,0.230245587,0.851443357,2.667267742,2.852267239,-0.184999498,-0.41995797,0.68907071,0.269112739,-1.492296703,79,53,26,18.3,97.7,1.9,10.1,14.5,0.6,20.8,0.2,12.1,6.2,4.6,5.3,15.5,0.088,0.64
4,2015-16,2016,Cory Joseph,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,TOR,NBA,SG,80,4,25.6,3.2,7.3,0.439,0.4,1.4,0.273,2.8,5.9,0.478,0.465,1.7,2.2,0.764,0.5,2.1,2.6,3.1,0.8,0.3,1.3,1.6,8.5,2046,6.5,14.8,0.439,0.8,2.8,0.273,5.7,12.0,0.478,3.4,4.4,0.764,1.0,4.3,5.3,6.3,1.6,0.5,2.6,3.3,17.1,106,108,2046,12.4,0.512,0.188,0.297,2.2,9.4,5.9,19.3,1.6,0.8,13.4,17.0,1.8,1.7,3.5,0.082,-1.1,-0.1,-1.2,0.4,82.0,19780.0,3006.0,6669.0,0.451,708.0,1915.0,0.37,2298.0,4754.0,0.483,1702.0,2190.0,0.777,836.0,2724.0,3560.0,1536.0,636.0,449.0,1073.0,1610.0,8422.0,82.0,19780.0,2991.0,6732.0,0.444,717.0,1922.0,0.373,2274.0,4810.0,0.473,1354.0,1809.0,0.748,782.0,2561.0,3343.0,1781.0,534.0,442.0,1094.0,1801.0,8053.0,56,26,53,29,4.5,-0.42,4.08,110.0,105.2,92.9,0.328,0.287,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863,80,25.6,-2.69,1.93,-0.76,2.13,4916,2498,-1.286283944,1.306752093,0.020468149,3.457160564,3.186610944,0.27054962,-1.009173074,1.112580086,0.103407011,-1.891291425,80,54,26,25.6,100.9,2.1,8.0,12.1,0.8,19.3,0.3,8.2,6.7,6.2,5.5,20.4,0.105,0.2
5,2016-17,2017,Cory Joseph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,TOR,NBA,PG,80,22,25.0,3.7,8.3,0.452,0.6,1.7,0.356,3.1,6.6,0.477,0.489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,2003,7.6,16.7,0.452,1.2,3.4,0.356,6.4,13.3,0.477,2.4,3.1,0.77,1.3,4.7,5.9,6.7,1.7,0.3,2.7,3.5,18.7,108,110,2003,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4,1.7,1.7,3.4,0.082,-0.9,-0.4,-1.3,0.4,82.0,19780.0,3211.0,6918.0,0.464,725.0,1996.0,0.363,2486.0,4922.0,0.505,1615.0,2028.0,0.796,871.0,2676.0,3547.0,1517.0,677.0,400.0,1041.0,1708.0,8762.0,82.0,19780.0,3052.0,6801.0,0.449,794.0,2240.0,0.354,2258.0,4561.0,0.495,1519.0,1948.0,0.78,831.0,2619.0,3450.0,1786.0,547.0,392.0,1200.0,1666.0,8417.0,51,31,52,30,4.21,-0.56,3.65,112.3,107.8,94.7,0.293,0.289,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050,80,25.0,-1.63,0.24,-1.39,0.63,4463,2215,-0.667168345,-0.802762995,-1.469931341,1.433962641,1.351429653,0.082532988,-0.63714847,-0.207442133,-0.844590603,-0.905015102,80,49,31,25.0,107.8,2.3,9.2,13.7,0.8,20.2,0.2,6.4,7.9,7.0,6.2,21.9,0.069,-1.13
6,2017-18,2018,Cory Joseph,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,IND,NBA,PG,82,17,27.0,3.1,7.4,0.424,0.8,2.3,0.353,2.3,5.0,0.457,0.479,0.9,1.1,0.745,0.5,2.7,3.2,3.2,1.0,0.2,1.1,1.7,7.9,2210,5.8,13.7,0.424,1.5,4.3,0.353,4.3,9.4,0.457,1.6,2.1,0.745,0.9,5.1,5.9,5.9,1.8,0.4,2.0,3.2,14.7,106,110,2210,11.0,0.503,0.315,0.156,2.0,11.4,6.7,16.1,1.8,0.7,11.9,14.8,1.2,2.0,3.1,0.068,-1.8,0.3,-1.5,0.3,82.0,19755.0,3345.0,7083.0,0.472,741.0,2010.0,0.369,2604.0,5073.0,0.513,1225.0,1573.0,0.779,788.0,2684.0,3472.0,1819.0,721.0,340.0,1089.0,1544.0,8656.0,82.0,19755.0,3230.0,6953.0,0.465,870.0,2496.0,0.349,2360.0,4457.0,0.53,1213.0,1602.0,0.757,838.0,2686.0,3524.0,1905.0,577.0,428.0,1271.0,1514.0,8543.0,48,34,45,37,1.38,-0.2,1.18,109.5,108.1,96.0,0.222,0.284,0.525,12.3,22.7,0.173,0.527,14.2,76.2,0.174,Bankers Life Fieldhouse,658119,82,27.0,-2.36,1.71,-0.65,1.22,4774,2353,-0.9326058,-0.011825388,-0.944431187,2.184581529,1.586745282,0.597836247,-1.35149015,0.57193894,-0.77955121,-1.43037851,82,48,34,27.0,106.5,2.7,10.1,14.7,1.0,20.9,0.2,9.9,8.2,6.8,6.4,24.2,0.082,-0.77
7,2018-19,2019,Cory Joseph,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,IND,NBA,PG,82,9,25.2,2.8,6.7,0.412,0.7,2.1,0.322,2.1,4.6,0.454,0.463,0.4,0.5,0.698,0.5,2.9,3.4,3.9,1.1,0.3,1.0,1.6,6.5,2063,5.4,13.0,0.412,1.3,4.1,0.322,4.1,8.9,0.454,0.7,1.0,0.698,0.9,5.7,6.6,7.6,2.2,0.5,1.9,3.1,12.7,105,107,2063,11.0,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2.1,1.7,-0.4,0.9,82.0,19705.0,3390.0,7135.0,0.475,779.0,2081.0,0.374,2611.0,5054.0,0.517,1298.0,1727.0,0.752,762.0,2766.0,3528.0,2128.0,713.0,404.0,1122.0,1594.0,8857.0,82.0,19705.0,3177.0,7059.0,0.45,932.0,2633.0,0.354,2245.0,4426.0,0.507,1298.0,1718.0,0.756,862.0,2718.0,3580.0,2006.0,608.0,425.0,1284.0,1642.0,8584.0,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,98.1,0.242,0.292,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,689310,82,25.2,-2.58,1.68,-0.91,0.51,4453,2148,-0.902044956,2.314084176,1.41203922,4.491775123,4.63699688,-0.145221757,-1.338045762,2.593427008,1.255381245,-1.23977458,82,48,34,25.2,102.4,2.9,11.1,16.2,1.1,25.5,0.3,11.3,7.1,6.4,6.9,23.4,0.121,1.5
8,2019-20,2020,Cory Joseph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,SAC,NBA,PG,72,26,24.4,2.4,5.7,0.415,0.8,2.2,0.352,1.6,3.5,0.455,0.483,0.8,1.0,0.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4,1759,4.7,11.4,0.415,1.5,4.4,0.352,3.2,7.0,0.455,1.7,1.9,0.857,1.2,4.0,5.2,6.9,1.5,0.6,2.2,3.7,12.6,110,114,1759,10.1,0.517,0.386,0.17,2.7,9.4,6.0,19.1,1.5,1.1,15.3,12.9,1.2,1.1,2.3,0.062,-2.1,0.1,-2.0,0.0,72.0,17455.0,2943.0,6364.0,0.462,914.0,2511.0,0.364,2029.0,3853.0,0.527,1127.0,1464.0,0.77,695.0,2372.0,3067.0,1713.0,556.0,293.0,1043.0,1595.0,7927.0,72.0,17455.0,2898.0,6158.0,0.471,894.0,2506.0,0.357,2004.0,3652.0,0.549,1384.0,1752.0,0.79,654.0,2481.0,3135.0,1791.0,557.0,304.0,1094.0,1404.0,8074.0,31,41,31,41,-2.04,0.46,-1.59,110.2,112.2,98.9,0.23,0.395,0.534,13.0,21.9,0.177,0.543,13.6,78.4,0.225,Golden 1 Center,520663,72,24.4,-2.59,1.72,-0.87,1.55,3656,1759,-1.96927641,1.546158295,-0.423118116,2.05647728,2.05647728,0.0,-2.215676336,1.409362224,-0.806314112,-1.553083618,72,31,41,24.4,107.6,2.0,8.2,11.8,0.7,19.1,0.3,14.8,8.3,5.8,5.5,23.4,0.081,-0.15
9,2020-21,2021,Cory Joseph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,SAC,NBA,PG,44,2,21.5,2.5,5.7,0.444,0.7,2.1,0.33,1.8,3.5,0.513,0.506,0.8,1.1,0.766,0.6,1.7,2.3,2.5,0.9,0.2,1.0,2.2,6.6,944,5.6,12.7,0.444,1.6,4.8,0.33,4.1,7.9,0.513,1.8,2.4,0.766,1.3,3.8,5.0,5.5,2.0,0.5,2.2,5.0,14.7,109,119,944,9.9,0.534,0.376,0.188,2.9,8.8,5.8,14.9,2.0,0.8,14.0,14.3,0.4,0.3,0.7,0.037,-3.0,-0.3,-3.3,-0.3,72.0,17305.0,3067.0,6382.0,0.481,874.0,2400.0,0.364,2193.0,3982.0,0.551,1181.0,1585.0,0.745,674.0,2307.0,2981.0,1836.0,543.0,358.0,963.0,1400.0,8189.0,72.0,17305.0,3139.0,6438.0,0.488,893.0,2349.0,0.38,2246.0,4089.0,0.549,1283.0,1631.0,0.787,767.0,2489.0,3256.0,1823.0,545.0,336.0,988.0,1348.0,8454.0,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,100.0,0.248,0.376,0.549,12.0,21.3,0.185,0.557,12.1,75.0,0.199,Golden 1 Center,0,63,23.0,-0.52,-1.72,-2.23,-0.38,3037,1446,-1.014152774215912,0.3728718065545288,-0.6412809676613836,1.572537712575746,1.572537712575746,0.0,-1.65752616709919,0.6097518914082964,-1.047774275690894,-0.3769338963963432,63,25,38,23.0,115.3,2.0,8.5,12.8,1.0,32.1,0.3,12.6,8.7,6.3,5.4,25.8,0.037,-0.74
