,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Shawn Kemp,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,SEA,NBA,PF,78,68,33.1,6.6,13.4,0.492,0.0,0.1,0.0,6.6,13.4,0.494,0.492,4.6,6.4,0.712,3.7,7.0,10.7,2.0,1.5,1.9,2.8,4.2,17.8,2582,10.0,20.3,0.492,0.0,0.1,0.0,10.0,20.2,0.494,6.9,9.7,0.712,5.6,10.6,16.1,3.0,2.3,2.8,4.2,6.3,26.9,110,100,2582,20.4,0.547,0.004,0.48,12.8,25.1,18.8,8.8,2.3,3.8,14.6,24.2,4.0,5.1,9.1,0.169,0.9,1.0,1.9,2.6,82.0,19780,3473,7140,0.486,218,610,0.357,3255,6530,0.498,1720,2259,0.761,1222,2254,3476,1906,944,409,1267,1971,8884,82.0,19780,3143,6707,0.469,272,808,0.337,2871,5899,0.487,1746,2299,0.759,1075,2220,3295,1835,655,406,1516,1853,8304,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,96.0,0.316,0.085,0.502,13.5,35.5,0.241,0.489,16.4,67.7,0.26,Seattle Center Coliseum,646589,0,0,0.0,0.0,0.0,0.0,6476,3245,1.450852034,2.191850244,3.642702278,10.71209959,7.963602834,2.748496757,1.922199888,2.140737511,4.062937399,0.127945297,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Shawn Kemp,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,SEA,NBA,PF,79,73,32.9,6.7,12.5,0.538,0.0,0.1,0.25,6.7,12.5,0.54,0.539,4.6,6.2,0.741,3.9,6.8,10.8,2.6,1.8,2.1,3.3,3.9,18.1,2597,10.4,19.2,0.538,0.0,0.1,0.25,10.3,19.2,0.54,7.1,9.5,0.741,6.1,10.5,16.5,4.0,2.8,3.2,5.0,6.1,27.8,112,96,2597,22.9,0.593,0.004,0.496,14.2,24.7,19.4,12.4,2.8,4.6,17.7,24.2,5.6,6.0,11.7,0.216,2.4,2.0,4.4,4.2,82.0,19730,3338,6901,0.484,242,722,0.335,3096,6179,0.501,1769,2374,0.745,1148,2233,3381,2112,1053,365,1262,1914,8687,82.0,19730,2928,6459,0.453,326,946,0.345,2602,5513,0.472,1760,2374,0.741,1084,2191,3275,1808,686,421,1666,1884,7942,63,19,64,18,9.09,-0.41,8.68,111.1,101.5,95.1,0.344,0.105,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.272,Seattle Center Coliseum,601369,0,0,0.0,0.0,0.0,0.0,5588,2803,2.016587976,2.725993048,4.742581025,10.71385919,10.20930176,0.504557428,2.400985632,2.401560092,4.802545724,0.027038235,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Shawn Kemp,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,SEA,NBA,PF,82,79,32.7,6.6,12.2,0.547,0.0,0.1,0.286,6.6,12.1,0.548,0.548,5.3,7.1,0.749,3.9,7.0,10.9,1.8,1.2,1.5,3.2,4.1,18.7,2679,10.2,18.7,0.547,0.0,0.1,0.286,10.2,18.6,0.548,8.2,11.0,0.749,6.0,10.8,16.8,2.8,1.9,2.3,4.9,6.3,28.7,115,102,2679,21.7,0.61,0.007,0.587,14.4,25.0,19.8,8.8,1.9,3.5,17.1,24.4,5.9,4.7,10.6,0.19,1.6,0.1,1.7,2.5,82.0,19830,3310,6741,0.491,491,1305,0.376,2819,5436,0.519,1944,2564,0.758,1068,2337,3405,2115,917,392,1295,2067,9055,82.0,19830,3008,6637,0.453,520,1514,0.343,2488,5123,0.486,1848,2514,0.735,1064,2207,3271,1849,652,493,1485,2024,8384,57,25,61,21,8.18,-0.27,7.91,114.8,106.3,95.5,0.38,0.194,0.527,14.1,32.6,0.288,0.492,16.1,68.7,0.278,Tacoma Dome,633604,0,0,0.0,0.0,0.0,0.0,5685,2839,1.978360247,0.990408329,2.968768575,8.333012814,7.501070762,0.831942052,2.200339824,0.816727984,3.017067808,-0.045956417,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Shawn Kemp,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,SEA,NBA,PF,79,76,33.3,6.7,11.9,0.561,0.1,0.2,0.417,6.6,11.7,0.563,0.564,6.2,8.4,0.742,3.5,7.9,11.4,2.2,1.2,1.6,4.0,3.8,19.6,2631,10.2,18.2,0.561,0.1,0.2,0.417,10.1,18.0,0.563,9.6,12.9,0.742,5.4,12.2,17.6,3.4,1.8,2.5,6.1,5.8,30.1,111,97,2631,22.6,0.631,0.013,0.709,13.0,26.9,20.3,11.5,1.8,3.8,20.4,26.2,5.2,6.1,11.2,0.205,1.5,1.3,2.8,3.2,82.0,19880,3074,6401,0.48,581,1596,0.364,2493,4805,0.519,1843,2424,0.76,954,2449,3403,1999,882,393,1441,1967,8572,82.0,19880,2873,6553,0.438,533,1531,0.348,2340,5022,0.466,1654,2309,0.716,1074,2255,3329,1776,758,391,1517,2010,7933,64,18,61,21,7.79,-0.4,7.4,110.3,102.1,93.8,0.379,0.249,0.526,16.2,29.7,0.288,0.479,16.7,69.5,0.252,KeyArena at Seattle Center,697301,0,0,0.0,0.0,0.0,0.0,6538,3351,1.29714707,1.783748592,3.080895662,10.08537403,7.276187169,2.809186859,1.385729376,1.343310187,2.729039564,-0.033634852,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Shawn Kemp,6T,0.0,1.0,1.0,False,1.0,1.0,500.0,27,SEA,NBA,PF,81,75,34.0,6.5,12.7,0.51,0.1,0.4,0.364,6.3,12.3,0.515,0.516,5.6,7.5,0.742,3.4,6.6,10.0,1.9,1.5,1.0,3.5,4.0,18.7,2750,10.2,19.9,0.51,0.2,0.6,0.364,9.9,19.3,0.515,8.7,11.8,0.742,5.3,10.3,15.6,3.0,2.4,1.6,5.4,6.2,29.3,109,99,2750,20.7,0.583,0.032,0.59,12.1,23.3,17.7,10.0,2.4,2.5,17.7,26.3,4.6,5.4,10.0,0.174,0.6,0.3,0.8,2.0,82.0,19780,2995,6415,0.467,559,1583,0.353,2436,4832,0.504,1725,2295,0.752,1010,2271,3281,1931,904,388,1231,1803,8274,82.0,19780,2759,6259,0.441,613,1644,0.373,2146,4615,0.465,1513,2042,0.741,1015,2256,3271,1751,634,423,1535,1927,7644,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,90.3,0.358,0.247,0.51,14.2,30.9,0.269,0.49,17.7,69.1,0.242,KeyArena at Seattle Center,699952,81,34.0,0.32,-0.27,0.05,5.59,6082,3192,0.965378751,1.084144833,2.049523585,7.868235411,6.478890883,1.389344527,1.355815646,1.106499878,2.462315524,0.154021983,81,56,25,34.0,100.7,6.6,20.2,32.8,1.5,20.1,1.0,28.5,11.7,10.5,7.7,23.6,0.135,0
5,1997-98,1998,Shawn Kemp,-1,0.0,1.0,0.0,False,1.0,0.0,500.0,28,CLE,NBA,PF,80,80,34.6,6.5,14.6,0.445,0.0,0.1,0.25,6.5,14.5,0.446,0.446,5.1,7.0,0.727,2.7,6.6,9.3,2.5,1.4,1.1,3.4,3.9,18.0,2769,10.0,22.5,0.445,0.0,0.2,0.25,10.0,22.3,0.446,7.8,10.7,0.727,4.2,10.1,14.4,3.8,2.1,1.7,5.2,6.0,27.8,98,96,2769,17.5,0.512,0.007,0.478,9.9,23.0,16.5,13.6,2.1,2.5,16.1,28.0,0.9,5.9,6.8,0.118,-0.5,1.1,0.6,1.8,82.0,19830,2817,6207,0.454,298,801,0.372,2519,5406,0.466,1653,2187,0.756,955,2331,3286,1894,814,419,1418,1939,7585,82.0,19830,2689,6214,0.433,341,992,0.344,2348,5222,0.45,1642,2175,0.755,948,2229,3177,1790,707,455,1444,1904,7361,47,35,49,33,2.73,0.33,3.06,102.2,99.1,89.9,0.352,0.129,0.478,16.5,30.0,0.266,0.46,16.8,71.1,0.264,Gund Arena,694629,80,34.6,-0.37,1.22,0.84,6.98,5511,2921,-1.672635851,1.46791707,-0.204718781,3.829844572,3.374483114,0.455361459,-1.164772116,1.446850336,0.28207822,0.134309796,80,47,33,34.6,96.4,6.6,20.1,32.0,1.4,17.8,1.1,29.9,12.6,9.4,9.3,26.2,0.167,0
6,1998-99,1999,Shawn Kemp,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,29,CLE,NBA,PF,42,42,35.1,6.6,13.7,0.482,0.0,0.0,0.5,6.6,13.6,0.482,0.483,7.3,9.3,0.789,3.1,6.1,9.2,2.4,1.1,1.1,3.0,3.8,20.5,1475,10.4,21.7,0.482,0.0,0.1,0.5,10.4,21.6,0.482,11.6,14.7,0.789,4.9,9.7,14.6,3.8,1.8,1.7,4.8,6.0,32.5,110,99,1475,23.6,0.578,0.003,0.677,11.4,22.0,16.8,14.9,1.8,2.5,14.5,28.9,4.2,2.1,6.3,0.205,3.8,0.4,4.2,2.3,50.0,12050,1562,3561,0.439,182,534,0.341,1380,3027,0.456,1016,1356,0.749,472,1316,1788,1093,452,203,785,1208,4322,50.0,12050,1597,3664,0.436,236,675,0.35,1361,2989,0.455,978,1316,0.743,591,1405,1996,1056,392,282,821,1198,4408,22,28,22,28,-1.72,0.78,-0.94,99.6,101.6,86.4,0.381,0.15,0.464,15.9,25.1,0.285,0.468,16.2,69.0,0.267,Gund Arena,352992,42,35.1,1.61,0.34,1.95,5.04,2685,1475,2.122292766,0.542594529,2.664887295,4.069946352,4.069946352,0.0,2.125742116,0.687470009,2.813212125,-0.110427578,42,21,21,35.0,99.3,6.1,18.8,30.7,1.1,17.8,1.1,36.9,12.8,9.3,9.3,27.3,0.106,0
7,1999-00,2000,Shawn Kemp,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,30,CLE,NBA,C,82,82,30.4,5.9,14.1,0.417,0.0,0.1,0.333,5.9,14.1,0.418,0.418,6.0,7.7,0.776,2.8,6.0,8.8,1.7,1.2,1.2,3.5,4.5,17.8,2492,9.7,23.3,0.417,0.0,0.1,0.333,9.7,23.2,0.418,9.9,12.8,0.776,4.6,9.9,14.6,2.8,2.0,1.9,5.9,7.5,29.4,96,100,2492,17.2,0.508,0.005,0.547,10.2,22.4,16.3,10.0,2.0,2.8,16.8,30.2,0.2,3.8,4.0,0.077,-1.8,-0.3,-2.1,0.0,82.0,19855,2977,6734,0.442,343,919,0.373,2634,5815,0.453,1653,2205,0.75,1010,2499,3509,1941,715,363,1427,2219,7950,82.0,19855,2983,6736,0.443,420,1229,0.342,2563,5507,0.465,1851,2385,0.776,1013,2586,3599,1942,659,500,1389,2058,8237,32,50,31,51,-3.5,-0.14,-3.64,100.4,104.0,95.7,0.327,0.136,0.468,15.6,28.1,0.245,0.474,15.1,71.2,0.275,Gund Arena,603702,82,30.4,-0.05,-1.9,-1.95,0.83,5025,2492,-3.531578434,1.240651319,-2.290927115,0.587082229,0.587082229,0.0,-2.749509665,1.345124127,-1.404385539,0.55021581,82,32,50,30.4,101.2,6.0,20.0,30.7,1.2,21.2,1.2,40.5,12.2,8.5,9.4,24.2,0.092,0
8,2000-01,2001,Shawn Kemp,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,31,POR,NBA,PF,68,3,15.9,2.5,6.1,0.407,0.1,0.2,0.364,2.4,5.9,0.408,0.412,1.5,1.9,0.771,0.9,2.9,3.8,1.0,0.7,0.3,1.5,2.7,6.5,1083,8.4,20.5,0.407,0.2,0.5,0.364,8.2,20.0,0.408,5.0,6.5,0.771,3.1,9.7,12.9,3.2,2.2,1.1,4.9,9.1,21.9,90,99,1083,11.4,0.469,0.027,0.317,7.2,20.9,14.3,9.9,2.2,1.6,17.4,24.5,-0.8,1.7,0.9,0.041,-4.8,0.1,-4.8,-0.7,82.0,19780,3004,6417,0.468,369,1057,0.349,2635,5360,0.492,1447,1899,0.762,960,2481,3441,1963,672,419,1257,1745,7824,82.0,19780,2819,6436,0.438,406,1103,0.368,2413,5333,0.452,1436,1930,0.744,946,2238,3184,1745,646,324,1216,1738,7480,50,32,53,29,4.2,0.33,4.52,106.5,101.8,89.1,0.296,0.165,0.497,14.8,30.0,0.225,0.47,14.3,72.4,0.223,Rose Garden Arena,831376,68,15.9,-2.91,-1.24,-4.15,-0.92,2033,1083,-4.755639082,-0.49830428,-5.253943362,-1.400679432,-1.400679432,0.0,-4.057182908,-0.232851812,-4.29003472,1.143563754,68,42,26,15.9,100.9,2.9,19.9,29.5,0.7,23.3,0.3,24.5,5.9,3.4,3.8,11.1,0.045,0
9,2001-02,2002,Shawn Kemp,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,32,POR,NBA,PF,75,5,16.4,2.3,5.4,0.43,0.0,0.1,0.0,2.3,5.4,0.434,0.43,1.4,1.7,0.794,1.2,2.6,3.8,0.7,0.6,0.4,1.1,2.5,6.1,1232,7.6,17.7,0.43,0.0,0.2,0.0,7.6,17.6,0.434,4.5,5.7,0.794,3.9,8.6,12.6,2.3,1.9,1.4,3.5,8.0,19.8,98,102,1232,12.1,0.489,0.01,0.322,8.5,19.1,13.7,6.9,1.9,2.0,14.8,20.2,0.3,1.6,1.9,0.074,-3.8,0.2,-3.7,-0.5,82.0,19830,3004,6671,0.45,466,1318,0.354,2538,5353,0.474,1451,1901,0.763,1085,2444,3529,1926,702,368,1172,1613,7925,82.0,19830,2951,6508,0.453,466,1285,0.363,2485,5223,0.476,1312,1771,0.741,890,2328,3218,1945,612,410,1208,1651,7680,49,33,50,32,2.99,0.22,3.21,107.4,104.0,89.3,0.285,0.198,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,Rose Garden Arena,797821,75,16.4,-2.12,-1.17,-3.29,-0.53,2386,1267,-3.598333567,-0.319141648,-3.917475214,-0.761113288,-0.722340694,-0.038772594,-3.37698879,-0.267888172,-3.644876962,0.678237647,75,44,31,16.5,101.7,2.6,17.7,27.5,0.6,18.3,0.4,30.0,5.2,3.9,4.5,12.8,0.051,0
