,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2007-08,2008,Carl Landry,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,HOU,NBA,PF,42,0,16.9,3.2,5.2,0.616,0.0,0.0,0.0,3.2,5.2,0.619,0.616,1.7,2.6,0.661,2.3,2.6,4.9,0.5,0.4,0.2,0.6,2.3,8.1,711,10.1,16.4,0.616,0.0,0.1,0.0,10.1,16.3,0.619,5.4,8.1,0.661,7.2,8.3,15.5,1.6,1.3,0.5,1.9,7.3,25.6,130,102,711,21.4,0.641,0.005,0.498,15.5,17.3,16.4,5.2,1.3,0.7,8.9,18.8,2.5,1.2,3.7,0.251,1.6,-0.1,1.5,0.6,82.0,19730.0,3003.0,6698.0,0.448,583.0,1707.0,0.342,2420.0,4991.0,0.485,1342.0,1848.0,0.726,1002.0,2659.0,3661.0,1757.0,598.0,420.0,1125.0,1609.0,7931.0,82.0,19730.0,2852.0,6594.0,0.433,433.0,1186.0,0.365,2419.0,5408.0,0.447,1410.0,1912.0,0.737,894.0,2441.0,3335.0,1548.0,622.0,379.0,1094.0,1615.0,7547.0,55,27,55,27,4.68,0.15,4.83,106.8,101.6,90.4,0.276,0.255,0.492,13.0,29.1,0.2,0.465,12.8,74.8,0.214,Toyota Center,718524,42,16.9,1.84,-0.03,1.81,2.1,1543,817,2.743625928,-0.054833286,2.688792642,2.289221182,1.830844058,0.458377124,2.056251151,0.184452403,2.240703553,-0.001160833,42,32,10,16.9,101.9,2.6,16.1,24.2,0.4,18.7,0.2,12.3,5.3,4.6,4.6,14.0,0.067,0.0
1,2008-09,2009,Carl Landry,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,HOU,NBA,PF,69,0,21.3,3.5,6.1,0.574,0.0,0.0,0.333,3.5,6.0,0.576,0.575,2.3,2.8,0.813,1.8,3.2,5.0,0.6,0.4,0.4,1.0,2.4,9.2,1467,8.7,15.2,0.574,0.0,0.1,0.333,8.7,15.1,0.576,5.7,7.0,0.813,4.5,7.9,12.4,1.4,0.9,1.1,2.5,6.0,23.1,123,104,1467,17.7,0.634,0.007,0.462,10.3,16.7,13.6,4.6,0.9,1.5,11.9,18.1,3.7,2.2,5.9,0.193,0.3,0.4,0.7,1.0,82.0,19805.0,2959.0,6526.0,0.453,621.0,1656.0,0.375,2338.0,4870.0,0.48,1531.0,1903.0,0.805,862.0,2662.0,3524.0,1662.0,548.0,355.0,1158.0,1553.0,8070.0,82.0,19805.0,2991.0,6735.0,0.444,464.0,1298.0,0.357,2527.0,5437.0,0.465,1296.0,1730.0,0.749,873.0,2399.0,3272.0,1620.0,588.0,435.0,1012.0,1689.0,7742.0,53,29,53,29,4.0,-0.27,3.73,108.4,104.0,90.2,0.292,0.254,0.501,13.6,26.4,0.235,0.479,11.9,75.3,0.192,Toyota Center,717669,69,21.3,-0.47,0.2,-0.27,2.49,3230,1707,0.244201962,-0.701749489,-0.457547527,1.986420441,1.943653146,0.042767294,-0.259812742,-0.719414961,-0.979227704,-0.134057722,69,44,25,21.3,103.4,3.2,15.5,23.2,0.4,13.6,0.4,27.0,7.1,5.1,4.8,17.1,0.079,0.0
2,2009-10,2010,Carl Landry,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,HOU,NBA,PF,52,1,27.2,5.8,10.6,0.547,0.0,0.0,,5.8,10.6,0.547,0.547,4.5,5.4,0.839,2.3,3.2,5.5,0.8,0.5,0.9,1.7,2.8,16.1,1415,10.9,19.9,0.547,0.0,0.0,,10.9,19.9,0.547,8.5,10.1,0.839,4.4,5.9,10.3,1.4,1.0,1.7,3.1,5.3,30.3,120,109,1415,21.1,0.621,0.0,0.507,9.5,13.8,11.6,5.0,1.0,2.4,11.3,23.8,4.1,1.3,5.4,0.184,2.0,-0.1,1.9,1.4,82.0,19905.0,3094.0,6923.0,0.447,646.0,1838.0,0.351,2448.0,5085.0,0.481,1561.0,2022.0,0.772,971.0,2471.0,3442.0,1790.0,583.0,318.0,1188.0,1712.0,8395.0,82.0,19905.0,3236.0,6810.0,0.475,489.0,1344.0,0.364,2747.0,5466.0,0.503,1464.0,1917.0,0.764,875.0,2632.0,3507.0,1716.0,597.0,532.0,1207.0,1840.0,8425.0,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,94.0,0.292,0.265,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,Toyota Center,677658,80,30.9,-0.28,0.78,0.5,5.55,4891,2469,0.137342055,-0.83412959,-0.696787535,2.580078796,2.580078796,0.0,-0.022538378,-0.599120792,-0.621659169,-0.228162356,80,34,46,30.9,106.8,3.5,11.9,18.3,0.7,16.4,0.8,32.5,10.2,8.7,8.0,28.0,0.078,0.18
3,2009-10,2010,Carl Landry,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,SAC,NBA,PF,28,28,37.6,7.0,13.5,0.52,0.0,0.1,0.333,7.0,13.4,0.521,0.521,3.9,5.3,0.741,2.4,4.1,6.5,0.9,1.0,0.6,1.8,3.1,18.0,1054,9.5,18.4,0.52,0.0,0.1,0.333,9.5,18.2,0.521,5.3,7.1,0.741,3.2,5.6,8.8,1.3,1.3,0.8,2.4,4.3,24.4,112,111,1054,16.0,0.568,0.008,0.388,7.1,12.8,9.9,4.1,1.3,1.2,10.1,20.7,1.6,0.6,2.3,0.105,0.1,-0.8,-0.8,0.3,82.0,19880.0,3144.0,6895.0,0.456,482.0,1383.0,0.349,2662.0,5512.0,0.483,1430.0,1969.0,0.726,977.0,2518.0,3495.0,1679.0,564.0,366.0,1226.0,1827.0,8200.0,82.0,19880.0,3199.0,6828.0,0.469,497.0,1391.0,0.357,2702.0,5437.0,0.497,1663.0,2149.0,0.774,909.0,2538.0,3447.0,1683.0,586.0,468.0,1120.0,1650.0,8558.0,25,57,29,53,-4.37,0.3,-4.06,105.3,109.9,94.0,0.286,0.201,0.491,13.6,27.8,0.207,0.505,12.6,73.5,0.244,Power Balance Pavilion,543416,80,30.9,-0.28,0.78,0.5,5.55,4891,2469,0.137342055,-0.83412959,-0.696787535,2.580078796,2.580078796,0.0,-0.022538378,-0.599120792,-0.621659169,-0.228162356,80,34,46,30.9,106.8,3.5,11.9,18.3,0.7,16.4,0.8,32.5,10.2,8.7,8.0,28.0,0.078,0.18
4,2010-11,2011,Carl Landry,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,SAC,NBA,PF,53,16,26.5,4.5,9.1,0.492,0.0,0.1,0.0,4.5,9.1,0.495,0.492,2.9,4.1,0.721,2.4,2.4,4.8,0.9,0.6,0.4,1.5,2.4,11.9,1406,8.5,17.4,0.492,0.0,0.1,0.0,8.5,17.2,0.495,5.6,7.7,0.721,4.6,4.5,9.1,1.8,1.1,0.7,2.9,4.5,22.6,109,112,1406,14.7,0.545,0.006,0.444,10.0,10.5,10.2,5.7,1.1,1.0,12.4,20.3,1.8,0.7,2.5,0.086,-0.4,-1.4,-1.8,0.1,82.0,19855.0,3134.0,6979.0,0.449,428.0,1277.0,0.335,2706.0,5702.0,0.475,1455.0,1981.0,0.734,1071.0,2526.0,3597.0,1675.0,608.0,391.0,1324.0,1805.0,8151.0,82.0,19855.0,3260.0,6826.0,0.478,480.0,1353.0,0.355,2780.0,5473.0,0.508,1589.0,2085.0,0.762,868.0,2508.0,3376.0,1779.0,666.0,464.0,1204.0,1723.0,8589.0,24,58,27,55,-5.34,0.54,-4.8,103.5,109.0,95.2,0.284,0.183,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,Power Balance Pavilion,569496,76,26.4,-0.79,-1.44,-2.23,1.15,4329,2221,-0.597332995,-2.858007022,-3.455340017,-0.770048776,-0.82721232,0.057163545,-0.841705689,-2.526696559,-3.368402248,-0.195159666,76,25,51,26.4,108.7,2.4,9.8,15.4,0.5,12.5,0.4,15.6,9.2,7.1,8.5,24.9,0.051,-1.46
5,2010-11,2011,Carl Landry,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,NOH,NBA,PF,23,10,26.2,4.7,8.8,0.527,0.0,0.0,0.0,4.7,8.8,0.53,0.527,2.5,3.2,0.795,1.7,2.4,4.1,0.6,0.4,0.5,1.2,3.1,11.8,602,9.6,18.2,0.527,0.0,0.1,0.0,9.6,18.2,0.53,5.2,6.6,0.795,3.4,5.0,8.4,1.2,0.9,1.1,2.4,6.4,24.4,112,108,602,15.2,0.578,0.005,0.36,7.6,11.4,9.5,3.8,0.9,1.7,10.3,20.8,1.0,0.6,1.6,0.125,-0.8,-1.2,-2.1,0.0,82.0,19830.0,2944.0,6416.0,0.459,444.0,1232.0,0.36,2500.0,5184.0,0.482,1452.0,1897.0,0.765,824.0,2468.0,3292.0,1691.0,624.0,359.0,1069.0,1719.0,7784.0,82.0,19830.0,2882.0,6306.0,0.457,557.0,1562.0,0.357,2325.0,4744.0,0.49,1390.0,1805.0,0.77,769.0,2457.0,3226.0,1739.0,497.0,396.0,1192.0,1674.0,7711.0,46,36,44,38,0.89,0.39,1.28,106.2,105.2,88.7,0.296,0.192,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,New Orleans Arena,603088,76,26.4,-0.79,-1.44,-2.23,1.15,4329,2221,-0.597332995,-2.858007022,-3.455340017,-0.770048776,-0.82721232,0.057163545,-0.841705689,-2.526696559,-3.368402248,-0.195159666,76,25,51,26.4,108.7,2.4,9.8,15.4,0.5,12.5,0.4,15.6,9.2,7.1,8.5,24.9,0.051,-1.46
6,2011-12,2012,Carl Landry,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,NOH,NBA,PF,41,8,24.4,4.4,8.8,0.503,0.0,0.1,0.0,4.4,8.8,0.507,0.503,3.6,4.5,0.799,1.9,3.3,5.2,0.9,0.3,0.3,1.6,2.2,12.5,999,9.9,19.7,0.503,0.0,0.2,0.0,9.9,19.5,0.507,8.0,10.0,0.799,4.2,7.4,11.6,2.1,0.7,0.7,3.5,4.8,27.8,111,107,999,18.2,0.577,0.008,0.508,9.4,15.9,12.8,7.1,0.7,1.0,12.6,24.0,2.2,0.7,2.9,0.139,1.3,-1.5,-0.2,0.4,66.0,15940.0,2300.0,5103.0,0.451,259.0,777.0,0.333,2041.0,4326.0,0.472,1057.0,1397.0,0.757,724.0,1991.0,2715.0,1368.0,488.0,316.0,1024.0,1324.0,5916.0,66.0,15940.0,2305.0,5188.0,0.444,425.0,1342.0,0.317,1880.0,3846.0,0.489,1129.0,1487.0,0.759,731.0,1910.0,2641.0,1379.0,523.0,380.0,915.0,1235.0,6164.0,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,88.3,0.274,0.152,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,New Orleans Arena,498618,41,24.4,-0.07,-0.76,-0.83,0.96,1859,999,0.079372698,-2.507675414,-2.428302716,0.163470463,0.163470463,0.0,-0.274653919,-2.521496248,-2.796150168,-0.279003711,41,13,28,24.4,104.0,3.3,14.8,22.1,0.3,8.3,0.3,12.2,8.9,6.6,6.8,20.1,0.059,-1.21
7,2012-13,2013,Carl Landry,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,GSW,NBA,PF,81,2,23.2,4.0,7.4,0.54,0.0,0.0,0.333,4.0,7.4,0.541,0.541,2.8,3.4,0.817,2.2,3.7,6.0,0.8,0.4,0.4,1.4,2.3,10.8,1876,8.8,16.3,0.54,0.0,0.1,0.333,8.8,16.2,0.541,6.0,7.4,0.817,4.9,8.2,13.1,1.8,0.9,0.8,3.1,5.1,23.7,116,106,1876,17.5,0.605,0.005,0.453,10.9,17.3,14.2,5.6,0.9,1.3,13.7,20.0,4.3,1.9,6.2,0.159,0.5,-0.7,-0.2,0.8,82.0,19805.0,3130.0,6840.0,0.458,658.0,1632.0,0.403,2472.0,5208.0,0.475,1378.0,1744.0,0.79,885.0,2801.0,3686.0,1845.0,567.0,346.0,1236.0,1753.0,8296.0,82.0,19805.0,3051.0,6954.0,0.439,657.0,1896.0,0.347,2394.0,5058.0,0.473,1464.0,1958.0,0.748,907.0,2596.0,3503.0,1931.0,670.0,399.0,1110.0,1571.0,8223.0,47,35,44,38,0.89,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.506,14.0,25.4,0.201,0.486,12.4,75.5,0.211,Oracle Arena,794320,81,23.2,0.3,-0.78,-0.48,2.68,4223,2122,-0.254391937,-1.843589723,-2.097981661,0.715721576,0.38908012,0.326641456,-0.481595708,-1.863393732,-2.34498944,-0.30681076,81,46,35,23.2,103.9,3.7,15.8,23.4,0.4,13.5,0.4,22.0,8.6,6.9,6.7,19.7,0.067,-1.6
8,2013-14,2014,Carl Landry,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,SAC,NBA,PF,18,1,12.9,1.7,3.3,0.517,0.0,0.0,,1.7,3.3,0.517,0.517,0.8,0.9,0.824,0.8,2.3,3.2,0.3,0.2,0.1,0.5,1.9,4.2,233,6.8,13.1,0.517,0.0,0.0,,6.8,13.1,0.517,3.1,3.7,0.824,3.3,9.2,12.4,1.1,0.7,0.2,2.0,7.4,16.6,112,110,233,11.2,0.563,0.0,0.283,7.2,20.6,13.8,3.4,0.7,0.3,11.8,14.5,0.3,0.1,0.4,0.088,-2.4,-0.7,-3.1,-0.1,82.0,19830.0,3026.0,6766.0,0.447,491.0,1475.0,0.333,2535.0,5291.0,0.479,1698.0,2237.0,0.759,990.0,2656.0,3646.0,1547.0,587.0,318.0,1249.0,1849.0,8241.0,82.0,19830.0,3103.0,6734.0,0.461,696.0,1833.0,0.38,2407.0,4901.0,0.491,1577.0,2139.0,0.737,813.0,2568.0,3381.0,1927.0,637.0,459.0,1116.0,1897.0,8479.0,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949,18,12.9,-3.35,-2.04,-5.39,-0.44,476,233,-1.757087918,-3.176863449,-4.933951367,-0.257609011,-0.257609011,0.0,-1.439050421,-3.018938453,-4.457988874,-0.74320812,18,5,13,12.9,110.6,2.3,17.7,26.8,0.2,12.5,0.1,7.7,5.4,3.4,5.2,10.8,0.014,-0.35
9,2014-15,2015,Carl Landry,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,SAC,NBA,PF,70,15,17.0,2.7,5.3,0.515,0.0,0.0,,2.7,5.3,0.515,0.515,1.8,2.1,0.82,1.4,2.4,3.8,0.4,0.2,0.2,0.8,1.9,7.2,1192,8.0,15.6,0.515,0.0,0.0,,8.0,15.6,0.515,5.2,6.3,0.82,4.2,7.1,11.3,1.1,0.6,0.7,2.3,5.6,21.2,115,111,1192,14.9,0.578,0.0,0.407,9.8,15.5,12.8,3.6,0.6,1.1,11.0,18.1,2.3,0.5,2.8,0.112,-0.5,-1.7,-2.3,-0.1,82.0,19855.0,3010.0,6617.0,0.455,461.0,1350.0,0.341,2549.0,5267.0,0.484,1829.0,2400.0,0.762,895.0,2728.0,3623.0,1667.0,550.0,324.0,1333.0,1696.0,8310.0,82.0,19855.0,3238.0,7094.0,0.456,718.0,2055.0,0.349,2520.0,5039.0,0.5,1420.0,1898.0,0.748,898.0,2479.0,3377.0,1912.0,712.0,508.0,1059.0,1958.0,8614.0,29,53,31,51,-3.71,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049,70,17.0,-3.5,-2.01,-5.51,-2.28,2390,1192,-1.894049426,-1.424495099,-3.318544525,-0.343596491,-0.343596491,0.0,-2.861145497,-2.52503724,-5.386182737,-0.601450109,70,26,44,17.0,107.4,2.4,13.5,19.9,0.2,11.2,0.2,18.3,6.9,5.1,5.8,15.5,0.03,-1.05
