,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1995-96,1996,Voshon Lenard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,MIA,NBA,SG,30,0,10.8,1.8,4.7,0.376,1.2,3.4,0.356,0.6,1.3,0.425,0.504,1.1,1.4,0.791,0.4,1.3,1.7,1.0,0.2,0.0,0.8,1.0,5.9,323,8.6,23.0,0.376,5.9,16.5,0.356,2.8,6.5,0.425,5.5,7.0,0.791,2.0,6.5,8.5,5.1,1.0,0.2,3.8,5.1,28.7,110,106,323,15.9,0.55,0.716,0.305,4.4,14.1,9.4,16.9,1.0,0.2,12.6,25.7,0.5,0.4,0.9,0.135,3.2,-0.7,2.5,0.4,82.0,19780.0,2902.0,6348.0,0.457,552.0,1458.0,0.379,2350.0,4890.0,0.481,1553.0,2187.0,0.71,999.0,2495.0,3494.0,1752.0,574.0,439.0,1394.0,2158.0,7909.0,82.0,19780.0,2734.0,6303.0,0.434,446.0,1237.0,0.361,2288.0,5066.0,0.452,1878.0,2498.0,0.752,982.0,2315.0,3297.0,1645.0,662.0,403.0,1288.0,2031.0,7792.0,42,40,45,37,1.43,0.03,1.46,105.3,103.8,91.1,0.345,0.23,0.501,16.0,30.1,0.245,0.469,14.8,71.8,0.298,Miami Arena,606088,0,0,0.0,0.0,0.0,0.0,620,323,3.365718085,-1.304925348,2.060792737,0.799898605,0.799898605,0.0,3.367386691,-2.413401486,0.953985204,0.833012643,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1996-97,1997,Voshon Lenard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIA,NBA,SG,73,47,28.9,4.3,9.4,0.459,2.5,6.1,0.414,1.8,3.3,0.541,0.593,1.2,1.4,0.819,0.5,2.5,3.0,2.2,0.7,0.2,1.5,2.3,12.3,2111,8.1,17.6,0.459,4.7,11.4,0.414,3.4,6.2,0.541,2.2,2.7,0.819,1.0,4.6,5.6,4.1,1.3,0.5,2.8,4.3,23.1,116,104,2111,14.7,0.614,0.646,0.154,2.2,9.9,6.1,13.5,1.3,0.7,13.0,18.7,3.9,2.9,6.8,0.155,2.2,0.5,2.7,2.6,82.0,19805.0,2822.0,6235.0,0.453,678.0,1865.0,0.364,2144.0,4370.0,0.491,1454.0,2022.0,0.719,957.0,2402.0,3359.0,1735.0,650.0,439.0,1306.0,1919.0,7776.0,82.0,19805.0,2687.0,6226.0,0.432,411.0,1134.0,0.362,2276.0,5092.0,0.447,1541.0,2108.0,0.731,999.0,2321.0,3320.0,1512.0,646.0,392.0,1324.0,1831.0,7326.0,61,21,57,25,5.49,0.07,5.56,106.8,100.6,88.2,0.324,0.299,0.507,15.5,29.2,0.233,0.465,15.6,70.6,0.248,Miami Arena,615160,73,28.9,1.95,0.25,2.2,7.43,4919,2659,2.59990796,-0.29602145,2.303886511,6.905359968,5.548881565,1.356478404,2.277114533,-0.369340487,1.907774046,0.135404078,73,53,20,28.9,98.2,2.5,8.5,13.6,0.7,14.6,0.2,7.9,10.1,8.0,5.6,23.8,0.139,0
2,1997-98,1998,Voshon Lenard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MIA,NBA,SG,81,81,32.4,4.5,10.5,0.425,1.9,4.7,0.405,2.6,5.9,0.441,0.515,1.7,2.2,0.788,0.9,2.7,3.6,2.2,0.7,0.2,1.2,2.7,12.6,2621,7.6,17.8,0.425,3.2,7.9,0.405,4.4,9.9,0.441,2.9,3.7,0.788,1.5,4.6,6.1,3.7,1.2,0.3,2.1,4.6,21.2,113,106,2621,13.3,0.547,0.443,0.21,3.3,9.5,6.5,11.8,1.2,0.4,9.6,18.4,4.5,2.5,7.1,0.129,1.2,-0.3,0.9,1.9,82.0,19755.0,2850.0,6327.0,0.45,548.0,1544.0,0.355,2302.0,4783.0,0.481,1539.0,2082.0,0.739,1028.0,2419.0,3447.0,1758.0,665.0,429.0,1226.0,1982.0,7787.0,82.0,19755.0,2723.0,6355.0,0.428,305.0,921.0,0.331,2418.0,5434.0,0.445,1632.0,2195.0,0.744,1058.0,2232.0,3290.0,1630.0,637.0,370.0,1214.0,1851.0,7383.0,55,27,56,26,4.93,0.16,5.09,107.6,102.0,87.9,0.329,0.244,0.494,14.5,31.5,0.243,0.452,14.2,69.6,0.257,Miami Arena,614861,81,32.4,0.73,1.24,1.97,8.36,5192,2807,1.811124085,-0.903364148,0.907759937,5.241023046,5.085451471,0.155571575,1.650094626,-0.667363148,0.982731478,0.058334727,81,54,27,32.3,99.2,2.7,8.4,13.5,0.7,14.2,0.2,5.6,10.6,9.7,7.2,25.4,0.127,0
3,1998-99,1999,Voshon Lenard,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,MIA,NBA,SG,12,2,15.8,2.6,6.6,0.392,1.0,2.9,0.343,1.6,3.7,0.432,0.468,0.7,0.9,0.727,0.3,1.0,1.3,0.8,0.3,0.1,0.6,1.5,6.8,190,9.2,23.5,0.392,3.6,10.4,0.343,5.7,13.1,0.432,2.4,3.3,0.727,1.2,3.6,4.8,3.0,0.9,0.3,2.1,5.4,24.4,99,104,190,12.0,0.489,0.443,0.139,2.7,7.1,5.1,10.3,0.9,0.4,7.7,23.6,0.1,0.2,0.3,0.073,-0.7,-2.9,-3.5,-0.1,50.0,12025.0,1616.0,3565.0,0.453,289.0,804.0,0.359,1327.0,2761.0,0.481,928.0,1262.0,0.735,503.0,1512.0,2015.0,1019.0,327.0,304.0,744.0,1035.0,4449.0,50.0,12025.0,1565.0,3805.0,0.411,211.0,606.0,0.348,1354.0,3199.0,0.423,860.0,1167.0,0.737,619.0,1342.0,1961.0,853.0,387.0,188.0,677.0,1102.0,4201.0,33,17,35,15,4.96,0.15,5.11,104.7,98.9,84.8,0.354,0.226,0.494,15.3,27.3,0.26,0.439,13.6,71.0,0.226,Miami Arena,378813,12,15.8,1.77,-2.34,-0.57,0.3,436,247,2.709518482,-2.304251405,0.405267077,0.411952441,0.142952829,0.268999612,2.520481187,-2.65917652,-0.138695333,0.109165034,12,8,4,15.7,106.9,1.0,7.6,12.0,0.3,15.8,0.1,5.3,7.6,3.3,4.0,12.0,0.008,0
4,1999-00,2000,Voshon Lenard,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,MIA,NBA,SG,53,13,27.1,4.3,10.6,0.407,1.7,4.3,0.39,2.6,6.3,0.419,0.487,1.6,2.0,0.792,0.7,2.2,2.9,2.6,0.8,0.3,1.5,2.4,11.9,1434,8.5,20.9,0.407,3.3,8.5,0.39,5.2,12.4,0.419,3.1,4.0,0.792,1.4,4.3,5.7,5.1,1.5,0.6,3.0,4.7,23.5,103,104,1434,13.9,0.518,0.407,0.189,3.1,8.9,6.2,16.1,1.5,0.8,11.7,22.3,1.5,1.5,3.0,0.1,0.5,-0.4,0.1,0.8,82.0,19830.0,2974.0,6462.0,0.46,446.0,1202.0,0.371,2528.0,5260.0,0.481,1345.0,1827.0,0.736,921.0,2619.0,3540.0,1931.0,582.0,524.0,1231.0,1947.0,7739.0,82.0,19830.0,2782.0,6595.0,0.422,408.0,1130.0,0.361,2374.0,5465.0,0.434,1512.0,2022.0,0.748,974.0,2341.0,3315.0,1582.0,621.0,364.0,1150.0,1795.0,7484.0,52,30,50,32,3.11,-0.36,2.75,104.5,101.0,89.7,0.283,0.186,0.495,14.5,28.2,0.208,0.453,13.3,72.9,0.229,AmericanAirlines Arena,706725,53,27.1,0.82,-0.23,0.59,2.91,2711,1434,1.177324083,-0.579196612,0.598127471,2.456021788,2.456021788,0.0,1.314796831,-0.582606631,0.7321902,0.247780475,53,34,19,27.1,98.8,2.2,7.6,12.1,0.8,18.9,0.3,7.5,9.0,7.3,6.2,18.7,0.102,0
5,2000-01,2001,Voshon Lenard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,DEN,NBA,SG,80,58,29.1,4.2,10.6,0.397,1.8,4.8,0.385,2.4,5.8,0.407,0.484,1.9,2.4,0.797,0.6,2.3,2.9,2.4,0.8,0.2,1.3,2.1,12.2,2331,7.5,18.8,0.397,3.3,8.5,0.385,4.2,10.3,0.407,3.4,4.3,0.797,1.0,4.1,5.1,4.2,1.4,0.4,2.3,3.8,21.6,105,109,2331,13.2,0.522,0.452,0.227,2.2,8.7,5.4,13.4,1.4,0.5,9.9,19.7,2.9,0.6,3.5,0.072,0.2,-1.1,-0.8,0.7,82.0,19780.0,2979.0,6877.0,0.433,512.0,1444.0,0.355,2467.0,5433.0,0.454,1448.0,1964.0,0.737,1044.0,2583.0,3627.0,1970.0,552.0,538.0,1136.0,1820.0,7918.0,82.0,19780.0,3081.0,6914.0,0.446,416.0,1168.0,0.356,2665.0,5746.0,0.464,1542.0,2049.0,0.753,1012.0,2642.0,3654.0,2042.0,588.0,497.0,1075.0,1758.0,8120.0,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,92.6,0.286,0.21,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,Pepsi Center,619300,80,29.1,0.67,-1.38,-0.71,3.37,4549,2331,1.193824462,-1.73409628,-0.540271819,2.629297648,2.629297648,0.0,1.2197114,-1.525647024,-0.305935623,0.046399717,80,40,40,29.2,105.4,2.3,7.6,12.0,0.8,21.5,0.2,5.7,8.1,8.1,9.1,25.7,0.04,0
6,2001-02,2002,Voshon Lenard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,DEN,NBA,SG,71,19,23.5,4.4,10.8,0.41,1.3,3.4,0.371,3.2,7.5,0.427,0.467,1.3,1.7,0.783,0.5,2.0,2.6,1.8,0.8,0.4,1.3,1.5,11.5,1665,10.1,24.5,0.41,2.8,7.7,0.371,7.2,16.9,0.427,3.0,3.8,0.783,1.2,4.6,5.8,4.1,1.9,0.8,2.9,3.4,25.9,100,109,1665,14.5,0.495,0.312,0.156,2.5,10.4,6.3,14.3,1.9,1.1,10.0,24.5,0.9,0.8,1.7,0.049,0.9,-0.8,0.1,0.9,82.0,19805.0,2915.0,6870.0,0.424,423.0,1285.0,0.329,2492.0,5585.0,0.446,1306.0,1756.0,0.744,1117.0,2310.0,3427.0,1817.0,613.0,462.0,1205.0,1873.0,7559.0,82.0,19805.0,3005.0,6540.0,0.459,424.0,1173.0,0.361,2581.0,5367.0,0.481,1602.0,2144.0,0.747,995.0,2529.0,3524.0,1968.0,671.0,560.0,1173.0,1646.0,8036.0,27,55,24,58,-5.82,0.63,-5.19,101.4,107.8,90.4,0.256,0.187,0.455,13.6,30.6,0.19,0.492,13.6,69.9,0.245,Pepsi Center,633846,71,23.5,1.18,-1.12,0.06,2.96,3172,1665,-0.068550214,-1.306415429,-1.374965643,1.169042972,1.169042972,0.0,0.010093949,-1.562838286,-1.552744337,0.076584749,71,21,50,23.3,106.2,2.0,9.2,15.2,0.8,22.3,0.4,12.6,8.2,6.9,7.5,20.1,0.038,0
7,2002-03,2003,Voshon Lenard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,TOR,NBA,SG,63,24,30.6,5.2,12.8,0.402,1.5,4.0,0.365,3.7,8.8,0.418,0.459,2.5,3.1,0.804,0.8,2.6,3.4,2.3,0.9,0.3,1.6,2.5,14.3,1929,9.0,22.4,0.402,2.5,7.0,0.365,6.5,15.4,0.418,4.3,5.4,0.804,1.3,4.5,5.9,4.0,1.6,0.6,2.9,4.3,24.9,102,109,1929,14.4,0.502,0.311,0.24,2.7,10.1,6.3,13.6,1.6,0.8,10.3,23.6,1.7,0.7,2.4,0.06,0.3,-1.4,-1.0,0.5,82.0,19805.0,2847.0,6664.0,0.427,409.0,1193.0,0.343,2438.0,5471.0,0.446,1350.0,1879.0,0.718,1023.0,2355.0,3378.0,1583.0,609.0,392.0,1181.0,1761.0,7453.0,82.0,19805.0,3037.0,6592.0,0.461,370.0,986.0,0.375,2667.0,5606.0,0.476,1490.0,1964.0,0.759,976.0,2601.0,3577.0,1729.0,604.0,406.0,1125.0,1702.0,7934.0,24,58,24,58,-5.87,-0.23,-6.1,100.5,107.0,89.9,0.282,0.179,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,777507,63,30.6,0.54,-2.37,-1.83,1.63,3654,1929,0.301208564,-2.475993345,-2.174784781,0.567413956,0.567413956,0.0,0.260647498,-2.098233925,-1.837586426,0.211627228,63,21,42,30.6,106.5,2.6,8.9,14.5,0.9,20.7,0.3,11.9,11.0,9.4,11.4,27.7,0.038,0
8,2003-04,2004,Voshon Lenard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,DEN,NBA,SG,73,70,30.6,5.4,12.8,0.422,1.5,4.0,0.367,3.9,8.8,0.447,0.479,2.0,2.5,0.791,0.6,2.1,2.7,2.1,0.8,0.2,1.4,2.4,14.2,2233,9.1,21.5,0.422,2.4,6.7,0.367,6.6,14.8,0.447,3.3,4.2,0.791,1.1,3.5,4.6,3.5,1.4,0.3,2.3,4.1,23.9,105,107,2233,13.5,0.512,0.31,0.195,2.3,7.9,5.1,11.6,1.4,0.4,9.1,21.9,2.8,1.2,4.0,0.086,0.0,-1.4,-1.4,0.3,82.0,19730.0,2993.0,6763.0,0.443,331.0,985.0,0.336,2662.0,5778.0,0.461,1655.0,2159.0,0.767,1083.0,2387.0,3470.0,1794.0,745.0,520.0,1278.0,1804.0,7972.0,82.0,19730.0,3019.0,6662.0,0.453,376.0,1056.0,0.356,2643.0,5606.0,0.471,1470.0,2020.0,0.728,1056.0,2465.0,3521.0,1931.0,664.0,479.0,1399.0,1895.0,7884.0,43,39,44,38,1.07,0.58,1.65,103.9,102.7,93.3,0.319,0.146,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,Pepsi Center,721476,73,30.6,1.01,-2.63,-1.62,2.81,4700,2394,1.107960701,-1.559743452,-0.451782751,2.825138517,2.420154399,0.404984118,1.131091993,-1.29050418,-0.159412187,0.068928807,73,38,35,30.7,101.9,2.1,7.0,11.4,0.8,15.2,0.2,4.0,10.1,8.5,8.9,28.0,0.076,0
9,2004-05,2005,Voshon Lenard,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,31,DEN,NBA,SG,3,1,18.0,3.3,8.7,0.385,1.3,4.0,0.333,2.0,4.7,0.429,0.462,1.7,2.7,0.625,0.0,2.0,2.0,2.0,0.3,0.0,0.7,0.7,9.7,54,9.5,24.7,0.385,3.8,11.4,0.333,5.7,13.3,0.429,4.8,7.6,0.625,0.0,5.7,5.7,5.7,1.0,0.0,1.9,1.9,27.6,104,108,54,15.1,0.491,0.462,0.308,0.0,12.7,6.4,19.0,1.0,0.0,6.3,26.0,0.0,0.0,0.1,0.082,1.2,-0.8,0.4,0.0,82.0,19755.0,3038.0,6615.0,0.459,320.0,940.0,0.34,2718.0,5675.0,0.479,1765.0,2313.0,0.763,967.0,2473.0,3440.0,1958.0,750.0,489.0,1224.0,1878.0,8161.0,82.0,19755.0,2950.0,6606.0,0.447,463.0,1342.0,0.345,2487.0,5264.0,0.472,1632.0,2189.0,0.746,975.0,2441.0,3416.0,1778.0,636.0,458.0,1342.0,1960.0,7995.0,49,33,47,35,2.02,0.2,2.23,106.0,103.9,93.5,0.35,0.142,0.483,13.8,28.4,0.267,0.482,15.1,71.7,0.247,Pepsi Center,723949,3,18.0,0.98,-0.84,0.15,0.14,106,54,1.030398615,-1.26805967,-0.237661055,0.069246625,0.069246625,0.0,1.163368493,-2.445567721,-1.282199228,0.039459446,3,1,2,18.8,105.7,2.0,12.8,17.6,0.3,9.1,0.0,0.0,7.0,3.0,9.3,18.7,0.046,0
