,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2012-13,2013,Meyers Leonard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,POR,NBA,C,69,9,17.5,2.2,4.0,0.545,0.0,0.1,0.429,2.1,3.9,0.548,0.551,1.0,1.3,0.809,1.2,2.5,3.7,0.5,0.2,0.6,0.7,2.4,5.5,1206,6.6,12.1,0.545,0.1,0.3,0.429,6.4,11.8,0.548,3.1,3.9,0.809,3.5,7.6,11.1,1.4,0.5,1.7,2.1,7.3,16.4,115,110,1206,12.1,0.596,0.025,0.321,7.6,17.1,12.3,4.3,0.5,2.4,13.4,13.9,1.8,0.7,2.4,0.097,-2.7,-0.6,-3.3,-0.4,82.0,19855,3009,6715,0.448,673,1904,0.353,2336,4811,0.486,1304,1680,0.776,874,2474,3348,1784,538,353,1203,1518,7995,82.0,19855,3224,6807,0.474,521,1531,0.34,2703,5276,0.512,1286,1690,0.761,901,2578,3479,1944,691,359,1074,1537,8255,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,91.4,0.25,0.284,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189,Rose Garden Arena,813012,69,17.5,-2.09,-0.73,-2.82,-0.24,2323,1206,-2.726859903,-1.429689006,-4.156548909,-0.866757058,-0.866757058,0.0,-3.116562065,-1.302041723,-4.418603787,0.140476939,69,28,41,17.5,106.6,2.5,15.4,23.8,0.2,7.4,0.6,37.6,6.4,4.5,5.3,17.5,0.036,-1.05
1,2013-14,2014,Meyers Leonard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,POR,NBA,C,40,0,8.9,1.0,2.3,0.451,0.0,0.2,0.0,1.0,2.1,0.482,0.451,0.4,0.5,0.762,0.7,2.1,2.8,0.5,0.2,0.1,0.4,1.9,2.5,355,5.8,13.0,0.451,0.0,0.9,0.0,5.8,12.1,0.482,2.3,3.0,0.762,3.7,12.1,15.8,2.6,1.0,0.7,2.1,10.8,14.0,104,105,355,9.4,0.489,0.066,0.231,8.0,25.5,16.8,7.3,1.0,1.0,13.0,14.2,0.2,0.5,0.6,0.086,-4.7,0.8,-4.0,-0.2,82.0,19855,3207,7134,0.45,770,2071,0.372,2437,5063,0.481,1569,1926,0.815,1022,2786,3808,1904,454,387,1125,1576,8753,82.0,19855,3248,7203,0.451,534,1504,0.355,2714,5699,0.476,1396,1822,0.766,944,2622,3566,1675,639,304,985,1698,8426,54,28,52,30,3.99,0.45,4.44,111.5,107.4,94.9,0.27,0.29,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,Moda Center,809612,40,8.9,-2.05,-1.85,-3.9,-0.29,770,364,-4.864649832,-2.532082897,-7.396732729,-0.869943696,-0.852106164,-0.017837532,-3.899266705,-1.881249694,-5.7805164,0.755982553,40,20,20,8.9,108.1,2.1,23.4,36.2,0.2,15.6,0.1,26.3,4.2,2.5,3.5,9.4,0.017,0.0
2,2014-15,2015,Meyers Leonard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,POR,NBA,C,55,7,15.4,2.3,4.5,0.51,0.9,2.0,0.42,1.4,2.4,0.586,0.606,0.5,0.6,0.938,0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9,847,7.5,14.7,0.51,2.8,6.7,0.42,4.7,8.0,0.586,1.8,1.9,0.938,2.8,12.3,15.0,1.9,0.6,0.8,2.3,6.8,19.7,117,102,847,14.8,0.631,0.457,0.131,5.9,25.3,15.8,5.8,0.6,1.2,13.1,15.8,1.6,1.2,2.8,0.158,0.1,0.5,0.6,0.6,82.0,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429,82.0,19855,3130,7123,0.439,524,1552,0.338,2606,5571,0.468,1298,1713,0.758,902,2754,3656,1669,655,297,999,1534,8082,51,31,53,29,4.23,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368,55,15.4,-0.96,0.31,-0.65,1.19,1904,953,-0.793196761,3.097026951,2.30383019,2.494145573,1.7855977,0.708547873,-0.887157429,2.486677768,1.599520339,0.063854996,55,32,23,15.4,99.3,3.7,22.0,31.7,0.2,10.5,0.3,21.5,5.1,4.3,4.0,11.3,0.067,0.81
3,2015-16,2016,Meyers Leonard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,POR,NBA,PF,61,10,21.9,3.2,7.1,0.448,1.4,3.7,0.377,1.8,3.4,0.527,0.547,0.6,0.8,0.761,0.8,4.3,5.1,1.5,0.1,0.3,1.3,3.0,8.4,1333,7.3,16.3,0.448,3.2,8.6,0.377,4.1,7.8,0.527,1.3,1.7,0.761,1.9,9.9,11.8,3.5,0.3,0.7,2.9,6.9,19.2,107,109,1333,11.3,0.561,0.524,0.106,4.1,21.4,12.8,10.6,0.3,1.1,14.5,17.4,1.2,1.0,2.2,0.078,-1.1,-0.6,-1.7,0.1,82.0,19805,3167,7040,0.45,864,2336,0.37,2303,4704,0.49,1424,1889,0.754,948,2782,3730,1748,562,380,1200,1782,8622,82.0,19805,3146,6945,0.453,700,1888,0.371,2446,5057,0.484,1562,2129,0.734,867,2716,3583,1770,630,424,1088,1597,8554,44,38,43,39,0.83,0.15,0.98,108.8,108.0,96.0,0.268,0.332,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,Moda Center,794085,61,21.9,0.06,-1.27,-1.21,1.0,2702,1333,-1.014839824,-0.598032433,-1.612872258,0.773513671,0.773513671,0.0,-0.964966639,-0.814180179,-1.779146819,0.019831014,61,33,28,21.8,105.3,4.3,19.2,27.3,0.1,5.4,0.3,19.1,7.4,5.3,5.0,16.7,0.058,-1.11
4,2016-17,2017,Meyers Leonard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,POR,NBA,PF,74,12,16.5,2.0,5.1,0.386,1.0,2.9,0.347,1.0,2.2,0.436,0.484,0.5,0.5,0.875,0.4,2.8,3.2,1.0,0.2,0.4,0.5,2.3,5.4,1222,5.9,15.4,0.386,3.0,8.7,0.347,2.9,6.7,0.436,1.4,1.6,0.875,1.1,8.5,9.6,2.9,0.5,1.1,1.4,7.0,16.3,105,112,1222,8.9,0.507,0.563,0.106,2.4,19.1,10.8,8.4,0.5,1.8,8.1,15.5,0.5,0.8,1.4,0.053,-2.6,-0.6,-3.3,-0.4,82.0,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851,82.0,19930,3213,7069,0.455,762,2058,0.37,2451,5011,0.489,1706,2173,0.785,830,2778,3608,1688,633,431,1052,1624,8894,41,41,40,42,-0.52,0.3,-0.23,110.3,110.8,96.7,0.275,0.322,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.241,Moda Center,792029,74,16.5,-0.84,-0.65,-1.49,0.31,2598,1253,-3.398626749,-1.388811277,-4.787438026,-1.319846622,-1.094475499,-0.225371123,-2.532289535,-0.972500704,-3.504790239,0.073600349,74,37,37,16.5,107.0,2.8,17.1,25.0,0.2,8.0,0.4,25.9,4.8,4.2,4.2,14.6,0.049,0.39
5,2017-18,2018,Meyers Leonard,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,POR,NBA,C,33,2,7.7,1.4,2.4,0.59,0.3,0.8,0.423,1.1,1.6,0.673,0.66,0.3,0.3,0.818,0.4,1.8,2.1,0.5,0.2,0.0,0.3,1.1,3.4,254,9.0,15.3,0.59,2.2,5.1,0.423,6.9,10.2,0.673,1.8,2.2,0.818,2.4,11.4,13.7,3.3,1.4,0.0,2.0,7.1,21.9,129,106,254,17.8,0.676,0.333,0.141,5.2,24.7,15.0,10.6,1.4,0.0,10.8,16.1,0.7,0.3,1.1,0.2,1.0,0.9,2.0,0.3,82.0,19755,3222,7132,0.452,845,2308,0.366,2377,4824,0.493,1372,1715,0.8,835,2893,3728,1599,573,423,1109,1599,8661,82.0,19755,3146,7042,0.447,794,2179,0.364,2352,4863,0.484,1362,1803,0.755,763,2755,3518,1655,602,418,1036,1564,8448,49,33,48,34,2.6,0.0,2.6,109.1,106.4,96.5,0.24,0.324,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,795750,33,7.7,-1.49,0.25,-1.24,0.04,554,262,-0.51181006,-3.411443711,-3.923253771,-0.169079625,-0.228417723,0.059338098,-1.400778338,-2.963297506,-4.364075844,-0.247336484,33,17,16,7.7,112.1,1.8,25.1,33.7,0.2,18.9,0.0,0.0,3.2,1.6,2.2,6.2,0.01,-0.17
6,2018-19,2019,Meyers Leonard,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,POR,NBA,C,61,2,14.4,2.2,4.0,0.545,0.8,1.8,0.45,1.3,2.1,0.626,0.649,0.7,0.8,0.843,0.8,3.0,3.8,1.2,0.2,0.1,0.7,1.7,5.9,878,7.3,13.3,0.545,2.8,6.1,0.45,4.5,7.2,0.626,2.4,2.8,0.843,2.7,10.1,12.9,4.1,0.7,0.5,2.4,5.8,19.7,129,111,878,15.8,0.675,0.459,0.211,6.1,21.8,14.2,11.8,0.7,0.8,14.0,14.8,2.1,0.9,3.0,0.164,1.5,0.3,1.8,0.8,82.0,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,82.0,19855,3371,7384,0.457,878,2443,0.359,2493,4941,0.505,1438,1868,0.77,842,2670,3512,1906,603,420,1014,1699,9058,53,29,51,31,4.2,0.24,4.43,114.7,110.5,99.1,0.258,0.339,0.528,12.1,26.6,0.21,0.516,11.0,77.9,0.195,Moda Center,799345,61,14.4,-0.31,-1.33,-1.64,-0.23,2188,1048,0.119180402,-4.257369806,-4.138189404,-0.730952261,-0.913882579,0.182930318,-0.121548192,-3.601317499,-3.72286569,-0.598527037,61,35,26,14.4,112.2,3.0,20.6,29.4,0.2,14.8,0.1,18.0,5.5,3.9,4.4,13.7,0.027,-1.03
7,2019-20,2020,Meyers Leonard,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,MIA,NBA,C,51,49,20.3,2.3,4.6,0.509,1.0,2.5,0.414,1.3,2.1,0.623,0.622,0.4,0.5,0.643,0.6,4.5,5.1,1.1,0.3,0.3,0.8,2.1,6.1,1034,5.6,11.0,0.509,2.5,6.0,0.414,3.1,5.0,0.623,0.8,1.3,0.643,1.4,10.9,12.3,2.6,0.7,0.7,1.8,5.1,14.6,114,110,1034,10.6,0.627,0.547,0.12,3.4,24.0,14.1,7.6,0.7,1.4,13.7,12.2,0.9,1.2,2.1,0.096,-1.3,0.4,-0.9,0.3,73.0,17745,2880,6160,0.468,979,2584,0.379,1901,3576,0.532,1440,1840,0.783,620,2619,3239,1892,547,332,1088,1501,8179,73.0,17745,2831,6326,0.448,956,2753,0.347,1875,3573,0.525,1346,1720,0.783,674,2431,3105,1794,545,302,1022,1584,7964,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,98.3,0.299,0.419,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,AmericanAirlines Arena,629771,51,20.3,-2.04,0.99,-1.06,0.76,2177,1065,-1.670460472,-0.57431201,-2.244772482,0.278707897,0.170755255,0.107952642,-1.780430683,-0.926108899,-2.706539582,-0.394010116,51,34,17,20.3,105.9,4.5,21.4,29.2,0.3,8.3,0.3,18.8,7.5,4.6,5.5,18.7,0.077,0.97
8,2020-21,2021,Meyers Leonard,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,28,MIA,NBA,C,3,2,9.7,1.0,2.3,0.429,1.0,2.3,0.429,0.0,0.0,,0.643,0.3,0.7,0.5,0.0,2.3,2.3,0.7,0.0,0.0,0.7,1.7,3.3,29,5.1,12.0,0.429,5.1,12.0,0.429,0.0,0.0,,1.7,3.4,0.5,0.0,12.0,12.0,3.4,0.0,0.0,3.4,8.6,17.1,101,113,29,6.6,0.635,1.0,0.286,0.0,27.1,13.8,9.7,0.0,0.0,20.2,15.4,0.0,0.0,0.0,0.038,-3.3,-0.4,-3.7,0.0,72.0,17380,2824,6029,0.468,932,2606,0.358,1892,3423,0.553,1201,1520,0.79,579,2409,2988,1895,569,286,1013,1363,7781,72.0,17380,2815,6137,0.459,1027,2814,0.365,1788,3323,0.538,1122,1435,0.782,684,2404,3088,1857,541,287,1085,1414,7779,40,32,36,36,0.03,-0.09,-0.06,111.2,111.2,96.6,0.252,0.432,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,AmericanAirlines Arena,0,3,9.7,-0.87,-1.04,-1.92,0.0,61,29,-3.463634438888667,-5.210169969505954,-8.67380440839462,-0.0896786736366091,-0.0896786736366091,0.0,-3.984261302187591,-5.242101822755389,-9.22636312494298,2.340147682322721,3,2,1,9.8,104.8,2.3,24.1,30.4,0.0,0.0,0.0,0.0,5.0,3.0,2.7,6.7,0.048,0.28
9,2022-23,2023,Meyers Leonard,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,30,MIL,NBA,C,9,2,12.7,1.6,3.2,0.483,0.8,2.0,0.389,0.8,1.2,0.636,0.603,0.9,1.0,0.889,1.3,2.4,3.8,0.1,0.2,0.0,0.7,1.8,4.8,114,5.9,12.1,0.483,2.9,7.5,0.389,2.9,4.6,0.636,3.4,3.8,0.889,5.0,9.2,14.2,0.4,0.8,0.0,2.5,6.7,18.0,123,113,114,12.0,0.652,0.621,0.31,11.4,19.4,15.5,1.2,0.8,0.0,15.4,14.4,0.2,0.1,0.3,0.126,-2.8,-2.2,-5.0,-0.1,82.0,19830,3504,7411,0.473,1217,3306,0.368,2287,4105,0.557,1364,1837,0.743,914,3074,3988,2115,521,403,1199,1481,9589,82.0,19830,3483,7644,0.456,991,2799,0.354,2492,4845,0.514,1334,1719,0.776,879,2744,3623,1963,578,323,970,1557,9291,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,100.5,0.248,0.446,0.555,12.7,25.0,0.184,0.52,10.4,77.8,0.175,Fiserv Forum,718786,9,12.7,-0.1,-2.49,-2.59,0.08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,3,12.6,122.2,2.4,19.5,28.2,0.2,18.2,0.0,0.0,3.2,3.6,5.1,14.9,0.004,-0.36
