,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2010-11,2011,Jeremy Lin,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,GSW,NBA,PG,29,0,9.8,1.0,2.5,0.389,0.0,0.2,0.2,0.9,2.3,0.403,0.396,0.7,0.9,0.76,0.4,0.8,1.2,1.4,1.1,0.3,0.6,1.1,2.6,285,5.0,12.8,0.389,0.2,0.9,0.2,4.8,11.9,0.403,3.4,4.4,0.76,2.1,3.9,6.0,7.5,5.9,1.6,3.2,5.5,13.5,100,103,285,14.8,0.458,0.069,0.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,0.0,0.4,0.5,0.078,-2.1,4.4,2.2,0.3,82.0,19830.0,3251.0,7047.0,0.461,685.0,1749.0,0.392,2566.0,5298.0,0.484,1290.0,1695.0,0.761,955.0,2370.0,3325.0,1847.0,737.0,406.0,1198.0,1806.0,8477.0,82.0,19830.0,3173.0,6788.0,0.467,567.0,1586.0,0.358,2606.0,5202.0,0.501,1755.0,2262.0,0.776,1051.0,2623.0,3674.0,2029.0,672.0,352.0,1324.0,1512.0,8668.0,36,46,35,47,-2.33,0.33,-2.0,108.2,110.7,94.8,0.241,0.248,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,Oracle Arena,766398,29,9.8,-1.88,2.86,0.98,0.78,569,285,-1.964817371,2.712502553,0.747685181,0.511556923,0.511556923,0.0,-1.772209345,3.000962398,1.228753054,0.544046472,29,10,19,9.8,103.2,0.8,8.2,14.4,1.1,48.5,0.3,25.7,3.4,2.6,3.2,8.1,0.035,1.58
1,2011-12,2012,Jeremy Lin,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,NYK,NBA,PG,35,25,26.9,4.9,10.9,0.446,0.7,2.1,0.32,4.2,8.8,0.477,0.478,4.2,5.2,0.798,0.5,2.5,3.1,6.2,1.6,0.3,3.6,2.2,14.6,940,9.4,21.0,0.446,1.3,4.1,0.32,8.1,16.9,0.477,8.0,10.0,0.798,1.0,4.9,5.9,11.8,3.0,0.5,6.9,4.3,28.1,104,101,940,19.9,0.552,0.196,0.478,2.2,11.1,6.6,41.0,3.0,0.8,21.4,28.1,1.3,1.4,2.7,0.14,2.6,1.2,3.8,1.4,66.0,15940.0,2365.0,5335.0,0.443,517.0,1538.0,0.336,1848.0,3797.0,0.487,1211.0,1634.0,0.741,743.0,2012.0,2755.0,1328.0,622.0,276.0,1056.0,1391.0,6458.0,66.0,15940.0,2316.0,5238.0,0.442,444.0,1238.0,0.359,1872.0,4000.0,0.468,1171.0,1590.0,0.736,717.0,2045.0,2762.0,1248.0,536.0,334.0,1125.0,1437.0,6247.0,36,30,41,25,3.2,-0.81,2.39,104.4,101.0,93.2,0.306,0.288,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,Madison Square Garden (IV),652179,35,26.9,3.04,-1.21,1.84,2.71,1846,940,1.658976767,1.168738401,2.827715168,2.687686249,2.687686249,0.0,1.768241806,0.751320192,2.519561998,0.437793394,35,20,15,26.9,97.7,2.5,9.3,14.3,1.6,30.7,0.3,9.0,10.6,7.7,8.0,22.3,0.121,0.23
2,2012-13,2013,Jeremy Lin,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,HOU,NBA,PG,82,82,32.2,4.8,10.9,0.441,1.1,3.1,0.339,3.8,7.8,0.483,0.49,2.6,3.4,0.785,0.4,2.6,3.0,6.1,1.6,0.4,2.9,2.5,13.4,2640,7.5,17.0,0.441,1.6,4.9,0.339,5.8,12.1,0.483,4.1,5.2,0.785,0.6,4.1,4.7,9.4,2.5,0.5,4.5,3.9,20.7,106,107,2640,14.9,0.538,0.287,0.307,1.4,9.1,5.3,29.4,2.5,0.8,18.8,20.8,3.0,2.5,5.4,0.099,-0.1,0.4,0.3,1.5,82.0,19780.0,3124.0,6782.0,0.461,867.0,2369.0,0.366,2257.0,4413.0,0.511,1573.0,2087.0,0.754,909.0,2652.0,3561.0,1902.0,679.0,359.0,1348.0,1662.0,8688.0,82.0,19780.0,3184.0,7007.0,0.454,661.0,1798.0,0.368,2523.0,5209.0,0.484,1374.0,1771.0,0.776,876.0,2539.0,3415.0,1858.0,693.0,498.0,1210.0,1674.0,8403.0,45,37,50,32,3.48,0.22,3.69,109.7,106.1,96.1,0.308,0.349,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,Toyota Center,683564,82,32.2,1.49,-1.65,-0.16,4.38,5514,2724,0.202294191,0.253359946,0.455654136,4.447730661,4.73076482,-0.283034159,0.484217166,0.6361693,1.120386466,0.217547673,82,45,37,32.2,105.1,2.6,8.1,12.0,1.6,29.6,0.4,12.0,12.2,8.2,9.7,28.3,0.081,0.59
3,2013-14,2014,Jeremy Lin,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,HOU,NBA,PG,71,33,28.9,4.2,9.3,0.446,1.2,3.2,0.358,3.0,6.1,0.492,0.508,3.1,3.7,0.823,0.5,2.2,2.6,4.1,1.0,0.4,2.5,2.3,12.5,2054,7.2,16.1,0.446,2.0,5.6,0.358,5.2,10.5,0.492,5.3,6.4,0.823,0.8,3.7,4.5,7.1,1.6,0.7,4.3,4.0,21.6,109,109,2054,14.3,0.572,0.346,0.4,2.0,7.8,5.1,22.3,1.6,1.0,18.4,20.4,2.8,1.6,4.4,0.103,0.2,-0.4,-0.2,0.9,82.0,19830.0,3118.0,6603.0,0.472,779.0,2179.0,0.358,2339.0,4424.0,0.529,1814.0,2549.0,0.712,920.0,2797.0,3717.0,1755.0,621.0,461.0,1323.0,1676.0,8829.0,82.0,19830.0,3197.0,7218.0,0.443,666.0,1889.0,0.353,2531.0,5329.0,0.475,1395.0,1844.0,0.757,977.0,2439.0,3416.0,1821.0,704.0,460.0,1149.0,1993.0,8455.0,54,28,53,29,4.56,0.5,5.06,111.0,106.3,96.3,0.386,0.33,0.531,14.6,27.4,0.275,0.489,12.5,74.1,0.193,Toyota Center,743082,71,28.9,0.23,-1.12,-0.89,2.76,4615,2231,-0.418840658,1.542902938,1.12406228,4.469710129,4.308220343,0.161489786,-0.304495416,1.533143249,1.228647833,1.32223094,71,48,23,28.9,103.2,2.2,6.7,10.4,1.0,20.5,0.4,10.5,10.8,8.9,8.1,25.6,0.099,-0.58
4,2014-15,2015,Jeremy Lin,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,LAL,NBA,PG,74,30,25.8,3.7,8.8,0.424,0.9,2.4,0.369,2.9,6.5,0.444,0.473,2.9,3.6,0.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2,1907,7.4,17.5,0.424,1.7,4.7,0.369,5.7,12.8,0.444,5.7,7.2,0.795,0.7,4.6,5.2,9.1,2.2,0.9,4.4,5.1,22.3,104,110,1907,15.6,0.539,0.269,0.41,1.4,10.2,5.7,28.6,2.2,1.4,17.7,21.9,1.8,0.8,2.7,0.068,0.1,-0.5,-0.4,0.8,82.0,19930.0,3054.0,7020.0,0.435,532.0,1546.0,0.344,2522.0,5474.0,0.461,1433.0,1935.0,0.741,952.0,2647.0,3599.0,1715.0,578.0,366.0,1086.0,1741.0,8073.0,82.0,19930.0,3180.0,6817.0,0.466,697.0,1921.0,0.363,2483.0,4896.0,0.507,1577.0,2118.0,0.745,824.0,2797.0,3621.0,1966.0,611.0,396.0,1068.0,1589.0,8634.0,21,61,23,59,-6.84,0.67,-6.17,103.4,110.6,94.0,0.276,0.22,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,STAPLES Center,768244,74,25.8,0.72,-1.64,-0.92,2.34,3862,1907,0.911343518,0.442456118,1.353799636,4.012350409,4.012350409,0.0,0.525728035,0.388136747,0.913864782,0.469597437,74,19,55,25.8,108.7,2.3,9.0,13.2,1.1,29.8,0.4,18.4,8.7,6.3,8.5,23.8,0.036,-0.2
5,2015-16,2016,Jeremy Lin,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHO,NBA,SG,78,13,26.3,3.8,9.3,0.412,1.0,2.9,0.336,2.9,6.4,0.446,0.464,3.1,3.7,0.815,0.5,2.7,3.2,3.0,0.7,0.5,1.9,2.1,11.7,2048,7.4,17.8,0.412,1.9,5.5,0.336,5.5,12.3,0.446,5.8,7.2,0.815,1.0,5.2,6.2,5.8,1.4,1.0,3.7,4.0,22.4,102,106,2048,13.8,0.534,0.31,0.401,2.2,11.4,6.8,18.6,1.4,1.7,14.9,22.2,1.3,2.3,3.5,0.082,-1.0,0.0,-0.9,0.5,82.0,19855.0,3036.0,6922.0,0.439,873.0,2410.0,0.362,2163.0,4512.0,0.479,1534.0,1941.0,0.79,734.0,2869.0,3603.0,1778.0,595.0,438.0,1030.0,1487.0,8479.0,82.0,19855.0,3098.0,6971.0,0.444,726.0,2081.0,0.349,2372.0,4890.0,0.485,1334.0,1735.0,0.769,726.0,2936.0,3662.0,1901.0,553.0,448.0,1103.0,1670.0,8256.0,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894,78,26.3,-1.35,-0.1,-1.45,1.21,4536,2237,-1.103334306,2.417739592,1.314405286,4.694351213,3.927730335,0.766620878,-0.944237739,1.68018156,0.735943821,0.318061597,78,47,31,26.3,101.2,2.7,9.7,14.0,0.7,20.0,0.5,17.7,7.8,6.2,7.0,21.2,0.105,0.43
6,2016-17,2017,Jeremy Lin,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,BRK,NBA,PG,36,33,24.5,4.9,11.1,0.438,1.6,4.3,0.372,3.3,6.8,0.48,0.51,3.2,3.9,0.816,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,14.5,883,9.4,21.5,0.438,3.1,8.4,0.372,6.3,13.1,0.48,6.2,7.6,0.816,0.6,6.7,7.2,9.9,2.3,0.8,4.6,4.2,28.1,109,109,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,1.3,0.8,2.1,0.116,1.9,0.1,2.0,0.9,82.0,19755.0,3102.0,6987.0,0.444,877.0,2591.0,0.338,2225.0,4396.0,0.506,1592.0,2020.0,0.788,721.0,2879.0,3600.0,1756.0,593.0,387.0,1356.0,1726.0,8673.0,82.0,19755.0,3414.0,7449.0,0.458,816.0,2232.0,0.366,2598.0,5217.0,0.498,1581.0,2049.0,0.772,902.0,2965.0,3867.0,1888.0,780.0,457.0,1092.0,1671.0,9225.0,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,101.3,0.289,0.371,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,632608,36,24.5,3.8,-1.19,2.61,2.98,1951,883,2.130275335,2.096298213,4.226573547,3.199353837,3.199353837,0.0,1.60647831,1.446917117,3.053395427,1.759003454,36,13,23,24.5,108.1,3.4,12.8,18.7,1.2,28.8,0.4,13.7,10.1,6.6,8.4,23.7,0.067,0.49
7,2017-18,2018,Jeremy Lin,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,BRK,NBA,PG,1,1,25.0,5.0,12.0,0.417,1.0,2.0,0.5,4.0,10.0,0.4,0.458,7.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0,25,9.7,23.3,0.417,1.9,3.9,0.5,7.8,19.4,0.4,13.6,13.6,1.0,0.0,0.0,0.0,7.8,0.0,0.0,5.8,5.8,35.0,110,119,25,15.9,0.597,0.167,0.583,0.0,0.0,0.0,27.1,0.0,0.0,16.6,31.3,0.0,0.0,0.0,0.087,-1.0,-4.4,-5.4,0.0,82.0,19855.0,3136.0,7114.0,0.441,1041.0,2924.0,0.356,2095.0,4190.0,0.5,1428.0,1850.0,0.772,792.0,2852.0,3644.0,1941.0,512.0,390.0,1245.0,1688.0,8741.0,82.0,19855.0,3418.0,7334.0,0.466,741.0,2010.0,0.369,2677.0,5324.0,0.503,1471.0,1921.0,0.766,853.0,2981.0,3834.0,1782.0,630.0,450.0,1015.0,1615.0,9048.0,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,Barclays Center,640010,0,0,0.0,0.0,0.0,0.0,63,25,2.335943961,-11.5800758,-9.244131843,-0.085254751,-0.085254751,0.0,2.151577547,-11.17791726,-9.026339708,2.9005901,1,0,1,25.2,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,24.0,36.0,-0.024,-0.12
8,2018-19,2019,Jeremy Lin,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,ATL,NBA,PG,51,1,19.7,3.5,7.6,0.466,0.9,2.6,0.333,2.7,5.0,0.535,0.523,2.8,3.3,0.845,0.3,2.0,2.3,3.5,0.7,0.1,1.9,1.9,10.7,1003,8.3,17.8,0.466,2.0,6.1,0.333,6.3,11.7,0.535,6.5,7.7,0.845,0.7,4.7,5.5,8.3,1.8,0.3,4.5,4.4,25.2,112,115,1003,15.9,0.594,0.342,0.435,1.6,11.0,6.2,26.7,1.8,0.6,17.6,22.6,1.5,0.4,1.9,0.092,0.3,-1.0,-0.6,0.3,82.0,19855.0,3392.0,7524.0,0.451,1067.0,3034.0,0.352,2325.0,4490.0,0.518,1443.0,1918.0,0.752,955.0,2825.0,3780.0,2118.0,675.0,419.0,1397.0,1932.0,9294.0,82.0,19855.0,3508.0,7417.0,0.473,1013.0,2820.0,0.359,2495.0,4597.0,0.543,1759.0,2321.0,0.758,871.0,2904.0,3775.0,2202.0,810.0,448.0,1234.0,1817.0,9788.0,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,103.9,0.255,0.403,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,628440,74,19.4,0.11,-0.87,-0.76,0.5,3236,1463,-1.90746227,0.967305999,-0.940156272,1.381790206,1.606885896,-0.22509569,-1.386080464,0.051334654,-1.33474581,1.030120401,74,31,43,19.4,106.8,2.1,10.2,14.6,0.6,20.1,0.2,8.3,8.6,5.6,6.5,18.7,0.071,-0.63
9,2018-19,2019,Jeremy Lin,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,TOR,NBA,PG,23,3,18.8,2.5,6.7,0.374,0.5,2.4,0.2,2.0,4.3,0.47,0.41,1.5,1.8,0.81,0.3,2.3,2.6,2.2,0.4,0.3,1.1,2.1,7.0,433,6.4,17.2,0.374,1.2,6.1,0.2,5.2,11.1,0.47,3.8,4.6,0.81,0.7,6.0,6.6,5.5,1.0,0.7,2.9,5.3,17.8,96,110,433,8.2,0.464,0.355,0.271,1.5,13.1,7.5,15.7,1.0,1.1,13.0,19.8,-0.3,0.5,0.2,0.02,-5.4,-0.6,-6.0,-0.4,82.0,19880.0,3460.0,7305.0,0.474,1015.0,2771.0,0.366,2445.0,4534.0,0.539,1449.0,1803.0,0.804,786.0,2920.0,3706.0,2085.0,680.0,437.0,1150.0,1724.0,9384.0,82.0,19880.0,3302.0,7352.0,0.449,882.0,2559.0,0.345,2420.0,4793.0,0.505,1399.0,1829.0,0.765,867.0,2804.0,3671.0,2012.0,622.0,368.0,1225.0,1683.0,8885.0,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,100.2,0.247,0.379,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822,74,19.4,0.11,-0.87,-0.76,0.5,3236,1463,-1.90746227,0.967305999,-0.940156272,1.381790206,1.606885896,-0.22509569,-1.386080464,0.051334654,-1.33474581,1.030120401,74,31,43,19.4,106.8,2.1,10.2,14.6,0.6,20.1,0.2,8.3,8.6,5.6,6.5,18.7,0.071,-0.63
