,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1996-97,1997,Randy Livingston,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,HOU,NBA,PG,64,0,15.3,1.6,3.6,0.437,0.1,0.3,0.409,1.4,3.2,0.44,0.456,0.7,1.0,0.646,0.5,1.0,1.5,2.4,0.6,0.2,1.6,1.7,3.9,981,5.3,12.2,0.437,0.5,1.2,0.409,4.9,11.1,0.44,2.2,3.5,0.646,1.7,3.3,5.0,8.3,2.1,0.6,5.4,5.7,13.4,91,106,981,8.3,0.487,0.096,0.284,4.0,7.0,5.6,23.8,2.1,0.9,28.4,16.7,-0.8,1.1,0.3,0.012,-4.0,0.3,-3.7,-0.4,82.0,19855.0,3037.0,6484.0,0.468,671.0,1839.0,0.365,2366.0,4645.0,0.509,1503.0,1992.0,0.755,927.0,2565.0,3492.0,2013.0,685.0,347.0,1365.0,1610.0,8248.0,82.0,19855.0,3030.0,6845.0,0.443,519.0,1547.0,0.335,2511.0,5298.0,0.474,1302.0,1785.0,0.729,1029.0,2332.0,3361.0,1835.0,731.0,365.0,1172.0,1735.0,7881.0,57,25,54,28,4.48,-0.62,3.85,108.8,104.0,91.6,0.307,0.284,0.52,15.6,28.4,0.232,0.481,13.3,71.4,0.19,The Summit,667685,64,15.3,-2.84,-0.54,-3.37,-0.15,1922,996,-4.193194633,-0.950110098,-5.143304731,-1.218592246,-1.220902145,0.002309899,-4.262275992,-1.270322796,-5.532598788,0.214118815,64,41,23,15.3,101.3,1.0,6.3,10.1,0.6,23.3,0.2,12.2,6.5,4.6,3.6,12.5,0.058,0
1,1997-98,1998,Randy Livingston,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,22,ATL,NBA,PG,12,0,6.8,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.3,0.4,0.8,0.1,0.4,0.5,0.4,0.6,0.2,0.5,0.5,0.8,82,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,2.7,3.3,0.8,0.7,3.3,4.0,3.3,4.7,1.3,4.0,4.0,6.7,67,101,82,5.2,0.352,0.0,0.417,1.5,6.9,4.3,8.8,4.7,1.7,29.7,11.4,-0.2,0.1,0.0,-0.028,-5.4,4.1,-1.3,0.0,82.0,19880.0,2887.0,6352.0,0.455,337.0,1016.0,0.332,2550.0,5336.0,0.478,1749.0,2314.0,0.756,1106.0,2417.0,3523.0,1569.0,653.0,491.0,1214.0,1671.0,7860.0,82.0,19880.0,2961.0,6698.0,0.442,348.0,1017.0,0.342,2613.0,5681.0,0.46,1302.0,1772.0,0.735,1081.0,2152.0,3233.0,1753.0,617.0,372.0,1118.0,1892.0,7572.0,50,32,51,31,3.51,0.34,3.85,108.2,104.3,87.7,0.364,0.16,0.481,14.1,33.9,0.275,0.468,13.0,69.1,0.194,Georgia Dome,610615,12,6.8,-5.88,-0.44,-6.32,-0.2,152,82,-7.142328712,2.794018577,-4.348310135,-0.067066388,-0.067066388,0.0,-6.653858657,1.662711295,-4.991147362,0.271664996,12,10,2,6.9,100.0,0.4,5.5,7.7,0.6,46.7,0.2,25.0,2.9,1.4,1.4,5.7,0.029,0
2,1998-99,1999,Randy Livingston,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,PHO,NBA,PG,1,0,22.0,5.0,8.0,0.625,0.0,0.0,,5.0,8.0,0.625,0.625,2.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,12.0,22,12.1,19.4,0.625,0.0,0.0,,12.1,19.4,0.625,4.8,4.8,1.0,0.0,4.8,4.8,7.3,4.8,0.0,2.4,2.4,29.1,129,99,22,27.2,0.676,0.0,0.25,0.0,10.8,5.3,26.3,4.8,0.0,10.1,20.7,0.1,0.0,0.1,0.275,2.4,4.7,7.1,0.1,50.0,12050.0,1797.0,4004.0,0.449,261.0,702.0,0.372,1536.0,3302.0,0.465,924.0,1215.0,0.76,598.0,1418.0,2016.0,1249.0,444.0,200.0,681.0,1022.0,4779.0,50.0,12050.0,1772.0,3936.0,0.45,272.0,755.0,0.36,1500.0,3181.0,0.472,850.0,1224.0,0.694,614.0,1506.0,2120.0,1064.0,410.0,205.0,812.0,1065.0,4666.0,27,23,29,21,2.26,-0.11,2.15,105.8,103.3,90.0,0.303,0.175,0.481,13.0,28.4,0.231,0.485,15.4,69.8,0.216,America West Arena,472283,1,22.0,1.52,-0.43,1.08,0.07,88,46,3.931207783,-0.077428155,3.853779628,0.1564047,0.114991806,0.041412894,3.620881383,0.289080344,3.909961727,0.403651473,1,1,0,22.3,95.7,2.0,8.3,14.3,2.0,100.0,0.0,0.0,0.0,8.0,3.0,20.0,0.1,0
3,1999-00,2000,Randy Livingston,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,PHO,NBA,PG,79,15,13.7,2.0,4.7,0.416,0.2,0.7,0.345,1.7,4.0,0.428,0.441,0.7,0.8,0.839,0.3,1.3,1.6,2.2,0.6,0.2,1.2,1.6,4.8,1081,7.3,17.6,0.416,0.9,2.6,0.345,6.4,15.0,0.428,2.5,2.9,0.839,1.2,5.0,6.1,8.0,2.3,0.6,4.3,6.1,18.0,94,100,1081,11.4,0.476,0.147,0.166,2.6,10.6,6.7,24.7,2.3,0.9,18.7,20.1,-0.2,1.7,1.5,0.065,-2.8,1.0,-1.8,0.1,82.0,19805.0,3093.0,6771.0,0.457,458.0,1246.0,0.368,2635.0,5525.0,0.477,1467.0,1934.0,0.759,1022.0,2558.0,3580.0,2098.0,744.0,433.0,1368.0,1973.0,8111.0,82.0,19805.0,2825.0,6665.0,0.424,403.0,1146.0,0.352,2422.0,5519.0,0.439,1630.0,2205.0,0.739,1071.0,2465.0,3536.0,1700.0,733.0,427.0,1422.0,1794.0,7683.0,53,29,56,26,5.22,0.02,5.24,104.6,99.0,94.0,0.286,0.184,0.491,15.2,29.3,0.217,0.454,15.7,70.5,0.245,America West Arena,773115,79,13.7,-1.09,-0.03,-1.12,0.94,2261,1144,-2.772241875,0.415157915,-2.357083959,0.222518573,0.331348071,-0.108829498,-2.757980045,-0.030703633,-2.788683678,0.448364622,79,52,27,13.6,94.7,1.3,9.5,15.6,0.6,23.3,0.2,11.7,5.1,3.5,3.4,9.8,0.07,0
4,2000-01,2001,Randy Livingston,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,GSW,NBA,PG,2,0,3.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,7,0.0,14.6,0.0,0.0,7.3,0.0,0.0,7.3,0.0,0.0,0.0,,0.0,7.3,7.3,7.3,0.0,0.0,0.0,0.0,0.0,28,112,7,-3.7,0.0,0.5,0.0,0.0,16.5,7.6,19.2,0.0,0.0,0.0,12.1,0.0,0.0,0.0,-0.222,-11.2,-4.4,-15.6,0.0,82.0,19780.0,2937.0,7175.0,0.409,282.0,964.0,0.293,2655.0,6211.0,0.427,1428.0,2024.0,0.706,1345.0,2385.0,3730.0,1788.0,742.0,410.0,1301.0,1727.0,7584.0,82.0,19780.0,3179.0,6740.0,0.472,439.0,1159.0,0.379,2740.0,5581.0,0.491,1529.0,2011.0,0.76,1039.0,2693.0,3732.0,2045.0,722.0,493.0,1348.0,1765.0,8326.0,17,65,17,65,-9.05,0.94,-8.11,97.8,107.4,94.1,0.282,0.134,0.429,13.9,33.3,0.199,0.504,15.0,69.7,0.227,The Arena in Oakland,591981,0,0,0.0,0.0,0.0,0.0,14,7,-5.166065619,-2.174085314,-7.340150934,-0.01633741,-0.01633741,0.0,-5.855030904,-4.374397687,-10.22942859,-0.314620963,2,1,1,3.3,76.9,0.5,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.034,0
5,2001-02,2002,Randy Livingston,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,SEA,NBA,PG,13,0,13.5,1.2,4.2,0.278,0.1,0.6,0.125,1.1,3.5,0.304,0.287,0.8,0.8,0.909,0.7,1.2,1.9,2.0,0.7,0.2,0.2,0.8,3.2,176,4.6,16.5,0.278,0.3,2.5,0.125,4.3,14.1,0.304,3.1,3.4,0.909,2.8,4.9,7.7,8.0,2.8,0.6,0.6,3.4,12.6,100,105,176,12.0,0.348,0.148,0.204,6.2,10.5,8.4,21.0,2.8,0.9,3.3,16.1,0.1,0.2,0.2,0.065,-1.7,0.9,-0.8,0.1,82.0,19830.0,3131.0,6681.0,0.469,489.0,1292.0,0.378,2642.0,5389.0,0.49,1263.0,1672.0,0.755,968.0,2333.0,3301.0,1926.0,698.0,364.0,1124.0,1732.0,8014.0,82.0,19830.0,2966.0,6605.0,0.449,472.0,1374.0,0.344,2494.0,5231.0,0.477,1362.0,1844.0,0.739,1091.0,2326.0,3417.0,1832.0,568.0,400.0,1254.0,1627.0,7766.0,45,37,50,32,3.02,0.22,3.24,108.9,105.6,89.0,0.25,0.193,0.505,13.2,29.4,0.189,0.485,14.5,68.1,0.206,KeyArena at Seattle Center,633516,13,13.5,-0.72,2.0,1.28,0.42,473,256,0.015990405,0.83428949,0.850279894,0.476411001,0.275645752,0.200765249,-0.378722725,0.405298881,0.026576156,-0.43315103,13,7,6,13.6,91.5,1.2,8.9,14.3,0.7,32.1,0.2,12.5,3.8,3.4,2.5,8.5,0.084,0
6,2002-03,2003,Randy Livingston,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NOH,NBA,PG,2,0,6.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,12,9.0,17.9,0.5,0.0,0.0,,9.0,17.9,0.5,9.0,9.0,1.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,26.9,141,111,12,19.6,0.615,0.0,0.5,0.0,0.0,0.0,14.7,0.0,0.0,0.0,18.5,0.1,0.0,0.1,0.239,1.9,-2.0,0.0,0.0,82.0,19905.0,2914.0,6695.0,0.435,404.0,1075.0,0.376,2510.0,5620.0,0.447,1467.0,1910.0,0.768,1097.0,2475.0,3572.0,1807.0,656.0,394.0,1212.0,1769.0,7699.0,82.0,19905.0,2857.0,6518.0,0.438,338.0,1001.0,0.338,2519.0,5517.0,0.457,1474.0,1925.0,0.766,909.0,2368.0,3277.0,1630.0,647.0,427.0,1196.0,1754.0,7526.0,47,35,47,35,2.11,-0.59,1.52,103.9,101.6,89.4,0.285,0.161,0.465,13.9,31.7,0.219,0.464,14.0,73.1,0.226,New Orleans Arena,641683,2,6.0,-1.66,-0.73,-2.39,0.0,23,12,1.846751978,-1.832417985,0.014333993,0.016581575,0.016581575,0.0,0.176565056,-4.092974939,-3.916409884,-1.865028672,2,1,1,5.9,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.035,0
7,2003-04,2004,Randy Livingston,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,LAC,NBA,PG,4,0,12.0,0.5,2.5,0.2,0.0,0.8,0.0,0.5,1.8,0.286,0.2,1.0,1.5,0.667,0.5,1.3,1.8,1.0,0.5,0.0,1.0,1.8,2.0,48,2.2,11.0,0.2,0.0,3.3,0.0,2.2,7.7,0.286,4.4,6.6,0.667,2.2,5.5,7.7,4.4,2.2,0.0,4.4,7.7,8.8,69,109,48,1.7,0.316,0.3,0.6,4.7,12.0,8.3,12.4,2.2,0.0,24.0,15.4,-0.1,0.0,-0.1,-0.11,-8.4,-1.1,-9.5,-0.1,82.0,19805.0,2817.0,6579.0,0.428,329.0,1024.0,0.321,2488.0,5555.0,0.448,1808.0,2302.0,0.785,1149.0,2416.0,3565.0,1653.0,594.0,376.0,1344.0,1816.0,7771.0,82.0,19805.0,3075.0,6687.0,0.46,452.0,1256.0,0.36,2623.0,5431.0,0.483,1545.0,2086.0,0.741,1033.0,2358.0,3391.0,1874.0,693.0,437.0,1122.0,1861.0,8147.0,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,91.0,0.35,0.156,0.453,15.0,32.8,0.275,0.494,12.9,70.0,0.231,STAPLES Center,665396,4,12.0,-3.55,-0.95,-4.5,-0.03,92,48,-4.326632782,-1.531734183,-5.858366965,-0.077427473,-0.077427473,0.0,-4.129645212,-1.370601643,-5.500246854,1.562946779,4,0,4,12.1,106.5,1.3,8.6,15.2,0.5,50.0,0.0,0.0,4.3,4.3,3.5,9.0,0.012,0
8,2004-05,2005,Randy Livingston,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,UTA,NBA,PG,17,4,13.4,1.3,3.1,0.423,0.3,0.5,0.625,1.0,2.6,0.386,0.471,0.9,1.0,0.882,0.2,0.5,0.7,2.6,0.7,0.1,0.8,1.6,3.8,227,5.3,12.4,0.423,1.2,1.9,0.625,4.1,10.5,0.386,3.6,4.1,0.882,0.7,2.2,2.9,10.8,2.9,0.5,3.4,6.7,15.3,111,110,227,13.3,0.538,0.154,0.327,1.6,5.1,3.3,32.1,2.9,0.7,19.1,14.9,0.3,0.1,0.4,0.092,-0.7,0.4,-0.3,0.1,82.0,19780.0,2828.0,6301.0,0.449,250.0,762.0,0.328,2578.0,5539.0,0.465,1719.0,2272.0,0.757,1047.0,2243.0,3290.0,1826.0,541.0,374.0,1292.0,2189.0,7625.0,82.0,19780.0,2731.0,5965.0,0.458,486.0,1297.0,0.375,2245.0,4668.0,0.481,2027.0,2653.0,0.764,859.0,2230.0,3089.0,1592.0,646.0,474.0,1182.0,2058.0,7975.0,26,56,29,53,-4.27,0.53,-3.74,104.7,109.5,88.4,0.361,0.121,0.469,15.0,31.9,0.273,0.499,14.2,72.3,0.34,Delta Center,769014,17,13.4,-1.4,-0.82,-2.22,0.14,423,227,0.351261955,-0.542792743,-0.191530788,0.296854582,0.296854582,0.0,-0.028046074,-0.376258672,-0.404304746,0.169104065,17,4,13,13.5,111.3,0.5,4.5,7.3,0.7,36.4,0.1,15.4,4.6,4.2,5.2,12.0,0.007,0
9,2005-06,2006,Randy Livingston,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,CHI,NBA,PG,5,0,4.4,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,,0.2,0.6,0.8,0.2,0.2,0.0,0.2,1.2,0.0,22,0.0,4.7,0.0,0.0,0.0,,0.0,4.7,0.0,0.0,0.0,,2.3,7.0,9.4,2.3,2.3,0.0,2.3,14.1,0.0,38,102,22,-3.0,0.0,0.0,0.0,5.2,15.6,10.4,6.0,2.3,0.0,33.3,6.2,-0.1,0.0,0.0,-0.045,-11.9,3.3,-8.6,0.0,82.0,19905.0,3004.0,6737.0,0.446,560.0,1477.0,0.379,2444.0,5260.0,0.465,1452.0,1967.0,0.738,906.0,2602.0,3508.0,1804.0,508.0,345.0,1224.0,2038.0,8020.0,82.0,19905.0,2773.0,6515.0,0.426,501.0,1428.0,0.351,2272.0,5087.0,0.447,1921.0,2472.0,0.777,881.0,2541.0,3422.0,1652.0,611.0,420.0,1228.0,1883.0,7968.0,41,41,43,39,0.63,-0.12,0.51,104.0,103.4,92.9,0.292,0.219,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,United Center,868720,5,4.4,-2.95,-0.32,-3.27,-0.01,43,22,-5.560761762,-0.277054918,-5.83781668,-0.035502222,-0.035502222,0.0,-6.086824228,1.406943578,-4.67988065,2.229580948,5,3,2,4.5,73.5,0.6,12.0,21.4,0.2,14.3,0.0,0.0,1.0,1.6,0.6,2.4,0.062,0
