,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIA,NBA,PF,76,62,35.9,5.2,11.1,0.469,0.1,0.3,0.231,5.1,10.8,0.476,0.472,3.4,4.5,0.765,2.6,4.9,7.5,2.4,1.4,0.4,1.8,3.5,14.0,2728,7.4,15.8,0.469,0.1,0.5,0.231,7.3,15.3,0.476,4.9,6.3,0.765,3.7,6.9,10.6,3.4,1.9,0.6,2.5,4.9,19.7,112,108,2728,14.7,0.532,0.031,0.403,8.1,15.9,11.9,10.5,1.9,0.8,11.8,18.0,3.6,2.9,6.5,0.115,0.2,0.3,0.5,1.7,82.0,20005.0,3127.0,6850.0,0.456,333.0,940.0,0.354,2794.0,5910.0,0.473,1908.0,2476.0,0.771,1134.0,2384.0,3518.0,1688.0,609.0,350.0,1287.0,2011.0,8495.0,82.0,20005.0,3232.0,6791.0,0.476,265.0,781.0,0.339,2967.0,6010.0,0.494,1860.0,2416.0,0.77,1032.0,2424.0,3456.0,1965.0,656.0,426.0,1304.0,2053.0,8589.0,36,46,38,44,-1.15,0.21,-0.93,107.7,108.9,94.6,0.361,0.137,0.481,13.9,31.9,0.279,0.495,14.2,69.8,0.274,Miami Arena,614915,0,0,0.0,0.0,0.0,0.0,5438,2728,0.040093599,0.68622818,0.726321779,4.83584692,4.83584692,0.0,0.222765876,1.067965181,1.290731057,-0.052358684,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,MIA,NBA,PF,69,59,31.9,4.3,9.7,0.446,0.0,0.1,0.167,4.3,9.7,0.449,0.447,2.7,3.4,0.786,2.8,4.4,7.2,2.5,1.3,0.4,1.8,3.5,11.4,2201,7.0,15.6,0.446,0.0,0.1,0.167,7.0,15.5,0.449,4.3,5.5,0.786,4.4,7.1,11.5,4.0,2.1,0.6,2.9,5.7,18.3,108,105,2201,13.9,0.507,0.009,0.354,9.8,15.8,12.8,11.5,2.1,0.8,13.9,17.7,2.6,2.5,5.1,0.111,-0.4,0.4,0.1,1.1,82.0,19805.0,3197.0,6896.0,0.464,337.0,997.0,0.338,2860.0,5899.0,0.485,1744.0,2223.0,0.785,1235.0,2407.0,3642.0,1856.0,643.0,374.0,1315.0,2024.0,8475.0,82.0,19805.0,3036.0,6641.0,0.457,295.0,892.0,0.331,2741.0,5749.0,0.477,1889.0,2527.0,0.748,1074.0,2266.0,3340.0,1821.0,689.0,438.0,1314.0,1946.0,8256.0,42,40,48,34,2.67,-0.27,2.4,109.5,106.7,93.8,0.322,0.145,0.488,14.3,35.3,0.253,0.479,14.5,69.1,0.284,Miami Arena,617242,0,0,0.0,0.0,0.0,0.0,4559,2311,-0.36322803,0.557454105,0.194226075,3.470191919,3.396471946,0.073719973,-0.079473355,0.907290127,0.827816772,0.026112792,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,MIA,NBA,PF,2,2,31.0,2.5,6.0,0.417,0.0,0.0,,2.5,6.0,0.417,0.417,3.0,5.0,0.6,0.5,5.0,5.5,2.0,1.0,0.0,2.0,5.5,8.0,62,4.2,10.0,0.417,0.0,0.0,,4.2,10.0,0.417,5.0,8.3,0.6,0.8,8.3,9.2,3.3,1.7,0.0,3.3,9.2,13.3,92,109,62,6.5,0.488,0.0,0.833,1.9,19.3,10.4,9.0,1.7,0.0,19.6,14.5,0.0,0.1,0.0,0.015,-5.4,-0.8,-6.3,-0.1,82.0,19805.0,3144.0,6738.0,0.467,436.0,1182.0,0.369,2708.0,5556.0,0.487,1569.0,2133.0,0.736,1092.0,2272.0,3364.0,1779.0,662.0,298.0,1291.0,2000.0,8293.0,82.0,19805.0,3092.0,6566.0,0.471,511.0,1417.0,0.361,2581.0,5149.0,0.501,1732.0,2340.0,0.74,1036.0,2355.0,3391.0,1860.0,656.0,385.0,1332.0,1896.0,8427.0,32,50,36,46,-1.63,-0.21,-1.85,108.2,109.9,92.9,0.317,0.175,0.499,14.4,31.7,0.233,0.51,14.9,68.7,0.264,Miami Arena,598761,0,0,0.0,0.0,0.0,0.0,5205,2751,-1.412235506,0.766508306,-0.645727199,2.96278664,2.775040663,0.187745977,-1.355959768,0.967659864,-0.388299903,0.006214698,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1994-95,1995,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,ATL,NBA,PF,79,77,32.6,4.3,8.9,0.479,0.1,0.4,0.355,4.1,8.5,0.484,0.487,3.0,4.0,0.756,2.4,5.1,7.5,1.6,1.4,0.4,1.9,2.9,11.7,2579,7.0,14.6,0.479,0.2,0.6,0.355,6.8,13.9,0.484,4.9,6.5,0.756,3.9,8.4,12.3,2.6,2.2,0.7,3.1,4.8,19.1,108,103,2579,14.6,0.548,0.044,0.447,8.4,18.8,13.4,7.9,2.2,1.0,15.2,17.5,2.4,4.2,6.5,0.122,-1.3,0.8,-0.5,1.0,82.0,19855.0,2986.0,6680.0,0.447,539.0,1580.0,0.341,2447.0,5100.0,0.48,1410.0,1948.0,0.724,1104.0,2272.0,3376.0,1757.0,738.0,412.0,1221.0,1804.0,7921.0,82.0,19855.0,3001.0,6485.0,0.463,420.0,1212.0,0.347,2581.0,5273.0,0.489,1394.0,1919.0,0.726,1051.0,2391.0,3442.0,1733.0,608.0,320.0,1359.0,1815.0,7816.0,42,40,45,37,1.28,-0.22,1.06,106.6,105.2,89.8,0.292,0.237,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,Omni Coliseum,504807,0,0,0.0,0.0,0.0,0.0,5205,2751,-1.412235506,0.766508306,-0.645727199,2.96278664,2.775040663,0.187745977,-1.355959768,0.967659864,-0.388299903,0.006214698,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1995-96,1996,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,ATL,NBA,PF,82,82,36.7,4.8,10.2,0.471,0.4,1.0,0.36,4.4,9.2,0.484,0.49,3.1,4.1,0.763,3.0,6.6,9.6,2.2,1.3,0.4,1.9,2.8,13.1,3008,7.0,14.9,0.471,0.6,1.5,0.36,6.5,13.4,0.484,4.6,6.0,0.763,4.4,9.6,14.0,3.3,1.9,0.6,2.8,4.1,19.2,114,106,3008,16.2,0.546,0.103,0.402,9.4,22.1,15.5,9.7,1.9,0.9,13.7,17.1,4.7,3.8,8.4,0.134,0.6,0.2,0.7,2.1,82.0,19730.0,2985.0,6665.0,0.448,566.0,1595.0,0.355,2419.0,5070.0,0.477,1523.0,2012.0,0.757,1182.0,2148.0,3330.0,1609.0,771.0,319.0,1228.0,1714.0,8059.0,82.0,19730.0,3044.0,6419.0,0.474,479.0,1329.0,0.36,2565.0,5090.0,0.504,1392.0,1865.0,0.746,1054.0,2292.0,3346.0,1841.0,580.0,338.0,1405.0,1807.0,7959.0,46,36,45,37,1.22,0.07,1.29,109.4,108.0,89.6,0.302,0.239,0.49,14.0,34.0,0.229,0.512,16.3,67.1,0.217,Omni Coliseum,496668,0,0,0.0,0.0,0.0,0.0,6327,3370,0.246437852,0.497501442,0.743939294,5.965926309,5.692814331,0.273111978,0.283465639,0.647910069,0.931375708,-0.46845162,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1996-97,1997,Grant Long,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,DET,NBA,PF,65,24,17.9,1.9,4.2,0.447,0.3,0.7,0.362,1.6,3.5,0.465,0.478,1.0,1.3,0.75,1.4,2.1,3.4,0.6,0.7,0.1,0.7,1.6,5.0,1166,6.0,13.4,0.447,0.8,2.3,0.362,5.2,11.1,0.465,3.1,4.1,0.75,4.3,6.5,10.8,1.9,2.1,0.3,2.3,5.2,15.9,108,104,1166,12.2,0.523,0.171,0.305,9.6,14.0,11.8,5.5,2.1,0.4,13.3,15.3,1.1,1.5,2.6,0.107,-1.0,0.3,-0.6,0.4,82.0,19830.0,2827.0,6095.0,0.464,582.0,1499.0,0.388,2245.0,4596.0,0.488,1487.0,1995.0,0.745,858.0,2292.0,3150.0,1554.0,632.0,283.0,1041.0,1652.0,7723.0,82.0,19830.0,2768.0,6231.0,0.444,528.0,1430.0,0.369,2240.0,4801.0,0.467,1229.0,1668.0,0.737,964.0,2264.0,3228.0,1795.0,488.0,282.0,1195.0,1784.0,7293.0,54,28,57,25,5.24,0.2,5.45,110.6,104.4,84.5,0.327,0.246,0.512,13.0,27.5,0.244,0.487,14.6,70.4,0.197,The Palace of Auburn Hills,784234,65,17.9,-2.35,1.32,-1.03,1.47,2225,1252,-1.326485079,0.464727448,-0.861757631,1.222474381,0.909662602,0.312811779,-1.257270188,0.006473261,-1.250796927,-0.049523393,65,41,24,18.0,100.8,2.1,12.9,21.4,0.7,22.6,0.1,9.7,5.4,4.4,3.3,10.4,0.07,0
6,1997-98,1998,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,DET,NBA,PF,40,17,18.5,1.3,2.9,0.427,0.0,0.1,0.0,1.3,2.8,0.442,0.427,1.0,1.4,0.719,1.4,2.3,3.8,0.6,0.7,0.3,0.6,2.3,3.5,739,3.7,8.6,0.427,0.0,0.3,0.0,3.7,8.3,0.442,3.0,4.2,0.719,4.2,6.8,11.0,1.8,2.1,0.9,1.6,6.7,10.4,109,103,739,10.0,0.496,0.034,0.487,9.1,15.1,12.1,5.2,2.1,1.2,13.4,10.3,0.6,1.0,1.6,0.104,-2.6,1.5,-1.1,0.2,82.0,19955.0,2862.0,6373.0,0.449,293.0,938.0,0.312,2569.0,5435.0,0.473,1704.0,2288.0,0.745,1044.0,2338.0,3382.0,1597.0,678.0,344.0,1198.0,1805.0,7721.0,82.0,19955.0,2840.0,6377.0,0.445,363.0,1100.0,0.33,2477.0,5277.0,0.469,1549.0,2077.0,0.746,991.0,2334.0,3325.0,1753.0,648.0,382.0,1263.0,1874.0,7592.0,37,45,46,36,1.57,0.37,1.95,105.3,103.5,88.2,0.359,0.147,0.472,14.0,30.9,0.267,0.474,14.8,70.2,0.243,The Palace of Auburn Hills,794567,40,18.5,-3.17,0.87,-2.3,0.28,1374,739,-1.704439158,0.973089025,-0.731350133,0.762519229,0.762519229,0.0,-1.892410637,0.973639018,-0.918771619,0.169472477,40,19,21,18.5,100.7,2.3,13.3,21.3,0.7,23.6,0.3,19.0,4.7,5.2,3.9,12.4,0.062,0
7,1998-99,1999,Grant Long,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,32,ATL,NBA,PF,50,13,27.6,3.0,7.2,0.421,0.1,0.4,0.167,3.0,6.8,0.434,0.425,3.7,4.7,0.783,2.0,3.9,5.9,1.1,1.1,0.3,1.5,2.9,9.8,1380,6.2,14.6,0.421,0.1,0.7,0.167,6.0,13.9,0.434,7.5,9.6,0.783,4.1,8.0,12.1,2.2,2.3,0.7,3.0,5.8,19.9,108,96,1380,15.6,0.529,0.05,0.655,8.6,16.5,12.6,7.3,2.3,0.9,13.8,18.3,2.3,2.6,4.9,0.17,-0.3,1.7,1.5,1.2,50.0,12075.0,1539.0,3760.0,0.409,197.0,644.0,0.306,1342.0,3116.0,0.431,1040.0,1422.0,0.731,676.0,1499.0,2175.0,782.0,346.0,260.0,745.0,987.0,4315.0,50.0,12075.0,1598.0,3873.0,0.413,190.0,634.0,0.3,1408.0,3239.0,0.435,784.0,1076.0,0.729,581.0,1369.0,1950.0,895.0,379.0,243.0,675.0,1202.0,4170.0,31,19,31,19,2.9,-0.08,2.82,100.5,97.1,85.3,0.378,0.171,0.436,14.5,33.1,0.277,0.437,13.4,72.1,0.202,Georgia Dome,331831,50,27.6,-1.99,4.88,2.89,5.31,3100,1738,0.003155455,1.808906346,1.812061801,4.06250969,3.374944334,0.687565357,0.008780162,2.048153348,2.05693351,0.046433476,50,31,19,27.6,89.0,3.9,14.2,23.0,1.1,27.4,0.3,11.8,7.8,6.9,4.5,15.7,0.172,0
8,1999-00,2000,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,VAN,NBA,PF,42,1,21.9,1.8,4.0,0.443,0.0,0.1,0.0,1.8,3.9,0.454,0.443,1.3,1.7,0.775,2.0,3.5,5.6,1.0,1.1,0.2,1.2,2.6,4.8,920,4.2,9.6,0.443,0.0,0.2,0.0,4.2,9.3,0.454,3.2,4.1,0.775,4.9,8.5,13.4,2.5,2.6,0.6,2.8,6.2,11.6,103,105,920,11.7,0.512,0.024,0.425,11.1,19.4,15.2,7.2,2.6,0.8,19.8,12.2,0.6,0.8,1.4,0.073,-1.9,0.3,-1.7,0.1,82.0,19855.0,2892.0,6441.0,0.449,324.0,898.0,0.361,2568.0,5543.0,0.463,1594.0,2060.0,0.774,1005.0,2324.0,3329.0,1700.0,608.0,346.0,1381.0,1881.0,7702.0,82.0,19855.0,3136.0,6613.0,0.474,361.0,1083.0,0.333,2775.0,5530.0,0.502,1530.0,1989.0,0.769,970.0,2336.0,3306.0,1932.0,725.0,519.0,1234.0,1912.0,8163.0,22,60,25,57,-5.62,0.52,-5.1,102.3,108.5,91.0,0.32,0.139,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,General Motors Place,569864,42,21.9,-2.7,3.05,0.35,1.72,1764,920,-1.489255022,0.612670117,-0.876584905,0.880645301,0.880645301,0.0,-1.491489337,0.69025347,-0.801235867,0.13867147,42,13,29,22.0,101.3,3.5,17.3,28.7,1.1,26.9,0.2,14.3,8.2,6.3,6.8,16.8,0.065,0
9,2000-01,2001,Grant Long,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,34,VAN,NBA,PF,66,27,22.8,2.1,4.8,0.439,0.1,0.2,0.267,2.1,4.6,0.447,0.445,1.7,2.4,0.713,1.2,3.0,4.2,1.3,1.1,0.2,0.9,2.4,6.0,1507,4.9,11.1,0.439,0.1,0.5,0.267,4.7,10.6,0.447,3.9,5.5,0.713,2.6,6.9,9.5,2.9,2.5,0.5,2.2,5.6,13.8,103,104,1507,11.4,0.51,0.047,0.492,5.8,14.9,10.4,8.7,2.5,0.7,13.8,13.6,1.0,1.4,2.4,0.078,-2.3,1.2,-1.1,0.3,82.0,19780.0,2870.0,6539.0,0.439,325.0,947.0,0.343,2545.0,5592.0,0.455,1457.0,1892.0,0.77,894.0,2431.0,3325.0,1899.0,586.0,359.0,1291.0,1733.0,7522.0,82.0,19780.0,3143.0,6791.0,0.463,389.0,1075.0,0.362,2754.0,5716.0,0.482,1317.0,1798.0,0.732,1052.0,2534.0,3586.0,1935.0,710.0,476.0,1217.0,1768.0,7992.0,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,91.7,0.289,0.145,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,General Motors Place,563218,66,22.8,-3.11,2.07,-1.04,1.79,2912,1507,-2.266558165,0.94513679,-1.321421375,1.100863473,1.100863473,0.0,-2.237658269,1.096753832,-1.140904437,0.207669576,66,19,47,22.9,102.5,3.0,13.2,22.4,1.1,30.0,0.2,11.9,8.4,7.3,6.2,19.9,0.053,0
