,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2008-09,2009,Robin Lopez,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,PHO,NBA,C,60,7,10.2,1.2,2.3,0.518,0.0,0.0,0.0,1.2,2.3,0.522,0.518,0.8,1.1,0.691,0.9,1.1,2.0,0.1,0.2,0.7,0.5,1.6,3.2,614,5.8,11.2,0.518,0.0,0.1,0.0,5.8,11.1,0.522,3.8,5.5,0.691,4.2,5.4,9.6,0.7,0.9,3.3,2.3,7.9,15.4,112,111,614,11.6,0.566,0.007,0.496,10.3,12.1,11.2,1.8,0.9,4.9,14.4,14.0,0.6,0.4,1.1,0.083,-3.1,-0.3,-3.4,-0.2,82.0,19755.0,3373.0,6695.0,0.504,553.0,1445.0,0.383,2820.0,5250.0,0.537,1675.0,2251.0,0.744,900.0,2520.0,3420.0,1905.0,589.0,420.0,1288.0,1691.0,8974.0,82.0,19755.0,3278.0,7025.0,0.467,626.0,1635.0,0.383,2652.0,5390.0,0.492,1634.0,2108.0,0.775,993.0,2352.0,3345.0,1741.0,706.0,369.0,1165.0,1877.0,8816.0,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,96.0,0.336,0.216,0.545,14.4,27.7,0.25,0.511,12.8,71.7,0.233,US Airways Center,755302,60,10.2,-1.95,-0.21,-2.16,0.3,1242,614,-3.448362227,-0.50694078,-3.955303006,-0.378487029,-0.378487029,0.0,-3.496633357,-0.78849116,-4.285124518,0.22377109,60,32,28,10.2,107.8,1.1,10.8,17.2,0.2,11.2,0.7,51.9,4.1,3.3,3.3,9.0,0.024,0.0
1,2009-10,2010,Robin Lopez,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,PHO,NBA,C,51,31,19.3,3.4,5.7,0.588,0.0,0.0,,3.4,5.7,0.588,0.588,1.7,2.5,0.704,2.0,2.8,4.9,0.1,0.2,1.0,0.8,2.3,8.4,986,8.7,14.9,0.588,0.0,0.0,,8.7,14.9,0.588,4.5,6.4,0.704,5.3,7.4,12.7,0.4,0.5,2.7,2.1,6.0,22.0,123,110,986,17.6,0.621,0.0,0.43,12.6,15.6,14.2,1.1,0.5,3.8,10.6,17.3,2.5,0.8,3.2,0.158,0.3,-0.9,-0.6,0.4,82.0,19730.0,3339.0,6788.0,0.492,730.0,1770.0,0.412,2609.0,5018.0,0.52,1631.0,2117.0,0.77,910.0,2616.0,3526.0,1912.0,479.0,418.0,1210.0,1713.0,9039.0,82.0,19730.0,3235.0,7165.0,0.452,561.0,1582.0,0.355,2674.0,5583.0,0.479,1606.0,2114.0,0.76,1081.0,2391.0,3472.0,1704.0,646.0,365.0,1065.0,1789.0,8637.0,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,95.3,0.312,0.261,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,US Airways Center,723582,51,19.3,0.24,0.0,0.25,2.11,2179,1090,-0.459451231,-0.58894852,-1.048399751,0.948475854,0.808592814,0.13988304,-0.524671731,-0.708286337,-1.232958068,-0.401615168,51,32,19,19.3,108.0,2.8,13.5,21.0,0.2,10.5,1.0,41.1,7.5,6.7,6.5,17.6,0.042,0.57
2,2010-11,2011,Robin Lopez,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,PHO,NBA,C,67,56,14.8,2.7,5.3,0.501,0.0,0.0,,2.7,5.3,0.501,0.501,1.1,1.5,0.74,1.2,2.0,3.2,0.1,0.3,0.7,0.7,2.1,6.4,991,9.2,18.3,0.501,0.0,0.0,,9.2,18.3,0.501,3.8,5.1,0.74,4.2,6.9,11.1,0.4,0.9,2.3,2.5,7.3,22.2,105,110,991,13.9,0.539,0.0,0.28,9.5,15.6,12.6,1.3,0.9,3.4,10.7,20.4,0.8,0.8,1.5,0.074,-3.1,-1.0,-4.1,-0.5,82.0,20005.0,3219.0,6844.0,0.47,701.0,1857.0,0.377,2518.0,4987.0,0.505,1472.0,1939.0,0.759,821.0,2478.0,3299.0,1945.0,545.0,357.0,1169.0,1666.0,8611.0,82.0,20005.0,3309.0,7018.0,0.472,585.0,1595.0,0.367,2724.0,5423.0,0.502,1481.0,1964.0,0.754,985.0,2647.0,3632.0,1890.0,644.0,356.0,1189.0,1740.0,8684.0,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,94.4,0.283,0.271,0.522,13.2,23.7,0.215,0.513,13.1,71.6,0.211,US Airways Center,720249,67,14.8,-1.26,-1.28,-2.54,0.37,1971,991,-3.547382994,-0.526701484,-4.074084478,-0.670378964,-0.670378964,0.0,-3.418575419,-0.560358866,-3.978934285,0.126816554,67,33,34,14.8,108.7,2.0,13.4,20.8,0.3,14.0,0.7,48.4,5.6,4.1,5.0,13.6,0.029,0.28
3,2011-12,2012,Robin Lopez,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,PHO,NBA,C,64,0,14.0,1.9,4.2,0.461,0.0,0.0,,1.9,4.2,0.461,0.461,1.6,2.2,0.714,1.4,1.9,3.3,0.3,0.3,0.9,0.7,2.0,5.4,895,7.2,15.6,0.461,0.0,0.0,,7.2,15.6,0.461,5.8,8.1,0.714,5.2,6.9,12.1,1.2,1.0,3.5,2.5,7.4,20.2,108,105,895,15.2,0.526,0.0,0.52,11.5,14.8,13.2,3.4,1.0,4.8,11.5,18.9,1.2,0.9,2.1,0.115,-2.2,0.0,-2.2,0.0,66.0,15840.0,2495.0,5445.0,0.458,444.0,1295.0,0.343,2051.0,4150.0,0.494,1058.0,1397.0,0.757,717.0,2035.0,2752.0,1486.0,431.0,366.0,928.0,1233.0,6492.0,66.0,15840.0,2505.0,5510.0,0.455,398.0,1131.0,0.352,2107.0,4379.0,0.481,1100.0,1444.0,0.762,802.0,2064.0,2866.0,1416.0,526.0,288.0,929.0,1293.0,6508.0,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,92.6,0.257,0.238,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,US Airways Center,514718,64,14.0,-1.27,0.11,-1.16,0.71,1746,895,-2.011181937,0.227259125,-1.783922812,0.441493715,0.441493715,0.0,-2.062204171,0.201445782,-1.86075839,0.074287642,64,32,32,14.0,103.6,1.9,13.5,21.8,0.3,13.6,0.9,53.1,4.1,4.3,3.9,12.3,0.036,0.42
4,2012-13,2013,Robin Lopez,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,NOH,NBA,C,82,82,26.0,4.7,8.8,0.534,0.0,0.0,,4.7,8.8,0.534,0.534,2.0,2.5,0.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,2.0,11.3,2136,9.7,18.3,0.534,0.0,0.0,,9.7,18.3,0.534,4.1,5.3,0.778,5.7,6.0,11.7,1.6,0.8,3.2,2.8,4.2,23.6,114,110,2136,18.9,0.573,0.0,0.288,12.4,13.4,12.9,5.3,0.8,5.0,12.0,20.0,4.4,1.2,5.6,0.126,1.3,-0.7,0.6,1.4,82.0,19780.0,2955.0,6589.0,0.448,535.0,1474.0,0.363,2420.0,5115.0,0.473,1269.0,1636.0,0.776,988.0,2426.0,3414.0,1721.0,520.0,440.0,1193.0,1673.0,7714.0,82.0,19780.0,3030.0,6435.0,0.471,632.0,1688.0,0.374,2398.0,4747.0,0.505,1339.0,1764.0,0.759,835.0,2391.0,3226.0,1915.0,648.0,492.0,1086.0,1534.0,8031.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,82,26.0,-1.0,1.79,0.79,4.57,3983,2136,-0.389201317,0.772985444,0.383784127,3.382369069,3.382369069,0.0,-0.463165399,0.274748163,-0.188417236,-0.893874529,82,27,55,26.0,106.8,2.9,12.0,17.4,0.4,11.3,1.6,50.2,9.9,6.6,7.4,24.1,0.052,0.69
5,2013-14,2014,Robin Lopez,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,POR,NBA,C,82,82,31.7,4.3,7.9,0.551,0.0,0.0,0.0,4.3,7.8,0.552,0.551,2.4,3.0,0.818,4.0,4.6,8.5,0.9,0.3,1.7,1.0,2.4,11.1,2603,6.9,12.5,0.551,0.0,0.0,0.0,6.9,12.5,0.552,3.8,4.7,0.818,6.3,7.3,13.6,1.4,0.5,2.7,1.6,3.8,17.6,128,107,2603,17.7,0.605,0.002,0.376,13.6,15.3,14.5,4.2,0.5,3.7,10.1,14.0,7.0,2.6,9.5,0.176,1.2,-0.1,1.2,2.1,82.0,19855.0,3207.0,7134.0,0.45,770.0,2071.0,0.372,2437.0,5063.0,0.481,1569.0,1926.0,0.815,1022.0,2786.0,3808.0,1904.0,454.0,387.0,1125.0,1576.0,8753.0,82.0,19855.0,3248.0,7203.0,0.451,534.0,1504.0,0.355,2714.0,5699.0,0.476,1396.0,1822.0,0.766,944.0,2622.0,3566.0,1675.0,639.0,304.0,985.0,1698.0,8426.0,54,28,52,30,3.99,0.45,4.44,111.5,107.4,94.9,0.27,0.29,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,Moda Center,809612,82,31.8,-1.49,1.93,0.45,5.72,5926,2970,0.756171459,1.351818384,2.107989843,7.255095304,7.458790342,-0.203695037,0.635288533,1.670855142,2.306143675,-1.012420793,82,54,28,31.8,104.6,4.6,13.8,20.0,0.3,8.3,1.7,50.2,9.7,8.9,8.9,29.9,0.093,1.26
6,2014-15,2015,Robin Lopez,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,POR,NBA,C,59,59,27.8,4.0,7.4,0.535,0.0,0.0,0.0,4.0,7.4,0.537,0.535,1.7,2.2,0.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,1638,7.3,13.6,0.535,0.0,0.0,0.0,7.3,13.6,0.537,3.0,4.0,0.772,5.9,6.3,12.3,1.7,0.5,2.6,2.3,3.8,17.6,117,104,1638,16.2,0.574,0.002,0.291,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,3.2,1.9,5.1,0.15,0.1,0.1,0.1,0.9,82.0,19855.0,3175.0,7049.0,0.45,807.0,2231.0,0.362,2368.0,4818.0,0.491,1272.0,1589.0,0.801,879.0,2881.0,3760.0,1799.0,525.0,372.0,1117.0,1494.0,8429.0,82.0,19855.0,3130.0,7123.0,0.439,524.0,1552.0,0.338,2606.0,5571.0,0.468,1298.0,1713.0,0.758,902.0,2754.0,3656.0,1669.0,655.0,297.0,999.0,1534.0,8082.0,51,31,53,29,4.23,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368,59,27.8,-1.64,0.1,-1.54,1.3,3464,1755,-0.914540772,1.46047645,0.545935678,2.926977521,2.820370689,0.106606832,-1.381434342,1.378628502,-0.002805841,-0.822646368,59,38,21,27.8,103.2,3.5,11.5,16.2,0.3,8.6,1.4,52.2,8.6,8.0,8.3,25.9,0.085,1.23
7,2015-16,2016,Robin Lopez,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NYK,NBA,C,82,82,27.1,4.4,8.1,0.539,0.0,0.0,0.0,4.4,8.1,0.54,0.539,1.6,2.0,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3,2219,8.3,15.3,0.539,0.0,0.0,0.0,8.3,15.3,0.54,3.0,3.7,0.795,6.2,7.7,13.9,2.6,0.4,3.0,3.1,4.2,19.5,113,107,2219,17.6,0.574,0.002,0.243,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,3.7,2.1,5.8,0.126,0.4,-0.5,-0.2,1.0,82.0,19805.0,3022.0,6886.0,0.439,610.0,1762.0,0.346,2412.0,5124.0,0.471,1411.0,1753.0,0.805,850.0,2788.0,3638.0,1682.0,467.0,466.0,1099.0,1616.0,8065.0,82.0,19805.0,3114.0,7035.0,0.443,626.0,1838.0,0.341,2488.0,5197.0,0.479,1435.0,1904.0,0.754,890.0,2733.0,3623.0,1703.0,589.0,343.0,927.0,1520.0,8289.0,32,50,33,49,-2.73,0.0,-2.74,104.6,107.6,93.4,0.255,0.256,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,Madison Square Garden (IV),812292,82,27.1,-1.81,0.61,-1.19,1.65,4348,2219,-0.058661027,-0.159380324,-0.218041351,2.841530289,2.841530289,0.0,-0.614994971,-0.33272103,-0.947716001,-0.851673942,82,32,50,27.1,106.5,4.1,14.5,21.0,0.2,6.8,1.6,45.9,9.0,6.8,7.5,24.7,0.063,0.43
8,2016-17,2017,Robin Lopez,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHI,NBA,C,81,81,28.0,4.7,9.6,0.493,0.0,0.0,0.0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3.0,3.4,6.4,1.0,0.2,1.4,1.1,1.9,10.4,2271,8.5,17.2,0.493,0.0,0.0,0.0,8.5,17.1,0.494,1.7,2.3,0.721,5.4,6.1,11.5,1.8,0.4,2.6,2.0,3.3,18.6,108,108,2271,14.4,0.511,0.003,0.134,11.5,13.2,12.3,5.6,0.4,4.1,10.0,17.5,1.8,2.4,4.3,0.09,-1.4,-0.8,-2.2,-0.1,82.0,19780.0,3169.0,7141.0,0.444,623.0,1831.0,0.34,2546.0,5310.0,0.479,1474.0,1848.0,0.798,999.0,2797.0,3796.0,1851.0,643.0,393.0,1112.0,1455.0,8435.0,82.0,19780.0,3236.0,7099.0,0.456,731.0,2121.0,0.345,2505.0,4978.0,0.503,1197.0,1555.0,0.77,843.0,2698.0,3541.0,1939.0,602.0,378.0,1100.0,1541.0,8400.0,41,41,42,40,0.43,-0.39,0.03,107.4,107.0,95.3,0.259,0.256,0.487,12.3,27.0,0.206,0.507,12.4,76.8,0.169,United Center,888882,81,28.0,-2.32,1.5,-0.81,1.62,4851,2433,-2.186859129,1.215319084,-0.971540045,2.192643197,1.929783477,0.26285972,-2.775754293,1.142902009,-1.632852284,-1.250385239,81,40,41,28.0,105.9,3.4,12.0,16.9,0.2,5.3,1.4,46.8,8.5,6.8,8.5,25.7,0.092,1.04
9,2017-18,2018,Robin Lopez,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,CHI,NBA,C,64,64,26.4,5.3,10.1,0.53,0.1,0.2,0.286,5.3,9.9,0.536,0.533,1.1,1.4,0.756,2.1,2.4,4.5,1.9,0.2,0.8,1.7,1.7,11.8,1690,9.9,18.6,0.53,0.1,0.4,0.286,9.8,18.2,0.536,2.0,2.6,0.756,3.9,4.5,8.4,3.6,0.4,1.5,3.1,3.1,21.8,106,114,1690,14.7,0.552,0.022,0.14,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,1.2,0.7,1.9,0.055,-0.9,-1.3,-2.2,-0.1,82.0,19855.0,3170.0,7285.0,0.435,906.0,2549.0,0.355,2264.0,4736.0,0.478,1194.0,1574.0,0.759,790.0,2873.0,3663.0,1923.0,626.0,289.0,1147.0,1571.0,8440.0,82.0,19855.0,3360.0,7115.0,0.472,990.0,2678.0,0.37,2370.0,4437.0,0.534,1307.0,1660.0,0.787,691.0,3053.0,3744.0,2123.0,588.0,423.0,1112.0,1425.0,9017.0,27,55,23,59,-7.04,0.2,-6.84,103.8,110.9,98.3,0.216,0.35,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,851824,64,26.4,-1.89,-0.22,-2.12,-0.77,3486,1690,-4.299165346,0.054906402,-4.244258944,-1.278927566,-1.278927566,0.0,-4.548506092,-0.63561494,-5.184121032,-0.729824062,64,23,41,26.4,107.7,2.4,9.3,12.2,0.2,5.5,0.8,37.6,8.4,5.5,6.5,24.0,0.07,0.21
