,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1998-99,1999,Tyronn Lue,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,LAL,NBA,PG,15,0,12.5,1.9,4.3,0.431,0.5,1.1,0.438,1.4,3.3,0.429,0.485,0.8,1.4,0.571,0.1,0.3,0.4,1.7,0.3,0.0,0.7,1.9,5.0,188,7.8,18.1,0.431,2.0,4.5,0.438,5.9,13.7,0.429,3.3,5.9,0.571,0.6,1.1,1.7,7.0,1.4,0.0,3.1,7.8,20.9,104,110,188,11.2,0.505,0.246,0.323,1.3,2.4,1.9,21.6,1.4,0.0,12.9,20.4,0.2,0.0,0.2,0.062,-1.3,-2.3,-3.6,-0.1,50.0,12050,1841,3935,0.468,241,685,0.352,1600,3250,0.492,1027,1503,0.683,619,1482,2101,1095,389,287,754,1231,4950,50.0,12050,1759,3992,0.441,217,653,0.332,1542,3339,0.462,1064,1501,0.709,628,1403,2031,1062,408,196,716,1271,4799,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,91.6,0.382,0.174,0.498,14.1,30.6,0.261,0.468,13.3,70.2,0.267,Great Western Forum,430007,15,12.5,0.64,-2.22,-1.57,0.22,426,221,-1.296540685,-2.410282279,-3.706822964,-0.11040798,-0.073746183,-0.036661797,-1.314411933,-2.225394275,-3.539806208,0.925160368,15,7,8,12.7,107.1,0.3,2.1,4.1,0.3,15.6,0.0,0.0,4.5,4.7,4.1,11.1,0.006,0
1,1999-00,2000,Tyronn Lue,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,22,LAL,NBA,PG,8,0,18.3,2.4,4.9,0.487,0.5,1.0,0.5,1.9,3.9,0.484,0.538,0.8,1.0,0.75,0.3,1.3,1.5,2.1,0.4,0.0,1.1,2.1,6.0,146,6.7,13.7,0.487,1.4,2.8,0.5,5.3,10.9,0.484,2.1,2.8,0.75,0.7,3.5,4.2,6.0,1.1,0.0,3.2,6.0,16.9,106,103,146,10.5,0.564,0.205,0.205,1.5,7.2,4.4,17.6,1.1,0.0,17.5,15.5,0.2,0.2,0.3,0.103,-2.3,0.3,-2.0,0.0,82.0,19805,3137,6836,0.459,344,1047,0.329,2793,5789,0.482,1649,2368,0.696,1117,2738,3855,1921,613,534,1143,1841,8267,82.0,19805,2838,6824,0.416,372,1142,0.326,2466,5682,0.434,1518,2045,0.742,1007,2531,3538,1597,627,345,1196,2099,7566,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,93.3,0.346,0.153,0.484,12.7,30.6,0.241,0.443,13.4,73.1,0.222,STAPLES Center,771420,8,18.3,-1.16,-1.49,-2.64,-0.02,287,146,-1.104191644,-1.517780055,-2.621971699,0.009556875,0.009556875,0.0,-1.416340689,-1.393623885,-2.809964573,0.199063349,8,6,2,18.4,104.7,1.3,6.8,11.1,0.4,14.3,0.0,0.0,7.9,5.1,4.6,12.5,0.035,0
2,2000-01,2001,Tyronn Lue,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,LAL,NBA,PG,38,1,12.3,1.3,3.1,0.427,0.3,0.9,0.324,1.0,2.2,0.47,0.474,0.5,0.6,0.792,0.1,0.7,0.8,1.2,0.5,0.0,0.7,1.4,3.4,468,5.6,13.1,0.427,1.2,3.8,0.324,4.4,9.3,0.47,2.1,2.7,0.792,0.6,3.0,3.6,5.0,2.1,0.0,3.0,6.0,14.5,99,108,468,8.7,0.51,0.291,0.205,1.2,6.4,3.9,14.3,2.1,0.0,17.5,14.8,0.2,0.2,0.4,0.042,-3.6,-0.4,-4.0,-0.2,82.0,19905,3109,6685,0.465,439,1275,0.344,2670,5410,0.494,1594,2333,0.683,1085,2583,3668,1888,564,490,1184,1872,8251,82.0,19905,2983,6815,0.438,413,1168,0.354,2570,5647,0.455,1595,2114,0.754,981,2407,3388,1659,619,324,1073,2002,7974,56,26,51,31,3.38,0.37,3.74,108.4,104.8,91.7,0.349,0.191,0.498,13.3,31.1,0.238,0.468,12.2,72.5,0.234,STAPLES Center,776336,38,12.3,-1.62,-0.22,-1.84,0.31,1158,599,-2.240323961,-1.318832652,-3.559156614,-0.244062961,-0.43648779,0.192424829,-2.165209899,-1.315387325,-3.480597224,0.698238413,38,25,13,12.3,104.9,0.7,5.6,9.4,0.5,26.4,0.0,0.0,4.7,3.9,2.5,9.0,0.019,0
3,2001-02,2002,Tyronn Lue,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,WAS,NBA,PG,71,0,20.5,3.1,7.3,0.427,0.9,2.0,0.447,2.2,5.3,0.42,0.488,0.7,0.9,0.762,0.2,1.5,1.7,3.5,0.7,0.0,1.4,1.7,7.8,1458,8.3,19.4,0.427,2.3,5.3,0.447,5.9,14.1,0.42,1.8,2.3,0.762,0.5,4.0,4.5,9.2,1.8,0.0,3.6,4.5,20.7,103,109,1458,13.7,0.507,0.271,0.121,1.1,8.7,4.9,28.5,1.8,0.0,14.9,20.4,1.3,0.8,2.0,0.067,0.1,-1.2,-1.1,0.4,82.0,19730,2938,6664,0.441,305,786,0.388,2633,5878,0.448,1428,1866,0.765,1055,2393,3448,1715,570,354,1068,1763,7609,82.0,19730,2953,6534,0.452,422,1191,0.354,2531,5343,0.474,1396,1849,0.755,960,2376,3336,1818,573,414,1095,1713,7724,37,45,37,45,-1.4,-0.17,-1.58,104.8,106.4,88.3,0.28,0.118,0.464,12.5,30.7,0.214,0.484,13.0,71.4,0.214,MCI Center,847634,71,20.5,0.23,0.84,1.07,3.47,2713,1458,0.433970529,-0.874818367,-0.440847838,1.7182122,1.7182122,0.0,0.498186779,-1.016391538,-0.518204759,0.026688861,71,33,38,20.6,100.0,1.5,7.2,11.6,0.7,23.7,0.0,0.0,6.3,5.8,4.6,14.5,0.074,0
4,2002-03,2003,Tyronn Lue,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,WAS,NBA,PG,75,24,26.5,3.3,7.6,0.433,0.8,2.3,0.341,2.5,5.3,0.474,0.485,1.2,1.4,0.875,0.3,1.7,2.0,3.5,0.6,0.0,1.0,2.0,8.6,1986,6.8,15.7,0.433,1.6,4.8,0.341,5.2,10.9,0.474,2.5,2.9,0.875,0.6,3.5,4.1,7.2,1.3,0.0,2.1,4.1,17.7,109,108,1986,12.9,0.523,0.307,0.182,1.3,7.6,4.4,22.6,1.3,0.0,11.1,16.5,2.8,0.9,3.7,0.089,-0.4,-1.1,-1.5,0.3,82.0,19830,2816,6394,0.44,253,811,0.312,2563,5583,0.459,1617,2077,0.779,917,2395,3312,1612,621,390,1095,1644,7502,82.0,19830,2877,6507,0.442,449,1242,0.362,2428,5265,0.461,1382,1792,0.771,949,2447,3396,1776,612,358,1171,1804,7585,37,45,38,44,-1.01,-0.46,-1.47,103.0,104.1,88.2,0.325,0.127,0.46,13.0,27.3,0.253,0.477,13.8,71.6,0.212,MCI Center,827093,75,26.5,0.15,-0.94,-0.79,2.91,3691,1986,1.606629643,-2.662820305,-1.056190662,1.714500237,1.714500237,0.0,1.193067744,-2.21553312,-1.022465377,-0.094658371,75,34,41,26.5,103.0,1.7,6.6,10.8,0.6,16.5,0.0,0.5,8.3,8.2,6.4,20.8,0.063,0
5,2003-04,2004,Tyronn Lue,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,ORL,NBA,PG,76,69,30.7,4.1,9.4,0.433,1.1,2.8,0.383,3.0,6.6,0.453,0.489,1.3,1.7,0.771,0.3,2.1,2.5,4.2,0.8,0.1,1.6,2.4,10.5,2332,7.0,16.2,0.433,1.8,4.7,0.383,5.2,11.4,0.453,2.3,3.0,0.771,0.6,3.6,4.2,7.2,1.4,0.1,2.8,4.2,18.1,105,113,2332,12.6,0.518,0.293,0.183,1.2,8.0,4.5,22.7,1.4,0.2,13.8,17.4,2.7,-0.6,2.1,0.042,-0.5,-2.0,-2.5,-0.3,82.0,19830,2904,6768,0.429,429,1248,0.344,2475,5520,0.448,1474,2000,0.737,1003,2350,3353,1584,547,308,1123,1744,7711,82.0,19830,3169,6804,0.466,491,1301,0.377,2678,5503,0.487,1458,1964,0.742,1072,2570,3642,2004,625,450,1111,1691,8287,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,90.8,0.296,0.184,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,TD Waterhouse Centre,589144,76,30.7,-0.09,-2.89,-2.98,0.74,4462,2332,-0.020395002,-2.783305026,-2.803700027,-0.063827418,-0.063827418,0.0,-0.110313243,-2.192743236,-2.303056479,-0.091543507,76,17,59,30.7,110.0,2.1,7.1,11.7,0.8,20.0,0.1,2.8,10.9,10.0,9.2,29.5,-0.005,0
6,2004-05,2005,Tyronn Lue,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,HOU,NBA,PG,21,3,22.8,2.3,5.8,0.393,0.7,2.1,0.333,1.6,3.7,0.429,0.455,0.7,0.9,0.778,0.0,1.9,1.9,2.8,0.4,0.0,1.1,2.3,6.0,479,5.4,13.8,0.393,1.7,5.1,0.333,3.7,8.7,0.429,1.6,2.0,0.778,0.0,4.5,4.5,6.5,0.9,0.0,2.7,5.4,14.1,97,106,479,7.7,0.481,0.369,0.148,0.0,9.5,4.9,19.6,0.9,0.0,15.6,15.1,0.0,0.5,0.5,0.049,-3.1,0.3,-2.8,-0.1,82.0,19855,2846,6419,0.443,553,1521,0.364,2293,4898,0.468,1551,1986,0.781,874,2601,3475,1733,563,378,1135,1807,7796,82.0,19855,2720,6423,0.423,454,1343,0.338,2266,5080,0.446,1571,2116,0.742,892,2444,3336,1696,607,335,1087,1773,7465,51,31,53,29,4.04,0.23,4.27,106.2,101.7,88.8,0.309,0.237,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,Toyota Center,663444,70,28.7,0.33,-3.28,-2.95,0.32,3839,2007,1.073380126,-4.115535055,-3.042154929,-0.319261912,-0.319261912,0.0,0.494997669,-3.550926147,-3.055928478,0.342217113,70,16,54,28.7,111.5,1.9,7.3,11.4,0.5,13.5,0.0,0.0,10.4,8.1,7.3,23.5,0.012,0
7,2004-05,2005,Tyronn Lue,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,ATL,NBA,PG,49,46,31.2,5.0,10.9,0.464,0.8,2.2,0.364,4.2,8.6,0.491,0.502,2.6,3.0,0.871,0.3,1.9,2.2,5.4,0.5,0.0,1.7,2.4,13.5,1528,8.5,18.3,0.464,1.4,3.8,0.364,7.1,14.5,0.491,4.4,5.1,0.871,0.5,3.3,3.7,9.1,0.9,0.0,2.8,4.1,22.8,116,116,1528,16.2,0.555,0.207,0.276,1.0,7.6,4.2,29.8,0.9,0.0,12.0,19.9,3.4,-0.2,3.2,0.1,1.1,-2.8,-1.7,0.1,82.0,19855,2942,6672,0.441,304,973,0.312,2638,5699,0.463,1417,1994,0.711,1100,2335,3435,1614,629,344,1319,2009,7605,82.0,19855,3044,6389,0.476,467,1232,0.379,2577,5157,0.5,1846,2396,0.77,902,2483,3385,1803,716,484,1210,1777,8401,13,69,16,66,-9.71,0.09,-9.62,100.6,111.1,91.4,0.299,0.146,0.464,14.9,30.7,0.212,0.513,14.0,72.1,0.289,Philips Arena,586390,70,28.7,0.33,-3.28,-2.95,0.32,3839,2007,1.073380126,-4.115535055,-3.042154929,-0.319261912,-0.319261912,0.0,0.494997669,-3.550926147,-3.055928478,0.342217113,70,16,54,28.7,111.5,1.9,7.3,11.4,0.5,13.5,0.0,0.0,10.4,8.1,7.3,23.5,0.012,0
8,2005-06,2006,Tyronn Lue,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,ATL,NBA,PG,51,10,24.2,3.8,8.2,0.459,1.1,2.5,0.457,2.6,5.7,0.46,0.529,2.3,2.7,0.855,0.3,1.4,1.6,3.1,0.5,0.1,1.5,2.2,11.0,1234,8.3,18.0,0.459,2.5,5.5,0.457,5.8,12.5,0.46,5.1,5.9,0.855,0.6,3.0,3.5,6.8,1.1,0.1,3.2,4.9,24.1,116,116,1234,15.5,0.585,0.304,0.33,1.2,6.9,4.0,21.7,1.1,0.2,13.5,20.4,2.8,-0.1,2.7,0.104,1.5,-2.2,-0.7,0.4,82.0,19880,2946,6496,0.454,424,1154,0.367,2522,5342,0.472,1656,2207,0.75,1069,2232,3301,1625,587,394,1284,2054,7972,82.0,19880,3075,6433,0.478,444,1205,0.368,2631,5228,0.503,1768,2372,0.745,981,2335,3316,1689,597,422,1227,1855,8362,26,56,28,54,-4.76,0.07,-4.69,106.4,111.6,90.4,0.34,0.178,0.486,14.7,31.4,0.255,0.513,14.1,69.5,0.275,Philips Arena,617817,51,24.2,0.83,-1.77,-0.95,1.64,2351,1234,1.136864359,-2.480226969,-1.34336261,0.884311028,0.884311028,0.0,0.778003617,-2.613386052,-1.835382435,-0.133400389,51,17,34,24.2,109.0,1.4,6.0,9.8,0.5,15.2,0.1,2.5,9.0,7.5,6.3,21.6,0.032,0
9,2006-07,2007,Tyronn Lue,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,ATL,NBA,PG,56,17,26.6,3.9,9.4,0.416,1.0,2.9,0.348,2.9,6.5,0.446,0.469,2.6,2.9,0.883,0.3,1.5,1.9,3.6,0.4,0.0,1.5,1.8,11.4,1488,7.8,18.8,0.416,2.0,5.8,0.348,5.8,13.0,0.446,5.2,5.8,0.883,0.7,3.0,3.7,7.2,0.9,0.0,3.0,3.6,22.8,110,113,1488,14.1,0.534,0.307,0.311,1.5,7.0,4.2,23.9,0.9,0.0,12.5,21.0,2.2,0.3,2.5,0.081,0.5,-2.4,-1.9,0.0,82.0,19880,2831,6372,0.444,341,1038,0.329,2490,5334,0.467,1677,2203,0.761,976,2312,3288,1573,609,446,1306,1970,7680,82.0,19880,2953,6335,0.466,465,1236,0.376,2488,5099,0.488,1699,2315,0.734,948,2370,3318,1732,597,421,1247,1853,8070,30,52,27,55,-4.76,-0.1,-4.86,103.0,108.3,90.0,0.346,0.163,0.471,15.1,29.2,0.263,0.503,14.5,70.9,0.268,Philips Arena,639375,56,26.6,0.51,-1.91,-1.4,1.71,2822,1488,0.734257521,-3.747247186,-3.012989666,-0.199123153,-0.199123153,0.0,0.386335969,-3.730128505,-3.343792536,-0.248248891,56,22,34,26.6,109.2,1.5,6.3,10.3,0.4,11.5,0.0,0.0,9.8,8.1,8.0,24.2,0.037,0
