,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1998-99,1999,Sean Marks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,TOR,NBA,PF,8,0,3.5,0.6,1.0,0.625,0.0,0.0,,0.6,1.0,0.625,0.625,0.1,0.3,0.5,0.0,0.1,0.1,0.0,0.1,0.0,0.4,0.4,1.4,28,9.7,15.4,0.625,0.0,0.0,,9.7,15.4,0.625,1.9,3.9,0.5,0.0,1.9,1.9,0.0,1.9,0.0,5.8,5.8,21.2,85,109,28,7.8,0.619,0.0,0.25,0.0,4.2,2.1,0.0,1.9,0.0,25.3,19.2,0.0,0.0,0.0,-0.036,-4.8,-2.7,-7.5,0.0,50.0,12075.0,1660.0,3940.0,0.421,226.0,662.0,0.341,1434.0,3278.0,0.437,1011.0,1330.0,0.76,712.0,1447.0,2159.0,1036.0,439.0,321.0,799.0,1139.0,4557.0,50.0,12075.0,1694.0,3855.0,0.439,255.0,686.0,0.372,1439.0,3169.0,0.454,996.0,1368.0,0.728,614.0,1393.0,2007.0,1095.0,446.0,258.0,773.0,1088.0,4639.0,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,88.8,0.338,0.168,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258,Air Canada Centre,439190,8,3.5,-0.81,-1.96,-2.78,0.01,52,28,-5.813305387,-3.632316531,-9.445621917,-0.096681431,-0.096681431,0.0,-5.778647759,-4.799687154,-10.57833491,0.969545537,8,4,4,3.2,146.6,0.1,5.0,10.0,0.1,16.7,0.0,0.0,2.1,2.0,3.0,3.8,-0.047,0.0
1,1999-00,2000,Sean Marks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,TOR,NBA,PF,5,0,2.4,0.4,1.2,0.333,0.0,0.2,0.0,0.4,1.0,0.4,0.333,0.8,0.8,1.0,0.0,0.4,0.4,0.0,0.2,0.2,0.6,0.6,1.6,12,8.7,26.0,0.333,0.0,4.3,0.0,8.7,21.6,0.4,17.3,17.3,1.0,0.0,8.7,8.7,0.0,4.3,4.3,13.0,13.0,34.6,78,95,12,9.7,0.515,0.167,0.667,0.0,19.3,9.3,0.0,4.3,5.9,27.9,39.7,0.0,0.0,0.0,-0.094,-10.6,1.2,-9.4,0.0,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496,5,2.4,-2.03,-0.58,-2.61,-0.0,23,12,-10.58020174,1.496961505,-9.083240233,-0.040339064,-0.040339064,0.0,-8.599103837,0.383760742,-8.215343095,3.801434682,5,1,4,2.5,100.0,0.4,28.6,50.0,0.2,16.7,0.2,100.0,1.4,0.8,1.6,4.0,0.012,0.0
2,2001-02,2002,Sean Marks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIA,NBA,C,21,6,15.2,1.8,4.2,0.432,0.0,0.0,,1.8,4.2,0.432,0.432,1.0,1.6,0.588,0.9,2.7,3.6,0.4,0.2,0.5,0.9,1.9,4.6,319,6.5,15.1,0.432,0.0,0.0,,6.5,15.1,0.432,3.4,5.9,0.588,3.3,9.6,12.9,1.4,0.9,1.7,3.3,6.9,16.5,89,99,319,9.3,0.466,0.0,0.386,7.0,20.4,13.7,4.3,0.9,2.4,15.6,18.2,-0.2,0.5,0.3,0.044,-4.7,0.8,-3.9,-0.2,82.0,19930.0,2801.0,6382.0,0.439,312.0,899.0,0.347,2489.0,5483.0,0.454,1236.0,1708.0,0.724,902.0,2544.0,3446.0,1664.0,547.0,448.0,1217.0,1846.0,7150.0,82.0,19930.0,2666.0,6279.0,0.425,379.0,1109.0,0.342,2287.0,5170.0,0.442,1565.0,2127.0,0.736,894.0,2484.0,3378.0,1461.0,620.0,353.0,1134.0,1709.0,7276.0,36,46,36,46,-1.54,-0.31,-1.84,98.5,100.2,87.4,0.268,0.141,0.463,14.6,26.6,0.194,0.455,13.6,74.0,0.249,AmericanAirlines Arena,655549,21,15.2,-3.77,0.35,-3.42,-0.16,588,319,-5.287748763,0.215531869,-5.072216895,-0.37959547,-0.37959547,0.0,-5.16885346,-0.368749897,-5.537603357,0.399679677,21,7,14,15.2,95.5,2.7,17.7,27.7,0.2,11.4,0.5,28.6,6.5,3.7,4.0,10.9,0.078,0.0
3,2002-03,2003,Sean Marks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,MIA,NBA,PF,23,0,9.7,1.0,2.6,0.373,0.0,0.0,0.0,1.0,2.5,0.379,0.373,0.4,0.7,0.667,0.3,1.2,1.5,0.1,0.2,0.3,0.6,1.6,2.3,223,5.4,14.5,0.373,0.0,0.2,0.0,5.4,14.2,0.379,2.5,3.7,0.667,2.0,6.6,8.6,0.7,1.2,1.5,3.4,9.1,13.2,76,103,223,3.8,0.412,0.017,0.254,4.0,14.4,9.1,2.3,1.2,2.1,17.6,16.8,-0.4,0.3,-0.2,-0.037,-7.6,0.1,-7.5,-0.3,82.0,19830.0,2688.0,6517.0,0.412,348.0,1100.0,0.316,2340.0,5417.0,0.432,1292.0,1689.0,0.765,948.0,2464.0,3412.0,1501.0,592.0,324.0,1167.0,1856.0,7016.0,82.0,19830.0,2713.0,6208.0,0.437,406.0,1149.0,0.353,2307.0,5059.0,0.456,1598.0,2129.0,0.751,872.0,2587.0,3459.0,1482.0,626.0,436.0,1173.0,1671.0,7430.0,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,0.259,0.169,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242,23,9.7,-4.92,-0.3,-5.22,-0.31,413,223,-5.769945203,-0.860430772,-6.630375974,-0.446796445,-0.446796445,0.0,-5.888266403,-1.191405112,-7.079671515,1.107153732,23,4,19,9.7,95.1,1.2,13.0,19.7,0.2,12.8,0.3,35.3,2.8,2.1,2.2,7.4,0.049,0.0
4,2004-05,2005,Sean Marks,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,29,SAS,NBA,PF,23,0,10.6,1.2,3.5,0.338,0.0,0.1,0.0,1.2,3.3,0.351,0.338,1.0,1.2,0.786,0.8,1.7,2.4,0.3,0.1,0.5,0.6,1.3,3.3,244,6.0,17.7,0.338,0.0,0.7,0.0,6.0,17.0,0.351,4.9,6.2,0.786,4.0,8.4,12.4,1.8,0.7,2.4,3.1,6.4,16.8,88,99,244,8.7,0.412,0.038,0.35,8.6,18.2,13.4,5.2,0.7,3.3,13.2,20.3,-0.3,0.5,0.2,0.038,-5.9,-0.1,-6.0,-0.2,82.0,19805.0,2923.0,6450.0,0.453,507.0,1395.0,0.363,2416.0,5055.0,0.478,1535.0,2120.0,0.724,987.0,2489.0,3476.0,1771.0,613.0,543.0,1126.0,1717.0,7888.0,82.0,19805.0,2712.0,6359.0,0.426,323.0,881.0,0.367,2389.0,5478.0,0.436,1501.0,1955.0,0.768,893.0,2403.0,3296.0,1385.0,594.0,421.0,1240.0,1891.0,7248.0,59,23,63,19,7.8,0.03,7.84,107.5,98.8,88.9,0.329,0.216,0.492,13.2,29.1,0.238,0.452,14.7,73.6,0.236,SBC Center,750970,23,10.6,-3.32,-0.46,-3.78,-0.1,457,244,-5.320170069,-0.31168785,-5.631857919,-0.358444689,-0.358444689,0.0,-5.159401799,-1.139547343,-6.298949142,-0.080639805,23,15,8,10.5,98.5,1.7,14.7,23.8,0.1,8.3,0.5,37.9,3.5,3.5,3.6,9.7,0.049,0.0
5,2005-06,2006,Sean Marks,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,30,SAS,NBA,PF,25,0,7.2,1.5,2.8,0.521,0.0,0.1,0.0,1.5,2.7,0.544,0.521,0.3,0.5,0.583,0.5,1.2,1.7,0.3,0.2,0.3,0.3,0.8,3.2,181,11.1,21.3,0.521,0.0,0.9,0.0,11.1,20.4,0.544,2.1,3.6,0.583,3.6,9.3,12.9,2.1,1.5,2.1,2.1,6.3,24.3,107,97,181,17.9,0.531,0.042,0.169,8.0,19.8,14.0,7.0,1.5,2.8,8.4,22.0,0.2,0.4,0.6,0.156,-1.1,1.0,-0.1,0.1,82.0,19805.0,2993.0,6342.0,0.472,524.0,1362.0,0.385,2469.0,4980.0,0.496,1327.0,1891.0,0.702,851.0,2548.0,3399.0,1717.0,543.0,467.0,1126.0,1714.0,7837.0,82.0,19805.0,2782.0,6420.0,0.433,300.0,886.0,0.339,2482.0,5534.0,0.449,1414.0,1912.0,0.74,886.0,2417.0,3303.0,1336.0,599.0,343.0,1136.0,1709.0,7278.0,63,19,61,21,6.82,-0.13,6.69,107.3,99.6,88.5,0.298,0.215,0.513,13.6,26.0,0.209,0.457,13.5,74.2,0.22,SBC Center,770677,25,7.2,-0.37,-0.02,-0.39,0.3,338,181,-1.228407721,-0.013122984,-1.241530705,0.139463575,0.139463575,0.0,-1.355553025,-0.485393136,-1.840946161,0.106671573,25,19,6,7.2,103.9,1.2,19.1,30.4,0.2,18.5,0.3,38.9,2.6,1.7,2.2,7.0,0.022,0.0
6,2006-07,2007,Sean Marks,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,31,PHO,NBA,PF,3,0,5.7,0.7,2.0,0.333,0.0,0.3,0.0,0.7,1.7,0.4,0.333,0.7,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.3,0.0,1.3,2.0,17,5.9,17.7,0.333,0.0,3.0,0.0,5.9,14.8,0.4,5.9,5.9,1.0,0.0,8.9,8.9,0.0,0.0,3.0,0.0,11.8,17.7,95,106,17,6.7,0.436,0.167,0.333,0.0,19.6,10.3,0.0,0.0,4.1,0.0,18.2,0.0,0.0,0.0,0.043,-7.5,-0.6,-8.1,0.0,82.0,19905.0,3388.0,6855.0,0.494,785.0,1965.0,0.399,2603.0,4890.0,0.532,1476.0,1827.0,0.808,737.0,2583.0,3320.0,2122.0,553.0,394.0,1189.0,1659.0,9037.0,82.0,19905.0,3238.0,7087.0,0.457,504.0,1387.0,0.363,2734.0,5700.0,0.48,1458.0,1901.0,0.767,1008.0,2504.0,3512.0,1548.0,566.0,304.0,1242.0,1759.0,8438.0,61,21,59,23,7.3,-0.03,7.28,113.9,106.4,95.6,0.267,0.287,0.551,13.4,22.7,0.215,0.492,13.6,71.9,0.206,US Airways Center,755302,3,5.7,-2.53,-0.53,-3.06,0.0,34,17,-4.65327499,-0.822371073,-5.475646063,-0.024067092,-0.024067092,0.0,-4.947898802,-0.377355522,-5.325254324,1.678464727,3,2,1,5.7,107.5,1.0,21.4,33.3,0.0,0.0,0.3,100.0,3.7,2.0,0.7,4.7,0.013,0.0
7,2007-08,2008,Sean Marks,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,32,PHO,NBA,C,19,0,6.8,1.2,2.3,0.535,0.1,0.2,0.25,1.2,2.1,0.564,0.547,0.6,1.0,0.632,0.5,1.4,1.9,0.2,0.2,0.5,0.4,1.2,3.1,130,8.8,16.4,0.535,0.4,1.5,0.25,8.4,14.9,0.564,4.6,7.3,0.632,3.4,10.3,13.8,1.5,1.1,3.8,3.1,8.8,22.5,107,103,130,16.1,0.574,0.093,0.442,8.5,21.7,15.6,4.5,1.1,5.0,13.5,20.4,0.1,0.2,0.3,0.121,-3.2,1.1,-2.1,0.0,82.0,19780.0,3392.0,6782.0,0.5,694.0,1764.0,0.393,2698.0,5018.0,0.538,1548.0,1977.0,0.783,720.0,2683.0,3403.0,2188.0,532.0,518.0,1184.0,1633.0,9026.0,82.0,19780.0,3368.0,7384.0,0.456,469.0,1329.0,0.353,2899.0,6055.0,0.479,1407.0,1879.0,0.749,1101.0,2498.0,3599.0,1607.0,601.0,311.0,1101.0,1731.0,8612.0,55,27,54,28,5.05,0.09,5.14,113.3,108.1,96.7,0.292,0.26,0.551,13.4,22.4,0.228,0.488,11.8,70.9,0.191,US Airways Center,755302,19,6.8,-0.81,0.48,-0.33,0.21,271,133,-3.281108956,-0.405991042,-3.687099998,-0.06437686,-0.053488411,-0.010888448,-3.162812585,-0.78279879,-3.945611375,0.762244068,19,16,3,6.8,112.6,1.4,16.4,31.8,0.2,23.1,0.5,47.6,2.4,3.4,1.3,6.2,0.004,0.0
8,2008-09,2009,Sean Marks,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,33,NOH,NBA,C,60,5,14.0,1.3,2.8,0.485,0.0,0.2,0.2,1.3,2.6,0.503,0.491,0.5,0.7,0.682,1.0,2.1,3.1,0.2,0.1,0.6,0.6,2.0,3.2,838,5.2,10.8,0.485,0.1,0.7,0.2,5.1,10.1,0.503,2.0,2.9,0.682,4.0,8.2,12.2,0.9,0.5,2.2,2.3,7.9,12.5,103,107,838,8.8,0.521,0.061,0.267,9.0,18.0,13.5,2.6,0.5,3.3,16.0,12.6,0.2,1.0,1.2,0.067,-4.4,-0.4,-4.8,-0.6,82.0,19755.0,2911.0,6366.0,0.457,556.0,1526.0,0.364,2355.0,4840.0,0.487,1479.0,1833.0,0.807,802.0,2453.0,3255.0,1609.0,593.0,338.0,1029.0,1665.0,7857.0,82.0,19755.0,2851.0,6329.0,0.45,575.0,1625.0,0.354,2276.0,4704.0,0.484,1453.0,1879.0,0.773,822.0,2459.0,3281.0,1649.0,476.0,290.0,1089.0,1675.0,7730.0,49,33,46,36,1.55,-0.14,1.41,108.7,107.0,87.8,0.288,0.24,0.501,12.5,24.6,0.232,0.496,13.2,74.9,0.23,New Orleans Arena,695727,60,14.0,-4.09,0.76,-3.33,-0.24,1701,918,-4.792292282,-0.882004149,-5.674296431,-1.376276479,-1.403905869,0.027629391,-4.916808141,-1.172474686,-6.089282827,0.239285379,60,36,24,14.0,102.9,2.1,15.8,23.8,0.1,6.7,0.6,41.8,4.1,3.3,3.6,11.1,0.055,0.0
9,2009-10,2010,Sean Marks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,34,NOH,NBA,C,14,0,5.4,0.3,0.6,0.5,0.0,0.0,,0.3,0.6,0.5,0.5,0.1,0.4,0.4,1.0,0.6,1.6,0.1,0.0,0.2,0.1,1.2,0.7,75,2.8,5.5,0.5,0.0,0.0,,2.8,5.5,0.5,1.4,3.5,0.4,9.7,6.2,15.9,1.4,0.0,2.1,1.4,11.7,6.9,126,112,75,9.0,0.49,0.0,0.625,21.5,14.3,18.0,3.6,0.0,3.0,16.4,7.4,0.1,0.0,0.2,0.104,-3.9,-1.3,-5.2,-0.1,82.0,19830.0,3178.0,6842.0,0.464,571.0,1572.0,0.363,2607.0,5270.0,0.495,1293.0,1661.0,0.778,852.0,2450.0,3302.0,1828.0,625.0,300.0,1103.0,1606.0,8220.0,82.0,19830.0,3250.0,6730.0,0.483,539.0,1517.0,0.355,2711.0,5213.0,0.52,1383.0,1841.0,0.751,870.0,2586.0,3456.0,1925.0,574.0,367.0,1177.0,1597.0,8422.0,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,92.6,0.243,0.23,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,New Orleans Arena,617366,14,5.4,-2.26,-0.41,-2.66,0.01,146,75,-1.545907404,-1.158234364,-2.704141768,0.001765348,0.001765348,0.0,-2.348995116,-0.961644968,-3.310640084,0.566118508,14,5,9,5.3,98.1,0.6,12.3,17.3,0.0,0.0,0.2,100.0,1.9,1.4,2.1,5.0,0.031,-0.06
