,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2002-03,2003,Roger Mason,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,CHI,NBA,SF,17,0,6.6,0.6,1.8,0.355,0.4,1.1,0.333,0.3,0.8,0.385,0.452,0.1,0.1,1.0,0.1,0.6,0.7,0.7,0.2,0.0,0.3,1.2,1.8,113,5.0,14.1,0.355,2.7,8.2,0.333,2.3,5.9,0.385,0.9,0.9,1.0,0.9,4.5,5.4,5.4,1.8,0.0,2.3,9.1,13.6,98,108,113,7.4,0.471,0.581,0.065,2.0,9.6,5.9,16.3,1.8,0.0,13.6,14.5,0.0,0.1,0.1,0.038,-3.5,-0.8,-4.3,-0.1,82.0,19930.0,2991.0,6714.0,0.445,349.0,997.0,0.35,2642.0,5717.0,0.462,1455.0,2014.0,0.722,985.0,2541.0,3526.0,1782.0,605.0,461.0,1388.0,2028.0,7786.0,82.0,19930.0,2991.0,6817.0,0.439,431.0,1333.0,0.323,2560.0,5484.0,0.467,1794.0,2394.0,0.749,1117.0,2572.0,3689.0,1949.0,768.0,413.0,1208.0,1796.0,8207.0,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,93.5,0.3,0.148,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,804309,0,0,0,0,0,0,223,113,-0.194037474,-1.558054963,-1.752092437,0.058495596,0.058495596,0.0,-0.538985946,-1.421006363,-1.95999231,1.542337599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2003-04,2004,Roger Mason,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CHI,NBA,SG,3,0,14.3,0.3,3.7,0.091,0.3,2.0,0.167,0.0,1.7,0.0,0.136,0.0,0.0,,0.0,1.0,1.0,1.0,0.3,0.0,0.7,1.7,1.0,43,1.2,13.3,0.091,1.2,7.3,0.167,0.0,6.1,0.0,0.0,0.0,,0.0,3.6,3.6,3.6,1.2,0.0,2.4,6.1,3.6,38,108,43,-5.5,0.136,0.545,0.0,0.0,7.8,3.8,10.2,1.2,0.0,15.4,13.5,-0.2,0.0,-0.2,-0.196,-11.0,-1.6,-12.5,-0.1,82.0,19830.0,2798.0,6753.0,0.414,429.0,1256.0,0.342,2369.0,5497.0,0.431,1330.0,1834.0,0.725,1048.0,2519.0,3567.0,1793.0,659.0,396.0,1321.0,1911.0,7355.0,82.0,19830.0,2882.0,6611.0,0.436,439.0,1235.0,0.355,2443.0,5376.0,0.454,1673.0,2238.0,0.748,1011.0,2682.0,3693.0,1890.0,694.0,446.0,1250.0,1684.0,7876.0,23,59,23,59,-6.35,-0.33,-6.69,96.6,103.4,92.2,0.272,0.186,0.446,14.9,28.1,0.197,0.469,14.1,71.4,0.253,United Center,809177,0,0,0,0,0,0,605,328,-3.478337755,-0.409700457,-3.888038212,-0.184199124,-0.184199124,0.0,-3.581693312,-1.108361487,-4.690054799,1.700392251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2003-04,2004,Roger Mason,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,TOR,NBA,SG,23,3,12.4,1.3,3.8,0.356,0.5,1.4,0.364,0.8,2.3,0.352,0.425,0.8,1.0,0.864,0.0,1.2,1.2,1.0,0.4,0.3,0.8,1.3,4.0,285,6.0,16.9,0.356,2.3,6.4,0.364,3.7,10.5,0.352,3.7,4.3,0.864,0.2,5.2,5.4,4.5,1.9,1.2,3.5,6.0,18.1,91,101,285,9.7,0.481,0.379,0.253,0.4,11.0,5.7,14.5,1.9,1.5,15.7,19.5,-0.1,0.4,0.2,0.039,-3.0,0.9,-2.1,0.0,82.0,19980.0,2654.0,6348.0,0.418,461.0,1294.0,0.356,2193.0,5054.0,0.434,1237.0,1650.0,0.75,830.0,2419.0,3249.0,1574.0,604.0,402.0,1164.0,1748.0,7006.0,82.0,19980.0,2722.0,6365.0,0.428,273.0,889.0,0.307,2449.0,5476.0,0.447,1536.0,2055.0,0.747,1034.0,2662.0,3696.0,1518.0,590.0,333.0,1196.0,1619.0,7253.0,33,49,31,51,-3.01,-0.4,-3.42,97.0,100.4,86.8,0.26,0.204,0.454,14.1,23.8,0.195,0.449,14.1,70.1,0.241,Air Canada Centre,750608,0,0,0,0,0,0,605,328,-3.478337755,-0.409700457,-3.888038212,-0.184199124,-0.184199124,0.0,-3.581693312,-1.108361487,-4.690054799,1.700392251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2006-07,2007,Roger Mason,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,WAS,NBA,SG,62,0,7.9,1.0,2.9,0.33,0.5,1.6,0.324,0.4,1.2,0.338,0.422,0.2,0.3,0.875,0.1,0.6,0.7,0.6,0.2,0.1,0.3,1.1,2.7,492,6.1,18.6,0.33,3.4,10.6,0.324,2.7,8.0,0.338,1.5,1.7,0.875,0.7,3.9,4.7,3.6,1.3,0.6,2.0,6.8,17.1,95,113,492,7.2,0.443,0.57,0.089,1.6,9.1,5.3,10.9,1.3,0.9,9.3,18.3,-0.2,0.1,-0.1,-0.005,-3.1,-1.6,-4.7,-0.3,82.0,19830.0,3070.0,6820.0,0.45,561.0,1614.0,0.348,2509.0,5206.0,0.482,1855.0,2425.0,0.765,998.0,2379.0,3377.0,1660.0,635.0,375.0,1133.0,1823.0,8556.0,82.0,19830.0,3166.0,6700.0,0.473,598.0,1585.0,0.377,2568.0,5115.0,0.502,1668.0,2146.0,0.777,973.0,2551.0,3524.0,1942.0,519.0,380.0,1291.0,1927.0,8598.0,41,41,40,42,-0.51,-0.28,-0.8,110.1,110.6,94.1,0.356,0.237,0.491,12.6,28.1,0.272,0.517,14.4,71.0,0.249,Verizon Center,753283,0,0,0,0,0,0,1080,548,-1.45358175,-2.559084434,-4.012666184,-0.355875285,-0.345455802,-0.010419483,-1.433815533,-2.829182741,-4.262998274,1.125312065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2007-08,2008,Roger Mason,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,WAS,NBA,PG,80,9,21.4,3.3,7.5,0.443,1.6,4.1,0.398,1.7,3.4,0.498,0.552,0.8,0.9,0.873,0.2,1.4,1.6,1.7,0.5,0.2,0.9,1.8,9.1,1708,8.4,18.8,0.443,4.1,10.3,0.398,4.3,8.6,0.498,1.9,2.2,0.873,0.5,3.6,4.1,4.2,1.3,0.6,2.2,4.4,22.7,114,113,1708,13.8,0.573,0.545,0.118,1.1,8.0,4.5,13.2,1.3,0.9,9.9,18.9,2.8,0.6,3.4,0.096,1.2,-1.2,0.0,0.9,82.0,19905.0,2986.0,6695.0,0.446,575.0,1614.0,0.356,2411.0,5081.0,0.475,1557.0,1991.0,0.782,1007.0,2404.0,3411.0,1607.0,632.0,391.0,1082.0,1606.0,8104.0,82.0,19905.0,3015.0,6537.0,0.461,683.0,1768.0,0.386,2332.0,4769.0,0.489,1418.0,1880.0,0.754,900.0,2478.0,3378.0,1958.0,529.0,360.0,1149.0,1656.0,8131.0,43,39,40,42,-0.33,-0.28,-0.61,109.2,109.6,89.5,0.297,0.241,0.489,12.5,28.9,0.233,0.513,13.5,72.8,0.217,Verizon Center,736461,0,0,0,0,0,0,3460,1837,1.193507098,-1.77866273,-0.585155632,2.034263675,1.983057956,0.05120572,1.102565752,-1.806149235,-0.703583483,0.263581055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2008-09,2009,Roger Mason,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,SAS,NBA,SG,82,71,30.4,4.3,10.0,0.425,2.0,4.8,0.421,2.2,5.2,0.428,0.526,1.3,1.4,0.89,0.2,2.9,3.1,2.1,0.5,0.1,1.2,2.0,11.8,2496,7.6,17.9,0.425,3.6,8.6,0.421,4.0,9.3,0.428,2.3,2.6,0.89,0.3,5.1,5.5,3.8,0.9,0.3,2.2,3.5,21.1,107,107,2496,11.9,0.554,0.479,0.144,0.8,11.1,6.0,11.1,0.9,0.4,10.3,18.9,1.9,2.9,4.7,0.091,-0.7,-0.2,-0.9,0.7,82.0,19905.0,3042.0,6534.0,0.466,625.0,1620.0,0.386,2417.0,4914.0,0.492,1249.0,1641.0,0.761,728.0,2638.0,3366.0,1736.0,474.0,329.0,963.0,1546.0,7958.0,82.0,19905.0,2973.0,6568.0,0.453,447.0,1180.0,0.379,2526.0,5388.0,0.469,1257.0,1635.0,0.769,745.0,2570.0,3315.0,1481.0,531.0,352.0,961.0,1511.0,7650.0,54,28,52,30,3.76,-0.4,3.36,108.5,104.3,88.4,0.251,0.248,0.513,11.7,22.1,0.191,0.487,11.7,78.0,0.191,AT&T Center,749048,0,0,0,0,0,0,4845,2604,0.471074825,-0.874733617,-0.403658792,3.105845553,3.130017853,-0.024172301,0.48587924,-0.633551813,-0.147672572,-0.150341457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2009-10,2010,Roger Mason,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,SAS,NBA,SG,79,5,19.2,2.4,6.3,0.389,1.1,3.3,0.333,1.3,2.9,0.453,0.478,0.3,0.4,0.794,0.1,1.9,2.1,1.7,0.4,0.2,0.7,1.3,6.3,1515,6.7,17.1,0.389,3.0,9.1,0.333,3.6,8.0,0.453,0.9,1.2,0.794,0.4,5.2,5.6,4.7,1.0,0.5,2.0,3.4,17.3,101,107,1515,9.7,0.49,0.532,0.069,0.9,11.5,6.3,13.5,1.0,0.7,10.4,17.2,0.3,1.7,1.9,0.062,-1.4,0.1,-1.2,0.3,82.0,19780.0,3150.0,6659.0,0.473,554.0,1547.0,0.358,2596.0,5112.0,0.508,1458.0,1969.0,0.74,887.0,2621.0,3508.0,1829.0,516.0,381.0,1116.0,1669.0,8312.0,82.0,19780.0,3025.0,6691.0,0.452,412.0,1200.0,0.343,2613.0,5491.0,0.476,1433.0,1896.0,0.756,814.0,2427.0,3241.0,1576.0,567.0,417.0,1032.0,1672.0,7895.0,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,91.7,0.296,0.232,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,AT&T Center,741676,0,0,0,0,0,0,3045,1576,-1.201355455,-0.419190201,-1.620545656,0.893580906,1.161752952,-0.268172046,-1.061791856,-0.82565844,-1.887450297,0.217823787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2010-11,2011,Roger Mason,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NYK,NBA,SG,26,0,12.3,1.0,3.0,0.338,0.6,1.7,0.364,0.4,1.3,0.303,0.442,0.3,0.4,0.7,0.2,1.5,1.7,0.8,0.2,0.1,0.2,1.0,2.9,319,4.1,12.1,0.338,2.5,6.9,0.364,1.6,5.2,0.303,1.1,1.6,0.7,0.8,6.0,6.8,3.1,0.9,0.3,0.9,3.9,11.8,102,113,319,7.1,0.461,0.571,0.13,1.8,13.7,7.7,8.8,0.9,0.5,6.9,12.2,0.1,0.1,0.2,0.029,-2.4,-1.2,-3.6,-0.1,82.0,19780.0,3140.0,6867.0,0.457,765.0,2081.0,0.368,2375.0,4786.0,0.496,1689.0,2087.0,0.809,847.0,2470.0,3317.0,1757.0,625.0,475.0,1123.0,1743.0,8734.0,82.0,19780.0,3242.0,6870.0,0.472,536.0,1442.0,0.372,2706.0,5428.0,0.499,1650.0,2165.0,0.762,964.0,2646.0,3610.0,1682.0,586.0,360.0,1250.0,1703.0,8670.0,42,40,43,39,0.78,-0.3,0.48,110.9,110.1,95.6,0.304,0.303,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,Madison Square Garden (IV),808879,0,0,0,0,0,0,749,374,-1.503067021,-1.715498518,-3.21856554,-0.077167359,-0.226499149,0.149331789,-1.913340299,-2.323519731,-4.23686003,0.002014945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-12,2012,Roger Mason,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,WAS,NBA,SG,52,0,13.4,2.0,5.0,0.399,1.1,3.0,0.383,0.8,2.0,0.423,0.514,0.4,0.5,0.778,0.1,1.2,1.3,0.9,0.3,0.1,0.6,0.6,5.5,697,7.7,19.2,0.399,4.4,11.5,0.383,3.3,7.7,0.423,1.6,2.0,0.778,0.5,4.6,5.1,3.5,1.0,0.4,2.4,2.5,21.3,104,110,697,12.1,0.53,0.597,0.105,1.1,10.1,5.6,11.0,1.0,0.6,10.6,19.4,0.6,0.2,0.9,0.059,0.8,-1.8,-1.0,0.2,66.0,15865.0,2414.0,5475.0,0.441,344.0,1075.0,0.32,2070.0,4400.0,0.47,1008.0,1386.0,0.727,775.0,1975.0,2750.0,1262.0,527.0,417.0,1008.0,1405.0,6180.0,66.0,15865.0,2422.0,5352.0,0.453,426.0,1216.0,0.35,1996.0,4136.0,0.483,1227.0,1618.0,0.758,811.0,2062.0,2873.0,1420.0,520.0,300.0,1004.0,1231.0,6497.0,20,46,22,44,-4.8,-0.34,-5.14,101.0,106.2,92.5,0.253,0.196,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,Verizon Center,552038,0,0,0,0,0,0,1359,697,0.758369715,-2.655734385,-1.89736467,0.303131241,0.303131241,0.0,0.475651342,-3.582999842,-3.107348499,-0.02250764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012-13,2013,Roger Mason,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,NOH,NBA,SG,69,13,17.7,1.9,4.4,0.433,1.0,2.3,0.415,1.0,2.1,0.452,0.541,0.6,0.6,0.907,0.2,1.8,1.9,1.1,0.4,0.2,0.7,1.5,5.3,1219,5.9,13.6,0.433,2.9,7.1,0.415,2.9,6.5,0.452,1.7,1.9,0.907,0.5,5.4,5.9,3.3,1.2,0.5,2.3,4.6,16.4,109,112,1219,10.0,0.57,0.521,0.141,1.1,12.0,6.5,9.5,1.2,0.8,13.6,14.3,1.1,0.3,1.4,0.057,-1.3,-0.5,-1.9,0.1,82.0,19780.0,2955.0,6589.0,0.448,535.0,1474.0,0.363,2420.0,5115.0,0.473,1269.0,1636.0,0.776,988.0,2426.0,3414.0,1721.0,520.0,440.0,1193.0,1673.0,7714.0,82.0,19780.0,3030.0,6435.0,0.471,632.0,1688.0,0.374,2398.0,4747.0,0.505,1339.0,1764.0,0.759,835.0,2391.0,3226.0,1915.0,648.0,492.0,1086.0,1534.0,8031.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,0,0,0,0,0,0,2273,1219,0.270673979,-1.653175373,-1.382501394,0.852007643,0.852007643,0.0,-0.195677791,-1.801856911,-1.997534702,0.165740341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
