,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1994-95,1995,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,LAC,NBA,C,80,50,26.6,3.5,7.5,0.469,0.0,0.0,0.0,3.5,7.5,0.472,0.469,2.2,2.9,0.753,2.0,3.7,5.7,0.8,0.6,0.7,1.5,3.2,9.3,2127,6.7,14.4,0.469,0.0,0.1,0.0,6.7,14.3,0.472,4.2,5.6,0.753,3.8,7.1,10.9,1.6,1.1,1.4,2.8,6.1,17.7,103,111,2127,11.7,0.526,0.005,0.391,8.3,17.5,12.6,4.9,1.1,2.0,14.3,16.8,0.8,1.4,2.2,0.049,-2.8,-1.0,-3.9,-1.0,82.0,19880.0,3060.0,6888.0,0.444,331.0,1051.0,0.315,2729.0,5837.0,0.468,1476.0,2079.0,0.71,1064.0,2076.0,3140.0,1805.0,787.0,435.0,1334.0,2152.0,7927.0,82.0,19880.0,3207.0,6470.0,0.496,388.0,1049.0,0.37,2819.0,5421.0,0.52,1876.0,2503.0,0.75,1083.0,2536.0,3619.0,1917.0,693.0,459.0,1506.0,1905.0,8678.0,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,94.3,0.302,0.153,0.468,14.6,29.6,0.214,0.526,16.6,65.7,0.29,Los Angeles Memorial Sports Arena,438244,0,0,0.0,0.0,0.0,0.0,4227,2127,-3.609971287,-1.192810593,-4.80278188,-2.225683177,-2.225683177,0.0,-3.719578485,-1.054136732,-4.773715216,-0.083853834,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1995-96,1996,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,TOR,NBA,PF,24,20,27.5,4.2,8.2,0.51,0.0,0.0,,4.2,8.2,0.51,0.51,1.8,2.7,0.662,2.2,4.8,6.9,0.8,0.5,0.4,1.5,2.8,10.1,659,7.8,15.3,0.51,0.0,0.0,,7.8,15.3,0.51,3.4,5.1,0.662,4.1,8.9,13.0,1.4,1.0,0.7,2.7,5.2,19.0,106,112,659,12.9,0.541,0.0,0.332,9.4,20.7,15.0,4.4,1.0,1.0,13.5,17.4,0.5,0.3,0.8,0.057,-1.9,-1.7,-3.6,-0.3,82.0,19830.0,3084.0,6598.0,0.467,414.0,1168.0,0.354,2670.0,5430.0,0.492,1412.0,1953.0,0.723,1071.0,2213.0,3284.0,1927.0,745.0,493.0,1544.0,1987.0,7994.0,82.0,19830.0,3146.0,6624.0,0.475,519.0,1416.0,0.367,2627.0,5208.0,0.504,1799.0,2416.0,0.745,1098.0,2274.0,3372.0,1990.0,766.0,482.0,1326.0,1739.0,8610.0,21,61,21,61,-7.51,0.31,-7.2,103.8,111.8,93.2,0.296,0.177,0.499,17.2,32.0,0.214,0.514,14.7,66.8,0.272,SkyDome,950330,0,0,0.0,0.0,0.0,0.0,2856,1463,-1.78642588,-2.160383021,-3.946808901,-0.889812155,-0.889812155,0.0,-2.125634056,-1.959493714,-4.08512777,-0.307178017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1995-96,1996,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,PHI,NBA,PF,30,8,26.8,3.8,7.9,0.483,0.0,0.1,0.0,3.8,7.8,0.489,0.483,2.3,3.1,0.739,2.5,3.7,6.2,0.4,0.5,0.4,1.3,2.4,9.9,804,7.4,15.3,0.483,0.0,0.2,0.0,7.4,15.1,0.489,4.4,6.0,0.739,4.9,7.2,12.0,0.8,1.0,0.7,2.5,4.7,19.2,108,114,804,13.1,0.535,0.013,0.39,10.5,16.4,13.4,2.6,1.0,1.0,12.1,17.5,0.7,0.2,0.9,0.056,-1.9,-2.4,-4.3,-0.5,82.0,19730.0,2796.0,6418.0,0.436,492.0,1438.0,0.342,2304.0,4980.0,0.463,1662.0,2263.0,0.734,1031.0,2161.0,3192.0,1629.0,643.0,420.0,1414.0,1777.0,7746.0,82.0,19730.0,3284.0,6796.0,0.483,526.0,1421.0,0.37,2758.0,5375.0,0.513,1472.0,1986.0,0.741,1164.0,2478.0,3642.0,2109.0,723.0,469.0,1288.0,1912.0,8566.0,18,64,16,66,-10.0,0.55,-9.45,102.2,113.0,92.2,0.353,0.224,0.474,16.0,29.4,0.259,0.522,14.4,65.0,0.217,CoreStates Spectrum,476016,0,0,0.0,0.0,0.0,0.0,2856,1463,-1.78642588,-2.160383021,-3.946808901,-0.889812155,-0.889812155,0.0,-2.125634056,-1.959493714,-4.08512777,-0.307178017,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1996-97,1997,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NJN,NBA,PF,79,49,24.7,2.8,5.7,0.485,0.0,0.0,0.0,2.8,5.7,0.486,0.485,1.6,2.6,0.631,2.8,3.7,6.5,0.3,0.5,0.6,1.2,2.7,7.2,1954,5.8,12.0,0.485,0.0,0.0,0.0,5.8,12.0,0.486,3.5,5.5,0.631,5.9,7.8,13.7,0.6,1.0,1.3,2.4,5.8,15.1,107,110,1954,11.9,0.523,0.002,0.456,11.6,17.4,14.3,1.8,1.0,1.9,14.4,13.8,1.6,1.2,2.8,0.069,-2.6,-1.6,-4.2,-1.1,82.0,19780.0,2994.0,7091.0,0.422,484.0,1371.0,0.353,2510.0,5720.0,0.439,1502.0,2031.0,0.74,1410.0,2376.0,3786.0,1726.0,677.0,481.0,1290.0,1865.0,7974.0,82.0,19780.0,3100.0,6684.0,0.464,520.0,1398.0,0.372,2580.0,5286.0,0.488,1628.0,2185.0,0.745,1065.0,2464.0,3529.0,1925.0,675.0,516.0,1257.0,1780.0,8348.0,26,56,28,54,-4.56,0.67,-3.89,104.7,109.7,92.4,0.286,0.193,0.456,13.9,36.4,0.212,0.503,14.1,69.0,0.244,Continental Airlines Arena,670628,79,24.7,-1.36,-2.17,-3.52,-0.52,3805,1954,-1.886369355,-1.109732192,-2.996101547,-0.244446628,-0.244446628,0.0,-2.250592049,-1.181623845,-3.432215895,-0.33458944,79,26,53,24.7,107.3,3.7,15.3,25.0,0.5,12.2,0.6,21.8,9.4,7.6,7.6,22.5,0.047,0
4,1997-98,1998,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,VAN,NBA,C,61,13,14.7,2.4,5.1,0.479,0.0,0.0,,2.4,5.1,0.479,0.479,1.6,2.2,0.73,1.3,2.5,3.8,0.3,0.4,0.4,1.0,2.0,6.5,894,8.6,18.0,0.479,0.0,0.0,,8.6,18.0,0.479,5.8,8.0,0.73,4.7,8.9,13.5,1.2,1.5,1.4,3.5,7.2,23.1,104,110,894,14.9,0.536,0.0,0.443,10.3,19.5,14.9,4.0,1.5,1.9,14.0,21.4,0.8,0.4,1.3,0.067,-2.0,-2.3,-4.4,-0.5,82.0,19830.0,3006.0,6567.0,0.458,325.0,898.0,0.362,2681.0,5669.0,0.473,1586.0,2145.0,0.739,1081.0,2313.0,3394.0,1960.0,614.0,349.0,1405.0,1809.0,7923.0,82.0,19830.0,3230.0,6797.0,0.475,428.0,1111.0,0.385,2802.0,5686.0,0.493,1634.0,2233.0,0.732,1146.0,2356.0,3502.0,2101.0,836.0,538.0,1163.0,1832.0,8522.0,19,63,22,60,-7.3,-0.17,-7.47,104.1,112.0,92.1,0.327,0.137,0.482,15.8,31.5,0.242,0.507,13.0,66.9,0.24,General Motors Place,660457,61,14.7,-0.77,-3.13,-3.9,-0.6,1735,894,-2.805844222,-1.261203941,-4.067048163,-0.602493894,-0.602493894,0.0,-2.648696505,-1.211535147,-3.860231652,0.268176802,61,14,47,14.7,109.6,2.5,17.6,30.1,0.4,15.2,0.4,29.3,6.6,4.5,6.0,14.2,0.009,0
5,1998-99,1999,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,VAN,NBA,PF,43,35,26.6,4.4,9.0,0.487,0.0,0.0,0.0,4.4,9.0,0.49,0.487,2.4,3.6,0.665,1.9,4.0,6.0,0.5,0.6,0.9,1.5,2.5,11.2,1143,8.9,18.3,0.487,0.0,0.1,0.0,8.9,18.2,0.49,4.9,7.3,0.665,3.9,8.2,12.1,1.1,1.2,1.8,3.0,5.1,22.7,103,107,1143,15.9,0.527,0.005,0.399,8.4,18.2,13.2,4.0,1.2,2.5,12.3,20.9,1.3,0.5,1.8,0.076,-1.1,-1.8,-2.9,-0.2,50.0,12175.0,1643.0,3838.0,0.428,148.0,453.0,0.327,1495.0,3385.0,0.442,1009.0,1408.0,0.717,650.0,1359.0,2009.0,964.0,420.0,199.0,848.0,1123.0,4443.0,50.0,12175.0,1813.0,3917.0,0.463,229.0,653.0,0.351,1584.0,3264.0,0.485,1021.0,1400.0,0.729,673.0,1456.0,2129.0,1189.0,490.0,328.0,779.0,1165.0,4876.0,8,42,11,39,-8.66,-0.28,-8.94,98.4,107.9,89.0,0.367,0.118,0.447,16.0,30.9,0.263,0.492,14.7,66.9,0.261,General Motors Place,417966,43,26.6,-1.01,-0.68,-1.7,1.22,2144,1143,-1.454161265,-1.154409208,-2.608570473,0.082262994,0.082262994,0.0,-1.62862698,-1.184632708,-2.813259688,-0.232261522,43,7,36,26.7,106.2,4.0,16.3,27.5,0.6,12.5,0.9,35.8,10.5,8.3,10.2,25.5,0.02,0
6,1999-00,2000,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,HOU,NBA,PF,10,0,10.9,1.6,3.6,0.444,0.0,0.0,,1.6,3.6,0.444,0.444,1.4,1.6,0.875,0.7,2.0,2.7,0.3,0.2,0.5,0.9,1.3,4.6,109,7.5,16.8,0.444,0.0,0.0,,7.5,16.8,0.444,6.5,7.5,0.875,3.3,9.3,12.6,1.4,0.9,2.3,4.2,6.1,21.5,100,104,109,13.8,0.534,0.0,0.444,7.4,20.1,13.9,4.5,0.9,3.0,17.3,21.0,0.1,0.1,0.2,0.073,-2.1,-0.1,-2.3,0.0,82.0,19830.0,3001.0,6664.0,0.45,581.0,1625.0,0.358,2420.0,5039.0,0.48,1573.0,2145.0,0.733,1008.0,2586.0,3594.0,1774.0,613.0,438.0,1425.0,1663.0,8156.0,82.0,19830.0,3226.0,7074.0,0.456,350.0,990.0,0.354,2876.0,6084.0,0.473,1425.0,1829.0,0.779,1027.0,2451.0,3478.0,1863.0,735.0,433.0,1126.0,1833.0,8227.0,34,48,39,43,-0.87,0.3,-0.57,104.8,105.7,94.2,0.322,0.244,0.494,15.8,29.1,0.236,0.481,12.5,71.6,0.201,Compaq Center,624594,10,10.9,-2.24,-0.69,-2.93,-0.04,216,109,-3.377657911,-0.955625134,-4.333283046,-0.087981091,-0.087981091,0.0,-3.603409112,-1.73121804,-5.334627152,-0.072902832,10,2,8,10.8,97.9,2.0,17.1,27.4,0.2,10.5,0.5,27.8,4.4,2.8,3.7,11.0,0.048,0
7,2000-01,2001,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,VAN,NBA,PF,52,20,15.8,1.8,3.8,0.462,0.0,0.0,,1.8,3.8,0.462,0.462,0.9,1.3,0.7,1.4,2.6,4.0,0.2,0.2,0.5,0.9,2.3,4.5,823,5.9,12.7,0.462,0.0,0.0,,5.9,12.7,0.462,3.1,4.5,0.7,4.8,8.6,13.4,0.6,0.6,1.8,3.1,7.8,14.8,96,105,823,9.6,0.507,0.0,0.352,10.5,18.6,14.6,1.8,0.6,2.4,17.3,15.4,0.1,0.6,0.7,0.041,-4.5,-1.3,-5.9,-0.8,82.0,19780.0,2870.0,6539.0,0.439,325.0,947.0,0.343,2545.0,5592.0,0.455,1457.0,1892.0,0.77,894.0,2431.0,3325.0,1899.0,586.0,359.0,1291.0,1733.0,7522.0,82.0,19780.0,3143.0,6791.0,0.463,389.0,1075.0,0.362,2754.0,5716.0,0.482,1317.0,1798.0,0.732,1052.0,2534.0,3586.0,1935.0,710.0,476.0,1217.0,1768.0,7992.0,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,91.7,0.289,0.145,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,General Motors Place,563218,52,15.8,-3.05,-0.55,-3.6,-0.4,1590,823,-3.428682764,-1.483832639,-4.912515404,-0.910662781,-0.910662781,0.0,-3.724038804,-1.705362103,-5.429400907,0.267885944,52,13,39,15.7,103.5,2.6,16.6,27.7,0.2,9.5,0.5,32.9,5.0,5.4,4.4,13.5,0.031,0
8,2001-02,2002,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,34,MEM,NBA,PF,73,31,17.1,2.2,4.8,0.456,0.0,0.0,1.0,2.2,4.8,0.454,0.457,1.2,1.6,0.718,1.4,3.1,4.4,0.4,0.4,0.4,0.9,2.4,5.5,1247,6.7,14.7,0.456,0.0,0.0,1.0,6.7,14.7,0.454,3.5,4.9,0.718,4.2,9.5,13.7,1.1,1.3,1.3,2.7,7.4,17.0,99,105,1247,11.4,0.503,0.003,0.335,9.0,20.0,14.5,3.5,1.3,1.7,14.0,17.0,0.3,1.2,1.5,0.059,-3.9,-0.7,-4.6,-0.8,82.0,19780.0,2851.0,6535.0,0.436,336.0,1096.0,0.307,2515.0,5439.0,0.462,1334.0,1883.0,0.708,984.0,2413.0,3397.0,1785.0,646.0,488.0,1344.0,1571.0,7372.0,82.0,19780.0,3119.0,6829.0,0.457,398.0,1112.0,0.358,2721.0,5717.0,0.476,1346.0,1788.0,0.753,1135.0,2560.0,3695.0,1961.0,781.0,457.0,1207.0,1784.0,7982.0,23,59,20,62,-7.44,0.7,-6.74,98.2,106.3,91.1,0.288,0.168,0.462,15.4,27.8,0.204,0.486,13.7,68.0,0.197,Pyramid Arena,591030,73,17.1,-2.97,-2.34,-5.31,-2.17,2394,1247,-3.300789785,-2.351361982,-5.652151767,-1.85346081,-1.85346081,0.0,-3.674259353,-1.98219369,-5.656453043,0.350720177,73,18,55,17.1,107.1,3.1,19.1,30.7,0.4,15.8,0.4,22.6,7.1,5.3,4.7,14.7,0.023,0
9,2002-03,2003,Tony Massenburg,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,35,UTA,NBA,C,58,1,13.7,1.8,4.0,0.448,0.0,0.0,,1.8,4.0,0.448,0.448,1.1,1.4,0.774,1.0,1.7,2.7,0.3,0.3,0.3,0.9,2.5,4.7,792,7.1,15.7,0.448,0.0,0.0,,7.1,15.7,0.448,4.4,5.7,0.774,4.0,6.6,10.6,1.2,1.2,1.3,3.4,9.8,18.5,98,104,792,9.2,0.508,0.0,0.362,9.4,14.3,11.9,3.6,1.2,1.9,15.7,18.5,0.2,0.8,1.0,0.061,-5.0,-1.3,-6.4,-0.9,82.0,19780.0,2894.0,6189.0,0.468,224.0,641.0,0.349,2670.0,5548.0,0.481,1750.0,2349.0,0.745,1021.0,2381.0,3402.0,2103.0,708.0,467.0,1374.0,1837.0,7762.0,82.0,19780.0,2751.0,6346.0,0.434,437.0,1252.0,0.349,2314.0,5094.0,0.454,1627.0,2143.0,0.759,1011.0,2120.0,3131.0,1601.0,723.0,427.0,1305.0,1950.0,7566.0,47,35,48,34,2.39,0.37,2.76,105.5,102.8,89.3,0.38,0.104,0.486,16.0,32.5,0.283,0.468,15.2,70.2,0.256,Delta Center,786034,58,13.7,-2.73,-2.31,-5.03,-0.97,1622,862,-4.060537434,-2.570448156,-6.63098559,-1.727502119,-1.562652774,-0.164849345,-3.777294202,-2.049734333,-5.827028534,0.861286746,58,35,23,13.6,102.9,1.7,13.4,22.1,0.3,10.9,0.3,22.1,5.1,3.8,3.9,11.1,0.033,0
