,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1997-98,1998,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,18,TOR,NBA,SF,64,17,18.4,2.8,6.2,0.45,0.2,0.6,0.341,2.6,5.6,0.462,0.467,1.2,1.7,0.712,1.6,2.6,4.2,1.5,0.8,1.0,1.0,1.3,7.0,1179,7.9,17.5,0.45,0.6,1.8,0.341,7.3,15.7,0.462,3.5,4.9,0.712,4.6,7.2,11.8,4.3,2.2,2.7,2.9,3.8,19.8,106,109,1179,17.4,0.505,0.103,0.279,9.6,16.2,12.8,14.0,2.2,3.6,12.9,19.1,1.3,0.7,2.0,0.081,1.3,-0.7,0.6,0.8,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16,66,17,65,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,64,18.4,0.7,-1.83,-1.13,1.42,2301,1179,0.298435226,-0.152468607,0.145966619,1.729019184,1.729019184,0.0,-0.237184784,-1.071848051,-1.309032836,-0.680678682,64,13,51,18.4,107.0,2.6,13.7,24.8,0.8,21.9,1.0,28.0,6.9,7.3,8.5,18.0,0.028,0.0
1,1998-99,1999,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,TOR,NBA,SF,49,2,22.6,3.4,7.9,0.436,0.2,0.7,0.229,3.3,7.1,0.457,0.447,2.3,3.2,0.726,2.4,3.2,5.7,2.3,1.1,1.3,1.6,1.9,9.3,1106,8.2,18.8,0.436,0.4,1.7,0.229,7.8,17.1,0.457,5.6,7.7,0.726,5.9,7.7,13.6,5.5,2.5,3.2,3.9,4.6,22.4,106,100,1106,20.6,0.504,0.091,0.408,12.4,16.7,14.6,19.1,2.5,4.5,15.0,21.9,1.8,1.4,3.3,0.143,2.9,1.1,4.1,1.7,50.0,12075.0,1660.0,3940.0,0.421,226.0,662.0,0.341,1434.0,3278.0,0.437,1011.0,1330.0,0.76,712.0,1447.0,2159.0,1036.0,439.0,321.0,799.0,1139.0,4557.0,50.0,12075.0,1694.0,3855.0,0.439,255.0,686.0,0.372,1439.0,3169.0,0.454,996.0,1368.0,0.728,614.0,1393.0,2007.0,1095.0,446.0,258.0,773.0,1088.0,4639.0,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,88.8,0.338,0.168,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258,Air Canada Centre,439190,49,22.6,1.59,-0.7,0.89,3.05,2070,1106,1.898816304,1.359360007,3.258176311,3.371363527,3.371363527,0.0,1.700343197,0.586640227,2.286983424,-0.502702626,49,23,26,22.5,101.7,3.2,14.7,24.1,1.1,26.3,1.3,38.8,8.9,6.0,8.3,15.8,0.051,0.0
2,1999-00,2000,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,TOR,NBA,SF,79,34,31.2,5.8,12.9,0.451,0.2,0.8,0.277,5.6,12.1,0.463,0.46,3.5,5.0,0.707,2.4,4.0,6.3,3.3,1.1,1.9,2.0,2.5,15.4,2462,9.7,21.5,0.451,0.4,1.4,0.277,9.3,20.1,0.463,5.8,8.3,0.707,4.0,6.6,10.6,5.5,1.9,3.2,3.4,4.2,25.6,106,103,2462,20.0,0.509,0.064,0.385,8.3,14.7,11.4,18.8,1.9,4.3,11.8,24.3,3.7,2.9,6.6,0.129,2.6,0.9,3.5,3.4,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496,79,31.2,0.48,2.21,2.7,8.46,5000,2573,1.080350404,0.940282969,2.020633373,6.220936626,6.118827661,0.102108965,1.044509678,0.487098427,1.531608105,-0.486184038,79,44,35,31.1,100.8,4.0,13.0,20.7,1.1,21.8,1.9,39.2,9.5,8.8,11.6,26.1,0.097,0.0
3,2000-01,2001,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,ORL,NBA,SG,77,77,40.1,10.2,22.4,0.457,0.8,2.2,0.355,9.5,20.2,0.468,0.474,5.6,7.6,0.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8,3087,13.2,28.8,0.457,1.0,2.8,0.355,12.2,26.0,0.468,7.2,9.8,0.733,3.2,6.5,9.7,5.9,1.9,2.0,3.3,2.7,34.5,109,101,3087,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,8.3,3.9,12.2,0.189,6.5,0.5,7.0,7.0,82.0,19955.0,3013.0,6873.0,0.438,490.0,1346.0,0.364,2523.0,5527.0,0.456,1476.0,2068.0,0.714,1069.0,2450.0,3519.0,1803.0,674.0,481.0,1245.0,2071.0,7992.0,82.0,19955.0,2830.0,6499.0,0.435,366.0,1059.0,0.346,2464.0,5440.0,0.453,1885.0,2566.0,0.735,1061.0,2609.0,3670.0,1793.0,695.0,440.0,1408.0,1946.0,7911.0,43,39,44,38,0.99,-0.6,0.39,103.2,102.1,93.2,0.301,0.196,0.474,13.8,29.1,0.215,0.464,15.6,69.8,0.29,TD Waterhouse Centre,605031,77,40.1,4.22,1.64,5.86,18.49,6411,3265,4.041229209,1.945232597,5.986461806,14.47585698,13.59770285,0.878154129,4.007419017,1.83143099,5.838850007,-0.662291647,77,39,38,40.2,99.8,5.0,12.4,20.3,1.5,21.1,1.5,30.4,12.2,12.2,10.5,30.8,0.128,0.0
4,2001-02,2002,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,ORL,NBA,SG,76,76,38.3,9.4,20.9,0.451,1.4,3.7,0.364,8.1,17.1,0.47,0.483,5.5,7.3,0.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,1.8,25.6,2912,12.6,28.1,0.451,1.8,5.0,0.364,10.8,23.0,0.47,7.3,9.8,0.748,2.7,7.9,10.6,7.1,2.1,1.3,3.3,2.5,34.5,111,103,2912,25.1,0.532,0.178,0.35,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,8.1,3.4,11.5,0.189,6.4,0.4,6.8,6.4,82.0,19830.0,3087.0,6893.0,0.448,620.0,1660.0,0.373,2467.0,5233.0,0.471,1446.0,1917.0,0.754,942.0,2440.0,3382.0,1804.0,665.0,384.0,1119.0,1700.0,8240.0,82.0,19830.0,3116.0,6828.0,0.456,409.0,1161.0,0.352,2707.0,5667.0,0.478,1470.0,1994.0,0.737,1086.0,2633.0,3719.0,1930.0,659.0,384.0,1292.0,1740.0,8111.0,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,93.2,0.278,0.241,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,TD Waterhouse Centre,621121,76,38.3,5.24,-0.37,4.86,14.98,6049,3090,5.144965143,1.284104185,6.429069328,14.40920435,13.70661478,0.702589569,5.165174082,1.299615313,6.464789395,-0.474109376,76,43,33,38.3,102.9,5.9,15.3,24.5,1.6,24.4,1.0,25.0,10.8,12.1,11.5,33.9,0.102,0.0
5,2002-03,2003,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,ORL,NBA,SG,75,74,39.4,11.1,24.2,0.457,2.3,6.0,0.386,8.7,18.2,0.481,0.505,7.7,9.7,0.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,2954,14.5,31.6,0.457,3.0,7.8,0.386,11.5,23.8,0.481,10.1,12.7,0.793,2.1,6.4,8.5,7.2,2.2,1.0,3.4,2.7,42.0,116,104,2954,30.3,0.564,0.247,0.4,4.6,14.6,9.5,30.0,2.2,1.5,8.4,35.2,13.2,2.9,16.1,0.262,9.8,0.7,10.5,9.3,82.0,19805.0,2947.0,6763.0,0.436,568.0,1590.0,0.357,2379.0,5173.0,0.46,1616.0,2079.0,0.777,958.0,2392.0,3350.0,1676.0,696.0,300.0,1177.0,1888.0,8078.0,82.0,19805.0,3007.0,6602.0,0.455,405.0,1211.0,0.334,2602.0,5391.0,0.483,1648.0,2150.0,0.767,970.0,2596.0,3566.0,1837.0,643.0,411.0,1341.0,1823.0,8067.0,42,40,41,41,0.13,-0.53,-0.39,105.2,105.0,93.1,0.307,0.235,0.478,13.3,27.0,0.239,0.486,15.1,71.1,0.25,TD Waterhouse Centre,605901,75,39.4,7.52,-1.88,5.64,17.75,6366,3262,8.020701931,0.347800236,8.368502168,18.48818502,16.83368391,1.654501112,7.850746892,0.543968186,8.394715078,-0.289812895,75,39,36,39.3,104.5,4.9,13.0,20.5,1.7,23.4,0.8,26.9,12.4,11.5,10.5,33.8,0.074,0.0
6,2003-04,2004,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,ORL,NBA,SG,67,67,39.9,9.7,23.4,0.417,2.6,7.7,0.339,7.1,15.7,0.455,0.473,5.9,7.5,0.796,1.4,4.6,6.0,5.5,1.4,0.6,2.7,1.9,28.0,2675,12.9,30.9,0.417,3.4,10.1,0.339,9.5,20.8,0.455,7.9,9.9,0.796,1.9,6.1,7.9,7.3,1.8,0.8,3.5,2.5,37.1,110,110,2675,25.3,0.526,0.328,0.319,3.9,13.3,8.5,28.3,1.8,1.1,9.1,33.2,8.1,0.4,8.4,0.151,7.6,-1.2,6.4,5.7,82.0,19830.0,2904.0,6768.0,0.429,429.0,1248.0,0.344,2475.0,5520.0,0.448,1474.0,2000.0,0.737,1003.0,2350.0,3353.0,1584.0,547.0,308.0,1123.0,1744.0,7711.0,82.0,19830.0,3169.0,6804.0,0.466,491.0,1301.0,0.377,2678.0,5503.0,0.487,1458.0,1964.0,0.742,1072.0,2570.0,3642.0,2004.0,625.0,450.0,1111.0,1691.0,8287.0,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,90.8,0.296,0.184,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,TD Waterhouse Centre,589144,67,39.9,6.24,-2.28,3.97,13.48,5118,2675,6.219812678,-0.848247135,5.371565543,11.0697085,11.0697085,0.0,6.352409836,-0.562963023,5.789446813,-0.119136639,67,19,48,40.1,109.8,4.6,11.7,19.2,1.4,24.8,0.6,18.9,13.3,13.2,11.3,37.8,-0.004,0.0
7,2004-05,2005,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,HOU,NBA,SF,78,78,40.8,9.2,21.3,0.431,1.8,5.6,0.326,7.3,15.7,0.468,0.473,5.5,7.1,0.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,3182,12.2,28.2,0.431,2.4,7.4,0.326,9.7,20.8,0.468,7.3,9.5,0.774,1.2,7.0,8.2,7.6,2.3,0.9,3.4,2.8,34.0,109,101,3182,22.9,0.526,0.262,0.336,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,6.5,5.4,12.0,0.18,5.2,1.5,6.7,6.9,82.0,19855.0,2846.0,6419.0,0.443,553.0,1521.0,0.364,2293.0,4898.0,0.468,1551.0,1986.0,0.781,874.0,2601.0,3475.0,1733.0,563.0,378.0,1135.0,1807.0,7796.0,82.0,19855.0,2720.0,6423.0,0.423,454.0,1343.0,0.338,2266.0,5080.0,0.446,1571.0,2116.0,0.742,892.0,2444.0,3336.0,1696.0,607.0,335.0,1087.0,1773.0,7465.0,51,31,53,29,4.04,0.23,4.27,106.2,101.7,88.8,0.309,0.237,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,Toyota Center,663444,78,40.8,3.46,1.74,5.2,17.46,6508,3483,4.677866136,1.711061072,6.388927208,16.27846349,14.54099416,1.737469321,5.07285889,1.870984363,6.943843253,-0.106476678,78,49,29,40.9,101.0,5.3,13.1,20.0,1.7,30.3,0.7,17.2,12.7,9.8,8.7,26.3,0.152,0.0
8,2005-06,2006,Tracy McGrady,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,HOU,NBA,SF,47,47,37.1,8.7,21.5,0.406,1.6,5.0,0.312,7.2,16.5,0.434,0.442,5.4,7.2,0.747,1.0,5.6,6.5,4.8,1.3,0.9,2.6,1.9,24.4,1745,12.8,31.6,0.406,2.3,7.3,0.312,10.5,24.3,0.434,7.9,10.6,0.747,1.4,8.2,9.6,7.0,1.8,1.3,3.7,2.7,35.8,102,102,1745,21.9,0.494,0.231,0.336,3.1,17.2,10.3,28.8,1.8,1.9,9.4,35.0,1.4,2.7,4.1,0.112,4.8,0.7,5.4,3.3,82.0,19830.0,2708.0,6252.0,0.433,469.0,1414.0,0.332,2239.0,4838.0,0.463,1502.0,1980.0,0.759,849.0,2565.0,3414.0,1580.0,588.0,320.0,1193.0,1863.0,7387.0,82.0,19830.0,2708.0,6310.0,0.429,541.0,1465.0,0.369,2167.0,4845.0,0.447,1560.0,2135.0,0.731,874.0,2477.0,3351.0,1647.0,582.0,373.0,1094.0,1716.0,7517.0,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,636110,47,37.1,3.57,0.54,4.1,7.9,3236,1745,2.510075965,0.785826375,3.29590234,5.375484733,5.375484733,0.0,2.784103999,0.475812224,3.259916223,-0.122159998,47,27,20,37.1,102.4,5.6,15.3,23.1,1.3,22.6,0.9,26.5,11.0,9.0,7.8,22.5,0.126,0.0
9,2006-07,2007,Tracy McGrady,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,27,HOU,NBA,SG,71,71,35.8,9.0,20.8,0.431,1.8,5.4,0.331,7.2,15.5,0.466,0.474,4.9,6.9,0.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9,24.6,2539,13.3,30.8,0.431,2.6,7.9,0.331,10.7,22.9,0.466,7.2,10.2,0.707,1.2,6.7,7.9,9.5,1.9,0.8,4.4,2.8,36.4,106,100,2539,23.2,0.515,0.257,0.33,2.6,14.5,8.6,37.5,1.9,1.1,11.2,35.0,4.1,4.5,8.6,0.163,4.9,1.2,6.1,5.2,82.0,19855.0,2906.0,6528.0,0.445,705.0,1893.0,0.372,2201.0,4635.0,0.475,1436.0,1906.0,0.753,880.0,2673.0,3553.0,1704.0,583.0,337.0,1162.0,1710.0,7953.0,82.0,19855.0,2793.0,6503.0,0.429,472.0,1346.0,0.351,2321.0,5157.0,0.45,1497.0,2000.0,0.749,800.0,2548.0,3348.0,1588.0,571.0,353.0,1163.0,1631.0,7555.0,52,30,55,27,4.85,0.19,5.04,106.0,100.7,90.7,0.292,0.29,0.499,13.6,25.7,0.22,0.466,13.6,77.0,0.23,Toyota Center,678362,71,35.8,4.72,0.13,4.85,13.51,5370,2819,3.603182883,0.280167673,3.883350555,9.544326174,8.984859209,0.559466965,3.866184213,0.201904719,4.068088932,-0.004184856,71,50,21,35.8,99.3,4.5,12.7,18.6,1.3,24.5,0.5,15.4,10.2,8.9,6.8,23.9,0.16,0.0
