,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2009-10,2010,Jodie Meeks,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,22,MIL,NBA,SG,41,0,11.9,1.6,4.3,0.362,0.6,2.0,0.28,1.0,2.3,0.432,0.427,0.4,0.5,0.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1,486,6.9,19.1,0.362,2.5,8.8,0.28,4.4,10.2,0.432,1.9,2.3,0.857,0.5,7.2,7.8,2.4,1.4,0.4,2.2,3.6,18.2,91,104,486,8.4,0.454,0.463,0.119,1.1,16.4,8.4,7.2,1.4,0.6,9.7,19.2,-0.4,0.7,0.3,0.029,-3.1,0.1,-3.0,-0.1,82.0,19980.0,3050.0,6998.0,0.436,645.0,1813.0,0.356,2405.0,5185.0,0.464,1264.0,1675.0,0.755,965.0,2560.0,3525.0,1740.0,580.0,385.0,1085.0,1823.0,8009.0,82.0,19980.0,2870.0,6361.0,0.451,438.0,1276.0,0.343,2432.0,5085.0,0.478,1692.0,2211.0,0.765,790.0,2722.0,3512.0,1581.0,573.0,421.0,1254.0,1664.0,7870.0,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,91.7,0.239,0.259,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,Bradley Center,619453,60,12.0,0.62,-1.78,-1.15,0.84,1389,719,-0.746128714,-2.185504196,-2.93163291,-0.066300672,-0.066300672,0.0,-0.957138233,-2.704436697,-3.66157493,1.648460168,60,23,37,12.0,105.5,1.5,13.7,20.5,0.3,20.5,0.1,9.8,3.8,2.7,3.6,10.6,0.037,-1.13
1,2009-10,2010,Jodie Meeks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,PHI,NBA,SG,19,0,12.3,2.1,4.8,0.44,1.0,2.6,0.38,1.1,2.2,0.512,0.544,0.7,0.9,0.722,0.2,1.2,1.4,0.9,0.3,0.1,0.3,1.0,5.9,233,9.0,20.5,0.44,4.3,11.2,0.38,4.7,9.2,0.512,2.9,4.0,0.722,0.9,5.2,6.1,3.8,1.1,0.2,1.1,4.3,25.2,119,114,233,15.8,0.566,0.549,0.198,2.0,11.8,6.8,12.0,1.1,0.3,4.8,20.3,0.5,0.1,0.6,0.124,1.9,-1.9,0.0,0.1,82.0,19805.0,3087.0,6706.0,0.46,474.0,1381.0,0.343,2613.0,5325.0,0.491,1366.0,1808.0,0.756,941.0,2421.0,3362.0,1723.0,667.0,439.0,1192.0,1677.0,8014.0,82.0,19805.0,3105.0,6573.0,0.472,606.0,1542.0,0.393,2499.0,5031.0,0.497,1518.0,1983.0,0.766,888.0,2470.0,3358.0,1810.0,621.0,332.0,1189.0,1534.0,8334.0,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,91.6,0.27,0.206,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,Wachovia Center,583219,60,12.0,0.62,-1.78,-1.15,0.84,1389,719,-0.746128714,-2.185504196,-2.93163291,-0.066300672,-0.066300672,0.0,-0.957138233,-2.704436697,-3.66157493,1.648460168,60,23,37,12.0,105.5,1.5,13.7,20.5,0.3,20.5,0.1,9.8,3.8,2.7,3.6,10.6,0.037,-1.13
2,2010-11,2011,Jodie Meeks,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,PHI,NBA,SG,74,64,27.9,3.3,7.7,0.425,1.9,4.7,0.397,1.4,3.0,0.468,0.546,2.1,2.3,0.894,0.3,2.0,2.3,1.1,0.9,0.1,0.8,1.3,10.5,2062,6.1,14.5,0.425,3.5,8.8,0.397,2.6,5.6,0.468,3.9,4.3,0.894,0.5,3.8,4.3,2.0,1.6,0.1,1.5,2.5,19.7,116,108,2062,12.5,0.6,0.611,0.298,1.2,8.4,4.8,5.7,1.6,0.1,8.5,15.7,3.2,1.9,5.1,0.12,0.1,0.1,0.2,1.1,82.0,19930.0,3125.0,6776.0,0.461,443.0,1248.0,0.355,2682.0,5528.0,0.485,1426.0,1851.0,0.77,850.0,2578.0,3428.0,1861.0,621.0,355.0,1063.0,1592.0,8119.0,82.0,19930.0,2996.0,6638.0,0.451,468.0,1375.0,0.34,2528.0,5263.0,0.48,1536.0,1987.0,0.773,881.0,2608.0,3489.0,1762.0,583.0,376.0,1168.0,1544.0,7996.0,41,41,45,37,1.5,-0.5,1.01,106.6,105.0,91.7,0.273,0.184,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,Wells Fargo Center,604823,74,27.9,0.43,-1.16,-0.73,3.26,4212,2187,1.224965303,-0.288348464,0.936616839,4.110116309,3.859114268,0.251002041,1.056317435,-0.438958849,0.617358586,-0.261258092,74,40,34,27.9,103.4,2.0,7.6,11.5,0.9,19.3,0.1,2.3,8.3,7.1,8.1,24.7,0.098,-0.31
3,2011-12,2012,Jodie Meeks,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,PHI,NBA,SG,66,50,24.9,2.9,7.1,0.409,1.5,4.0,0.365,1.4,3.0,0.468,0.513,1.2,1.3,0.906,0.3,2.2,2.4,0.8,0.6,0.0,0.4,1.2,8.4,1644,6.2,15.2,0.409,3.2,8.7,0.365,3.1,6.5,0.468,2.5,2.8,0.906,0.6,4.7,5.2,1.8,1.3,0.1,0.9,2.7,18.1,111,103,1644,11.5,0.551,0.57,0.182,1.1,9.8,5.4,5.0,1.3,0.1,5.4,15.2,2.1,2.0,4.1,0.12,-0.8,0.1,-0.7,0.5,66.0,15915.0,2471.0,5516.0,0.448,349.0,963.0,0.362,2122.0,4553.0,0.466,889.0,1198.0,0.742,704.0,2144.0,2848.0,1453.0,526.0,340.0,738.0,1157.0,6180.0,66.0,15915.0,2263.0,5302.0,0.427,357.0,1070.0,0.334,1906.0,4232.0,0.45,1017.0,1352.0,0.752,706.0,2181.0,2887.0,1293.0,391.0,316.0,918.0,1070.0,5900.0,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,89.7,0.217,0.175,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,Wells Fargo Center,577597,66,24.9,-0.11,0.9,0.79,3.33,3298,1746,0.863398078,-0.483657833,0.379740245,2.794026085,2.592022463,0.202003622,0.552084497,-0.685027933,-0.132943436,-0.030489892,66,35,31,24.9,95.3,2.2,8.6,12.7,0.6,15.0,0.0,1.8,5.3,6.5,5.6,18.9,0.131,-0.29
4,2012-13,2013,Jodie Meeks,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,LAL,NBA,SG,78,10,21.3,2.6,6.8,0.387,1.6,4.4,0.357,1.1,2.4,0.441,0.502,1.1,1.2,0.896,0.5,1.7,2.2,0.9,0.7,0.1,0.7,1.3,7.9,1663,6.3,16.2,0.387,3.7,10.5,0.357,2.5,5.7,0.441,2.6,2.9,0.896,1.1,4.1,5.2,2.1,1.8,0.2,1.6,3.1,18.9,109,109,1663,11.4,0.54,0.645,0.181,2.5,8.7,5.7,6.4,1.8,0.2,8.3,16.7,1.9,1.1,3.0,0.085,-0.7,-0.3,-1.0,0.4,82.0,19755.0,3041.0,6640.0,0.458,715.0,2015.0,0.355,2326.0,4625.0,0.503,1584.0,2289.0,0.692,942.0,2732.0,3674.0,1818.0,576.0,429.0,1232.0,1467.0,8381.0,82.0,19755.0,3253.0,7180.0,0.453,613.0,1718.0,0.357,2640.0,5462.0,0.483,1167.0,1594.0,0.732,947.0,2551.0,3498.0,1918.0,696.0,396.0,1061.0,1891.0,8286.0,45,37,44,38,1.16,0.32,1.48,107.8,106.6,94.4,0.345,0.303,0.512,13.9,27.0,0.239,0.496,11.9,74.3,0.163,STAPLES Center,778877,78,21.3,0.71,-1.41,-0.69,2.12,3347,1683,0.738582326,-0.73773077,0.000851556,2.365414392,2.387464056,-0.022049664,0.668947397,-0.845844662,-0.176897265,0.219016755,78,45,33,21.3,104.9,1.7,7.6,11.7,0.7,23.3,0.1,2.8,6.8,6.8,6.5,19.3,0.055,-1.06
5,2013-14,2014,Jodie Meeks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,LAL,NBA,SG,77,70,33.2,5.4,11.6,0.463,2.1,5.2,0.401,3.3,6.3,0.514,0.554,2.9,3.4,0.857,0.4,2.1,2.5,1.8,1.4,0.1,1.4,1.5,15.7,2556,7.9,17.0,0.463,3.1,7.7,0.401,4.8,9.3,0.514,4.2,4.9,0.857,0.6,3.1,3.7,2.6,2.1,0.1,2.1,2.3,23.0,112,113,2556,14.7,0.601,0.453,0.289,1.3,6.9,4.1,8.5,2.1,0.1,9.9,19.1,3.8,0.7,4.5,0.084,0.4,-0.5,-0.1,1.2,82.0,19705.0,3139.0,6980.0,0.45,774.0,2032.0,0.381,2365.0,4948.0,0.478,1390.0,1835.0,0.757,745.0,2620.0,3365.0,2006.0,611.0,446.0,1239.0,1627.0,8442.0,82.0,19705.0,3440.0,7350.0,0.468,666.0,1843.0,0.361,2774.0,5507.0,0.504,1412.0,1942.0,0.727,1068.0,2950.0,4018.0,2112.0,790.0,387.0,1164.0,1580.0,8958.0,27,55,25,57,-6.29,0.96,-5.33,104.2,110.6,98.7,0.263,0.291,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192,STAPLES Center,771974,77,33.2,2.5,-3.39,-0.89,3.44,5378,2556,0.681350787,-1.251917601,-0.570566814,2.878434715,2.878434715,0.0,0.589748996,-0.867239674,-0.277490678,1.22498819,77,25,52,33.2,110.8,2.1,6.1,9.9,1.4,28.2,0.1,1.4,12.4,10.7,12.6,36.2,0.035,-2.87
6,2014-15,2015,Jodie Meeks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,DET,NBA,SG,60,0,24.4,3.7,8.9,0.416,1.2,3.5,0.349,2.5,5.4,0.46,0.485,2.4,2.7,0.906,0.2,1.5,1.7,1.3,1.0,0.1,1.0,1.3,11.1,1462,7.9,18.9,0.416,2.6,7.5,0.349,5.2,11.4,0.46,5.1,5.7,0.906,0.4,3.3,3.7,2.8,2.1,0.2,2.0,2.7,23.5,110,109,1462,14.1,0.548,0.397,0.3,0.9,7.1,3.9,8.8,2.1,0.3,8.6,20.1,2.2,0.9,3.1,0.103,-0.3,-0.2,-0.5,0.5,82.0,19830.0,3041.0,7038.0,0.432,703.0,2043.0,0.344,2338.0,4995.0,0.468,1292.0,1838.0,0.703,1051.0,2630.0,3681.0,1771.0,623.0,383.0,1099.0,1559.0,8077.0,82.0,19830.0,3106.0,6817.0,0.456,635.0,1789.0,0.355,2471.0,5028.0,0.491,1312.0,1699.0,0.772,877.0,2740.0,3617.0,1949.0,572.0,391.0,1146.0,1584.0,8159.0,32,50,38,44,-1.0,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192,The Palace of Auburn Hills,625917,60,24.4,0.34,-0.17,0.17,2.84,2906,1462,-0.118079246,-0.644054961,-0.762134207,1.492346887,1.492346887,0.0,-0.067215422,-0.977446716,-1.044662138,0.619118117,60,29,31,24.4,105.5,1.5,6.3,9.7,1.0,24.1,0.1,4.1,8.5,7.3,5.9,22.5,0.058,-1.12
7,2015-16,2016,Jodie Meeks,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,DET,NBA,SG,3,0,14.3,2.3,6.7,0.35,1.3,3.0,0.444,1.0,3.7,0.273,0.45,1.3,1.3,1.0,0.3,1.3,1.7,1.0,0.0,0.0,0.3,0.7,7.3,43,8.2,23.5,0.35,4.7,10.6,0.444,3.5,12.9,0.273,4.7,4.7,1.0,1.2,4.7,5.9,3.5,0.0,0.0,1.2,2.3,25.8,111,111,43,13.5,0.506,0.45,0.2,2.4,10.6,6.3,11.3,0.0,0.0,4.4,23.1,0.1,0.0,0.1,0.107,-0.2,-2.8,-2.9,0.0,82.0,19880.0,3111.0,7087.0,0.439,740.0,2148.0,0.345,2371.0,4939.0,0.48,1399.0,2095.0,0.668,1021.0,2777.0,3798.0,1594.0,573.0,304.0,1110.0,1557.0,8361.0,82.0,19880.0,3182.0,6903.0,0.461,596.0,1679.0,0.355,2586.0,5224.0,0.495,1351.0,1726.0,0.783,725.0,2763.0,3488.0,1766.0,583.0,366.0,1099.0,1773.0,8311.0,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,95.1,0.296,0.303,0.491,12.2,27.0,0.197,0.504,12.5,79.3,0.196,The Palace of Auburn Hills,677138,3,14.3,0.82,0.1,0.92,0.1,88,45,5.458972099,5.609621502,11.0685936,0.315371972,0.323082526,-0.007710553,6.646181447,3.333110015,9.979291461,-0.630013368,3,3,0,14.5,92.7,1.3,8.9,11.8,0.0,0.0,0.0,0.0,5.0,3.3,2.3,12.7,0.09,0.17
8,2016-17,2017,Jodie Meeks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,ORL,NBA,SG,36,10,20.5,2.9,7.1,0.402,1.6,3.8,0.409,1.3,3.3,0.395,0.512,1.8,2.1,0.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,738,6.9,17.2,0.402,3.8,9.2,0.409,3.2,8.0,0.395,4.4,5.0,0.878,0.3,4.8,5.2,3.0,2.3,0.3,2.4,2.8,22.0,107,111,738,13.1,0.567,0.535,0.289,0.7,10.9,5.7,9.3,2.3,0.4,11.1,19.4,0.5,0.6,1.1,0.073,-1.3,-0.4,-1.8,0.1,82.0,19805.0,3139.0,7133.0,0.44,701.0,2139.0,0.328,2438.0,4994.0,0.488,1309.0,1753.0,0.747,807.0,2734.0,3541.0,1820.0,580.0,396.0,1091.0,1584.0,8288.0,82.0,19805.0,3304.0,7081.0,0.467,794.0,2161.0,0.367,2510.0,4920.0,0.51,1425.0,1860.0,0.766,799.0,2934.0,3733.0,1936.0,622.0,419.0,1069.0,1532.0,8827.0,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,96.8,0.246,0.3,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,727875,36,20.5,1.12,-2.6,-1.48,0.19,1525,738,0.670853464,0.018317878,0.689171342,1.30794813,1.30794813,0.0,0.285904017,-0.622908294,-0.337004277,0.985132261,36,14,22,20.5,111.7,2.0,10.0,14.9,0.9,28.3,0.1,5.6,6.6,5.5,5.5,21.3,0.032,-1.08
9,2017-18,2018,Jodie Meeks,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,WAS,NBA,SG,77,0,14.5,2.0,5.1,0.399,0.9,2.7,0.343,1.1,2.4,0.464,0.491,1.3,1.5,0.863,0.2,1.4,1.6,0.9,0.4,0.1,0.5,0.7,6.3,1119,7.0,17.4,0.399,3.2,9.3,0.343,3.8,8.1,0.464,4.5,5.2,0.863,0.7,4.9,5.6,3.1,1.3,0.2,1.6,2.4,21.6,111,112,1119,12.4,0.548,0.534,0.298,1.5,11.2,6.4,9.1,1.3,0.3,7.7,19.0,1.3,0.8,2.0,0.087,-0.3,-0.8,-1.1,0.3,82.0,19855.0,3275.0,7018.0,0.467,814.0,2173.0,0.375,2461.0,4845.0,0.508,1378.0,1786.0,0.772,823.0,2713.0,3536.0,2065.0,645.0,353.0,1196.0,1746.0,8742.0,82.0,19855.0,3195.0,6918.0,0.462,835.0,2393.0,0.349,2360.0,4525.0,0.522,1469.0,1931.0,0.761,805.0,2682.0,3487.0,1831.0,641.0,383.0,1224.0,1639.0,8694.0,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,96.6,0.254,0.31,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,739302,77,14.5,0.97,-1.92,-0.95,0.4,2330,1119,-0.253067632,-2.077701641,-2.330769273,0.240045906,0.240045906,0.0,-0.341459327,-2.772723357,-3.114182683,0.290653224,77,41,36,14.5,109.2,1.4,10.2,15.2,0.4,17.2,0.1,5.1,5.2,4.0,3.2,13.8,0.033,-1.72
