,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2003-04,2004,Darko Miličić,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,18,DET,NBA,C,34,0,4.7,0.5,1.9,0.262,0.0,0.0,0.0,0.5,1.9,0.266,0.262,0.4,0.7,0.583,0.3,0.9,1.3,0.2,0.2,0.4,0.4,1.0,1.4,159,5.8,22.3,0.262,0.0,0.3,0.0,5.8,22.0,0.266,4.8,8.2,0.583,3.8,11.0,14.8,2.4,2.4,5.2,4.5,11.3,16.5,69,88,159,6.1,0.318,0.015,0.369,8.1,22.9,15.6,7.5,2.4,7.2,14.7,26.0,-0.6,0.5,-0.2,-0.049,-11.6,1.2,-10.4,-0.3,82.0,19780,2747,6314,0.435,333,968,0.344,2414,5346,0.452,1561,2074,0.753,1014,2492,3506,1702,659,570,1241,1664,7388,82.0,19780,2633,6378,0.413,356,1180,0.302,2277,5198,0.438,1287,1730,0.744,980,2353,3333,1561,649,410,1310,1877,6909,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,87.9,0.328,0.153,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,The Palace of Auburn Hills,872902,0,0,0,0,0,0,320,173,-9.355453284,1.236296682,-8.119156602,-0.491704784,-0.328926456,-0.162778328,-8.233398371,1.137749735,-7.095648636,1.533409057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2004-05,2005,Darko Miličić,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,19,DET,NBA,C,37,2,6.9,0.7,2.1,0.329,0.0,0.0,,0.7,2.1,0.329,0.329,0.5,0.6,0.708,0.1,1.1,1.2,0.2,0.1,0.5,0.4,0.8,1.8,254,5.4,16.5,0.329,0.0,0.0,,5.4,16.5,0.329,3.7,5.2,0.708,0.7,8.7,9.3,1.5,0.4,3.7,3.5,6.7,14.5,75,100,254,4.7,0.387,0.0,0.316,1.4,18.3,9.9,4.5,0.4,5.1,15.6,19.0,-0.6,0.4,-0.2,-0.031,-9.0,1.1,-7.9,-0.4,82.0,19955,2851,6421,0.444,363,1053,0.345,2488,5368,0.463,1588,2150,0.739,1054,2507,3561,1787,576,497,1133,1638,7653,82.0,19955,2791,6496,0.43,410,1213,0.338,2381,5283,0.451,1344,1790,0.751,928,2321,3249,1618,610,367,1135,1851,7336,54,28,53,29,3.87,-0.55,3.31,105.6,101.2,87.2,0.335,0.164,0.472,13.3,31.2,0.247,0.461,13.5,73.0,0.207,The Palace of Auburn Hills,905116,0,0,0,0,0,0,505,275,-8.386003066,0.401164817,-7.984838249,-0.737179934,-0.687380985,-0.049798949,-8.198080396,-1.151455494,-9.34953589,0.16332758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2005-06,2006,Darko Miličić,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,20,DET,NBA,C,25,0,5.6,0.7,1.3,0.515,0.0,0.1,0.0,0.7,1.2,0.548,0.515,0.1,0.3,0.375,0.4,0.7,1.1,0.4,0.1,0.6,0.6,1.0,1.5,140,6.7,13.0,0.515,0.0,0.8,0.0,6.7,12.2,0.548,1.2,3.2,0.375,4.0,7.1,11.1,3.6,1.2,5.9,5.9,9.9,14.6,84,99,140,10.1,0.507,0.061,0.242,8.4,15.5,11.9,10.2,1.2,7.8,29.1,17.5,-0.2,0.3,0.0,0.016,-6.9,3.5,-3.4,0.0,82.0,19830,2983,6558,0.455,557,1451,0.384,2426,5107,0.475,1418,1950,0.727,975,2347,3322,1971,580,490,931,1513,7941,82.0,19830,2915,6450,0.452,329,1012,0.325,2586,5438,0.476,1235,1677,0.736,951,2399,3350,1541,481,285,1145,1726,7394,64,18,60,22,6.67,-0.44,6.24,110.8,103.1,86.8,0.297,0.221,0.497,11.2,28.9,0.216,0.477,13.7,71.2,0.191,The Palace of Auburn Hills,905116,0,0,0,0,0,0,1423,767,-3.934987164,-0.17183459,-4.106821754,-0.541652516,-0.541652516,0.0,-3.668027765,-0.757289665,-4.42531743,0.290210416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2005-06,2006,Darko Miličić,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,ORL,NBA,C,30,1,20.9,3.4,6.7,0.507,0.0,0.0,,3.4,6.7,0.507,0.507,0.8,1.4,0.595,1.1,3.0,4.1,1.1,0.4,2.1,1.2,2.2,7.6,627,8.8,17.4,0.507,0.0,0.0,,8.8,17.4,0.507,2.2,3.6,0.595,2.9,7.7,10.7,2.8,1.0,5.4,3.1,5.8,19.9,101,103,627,16.3,0.522,0.0,0.209,6.9,17.1,12.1,9.0,1.0,7.8,14.1,19.3,0.3,0.9,1.1,0.086,-1.3,1.8,0.6,0.4,82.0,19905,2911,6167,0.472,299,796,0.376,2612,5371,0.486,1663,2277,0.73,892,2402,3294,1495,532,362,1240,1908,7784,82.0,19905,2870,6327,0.454,460,1287,0.357,2410,5040,0.478,1672,2285,0.732,911,2239,3150,1644,615,386,1099,1899,7872,36,46,38,44,-1.07,-0.18,-1.26,106.3,107.5,88.3,0.369,0.129,0.496,14.7,28.5,0.27,0.49,13.0,72.5,0.264,TD Waterhouse Centre,638005,0,0,0,0,0,0,1423,767,-3.934987164,-0.17183459,-4.106821754,-0.541652516,-0.541652516,0.0,-3.668027765,-0.757289665,-4.42531743,0.290210416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2006-07,2007,Darko Miličić,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,ORL,NBA,PF,80,16,23.9,3.1,6.9,0.454,0.0,0.0,0.0,3.1,6.8,0.455,0.454,1.8,2.9,0.613,1.8,3.7,5.5,1.1,0.6,1.8,1.6,2.7,8.0,1913,7.0,15.3,0.454,0.0,0.0,0.0,7.0,15.3,0.455,3.9,6.4,0.613,4.0,8.2,12.2,2.5,1.2,3.9,3.5,6.1,17.8,98,101,1913,13.8,0.492,0.002,0.42,9.6,18.4,14.1,7.9,1.2,5.9,16.0,18.7,0.0,3.3,3.3,0.082,-2.1,1.5,-0.5,0.7,82.0,19780,2875,6090,0.472,342,962,0.356,2533,5128,0.494,1679,2393,0.702,920,2418,3338,1525,565,416,1392,1904,7771,82.0,19780,2739,6191,0.442,461,1306,0.353,2278,4885,0.466,1768,2327,0.76,865,2217,3082,1609,678,376,1232,1921,7707,40,42,43,39,0.78,-0.43,0.35,104.9,104.1,89.9,0.393,0.158,0.5,16.3,29.3,0.276,0.48,14.6,73.7,0.286,Amway Arena,700887,0,0,0,0,0,0,3831,2028,-2.123881369,1.578461729,-0.545419639,2.301127627,1.887807363,0.413320264,-2.034126202,1.202525142,-0.83160106,-0.176521722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2007-08,2008,Darko Miličić,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,MEM,NBA,C,70,64,23.8,3.1,7.1,0.438,0.0,0.0,0.0,3.1,7.1,0.439,0.438,1.0,1.7,0.554,1.8,4.2,6.1,0.8,0.5,1.6,1.4,2.6,7.2,1663,6.6,15.1,0.438,0.0,0.0,0.0,6.6,15.1,0.439,2.0,3.7,0.554,3.8,9.0,12.8,1.8,1.0,3.5,3.1,5.6,15.3,91,108,1663,11.0,0.456,0.002,0.242,8.5,20.2,14.3,5.4,1.0,5.0,15.4,17.5,-1.4,1.6,0.2,0.006,-4.0,0.2,-3.8,-0.8,82.0,19805,3060,6737,0.454,620,1779,0.349,2440,4958,0.492,1517,2097,0.723,848,2567,3415,1574,503,386,1251,1592,8257,82.0,19805,3394,7076,0.48,591,1625,0.364,2803,5451,0.514,1387,1791,0.774,932,2721,3653,1963,711,403,1096,1842,8766,22,60,25,57,-6.21,0.45,-5.76,105.0,111.4,95.3,0.311,0.264,0.5,14.0,23.8,0.225,0.521,12.2,73.4,0.196,FedEx Forum,523578,0,0,0,0,0,0,3340,1663,-5.506025287,1.245297395,-4.260727892,-1.278641191,-1.278641191,0.0,-5.173535672,0.985130388,-4.188405284,-0.230265683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2008-09,2009,Darko Miličić,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MEM,NBA,C,61,15,17.0,2.2,4.4,0.515,0.0,0.0,,2.2,4.4,0.515,0.515,1.0,1.7,0.562,1.4,3.0,4.3,0.6,0.4,0.8,0.8,2.2,5.5,1034,7.1,13.7,0.515,0.0,0.0,,7.1,13.7,0.515,3.0,5.4,0.562,4.3,9.3,13.6,1.8,1.1,2.6,2.5,6.9,17.1,106,107,1034,13.8,0.533,0.0,0.395,9.7,21.8,15.7,5.6,1.1,4.0,13.3,16.3,0.7,1.2,1.9,0.088,-2.2,0.2,-2.0,0.0,82.0,19805,2865,6311,0.454,398,1106,0.36,2467,5205,0.474,1570,2077,0.756,847,2337,3184,1423,615,385,1252,1777,7698,82.0,19805,3018,6378,0.473,536,1510,0.355,2482,4868,0.51,1574,2043,0.77,842,2431,3273,1735,632,443,1194,1786,8146,24,58,26,56,-5.46,0.24,-5.23,103.5,109.5,90.1,0.329,0.175,0.486,14.8,25.8,0.249,0.515,14.1,73.5,0.247,FedEx Forum,519895,0,0,0,0,0,0,1963,1034,-2.81558718,0.727210725,-2.088376455,0.349473313,0.349473313,0.0,-2.975326797,0.409832286,-2.56549451,0.115905464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2009-10,2010,Darko Miličić,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,NYK,NBA,C,8,0,8.9,1.0,2.1,0.471,0.0,0.0,,1.0,2.1,0.471,0.471,0.0,0.0,,0.6,1.6,2.3,0.5,0.5,0.1,0.3,0.9,2.0,71,5.8,12.2,0.471,0.0,0.0,,5.8,12.2,0.471,0.0,0.0,,3.6,9.4,12.9,2.9,2.9,0.7,1.4,5.0,11.5,104,107,71,12.1,0.471,0.0,0.0,7.9,21.2,14.4,8.4,2.9,1.1,10.5,12.1,0.0,0.1,0.1,0.073,-2.2,0.4,-1.8,0.0,82.0,19880,3127,6876,0.455,743,2145,0.346,2384,4731,0.504,1376,1759,0.782,836,2477,3313,1772,586,305,1148,1638,8373,82.0,19880,3352,6902,0.486,553,1571,0.352,2799,5331,0.525,1429,1896,0.754,959,2724,3683,1723,585,368,1182,1576,8686,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,94.0,0.256,0.312,0.509,13.0,23.5,0.2,0.526,13.3,72.1,0.207,Madison Square Garden (IV),799550,0,0,0,0,0,0,1384,685,-2.793240232,-0.068821388,-2.862061619,-0.038211007,-0.038211007,0.0,-2.727054294,0.393167261,-2.333887033,0.137685273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2009-10,2010,Darko Miličić,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MIN,NBA,C,24,18,25.6,3.8,7.8,0.492,0.0,0.0,0.0,3.8,7.8,0.495,0.492,0.6,1.2,0.536,1.8,3.8,5.5,1.8,0.8,1.4,1.4,3.1,8.3,614,7.5,15.2,0.492,0.0,0.1,0.0,7.5,15.1,0.495,1.2,2.3,0.536,3.4,7.4,10.8,3.5,1.5,2.7,2.7,6.1,16.2,100,109,614,12.9,0.499,0.005,0.15,7.5,16.9,12.1,11.0,1.5,4.0,14.2,16.4,0.1,0.5,0.6,0.048,-2.4,0.7,-1.7,0.0,82.0,19780,3106,6923,0.449,403,1181,0.341,2703,5742,0.471,1436,1926,0.746,962,2556,3518,1626,597,306,1333,1699,8051,82.0,19780,3343,6961,0.48,618,1690,0.366,2725,5271,0.517,1534,1981,0.774,917,2640,3557,2103,721,442,1173,1686,8838,15,67,17,65,-9.6,0.54,-9.06,101.7,111.6,96.1,0.278,0.171,0.478,14.6,26.7,0.207,0.525,13.0,73.6,0.22,Target Center,619170,0,0,0,0,0,0,1384,685,-2.793240232,-0.068821388,-2.862061619,-0.038211007,-0.038211007,0.0,-2.727054294,0.393167261,-2.333887033,0.137685273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2010-11,2011,Darko Miličić,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,MIN,NBA,C,69,69,24.4,3.9,8.4,0.469,0.0,0.0,,3.9,8.4,0.469,0.469,0.9,1.7,0.557,1.9,3.3,5.2,1.5,0.8,2.0,2.2,3.3,8.8,1686,8.0,17.1,0.469,0.0,0.0,,8.0,17.1,0.469,1.9,3.4,0.557,3.9,6.7,10.6,3.1,1.6,4.1,4.5,6.8,17.9,91,107,1686,12.2,0.482,0.0,0.199,8.5,15.4,11.8,9.9,1.6,6.3,19.4,19.7,-1.5,1.7,0.2,0.007,-3.9,1.3,-2.7,-0.3,82.0,19780,3090,7014,0.441,589,1565,0.376,2501,5449,0.459,1519,1977,0.768,1085,2556,3641,1650,592,422,1398,1825,8288,82.0,19780,3230,6902,0.468,639,1707,0.374,2591,5195,0.499,1733,2227,0.778,913,2577,3490,2031,777,447,1183,1717,8832,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,96.5,0.282,0.223,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,Target Center,624960,0,0,0,0,0,0,3428,1686,-5.093876952,0.980950199,-4.112926752,-1.173485484,-1.173485484,0.0,-4.593544094,0.982859193,-3.6106849,0.087417099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
