,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1998-99,1999,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,PHI,NBA,C,26,0,4.7,0.6,1.6,0.357,0.0,0.0,,0.6,1.6,0.357,0.357,0.5,0.8,0.571,0.7,0.7,1.4,0.1,0.2,0.2,0.5,0.8,1.6,121,6.7,18.8,0.357,0.0,0.0,,6.7,18.8,0.357,5.4,9.4,0.571,8.1,8.5,16.6,0.9,2.2,1.8,5.4,9.8,18.8,84,96,121,10.0,0.41,0.0,0.5,17.0,18.6,17.8,3.0,2.2,2.6,19.0,23.7,-0.2,0.2,0.0,0.013,-5.8,-1.7,-7.5,-0.2,50.0,12150.0,1656.0,3883.0,0.426,98.0,371.0,0.264,1558.0,3512.0,0.444,1073.0,1486.0,0.722,729.0,1428.0,2157.0,934.0,542.0,271.0,822.0,1152.0,4483.0,50.0,12150.0,1599.0,3784.0,0.423,241.0,716.0,0.337,1358.0,3068.0,0.443,941.0,1288.0,0.731,619.0,1402.0,2021.0,999.0,435.0,263.0,896.0,1185.0,4380.0,28,22,29,21,2.06,0.5,2.56,99.9,97.6,88.6,0.383,0.096,0.439,15.3,34.2,0.276,0.454,17.1,69.8,0.249,First Union Center,436444,26,4.7,-1.97,-0.06,-2.03,0.1,231,124,-5.862267299,0.459847351,-5.402419948,-0.170572537,-0.158795273,-0.011777265,-5.34419281,-0.421548669,-5.765741478,0.984720424,26,17,9,4.6,83.4,0.7,13.6,23.5,0.2,16.7,0.2,30.8,1.9,1.0,1.1,3.1,0.043,0.0
1,1999-00,2000,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,PHI,NBA,C,28,3,6.8,0.8,1.9,0.389,0.0,0.0,,0.8,1.9,0.389,0.389,0.4,0.8,0.545,0.6,1.2,1.8,0.1,0.1,0.4,0.6,1.0,1.9,190,5.7,14.7,0.389,0.0,0.0,,5.7,14.7,0.389,3.3,6.0,0.545,4.4,9.3,13.6,0.5,1.1,3.3,4.9,7.9,14.7,78,98,190,7.0,0.424,0.0,0.407,9.2,20.1,14.5,1.6,1.1,4.6,22.0,18.9,-0.4,0.3,-0.1,-0.016,-6.8,-0.1,-7.0,-0.2,82.0,19830.0,2993.0,6776.0,0.442,208.0,643.0,0.323,2785.0,6133.0,0.454,1577.0,2226.0,0.708,1147.0,2468.0,3615.0,1817.0,791.0,386.0,1284.0,1939.0,7771.0,82.0,19830.0,2867.0,6595.0,0.435,417.0,1172.0,0.356,2450.0,5423.0,0.452,1510.0,2001.0,0.755,1065.0,2501.0,3566.0,1828.0,631.0,531.0,1444.0,1977.0,7661.0,49,33,45,37,1.34,-0.32,1.02,101.5,100.0,92.7,0.329,0.095,0.457,14.2,31.4,0.233,0.466,16.2,69.9,0.229,First Union Center,756956,28,6.8,-4.34,-0.56,-4.9,-0.31,371,190,-8.006357166,0.572806999,-7.433550166,-0.456935276,-0.456935276,0.0,-7.628804004,-0.850277117,-8.479081121,0.606238255,28,17,11,6.8,95.0,1.2,16.8,27.2,0.1,10.5,0.4,37.5,2.4,1.7,2.1,5.6,0.036,0.0
2,2000-01,2001,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,PHI,NBA,C,30,3,6.5,1.4,2.9,0.466,0.0,0.0,,1.4,2.9,0.466,0.466,0.5,0.9,0.5,0.6,1.2,1.8,0.1,0.2,0.2,0.3,1.3,3.2,196,11.1,23.8,0.466,0.0,0.0,,11.1,23.8,0.466,3.8,7.6,0.5,4.9,10.0,14.9,0.5,1.6,1.9,2.4,10.8,26.0,98,96,196,15.3,0.478,0.0,0.318,10.6,20.9,15.9,2.0,1.6,2.6,8.2,25.2,0.1,0.4,0.5,0.116,-3.4,-0.5,-3.9,-0.1,82.0,19855.0,2902.0,6487.0,0.447,262.0,803.0,0.326,2640.0,5684.0,0.464,1697.0,2277.0,0.745,1075.0,2600.0,3675.0,1692.0,690.0,408.0,1292.0,1673.0,7763.0,82.0,19855.0,2871.0,6699.0,0.429,427.0,1248.0,0.342,2444.0,5451.0,0.448,1243.0,1660.0,0.749,985.0,2366.0,3351.0,1771.0,672.0,458.0,1261.0,1938.0,7412.0,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,90.6,0.351,0.124,0.468,14.7,31.2,0.262,0.46,14.5,72.5,0.186,First Union Center,805692,58,15.7,0.76,-1.26,-0.5,1.46,1761,912,-0.665758293,-0.996524415,-1.662282707,0.4993903,0.4993903,0.0,-0.5450348,-0.71007975,-1.255114549,0.149401991,58,30,28,15.8,101.5,3.3,21.1,32.7,0.5,17.1,0.6,45.5,6.0,4.4,4.1,12.5,0.043,0.0
3,2000-01,2001,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,ATL,NBA,C,28,19,25.6,4.8,10.0,0.48,0.0,0.0,0.0,4.8,10.0,0.482,0.48,2.7,3.5,0.765,3.5,5.5,9.0,0.6,0.8,1.0,2.0,2.6,12.3,716,9.8,20.5,0.48,0.0,0.1,0.0,9.8,20.4,0.482,5.5,7.1,0.765,7.1,11.3,18.4,1.2,1.7,2.0,4.0,5.3,25.2,104,100,716,20.3,0.532,0.004,0.349,15.0,24.3,19.6,4.4,1.7,2.8,14.5,23.7,1.0,1.0,2.0,0.133,0.7,-1.5,-0.9,0.2,82.0,19730.0,2876.0,6668.0,0.431,333.0,933.0,0.357,2543.0,5735.0,0.443,1374.0,1811.0,0.759,1028.0,2490.0,3518.0,1559.0,634.0,387.0,1368.0,1863.0,7459.0,82.0,19730.0,2922.0,6609.0,0.442,396.0,1080.0,0.367,2526.0,5529.0,0.457,1646.0,2153.0,0.765,1029.0,2534.0,3563.0,1737.0,698.0,513.0,1212.0,1696.0,7886.0,25,57,26,56,-5.21,-0.34,-5.55,98.7,104.3,91.9,0.272,0.14,0.456,15.5,28.9,0.206,0.472,13.8,70.8,0.249,Philips Arena,560330,58,15.7,0.76,-1.26,-0.5,1.46,1761,912,-0.665758293,-0.996524415,-1.662282707,0.4993903,0.4993903,0.0,-0.5450348,-0.71007975,-1.255114549,0.149401991,58,30,28,15.8,101.5,3.3,21.1,32.7,0.5,17.1,0.6,45.5,6.0,4.4,4.1,12.5,0.043,0.0
4,2001-02,2002,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,ATL,NBA,C,82,73,26.4,4.0,8.7,0.461,0.0,0.0,0.0,4.0,8.7,0.462,0.461,1.7,2.7,0.617,3.0,5.0,7.9,0.4,0.8,0.7,1.4,3.1,9.7,2168,7.9,17.2,0.461,0.0,0.0,0.0,7.9,17.2,0.462,3.3,5.3,0.617,5.8,9.9,15.7,0.8,1.5,1.5,2.8,6.1,19.2,100,104,2168,14.0,0.49,0.001,0.311,12.7,21.6,17.1,2.6,1.5,2.1,12.7,19.4,0.9,2.4,3.3,0.072,-2.2,-1.6,-3.8,-1.0,82.0,19780.0,2901.0,6610.0,0.439,423.0,1194.0,0.354,2478.0,5416.0,0.458,1486.0,1942.0,0.765,955.0,2445.0,3400.0,1656.0,667.0,350.0,1275.0,1702.0,7711.0,82.0,19780.0,3065.0,6675.0,0.459,472.0,1329.0,0.355,2593.0,5346.0,0.485,1456.0,1957.0,0.744,1004.0,2523.0,3527.0,1856.0,705.0,509.0,1239.0,1647.0,8058.0,33,49,29,53,-4.23,-0.18,-4.41,101.8,106.4,91.9,0.294,0.181,0.471,14.6,27.5,0.225,0.495,14.1,70.9,0.218,Philips Arena,506110,82,26.4,-1.63,-1.77,-3.4,-1.1,4198,2168,-2.887748015,-1.183432193,-4.071180208,-1.461379991,-1.461379991,0.0,-2.612582969,-0.594951454,-3.207534423,0.000288592,82,33,49,26.5,105.6,5.0,19.4,29.9,0.8,17.0,0.7,30.7,10.0,7.7,9.5,23.0,0.048,0.0
5,2002-03,2003,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,ATL,NBA,C,35,0,12.7,1.9,4.5,0.421,0.0,0.0,,1.9,4.5,0.421,0.421,0.7,1.2,0.634,1.3,2.3,3.7,0.2,0.5,0.6,0.7,2.3,4.6,445,7.9,18.9,0.421,0.0,0.0,,7.9,18.9,0.421,3.1,4.9,0.634,5.6,9.7,15.3,0.7,1.9,2.5,3.0,9.4,19.0,93,102,445,12.4,0.452,0.0,0.258,12.5,20.2,16.5,2.4,1.9,3.3,12.4,20.8,-0.1,0.5,0.4,0.045,-4.3,-1.0,-5.3,-0.4,82.0,19905.0,2859.0,6434.0,0.444,402.0,1141.0,0.352,2457.0,5293.0,0.464,1594.0,2011.0,0.793,937.0,2558.0,3495.0,1679.0,611.0,473.0,1367.0,1783.0,7714.0,82.0,19905.0,3015.0,6907.0,0.437,446.0,1243.0,0.359,2569.0,5664.0,0.454,1530.0,2013.0,0.76,1073.0,2420.0,3493.0,1771.0,738.0,409.0,1068.0,1668.0,8006.0,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,91.0,0.313,0.177,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,528655,35,12.7,-2.13,1.12,-1.02,0.61,853,445,-3.998952802,-0.395583885,-4.394536687,-0.376460245,-0.376460245,0.0,-3.662343636,0.014444822,-3.647898814,0.761148427,35,12,23,12.9,102.4,2.3,17.9,28.7,0.5,25.0,0.6,55.3,4.8,4.0,3.6,9.3,0.033,0.0
6,2003-04,2004,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,ATL,NBA,C,53,1,17.7,2.6,5.3,0.493,0.0,0.0,,2.6,5.3,0.493,0.493,1.3,2.1,0.627,1.9,3.1,5.0,0.4,0.4,0.5,1.0,2.1,6.5,938,7.8,15.8,0.493,0.0,0.0,,7.8,15.8,0.493,3.9,6.2,0.627,5.7,9.4,15.0,1.1,1.2,1.5,3.1,6.4,19.4,103,105,938,14.7,0.525,0.0,0.393,12.3,19.8,16.1,3.8,1.2,2.1,14.3,18.6,0.9,0.8,1.7,0.087,-1.1,-1.6,-2.8,-0.2,82.0,19905.0,2829.0,6529.0,0.433,419.0,1249.0,0.335,2410.0,5280.0,0.456,1534.0,1976.0,0.776,996.0,2507.0,3503.0,1648.0,627.0,408.0,1350.0,1826.0,7611.0,82.0,19905.0,2968.0,6740.0,0.44,482.0,1345.0,0.358,2486.0,5395.0,0.461,1574.0,2072.0,0.76,1048.0,2485.0,3533.0,1803.0,731.0,416.0,1151.0,1699.0,7992.0,28,54,28,54,-4.65,-0.36,-5.0,101.0,106.1,90.8,0.303,0.191,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,Philips Arena,565728,80,20.1,-0.63,0.62,-0.01,3.65,3254,1708,-2.098182311,-0.361892677,-2.460074988,0.272323831,0.18586569,0.086458141,-1.908378412,-0.2145522,-2.122930612,0.252995773,80,31,49,20.1,100.6,3.7,19.0,30.0,0.7,20.3,0.7,40.0,8.0,5.4,5.3,15.8,0.059,0.0
7,2003-04,2004,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NYK,NBA,C,27,23,24.9,4.0,7.1,0.563,0.0,0.0,,4.0,7.1,0.563,0.563,1.1,2.2,0.525,2.9,4.8,7.7,0.6,1.2,0.9,1.5,3.0,9.1,673,8.6,15.3,0.563,0.0,0.0,,8.6,15.3,0.563,2.5,4.7,0.525,6.1,10.4,16.5,1.3,2.6,2.0,3.3,6.5,19.7,106,98,673,18.1,0.567,0.0,0.307,13.4,22.0,17.8,4.2,2.6,2.8,15.8,17.9,0.9,1.1,2.0,0.144,0.3,0.2,0.5,0.4,82.0,19880.0,2881.0,6513.0,0.442,406.0,1115.0,0.364,2475.0,5398.0,0.459,1374.0,1732.0,0.793,950.0,2543.0,3493.0,1695.0,608.0,391.0,1289.0,1897.0,7542.0,82.0,19880.0,2785.0,6491.0,0.429,415.0,1228.0,0.338,2370.0,5263.0,0.45,1678.0,2198.0,0.763,950.0,2444.0,3394.0,1676.0,675.0,383.0,1132.0,1600.0,7663.0,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,89.5,0.266,0.171,0.474,15.1,28.0,0.211,0.461,13.2,72.8,0.259,Madison Square Garden (IV),785739,80,20.1,-0.63,0.62,-0.01,3.65,3254,1708,-2.098182311,-0.361892677,-2.460074988,0.272323831,0.18586569,0.086458141,-1.908378412,-0.2145522,-2.122930612,0.252995773,80,31,49,20.1,100.6,3.7,19.0,30.0,0.7,20.3,0.7,40.0,8.0,5.4,5.3,15.8,0.059,0.0
8,2004-05,2005,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NYK,NBA,C,54,54,28.1,4.3,8.5,0.509,0.0,0.0,0.0,4.3,8.5,0.51,0.509,2.2,3.2,0.708,3.1,5.0,8.1,0.5,1.0,1.0,1.5,3.2,10.9,1519,8.2,16.0,0.509,0.0,0.0,0.0,8.2,16.0,0.51,4.2,6.0,0.708,5.9,9.4,15.3,0.9,1.8,1.8,2.8,6.0,20.5,110,105,1519,17.0,0.55,0.002,0.372,13.0,21.0,17.0,2.9,1.8,2.7,13.1,18.5,2.1,1.7,3.8,0.12,-0.3,-0.7,-0.9,0.4,82.0,19880.0,2978.0,6599.0,0.451,441.0,1240.0,0.356,2537.0,5359.0,0.473,1580.0,2060.0,0.767,965.0,2393.0,3358.0,1665.0,629.0,260.0,1204.0,1942.0,7977.0,82.0,19880.0,3001.0,6454.0,0.465,464.0,1276.0,0.364,2537.0,5178.0,0.49,1711.0,2264.0,0.756,969.0,2448.0,3417.0,1697.0,602.0,389.0,1195.0,1736.0,8177.0,33,49,34,48,-2.44,-0.28,-2.72,106.2,108.9,90.7,0.312,0.188,0.485,13.8,28.3,0.239,0.501,13.8,71.2,0.265,Madison Square Garden (IV),800144,77,25.1,-1.41,0.25,-1.16,2.56,4650,2461,-2.501717362,0.024314777,-2.477402585,0.413693298,-0.925287915,1.338981213,-2.128272079,0.323019838,-1.805252241,-0.080603227,77,35,42,25.2,104.8,4.4,18.0,28.2,0.8,21.0,1.1,46.5,7.8,6.9,7.1,21.7,0.065,0.0
9,2004-05,2005,Nazr Mohammed,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,27,SAS,NBA,C,23,5,18.0,2.4,6.2,0.387,0.0,0.0,,2.4,6.2,0.387,0.387,1.4,2.4,0.571,3.4,3.0,6.4,0.3,0.2,1.4,1.2,2.8,6.2,414,7.2,18.5,0.387,0.0,0.0,,7.2,18.5,0.387,4.2,7.3,0.571,10.2,9.0,19.2,1.0,0.7,4.3,3.5,8.3,18.5,96,97,414,14.2,0.426,0.0,0.394,22.0,19.5,20.8,3.2,0.7,5.8,13.9,21.8,-0.1,0.9,0.8,0.095,-3.9,-0.8,-4.7,-0.3,82.0,19805.0,2923.0,6450.0,0.453,507.0,1395.0,0.363,2416.0,5055.0,0.478,1535.0,2120.0,0.724,987.0,2489.0,3476.0,1771.0,613.0,543.0,1126.0,1717.0,7888.0,82.0,19805.0,2712.0,6359.0,0.426,323.0,881.0,0.367,2389.0,5478.0,0.436,1501.0,1955.0,0.768,893.0,2403.0,3296.0,1385.0,594.0,421.0,1240.0,1891.0,7248.0,59,23,63,19,7.8,0.03,7.84,107.5,98.8,88.9,0.329,0.216,0.492,13.2,29.1,0.238,0.452,14.7,73.6,0.236,SBC Center,750970,77,25.1,-1.41,0.25,-1.16,2.56,4650,2461,-2.501717362,0.024314777,-2.477402585,0.413693298,-0.925287915,1.338981213,-2.128272079,0.323019838,-1.805252241,-0.080603227,77,35,42,25.2,104.8,4.4,18.0,28.2,0.8,21.0,1.1,46.5,7.8,6.9,7.1,21.7,0.065,0.0
