,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2011-12,2012,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,22,BOS,NBA,PG,38,0,8.7,1.1,3.0,0.381,0.4,1.2,0.378,0.7,1.8,0.382,0.456,0.2,0.2,1.0,0.1,0.8,0.9,0.9,0.3,0.1,0.6,0.9,2.9,331,6.9,18.1,0.381,2.7,7.2,0.378,4.2,10.9,0.382,1.1,1.1,1.0,0.6,4.7,5.3,5.5,1.8,0.5,3.4,5.3,17.7,89,101,331,8.8,0.474,0.398,0.062,1.5,9.9,5.9,17.0,1.8,0.7,15.3,19.9,-0.3,0.5,0.2,0.031,-3.3,0.9,-2.4,0.0,66.0,15940,2341,5086,0.46,363,988,0.367,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062,66.0,15940,2207,5262,0.419,344,1117,0.308,1863,4145,0.449,1138,1498,0.76,781,2070,2851,1233,515,304,1035,1217,5896,39,27,39,27,2.52,-0.26,2.26,101.0,98.2,90.4,0.257,0.194,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,TD Garden,614592,38,8.7,-1.42,0.85,-0.57,0.38,670,352,-2.692097789,0.72220254,-1.969895249,0.137991378,0.184987449,-0.04699607,-2.671703251,-0.128808024,-2.800511275,0.553013509,38,24,14,8.7,84.1,0.8,8.3,13.2,0.3,20.8,0.1,7.5,2.8,1.9,1.5,5.9,0.076,0.16
1,2012-13,2013,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,ORL,NBA,SG,75,21,22.4,3.2,8.0,0.396,0.9,2.6,0.34,2.3,5.3,0.424,0.452,0.6,0.8,0.797,0.6,1.6,2.2,2.7,0.7,0.3,1.4,1.6,7.8,1682,7.3,18.5,0.396,2.1,6.1,0.34,5.3,12.4,0.424,1.5,1.8,0.797,1.5,3.7,5.2,6.4,1.6,0.7,3.3,3.8,18.2,95,111,1682,10.7,0.471,0.329,0.099,3.2,8.0,5.6,19.1,1.6,1.1,14.4,19.7,-0.4,0.7,0.2,0.006,-1.6,-0.7,-2.3,-0.1,82.0,19780,3093,6904,0.448,506,1537,0.329,2587,5367,0.482,1026,1359,0.755,890,2612,3502,1871,528,358,1191,1591,7718,82.0,19780,3169,6842,0.463,617,1721,0.359,2552,5121,0.498,1336,1811,0.738,888,2618,3506,1946,592,430,1020,1353,8291,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,92.2,0.197,0.223,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195,Amway Center,722716,75,22.4,-0.96,-1.33,-2.29,0.27,3268,1682,-1.547283705,-1.727929138,-3.275212843,-0.450740888,-0.450740888,0.0,-1.653392106,-1.877085729,-3.530477835,0.005396667,75,19,56,22.4,106.3,1.6,7.2,10.7,0.7,23.2,0.3,14.6,8.0,6.0,5.5,19.4,0.049,-1.24
2,2013-14,2014,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,ORL,NBA,SG,79,3,19.1,2.5,5.8,0.428,0.7,2.0,0.354,1.7,3.7,0.468,0.49,0.7,0.9,0.765,0.4,1.4,1.7,1.4,0.8,0.2,0.7,1.3,6.3,1506,6.6,15.5,0.428,1.9,5.5,0.354,4.7,10.0,0.468,1.8,2.3,0.765,1.0,3.6,4.6,3.8,2.0,0.4,1.9,3.6,17.0,102,109,1506,11.1,0.513,0.353,0.149,2.2,8.1,5.1,11.8,2.0,0.7,10.2,16.4,0.6,1.1,1.7,0.055,-1.9,0.3,-1.6,0.2,82.0,19955,3022,6784,0.445,563,1596,0.353,2459,5188,0.474,1307,1714,0.763,794,2654,3448,1726,630,350,1222,1678,7914,82.0,19955,3126,6861,0.456,659,1778,0.371,2467,5083,0.485,1449,1881,0.77,859,2746,3605,1848,581,445,1146,1500,8360,23,59,26,56,-5.44,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211,Amway Center,666046,79,19.1,-0.65,-0.11,-0.76,2.05,3033,1506,-1.039411462,1.018201293,-0.021210169,2.092372406,2.092372406,0.0,-1.875806233,0.138960898,-1.736845335,-0.19779644,79,22,57,19.1,102.0,1.4,7.0,10.8,0.8,20.6,0.2,8.0,6.6,4.9,5.0,15.2,0.072,0.26
3,2014-15,2015,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,CHI,NBA,SG,56,0,9.0,1.1,2.5,0.446,0.2,0.7,0.342,0.9,1.8,0.485,0.493,0.2,0.4,0.6,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.7,504,6.4,14.3,0.446,1.3,3.9,0.342,5.0,10.4,0.485,1.2,2.1,0.6,1.2,3.5,4.7,3.4,2.1,0.6,1.4,4.6,15.3,105,106,504,10.3,0.504,0.273,0.144,2.7,7.1,5.0,10.4,2.1,0.9,8.7,14.4,0.3,0.5,0.8,0.08,-2.7,1.1,-1.5,0.1,82.0,19880,3001,6797,0.442,645,1825,0.353,2356,4972,0.474,1618,2067,0.783,959,2792,3751,1781,514,476,1145,1495,8265,82.0,19880,3095,7109,0.435,538,1605,0.335,2557,5504,0.465,1291,1723,0.749,963,2598,3561,1657,614,443,1000,1736,8019,50,32,50,32,3.0,-0.46,2.54,107.5,104.3,92.8,0.304,0.269,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182,United Center,886612,56,9.0,-2.56,-0.97,-3.53,-0.28,1034,513,-0.776863233,0.550230834,-0.226632399,0.657300855,0.524850367,0.132450488,-0.368269169,0.134811625,-0.233457544,-0.400462823,56,36,20,9.0,102.0,0.6,6.6,10.0,0.4,25.0,0.1,12.5,3.0,2.4,2.4,8.3,0.032,-0.39
4,2015-16,2016,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,CHI,NBA,SG,59,22,21.4,3.2,6.6,0.481,0.8,1.8,0.452,2.4,4.8,0.491,0.541,0.4,0.6,0.629,0.3,1.9,2.3,1.7,0.6,0.3,0.9,1.7,7.5,1263,7.4,15.4,0.481,1.9,4.1,0.452,5.6,11.3,0.491,0.9,1.4,0.629,0.8,4.5,5.3,3.9,1.5,0.7,2.1,4.1,17.6,105,109,1263,11.4,0.548,0.267,0.09,1.6,9.3,5.5,12.1,1.5,1.0,11.6,15.9,0.9,1.0,1.8,0.07,-1.9,0.0,-1.9,0.0,82.0,19905,3165,7170,0.441,651,1753,0.371,2514,5417,0.464,1354,1720,0.787,907,2889,3796,1870,495,470,1141,1545,8335,82.0,19905,3234,7333,0.441,651,1885,0.345,2583,5448,0.474,1337,1813,0.737,969,2798,3767,1848,655,465,974,1535,8456,42,40,37,45,-1.48,0.01,-1.46,105.0,106.5,95.7,0.24,0.244,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,United Center,894659,59,21.4,-1.1,0.12,-0.99,1.16,2578,1263,-0.349179336,0.277883271,-0.071296065,1.718098593,1.718098593,0.0,-0.75827619,0.10746712,-0.650809071,-0.453511233,59,29,30,21.4,105.0,1.9,8.2,12.5,0.6,23.9,0.3,11.9,7.4,6.6,6.6,20.2,0.061,-0.39
5,2016-17,2017,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NOP,NBA,SG,73,22,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,1.0,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,1820,7.6,16.7,0.457,2.1,5.6,0.37,5.5,11.1,0.501,1.5,2.0,0.77,0.9,3.2,4.1,4.4,1.3,0.9,1.7,3.5,18.8,107,111,1820,12.1,0.537,0.336,0.12,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4,1.2,1.5,2.7,0.07,-1.7,0.1,-1.6,0.2,82.0,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,703,2879,3582,1869,638,453,1054,1490,8556,82.0,19905,3286,7299,0.45,863,2445,0.353,2423,4854,0.499,1293,1697,0.762,872,3091,3963,1921,603,348,1144,1581,8728,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,98.0,0.256,0.308,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,663099,73,24.9,0.29,-1.73,-1.44,0.54,3781,1820,0.223006083,-0.797088071,-0.574081988,2.011524882,2.011524882,0.0,-0.83420244,-0.534546575,-1.368749016,-0.43471345,73,32,41,24.9,107.4,1.6,6.2,9.2,0.7,17.9,0.4,13.2,7.5,6.7,7.4,22.3,0.071,-0.4
6,2017-18,2018,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,28,NOP,NBA,SG,82,80,31.5,5.2,10.1,0.508,1.6,3.7,0.425,3.6,6.5,0.556,0.585,0.6,0.8,0.706,0.7,2.2,2.9,2.3,1.0,0.1,1.2,2.2,12.5,2586,7.8,15.4,0.508,2.4,5.6,0.425,5.4,9.8,0.556,0.9,1.3,0.706,1.1,3.3,4.4,3.5,1.5,0.2,1.9,3.4,18.9,111,112,2586,12.1,0.593,0.362,0.082,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,2.8,1.6,4.4,0.081,-1.0,-0.5,-1.6,0.3,82.0,19955,3500,7241,0.483,837,2312,0.362,2663,4929,0.54,1324,1716,0.772,712,2924,3636,2195,657,485,1223,1570,9161,82.0,19955,3423,7539,0.454,891,2509,0.355,2532,5030,0.503,1317,1679,0.784,887,2843,3730,1947,670,344,1186,1669,9054,48,34,44,38,1.3,0.18,1.48,109.6,108.3,100.5,0.237,0.319,0.541,13.3,20.0,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,673920,82,31.5,0.69,-0.85,-0.17,2.5,6142,2870,0.347671499,-1.144235553,-0.796564054,2.880184461,1.970932792,0.909251669,0.134736782,-0.482947052,-0.34821027,0.11026942,82,48,34,31.5,106.1,2.2,6.5,9.5,1.0,17.9,0.1,3.6,10.7,8.9,9.4,30.8,0.1,-0.04
7,2018-19,2019,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NOP,NBA,SG,53,36,27.6,4.8,10.0,0.481,1.4,3.3,0.432,3.4,6.7,0.506,0.553,0.8,1.1,0.763,0.7,1.7,2.4,1.9,0.8,0.2,1.1,2.1,11.9,1463,8.1,16.9,0.481,2.4,5.6,0.432,5.7,11.3,0.506,1.4,1.9,0.763,1.1,2.9,4.0,3.2,1.3,0.3,1.9,3.6,20.1,110,117,1463,11.5,0.567,0.331,0.111,2.5,6.4,4.5,9.5,1.3,0.4,9.6,17.3,1.2,0.5,1.7,0.055,-1.2,-1.1,-2.3,-0.1,82.0,19755,3581,7563,0.473,842,2449,0.344,2739,5114,0.536,1462,1921,0.761,909,2969,3878,2216,610,441,1215,1732,9466,82.0,19755,3549,7610,0.466,1006,2766,0.364,2543,4844,0.525,1471,1926,0.764,898,2855,3753,2174,702,445,1113,1722,9575,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,103.3,0.254,0.324,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,Smoothie King Center,656183,53,27.6,0.54,-1.58,-1.04,0.23,3172,1463,0.172944626,-2.214975388,-2.042030762,0.526862778,0.526862778,0.0,-0.371033656,-1.965848225,-2.336881882,-0.304993847,53,21,32,27.6,111.6,1.7,5.8,8.6,0.8,17.4,0.2,4.6,9.5,8.2,9.7,29.9,0.057,-1.31
8,2019-20,2020,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NOP,NBA,SG,56,6,18.2,3.3,7.8,0.426,1.1,3.0,0.377,2.2,4.8,0.456,0.498,0.6,0.8,0.689,0.6,1.8,2.3,1.4,0.6,0.2,0.7,1.4,8.3,1020,8.4,19.8,0.426,2.9,7.6,0.377,5.6,12.2,0.456,1.4,2.0,0.689,1.4,4.5,5.9,3.5,1.5,0.5,1.8,3.6,21.1,104,114,1020,11.3,0.51,0.382,0.103,3.2,10.4,6.8,11.0,1.5,0.9,8.1,19.9,0.3,0.7,0.9,0.043,-1.9,-0.8,-2.7,-0.2,72.0,17430,3065,6598,0.465,982,2656,0.37,2083,3942,0.528,1229,1687,0.729,797,2551,3348,1932,539,358,1181,1524,8341,72.0,17430,3077,6611,0.465,880,2438,0.361,2197,4173,0.526,1400,1775,0.789,727,2501,3228,1763,615,348,1045,1519,8434,30,42,33,39,-1.29,0.74,-0.55,110.7,111.9,103.7,0.256,0.403,0.539,13.9,24.2,0.186,0.532,12.4,77.8,0.212,Smoothie King Center,528172,56,18.2,-0.03,-1.44,-1.47,0.48,2205,1020,-0.298553556,-1.029225764,-1.32777932,0.736766864,0.736766864,0.0,-0.262391189,-1.014599434,-1.276990623,-0.463867144,56,27,29,18.2,110.3,1.8,9.5,13.6,0.6,20.0,0.2,10.6,7.1,5.1,5.1,21.0,0.046,-1.51
9,2020-21,2021,E'Twaun Moore,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,PHO,NBA,SG,27,1,14.4,2.0,4.5,0.455,0.4,1.3,0.314,1.6,3.2,0.512,0.5,0.4,0.5,0.857,0.5,1.1,1.7,1.5,0.6,0.2,0.9,1.2,4.9,389,7.0,15.4,0.455,1.4,4.4,0.314,5.6,10.9,0.512,1.5,1.8,0.857,1.8,3.9,5.7,5.1,1.9,0.6,2.9,4.1,16.9,103,112,389,10.4,0.523,0.289,0.116,4.2,8.9,6.6,13.7,1.9,1.2,15.3,17.2,0.0,0.4,0.4,0.049,-3.1,0.2,-2.9,-0.1,72.0,17480,3118,6357,0.49,940,2490,0.378,2178,3867,0.563,1124,1347,0.834,630,2462,3092,1939,517,312,902,1374,8300,72.0,17480,2916,6248,0.467,836,2359,0.354,2080,3889,0.535,1213,1560,0.778,674,2401,3075,1652,498,258,981,1294,7881,51,21,49,23,5.82,-0.15,5.67,117.2,111.3,97.2,0.212,0.392,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,Phoenix Suns Arena,104027,27,14.4,-1.06,-2.05,-3.11,-0.44,920,435,-2.227964752947973,0.5544820300010445,-1.673482722946928,0.2414831707650043,0.0822493832378192,0.159233787527185,-2.294060154512064,-0.091079156551097,-2.385139311063161,-0.449078919186357,27,20,7,14.4,107.9,1.1,8.0,11.2,0.6,25.0,0.2,13.9,4.1,2.9,4.7,14.6,0.055,-0.8
