,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,POR,NBA,SF,48,14,10.3,2.3,5.4,0.415,0.4,1.5,0.3,1.8,4.0,0.458,0.456,0.7,0.8,0.875,0.8,0.9,1.7,0.2,0.2,0.1,0.6,1.2,5.7,495,10.6,25.5,0.415,2.1,6.9,0.3,8.5,18.6,0.458,3.4,3.9,0.875,3.9,4.2,8.1,1.1,0.8,0.5,3.0,5.8,26.6,100,109,495,11.9,0.49,0.269,0.154,8.6,9.8,9.2,3.5,0.8,0.6,10.0,25.6,0.1,0.4,0.5,0.049,-1.6,-2.3,-3.9,-0.2,82.0,19905.0,3361.0,7343.0,0.458,275.0,843.0,0.326,3086.0,6500.0,0.475,1901.0,2551.0,0.745,1226.0,2507.0,3733.0,1969.0,770.0,425.0,1215.0,1892.0,8898.0,82.0,19905.0,3337.0,7125.0,0.468,277.0,811.0,0.342,3060.0,6314.0,0.485,1692.0,2226.0,0.76,1022.0,2527.0,3549.0,2059.0,649.0,452.0,1404.0,2089.0,8643.0,51,31,49,33,3.11,-0.19,2.92,108.3,105.2,99.1,0.347,0.115,0.476,12.6,32.7,0.259,0.488,14.8,71.0,0.237,Memorial Coliseum,528408,0,0,0.0,0.0,0.0,0.0,1034,495,-1.215621754,-2.158285179,-3.373906933,-0.158494557,-0.158494557,0.0,-1.18791011,-2.89577297,-4.08368308,0.576480588,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,POR,NBA,SF,66,1,12.4,2.5,5.4,0.47,0.8,1.7,0.459,1.8,3.7,0.476,0.541,0.8,1.1,0.694,0.7,1.0,1.7,0.5,0.3,0.3,0.6,1.2,6.6,820,9.9,21.0,0.47,3.0,6.5,0.459,6.9,14.6,0.476,3.0,4.3,0.694,2.5,4.0,6.6,1.8,1.2,1.2,2.2,4.5,25.7,113,108,820,15.3,0.561,0.307,0.203,5.5,9.4,7.4,5.8,1.2,1.5,8.7,21.1,1.5,0.7,2.2,0.126,1.8,-0.7,1.1,0.7,82.0,19755.0,3371.0,7427.0,0.454,272.0,770.0,0.353,3099.0,6657.0,0.466,1781.0,2396.0,0.743,1302.0,2460.0,3762.0,2070.0,744.0,409.0,1210.0,1827.0,8795.0,82.0,19755.0,3311.0,7057.0,0.469,296.0,830.0,0.357,3015.0,6227.0,0.484,1661.0,2216.0,0.75,1016.0,2481.0,3497.0,2094.0,654.0,393.0,1391.0,1944.0,8579.0,47,35,48,34,2.63,-0.04,2.6,108.1,105.5,98.8,0.323,0.104,0.472,12.5,34.4,0.24,0.49,14.8,70.8,0.235,Memorial Coliseum,528408,0,0,0.0,0.0,0.0,0.0,1729,831,0.929532857,-1.10328595,-0.173753093,1.098995303,1.009592227,0.089403077,0.725185465,-2.026315689,-1.301130224,-0.027145158,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,POR,NBA,SF,29,3,10.8,2.2,5.3,0.412,0.6,1.4,0.39,1.6,3.9,0.42,0.464,1.0,1.2,0.824,0.6,0.7,1.3,0.5,0.2,0.0,0.7,1.4,5.9,313,10.3,25.0,0.412,2.6,6.7,0.39,7.7,18.3,0.42,4.6,5.6,0.824,2.9,3.1,6.0,2.3,1.1,0.2,3.3,6.9,27.8,106,110,313,12.4,0.506,0.268,0.222,6.2,7.2,6.7,7.3,1.1,0.2,10.6,25.4,0.3,0.3,0.5,0.081,-1.5,-1.8,-3.3,-0.1,82.0,19705.0,3217.0,7134.0,0.451,462.0,1266.0,0.365,2755.0,5868.0,0.469,1555.0,2230.0,0.697,1352.0,2443.0,3795.0,1846.0,668.0,467.0,1212.0,2024.0,8451.0,82.0,19705.0,2951.0,6465.0,0.456,442.0,1189.0,0.372,2509.0,5276.0,0.476,1794.0,2380.0,0.754,883.0,2295.0,3178.0,1789.0,638.0,405.0,1302.0,1938.0,8138.0,44,38,52,30,3.82,-0.02,3.8,109.7,105.7,93.8,0.313,0.177,0.483,13.0,37.1,0.218,0.491,14.8,73.5,0.277,Memorial Coliseum,529759,0,0,0.0,0.0,0.0,0.0,1022,516,-2.408675799,-1.735039023,-4.143714822,-0.377937173,-0.377937173,0.0,-2.157812602,-2.178069998,-4.335882599,2.284030407,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1994-95,1995,Tracy Murray,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,HOU,NBA,SF,25,0,8.1,1.3,3.2,0.4,0.8,1.8,0.422,0.5,1.4,0.371,0.519,0.2,0.3,0.625,0.1,0.8,0.9,0.2,0.3,0.1,0.6,1.2,3.5,203,8.0,20.1,0.4,4.8,11.3,0.422,3.3,8.8,0.371,1.3,2.0,0.625,0.5,5.0,5.5,1.3,1.8,0.8,3.8,7.8,22.1,91,109,203,8.2,0.527,0.563,0.1,1.2,10.8,6.2,3.8,1.8,1.0,15.2,21.8,-0.2,0.2,0.0,-0.006,-3.8,-1.4,-5.2,-0.2,82.0,19730.0,3159.0,6579.0,0.48,646.0,1757.0,0.368,2513.0,4822.0,0.521,1527.0,2039.0,0.749,880.0,2440.0,3320.0,2060.0,721.0,514.0,1322.0,1714.0,8491.0,82.0,19730.0,3202.0,7061.0,0.453,506.0,1345.0,0.376,2696.0,5716.0,0.472,1407.0,1874.0,0.751,1165.0,2386.0,3551.0,1940.0,744.0,365.0,1274.0,1779.0,8317.0,47,35,47,35,2.12,0.2,2.32,109.7,107.4,94.2,0.31,0.267,0.529,15.0,26.9,0.232,0.489,13.9,67.7,0.199,The Summit,653389,0,0,0.0,0.0,0.0,0.0,1022,516,-2.408675799,-1.735039023,-4.143714822,-0.377937173,-0.377937173,0.0,-2.157812602,-2.178069998,-4.335882599,2.284030407,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1995-96,1996,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,TOR,NBA,SF,82,37,30.0,6.0,13.3,0.454,1.8,4.4,0.422,4.2,9.0,0.47,0.523,2.2,2.7,0.831,1.4,2.9,4.3,1.6,1.1,0.5,1.6,2.5,16.2,2458,10.4,22.9,0.454,3.2,7.5,0.422,7.2,15.4,0.47,3.8,4.6,0.831,2.4,5.0,7.4,2.7,1.8,0.8,2.8,4.4,27.8,111,113,2458,16.8,0.557,0.328,0.201,5.5,11.6,8.5,9.3,1.8,1.2,10.0,23.7,4.0,0.9,4.9,0.096,2.0,-1.8,0.1,1.3,82.0,19830.0,3084.0,6598.0,0.467,414.0,1168.0,0.354,2670.0,5430.0,0.492,1412.0,1953.0,0.723,1071.0,2213.0,3284.0,1927.0,745.0,493.0,1544.0,1987.0,7994.0,82.0,19830.0,3146.0,6624.0,0.475,519.0,1416.0,0.367,2627.0,5208.0,0.504,1799.0,2416.0,0.745,1098.0,2274.0,3372.0,1990.0,766.0,482.0,1326.0,1739.0,8610.0,21,61,21,61,-7.51,0.31,-7.2,103.8,111.8,93.2,0.296,0.177,0.499,17.2,32.0,0.214,0.514,14.7,66.8,0.272,SkyDome,950330,0,0,0.0,0.0,0.0,0.0,4827,2458,1.069241627,-0.80624817,0.262993456,3.775305605,3.775305605,0.0,1.02256509,-0.780218543,0.242346547,-0.078804449,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,1996-97,1997,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,WSB,NBA,SF,82,1,22.1,3.5,8.3,0.425,1.3,3.7,0.353,2.2,4.6,0.481,0.503,1.6,2.0,0.839,1.0,2.1,3.1,1.0,0.8,0.2,1.0,1.8,10.0,1814,8.3,19.4,0.425,3.0,8.6,0.353,5.2,10.8,0.481,3.9,4.6,0.839,2.4,4.8,7.2,2.2,2.0,0.5,2.5,4.3,23.4,110,106,1814,14.6,0.546,0.442,0.237,5.5,10.7,8.2,6.6,2.0,0.8,10.3,20.7,2.4,1.9,4.4,0.116,0.7,-0.3,0.4,1.1,82.0,19855.0,3208.0,6678.0,0.48,331.0,1001.0,0.331,2877.0,5677.0,0.507,1400.0,1979.0,0.707,1010.0,2420.0,3430.0,1921.0,712.0,402.0,1289.0,1815.0,8147.0,82.0,19855.0,3011.0,6637.0,0.454,492.0,1327.0,0.371,2519.0,5310.0,0.474,1500.0,2004.0,0.749,1022.0,2336.0,3358.0,1671.0,665.0,334.0,1356.0,1769.0,8014.0,44,38,46,36,1.62,0.15,1.77,106.6,104.9,92.4,0.296,0.15,0.505,14.6,30.2,0.21,0.491,15.3,70.3,0.226,US Airways Arena,700646,82,22.1,1.83,-0.37,1.45,5.73,3693,1901,1.51779587,0.29004898,1.80784485,4.479504088,3.684316234,0.795187854,1.601576772,-0.174945271,1.426631501,0.185294275,82,44,38,22.2,102.0,2.1,9.6,15.3,0.9,20.8,0.2,11.3,7.9,6.3,5.8,18.5,0.079,0
6,1997-98,1998,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,WAS,NBA,SF,82,12,27.2,5.5,12.3,0.446,1.9,4.9,0.392,3.5,7.4,0.482,0.524,2.2,2.5,0.871,0.9,2.5,3.4,1.0,0.8,0.3,1.2,2.0,15.1,2227,10.5,23.6,0.446,3.7,9.5,0.392,6.8,14.2,0.482,4.3,4.9,0.871,1.8,4.7,6.5,2.0,1.6,0.6,2.4,3.9,29.1,112,107,2227,17.3,0.563,0.4,0.208,3.7,10.7,7.1,6.5,1.6,0.8,8.5,24.0,4.6,1.9,6.5,0.139,2.8,-0.8,2.0,2.3,82.0,19805.0,3080.0,6811.0,0.452,320.0,944.0,0.339,2760.0,5867.0,0.47,1489.0,2156.0,0.691,1121.0,2341.0,3462.0,1900.0,689.0,379.0,1156.0,1839.0,7969.0,82.0,19805.0,2975.0,6540.0,0.455,348.0,977.0,0.356,2627.0,5563.0,0.472,1623.0,2172.0,0.747,1029.0,2468.0,3497.0,1725.0,632.0,372.0,1328.0,1924.0,7921.0,42,40,43,39,0.59,0.53,1.11,105.2,104.5,91.8,0.317,0.139,0.476,13.0,31.2,0.219,0.481,15.1,69.5,0.248,MCI Center,801240,82,27.2,3.25,-3.07,0.18,4.8,4308,2227,2.418311369,-0.538451009,1.87986036,5.263132923,5.263132923,0.0,2.459716692,-0.966798065,1.492918627,0.045400172,82,42,40,27.2,103.1,2.5,9.3,15.5,0.8,18.1,0.3,12.1,8.6,8.2,7.8,25.1,0.074,0
7,1998-99,1999,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,WAS,NBA,SF,36,0,18.1,2.3,6.6,0.35,0.9,2.9,0.32,1.4,3.7,0.373,0.42,0.9,1.2,0.81,0.5,1.8,2.3,0.8,0.6,0.2,0.8,1.8,6.5,653,6.8,19.4,0.35,2.7,8.4,0.32,4.1,11.0,0.373,2.8,3.4,0.81,1.5,5.2,6.6,2.2,1.7,0.5,2.4,5.3,19.1,93,105,653,9.6,0.456,0.435,0.177,3.1,11.5,7.2,6.8,1.7,0.7,10.2,20.1,-0.1,0.4,0.3,0.025,-1.6,-1.0,-2.6,-0.1,50.0,12050.0,1768.0,3969.0,0.445,179.0,580.0,0.309,1589.0,3389.0,0.469,845.0,1198.0,0.705,595.0,1403.0,1998.0,1064.0,393.0,193.0,736.0,1151.0,4560.0,50.0,12050.0,1705.0,3826.0,0.446,218.0,619.0,0.352,1487.0,3207.0,0.464,1044.0,1418.0,0.736,617.0,1517.0,2134.0,1079.0,402.0,212.0,792.0,1087.0,4672.0,18,32,21,29,-2.24,0.49,-1.75,101.2,103.7,89.8,0.302,0.146,0.468,14.1,28.2,0.213,0.474,15.1,69.5,0.273,MCI Center,402481,36,18.1,0.01,-1.47,-1.46,0.84,1236,653,-1.395934414,-0.784597986,-2.1805324,0.191079533,0.191079533,0.0,-1.126661118,-1.243549374,-2.370210492,0.642928649,36,14,22,18.1,100.9,1.8,10.2,17.1,0.6,20.2,0.2,11.3,5.5,3.9,5.4,14.2,0.046,0
8,1999-00,2000,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,WAS,NBA,SF,80,8,22.9,3.6,8.4,0.433,1.4,3.3,0.43,2.2,5.1,0.435,0.517,1.5,1.8,0.851,0.8,2.6,3.4,0.9,0.6,0.3,1.1,2.3,10.2,1831,8.2,18.9,0.433,3.2,7.4,0.43,5.0,11.5,0.435,3.4,4.0,0.851,1.8,5.9,7.7,2.0,1.3,0.7,2.4,5.2,23.0,110,108,1831,14.1,0.555,0.393,0.21,3.9,13.2,8.5,6.5,1.3,0.9,10.3,19.8,2.9,0.9,3.8,0.101,1.6,-1.0,0.6,1.2,82.0,19805.0,3010.0,6681.0,0.451,335.0,890.0,0.376,2675.0,5791.0,0.462,1566.0,2107.0,0.743,1064.0,2438.0,3502.0,1771.0,593.0,383.0,1320.0,2149.0,7921.0,82.0,19805.0,3005.0,6547.0,0.459,390.0,1052.0,0.371,2615.0,5495.0,0.476,1790.0,2405.0,0.744,962.0,2418.0,3380.0,1793.0,686.0,503.0,1225.0,1967.0,8190.0,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,92.7,0.315,0.133,0.476,14.8,30.6,0.234,0.489,13.9,71.7,0.273,MCI Center,616593,80,22.9,0.78,-0.85,-0.06,2.97,3577,1831,0.992011393,-0.981616678,0.010394715,2.583248321,2.583248321,0.0,0.954608013,-1.095904364,-0.141296351,0.166364949,80,28,52,22.9,104.4,2.6,11.8,18.8,0.6,16.4,0.3,12.5,8.1,6.2,6.0,18.2,0.045,0
9,2000-01,2001,Tracy Murray,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,DEN,NBA,SF,13,0,10.4,1.3,4.2,0.309,0.5,1.8,0.304,0.8,2.5,0.313,0.373,0.7,0.8,0.9,0.3,1.4,1.7,0.7,0.3,0.1,0.5,0.6,3.8,135,6.5,21.1,0.309,2.7,8.8,0.304,3.8,12.3,0.313,3.5,3.8,0.9,1.5,6.9,8.4,3.5,1.5,0.4,2.3,3.1,19.2,90,107,135,9.8,0.421,0.418,0.182,3.2,14.7,8.9,10.6,1.5,0.5,9.2,21.6,-0.1,0.1,0.0,-0.002,-1.3,-1.1,-2.4,0.0,82.0,19780.0,2979.0,6877.0,0.433,512.0,1444.0,0.355,2467.0,5433.0,0.454,1448.0,1964.0,0.737,1044.0,2583.0,3627.0,1970.0,552.0,538.0,1136.0,1820.0,7918.0,82.0,19780.0,3081.0,6914.0,0.446,416.0,1168.0,0.356,2665.0,5746.0,0.464,1542.0,2049.0,0.753,1012.0,2642.0,3654.0,2042.0,588.0,497.0,1075.0,1758.0,8120.0,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,92.6,0.286,0.21,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,Pepsi Center,619300,51,11.5,1.08,-2.53,-1.45,0.54,1140,593,-1.43780384,-3.150339457,-4.588143297,-0.570377089,-0.535841792,-0.034535298,-1.223838814,-3.84970303,-5.073541843,1.764814215,51,26,25,11.5,104.3,1.2,10.5,16.3,0.2,13.5,0.1,6.8,3.5,3.2,4.4,9.7,0.021,0
