,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1998-99,1999,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,MIN,NBA,C,2,0,15.0,1.5,6.0,0.25,0.0,0.0,,1.5,6.0,0.25,0.25,1.0,1.0,1.0,1.5,2.5,4.0,0.5,0.0,0.0,0.5,2.5,4.0,30,5.3,21.1,0.25,0.0,0.0,,5.3,21.1,0.25,3.5,3.5,1.0,5.3,8.8,14.1,1.8,0.0,0.0,1.8,8.8,14.1,80,104,30,3.5,0.311,0.0,0.167,10.4,20.2,14.9,5.0,0.0,0.0,7.2,20.3,-0.1,0.0,0.0,-0.049,-6.5,-3.1,-9.7,-0.1,50.0,12025.0,1838.0,4327.0,0.425,122.0,410.0,0.298,1716.0,3917.0,0.438,849.0,1143.0,0.743,754.0,1392.0,2146.0,1218.0,426.0,272.0,641.0,1185.0,4647.0,50.0,12025.0,1680.0,3823.0,0.439,213.0,654.0,0.326,1467.0,3169.0,0.463,1055.0,1470.0,0.718,591.0,1563.0,2154.0,1114.0,363.0,262.0,836.0,1017.0,4628.0,25,25,26,24,0.38,-0.55,-0.17,101.9,101.5,91.0,0.264,0.095,0.439,11.7,32.5,0.196,0.467,15.8,70.2,0.276,Target Center,427974,0,0,0,0,0,0,110,59,-2.193334178,-2.42384207,-4.617176248,-0.049341957,-0.102440722,0.053098765,-2.538888554,-2.445123923,-4.984012477,-0.28351751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1999-00,2000,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,MIN,NBA,C,82,55,21.0,2.5,5.3,0.476,0.0,0.0,0.0,2.5,5.3,0.478,0.476,0.7,1.3,0.573,1.6,3.0,4.6,1.1,0.3,1.0,0.9,3.2,5.7,1723,6.3,13.1,0.476,0.0,0.1,0.0,6.3,13.1,0.478,1.8,3.1,0.573,4.1,7.4,11.5,2.8,0.6,2.6,2.2,8.0,14.3,102,103,1723,11.0,0.492,0.005,0.238,9.0,16.6,12.8,7.8,0.6,3.6,12.9,14.4,1.0,1.9,3.0,0.082,-2.9,0.3,-2.6,-0.2,82.0,19905.0,3226.0,6910.0,0.467,248.0,716.0,0.346,2978.0,6194.0,0.481,1379.0,1769.0,0.78,1016.0,2471.0,3487.0,2205.0,622.0,444.0,1139.0,1913.0,8079.0,82.0,19905.0,2924.0,6576.0,0.445,380.0,1066.0,0.356,2544.0,5510.0,0.462,1644.0,2185.0,0.752,916.0,2440.0,3356.0,1737.0,591.0,344.0,1232.0,1685.0,7872.0,50,32,48,34,2.52,0.14,2.67,106.1,103.4,91.8,0.256,0.104,0.485,12.9,29.4,0.2,0.474,14.0,73.0,0.25,Target Center,690012,0,0,0,0,0,0,3552,1849,-2.997637415,0.321898255,-2.67573916,0.080534937,-0.001004899,0.081539836,-2.89157929,0.425329931,-2.466249359,0.187998795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2000-01,2001,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,MIN,NBA,C,73,39,16.9,2.0,4.4,0.461,0.0,0.0,0.0,2.0,4.4,0.462,0.461,0.5,0.9,0.523,1.4,2.6,3.9,0.6,0.3,0.9,0.8,2.6,4.5,1233,6.2,13.5,0.461,0.0,0.0,0.0,6.2,13.5,0.462,1.4,2.8,0.523,4.2,7.9,12.1,1.9,1.1,2.7,2.3,8.0,13.9,97,103,1233,10.4,0.472,0.003,0.204,9.1,17.5,13.2,5.4,1.1,3.6,13.7,14.8,0.2,1.3,1.5,0.06,-3.5,0.0,-3.5,-0.5,82.0,19830.0,3148.0,6871.0,0.458,322.0,901.0,0.357,2826.0,5970.0,0.473,1364.0,1737.0,0.785,1002.0,2470.0,3472.0,2083.0,682.0,456.0,1136.0,1900.0,7982.0,82.0,19830.0,2977.0,6588.0,0.452,350.0,996.0,0.351,2627.0,5592.0,0.47,1567.0,2164.0,0.724,967.0,2505.0,3472.0,1834.0,583.0,357.0,1246.0,1655.0,7871.0,47,35,45,37,1.35,0.46,1.81,105.2,103.7,91.8,0.253,0.131,0.482,13.0,28.6,0.199,0.478,14.2,71.9,0.238,Target Center,717371,0,0,0,0,0,0,2476,1282,-4.642149443,1.280387811,-3.361761632,-0.397958029,-0.438088662,0.040130633,-4.393556986,0.923660847,-3.469896139,0.308955672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2001-02,2002,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,MIN,NBA,C,82,82,27.0,4.0,8.0,0.493,0.0,0.0,0.0,4.0,8.0,0.494,0.493,0.5,0.9,0.549,2.4,4.1,6.5,0.9,0.5,1.3,1.1,3.2,8.4,2218,7.7,15.7,0.493,0.0,0.0,0.0,7.7,15.7,0.494,0.9,1.7,0.549,4.8,8.0,12.8,1.8,1.1,2.6,2.2,6.3,16.4,104,104,2218,12.9,0.499,0.002,0.108,10.6,17.2,13.9,5.2,1.1,3.7,12.0,16.0,1.6,2.5,4.1,0.089,-1.7,0.1,-1.7,0.2,82.0,19805.0,3175.0,6887.0,0.461,396.0,1047.0,0.378,2779.0,5840.0,0.476,1399.0,1754.0,0.798,1059.0,2562.0,3621.0,1993.0,524.0,427.0,1097.0,1739.0,8145.0,82.0,19805.0,2962.0,6654.0,0.445,492.0,1321.0,0.372,2470.0,5333.0,0.463,1452.0,1958.0,0.742,912.0,2326.0,3238.0,1855.0,542.0,407.0,1097.0,1676.0,7868.0,50,32,51,31,3.38,0.2,3.58,109.0,105.3,90.5,0.255,0.152,0.49,12.5,31.3,0.203,0.482,12.7,73.7,0.218,Target Center,731673,0,0,0,0,0,0,4417,2310,-2.295209769,1.438452502,-0.856757268,2.239268879,2.450097788,-0.210828909,-1.937659034,1.486637473,-0.451021561,-0.187892974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2002-03,2003,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,MIN,NBA,C,77,77,30.4,5.2,9.9,0.525,0.0,0.0,0.0,5.2,9.9,0.526,0.525,0.8,1.2,0.642,1.9,4.6,6.5,1.5,0.5,1.5,1.3,3.3,11.2,2337,8.9,17.0,0.525,0.0,0.0,0.0,8.9,17.0,0.526,1.4,2.1,0.642,3.3,8.0,11.3,2.5,0.9,2.6,2.2,5.7,19.2,106,103,2337,14.7,0.536,0.003,0.125,7.3,16.9,12.2,7.7,0.9,3.6,11.0,17.5,2.6,2.6,5.2,0.107,-0.7,0.5,-0.1,1.1,82.0,19805.0,3172.0,6809.0,0.466,296.0,804.0,0.368,2876.0,6005.0,0.479,1406.0,1826.0,0.77,959.0,2614.0,3573.0,2070.0,553.0,433.0,1124.0,1704.0,8046.0,82.0,19805.0,3005.0,6873.0,0.437,472.0,1362.0,0.347,2533.0,5511.0,0.46,1394.0,1853.0,0.752,974.0,2444.0,3418.0,1871.0,571.0,405.0,1116.0,1686.0,7876.0,51,31,47,35,2.07,0.39,2.46,106.1,103.8,91.9,0.268,0.118,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,Target Center,643684,0,0,0,0,0,0,4864,2506,-2.048704337,1.341033414,-0.707670923,2.607581448,2.850573439,-0.242991992,-1.727184373,1.449967251,-0.277217121,-0.24444575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2003-04,2004,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,27,SAS,NBA,C,82,82,28.7,4.0,8.5,0.469,0.0,0.0,,4.0,8.5,0.469,0.469,0.7,1.4,0.474,3.1,4.6,7.7,1.4,0.6,2.0,1.3,3.0,8.7,2353,7.5,16.0,0.469,0.0,0.0,,7.5,16.0,0.469,1.2,2.6,0.474,5.9,8.6,14.5,2.6,1.2,3.8,2.4,5.6,16.2,101,92,2353,15.3,0.473,0.0,0.163,12.4,17.6,15.0,8.4,1.2,5.1,12.5,16.8,1.6,5.6,7.2,0.147,-1.1,2.2,1.1,1.9,82.0,19755.0,2842.0,6434.0,0.442,408.0,1140.0,0.358,2434.0,5294.0,0.46,1409.0,2069.0,0.681,1029.0,2669.0,3698.0,1676.0,661.0,537.0,1203.0,1667.0,7501.0,82.0,19755.0,2613.0,6388.0,0.409,311.0,951.0,0.327,2302.0,5437.0,0.423,1372.0,1844.0,0.744,909.0,2459.0,3368.0,1419.0,635.0,380.0,1254.0,1837.0,6909.0,57,25,62,20,7.22,0.29,7.51,102.2,94.1,89.2,0.322,0.177,0.473,14.1,29.5,0.219,0.433,14.8,74.6,0.215,SBC Center,739706,0,0,0,0,0,0,4903,2614,-2.140251785,3.049637718,0.909385933,4.830024204,4.957666353,-0.12764215,-1.94859621,2.978206119,1.029609909,-0.546572692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2004-05,2005,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,28,SAS,NBA,C,70,70,25.5,2.8,6.1,0.46,0.0,0.0,,2.8,6.1,0.46,0.46,0.2,0.4,0.467,2.6,3.9,6.6,1.0,0.4,1.7,1.0,3.0,5.9,1785,6.0,13.0,0.46,0.0,0.0,,6.0,13.0,0.46,0.4,0.9,0.467,5.6,8.3,13.9,2.1,0.9,3.5,2.2,6.3,12.4,101,97,1785,12.0,0.463,0.0,0.07,12.0,18.0,15.0,6.3,0.9,4.7,14.1,13.5,0.5,3.8,4.2,0.114,-2.7,1.9,-0.7,0.6,82.0,19805.0,2923.0,6450.0,0.453,507.0,1395.0,0.363,2416.0,5055.0,0.478,1535.0,2120.0,0.724,987.0,2489.0,3476.0,1771.0,613.0,543.0,1126.0,1717.0,7888.0,82.0,19805.0,2712.0,6359.0,0.426,323.0,881.0,0.367,2389.0,5478.0,0.436,1501.0,1955.0,0.768,893.0,2403.0,3296.0,1385.0,594.0,421.0,1240.0,1891.0,7248.0,59,23,63,19,7.8,0.03,7.84,107.5,98.8,88.9,0.329,0.216,0.492,13.2,29.1,0.238,0.452,14.7,73.6,0.236,SBC Center,750970,0,0,0,0,0,0,3554,1899,-3.153299582,4.299064748,1.145765166,3.74690499,3.766647608,-0.019742618,-2.981341184,3.870613219,0.889272035,-0.525609072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2005-06,2006,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,29,SAS,NBA,C,80,51,18.9,2.2,4.2,0.515,0.0,0.0,0.0,2.2,4.2,0.518,0.515,0.2,0.4,0.6,1.4,2.4,3.9,0.4,0.3,1.1,0.7,2.6,4.5,1515,6.2,12.0,0.515,0.0,0.1,0.0,6.2,11.9,0.518,0.6,1.1,0.6,4.1,7.0,11.1,1.2,0.8,3.2,1.9,7.5,13.0,105,99,1515,11.0,0.521,0.006,0.09,9.1,14.8,12.1,3.4,0.8,4.2,13.2,12.6,0.9,2.9,3.7,0.118,-3.3,1.8,-1.5,0.2,82.0,19805.0,2993.0,6342.0,0.472,524.0,1362.0,0.385,2469.0,4980.0,0.496,1327.0,1891.0,0.702,851.0,2548.0,3399.0,1717.0,543.0,467.0,1126.0,1714.0,7837.0,82.0,19805.0,2782.0,6420.0,0.433,300.0,886.0,0.339,2482.0,5534.0,0.449,1414.0,1912.0,0.74,886.0,2417.0,3303.0,1336.0,599.0,343.0,1136.0,1709.0,7278.0,63,19,61,21,6.82,-0.13,6.69,107.3,99.6,88.5,0.298,0.215,0.513,13.6,26.0,0.209,0.457,13.5,74.2,0.22,SBC Center,770677,0,0,0,0,0,0,3037,1629,-3.36135731,3.621723396,0.260366085,2.503968753,2.366487739,0.137481013,-3.3845727,3.168832402,-0.215740299,-0.074608596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2006-07,2007,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,TOR,NBA,C,80,73,21.0,2.9,5.3,0.546,0.0,0.0,0.0,2.9,5.3,0.548,0.546,0.4,0.6,0.68,1.4,3.1,4.5,0.9,0.5,1.1,0.7,2.4,6.2,1676,7.1,13.0,0.546,0.0,0.0,0.0,7.1,13.0,0.548,1.1,1.5,0.68,3.6,7.6,11.1,2.3,1.1,2.6,1.7,6.0,15.3,112,104,1676,13.9,0.558,0.002,0.119,8.0,17.4,12.6,7.0,1.1,3.9,11.2,13.8,1.9,2.2,4.1,0.118,-1.4,1.2,-0.3,0.7,82.0,19755.0,3032.0,6547.0,0.463,531.0,1464.0,0.363,2501.0,5083.0,0.492,1562.0,1982.0,0.788,755.0,2480.0,3235.0,1822.0,581.0,321.0,1104.0,1672.0,8157.0,82.0,19755.0,3051.0,6593.0,0.463,533.0,1491.0,0.357,2518.0,5102.0,0.494,1441.0,1911.0,0.754,848.0,2641.0,3489.0,1742.0,489.0,317.0,1241.0,1786.0,8076.0,47,35,44,38,0.99,-0.38,0.61,107.0,106.0,92.6,0.303,0.224,0.504,13.0,22.2,0.239,0.503,14.3,74.5,0.219,Air Canada Centre,748603,0,0,0,0,0,0,3405,1747,-2.057177916,1.826713998,-0.230463918,2.2363836,2.216348049,0.020035552,-2.193693487,1.529313596,-0.664379892,-0.375482908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2007-08,2008,Rasho Nesterović,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,TOR,NBA,C,71,39,20.9,3.6,6.6,0.55,0.0,0.0,0.333,3.6,6.5,0.552,0.551,0.5,0.7,0.755,1.8,3.0,4.8,1.2,0.3,0.7,0.8,1.9,7.8,1486,9.2,16.7,0.55,0.0,0.1,0.333,9.2,16.6,0.552,1.3,1.8,0.755,4.7,7.6,12.2,2.9,0.7,1.9,2.1,4.7,19.8,114,107,1486,16.1,0.565,0.006,0.105,10.3,17.0,13.6,8.9,0.7,2.8,10.9,17.4,2.3,1.6,3.9,0.125,0.0,-0.1,0.0,0.7,82.0,19830.0,3148.0,6726.0,0.468,572.0,1459.0,0.392,2576.0,5267.0,0.489,1347.0,1658.0,0.812,790.0,2496.0,3286.0,1953.0,570.0,336.0,959.0,1596.0,8215.0,82.0,19830.0,3007.0,6569.0,0.458,619.0,1683.0,0.368,2388.0,4886.0,0.489,1344.0,1732.0,0.776,830.0,2583.0,3413.0,1797.0,470.0,333.0,1149.0,1508.0,7977.0,41,41,49,33,2.9,-0.44,2.47,110.2,107.0,90.2,0.247,0.217,0.511,11.4,23.4,0.2,0.505,13.5,75.0,0.205,Air Canada Centre,796835,0,0,0,0,0,0,2972,1563,-1.892838128,1.203754001,-0.689084127,1.62146613,1.852218771,-0.230752641,-1.872865685,0.501450682,-1.371415002,-0.612610893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
