,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1996-97,1997,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,VAN,NBA,PG,8,0,11.1,0.5,2.8,0.182,0.3,1.3,0.2,0.3,1.5,0.167,0.227,0.3,0.6,0.4,0.4,1.1,1.5,2.9,0.5,0.0,0.6,0.6,1.5,89,2.4,13.4,0.182,1.2,6.1,0.2,1.2,7.3,0.167,1.2,3.0,0.4,1.8,5.5,7.3,14.0,2.4,0.0,3.0,3.0,7.3,81,112,89,8.2,0.248,0.455,0.227,3.9,11.9,7.8,38.7,2.4,0.0,17.1,15.2,-0.2,0.0,-0.1,-0.066,-3.9,-1.9,-5.9,-0.1,82.0,19780.0,2819.0,6453.0,0.437,445.0,1274.0,0.349,2374.0,5179.0,0.458,1230.0,1734.0,0.709,1023.0,2155.0,3178.0,1862.0,657.0,464.0,1301.0,1755.0,7313.0,82.0,19780.0,3092.0,6556.0,0.472,500.0,1369.0,0.365,2592.0,5187.0,0.5,1468.0,2018.0,0.727,1206.0,2426.0,3632.0,1974.0,725.0,461.0,1251.0,1593.0,8152.0,14,68,15,67,-10.23,0.06,-10.17,100.3,111.8,88.4,0.269,0.197,0.471,15.3,29.7,0.191,0.51,14.4,64.1,0.224,General Motors Place,683442,8,11.1,-1.52,-0.94,-2.45,0.04,166,89,-2.285426264,-1.386612122,-3.672038386,-0.041851168,-0.041851168,0.0,-2.480231089,-2.036443876,-4.516674966,-0.036108104,8,2,6,10.9,119.6,1.1,9.8,20.9,0.5,28.6,0.0,0.0,5.4,4.6,3.0,11.5,-0.022,0
1,1998-99,1999,Moochie Norris,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,SEA,NBA,PG,12,0,11.7,1.1,3.3,0.325,0.5,1.3,0.4,0.6,2.1,0.28,0.4,0.5,1.3,0.375,0.3,1.3,1.7,2.0,0.6,0.0,1.3,1.4,3.2,140,5.0,15.3,0.325,2.3,5.7,0.4,2.7,9.6,0.28,2.3,6.1,0.375,1.5,6.1,7.7,9.2,2.7,0.0,6.1,6.5,14.5,81,105,140,7.6,0.404,0.375,0.4,3.3,13.3,8.2,27.1,2.7,0.0,25.4,20.4,-0.3,0.1,-0.2,-0.057,-4.0,-0.3,-4.3,-0.1,50.0,12100.0,1756.0,3976.0,0.442,309.0,899.0,0.344,1447.0,3077.0,0.47,922.0,1354.0,0.681,676.0,1422.0,2098.0,1087.0,393.0,201.0,765.0,1047.0,4743.0,50.0,12100.0,1838.0,4026.0,0.457,264.0,765.0,0.345,1574.0,3261.0,0.483,857.0,1187.0,0.722,652.0,1446.0,2098.0,1111.0,399.0,224.0,746.0,1165.0,4797.0,25,25,23,27,-1.08,-0.35,-1.43,105.0,106.2,89.6,0.341,0.226,0.481,14.3,31.9,0.232,0.489,14.1,68.6,0.213,KeyArena at Seattle Center,426800,12,11.7,-1.96,-1.37,-3.32,-0.0,264,140,-4.95645776,-1.465791613,-6.422249373,-0.265614899,-0.265614899,0.0,-4.34731625,-1.804496289,-6.15181254,1.136871111,12,8,4,11.6,93.3,1.3,11.1,19.3,0.6,16.7,0.0,0.0,4.1,3.7,2.9,8.7,0.061,0
2,1999-00,2000,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,HOU,NBA,PG,30,0,16.7,2.3,5.3,0.434,0.4,1.0,0.414,1.9,4.3,0.438,0.472,1.9,2.4,0.781,0.5,1.7,2.3,3.1,0.8,0.0,1.0,1.1,6.9,502,7.0,16.1,0.434,1.2,2.9,0.414,5.8,13.2,0.438,5.8,7.4,0.781,1.6,5.3,6.9,9.5,2.3,0.1,3.0,3.2,21.0,116,106,502,18.4,0.542,0.182,0.459,3.7,11.4,7.6,30.2,2.3,0.1,13.6,19.3,1.3,0.4,1.7,0.158,1.6,0.1,1.7,0.5,82.0,19830.0,3001.0,6664.0,0.45,581.0,1625.0,0.358,2420.0,5039.0,0.48,1573.0,2145.0,0.733,1008.0,2586.0,3594.0,1774.0,613.0,438.0,1425.0,1663.0,8156.0,82.0,19830.0,3226.0,7074.0,0.456,350.0,990.0,0.354,2876.0,6084.0,0.473,1425.0,1829.0,0.779,1027.0,2451.0,3478.0,1863.0,735.0,433.0,1126.0,1833.0,8227.0,34,48,39,43,-0.87,0.3,-0.57,104.8,105.7,94.2,0.322,0.244,0.494,15.8,29.1,0.236,0.481,12.5,71.6,0.201,Compaq Center,624594,30,16.7,2.1,-0.37,1.73,1.42,996,502,2.037556427,-0.262622799,1.774933629,1.153097616,1.153097616,0.0,1.523174177,-0.485342461,1.037831716,-0.47398495,30,13,17,16.7,100.9,1.7,10.0,15.4,0.8,26.4,0.0,2.0,5.8,4.9,4.8,14.4,0.052,0
3,2000-01,2001,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,HOU,NBA,PG,82,6,20.2,2.2,5.0,0.446,0.3,1.1,0.281,1.9,4.0,0.491,0.476,1.8,2.4,0.778,0.5,1.9,2.4,3.5,0.8,0.0,1.3,1.0,6.6,1654,5.9,13.3,0.446,0.8,2.9,0.281,5.1,10.4,0.491,4.8,6.2,0.778,1.4,4.9,6.4,9.1,2.2,0.1,3.4,2.7,17.5,111,105,1654,16.2,0.546,0.215,0.47,3.2,10.5,6.9,27.1,2.2,0.1,17.7,16.8,3.1,1.2,4.4,0.126,0.9,0.1,1.0,1.2,82.0,19830.0,2943.0,6494.0,0.453,504.0,1412.0,0.357,2439.0,5082.0,0.48,1582.0,2086.0,0.758,919.0,2524.0,3443.0,1613.0,587.0,358.0,1204.0,1657.0,7972.0,82.0,19830.0,3020.0,6733.0,0.449,359.0,1015.0,0.354,2661.0,5718.0,0.465,1385.0,1862.0,0.744,988.0,2420.0,3408.0,1735.0,605.0,400.0,1092.0,1771.0,7784.0,45,37,48,34,2.29,0.42,2.71,106.7,104.2,90.4,0.321,0.217,0.492,14.0,27.5,0.244,0.475,12.6,71.9,0.206,Compaq Center,518555,82,20.2,0.31,0.42,0.73,3.85,3151,1654,1.443157253,0.133945049,1.577102302,3.636040316,3.636040316,0.0,1.154472107,-0.474655354,0.679816754,-0.391336683,82,45,37,20.1,101.7,1.9,9.3,14.9,0.8,29.4,0.0,1.4,6.6,5.8,4.1,16.2,0.051,0
4,2001-02,2002,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,HOU,NBA,PG,82,26,27.4,3.1,7.7,0.398,0.4,1.6,0.269,2.6,6.1,0.433,0.426,1.5,2.1,0.751,0.9,2.1,3.0,4.9,1.0,0.0,1.9,1.6,8.1,2249,6.1,15.3,0.398,0.9,3.2,0.269,5.2,12.0,0.433,3.1,4.1,0.751,1.8,4.2,6.0,9.8,2.0,0.1,3.8,3.1,16.1,101,111,2249,13.1,0.471,0.212,0.268,3.7,8.9,6.3,29.9,2.0,0.1,18.1,17.8,1.2,0.7,1.8,0.039,-1.2,-1.2,-2.4,-0.2,82.0,19980.0,2837.0,6629.0,0.428,496.0,1480.0,0.335,2341.0,5149.0,0.455,1402.0,1893.0,0.741,1025.0,2411.0,3436.0,1482.0,537.0,445.0,1156.0,1476.0,7572.0,82.0,19980.0,3191.0,6875.0,0.464,370.0,1028.0,0.36,2821.0,5847.0,0.482,1221.0,1623.0,0.752,1045.0,2507.0,3552.0,1838.0,576.0,415.0,988.0,1647.0,7973.0,28,54,27,55,-4.89,0.58,-4.31,103.1,108.6,88.2,0.286,0.223,0.465,13.4,29.0,0.211,0.491,11.5,69.8,0.178,Compaq Center,481227,82,27.4,-0.41,-0.16,-0.56,3.0,4180,2249,0.178760982,-0.928989089,-0.750228107,2.288420594,2.288420594,0.0,-0.039185357,-0.963149561,-1.002334918,-0.247882875,82,28,54,27.4,106.5,2.1,8.0,13.2,1.0,28.1,0.0,1.7,8.9,8.1,6.6,22.6,0.041,0
5,2002-03,2003,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,HOU,NBA,PG,82,3,16.8,1.6,4.0,0.406,0.1,0.5,0.244,1.5,3.5,0.432,0.423,1.0,1.4,0.684,0.5,1.5,1.9,2.4,0.7,0.0,1.0,0.9,4.4,1375,5.3,13.0,0.406,0.4,1.8,0.244,4.8,11.2,0.432,3.1,4.5,0.684,1.5,4.8,6.3,7.7,2.2,0.2,3.4,2.8,14.0,99,104,1375,11.8,0.47,0.136,0.345,3.2,10.0,6.7,23.2,2.2,0.2,18.4,15.6,0.5,1.3,1.7,0.061,-1.8,0.4,-1.5,0.2,82.0,19930.0,2840.0,6461.0,0.44,439.0,1267.0,0.346,2401.0,5194.0,0.462,1569.0,2044.0,0.768,1024.0,2564.0,3588.0,1506.0,594.0,493.0,1276.0,1602.0,7688.0,82.0,19930.0,2891.0,6681.0,0.433,386.0,1113.0,0.347,2505.0,5568.0,0.45,1399.0,1805.0,0.775,979.0,2353.0,3332.0,1683.0,663.0,381.0,1082.0,1794.0,7567.0,43,39,46,36,1.48,0.42,1.89,104.3,102.6,88.8,0.316,0.196,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,565166,82,16.8,-1.77,-0.15,-1.92,1.03,2573,1375,-1.34348608,0.150244023,-1.193242056,1.088193749,1.088193749,0.0,-1.603523377,-0.578453745,-2.181977122,-0.329751552,82,43,39,16.8,100.1,1.5,8.9,14.3,0.7,25.5,0.0,2.2,6.2,4.7,3.5,12.1,0.054,0
6,2003-04,2004,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,HOU,NBA,PG,30,0,13.4,0.9,2.9,0.31,0.3,0.8,0.348,0.6,2.1,0.297,0.356,0.6,0.8,0.75,0.1,0.9,1.0,1.6,0.5,0.1,1.0,0.5,2.7,401,3.7,11.9,0.31,1.1,3.1,0.348,2.6,8.7,0.297,2.5,3.3,0.75,0.3,3.8,4.1,6.5,2.2,0.3,4.1,2.2,10.9,81,101,401,6.7,0.41,0.264,0.276,0.6,7.8,4.4,19.3,2.2,0.4,23.5,15.2,-0.5,0.5,0.0,-0.005,-3.8,0.9,-3.0,-0.1,82.0,19930.0,2738.0,6195.0,0.442,515.0,1406.0,0.366,2223.0,4789.0,0.464,1371.0,1774.0,0.773,847.0,2647.0,3494.0,1579.0,560.0,443.0,1373.0,1762.0,7362.0,82.0,19930.0,2636.0,6405.0,0.412,457.0,1227.0,0.372,2179.0,5178.0,0.421,1491.0,2024.0,0.737,907.0,2351.0,3258.0,1689.0,710.0,359.0,1103.0,1695.0,7220.0,45,37,47,35,1.73,0.55,2.28,100.9,99.0,87.8,0.286,0.227,0.484,16.4,26.5,0.221,0.447,13.1,74.5,0.233,Toyota Center,640794,66,12.8,-2.16,0.55,-1.62,0.95,1583,847,-2.228028115,-0.141044661,-2.369072777,0.158792543,0.158792543,0.0,-2.226802919,-0.987045534,-3.213848452,0.510938994,66,35,31,12.8,97.2,0.8,7.0,11.2,0.7,29.1,0.1,5.9,4.4,3.3,2.6,7.9,0.049,0
7,2003-04,2004,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NYK,NBA,PG,36,0,12.4,1.5,3.6,0.408,0.3,1.0,0.343,1.1,2.6,0.432,0.454,1.0,1.3,0.766,0.2,0.8,1.0,2.0,0.8,0.1,0.9,1.0,4.3,446,6.4,15.6,0.408,1.4,4.2,0.343,4.9,11.4,0.432,4.3,5.7,0.766,1.0,3.2,4.2,8.8,3.4,0.4,4.1,4.2,18.5,102,103,446,14.8,0.511,0.269,0.362,2.1,6.9,4.5,27.0,3.4,0.5,18.4,19.2,0.4,0.5,0.8,0.091,-0.1,0.7,0.6,0.3,82.0,19880.0,2881.0,6513.0,0.442,406.0,1115.0,0.364,2475.0,5398.0,0.459,1374.0,1732.0,0.793,950.0,2543.0,3493.0,1695.0,608.0,391.0,1289.0,1897.0,7542.0,82.0,19880.0,2785.0,6491.0,0.429,415.0,1228.0,0.338,2370.0,5263.0,0.45,1678.0,2198.0,0.763,950.0,2444.0,3394.0,1676.0,675.0,383.0,1132.0,1600.0,7663.0,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,89.5,0.266,0.171,0.474,15.1,28.0,0.211,0.461,13.2,72.8,0.259,Madison Square Garden (IV),785739,66,12.8,-2.16,0.55,-1.62,0.95,1583,847,-2.228028115,-0.141044661,-2.369072777,0.158792543,0.158792543,0.0,-2.226802919,-0.987045534,-3.213848452,0.510938994,66,35,31,12.8,97.2,0.8,7.0,11.2,0.7,29.1,0.1,5.9,4.4,3.3,2.6,7.9,0.049,0
8,2004-05,2005,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,NYK,NBA,PG,32,0,10.0,1.0,2.9,0.344,0.0,0.4,0.0,1.0,2.5,0.395,0.344,0.6,0.7,0.818,0.3,1.0,1.3,1.1,0.5,0.1,0.8,1.3,2.6,321,5.3,15.3,0.344,0.0,2.0,0.0,5.3,13.4,0.395,3.0,3.6,0.818,1.5,5.4,6.9,5.6,2.8,0.3,4.1,6.9,13.5,82,107,321,6.8,0.399,0.129,0.237,3.3,12.2,7.7,16.3,2.8,0.5,19.6,18.2,-0.6,0.3,-0.3,-0.043,-6.1,0.6,-5.5,-0.3,82.0,19880.0,2978.0,6599.0,0.451,441.0,1240.0,0.356,2537.0,5359.0,0.473,1580.0,2060.0,0.767,965.0,2393.0,3358.0,1665.0,629.0,260.0,1204.0,1942.0,7977.0,82.0,19880.0,3001.0,6454.0,0.465,464.0,1276.0,0.364,2537.0,5178.0,0.49,1711.0,2264.0,0.756,969.0,2448.0,3417.0,1697.0,602.0,389.0,1195.0,1736.0,8177.0,33,49,34,48,-2.44,-0.28,-2.72,106.2,108.9,90.7,0.312,0.188,0.485,13.8,28.3,0.239,0.501,13.8,71.2,0.265,Madison Square Garden (IV),800144,38,9.5,-4.12,1.31,-2.81,0.09,700,367,-5.442604766,-0.227044259,-5.669649025,-0.552619497,-0.511358163,-0.041261334,-5.255163685,-0.735303629,-5.990467314,0.76709226,38,17,21,9.4,94.9,0.9,10.1,16.1,0.5,29.0,0.1,6.1,3.5,2.3,1.8,6.2,0.052,0
9,2004-05,2005,Moochie Norris,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,HOU,NBA,PG,6,0,6.5,0.5,2.7,0.188,0.0,0.0,,0.5,2.7,0.188,0.188,0.3,0.3,1.0,0.2,0.5,0.7,0.8,0.2,0.0,0.3,0.3,1.3,39,4.2,22.2,0.188,0.0,0.0,,4.2,22.2,0.188,2.8,2.8,1.0,1.4,4.2,5.5,6.9,1.4,0.0,2.8,2.8,11.1,64,105,39,0.6,0.237,0.0,0.125,3.1,8.7,6.0,20.0,1.4,0.0,10.6,22.8,-0.2,0.0,-0.1,-0.168,-10.8,-5.0,-15.8,-0.1,82.0,19855.0,2846.0,6419.0,0.443,553.0,1521.0,0.364,2293.0,4898.0,0.468,1551.0,1986.0,0.781,874.0,2601.0,3475.0,1733.0,563.0,378.0,1135.0,1807.0,7796.0,82.0,19855.0,2720.0,6423.0,0.423,454.0,1343.0,0.338,2266.0,5080.0,0.446,1571.0,2116.0,0.742,892.0,2444.0,3336.0,1696.0,607.0,335.0,1087.0,1773.0,7465.0,51,31,53,29,4.04,0.23,4.27,106.2,101.7,88.8,0.309,0.237,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,Toyota Center,663444,38,9.5,-4.12,1.31,-2.81,0.09,700,367,-5.442604766,-0.227044259,-5.669649025,-0.552619497,-0.511358163,-0.041261334,-5.255163685,-0.735303629,-5.990467314,0.76709226,38,17,21,9.4,94.9,0.9,10.1,16.1,0.5,29.0,0.1,6.1,3.5,2.3,1.8,6.2,0.052,0
