,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Charles Oakley,5T,0.0,1.0,1.0,False,2.0,1.0,500.0,29,NYK,NBA,PF,82,82,27.2,2.7,5.3,0.508,0.0,0.0,0.0,2.7,5.2,0.509,0.508,1.5,2.1,0.722,3.5,5.1,8.6,1.5,1.0,0.2,1.5,3.5,6.9,2230,5.0,9.8,0.508,0.0,0.0,0.0,5.0,9.8,0.509,2.9,4.0,0.722,6.6,9.6,16.1,2.9,1.9,0.3,2.8,6.6,12.9,112,98,2230,12.6,0.556,0.002,0.408,14.8,20.3,17.7,8.0,1.9,0.5,19.6,12.3,2.2,5.1,7.3,0.157,-1.2,1.9,0.7,1.5,82.0,19930.0,3209.0,6898.0,0.465,193.0,604.0,0.32,3016.0,6294.0,0.479,1717.0,2316.0,0.741,1150.0,2660.0,3810.0,2125.0,680.0,372.0,1296.0,2111.0,8328.0,82.0,19930.0,2822.0,6621.0,0.426,230.0,753.0,0.305,2592.0,5868.0,0.442,1949.0,2582.0,0.755,1031.0,2325.0,3356.0,1658.0,657.0,384.0,1360.0,2010.0,7823.0,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,94.5,0.336,0.088,0.479,14.1,33.1,0.249,0.444,14.9,72.1,0.294,Madison Square Garden (IV),804840,0,0,0.0,0.0,0.0,0.0,5407,2737,-0.240250207,1.825496899,1.585246691,6.073737293,5.168615353,0.905121939,-0.298153581,1.90085891,1.602705329,0.038321966,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Charles Oakley,9,0.0,2.0,2.0,False,0.0,2.0,500.0,30,NYK,NBA,PF,82,82,35.8,4.4,9.3,0.478,0.0,0.0,0.0,4.4,9.2,0.48,0.478,3.0,3.8,0.776,4.3,7.5,11.8,2.7,1.3,0.2,2.4,3.6,11.8,2932,6.4,13.4,0.478,0.0,0.1,0.0,6.4,13.3,0.48,4.3,5.5,0.776,6.2,10.9,17.0,3.8,1.9,0.3,3.4,5.2,17.1,110,96,2932,15.3,0.54,0.004,0.412,13.8,23.3,18.6,11.3,1.9,0.4,17.7,16.3,3.7,6.8,10.5,0.172,0.1,1.5,1.6,2.6,82.0,19755.0,3098.0,6735.0,0.46,316.0,908.0,0.348,2782.0,5827.0,0.477,1564.0,2097.0,0.746,1175.0,2542.0,3717.0,2067.0,752.0,385.0,1360.0,2001.0,8076.0,82.0,19755.0,2783.0,6451.0,0.431,253.0,825.0,0.307,2530.0,5626.0,0.45,1684.0,2341.0,0.719,1016.0,2245.0,3261.0,1677.0,677.0,333.0,1420.0,1897.0,7503.0,57,25,60,22,6.99,-0.5,6.48,105.7,98.2,92.8,0.311,0.135,0.483,15.1,34.4,0.232,0.451,16.0,71.4,0.261,Madison Square Garden (IV),810193,0,0,0.0,0.0,0.0,0.0,7561,3924,0.537869587,1.943627016,2.481496603,10.52885703,7.724776559,2.804080468,0.538536741,2.157681245,2.696217987,-0.30761299,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,31,NYK,NBA,PF,50,49,31.3,3.8,7.9,0.489,0.1,0.2,0.25,3.8,7.6,0.496,0.492,2.4,3.0,0.793,3.1,5.8,8.9,2.5,1.2,0.1,2.1,3.6,10.1,1567,6.5,13.2,0.489,0.1,0.4,0.25,6.4,12.8,0.496,4.0,5.0,0.793,5.2,9.7,15.0,4.2,2.0,0.2,3.5,6.0,17.0,109,101,1567,14.3,0.551,0.031,0.382,12.1,21.0,16.7,12.7,2.0,0.3,18.3,16.4,1.6,2.9,4.5,0.138,-0.7,1.3,0.7,1.0,82.0,19780.0,2985.0,6394.0,0.467,532.0,1446.0,0.368,2453.0,4948.0,0.496,1552.0,2114.0,0.734,929.0,2473.0,3402.0,2055.0,591.0,387.0,1305.0,2102.0,8054.0,82.0,19780.0,2800.0,6410.0,0.437,397.0,1165.0,0.341,2403.0,5245.0,0.458,1802.0,2449.0,0.736,1021.0,2317.0,3338.0,1584.0,639.0,324.0,1264.0,1907.0,7799.0,55,27,50,32,3.11,-0.33,2.78,107.2,103.8,91.2,0.331,0.226,0.508,15.1,28.6,0.243,0.468,14.4,70.8,0.281,Madison Square Garden (IV),810283,0,0,0.0,0.0,0.0,0.0,3776,1988,-0.102915984,1.766854031,1.663938047,4.549912693,2.972063044,1.57784965,-0.056785945,1.912263736,1.855477791,-0.115162505,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,32,NYK,NBA,PF,53,51,33.5,4.0,8.5,0.471,0.1,0.5,0.269,3.8,8.0,0.483,0.479,3.3,4.0,0.833,3.1,5.6,8.7,2.6,1.1,0.3,2.0,3.7,11.4,1775,6.3,13.3,0.471,0.2,0.8,0.269,6.1,12.5,0.483,5.2,6.2,0.833,4.8,8.9,13.7,4.1,1.7,0.4,3.1,5.8,17.9,113,102,1775,15.1,0.559,0.058,0.469,11.1,19.3,15.3,12.1,1.7,0.6,16.1,16.9,2.6,3.0,5.6,0.15,-0.1,1.0,0.9,1.3,82.0,19830.0,3003.0,6382.0,0.471,485.0,1285.0,0.377,2518.0,5097.0,0.494,1480.0,1954.0,0.757,829.0,2449.0,3278.0,1822.0,645.0,377.0,1272.0,1864.0,7971.0,82.0,19830.0,2859.0,6471.0,0.442,442.0,1311.0,0.337,2417.0,5160.0,0.468,1621.0,2191.0,0.74,995.0,2425.0,3420.0,1671.0,653.0,281.0,1293.0,1762.0,7781.0,47,35,48,34,2.32,-0.08,2.24,106.0,103.5,91.0,0.306,0.201,0.509,14.9,25.5,0.232,0.476,14.8,71.1,0.251,Madison Square Garden (IV),810283,0,0,0.0,0.0,0.0,0.0,3958,2083,0.166312751,1.128664555,1.294977306,4.30892732,3.678749629,0.630177691,0.115517247,1.372353498,1.487870746,-0.16248642,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,33,NYK,NBA,PF,80,80,35.9,4.2,8.7,0.488,0.1,0.2,0.263,4.2,8.4,0.495,0.492,2.3,2.8,0.808,3.1,6.7,9.8,2.8,1.4,0.3,2.1,3.8,10.8,2873,6.3,12.8,0.488,0.1,0.4,0.263,6.2,12.5,0.495,3.3,4.1,0.808,4.5,9.9,14.4,4.1,2.0,0.4,3.2,5.6,15.9,109,99,2873,14.2,0.545,0.027,0.323,10.6,21.6,16.3,12.7,2.0,0.6,17.7,15.4,3.1,5.8,8.9,0.149,-0.4,2.1,1.7,2.7,82.0,19855.0,2882.0,6227.0,0.463,470.0,1294.0,0.363,2412.0,4933.0,0.489,1585.0,2119.0,0.748,973.0,2516.0,3489.0,1809.0,629.0,378.0,1462.0,2033.0,7819.0,82.0,19855.0,2665.0,6272.0,0.425,481.0,1374.0,0.35,2184.0,4898.0,0.446,1752.0,2389.0,0.733,911.0,2220.0,3131.0,1589.0,727.0,295.0,1333.0,1882.0,7563.0,57,25,50,32,3.12,0.18,3.31,104.4,101.0,90.5,0.34,0.208,0.501,17.0,30.5,0.255,0.463,15.4,73.4,0.279,Madison Square Garden (IV),790520,80,35.9,-1.73,2.02,0.29,6.4,6142,3231,-0.327103047,2.3009415,1.973838454,7.812174075,6.742741988,1.069432088,-0.297681577,2.608160149,2.310478571,-0.152468208,80,55,25,35.9,98.8,6.7,19.0,29.5,1.4,24.8,0.3,8.3,13.5,9.0,6.6,25.3,0.163,0
5,1997-98,1998,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,34,NYK,NBA,PF,79,79,34.6,3.9,8.8,0.44,0.0,0.1,0.0,3.9,8.8,0.444,0.44,1.2,1.4,0.851,2.8,6.4,9.2,2.5,1.6,0.3,1.6,3.5,9.0,2734,6.1,13.9,0.44,0.0,0.1,0.0,6.1,13.8,0.444,1.9,2.3,0.851,4.3,10.1,14.4,4.0,2.4,0.4,2.5,5.6,14.2,102,97,2734,13.1,0.475,0.009,0.163,9.5,22.3,15.9,12.1,2.4,0.6,14.4,15.0,1.4,5.6,7.0,0.122,-1.3,2.3,1.0,2.1,82.0,19830.0,2864.0,6413.0,0.447,382.0,1139.0,0.335,2482.0,5274.0,0.471,1399.0,1812.0,0.772,978.0,2434.0,3412.0,1787.0,634.0,278.0,1247.0,1947.0,7509.0,82.0,19830.0,2624.0,6130.0,0.428,331.0,1045.0,0.317,2293.0,5085.0,0.451,1728.0,2304.0,0.75,854.0,2341.0,3195.0,1585.0,653.0,313.0,1234.0,1705.0,7307.0,43,39,49,33,2.46,0.28,2.74,103.0,100.3,88.2,0.283,0.178,0.476,14.7,29.5,0.218,0.455,14.7,74.0,0.282,Madison Square Garden (IV),810283,79,34.6,-2.84,3.2,0.36,5.74,5706,3076,-1.204061432,2.711856251,1.507794819,6.689167988,6.010984455,0.678183533,-0.999760827,3.049662816,2.049901989,-0.16539735,79,42,37,34.6,98.1,6.4,19.7,31.0,1.6,27.2,0.3,12.5,11.0,8.7,6.7,23.3,0.147,0
6,1998-99,1999,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,35,TOR,NBA,PF,50,50,32.7,2.8,6.5,0.428,0.0,0.1,0.2,2.8,6.4,0.432,0.43,1.3,1.7,0.807,1.9,5.6,7.5,3.4,0.9,0.4,1.9,3.6,7.0,1633,4.6,10.8,0.428,0.0,0.2,0.2,4.6,10.7,0.432,2.2,2.7,0.807,3.2,9.2,12.4,5.6,1.5,0.7,3.2,6.0,11.5,99,103,1633,10.8,0.479,0.015,0.254,6.7,19.9,13.3,17.1,1.5,1.0,20.9,12.8,0.7,1.4,2.1,0.062,-2.2,0.1,-2.2,-0.1,50.0,12075.0,1660.0,3940.0,0.421,226.0,662.0,0.341,1434.0,3278.0,0.437,1011.0,1330.0,0.76,712.0,1447.0,2159.0,1036.0,439.0,321.0,799.0,1139.0,4557.0,50.0,12075.0,1694.0,3855.0,0.439,255.0,686.0,0.372,1439.0,3169.0,0.454,996.0,1368.0,0.728,614.0,1393.0,2007.0,1095.0,446.0,258.0,773.0,1088.0,4639.0,23,27,22,28,-1.64,0.33,-1.32,102.0,103.9,88.8,0.338,0.168,0.45,15.0,33.8,0.257,0.473,14.8,70.2,0.258,Air Canada Centre,439190,50,32.7,-2.85,0.51,-2.34,1.02,3056,1633,-1.034421131,-0.914283171,-1.948704302,0.666715463,0.666715463,0.0,-1.142535644,-0.299948604,-1.442484248,-0.11988792,50,23,27,32.7,99.2,5.6,18.0,28.2,0.9,15.1,0.4,11.4,12.0,7.1,10.9,21.9,0.097,0
7,1999-00,2000,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,36,TOR,NBA,PF,80,80,30.4,2.9,7.0,0.418,0.2,0.5,0.341,2.8,6.5,0.424,0.43,0.8,1.1,0.776,1.5,5.3,6.8,3.2,1.3,0.6,1.9,3.7,6.9,2431,5.0,12.0,0.418,0.3,0.9,0.341,4.7,11.1,0.424,1.4,1.8,0.776,2.5,9.0,11.5,5.4,2.2,1.0,3.3,6.3,11.7,93,103,2431,10.1,0.459,0.073,0.152,5.2,20.2,12.4,15.8,2.2,1.3,20.5,13.7,-0.7,2.9,2.2,0.044,-3.3,1.1,-2.2,-0.1,82.0,19755.0,2980.0,6882.0,0.433,425.0,1171.0,0.363,2555.0,5711.0,0.447,1583.0,2068.0,0.765,1098.0,2449.0,3547.0,1947.0,666.0,544.0,1137.0,1989.0,7968.0,82.0,19755.0,3002.0,6615.0,0.454,346.0,1021.0,0.339,2656.0,5594.0,0.475,1631.0,2136.0,0.764,961.0,2552.0,3513.0,1790.0,557.0,434.0,1250.0,1874.0,7981.0,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,92.5,0.3,0.17,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,Air Canada Centre,756496,80,30.4,-3.9,1.64,-2.26,0.26,4938,2541,-2.444979685,0.522274018,-1.922705668,1.104360171,0.799637528,0.304722643,-2.149250871,0.93751488,-1.211735991,0.258337779,80,45,35,30.4,102.0,5.3,17.6,27.4,1.3,24.8,0.6,14.3,9.0,8.5,11.5,25.3,0.082,0
8,2000-01,2001,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,37,TOR,NBA,PF,78,77,35.5,3.9,10.1,0.388,0.1,0.6,0.224,3.8,9.4,0.399,0.395,1.6,1.9,0.836,1.8,7.7,9.5,3.4,1.0,0.6,1.8,3.3,9.6,2767,5.8,15.0,0.388,0.2,0.9,0.224,5.6,14.1,0.399,2.4,2.9,0.836,2.7,11.4,14.1,5.0,1.4,0.9,2.7,4.9,14.3,96,101,2767,11.6,0.439,0.062,0.193,5.6,25.0,15.1,14.6,1.4,1.2,14.0,16.0,0.2,3.5,3.7,0.065,-2.2,0.8,-1.4,0.4,82.0,19955.0,3048.0,6972.0,0.437,429.0,1164.0,0.369,2619.0,5808.0,0.451,1482.0,1984.0,0.747,1118.0,2529.0,3647.0,2004.0,599.0,519.0,1080.0,1745.0,8007.0,82.0,19955.0,3009.0,6725.0,0.447,379.0,1045.0,0.363,2630.0,5680.0,0.463,1425.0,1890.0,0.754,926.0,2511.0,3437.0,1696.0,561.0,439.0,1156.0,1792.0,7822.0,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,90.9,0.285,0.167,0.468,12.1,30.8,0.213,0.476,13.3,73.2,0.212,Air Canada Centre,793256,78,35.5,-2.3,1.7,-0.6,4.1,6016,3158,-2.100276584,0.897436511,-1.202840072,2.485708616,2.307161724,0.178546892,-1.713967455,1.111727465,-0.60223999,-0.246956975,78,45,33,35.5,100.5,7.7,21.9,33.4,1.0,17.9,0.6,14.0,10.1,9.3,11.7,27.5,0.104,0
9,2001-02,2002,Charles Oakley,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,38,CHI,NBA,PF,57,36,24.3,1.7,4.6,0.369,0.0,0.1,0.167,1.7,4.5,0.374,0.371,0.4,0.5,0.75,1.3,4.8,6.0,2.0,0.9,0.2,1.5,3.1,3.8,1383,3.7,10.1,0.369,0.0,0.2,0.167,3.7,9.9,0.374,0.8,1.1,0.75,2.8,10.4,13.1,4.4,1.9,0.4,3.3,6.7,8.3,80,105,1383,6.6,0.392,0.023,0.106,5.9,23.5,14.5,12.9,1.9,0.6,24.0,12.1,-1.8,1.3,-0.5,-0.016,-5.6,0.5,-5.1,-1.1,82.0,19805.0,2811.0,6491.0,0.433,300.0,868.0,0.346,2511.0,5623.0,0.447,1413.0,1958.0,0.722,924.0,2359.0,3283.0,1817.0,633.0,361.0,1252.0,1834.0,7335.0,82.0,19805.0,3027.0,6514.0,0.465,421.0,1177.0,0.358,2606.0,5337.0,0.488,1560.0,2090.0,0.746,944.0,2553.0,3497.0,2066.0,681.0,399.0,1178.0,1720.0,8035.0,21,61,18,64,-8.54,0.02,-8.52,98.2,107.6,90.5,0.302,0.134,0.456,14.6,26.6,0.218,0.497,13.7,71.4,0.239,United Center,776311,57,24.3,-5.69,0.56,-5.14,-2.2,2637,1383,-5.688661601,0.424081983,-5.264579618,-1.782167542,-1.782167542,0.0,-5.447715513,0.650634595,-4.797080918,0.406769389,57,11,46,24.3,103.8,4.8,21.2,32.2,0.9,21.7,0.2,12.4,8.2,6.2,5.5,17.8,0.057,0
