,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1996-97,1997,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,18,POR,NBA,PF,45,0,10.2,1.5,3.4,0.451,0.0,0.0,0.0,1.5,3.4,0.454,0.451,1.0,1.7,0.603,0.9,1.9,2.8,0.2,0.0,0.6,0.6,1.0,4.1,458,8.0,17.6,0.451,0.0,0.1,0.0,8.0,17.5,0.454,5.4,9.0,0.603,4.5,9.8,14.3,0.9,0.2,3.0,3.1,5.3,21.3,100,102,458,13.7,0.494,0.007,0.51,10.4,21.4,16.0,2.9,0.2,4.4,12.6,21.1,0.1,0.7,0.8,0.087,-2.5,-0.9,-3.5,-0.2,82.0,19855.0,3000.0,6465.0,0.464,501.0,1401.0,0.358,2499.0,5064.0,0.493,1613.0,2261.0,0.713,1058.0,2494.0,3552.0,1710.0,640.0,435.0,1357.0,1928.0,8114.0,82.0,19855.0,2798.0,6423.0,0.436,457.0,1279.0,0.357,2341.0,5144.0,0.455,1719.0,2327.0,0.739,952.0,2197.0,3149.0,1703.0,656.0,428.0,1242.0,1887.0,7772.0,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,90.9,0.35,0.217,0.503,15.4,32.5,0.249,0.471,14.3,72.4,0.268,Rose Garden Arena,852798,45,10.2,-1.34,0.4,-0.94,0.68,884,462,-3.887275561,-0.412807751,-4.300083312,-0.369162543,-0.331973923,-0.03718862,-4.05614432,-1.850433806,-5.906578126,-0.345230211,45,31,14,10.2,96.7,1.9,17.4,27.7,0.0,2.6,0.6,44.8,4.1,2.7,3.4,8.5,0.056,0.0
1,1997-98,1998,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,POR,NBA,PF,60,9,13.5,1.9,3.9,0.485,0.0,0.0,0.0,1.9,3.8,0.489,0.485,0.8,1.5,0.506,1.3,2.0,3.4,0.3,0.3,1.0,0.9,1.7,4.5,808,7.4,15.2,0.485,0.0,0.1,0.0,7.4,15.1,0.489,3.0,5.9,0.506,5.3,8.0,13.3,1.1,1.0,3.8,3.6,6.7,17.8,96,100,808,12.7,0.498,0.009,0.385,11.9,16.8,14.5,3.6,1.0,5.2,16.9,18.2,-0.1,1.3,1.2,0.073,-3.6,0.5,-3.0,-0.2,82.0,19830.0,2885.0,6397.0,0.451,324.0,1047.0,0.309,2561.0,5350.0,0.479,1640.0,2226.0,0.737,1086.0,2522.0,3608.0,1766.0,585.0,464.0,1383.0,1859.0,7734.0,82.0,19830.0,2810.0,6520.0,0.431,373.0,1087.0,0.343,2437.0,5433.0,0.449,1626.0,2253.0,0.722,1011.0,2201.0,3212.0,1764.0,770.0,445.0,1160.0,1823.0,7619.0,46,36,45,37,1.4,-0.57,0.83,104.0,102.4,90.0,0.348,0.164,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,60,13.5,-2.09,1.72,-0.37,1.31,1538,811,-3.442957863,0.793997242,-2.648960622,0.041843163,0.044971576,-0.003128413,-3.467897868,-0.200490853,-3.66838872,0.001821959,60,35,25,13.5,96.3,2.0,14.4,23.2,0.3,13.3,1.0,51.3,5.0,3.1,4.2,9.5,0.066,0.0
2,1998-99,1999,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,POR,NBA,PF,36,1,8.6,1.0,2.3,0.434,0.0,0.0,0.0,1.0,2.3,0.439,0.434,0.5,1.0,0.514,1.2,1.5,2.7,0.4,0.1,0.4,0.4,1.1,2.5,311,6.2,14.4,0.434,0.0,0.2,0.0,6.2,14.2,0.439,3.1,6.1,0.514,7.3,9.5,16.8,2.2,0.7,2.4,2.4,7.1,15.6,102,97,311,13.6,0.457,0.012,0.422,16.2,19.7,18.0,6.9,0.7,3.4,12.5,16.5,0.3,0.5,0.8,0.125,-1.9,-0.1,-2.1,0.0,50.0,12175.0,1747.0,3956.0,0.442,246.0,675.0,0.364,1501.0,3281.0,0.457,1002.0,1349.0,0.743,646.0,1570.0,2216.0,1073.0,411.0,290.0,771.0,1126.0,4742.0,50.0,12175.0,1644.0,3939.0,0.417,220.0,691.0,0.318,1424.0,3248.0,0.438,916.0,1263.0,0.725,616.0,1388.0,2004.0,962.0,411.0,244.0,785.0,1142.0,4424.0,35,15,36,14,6.36,-0.69,5.67,104.8,97.7,89.2,0.341,0.171,0.473,14.5,31.8,0.253,0.445,14.9,71.8,0.233,Rose Garden Arena,486556,36,8.6,-0.31,-0.57,-0.88,0.48,683,366,-1.332319973,-0.065013111,-1.397333085,0.253150996,0.217966234,0.035184762,-1.705213111,-0.708476101,-2.413689211,-0.09883397,36,27,9,8.6,100.3,1.5,16.9,28.5,0.1,9.5,0.4,40.0,2.3,2.6,2.5,6.6,0.024,0.0
3,1999-00,2000,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,POR,NBA,C,70,8,12.3,1.5,3.2,0.486,0.0,0.0,0.0,1.5,3.2,0.489,0.486,0.8,1.4,0.582,1.4,1.9,3.3,0.3,0.2,0.8,0.7,1.8,3.9,859,6.7,13.8,0.486,0.0,0.1,0.0,6.7,13.7,0.489,3.5,6.1,0.582,6.0,8.2,14.2,1.1,0.7,3.4,2.9,7.9,17.0,104,100,859,13.3,0.515,0.005,0.441,14.0,17.2,15.7,3.3,0.7,4.7,15.1,16.8,0.7,1.4,2.1,0.117,-2.5,0.1,-2.5,-0.1,82.0,19780.0,3021.0,6430.0,0.47,407.0,1128.0,0.361,2614.0,5302.0,0.493,1542.0,2029.0,0.76,966.0,2560.0,3526.0,1925.0,633.0,396.0,1243.0,1865.0,7991.0,82.0,19780.0,2825.0,6557.0,0.431,394.0,1195.0,0.33,2431.0,5362.0,0.453,1422.0,1985.0,0.716,978.0,2220.0,3198.0,1705.0,652.0,350.0,1186.0,1872.0,7466.0,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,89.9,0.316,0.175,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217,Rose Garden Arena,835078,70,12.3,-1.73,0.31,-1.42,0.54,1696,897,-3.107685158,1.162864707,-1.944820451,0.367896543,0.372856305,-0.004959762,-3.038945111,0.475022458,-2.563922653,0.161926521,70,51,19,12.2,96.9,1.9,14.9,24.3,0.2,8.8,0.8,58.5,4.3,3.6,3.5,8.9,0.054,0.0
4,2000-01,2001,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,IND,NBA,C,81,80,32.6,5.0,10.7,0.465,0.0,0.1,0.0,5.0,10.7,0.468,0.465,2.9,4.8,0.601,3.1,6.7,9.8,1.2,0.6,2.8,2.0,3.5,12.9,2641,8.2,17.6,0.465,0.0,0.1,0.0,8.2,17.5,0.468,4.7,7.9,0.601,5.1,11.1,16.1,2.0,1.0,4.6,3.3,5.7,21.2,100,97,2641,17.5,0.501,0.006,0.447,11.0,22.7,17.0,6.7,1.0,6.2,13.4,21.2,1.7,4.7,6.4,0.116,-0.8,1.0,0.3,1.5,82.0,19980.0,2828.0,6431.0,0.44,396.0,1159.0,0.342,2432.0,5272.0,0.461,1539.0,2009.0,0.766,921.0,2595.0,3516.0,1763.0,563.0,487.0,1244.0,1926.0,7591.0,82.0,19980.0,2829.0,6683.0,0.423,377.0,1121.0,0.336,2452.0,5562.0,0.441,1572.0,2074.0,0.758,1042.0,2495.0,3537.0,1695.0,589.0,387.0,1115.0,1882.0,7607.0,41,41,40,42,-0.2,-0.57,-0.77,102.0,102.2,89.4,0.312,0.18,0.471,14.5,27.0,0.239,0.452,12.8,71.4,0.235,Conseco Fieldhouse,731800,81,32.6,-1.19,3.33,2.14,8.6,5263,2798,-2.395210715,2.779879423,0.384668709,4.454361441,4.405982431,0.04837901,-2.059823818,2.450658962,0.390835144,-0.358705381,81,40,41,32.6,98.9,6.7,19.8,31.1,0.6,14.4,2.8,63.0,9.8,9.1,8.0,22.3,0.112,0.0
5,2001-02,2002,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,IND,NBA,PF,72,72,37.6,7.5,15.7,0.479,0.0,0.2,0.071,7.5,15.5,0.484,0.48,3.9,5.7,0.688,2.6,7.9,10.5,1.6,0.6,2.3,2.4,3.7,19.0,2707,10.5,21.9,0.479,0.0,0.3,0.071,10.5,21.6,0.484,5.5,8.0,0.688,3.6,11.0,14.6,2.3,0.9,3.2,3.4,5.2,26.4,102,101,2707,18.1,0.521,0.012,0.365,8.0,23.1,15.8,8.1,0.9,4.4,11.7,24.9,2.3,4.1,6.4,0.113,-0.1,0.2,0.2,1.5,82.0,19905.0,2935.0,6580.0,0.446,405.0,1195.0,0.339,2530.0,5385.0,0.47,1663.0,2155.0,0.772,930.0,2568.0,3498.0,1884.0,658.0,436.0,1249.0,1876.0,7938.0,82.0,19905.0,2977.0,6800.0,0.438,418.0,1200.0,0.348,2559.0,5600.0,0.457,1544.0,2062.0,0.749,1048.0,2514.0,3562.0,1771.0,618.0,466.0,1173.0,1855.0,7916.0,42,40,42,40,0.27,-0.34,-0.07,104.1,103.8,91.9,0.328,0.182,0.477,14.2,27.0,0.253,0.469,13.2,71.0,0.227,Conseco Fieldhouse,686537,72,37.6,-0.44,1.17,0.73,6.18,5609,2899,-1.421637863,1.391248846,-0.030389018,4.014275948,3.909637344,0.104638604,-1.159316287,1.358266678,0.198950391,-0.19020133,72,40,32,37.6,101.3,7.9,20.0,32.3,0.6,10.0,2.3,53.0,12.1,12.2,10.9,30.3,0.119,0.0
6,2002-03,2003,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,IND,NBA,PF,77,76,37.2,7.9,16.4,0.484,0.1,0.3,0.333,7.8,16.1,0.487,0.487,4.8,6.6,0.731,2.6,7.7,10.3,2.0,0.9,2.3,2.3,3.6,20.8,2864,11.2,23.1,0.484,0.1,0.4,0.333,11.0,22.7,0.487,6.8,9.3,0.731,3.7,10.9,14.6,2.8,1.2,3.3,3.3,5.1,29.3,107,97,2864,21.4,0.539,0.017,0.405,8.1,22.8,15.6,10.4,1.2,4.5,10.8,26.2,5.3,5.2,10.5,0.177,2.0,0.9,2.9,3.5,82.0,19905.0,2911.0,6608.0,0.441,379.0,1119.0,0.339,2532.0,5489.0,0.461,1739.0,2271.0,0.766,1004.0,2622.0,3626.0,1910.0,696.0,443.0,1210.0,1811.0,7940.0,82.0,19905.0,2860.0,6690.0,0.428,407.0,1197.0,0.34,2453.0,5493.0,0.447,1527.0,1992.0,0.767,1006.0,2458.0,3464.0,1696.0,620.0,513.0,1258.0,1923.0,7654.0,48,34,51,31,3.49,-0.7,2.79,104.6,100.8,91.6,0.344,0.169,0.469,13.7,29.0,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,670461,77,37.2,0.72,0.49,1.21,8.28,6037,3136,-0.076920101,1.219747601,1.142827499,6.21388668,5.762296964,0.451589715,0.187028357,1.385697,1.572725357,-0.379085158,77,44,33,37.2,99.9,7.7,20.2,31.4,0.9,13.2,2.3,53.6,12.2,10.9,11.0,28.3,0.123,0.0
7,2003-04,2004,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,IND,NBA,PF,78,78,35.7,7.8,17.9,0.434,0.0,0.2,0.111,7.8,17.7,0.438,0.435,4.5,5.9,0.757,2.5,7.5,10.0,2.1,0.8,2.6,2.3,3.2,20.1,2788,12.0,27.5,0.434,0.0,0.4,0.111,11.9,27.2,0.438,6.8,9.1,0.757,3.8,11.5,15.3,3.2,1.2,3.9,3.6,4.9,30.8,100,93,2788,21.1,0.489,0.013,0.329,8.1,25.0,16.5,12.3,1.2,5.5,10.1,30.2,2.7,6.3,9.0,0.155,1.1,1.3,2.4,3.1,82.0,19805.0,2753.0,6322.0,0.435,449.0,1281.0,0.351,2304.0,5041.0,0.457,1538.0,2014.0,0.764,965.0,2452.0,3417.0,1774.0,726.0,411.0,1182.0,1709.0,7493.0,82.0,19805.0,2671.0,6180.0,0.432,329.0,1014.0,0.324,2342.0,5166.0,0.453,1350.0,1800.0,0.75,867.0,2423.0,3290.0,1649.0,582.0,512.0,1301.0,1794.0,7021.0,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,87.5,0.319,0.203,0.471,14.1,28.5,0.243,0.459,15.7,73.9,0.218,Conseco Fieldhouse,678326,78,35.7,0.25,2.2,2.44,10.52,6242,3392,-0.625865701,2.570107971,1.944242271,8.114391174,6.85012705,1.264264123,-0.271975995,2.34950166,2.077525665,-0.507778085,78,57,21,35.8,95.5,7.5,22.1,33.5,0.8,11.5,2.6,62.2,10.3,8.5,8.7,26.6,0.161,0.0
8,2004-05,2005,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,IND,NBA,PF,44,41,34.8,8.8,19.4,0.452,0.0,0.1,0.167,8.8,19.3,0.454,0.453,6.7,8.9,0.754,1.9,6.9,8.8,1.9,0.6,2.0,3.0,3.9,24.3,1530,13.9,30.7,0.452,0.0,0.2,0.167,13.9,30.5,0.454,10.6,14.1,0.754,3.1,10.9,14.0,3.0,0.9,3.2,4.7,6.2,38.4,102,101,1530,22.9,0.52,0.007,0.458,6.7,23.3,15.1,12.8,0.9,4.4,11.3,36.2,1.3,2.5,3.8,0.118,1.5,0.2,1.8,1.5,82.0,19905.0,2668.0,6169.0,0.432,542.0,1575.0,0.344,2126.0,4594.0,0.463,1748.0,2206.0,0.792,868.0,2418.0,3286.0,1489.0,615.0,357.0,1173.0,1890.0,7626.0,82.0,19905.0,2768.0,6284.0,0.44,391.0,1071.0,0.365,2377.0,5213.0,0.456,1637.0,2202.0,0.743,972.0,2416.0,3388.0,1540.0,549.0,398.0,1142.0,1883.0,7564.0,44,38,43,39,0.76,-0.27,0.49,105.5,104.6,87.2,0.358,0.255,0.476,14.1,26.4,0.283,0.472,13.6,71.3,0.261,Conseco Fieldhouse,696764,44,34.8,0.9,0.2,1.1,4.27,3667,2006,-2.69913847,0.241345979,-2.457792492,0.260195352,1.03020496,-0.770009607,-2.255365092,0.302596384,-1.952768708,-0.032959496,44,23,21,35.0,102.3,6.9,20.5,32.5,0.6,10.6,2.0,55.0,9.6,9.8,8.7,25.0,0.115,0.0
9,2005-06,2006,Jermaine O'Neal,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,IND,NBA,PF,51,47,35.3,7.5,15.8,0.472,0.1,0.2,0.3,7.4,15.6,0.474,0.474,5.1,7.2,0.709,2.0,7.3,9.3,2.6,0.5,2.3,3.0,3.5,20.1,1802,11.3,23.9,0.472,0.1,0.3,0.3,11.2,23.6,0.474,7.8,10.9,0.709,3.0,11.1,14.1,4.0,0.8,3.5,4.5,5.3,30.4,102,99,1802,20.4,0.53,0.012,0.457,6.7,23.2,15.2,14.9,0.8,4.7,13.5,28.9,1.4,3.5,4.9,0.131,0.6,1.7,2.3,2.0,82.0,19730.0,2786.0,6274.0,0.444,536.0,1536.0,0.349,2250.0,4738.0,0.475,1591.0,2158.0,0.737,898.0,2559.0,3457.0,1631.0,598.0,409.0,1254.0,1821.0,7699.0,82.0,19730.0,2831.0,6504.0,0.435,371.0,1083.0,0.343,2460.0,5421.0,0.454,1511.0,2060.0,0.733,968.0,2416.0,3384.0,1520.0,661.0,399.0,1112.0,1800.0,7544.0,41,41,47,35,1.89,-0.27,1.62,104.5,102.4,89.7,0.344,0.245,0.487,14.8,27.1,0.254,0.464,13.0,72.6,0.232,Conseco Fieldhouse,663368,51,35.3,0.38,-0.54,-0.16,3.35,3800,2018,-1.206341285,1.1495367,-0.056804585,2.758502942,2.688792786,0.069710156,-1.024752141,0.906652955,-0.118099185,-0.212989026,51,26,25,35.3,100.5,7.3,20.4,31.6,0.5,10.0,2.3,55.2,11.5,10.4,7.8,27.5,0.139,0.0
