,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1993-94,1994,Bo Outlaw,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,LAC,NBA,SF,37,14,23.5,2.6,4.5,0.587,0.0,0.1,0.0,2.6,4.5,0.594,0.587,1.6,2.8,0.592,2.2,3.5,5.7,1.0,1.0,1.0,0.8,2.5,6.9,871,5.4,9.2,0.587,0.0,0.1,0.0,5.4,9.1,0.594,3.4,5.7,0.592,4.5,7.2,11.7,2.0,2.0,2.0,1.7,5.2,14.2,120,107,871,14.3,0.605,0.012,0.617,10.0,15.8,12.9,5.6,2.0,2.6,12.7,11.5,1.5,0.9,2.3,0.127,-0.5,0.6,0.1,0.5,82.0,19780,3343,7163,0.467,252,831,0.303,3091,6332,0.488,1509,2128,0.709,1120,2410,3530,2169,807,421,1474,1769,8447,82.0,19780,3512,7421,0.473,308,882,0.349,3204,6539,0.49,1584,2209,0.717,1348,2568,3916,2220,898,476,1364,1788,8916,27,55,26,56,-5.72,0.44,-5.28,102.9,108.6,99.6,0.297,0.116,0.484,15.4,30.4,0.211,0.494,14.0,64.1,0.213,Los Angeles Memorial Sports Arena,471034,0,0,0.0,0.0,0.0,0.0,1828,871,0.397198425,0.937076255,1.33427468,1.812821312,1.812821312,0.0,-0.32221176,0.912645257,0.590433497,-0.114842233,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1994-95,1995,Bo Outlaw,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,LAC,NBA,PF,81,31,20.4,2.1,4.0,0.523,0.0,0.1,0.0,2.1,4.0,0.531,0.523,1.0,2.3,0.441,1.5,2.4,3.9,1.0,1.1,1.9,1.0,2.8,5.2,1655,5.2,10.0,0.523,0.0,0.2,0.0,5.2,9.8,0.531,2.5,5.7,0.441,3.7,5.9,9.6,2.6,2.8,4.6,2.4,7.0,13.0,102,106,1655,13.3,0.519,0.015,0.572,8.1,14.6,11.1,7.6,2.8,6.7,16.1,12.7,0.3,2.2,2.5,0.071,-2.5,2.9,0.4,1.0,82.0,19880,3060,6888,0.444,331,1051,0.315,2729,5837,0.468,1476,2079,0.71,1064,2076,3140,1805,787,435,1334,2152,7927,82.0,19880,3207,6470,0.496,388,1049,0.37,2819,5421,0.52,1876,2503,0.75,1083,2536,3619,1917,693,459,1506,1905,8678,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,94.3,0.302,0.153,0.468,14.6,29.6,0.214,0.526,16.6,65.7,0.29,Los Angeles Memorial Sports Arena,438244,0,0,0.0,0.0,0.0,0.0,3289,1655,-2.517320678,2.561227783,0.043907105,2.366799932,2.366799932,0.0,-2.655694704,2.208112299,-0.447582405,0.306071968,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1995-96,1996,Bo Outlaw,8T,0.0,1.0,1.0,False,0.0,1.0,500.0,24,LAC,NBA,PF,80,3,12.3,1.3,2.3,0.575,0.0,0.0,0.0,1.3,2.3,0.585,0.575,0.9,2.0,0.444,1.1,1.4,2.5,0.6,0.6,1.1,0.6,1.6,3.6,985,5.6,9.7,0.575,0.0,0.2,0.0,5.6,9.6,0.585,3.8,8.5,0.444,4.6,5.9,10.5,2.6,2.3,4.8,2.4,6.6,15.0,111,106,985,15.6,0.556,0.016,0.871,10.4,14.0,12.2,7.4,2.3,6.9,14.9,13.7,1.0,1.2,2.3,0.111,-0.8,2.4,1.6,0.9,82.0,19730,3126,6618,0.472,509,1374,0.37,2617,5244,0.499,1392,1984,0.702,979,2190,3169,1672,703,411,1355,2008,8153,82.0,19730,3090,6471,0.478,444,1195,0.372,2646,5276,0.502,1824,2444,0.746,1034,2362,3396,1658,689,401,1357,1860,8448,29,53,31,51,-3.6,0.13,-3.46,106.5,110.3,93.2,0.3,0.208,0.511,15.3,29.3,0.21,0.512,15.2,67.9,0.282,Los Angeles Memorial Sports Arena,405495,0,0,0.0,0.0,0.0,0.0,1935,985,-1.378770511,2.030019848,0.651249337,1.712222145,1.712222145,0.0,-1.630902675,1.233380714,-0.397521961,0.159554043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1996-97,1997,Bo Outlaw,-1,0.0,1.0,0.0,False,0.0,0.0,500.0,25,LAC,NBA,PF,82,25,26.8,3.1,5.1,0.609,0.0,0.1,0.0,3.1,5.0,0.621,0.609,1.4,2.8,0.504,2.1,3.4,5.5,1.9,1.1,1.7,1.3,2.8,7.6,2195,6.1,10.0,0.609,0.0,0.2,0.0,6.1,9.8,0.621,2.8,5.6,0.504,4.2,6.7,10.9,3.8,2.3,3.4,2.6,5.4,15.0,116,104,2195,16.3,0.602,0.019,0.556,8.9,15.4,12.1,11.3,2.3,5.1,17.1,12.7,3.2,2.8,6.1,0.133,0.3,2.5,2.8,2.6,82.0,19930,2989,6696,0.446,474,1339,0.354,2515,5357,0.469,1517,2074,0.731,1092,2242,3334,1662,733,441,1311,1964,7969,82.0,19930,2975,6445,0.462,480,1345,0.357,2495,5100,0.489,1732,2312,0.749,1051,2450,3501,1654,737,419,1369,1860,8162,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,91.3,0.31,0.2,0.482,14.7,30.8,0.227,0.499,15.5,68.1,0.269,Los Angeles Memorial Sports Arena,232895,82,26.8,-0.54,5.78,5.24,12.08,4344,2261,0.225416925,1.730550433,1.955967357,5.409353621,5.390285485,0.019068136,-0.054441936,1.584635275,1.530193339,-0.224807397,82,36,46,26.8,100.3,3.4,13.1,22.2,1.1,23.9,1.7,51.8,9.8,7.5,6.0,22.6,0.109,0
4,1997-98,1998,Bo Outlaw,5T,0.0,2.0,4.0,False,1.0,4.0,500.0,26,ORL,NBA,PF,82,76,36.0,3.7,6.6,0.554,0.0,0.0,0.25,3.7,6.6,0.557,0.555,2.2,3.8,0.575,3.1,4.7,7.8,2.6,1.3,2.2,2.1,3.2,9.5,2953,5.6,10.1,0.554,0.0,0.1,0.25,5.6,10.1,0.557,3.4,5.8,0.575,4.8,7.1,11.9,4.0,2.0,3.4,3.3,4.9,14.6,109,101,2953,15.5,0.575,0.007,0.576,9.9,15.6,12.7,12.3,2.0,4.4,20.5,13.3,3.1,4.5,7.6,0.124,-0.2,2.7,2.5,3.4,82.0,19830,2771,6455,0.429,293,907,0.323,2478,5548,0.447,1552,2138,0.726,1178,2203,3381,1694,649,441,1258,1617,7387,82.0,19830,2930,6460,0.454,313,967,0.324,2617,5493,0.476,1302,1769,0.736,1089,2268,3357,1740,747,388,1259,1866,7475,41,41,38,44,-1.07,0.54,-0.53,102.6,103.8,87.1,0.331,0.141,0.452,14.5,34.2,0.24,0.478,14.8,66.9,0.202,Orlando Arena,667322,82,36.0,-1.63,3.12,1.49,8.34,5420,2953,0.544123684,2.059822749,2.603946434,8.026122187,8.026122187,0.0,0.34895809,2.242631984,2.591590074,-0.455779356,82,41,41,36.0,101.0,4.7,13.5,23.2,1.3,22.3,2.2,51.4,12.3,11.0,10.2,30.2,0.12,0
5,1998-99,1999,Bo Outlaw,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,27,ORL,NBA,PF,31,22,27.5,2.7,5.0,0.545,0.0,0.1,0.0,2.7,4.9,0.556,0.545,1.1,2.6,0.432,1.7,3.6,5.4,1.8,1.3,1.4,1.9,2.5,6.5,851,5.3,9.8,0.545,0.0,0.2,0.0,5.3,9.6,0.556,2.2,5.1,0.432,3.4,7.2,10.6,3.6,2.5,2.7,3.7,5.0,12.9,95,95,851,12.8,0.535,0.019,0.526,7.2,15.7,11.4,10.9,2.5,3.8,23.4,13.2,0.1,1.7,1.8,0.1,-2.0,3.2,1.1,0.7,50.0,12050,1687,3943,0.428,223,675,0.33,1464,3268,0.448,876,1252,0.7,688,1445,2133,1067,496,213,819,935,4473,50.0,12050,1708,3856,0.443,230,667,0.345,1478,3189,0.463,697,986,0.707,595,1424,2019,1039,468,239,863,1111,4343,33,17,30,20,2.6,0.51,3.11,100.3,97.4,88.8,0.318,0.171,0.456,15.4,32.6,0.222,0.473,16.7,70.8,0.181,Orlando Arena,411091,31,27.5,-2.28,1.68,-0.6,1.46,1745,934,-1.825495468,2.033026286,0.207530818,1.405035026,1.467147323,-0.062112297,-1.916351128,1.700864314,-0.215486813,0.008147805,31,19,12,27.4,92.9,3.6,13.9,21.6,1.3,22.1,1.4,50.6,9.9,6.7,7.6,20.1,0.138,0
6,1999-00,2000,Bo Outlaw,8T,0.0,3.0,1.0,False,0.0,1.0,500.0,28,ORL,NBA,PF,82,55,28.4,2.5,4.1,0.602,0.0,0.0,0.0,2.5,4.1,0.607,0.602,1.0,2.0,0.506,2.5,3.9,6.4,3.0,1.4,1.8,1.6,2.5,6.0,2326,4.3,7.2,0.602,0.0,0.1,0.0,4.3,7.1,0.607,1.7,3.4,0.506,4.3,6.8,11.1,5.2,2.4,3.1,2.8,4.3,10.4,112,99,2326,15.3,0.597,0.009,0.478,9.5,15.1,12.3,14.7,2.4,4.5,24.5,9.8,2.8,4.0,6.8,0.14,0.9,3.6,4.5,3.8,82.0,19755,3169,7014,0.452,294,870,0.338,2875,6144,0.468,1574,2142,0.735,1145,2540,3685,1709,743,467,1443,1967,8206,82.0,19755,3076,6919,0.445,431,1277,0.338,2645,5642,0.469,1567,2104,0.745,1094,2473,3567,1991,724,475,1488,2008,8150,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,97.3,0.305,0.124,0.473,15.4,31.6,0.224,0.476,15.9,69.9,0.226,TD Waterhouse Centre,576409,82,28.4,-0.16,4.25,4.09,10.58,4769,2326,1.029051926,2.728414751,3.757466677,7.677261232,7.677261232,0.0,0.788062348,2.559093903,3.347156251,-0.552844502,82,41,41,28.4,95.6,3.9,13.1,21.5,1.4,24.7,1.8,44.6,10.5,8.6,7.4,22.3,0.134,0
7,2000-01,2001,Bo Outlaw,-1,0.0,3.0,0.0,False,0.0,0.0,500.0,29,ORL,NBA,PF,80,69,31.7,2.8,4.6,0.614,0.0,0.0,0.5,2.8,4.6,0.615,0.615,1.6,2.8,0.573,2.6,5.1,7.7,2.8,1.3,1.7,1.8,3.0,7.3,2534,4.6,7.5,0.614,0.0,0.0,0.5,4.6,7.4,0.615,2.6,4.6,0.573,4.3,8.3,12.6,4.6,2.1,2.8,2.9,4.9,11.8,115,99,2534,15.7,0.623,0.005,0.611,9.0,18.3,13.6,13.3,2.1,4.0,23.2,10.6,3.9,4.0,7.9,0.15,0.4,2.6,3.1,3.2,82.0,19955,3013,6873,0.438,490,1346,0.364,2523,5527,0.456,1476,2068,0.714,1069,2450,3519,1803,674,481,1245,2071,7992,82.0,19955,2830,6499,0.435,366,1059,0.346,2464,5440,0.453,1885,2566,0.735,1061,2609,3670,1793,695,440,1408,1946,7911,43,39,44,38,0.99,-0.6,0.39,103.2,102.1,93.2,0.301,0.196,0.474,13.8,29.1,0.215,0.464,15.6,69.8,0.29,TD Waterhouse Centre,605031,80,31.7,0.38,0.47,0.85,6.4,5239,2668,0.846293961,2.234189448,3.080483409,7.907971963,7.771051066,0.136920897,0.592235665,2.161831455,2.75406712,-0.346997549,80,41,39,31.7,100.6,5.1,16.0,26.6,1.3,24.0,1.7,42.3,11.0,10.3,8.3,24.6,0.092,0
8,2001-02,2002,Bo Outlaw,-1,0.0,3.0,0.0,False,0.0,0.0,500.0,30,ORL,NBA,PF,10,0,16.0,1.3,2.1,0.619,0.0,0.0,,1.3,2.1,0.619,0.619,0.8,1.8,0.444,1.5,1.4,2.9,0.5,0.9,0.9,1.1,2.3,3.4,160,4.2,6.8,0.619,0.0,0.0,,4.2,6.8,0.619,2.6,5.8,0.444,4.8,4.5,9.3,1.6,2.9,2.9,3.5,7.4,10.9,100,102,160,11.0,0.588,0.0,0.857,10.4,9.8,10.1,4.5,2.9,3.9,27.6,11.2,0.1,0.2,0.3,0.078,-2.9,2.4,-0.5,0.1,82.0,19830,3087,6893,0.448,620,1660,0.373,2467,5233,0.471,1446,1917,0.754,942,2440,3382,1804,665,384,1119,1700,8240,82.0,19830,3116,6828,0.456,409,1161,0.352,2707,5667,0.478,1470,1994,0.737,1086,2633,3719,1930,659,384,1292,1740,8111,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,93.2,0.278,0.241,0.493,12.6,26.3,0.21,0.486,14.4,69.2,0.215,TD Waterhouse Centre,621121,83,23.2,-2.7,4.07,1.36,4.98,3719,1928,-1.81098602,2.469160116,0.658174097,3.357589983,3.357589983,0.0,-1.954461117,1.980308628,0.025847511,0.127821772,83,37,46,23.2,98.4,2.6,11.1,18.9,0.8,20.8,1.1,43.2,7.9,7.0,5.0,16.8,0.094,0
9,2001-02,2002,Bo Outlaw,-1,0.0,3.0,0.0,False,0.0,0.0,500.0,30,PHO,NBA,PF,73,36,24.2,2.1,3.8,0.55,0.0,0.0,0.5,2.1,3.8,0.551,0.552,0.5,1.2,0.417,1.8,2.8,4.6,1.7,0.8,1.1,1.2,2.5,4.7,1768,4.5,8.3,0.55,0.0,0.1,0.5,4.5,8.2,0.551,1.0,2.5,0.417,3.9,6.0,9.9,3.6,1.8,2.5,2.5,5.4,10.2,105,103,1768,11.4,0.543,0.007,0.302,8.3,13.2,10.7,9.9,1.8,3.4,21.3,10.1,1.0,2.2,3.2,0.087,-1.8,2.3,0.5,1.1,82.0,19830,3097,6934,0.447,358,1096,0.327,2739,5838,0.469,1250,1630,0.767,1072,2430,3502,1838,668,401,1205,1785,7802,82.0,19830,2957,6663,0.444,433,1208,0.358,2524,5455,0.463,1511,2013,0.751,1030,2493,3523,1821,685,475,1265,1521,7858,36,46,39,43,-0.68,0.39,-0.3,103.3,104.0,91.4,0.235,0.158,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,America West Arena,668939,83,23.2,-2.7,4.07,1.36,4.98,3719,1928,-1.81098602,2.469160116,0.658174097,3.357589983,3.357589983,0.0,-1.954461117,1.980308628,0.025847511,0.127821772,83,37,46,23.2,98.4,2.6,11.1,18.9,0.8,20.8,1.1,43.2,7.9,7.0,5.0,16.8,0.094,0
