,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,WSB,NBA,PG,45,13,22.0,3.4,7.2,0.471,0.1,0.3,0.231,3.3,6.9,0.481,0.475,1.3,1.8,0.728,0.6,1.8,2.4,3.5,0.7,0.1,1.6,1.8,8.1,990,7.5,16.0,0.471,0.1,0.6,0.231,7.4,15.4,0.481,2.9,4.0,0.728,1.2,4.0,5.3,7.8,1.5,0.3,3.6,4.0,18.2,101,113,990,11.8,0.51,0.04,0.251,2.8,9.4,6.0,23.3,1.5,0.4,16.7,18.5,0.1,0.4,0.6,0.028,-1.8,-0.7,-2.6,-0.2,82.0,19805,3302,7065,0.467,174,578,0.301,3128,6487,0.482,1575,2107,0.748,1031,2317,3348,2110,673,359,1323,1795,8353,82.0,19805,3557,7214,0.493,239,712,0.336,3318,6502,0.51,1577,2106,0.749,1135,2555,3690,2062,718,425,1279,1818,8930,22,60,23,59,-7.04,0.55,-6.49,103.6,110.8,97.7,0.298,0.082,0.48,14.2,28.8,0.223,0.51,13.6,67.1,0.219,Capital Centre,558966,0,0,0.0,0.0,0.0,0.0,2038,990,-1.676134575,-1.838365462,-3.514500037,-0.385626034,-0.385626034,0.0,-2.0345228,-1.775267307,-3.809790107,-0.132240889,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,WSB,NBA,PG,61,1,12.3,1.4,3.5,0.403,0.0,0.2,0.091,1.4,3.4,0.42,0.405,0.7,0.9,0.827,0.3,0.8,1.1,1.5,0.3,0.0,0.9,0.8,3.6,749,5.8,14.4,0.403,0.1,0.7,0.091,5.7,13.7,0.42,2.9,3.5,0.827,1.3,3.3,4.6,6.1,1.4,0.1,3.6,3.2,14.6,93,115,749,8.4,0.456,0.051,0.241,2.9,8.0,5.4,17.7,1.4,0.1,18.4,16.8,-0.4,0.0,-0.4,-0.028,-3.7,-2.3,-6.0,-0.8,82.0,19705,3195,6826,0.468,221,744,0.297,2974,6082,0.489,1618,2162,0.748,1071,2189,3260,1823,701,321,1403,1715,8229,82.0,19705,3569,7026,0.508,252,723,0.349,3317,6303,0.526,1444,1996,0.723,1119,2362,3481,2113,815,470,1291,1823,8834,24,58,22,60,-7.38,0.25,-7.13,104.5,112.2,95.9,0.317,0.109,0.484,15.3,31.2,0.237,0.526,14.0,66.2,0.206,USAir Arena,619756,0,0,0.0,0.0,0.0,0.0,1514,749,-3.686876873,-3.207221189,-6.894098062,-1.578906362,-1.578906362,0.0,-4.02357187,-3.762995507,-7.786567377,-0.286746621,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,WSB,NBA,PG,82,20,20.8,2.5,6.1,0.416,0.6,1.5,0.424,1.9,4.5,0.413,0.469,1.3,1.5,0.872,0.3,1.4,1.7,3.0,0.6,0.0,1.3,1.5,7.0,1704,6.2,14.8,0.416,1.6,3.7,0.424,4.6,11.1,0.413,3.2,3.7,0.872,0.8,3.5,4.3,7.3,1.6,0.1,3.1,3.8,17.2,106,114,1704,11.6,0.521,0.251,0.251,1.7,8.2,4.8,21.3,1.6,0.1,15.8,16.9,1.1,0.6,1.7,0.048,-1.4,-1.2,-2.6,-0.3,82.0,19855,3176,6899,0.46,433,1264,0.343,2743,5635,0.487,1457,2013,0.724,1044,2219,3263,1749,648,404,1301,1949,8242,82.0,19855,3246,6768,0.48,438,1145,0.383,2808,5623,0.499,1771,2315,0.765,1107,2521,3628,1959,701,446,1359,1775,8701,21,61,26,56,-5.6,0.04,-5.56,105.4,111.3,94.5,0.292,0.183,0.492,14.3,29.3,0.211,0.512,14.9,66.7,0.262,USAir Arena,689463,0,0,0.0,0.0,0.0,0.0,3393,1704,-1.060474246,-1.969911079,-3.030385325,-0.24285095,-0.24285095,0.0,-1.457589678,-2.150010419,-3.607600097,-0.351340941,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Doug Overton,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,DEN,NBA,PG,55,0,11.0,1.2,3.2,0.376,0.1,0.5,0.308,1.1,2.8,0.388,0.399,0.7,1.0,0.727,0.1,1.0,1.1,1.9,0.2,0.1,0.7,0.9,3.3,607,5.7,15.3,0.376,0.7,2.2,0.308,5.1,13.0,0.388,3.4,4.7,0.727,0.7,4.7,5.4,9.1,1.1,0.4,3.4,4.2,15.6,97,111,607,9.9,0.45,0.146,0.309,1.5,10.5,6.0,27.0,1.1,0.6,16.5,17.8,-0.1,0.4,0.2,0.02,-2.5,-0.8,-3.3,-0.2,82.0,19830,3001,6657,0.451,397,1148,0.346,2604,5509,0.473,1614,2173,0.743,1057,2487,3544,1851,521,597,1265,1882,8013,82.0,19830,3091,6741,0.459,453,1235,0.367,2638,5506,0.479,1600,2105,0.76,934,2385,3319,1875,617,418,1130,1899,8235,35,47,33,49,-2.71,0.09,-2.62,105.2,108.1,92.2,0.326,0.172,0.481,14.2,30.7,0.242,0.492,12.8,72.7,0.237,McNichols Sports Arena,675425,0,0,0.0,0.0,0.0,0.0,1179,607,-2.953356615,-2.169427763,-5.122784378,-0.732661679,-0.732661679,0.0,-3.360827903,-2.918115821,-6.278943724,-0.274352776,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,PHI,NBA,PG,61,4,10.4,1.3,3.1,0.426,0.2,0.7,0.25,1.2,2.5,0.473,0.453,0.7,0.8,0.938,0.3,0.8,1.1,1.7,0.4,0.0,0.6,0.7,3.6,634,6.4,15.1,0.426,0.8,3.2,0.25,5.6,11.9,0.473,3.6,3.8,0.938,1.4,4.0,5.4,8.0,1.9,0.0,3.1,3.5,17.2,109,114,634,13.2,0.514,0.211,0.253,3.0,8.8,5.8,25.2,1.9,0.0,15.6,16.7,0.7,0.1,0.9,0.065,-1.4,-1.1,-2.6,-0.1,82.0,19780,3003,6850,0.438,433,1356,0.319,2570,5494,0.468,1776,2450,0.725,1267,2355,3622,1695,683,394,1437,1733,8215,82.0,19780,3314,7045,0.47,558,1529,0.365,2756,5516,0.5,1565,2134,0.733,1186,2453,3639,2066,822,494,1278,2008,8751,22,60,24,58,-6.54,0.65,-5.89,104.6,111.4,95.3,0.358,0.198,0.47,15.3,34.1,0.259,0.51,13.8,66.5,0.222,CoreStates Center,610974,61,10.4,0.33,-0.01,0.33,1.48,1273,634,-0.395380802,-2.208177879,-2.60355868,0.047193962,0.047193962,0.0,-1.04974317,-2.809127145,-3.858870315,-0.337017507,61,17,44,10.5,101.8,0.8,7.5,12.9,0.4,20.7,0.0,0.0,4.2,3.1,2.5,9.3,0.037,0
5,1997-98,1998,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,PHI,NBA,PG,23,2,12.0,1.0,2.7,0.381,0.0,0.1,0.0,1.0,2.6,0.4,0.381,0.6,0.7,0.875,0.1,0.5,0.6,1.6,0.3,0.0,1.0,1.5,2.7,277,4.6,12.1,0.381,0.0,0.6,0.0,4.6,11.5,0.4,2.7,3.1,0.875,0.4,2.3,2.7,7.1,1.5,0.2,4.4,6.5,11.9,85,110,277,5.2,0.443,0.048,0.254,0.8,5.0,2.9,21.2,1.5,0.3,24.7,15.1,-0.3,0.1,-0.2,-0.035,-5.8,-1.1,-6.9,-0.3,82.0,19755,2837,6409,0.443,243,810,0.3,2594,5599,0.463,1734,2352,0.737,1125,2294,3419,1729,729,490,1354,1878,7651,82.0,19755,2906,6440,0.451,384,1115,0.344,2522,5325,0.474,1651,2262,0.73,1115,2341,3456,1927,766,508,1318,1904,7847,31,51,34,48,-2.39,0.5,-1.89,102.8,105.4,90.4,0.367,0.126,0.462,15.4,32.5,0.271,0.481,15.1,67.3,0.256,CoreStates Center,655417,23,12.0,-3.81,-1.34,-5.15,-0.42,528,277,-4.56906922,-2.412439391,-6.981508612,-0.601214698,-0.601214698,0.0,-4.948040956,-2.74330884,-7.691349797,0.488085454,23,6,17,12.0,96.8,0.5,4.6,7.2,0.3,16.7,0.0,5.3,5.0,3.2,3.8,8.4,0.06,0
6,1998-99,1999,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,ORL,NBA,PG,6,0,5.5,1.0,2.0,0.5,0.0,0.3,0.0,1.0,1.7,0.6,0.5,1.0,1.0,1.0,0.2,0.2,0.3,0.5,0.2,0.0,0.5,0.3,3.0,33,9.8,19.7,0.5,0.0,3.3,0.0,9.8,16.4,0.6,9.8,9.8,1.0,1.6,1.6,3.3,4.9,1.6,0.0,4.9,3.3,29.5,114,103,33,19.0,0.615,0.167,0.5,3.5,3.6,3.5,17.5,1.6,0.0,17.0,24.2,0.1,0.0,0.1,0.185,1.4,-0.5,1.0,0.0,50.0,12050,1687,3943,0.428,223,675,0.33,1464,3268,0.448,876,1252,0.7,688,1445,2133,1067,496,213,819,935,4473,50.0,12050,1708,3856,0.443,230,667,0.345,1478,3189,0.463,697,986,0.707,595,1424,2019,1039,468,239,863,1111,4343,33,17,30,20,2.6,0.51,3.11,100.3,97.4,88.8,0.318,0.171,0.456,15.4,32.6,0.222,0.473,16.7,70.8,0.181,Orlando Arena,411091,24,10.2,-1.43,-2.08,-3.51,-0.03,466,244,-2.608768062,-3.580278844,-6.189046906,-0.426759259,-0.426759259,0.0,-3.113351652,-4.194549482,-7.307901133,-0.110047393,24,9,15,10.2,95.2,0.6,5.7,9.2,0.2,11.6,0.0,4.3,3.6,1.8,2.0,7.3,0.046,0
7,1998-99,1999,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NJN,NBA,PG,8,1,21.8,3.1,7.1,0.439,0.3,0.5,0.5,2.9,6.6,0.434,0.456,1.5,1.8,0.857,0.8,1.4,2.1,2.0,0.4,0.1,1.9,1.8,8.0,174,7.5,17.2,0.439,0.6,1.2,0.5,6.9,16.0,0.434,3.6,4.2,0.857,1.8,3.3,5.1,4.8,0.9,0.3,4.5,4.2,19.3,95,109,174,10.6,0.507,0.07,0.246,3.6,7.4,5.4,16.5,0.9,0.4,19.2,19.8,0.0,0.0,0.0,0.012,-2.0,-2.1,-4.1,-0.1,50.0,12050,1691,4160,0.406,225,679,0.331,1466,3481,0.421,962,1251,0.769,715,1437,2152,923,491,273,750,1134,4569,50.0,12050,1796,3968,0.453,223,654,0.341,1573,3314,0.475,943,1298,0.727,624,1581,2205,968,395,326,813,1084,4758,16,34,18,32,-3.78,0.58,-3.2,99.5,103.6,91.5,0.301,0.163,0.434,13.7,31.1,0.231,0.481,15.2,69.7,0.238,Continental Airlines Arena,400387,24,10.2,-1.43,-2.08,-3.51,-0.03,466,244,-2.608768062,-3.580278844,-6.189046906,-0.426759259,-0.426759259,0.0,-3.113351652,-4.194549482,-7.307901133,-0.110047393,24,9,15,10.2,95.2,0.6,5.7,9.2,0.2,11.6,0.0,4.3,3.6,1.8,2.0,7.3,0.046,0
8,1998-99,1999,Doug Overton,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,PHI,NBA,PG,10,0,3.7,0.5,1.5,0.333,0.0,0.1,0.0,0.5,1.4,0.357,0.333,0.0,0.0,,0.0,0.2,0.2,0.4,0.1,0.0,0.2,0.2,1.0,37,7.3,22.0,0.333,0.0,1.5,0.0,7.3,20.5,0.357,0.0,0.0,,0.0,2.9,2.9,5.9,1.5,0.0,2.9,2.9,14.6,76,104,37,4.5,0.333,0.067,0.0,0.0,6.4,3.1,19.8,1.5,0.0,11.8,20.8,-0.1,0.0,-0.1,-0.069,-5.3,-1.3,-6.6,0.0,50.0,12150,1656,3883,0.426,98,371,0.264,1558,3512,0.444,1073,1486,0.722,729,1428,2157,934,542,271,822,1152,4483,50.0,12150,1599,3784,0.423,241,716,0.337,1358,3068,0.443,941,1288,0.731,619,1402,2021,999,435,263,896,1185,4380,28,22,29,21,2.06,0.5,2.56,99.9,97.6,88.6,0.383,0.096,0.439,15.3,34.2,0.276,0.454,17.1,69.8,0.249,First Union Center,436444,24,10.2,-1.43,-2.08,-3.51,-0.03,466,244,-2.608768062,-3.580278844,-6.189046906,-0.426759259,-0.426759259,0.0,-3.113351652,-4.194549482,-7.307901133,-0.110047393,24,9,15,10.2,95.2,0.6,5.7,9.2,0.2,11.6,0.0,4.3,3.6,1.8,2.0,7.3,0.046,0
9,1999-00,2000,Doug Overton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,BOS,NBA,PG,48,0,9.0,1.3,3.2,0.396,0.2,0.6,0.357,1.1,2.6,0.405,0.429,0.4,0.4,0.952,0.3,0.4,0.7,1.1,0.2,0.0,0.4,1.0,3.2,432,7.2,18.1,0.396,1.2,3.3,0.357,6.0,14.8,0.405,2.3,2.5,0.952,1.6,2.2,3.9,6.2,1.2,0.0,2.3,5.4,17.9,102,111,432,10.5,0.466,0.182,0.136,3.5,5.3,4.4,19.4,1.2,0.0,10.9,18.4,0.3,0.1,0.4,0.047,-1.6,-1.9,-3.5,-0.2,82.0,19730,3054,6880,0.444,417,1260,0.331,2637,5620,0.469,1621,2175,0.745,1108,2420,3528,1741,795,286,1259,2223,8146,82.0,19730,2960,6304,0.47,359,995,0.361,2601,5309,0.49,1929,2563,0.753,857,2534,3391,1798,638,473,1395,1928,8208,35,47,39,43,-0.76,-0.24,-1.0,104.8,105.6,94.6,0.316,0.183,0.474,13.8,30.4,0.236,0.498,15.8,73.8,0.306,FleetCenter,683608,48,9.0,-0.17,-0.72,-0.89,0.45,861,432,-1.477720902,-3.101661947,-4.579382849,-0.403179615,-0.403179615,0.0,-2.027024398,-3.583482187,-5.610506584,-0.006559926,48,23,25,8.9,100.2,0.4,4.5,7.1,0.2,13.2,0.0,0.0,2.8,2.4,2.5,7.3,0.03,0
