,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2005-06,2006,Chris Paul,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,NOK,NBA,PG,78,78,36.0,5.2,12.1,0.43,0.6,2.3,0.282,4.6,9.9,0.464,0.456,5.1,6.0,0.847,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1,2808,7.8,18.2,0.43,1.0,3.4,0.282,6.9,14.8,0.464,7.6,8.9,0.847,1.2,6.5,7.7,11.7,3.4,0.1,3.5,4.2,24.2,114,104,2808,22.1,0.546,0.187,0.491,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,6.8,3.6,10.4,0.178,3.0,2.2,5.2,5.1,82.0,19805.0,2831.0,6428.0,0.44,300.0,885.0,0.339,2531.0,5543.0,0.457,1649.0,2176.0,0.758,918.0,2379.0,3297.0,1519.0,611.0,311.0,1095.0,1786.0,7611.0,82.0,19805.0,2883.0,6286.0,0.459,546.0,1486.0,0.367,2337.0,4800.0,0.487,1530.0,2014.0,0.76,860.0,2498.0,3358.0,1584.0,527.0,432.0,1197.0,1910.0,7842.0,38,44,33,49,-2.82,0.31,-2.51,103.7,106.8,89.0,0.339,0.138,0.464,12.9,26.9,0.257,0.502,14.3,73.4,0.243,Ford Center,744920,78,36.0,1.59,1.38,2.98,10.81,5266,2808,3.96060542,3.013927905,6.974533325,13.922928,13.922928,0.0,3.881964256,3.623810412,7.505774669,-0.058160981,78,35,43,36.0,104.5,4.3,13.1,19.7,2.2,37.7,0.1,2.8,10.3,8.9,9.1,28.3,0.099,0.0
1,2006-07,2007,Chris Paul,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,NOK,NBA,PG,64,64,36.8,6.0,13.6,0.437,0.8,2.2,0.35,5.2,11.4,0.455,0.466,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,2.4,17.3,2353,8.6,19.7,0.437,1.1,3.2,0.35,7.5,16.5,0.455,6.6,8.1,0.818,1.2,5.1,6.3,12.9,2.7,0.1,3.6,3.5,25.0,116,106,2353,22.0,0.537,0.164,0.41,2.6,11.3,6.9,41.3,2.7,0.1,13.5,23.1,6.2,2.6,8.8,0.179,3.6,1.4,5.0,4.2,82.0,19880.0,2971.0,6674.0,0.445,455.0,1256.0,0.362,2516.0,5418.0,0.464,1436.0,1941.0,0.74,1025.0,2512.0,3537.0,1537.0,522.0,347.0,1187.0,1620.0,7833.0,82.0,19880.0,3004.0,6579.0,0.457,559.0,1575.0,0.355,2445.0,5004.0,0.489,1395.0,1839.0,0.759,853.0,2493.0,3346.0,1703.0,554.0,392.0,1119.0,1733.0,7962.0,39,43,36,46,-1.57,0.38,-1.19,104.8,106.5,90.2,0.291,0.188,0.479,13.6,29.1,0.215,0.499,13.2,74.7,0.212,Ford Center,731165,64,36.8,2.37,-0.91,1.46,7.11,4472,2353,5.03365775,-0.027635262,5.006022488,9.270990058,9.270990058,0.0,4.745905401,0.917154796,5.663060197,-0.400897799,64,31,33,36.8,107.8,3.5,10.4,15.6,1.8,37.1,0.0,1.8,11.6,9.8,9.3,30.3,0.067,0.0
2,2007-08,2008,Chris Paul,7T,0.0,1.0,1.0,False,1.0,24.0,500.0,22,NOH,NBA,PG,80,80,37.6,7.9,16.1,0.488,1.2,3.1,0.369,6.7,13.0,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,3006,11.2,22.9,0.488,1.6,4.4,0.369,9.6,18.5,0.516,5.9,6.9,0.851,1.1,4.6,5.7,16.4,3.9,0.1,3.6,3.3,29.9,125,103,3006,28.3,0.576,0.193,0.302,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,13.2,4.6,17.8,0.284,7.2,3.2,10.4,9.3,82.0,19805.0,3164.0,6796.0,0.466,630.0,1621.0,0.389,2534.0,5175.0,0.49,1312.0,1707.0,0.769,937.0,2494.0,3431.0,1785.0,637.0,321.0,974.0,1531.0,8270.0,82.0,19805.0,3038.0,6604.0,0.46,544.0,1552.0,0.351,2494.0,5052.0,0.494,1217.0,1579.0,0.771,815.0,2533.0,3348.0,1779.0,470.0,331.0,1136.0,1573.0,7837.0,56,26,56,26,5.28,0.18,5.46,111.5,105.7,89.9,0.251,0.239,0.512,11.4,27.0,0.193,0.501,13.5,75.4,0.184,New Orleans Arena,581432,80,37.6,4.76,0.39,5.15,15.53,6582,3492,9.040851852,0.968720838,10.00957269,22.77211369,19.19661635,3.575497337,9.022064057,2.111864359,11.13392842,-0.333080638,80,55,25,37.6,105.3,3.2,9.2,13.7,2.7,44.2,0.1,1.8,9.6,9.0,8.9,30.9,0.109,0.0
3,2008-09,2009,Chris Paul,6,0.0,2.0,1.0,False,0.0,49.0,500.0,23,NOH,NBA,PG,78,78,38.5,8.1,16.1,0.503,0.8,2.3,0.364,7.3,13.8,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,3002,11.5,22.9,0.503,1.2,3.2,0.364,10.3,19.6,0.525,8.3,9.5,0.868,1.3,6.6,7.9,15.7,3.9,0.2,4.2,3.9,32.4,124,103,3002,30.0,0.599,0.14,0.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,13.3,5.0,18.3,0.292,7.2,3.8,11.0,9.9,82.0,19755.0,2911.0,6366.0,0.457,556.0,1526.0,0.364,2355.0,4840.0,0.487,1479.0,1833.0,0.807,802.0,2453.0,3255.0,1609.0,593.0,338.0,1029.0,1665.0,7857.0,82.0,19755.0,2851.0,6329.0,0.45,575.0,1625.0,0.354,2276.0,4704.0,0.484,1453.0,1879.0,0.773,822.0,2459.0,3281.0,1649.0,476.0,290.0,1089.0,1675.0,7730.0,49,33,46,36,1.55,-0.14,1.41,108.7,107.0,87.8,0.288,0.24,0.501,12.5,24.6,0.232,0.496,13.2,74.9,0.23,New Orleans Arena,695727,78,38.5,4.72,3.59,8.31,21.53,5934,3203,8.195174738,3.653223158,11.8483979,23.82479393,23.57188188,0.252912046,7.845714538,4.24740332,12.09311786,-0.274466707,78,47,31,38.5,104.6,4.7,12.8,19.0,2.8,47.3,0.1,3.9,10.4,9.4,8.4,28.4,0.13,0.0
4,2009-10,2010,Chris Paul,-1,0.0,2.0,0.0,False,0.0,0.0,500.0,24,NOH,NBA,PG,45,45,38.0,7.0,14.2,0.493,1.2,2.8,0.409,5.8,11.3,0.514,0.534,3.6,4.2,0.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7,1712,9.5,19.3,0.493,1.6,3.8,0.409,7.9,15.4,0.514,4.9,5.8,0.847,0.6,5.2,5.8,14.5,2.9,0.2,3.4,3.6,25.5,122,109,1712,23.7,0.584,0.199,0.298,1.3,11.9,6.5,45.4,2.9,0.4,13.5,22.2,5.7,1.5,7.3,0.204,4.6,1.6,6.2,3.5,82.0,19830.0,3178.0,6842.0,0.464,571.0,1572.0,0.363,2607.0,5270.0,0.495,1293.0,1661.0,0.778,852.0,2450.0,3302.0,1828.0,625.0,300.0,1103.0,1606.0,8220.0,82.0,19830.0,3250.0,6730.0,0.483,539.0,1517.0,0.355,2711.0,5213.0,0.52,1383.0,1841.0,0.751,870.0,2586.0,3456.0,1925.0,574.0,367.0,1177.0,1597.0,8422.0,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,92.6,0.243,0.23,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,New Orleans Arena,617366,45,38.0,3.38,0.24,3.62,7.36,3341,1712,5.318106701,0.294042093,5.612148793,7.272652543,7.272652543,0.0,5.045599715,1.311290593,6.356890308,-0.403155336,45,23,22,38.1,107.3,3.8,10.5,16.3,2.1,37.1,0.2,6.3,11.6,10.5,10.0,34.5,0.089,0.45
5,2010-11,2011,Chris Paul,12T,0.0,3.0,0.0,False,0.0,13.0,500.0,25,NOH,NBA,PG,80,80,36.0,5.4,11.6,0.463,0.9,2.3,0.388,4.5,9.3,0.482,0.502,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,2880,8.1,17.4,0.463,1.3,3.4,0.388,6.7,14.0,0.482,6.3,7.2,0.878,0.7,5.4,6.1,14.7,3.5,0.1,3.3,3.7,23.8,122,103,2880,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,9.5,4.4,13.9,0.232,4.4,2.8,7.1,6.7,82.0,19830.0,2944.0,6416.0,0.459,444.0,1232.0,0.36,2500.0,5184.0,0.482,1452.0,1897.0,0.765,824.0,2468.0,3292.0,1691.0,624.0,359.0,1069.0,1719.0,7784.0,82.0,19830.0,2882.0,6306.0,0.457,557.0,1562.0,0.357,2325.0,4744.0,0.49,1390.0,1805.0,0.77,769.0,2457.0,3226.0,1739.0,497.0,396.0,1192.0,1674.0,7711.0,46,36,44,38,0.89,0.39,1.28,106.2,105.2,88.7,0.296,0.192,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,New Orleans Arena,603088,80,36.0,3.06,2.54,5.6,16.35,5832,3130,6.665403171,2.383542793,9.048945964,18.82118457,17.09198892,1.729195656,6.315340884,3.117851109,9.433191993,-0.391306995,80,45,35,36.0,103.4,3.6,11.2,16.3,2.4,37.3,0.1,2.0,9.9,7.6,8.4,28.5,0.127,2.41
6,2011-12,2012,Chris Paul,12T,0.0,4.0,0.0,False,0.0,5.0,500.0,26,LAC,NBA,PG,60,60,36.4,7.1,14.8,0.478,1.3,3.6,0.371,5.8,11.3,0.511,0.522,4.3,5.0,0.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8,2181,10.5,22.0,0.478,1.9,5.3,0.371,8.5,16.7,0.511,6.4,7.5,0.861,1.0,4.2,5.3,13.4,3.8,0.1,3.1,3.4,29.3,126,104,2181,27.0,0.581,0.239,0.339,2.3,9.4,5.8,43.8,3.8,0.2,10.8,24.3,10.4,2.3,12.7,0.278,6.7,2.4,9.2,6.1,66.0,15965.0,2439.0,5366.0,0.455,514.0,1441.0,0.357,1925.0,3925.0,0.49,1046.0,1538.0,0.68,800.0,1943.0,2743.0,1385.0,556.0,315.0,879.0,1399.0,6438.0,66.0,15965.0,2279.0,5098.0,0.447,460.0,1261.0,0.365,1819.0,3837.0,0.474,1251.0,1678.0,0.746,712.0,1914.0,2626.0,1368.0,396.0,296.0,966.0,1401.0,6269.0,40,26,39,27,2.56,0.26,2.82,108.5,105.7,89.2,0.287,0.269,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,STAPLES Center,634237,60,36.4,4.65,2.02,6.67,12.8,4892,2604,7.315335464,1.771082973,9.086418437,15.7497336,14.16328005,1.586453547,7.245040243,2.520363865,9.765404108,-0.088956975,60,37,23,36.3,104.1,2.9,8.4,13.1,2.5,40.2,0.1,2.0,10.5,9.5,8.2,28.9,0.088,-0.08
7,2012-13,2013,Chris Paul,11,0.0,5.0,2.0,False,0.0,19.0,500.0,27,LAC,NBA,PG,70,70,33.4,5.9,12.2,0.481,1.1,3.3,0.328,4.8,8.9,0.538,0.526,4.1,4.6,0.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9,2335,9.3,19.3,0.481,1.7,5.2,0.328,7.6,14.1,0.538,6.5,7.3,0.885,1.2,4.7,5.9,15.3,3.8,0.2,3.6,3.2,26.7,127,102,2335,26.4,0.594,0.271,0.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,10.6,3.4,13.9,0.287,6.4,2.4,8.8,6.4,82.0,19730.0,3160.0,6608.0,0.478,627.0,1752.0,0.358,2533.0,4856.0,0.522,1342.0,1888.0,0.711,938.0,2475.0,3413.0,1958.0,784.0,461.0,1197.0,1716.0,8289.0,82.0,19730.0,2834.0,6397.0,0.443,627.0,1682.0,0.373,2207.0,4715.0,0.468,1465.0,1956.0,0.749,891.0,2315.0,3206.0,1812.0,606.0,335.0,1319.0,1712.0,7760.0,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,0.286,0.265,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,STAPLES Center,788293,70,33.4,5.1,1.4,6.5,14.06,4898,2559,8.042483558,1.289291219,9.331774777,15.78194504,14.3301268,1.451818238,7.819233624,2.108363371,9.927596995,-0.219603224,70,50,20,33.4,104.5,3.0,9.6,14.6,2.4,36.3,0.1,4.1,10.3,8.5,8.1,26.7,0.089,1.04
8,2013-14,2014,Chris Paul,13T,0.0,6.0,0.0,False,1.0,5.0,500.0,28,LAC,NBA,PG,62,62,35.0,6.5,14.0,0.467,1.3,3.4,0.368,5.3,10.6,0.498,0.511,4.8,5.6,0.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1,2171,9.4,20.0,0.467,1.8,4.9,0.368,7.6,15.2,0.498,6.8,8.0,0.855,0.9,5.3,6.2,15.3,3.5,0.1,3.3,3.6,27.3,125,103,2171,25.9,0.58,0.244,0.397,2.0,11.4,6.9,48.9,3.5,0.1,12.4,23.7,9.0,3.2,12.2,0.27,6.0,2.6,8.6,5.8,82.0,19755.0,3208.0,6761.0,0.474,693.0,1966.0,0.352,2515.0,4795.0,0.525,1741.0,2384.0,0.73,858.0,2668.0,3526.0,2016.0,703.0,397.0,1136.0,1767.0,8850.0,82.0,19755.0,3068.0,6958.0,0.441,595.0,1791.0,0.332,2473.0,5167.0,0.479,1547.0,2049.0,0.755,1011.0,2575.0,3586.0,1908.0,570.0,284.0,1261.0,1919.0,8278.0,57,25,59,23,6.98,0.3,7.27,112.1,104.8,95.9,0.353,0.291,0.526,12.7,25.0,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692,62,35.0,4.58,3.89,8.47,17.24,5387,2643,7.723907354,3.6684386,11.39234595,19.27121673,15.30220204,3.969014693,7.213998077,4.203061756,11.41705983,0.370430902,62,44,18,35.0,101.9,3.7,10.1,15.4,2.5,36.8,0.1,1.7,11.4,9.8,7.5,31.7,0.133,1.93
9,2014-15,2015,Chris Paul,15T,0.0,7.0,0.0,False,1.0,1.0,500.0,29,LAC,NBA,PG,82,82,34.8,6.9,14.3,0.485,1.7,4.3,0.398,5.2,10.0,0.523,0.545,3.5,3.9,0.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1,2857,10.1,20.8,0.485,2.5,6.2,0.398,7.6,14.6,0.523,5.1,5.7,0.9,0.9,5.7,6.7,14.9,2.8,0.3,3.4,3.6,27.7,126,105,2857,26.0,0.596,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,12.9,3.2,16.1,0.27,6.4,1.6,8.0,7.2,82.0,19730.0,3228.0,6830.0,0.473,827.0,2202.0,0.376,2401.0,4628.0,0.519,1468.0,2067.0,0.71,784.0,2711.0,3495.0,2031.0,640.0,409.0,1012.0,1749.0,8751.0,82.0,19730.0,2984.0,6745.0,0.442,683.0,1959.0,0.349,2301.0,4786.0,0.481,1560.0,2105.0,0.741,868.0,2649.0,3517.0,1904.0,548.0,245.0,1171.0,1766.0,8211.0,56,26,58,24,6.59,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892,82,34.8,5.41,1.45,6.87,19.13,6633,3302,8.557501318,2.111893393,10.66939471,22.6091422,19.41801466,3.191127548,8.772725388,2.137895807,10.91062119,-0.393642907,82,56,26,34.8,104.0,4.0,11.1,16.4,1.9,34.1,0.2,4.9,10.3,9.0,8.3,28.2,0.099,0.57
