,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2003-04,2004,Kendrick Perkins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,BOS,NBA,C,10,0,3.5,0.8,1.5,0.533,0.0,0.0,,0.8,1.5,0.533,0.533,0.6,0.9,0.667,0.5,0.9,1.4,0.3,0.0,0.2,0.5,0.6,2.2,35,11.8,22.1,0.533,0.0,0.0,,11.8,22.1,0.533,8.8,13.2,0.667,7.4,13.2,20.6,4.4,0.0,2.9,7.4,8.8,32.4,103,101,35,22.8,0.58,0.0,0.6,16.7,28.9,22.9,17.4,0.0,4.4,20.9,31.1,0.1,0.0,0.1,0.145,0.2,0.5,0.7,0.0,82.0,19705,2843,6415,0.443,553,1599,0.346,2290,4816,0.475,1572,2095,0.75,851,2440,3291,1683,770,331,1332,1837,7811,82.0,19705,2894,6626,0.437,555,1534,0.362,2339,5092,0.459,1587,2157,0.736,1069,2524,3593,1882,719,408,1406,1819,7930,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,93.2,0.327,0.249,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,FleetCenter,664248,10,3.5,-0.03,-1.13,-1.16,0.05,69,35,-0.500577756,-2.457576815,-2.958154571,-0.003734378,-0.003734378,0.0,-0.915876145,-4.141899499,-5.057775644,0.425915511,10,4,6,3.5,97.4,0.9,26.5,37.5,0.0,0.0,0.2,100.0,1.4,0.5,0.9,2.8,0.015,0.0
1,2004-05,2005,Kendrick Perkins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,BOS,NBA,C,60,3,9.1,0.9,2.0,0.471,0.0,0.0,,0.9,2.0,0.471,0.471,0.6,1.0,0.638,0.9,2.1,2.9,0.4,0.2,0.6,0.7,1.6,2.5,548,5.3,11.2,0.471,0.0,0.0,,5.3,11.2,0.471,3.5,5.4,0.638,5.0,11.6,16.5,2.0,0.8,3.5,4.0,9.2,14.0,96,102,548,11.2,0.515,0.0,0.487,11.5,25.7,18.7,5.8,0.8,5.1,22.9,15.4,-0.1,0.8,0.7,0.065,-4.3,0.4,-3.9,-0.3,82.0,19880,3046,6511,0.468,437,1252,0.349,2609,5259,0.496,1775,2323,0.764,909,2438,3347,1810,667,423,1297,2000,8304,82.0,19880,2960,6664,0.444,488,1370,0.356,2472,5294,0.467,1825,2423,0.753,1039,2427,3466,1859,714,402,1277,1937,8233,45,37,43,39,0.87,-0.52,0.35,107.5,106.6,93.3,0.357,0.192,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,FleetCenter,656081,60,9.1,-2.42,0.73,-1.69,0.54,1128,576,-4.130380386,-0.820035204,-4.95041559,-0.649664395,-0.63369632,-0.015968075,-4.137968911,-1.227603687,-5.365572597,0.557027448,60,31,29,9.0,98.7,2.1,21.3,37.6,0.2,9.7,0.6,50.7,3.8,3.6,1.8,6.8,0.04,0.0
2,2005-06,2006,Kendrick Perkins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,BOS,NBA,C,68,40,19.6,2.0,3.9,0.515,0.0,0.0,0.0,2.0,3.9,0.519,0.515,1.2,1.9,0.615,2.1,3.9,5.9,1.0,0.3,1.5,1.6,2.9,5.2,1332,5.4,10.4,0.515,0.0,0.1,0.0,5.4,10.3,0.519,3.1,5.1,0.615,5.5,10.3,15.8,2.7,0.8,4.1,4.2,7.8,13.8,100,103,1332,13.2,0.548,0.008,0.489,13.1,23.6,18.5,8.1,0.8,6.0,24.9,14.8,0.3,2.0,2.3,0.082,-2.8,1.3,-1.5,0.2,82.0,19880,2951,6322,0.467,467,1290,0.362,2484,5032,0.494,1664,2204,0.755,813,2432,3245,1716,578,422,1359,2033,8033,82.0,19880,2944,6462,0.456,446,1265,0.353,2498,5197,0.481,1825,2457,0.743,910,2369,3279,1763,688,404,1210,1837,8159,33,49,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.504,15.7,25.5,0.263,0.49,13.8,72.8,0.282,TD Banknorth Garden,692873,68,19.6,-1.96,0.75,-1.2,1.53,2588,1332,-3.143668266,0.901003402,-2.242664864,0.344857626,0.344857626,0.0,-3.138614226,0.435776658,-2.702837568,0.021146394,68,25,43,19.6,103.3,3.9,21.2,31.3,0.3,10.9,1.5,58.7,8.4,4.6,5.1,15.1,0.061,0.0
3,2006-07,2007,Kendrick Perkins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,BOS,NBA,C,72,53,21.9,1.8,3.7,0.491,0.0,0.0,0.0,1.8,3.7,0.496,0.491,0.8,1.4,0.6,1.6,3.6,5.2,1.3,0.3,1.3,1.6,3.0,4.5,1576,4.4,8.9,0.491,0.0,0.1,0.0,4.4,8.8,0.496,2.0,3.3,0.6,3.7,8.6,12.3,3.1,0.8,3.2,3.7,7.1,10.7,94,105,1576,9.5,0.518,0.011,0.372,8.4,20.1,14.1,9.4,0.8,4.7,26.5,12.2,-0.6,1.9,1.4,0.042,-4.1,1.5,-2.6,-0.3,82.0,19855,2858,6454,0.443,471,1283,0.367,2387,5171,0.462,1670,2178,0.767,918,2391,3309,1630,589,382,1350,1971,7857,82.0,19855,2966,6337,0.468,429,1212,0.354,2537,5125,0.495,1776,2376,0.747,848,2476,3324,1811,604,449,1250,1757,8137,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,92.0,0.337,0.199,0.479,15.4,27.0,0.259,0.502,14.5,73.8,0.28,TD Banknorth Garden,690576,72,21.9,-3.39,2.75,-0.64,2.58,3055,1576,-4.344014769,1.598615075,-2.745399694,0.003701199,0.003701199,0.0,-4.401756469,1.068943113,-3.332813357,0.055504935,72,19,53,21.9,102.3,3.6,17.3,26.3,0.3,9.8,1.3,51.9,8.0,5.4,5.6,18.3,0.077,0.0
4,2007-08,2008,Kendrick Perkins,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,BOS,NBA,C,78,78,24.5,2.7,4.5,0.615,0.0,0.0,0.0,2.7,4.4,0.617,0.615,1.5,2.3,0.623,1.9,4.2,6.1,1.1,0.4,1.5,1.6,3.1,6.9,1912,5.9,9.6,0.615,0.0,0.0,0.0,5.9,9.6,0.617,3.1,5.1,0.623,4.0,9.1,13.1,2.3,0.9,3.1,3.5,6.7,15.0,110,97,1912,13.3,0.632,0.003,0.526,9.6,19.3,14.8,6.8,0.9,4.9,22.6,13.5,1.9,4.3,6.2,0.156,-1.9,2.4,0.5,1.2,82.0,19755,2986,6286,0.475,596,1564,0.381,2390,4722,0.506,1677,2176,0.771,830,2615,3445,1833,696,379,1246,1864,8245,82.0,19755,2657,6341,0.419,485,1535,0.316,2172,4806,0.452,1605,2160,0.743,899,2290,3189,1539,594,389,1308,1818,7404,66,16,67,15,10.26,-0.95,9.3,110.2,98.9,90.9,0.346,0.249,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.253,TD Banknorth Garden,763584,78,24.5,-1.48,2.94,1.45,5.21,4804,2543,-2.434156981,3.72296913,1.288812149,5.30758583,3.725641601,1.58194423,-2.492661227,3.097081159,0.604419932,0.102887264,78,62,16,24.5,96.6,4.2,17.1,25.3,0.4,8.9,1.5,51.8,7.0,6.2,4.9,17.9,0.136,0.0
5,2008-09,2009,Kendrick Perkins,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,BOS,NBA,C,76,76,29.6,3.6,6.3,0.577,0.0,0.0,0.0,3.6,6.3,0.58,0.577,1.3,2.1,0.6,2.7,5.5,8.1,1.3,0.3,2.0,2.2,3.3,8.5,2253,6.5,11.3,0.577,0.0,0.0,0.0,6.5,11.2,0.58,2.3,3.8,0.6,4.8,9.8,14.6,2.3,0.5,3.5,3.9,6.0,15.3,105,100,2253,13.2,0.591,0.004,0.335,11.5,21.4,16.7,6.5,0.5,5.3,23.1,14.8,1.1,4.5,5.6,0.119,-1.8,1.9,0.1,1.2,82.0,19880,3075,6333,0.486,538,1355,0.397,2537,4978,0.51,1587,2075,0.765,869,2586,3455,1862,621,387,1280,1897,8275,82.0,19880,2763,6418,0.431,507,1452,0.349,2256,4966,0.454,1626,2110,0.771,834,2249,3083,1553,585,389,1195,1820,7659,62,20,61,21,7.51,-0.07,7.44,110.5,102.3,90.4,0.328,0.214,0.528,15.0,27.9,0.251,0.47,14.0,75.6,0.253,TD Banknorth Garden,763584,76,29.6,-2.15,0.78,-1.36,2.23,5278,2765,-2.927159977,1.767659354,-1.159500622,2.250043644,1.631951236,0.618092407,-2.751412069,1.304426627,-1.446985441,-0.389610192,76,57,19,29.6,102.1,5.5,18.6,27.6,0.3,6.7,2.0,56.8,10.8,6.5,7.0,23.3,0.121,0.0
6,2009-10,2010,Kendrick Perkins,17T,0.0,1.0,0.0,False,1.0,1.0,500.0,25,BOS,NBA,C,78,78,27.6,4.0,6.7,0.602,0.0,0.0,0.0,4.0,6.7,0.605,0.602,2.1,3.6,0.582,2.0,5.6,7.6,1.0,0.3,1.7,2.1,2.8,10.1,2154,7.6,12.7,0.602,0.0,0.1,0.0,7.6,12.6,0.605,4.0,6.8,0.582,3.8,10.7,14.5,1.9,0.6,3.2,4.0,5.3,19.2,105,101,2154,15.0,0.613,0.006,0.536,9.1,24.4,16.9,6.0,0.6,4.8,20.4,17.6,1.4,3.8,5.2,0.117,-1.7,1.0,-0.7,0.7,82.0,19780,3039,6294,0.483,499,1433,0.348,2540,4861,0.523,1559,2090,0.746,716,2449,3165,1930,701,402,1219,1816,8136,82.0,19780,2880,6390,0.451,470,1375,0.342,2410,5015,0.481,1606,2152,0.746,868,2418,3286,1585,578,386,1283,1777,7836,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,91.6,0.332,0.228,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,TD Garden,763584,78,27.6,-1.57,1.68,0.11,4.25,5239,2729,-2.686752339,2.315642024,-0.371110315,3.342050486,2.442064674,0.899985812,-2.679474841,1.486306325,-1.193168516,-0.079270423,78,48,30,27.6,101.4,5.6,20.9,31.6,0.3,7.1,1.7,56.7,9.7,7.5,7.2,22.6,0.116,2.03
7,2010-11,2011,Kendrick Perkins,-1,0.0,1.0,0.0,False,2.0,0.0,500.0,26,BOS,NBA,C,12,7,26.1,2.7,4.9,0.542,0.0,0.0,,2.7,4.9,0.542,0.542,1.9,3.3,0.575,1.9,6.2,8.1,0.8,0.2,0.8,2.1,3.1,7.3,313,5.4,10.0,0.542,0.0,0.0,,5.4,10.0,0.542,3.9,6.8,0.575,3.9,12.6,16.5,1.7,0.3,1.7,4.2,6.3,14.8,97,99,313,10.2,0.568,0.0,0.678,9.6,27.5,19.1,4.8,0.3,2.5,24.6,15.6,-0.1,0.6,0.6,0.088,-3.6,1.1,-2.5,0.0,82.0,19780,3023,6219,0.486,408,1119,0.365,2615,5100,0.513,1459,1895,0.77,639,2542,3181,1921,676,344,1195,1678,7913,82.0,19780,2768,6371,0.434,443,1304,0.34,2325,5067,0.459,1494,1975,0.756,862,2387,3249,1533,574,364,1262,1659,7473,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,90.4,0.305,0.18,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,TD Garden,763584,29,25.6,-3.27,1.48,-1.79,0.64,2351,1221,-4.723239799,0.5633754,-4.159864399,-0.886285274,-0.559922153,-0.326363122,-4.526787017,0.286975441,-4.239811576,0.126438417,29,21,8,25.6,98.6,5.9,22.7,33.7,0.3,6.6,0.9,24.5,8.2,7.9,6.3,23.2,0.127,1.41
8,2010-11,2011,Kendrick Perkins,-1,0.0,1.0,0.0,False,2.0,0.0,500.0,26,OKC,NBA,C,17,17,25.2,2.1,4.2,0.493,0.0,0.0,,2.1,4.2,0.493,0.493,1.0,1.9,0.531,2.3,5.6,7.9,0.9,0.4,0.9,1.8,3.2,5.1,429,4.2,8.6,0.493,0.0,0.0,,4.2,8.6,0.493,2.1,3.9,0.531,4.7,11.6,16.3,1.9,0.8,1.9,3.7,6.5,10.5,94,105,429,9.1,0.511,0.0,0.451,11.0,25.3,18.4,5.4,0.8,2.7,26.7,12.3,-0.1,0.6,0.4,0.046,-3.6,0.3,-3.4,-0.1,82.0,20005,3066,6609,0.464,487,1403,0.347,2579,5206,0.495,1977,2401,0.823,903,2604,3507,1672,654,487,1156,1836,8596,82.0,20005,3123,6823,0.458,482,1335,0.361,2641,5488,0.481,1557,2093,0.744,932,2395,3327,1712,587,356,1152,1767,8285,55,27,51,31,3.79,0.02,3.81,111.2,107.2,92.7,0.363,0.212,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,Chesapeake Energy Arena,744068,29,25.6,-3.27,1.48,-1.79,0.64,2351,1221,-4.723239799,0.5633754,-4.159864399,-0.886285274,-0.559922153,-0.326363122,-4.526787017,0.286975441,-4.239811576,0.126438417,29,21,8,25.6,98.6,5.9,22.7,33.7,0.3,6.6,0.9,24.5,8.2,7.9,6.3,23.2,0.127,1.41
9,2011-12,2012,Kendrick Perkins,-1,0.0,1.0,0.0,False,2.0,0.0,500.0,27,OKC,NBA,C,65,65,26.8,2.0,4.0,0.489,0.0,0.0,,2.0,4.0,0.489,0.489,1.1,1.7,0.652,1.8,4.7,6.6,1.2,0.4,1.1,1.8,2.9,5.1,1744,3.8,7.8,0.489,0.0,0.0,,3.8,7.8,0.489,2.2,3.3,0.652,3.6,9.1,12.6,2.3,0.7,2.2,3.5,5.6,9.7,96,103,1744,8.7,0.528,0.0,0.427,8.4,18.8,13.9,6.4,0.7,3.0,27.5,11.1,0.0,2.1,2.0,0.056,-3.0,0.9,-2.1,0.0,66.0,15990,2462,5229,0.471,472,1317,0.358,1990,3912,0.509,1406,1744,0.806,726,2157,2883,1224,498,539,1079,1352,6802,66.0,15990,2405,5629,0.427,421,1231,0.342,1984,4398,0.451,1167,1519,0.768,835,1889,2724,1312,542,321,937,1322,6398,47,19,46,20,6.12,0.32,6.44,109.8,103.2,93.0,0.334,0.252,0.516,15.3,27.8,0.269,0.465,13.0,72.1,0.207,Chesapeake Energy Arena,600699,65,26.8,-3.49,-0.54,-4.03,-2.03,4405,2261,-4.64351391,0.733846149,-3.909667762,-1.37171375,-0.567614074,-0.804099676,-4.307115855,0.476926758,-3.830189097,-0.150303178,65,46,19,26.8,101.0,4.7,16.4,25.0,0.4,9.6,1.1,21.1,9.7,7.8,7.2,24.2,0.091,1.27
