,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2013-14,2014,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,WAS,NBA,SF,37,0,8.6,0.9,2.5,0.363,0.1,0.6,0.19,0.8,1.9,0.414,0.385,0.2,0.3,0.667,0.6,1.0,1.5,0.3,0.2,0.0,0.4,0.7,2.1,319,5.3,14.7,0.363,0.6,3.4,0.19,4.7,11.3,0.414,1.3,1.9,0.667,3.4,5.8,9.2,1.6,1.3,0.2,2.3,4.2,12.6,86,107,319,6.0,0.405,0.231,0.132,7.5,13.3,10.4,4.6,1.3,0.3,12.7,15.6,-0.4,0.3,0.0,-0.006,-4.9,-1.3,-6.2,-0.3,82.0,20055.0,3177.0,6920.0,0.459,647.0,1704.0,0.38,2530.0,5216.0,0.485,1253.0,1715.0,0.731,886.0,2573.0,3459.0,1909.0,668.0,377.0,1204.0,1675.0,8254.0,82.0,20055.0,3038.0,6632.0,0.458,612.0,1763.0,0.347,2426.0,4869.0,0.498,1462.0,1912.0,0.765,827.0,2633.0,3460.0,1824.0,631.0,320.0,1314.0,1600.0,8150.0,44,38,45,37,1.27,-0.79,0.48,106.0,104.6,93.2,0.248,0.246,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22,Verizon Center,698068,37,8.6,-3.84,-0.66,-4.51,-0.37,648,325,-4.274234445,-1.669833205,-5.944067649,-0.520901836,-0.44798588,-0.072915956,-4.163677809,-2.915344089,-7.079021898,-0.196979775,37,20,17,8.6,96.7,1.0,13.0,17.4,0.2,17.0,0.0,3.1,3.2,1.5,2.1,6.4,0.047,-0.45
1,2014-15,2015,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,WAS,NBA,SF,74,13,19.4,2.4,5.3,0.45,0.5,1.4,0.337,1.9,3.9,0.491,0.495,0.8,1.1,0.734,0.9,2.0,3.0,0.9,0.6,0.4,0.7,1.3,6.0,1432,6.3,14.0,0.45,1.3,3.7,0.337,5.0,10.3,0.491,2.1,2.8,0.734,2.5,5.4,7.9,2.3,1.6,1.1,1.9,3.5,15.9,105,104,1432,11.6,0.523,0.266,0.202,5.6,11.6,8.7,6.8,1.6,1.7,10.9,15.1,1.0,1.8,2.7,0.092,-1.1,0.6,-0.5,0.6,82.0,19955.0,3139.0,6790.0,0.462,497.0,1381.0,0.36,2642.0,5409.0,0.488,1305.0,1758.0,0.742,862.0,2801.0,3663.0,1969.0,601.0,378.0,1233.0,1707.0,8080.0,82.0,19955.0,2965.0,6844.0,0.433,657.0,1885.0,0.349,2308.0,4959.0,0.465,1434.0,1942.0,0.738,821.0,2599.0,3420.0,1634.0,655.0,350.0,1145.0,1610.0,8021.0,46,36,43,39,0.72,-0.55,0.17,103.7,103.0,93.7,0.259,0.203,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21,Verizon Center,747796,74,19.4,-2.23,0.47,-1.77,0.89,3481,1763,-0.090308568,0.086990373,-0.003318195,2.510755808,0.502309183,2.008446626,-0.730636422,0.204644787,-0.525991635,-0.557004877,74,41,33,19.4,103.2,2.0,10.3,15.5,0.6,21.7,0.4,22.2,6.2,5.6,4.2,15.2,0.06,-1.13
2,2015-16,2016,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,WAS,NBA,SF,75,73,30.3,4.5,9.6,0.473,1.3,3.6,0.367,3.2,6.0,0.536,0.541,1.3,1.7,0.754,1.3,3.9,5.2,1.6,1.4,0.4,0.9,2.2,11.6,2276,7.3,15.4,0.473,2.1,5.7,0.367,5.2,9.6,0.536,2.0,2.7,0.754,2.1,6.3,8.4,2.6,2.2,0.7,1.5,3.5,18.7,112,105,2276,14.5,0.564,0.372,0.176,4.7,14.7,9.6,7.9,2.2,1.1,8.3,16.2,3.0,2.7,5.6,0.119,0.3,0.8,1.1,1.8,82.0,19755.0,3238.0,7033.0,0.46,709.0,1983.0,0.358,2529.0,5050.0,0.501,1349.0,1849.0,0.73,743.0,2688.0,3431.0,2005.0,708.0,323.0,1186.0,1708.0,8534.0,82.0,19755.0,3170.0,6868.0,0.462,737.0,1987.0,0.371,2433.0,4881.0,0.498,1498.0,1947.0,0.769,773.0,2858.0,3631.0,1846.0,661.0,356.0,1325.0,1651.0,8575.0,41,41,40,42,-0.5,0.0,-0.5,105.3,105.8,98.5,0.263,0.282,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,Verizon Center,725426,75,30.3,-1.68,-0.27,-1.95,0.59,4738,2276,0.429539733,0.0036474,0.433187133,3.716641601,3.716641601,0.0,0.356104853,0.86767463,1.223779483,0.535982749,75,36,39,30.3,103.9,3.9,13.2,18.9,1.4,25.1,0.4,17.3,10.9,7.4,8.2,25.9,0.095,1.86
3,2016-17,2017,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,WAS,NBA,SF,80,80,32.6,5.2,10.0,0.516,1.9,4.3,0.434,3.3,5.8,0.576,0.608,1.2,1.5,0.832,1.5,5.0,6.4,1.5,1.5,0.5,0.6,2.4,13.4,2605,7.8,15.2,0.516,2.8,6.5,0.434,5.0,8.7,0.576,1.9,2.3,0.832,2.2,7.5,9.7,2.3,2.2,0.8,0.8,3.7,20.3,129,108,2605,17.3,0.628,0.425,0.148,5.1,17.1,11.1,6.7,2.2,1.3,4.9,15.1,6.4,3.0,9.4,0.173,2.4,0.9,3.3,3.5,82.0,19855.0,3388.0,7137.0,0.475,756.0,2030.0,0.372,2632.0,5107.0,0.515,1421.0,1812.0,0.784,843.0,2671.0,3514.0,1956.0,693.0,336.0,1162.0,1745.0,8953.0,82.0,19855.0,3253.0,6978.0,0.466,810.0,2224.0,0.364,2443.0,4754.0,0.514,1489.0,1982.0,0.751,868.0,2661.0,3529.0,1870.0,606.0,377.0,1257.0,1621.0,8805.0,49,33,46,36,1.8,-0.45,1.36,111.2,109.3,97.4,0.254,0.284,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,Verizon Center,697107,80,32.6,-0.31,-0.66,-0.96,1.66,6255,3033,2.106291577,1.232956599,3.339248176,9.536094824,7.172503964,2.36359086,1.982067561,1.735380168,3.717447728,0.221139526,80,48,32,32.6,108.4,5.0,15.4,22.6,1.5,23.8,0.5,19.6,10.2,8.9,8.0,29.9,0.083,0.9
4,2017-18,2018,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,WAS,NBA,SF,77,77,31.6,5.8,11.5,0.503,1.8,4.1,0.441,4.0,7.4,0.537,0.581,1.4,1.7,0.828,1.3,5.1,6.4,2.0,1.5,0.5,1.0,2.0,14.7,2432,9.1,18.1,0.503,2.8,6.4,0.441,6.3,11.7,0.537,2.2,2.6,0.828,2.1,7.9,10.0,3.2,2.4,0.8,1.5,3.1,23.2,120,107,2432,18.3,0.602,0.354,0.145,4.8,18.1,11.4,10.1,2.4,1.5,7.4,18.4,5.0,3.1,8.1,0.161,2.6,1.0,3.5,3.4,82.0,19855.0,3275.0,7018.0,0.467,814.0,2173.0,0.375,2461.0,4845.0,0.508,1378.0,1786.0,0.772,823.0,2713.0,3536.0,2065.0,645.0,353.0,1196.0,1746.0,8742.0,82.0,19855.0,3195.0,6918.0,0.462,835.0,2393.0,0.349,2360.0,4525.0,0.522,1469.0,1931.0,0.761,805.0,2682.0,3487.0,1831.0,641.0,383.0,1224.0,1639.0,8694.0,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,96.6,0.254,0.31,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,739302,77,31.6,-0.13,1.16,1.03,4.27,5283,2590,2.897256765,1.480186595,4.377443359,9.400487645,8.989495575,0.410992069,2.954205327,1.700493749,4.654699076,-0.330104645,77,42,35,31.6,105.1,5.1,16.1,23.2,1.5,27.6,0.5,18.1,10.7,8.0,6.7,29.6,0.108,1.29
5,2018-19,2019,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,WAS,NBA,SF,41,28,29.0,4.9,10.8,0.457,1.6,4.3,0.369,3.3,6.5,0.515,0.531,1.2,1.6,0.766,1.0,4.7,5.6,2.0,1.6,0.5,1.0,1.9,12.6,1191,8.0,17.6,0.457,2.6,7.0,0.369,5.4,10.6,0.515,1.9,2.5,0.766,1.6,7.6,9.2,3.2,2.5,0.9,1.6,3.1,20.6,110,111,1191,15.0,0.551,0.398,0.145,3.6,17.7,10.5,9.6,2.5,1.6,7.8,18.2,1.0,1.1,2.1,0.085,0.0,0.3,0.3,0.7,82.0,19930.0,3456.0,7387.0,0.468,930.0,2731.0,0.341,2526.0,4656.0,0.543,1508.0,1963.0,0.768,794.0,2679.0,3473.0,2154.0,683.0,379.0,1154.0,1701.0,9350.0,82.0,19930.0,3560.0,7424.0,0.48,994.0,2689.0,0.37,2566.0,4735.0,0.542,1474.0,1895.0,0.778,936.0,2939.0,3875.0,2151.0,631.0,378.0,1292.0,1741.0,9588.0,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,101.4,0.266,0.37,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,Capital One Arena,716996,56,30.1,-0.21,-0.21,-0.42,1.04,3614,1683,1.2760914,1.288121357,2.564212757,4.582792236,4.582792236,0.0,1.023805056,1.192808847,2.216613903,0.258615894,56,25,31,30.1,111.6,4.6,15.3,23.0,1.5,26.5,0.6,18.5,10.3,8.4,9.1,30.7,0.063,1.14
6,2018-19,2019,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,CHI,NBA,SF,15,15,32.8,6.5,13.4,0.483,2.6,5.3,0.488,3.9,8.1,0.479,0.58,1.9,2.1,0.906,0.9,4.6,5.5,2.7,1.2,0.6,1.7,1.9,17.5,492,9.6,19.8,0.483,3.8,7.9,0.488,5.7,11.9,0.479,2.9,3.2,0.906,1.4,6.8,8.2,3.9,1.8,0.9,2.5,2.9,25.8,115,113,492,18.0,0.609,0.398,0.159,3.1,15.4,9.2,13.0,1.8,1.6,10.4,21.3,0.8,0.4,1.1,0.112,2.6,-0.4,2.2,0.5,82.0,19905.0,3266.0,7205.0,0.453,745.0,2123.0,0.351,2521.0,5082.0,0.496,1328.0,1695.0,0.783,718.0,2799.0,3517.0,1796.0,603.0,351.0,1159.0,1663.0,8605.0,82.0,19905.0,3464.0,7316.0,0.473,990.0,2709.0,0.365,2474.0,4607.0,0.537,1377.0,1805.0,0.763,824.0,2984.0,3808.0,2094.0,600.0,473.0,1092.0,1534.0,9295.0,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,99.0,0.235,0.295,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,823475,56,30.1,-0.21,-0.21,-0.42,1.04,3614,1683,1.2760914,1.288121357,2.564212757,4.582792236,4.582792236,0.0,1.023805056,1.192808847,2.216613903,0.258615894,56,25,31,30.1,111.6,4.6,15.3,23.0,1.5,26.5,0.6,18.5,10.3,8.4,9.1,30.7,0.063,1.14
7,2019-20,2020,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,CHI,NBA,SF,14,9,23.6,4.4,10.0,0.443,1.7,4.4,0.387,2.7,5.6,0.487,0.529,1.4,1.9,0.704,0.9,2.5,3.4,1.8,1.1,0.4,0.8,2.2,11.9,331,9.0,20.4,0.443,3.5,9.0,0.387,5.5,11.4,0.487,2.8,3.9,0.704,1.9,5.1,7.0,3.6,2.2,0.9,1.6,4.5,24.3,112,110,331,15.8,0.55,0.443,0.193,4.1,12.3,8.0,11.9,2.2,1.7,6.8,21.0,0.4,0.4,0.8,0.112,0.8,0.2,1.0,0.3,65.0,15675.0,2573.0,5762.0,0.447,793.0,2282.0,0.348,1780.0,3480.0,0.511,1006.0,1332.0,0.755,680.0,2041.0,2721.0,1510.0,652.0,265.0,1005.0,1417.0,6945.0,65.0,15675.0,2568.0,5364.0,0.479,726.0,2057.0,0.353,1842.0,3307.0,0.557,1283.0,1691.0,0.759,660.0,2299.0,2959.0,1653.0,530.0,384.0,1187.0,1246.0,7145.0,22,43,26,39,-3.08,-0.93,-4.0,106.7,109.8,99.7,0.231,0.396,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,United Center,639352,14,23.6,-0.31,0.52,0.21,0.56,704,331,1.754926674,0.385120424,2.140047098,0.830210746,0.830210746,0.0,1.114423104,0.063475434,1.177898538,0.543793614,14,5,9,23.6,107.0,2.5,10.8,17.0,1.1,24.6,0.4,19.4,7.9,7.4,5.7,25.1,0.083,-0.25
8,2020-21,2021,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHI,NBA,SF,25,6,21.6,3.6,8.1,0.441,1.5,3.8,0.4,2.0,4.3,0.477,0.535,1.2,1.5,0.838,1.1,4.4,5.5,2.0,0.5,0.2,1.0,1.5,9.9,540,8.0,18.1,0.441,3.4,8.5,0.4,4.6,9.6,0.477,2.8,3.3,0.838,2.5,9.9,12.4,4.5,1.1,0.4,2.2,3.3,22.2,114,112,540,14.8,0.566,0.47,0.183,5.8,22.4,14.2,13.1,1.1,0.6,10.3,19.5,0.6,0.6,1.2,0.108,0.4,-0.3,0.2,0.3,72.0,17380.0,3035.0,6380.0,0.476,904.0,2446.0,0.37,2131.0,3934.0,0.542,995.0,1258.0,0.791,693.0,2544.0,3237.0,1927.0,482.0,304.0,1089.0,1362.0,7969.0,72.0,17380.0,2983.0,6313.0,0.473,829.0,2328.0,0.356,2154.0,3985.0,0.541,1238.0,1600.0,0.774,624.0,2410.0,3034.0,1737.0,614.0,364.0,917.0,1277.0,8033.0,31,41,34,38,-0.89,-0.05,-0.94,111.1,112.0,99.0,0.197,0.383,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,United Center,13655,28,21.7,0.18,-1.84,-1.66,0.22,1295,606,-0.5549373767667422,-0.9404175860814084,-1.495354962848151,0.3891797964359915,0.3891797964359915,0.0,0.2053742202300866,-1.861171350107031,-1.655797129876944,0.1815036247667569,28,12,16,21.7,109.6,4.4,19.8,28.4,0.6,18.0,0.1,9.3,8.9,4.5,5.3,20.1,0.072,-0.56
9,2020-21,2021,Otto Porter Jr.,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,ORL,NBA,PF,3,0,22.0,3.0,8.3,0.36,0.3,3.0,0.111,2.7,5.3,0.5,0.38,1.7,1.7,1.0,0.0,4.7,4.7,1.7,1.3,0.0,0.0,1.3,8.0,66,6.6,18.4,0.36,0.7,6.6,0.111,5.9,11.8,0.5,3.7,3.7,1.0,0.0,10.3,10.3,3.7,2.9,0.0,0.0,2.9,17.7,101,111,66,11.7,0.441,0.36,0.2,0.0,22.8,11.0,11.5,2.9,0.0,0.0,17.8,0.0,0.1,0.1,0.05,-3.5,1.7,-1.7,0.0,72.0,17330.0,2754.0,6423.0,0.429,784.0,2288.0,0.343,1970.0,4135.0,0.476,1196.0,1543.0,0.775,747.0,2525.0,3272.0,1571.0,496.0,318.0,924.0,1237.0,7488.0,72.0,17330.0,3039.0,6456.0,0.471,987.0,2649.0,0.373,2052.0,3807.0,0.539,1093.0,1390.0,0.786,704.0,2706.0,3410.0,1874.0,548.0,384.0,917.0,1343.0,8158.0,21,51,17,55,-9.31,0.29,-9.02,105.1,114.5,98.7,0.24,0.356,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,Amway Center,126463,28,21.7,0.18,-1.84,-1.66,0.22,1295,606,-0.5549373767667422,-0.9404175860814084,-1.495354962848151,0.3891797964359915,0.3891797964359915,0.0,0.2053742202300866,-1.861171350107031,-1.655797129876944,0.1815036247667569,28,12,16,21.7,109.6,4.4,19.8,28.4,0.6,18.0,0.1,9.3,8.9,4.5,5.3,20.1,0.072,-0.56
