,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1999-00,2000,James Posey,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,DEN,NBA,SF,81,77,25.3,2.8,6.6,0.429,1.0,2.7,0.373,1.8,3.9,0.468,0.506,1.5,1.9,0.8,1.0,2.9,3.9,1.8,1.2,0.4,1.2,2.6,8.2,2052,5.7,13.2,0.429,2.0,5.4,0.373,3.7,7.8,0.468,3.0,3.7,0.8,2.1,5.7,7.8,3.6,2.4,0.8,2.3,5.1,16.3,109,105,2052,13.0,0.55,0.41,0.28,4.5,12.4,8.4,10.8,2.4,1.1,13.6,14.8,2.5,1.9,4.3,0.101,-0.5,1.2,0.7,1.4,82.0,19855.0,3057.0,6911.0,0.442,470.0,1397.0,0.336,2587.0,5514.0,0.469,1531.0,2116.0,0.724,1073.0,2590.0,3663.0,1911.0,554.0,618.0,1281.0,1962.0,8115.0,82.0,19855.0,3129.0,6953.0,0.45,399.0,1126.0,0.354,2730.0,5827.0,0.469,1632.0,2174.0,0.751,1027.0,2606.0,3633.0,2003.0,616.0,462.0,1179.0,1937.0,8289.0,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,94.7,0.306,0.202,0.476,14.0,29.2,0.222,0.479,13.0,71.6,0.235,Pepsi Center,637698,81,25.3,-0.46,2.36,1.91,6.13,4095,2052,0.622722694,0.891931166,1.51465386,4.477710563,4.477710563,0.0,0.517090561,0.981202517,1.498293078,0.27253587,81,34,47,25.3,102.2,2.9,11.1,17.0,1.2,34.6,0.4,10.9,9.4,6.7,7.8,22.7,0.068,0.0
1,2000-01,2001,James Posey,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,DEN,NBA,SF,82,82,27.5,3.0,7.2,0.412,0.8,2.6,0.3,2.2,4.5,0.477,0.467,1.4,1.7,0.816,1.5,3.7,5.3,2.0,1.1,0.5,1.2,2.8,8.1,2255,5.6,13.6,0.412,1.5,5.0,0.3,4.1,8.6,0.477,2.6,3.2,0.816,2.9,7.0,9.9,3.7,2.1,0.9,2.3,5.2,15.3,104,105,2255,12.5,0.511,0.368,0.239,5.9,14.9,10.4,11.2,2.1,1.2,13.5,14.9,2.1,1.7,3.8,0.08,-1.0,0.6,-0.4,0.9,82.0,19780.0,2979.0,6877.0,0.433,512.0,1444.0,0.355,2467.0,5433.0,0.454,1448.0,1964.0,0.737,1044.0,2583.0,3627.0,1970.0,552.0,538.0,1136.0,1820.0,7918.0,82.0,19780.0,3081.0,6914.0,0.446,416.0,1168.0,0.356,2665.0,5746.0,0.464,1542.0,2049.0,0.753,1012.0,2642.0,3654.0,2042.0,588.0,497.0,1075.0,1758.0,8120.0,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,92.6,0.286,0.21,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,Pepsi Center,619300,82,27.5,0.01,0.49,0.5,5.1,4400,2255,0.248249301,2.363302423,2.611551724,6.186600049,6.186600049,0.0,0.233900921,2.187023354,2.420924275,0.271394241,82,40,42,27.5,101.1,3.7,12.9,19.8,1.1,29.2,0.5,12.6,8.2,7.3,8.3,23.0,0.076,0.0
2,2001-02,2002,James Posey,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DEN,NBA,SF,73,63,30.7,3.8,10.1,0.376,0.9,3.2,0.283,2.9,6.8,0.421,0.422,2.2,2.8,0.793,1.5,4.4,5.9,2.5,1.6,0.5,1.7,3.1,10.7,2238,6.6,17.5,0.376,1.6,5.6,0.283,5.0,11.8,0.421,3.8,4.8,0.793,2.6,7.6,10.2,4.3,2.7,0.9,3.0,5.3,18.6,98,105,2238,12.9,0.474,0.322,0.276,5.3,17.1,10.9,13.1,2.7,1.3,13.3,19.1,0.6,2.2,2.7,0.058,-1.5,0.7,-0.8,0.7,82.0,19805.0,2915.0,6870.0,0.424,423.0,1285.0,0.329,2492.0,5585.0,0.446,1306.0,1756.0,0.744,1117.0,2310.0,3427.0,1817.0,613.0,462.0,1205.0,1873.0,7559.0,82.0,19805.0,3005.0,6540.0,0.459,424.0,1173.0,0.361,2581.0,5367.0,0.481,1602.0,2144.0,0.747,995.0,2529.0,3524.0,1968.0,671.0,560.0,1173.0,1646.0,8036.0,27,55,24,58,-5.82,0.63,-5.19,101.4,107.8,90.4,0.256,0.187,0.455,13.6,30.6,0.19,0.492,13.6,69.9,0.245,Pepsi Center,633846,73,30.7,-0.89,1.28,0.38,4.41,4263,2238,-0.549464289,0.962755327,0.413291038,3.636148198,3.636148198,0.0,-0.265860446,1.449642712,1.183782266,0.615325266,73,24,49,30.7,105.9,4.4,15.3,25.0,1.6,30.8,0.5,14.3,10.2,9.5,9.5,26.2,0.054,0.0
3,2002-03,2003,James Posey,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,DEN,NBA,SF,25,24,34.9,4.8,13.0,0.373,1.0,3.5,0.273,3.9,9.4,0.411,0.41,3.4,4.1,0.843,1.5,4.3,5.8,3.1,1.2,0.2,2.6,2.5,14.1,872,7.3,19.6,0.373,1.5,5.3,0.273,5.9,14.3,0.411,5.2,6.2,0.843,2.3,6.5,8.8,4.7,1.8,0.4,4.0,3.8,21.3,95,103,872,12.3,0.477,0.272,0.315,4.8,15.0,9.7,16.5,1.8,0.5,15.2,22.2,0.0,1.0,1.0,0.055,-0.5,0.6,0.1,0.5,82.0,19730.0,2689.0,6544.0,0.411,229.0,824.0,0.278,2460.0,5720.0,0.43,1294.0,1850.0,0.699,1112.0,2363.0,3475.0,1737.0,712.0,422.0,1514.0,2056.0,6901.0,82.0,19730.0,2696.0,6087.0,0.443,420.0,1134.0,0.37,2276.0,4953.0,0.46,1768.0,2337.0,0.757,861.0,2443.0,3304.0,1764.0,742.0,538.0,1405.0,1789.0,7580.0,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,91.0,0.283,0.126,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,607813,83,30.3,-0.94,0.03,-0.91,3.64,4752,2518,-0.283644817,0.496802761,0.213157944,3.860881267,3.860881267,0.0,-0.24559013,0.722363175,0.476773045,0.838713396,83,35,48,30.3,100.7,4.0,13.9,21.6,1.3,25.3,0.2,5.3,11.2,8.0,8.3,22.5,0.095,0.0
4,2002-03,2003,James Posey,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,HOU,NBA,SF,58,47,28.4,3.2,7.4,0.439,0.8,2.4,0.326,2.4,4.9,0.495,0.493,2.1,2.5,0.826,0.9,3.9,4.8,1.8,1.3,0.2,1.3,2.3,9.3,1646,6.2,14.1,0.439,1.5,4.6,0.326,4.7,9.4,0.495,3.9,4.7,0.826,1.7,7.5,9.2,3.5,2.5,0.3,2.6,4.4,17.8,110,102,1646,14.2,0.551,0.329,0.336,3.7,15.7,9.8,10.8,2.5,0.4,13.7,16.0,2.3,2.1,4.4,0.129,-0.5,1.3,0.8,1.2,82.0,19930.0,2840.0,6461.0,0.44,439.0,1267.0,0.346,2401.0,5194.0,0.462,1569.0,2044.0,0.768,1024.0,2564.0,3588.0,1506.0,594.0,493.0,1276.0,1602.0,7688.0,82.0,19930.0,2891.0,6681.0,0.433,386.0,1113.0,0.347,2505.0,5568.0,0.45,1399.0,1805.0,0.775,979.0,2353.0,3332.0,1683.0,663.0,381.0,1082.0,1794.0,7567.0,43,39,46,36,1.48,0.42,1.89,104.3,102.6,88.8,0.316,0.196,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,565166,83,30.3,-0.94,0.03,-0.91,3.64,4752,2518,-0.283644817,0.496802761,0.213157944,3.860881267,3.860881267,0.0,-0.24559013,0.722363175,0.476773045,0.838713396,83,35,48,30.3,100.7,4.0,13.9,21.6,1.3,25.3,0.2,5.3,11.2,8.0,8.3,22.5,0.095,0.0
5,2003-04,2004,James Posey,10T,0.0,1.0,0.0,False,1.0,1.0,500.0,27,MEM,NBA,SG,82,82,29.9,4.5,9.4,0.478,1.4,3.5,0.386,3.1,5.9,0.533,0.551,3.4,4.1,0.83,1.1,3.8,4.9,1.5,1.7,0.5,1.4,3.0,13.7,2451,7.9,16.5,0.478,2.4,6.2,0.386,5.5,10.3,0.533,6.0,7.2,0.83,2.0,6.7,8.6,2.6,2.9,0.9,2.4,5.3,24.1,119,101,2451,18.8,0.614,0.377,0.435,4.2,14.5,9.3,8.4,2.9,1.2,10.9,18.9,6.8,3.2,10.0,0.195,2.3,1.4,3.7,3.5,82.0,19880.0,2963.0,6657.0,0.445,447.0,1314.0,0.34,2516.0,5343.0,0.471,1557.0,2143.0,0.727,1047.0,2381.0,3428.0,1915.0,795.0,565.0,1226.0,1903.0,7930.0,82.0,19880.0,2859.0,6550.0,0.436,369.0,1091.0,0.338,2490.0,5459.0,0.456,1643.0,2150.0,0.764,1099.0,2508.0,3607.0,1674.0,673.0,461.0,1395.0,1891.0,7730.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,91.4,0.322,0.197,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251,Pyramid Arena,622723,82,29.9,1.57,0.72,2.29,9.21,4957,2581,3.084492848,2.292091778,5.376584626,10.76768942,10.20700851,0.560680917,2.949589254,2.825244776,5.774834029,0.419113909,82,50,32,29.8,100.7,3.8,13.3,21.4,1.7,28.2,0.5,11.8,8.8,8.9,8.1,27.0,0.084,0.0
6,2004-05,2005,James Posey,-1,0.0,1.0,0.0,False,1.0,0.0,500.0,28,MEM,NBA,SF,50,18,27.6,2.5,7.1,0.357,1.1,3.6,0.309,1.4,3.6,0.404,0.434,1.9,2.2,0.865,0.9,3.5,4.4,1.8,1.0,0.5,1.4,2.7,8.1,1382,5.0,14.0,0.357,2.2,7.0,0.309,2.8,7.0,0.404,3.8,4.4,0.865,1.8,6.8,8.6,3.5,1.9,0.9,2.7,5.3,15.9,100,103,1382,10.5,0.5,0.5,0.312,3.9,15.0,9.5,10.3,1.9,1.3,14.6,16.2,0.4,1.9,2.3,0.079,-1.6,0.9,-0.7,0.5,82.0,19705.0,2802.0,6271.0,0.447,531.0,1486.0,0.357,2271.0,4785.0,0.475,1526.0,2024.0,0.754,887.0,2307.0,3194.0,1716.0,699.0,476.0,1197.0,1910.0,7661.0,82.0,19705.0,2684.0,6215.0,0.432,426.0,1215.0,0.351,2258.0,5000.0,0.452,1679.0,2179.0,0.771,993.0,2387.0,3380.0,1633.0,612.0,476.0,1303.0,1853.0,7473.0,45,37,48,34,2.29,0.34,2.64,105.5,102.9,88.5,0.323,0.237,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,FedEx Forum,691362,50,27.6,-2.71,1.98,-0.74,2.14,2770,1482,-1.54081171,-0.013324634,-1.554136344,0.910810673,0.938035177,-0.027224504,-1.316961805,0.130553221,-1.186408583,0.470362495,50,28,22,27.7,101.5,3.5,13.2,22.3,1.0,19.2,0.5,13.7,9.1,8.2,6.8,19.2,0.098,0.0
7,2005-06,2006,James Posey,13T,0.0,2.0,0.0,False,1.0,1.0,500.0,29,MIA,NBA,SF,67,63,28.6,2.4,5.9,0.403,1.7,4.3,0.403,0.6,1.6,0.4,0.551,0.7,0.9,0.787,0.5,4.3,4.8,1.3,0.8,0.3,0.9,2.9,7.2,1914,4.4,10.8,0.403,3.2,7.9,0.403,1.2,2.9,0.4,1.3,1.7,0.787,0.9,7.8,8.7,2.4,1.5,0.5,1.6,5.4,13.2,112,105,1914,9.8,0.572,0.734,0.154,2.1,16.9,9.8,6.8,1.5,0.8,12.1,11.6,1.8,2.4,4.2,0.104,-0.8,1.0,0.1,1.0,82.0,19755.0,3039.0,6355.0,0.478,497.0,1441.0,0.345,2542.0,4914.0,0.517,1616.0,2310.0,0.7,858.0,2675.0,3533.0,1692.0,522.0,442.0,1186.0,1871.0,8191.0,82.0,19755.0,2871.0,6529.0,0.44,490.0,1359.0,0.361,2381.0,5170.0,0.461,1642.0,2223.0,0.739,826.0,2359.0,3185.0,1596.0,560.0,298.0,1063.0,1938.0,7874.0,52,30,52,30,3.87,-0.27,3.59,108.7,104.5,91.6,0.363,0.227,0.517,13.9,26.7,0.254,0.477,12.4,76.4,0.251,AmericanAirlines Arena,818149,67,28.6,-1.05,-1.65,-2.7,0.29,4849,2521,0.719162137,0.498849396,1.218011533,5.192196638,3.183974281,2.008222357,0.613418921,0.885598317,1.499017238,0.304499726,67,44,23,28.6,104.1,4.3,15.1,22.2,0.8,22.4,0.3,9.8,9.4,7.5,7.3,21.3,0.081,0.0
8,2006-07,2007,James Posey,-1,0.0,2.0,0.0,False,2.0,0.0,500.0,30,MIA,NBA,SF,71,19,27.0,2.6,6.1,0.431,1.4,3.6,0.375,1.3,2.4,0.514,0.543,1.1,1.4,0.827,0.9,4.1,5.0,1.3,1.0,0.3,0.8,2.7,7.7,1919,5.2,12.0,0.431,2.7,7.2,0.375,2.5,4.8,0.514,2.3,2.7,0.827,1.8,8.1,9.9,2.6,2.0,0.6,1.5,5.4,15.3,116,104,1919,12.7,0.579,0.6,0.227,4.2,17.5,11.0,7.7,2.0,0.9,10.4,13.1,2.6,2.6,5.2,0.13,-0.3,1.1,0.9,1.4,82.0,19855.0,2919.0,6288.0,0.464,528.0,1539.0,0.343,2391.0,4749.0,0.503,1393.0,2019.0,0.69,817.0,2526.0,3343.0,1681.0,566.0,442.0,1201.0,1749.0,7759.0,82.0,19855.0,2895.0,6517.0,0.444,531.0,1495.0,0.355,2364.0,5022.0,0.471,1513.0,2039.0,0.742,921.0,2467.0,3388.0,1656.0,562.0,314.0,1185.0,1790.0,7834.0,44,38,38,44,-0.91,-0.29,-1.21,104.3,105.3,89.9,0.321,0.245,0.506,14.3,24.9,0.222,0.485,13.8,73.3,0.232,AmericanAirlines Arena,808541,71,27.0,-0.4,0.76,0.36,4.46,3903,2058,0.561394251,0.768700137,1.330094388,4.314813103,3.816311423,0.49850168,0.433111445,1.36480926,1.797920704,0.379734786,71,40,31,27.0,102.6,4.1,15.7,24.2,1.0,24.1,0.3,12.3,9.7,6.8,6.8,18.8,0.094,0.0
9,2007-08,2008,James Posey,-1,0.0,2.0,0.0,False,2.0,0.0,500.0,31,BOS,NBA,PF,74,2,24.6,2.3,5.6,0.418,1.4,3.8,0.38,0.9,1.8,0.496,0.546,1.3,1.6,0.809,0.4,3.9,4.4,1.5,1.0,0.3,0.9,2.5,7.4,1821,5.0,12.0,0.418,3.1,8.1,0.38,1.9,3.9,0.496,2.7,3.3,0.809,0.9,8.5,9.3,3.3,2.1,0.6,1.9,5.3,15.8,114,98,1821,12.0,0.587,0.674,0.278,2.1,18.0,10.5,9.5,2.1,0.9,12.3,13.5,2.2,4.0,6.2,0.164,0.0,2.5,2.5,2.1,82.0,19755.0,2986.0,6286.0,0.475,596.0,1564.0,0.381,2390.0,4722.0,0.506,1677.0,2176.0,0.771,830.0,2615.0,3445.0,1833.0,696.0,379.0,1246.0,1864.0,8245.0,82.0,19755.0,2657.0,6341.0,0.419,485.0,1535.0,0.316,2172.0,4806.0,0.452,1605.0,2160.0,0.743,899.0,2290.0,3189.0,1539.0,594.0,389.0,1308.0,1818.0,7404.0,66,16,67,15,10.26,-0.95,9.3,110.2,98.9,90.9,0.346,0.249,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.253,TD Banknorth Garden,763584,74,24.6,-1.27,1.12,-0.15,3.12,4525,2394,-0.460330307,0.879662239,0.419331931,3.977348484,2.372593501,1.604754983,-0.039684997,1.172093891,1.132408895,0.545690081,74,60,14,24.6,98.2,3.9,16.3,25.4,1.0,23.6,0.3,13.5,9.3,6.6,5.1,17.4,0.126,0.0
