,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,SEA,NBA,PF,61,16,20.2,2.4,5.8,0.412,1.1,2.6,0.42,1.3,3.2,0.406,0.506,0.8,1.2,0.681,0.7,3.0,3.8,1.3,0.9,0.4,1.2,2.0,6.7,1230,6.4,15.5,0.412,2.9,6.9,0.42,3.5,8.6,0.406,2.1,3.2,0.681,2.0,8.1,10.1,3.6,2.5,1.1,3.2,5.2,17.8,101,103,1230,12.7,0.528,0.444,0.203,4.4,17.4,11.0,9.8,2.5,1.5,15.7,17.3,0.6,1.5,2.1,0.084,-0.2,0.8,0.6,0.8,82.0,19830.0,3131.0,6681.0,0.469,489.0,1292.0,0.378,2642.0,5389.0,0.49,1263.0,1672.0,0.755,968.0,2333.0,3301.0,1926.0,698.0,364.0,1124.0,1732.0,8014.0,82.0,19830.0,2966.0,6605.0,0.449,472.0,1374.0,0.344,2494.0,5231.0,0.477,1362.0,1844.0,0.739,1091.0,2326.0,3417.0,1832.0,568.0,400.0,1254.0,1627.0,7766.0,45,37,50,32,3.02,0.22,3.24,108.9,105.6,89.0,0.25,0.193,0.505,13.2,29.4,0.189,0.485,14.5,68.1,0.206,KeyArena at Seattle Center,633516,0,0,0,0,0,0,2509,1343,-1.216364288,0.197302633,-1.019061655,1.193971674,1.091208134,0.10276354,-0.638516378,-0.208363213,-0.846879591,0.374596128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2002-03,2003,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,SEA,NBA,PF,72,16,26.5,3.8,9.3,0.41,1.4,4.1,0.355,2.4,5.2,0.453,0.488,1.0,1.4,0.706,1.1,3.4,4.5,1.3,0.9,0.3,1.4,1.9,10.1,1910,7.8,19.1,0.41,3.0,8.4,0.355,4.9,10.7,0.453,2.1,2.9,0.706,2.2,7.1,9.2,2.8,1.8,0.6,2.9,3.9,20.7,99,104,1910,13.0,0.508,0.439,0.153,4.6,15.5,10.0,8.7,1.8,0.9,12.3,20.0,0.8,1.9,2.7,0.068,0.0,-0.3,-0.3,0.8,82.0,19855.0,2887.0,6599.0,0.437,456.0,1291.0,0.353,2431.0,5308.0,0.458,1325.0,1780.0,0.744,963.0,2385.0,3348.0,1775.0,679.0,295.0,1085.0,1712.0,7555.0,82.0,19855.0,2871.0,6424.0,0.447,472.0,1371.0,0.344,2399.0,5053.0,0.475,1351.0,1821.0,0.742,938.0,2462.0,3400.0,1703.0,500.0,409.0,1209.0,1671.0,7565.0,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,88.0,0.27,0.196,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,637194,0,0,0,0,0,0,3542,1910,-0.667393759,0.862454177,0.195060418,2.877751408,2.877751408,0.0,-0.113410067,0.181580663,0.068170596,0.251648626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2003-04,2004,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,SEA,NBA,PF,77,38,30.1,4.5,10.5,0.425,1.8,4.9,0.371,2.7,5.6,0.471,0.511,1.2,1.6,0.748,1.4,3.9,5.3,1.8,1.0,0.5,1.4,2.4,12.0,2321,7.9,18.7,0.425,3.2,8.7,0.371,4.7,10.0,0.471,2.2,2.9,0.748,2.4,6.9,9.3,3.3,1.8,1.0,2.5,4.3,21.3,106,108,2321,15.1,0.533,0.464,0.156,5.3,15.2,10.3,10.3,1.8,1.4,11.2,19.5,3.2,1.0,4.2,0.088,1.6,-0.8,0.8,1.6,82.0,19805.0,2939.0,6590.0,0.446,723.0,1936.0,0.373,2216.0,4654.0,0.476,1363.0,1782.0,0.765,907.0,2318.0,3225.0,1782.0,661.0,387.0,1188.0,1784.0,7964.0,82.0,19805.0,2980.0,6622.0,0.45,486.0,1394.0,0.349,2494.0,5228.0,0.477,1570.0,2028.0,0.774,1068.0,2430.0,3498.0,1728.0,629.0,387.0,1211.0,1658.0,8016.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,89.9,0.27,0.294,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,KeyArena at Seattle Center,625474,0,0,0,0,0,0,4397,2321,1.180414146,-1.446194302,-0.265780156,2.946529529,2.946529529,0.0,1.748854798,-1.079705794,0.669149004,0.148175717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2004-05,2005,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,SEA,NBA,PF,63,0,29.5,4.2,10.3,0.409,2.0,5.2,0.389,2.2,5.1,0.43,0.508,1.3,1.6,0.786,0.8,3.8,4.6,1.4,0.9,0.5,1.3,2.7,11.8,1856,7.8,19.1,0.409,3.8,9.7,0.389,4.1,9.4,0.43,2.4,3.0,0.786,1.5,7.0,8.5,2.5,1.7,0.9,2.4,5.1,21.8,110,109,1856,13.7,0.533,0.506,0.158,3.4,15.6,9.5,7.9,1.7,1.3,10.3,19.3,2.4,1.3,3.7,0.096,1.4,-0.1,1.3,1.5,82.0,19755.0,2882.0,6498.0,0.444,666.0,1824.0,0.365,2216.0,4674.0,0.474,1683.0,2131.0,0.79,1041.0,2311.0,3352.0,1487.0,553.0,338.0,1113.0,1944.0,8113.0,82.0,19755.0,2932.0,6382.0,0.459,470.0,1317.0,0.357,2462.0,5065.0,0.486,1591.0,2124.0,0.749,930.0,2174.0,3104.0,1698.0,508.0,390.0,1085.0,1949.0,7925.0,52,30,48,34,2.29,0.3,2.59,112.2,109.6,87.9,0.328,0.281,0.495,13.0,32.4,0.259,0.496,12.9,71.3,0.249,KeyArena at Seattle Center,675490,0,0,0,0,0,0,3666,1978,1.288357089,-0.166145619,1.12221147,3.92770643,3.840833125,0.086873305,1.892999582,-0.158449767,1.734549816,0.393944001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2005-06,2006,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,SEA,NBA,PF,47,16,23.2,3.3,8.2,0.401,1.5,4.2,0.367,1.7,4.0,0.436,0.495,1.2,1.3,0.887,0.8,3.1,4.0,1.5,0.7,0.3,1.1,2.8,9.3,1089,7.4,18.5,0.401,3.5,9.4,0.367,3.9,9.0,0.436,2.6,3.0,0.887,1.9,7.1,9.0,3.5,1.5,0.7,2.5,6.3,20.9,108,114,1089,13.1,0.529,0.51,0.161,4.3,16.7,10.4,10.4,1.5,1.1,11.4,19.1,1.3,0.1,1.4,0.062,0.6,-1.7,-1.1,0.2,82.0,19830.0,3077.0,6711.0,0.459,605.0,1631.0,0.371,2472.0,5080.0,0.487,1652.0,2104.0,0.785,1013.0,2233.0,3246.0,1696.0,622.0,306.0,1208.0,1933.0,8411.0,82.0,19830.0,3202.0,6596.0,0.485,542.0,1445.0,0.375,2660.0,5151.0,0.516,1713.0,2255.0,0.76,1003.0,2316.0,3319.0,1973.0,598.0,399.0,1194.0,1820.0,8659.0,35,47,33,49,-3.02,0.15,-2.88,111.1,114.4,91.6,0.314,0.243,0.504,13.7,30.4,0.246,0.527,13.6,69.0,0.26,KeyArena at Seattle Center,664157,0,0,0,0,0,0,4295,2220,0.411856547,-1.160173118,-0.748316572,2.313530796,1.490245878,0.823284918,0.983281707,-0.871444829,0.111836878,1.729951392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2005-06,2006,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,LAC,NBA,PF,30,11,29.5,3.6,8.6,0.417,2.2,5.3,0.418,1.4,3.4,0.416,0.544,1.3,1.7,0.731,0.8,4.9,5.7,2.1,1.0,0.5,1.3,2.7,10.7,885,6.4,15.3,0.417,3.9,9.3,0.418,2.5,6.0,0.416,2.2,3.1,0.731,1.5,8.6,10.1,3.8,1.7,0.8,2.4,4.7,18.9,110,103,885,14.2,0.568,0.61,0.201,3.4,18.3,11.2,11.4,1.7,1.2,12.4,16.8,1.0,1.3,2.3,0.127,1.4,1.0,2.5,1.0,82.0,19805.0,2993.0,6443.0,0.465,290.0,843.0,0.344,2703.0,5600.0,0.483,1694.0,2142.0,0.791,828.0,2704.0,3532.0,1708.0,534.0,503.0,1185.0,1872.0,7970.0,82.0,19805.0,2887.0,6638.0,0.435,474.0,1367.0,0.347,2413.0,5271.0,0.458,1593.0,2175.0,0.732,858.0,2432.0,3290.0,1765.0,570.0,355.0,1053.0,1777.0,7841.0,47,35,46,36,1.57,0.18,1.75,105.3,103.6,91.7,0.332,0.131,0.487,13.8,25.4,0.263,0.471,12.2,75.9,0.24,STAPLES Center,712409,0,0,0,0,0,0,4295,2220,0.411856547,-1.160173118,-0.748316572,2.313530796,1.490245878,0.823284918,0.983281707,-0.871444829,0.111836878,1.729951392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2006-07,2007,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,LAL,NBA,PF,55,15,17.9,2.4,5.7,0.424,0.7,2.1,0.339,1.7,3.6,0.475,0.487,1.0,1.3,0.726,1.0,2.3,3.3,1.2,0.5,0.3,1.3,2.3,6.6,986,7.0,16.4,0.424,2.1,6.1,0.339,4.9,10.3,0.475,2.8,3.8,0.726,2.8,6.6,9.4,3.4,1.3,0.9,3.6,6.5,18.8,99,109,986,11.0,0.518,0.373,0.231,6.3,15.0,10.7,10.5,1.3,1.4,16.5,19.0,0.1,0.7,0.8,0.04,-1.8,-1.0,-2.8,-0.2,82.0,20030.0,3103.0,6664.0,0.466,608.0,1724.0,0.353,2495.0,4940.0,0.505,1660.0,2221.0,0.747,886.0,2495.0,3381.0,1850.0,600.0,421.0,1273.0,1889.0,8474.0,82.0,20030.0,3097.0,6719.0,0.461,523.0,1462.0,0.358,2574.0,5257.0,0.49,1763.0,2320.0,0.76,955.0,2508.0,3463.0,1798.0,649.0,409.0,1208.0,1916.0,8480.0,42,40,41,41,-0.07,0.32,0.24,108.6,108.6,93.5,0.333,0.259,0.511,14.3,26.1,0.249,0.5,13.5,72.3,0.262,STAPLES Center,778415,0,0,0,0,0,0,1943,986,-2.264905087,-1.686729687,-3.951634774,-0.6085106,-0.6085106,0.0,-1.86139715,-1.903446298,-3.764843448,0.618683946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2007-08,2008,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,LAL,NBA,SF,65,41,22.8,3.0,6.7,0.453,1.5,3.6,0.406,1.6,3.1,0.507,0.562,0.8,1.0,0.8,0.9,2.4,3.3,1.9,0.7,0.2,1.1,2.3,8.4,1483,6.7,14.8,0.453,3.2,7.9,0.406,3.5,6.9,0.507,1.8,2.2,0.8,1.9,5.4,7.3,4.2,1.6,0.4,2.5,5.0,18.4,113,108,1483,12.6,0.583,0.535,0.149,4.4,11.4,8.0,12.1,1.6,0.6,13.6,16.0,2.0,1.5,3.5,0.113,0.4,-0.2,0.2,0.8,82.0,19780.0,3248.0,6818.0,0.476,662.0,1751.0,0.378,2586.0,5067.0,0.51,1746.0,2270.0,0.769,898.0,2722.0,3620.0,2003.0,654.0,438.0,1156.0,1691.0,8904.0,82.0,19780.0,3127.0,7022.0,0.445,554.0,1531.0,0.362,2573.0,5491.0,0.469,1501.0,1995.0,0.752,988.0,2521.0,3509.0,1793.0,634.0,368.0,1168.0,1850.0,8309.0,57,25,59,23,7.26,0.09,7.34,113.0,105.5,95.6,0.333,0.257,0.525,12.9,26.3,0.256,0.485,12.9,73.4,0.214,STAPLES Center,778877,0,0,0,0,0,0,3928,1964,2.235989503,-0.180659127,2.055330376,4.876221478,3.50576622,1.370455258,2.180155531,-0.365115348,1.815040183,0.278757033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2008-09,2009,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,28,LAL,NBA,SF,46,28,16.8,2.1,4.7,0.444,1.3,3.0,0.441,0.8,1.7,0.449,0.584,0.5,0.6,0.852,0.4,2.2,2.5,0.8,0.6,0.2,1.0,1.1,5.9,771,6.3,14.1,0.444,4.0,9.0,0.441,2.3,5.1,0.449,1.5,1.8,0.852,1.2,6.5,7.7,2.5,1.8,0.5,3.1,3.4,18.0,107,106,771,11.6,0.604,0.636,0.126,2.7,14.3,8.6,6.9,1.8,0.7,17.2,15.6,0.5,1.0,1.6,0.098,0.4,0.3,0.7,0.5,82.0,19780.0,3307.0,6981.0,0.474,547.0,1516.0,0.361,2760.0,5465.0,0.505,1607.0,2087.0,0.77,1015.0,2587.0,3602.0,1908.0,718.0,420.0,1103.0,1698.0,8768.0,82.0,19780.0,3050.0,6825.0,0.447,586.0,1700.0,0.345,2464.0,5125.0,0.481,1454.0,1931.0,0.753,959.0,2440.0,3399.0,1854.0,635.0,392.0,1275.0,1816.0,8140.0,65,17,61,21,7.66,-0.55,7.11,112.8,104.7,94.3,0.299,0.217,0.513,12.3,29.4,0.23,0.49,14.2,73.0,0.213,STAPLES Center,778877,0,0,0,0,0,0,2786,1445,-1.360868317,-1.100709688,-2.461578005,0.195386494,0.195386494,0.0,-1.070867666,-1.851402857,-2.922270523,1.792112664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008-09,2009,Vladimir Radmanović,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHA,NBA,SF,32,3,21.1,3.2,7.9,0.401,1.4,3.9,0.357,1.8,3.9,0.444,0.49,0.6,1.0,0.645,0.8,2.4,3.3,1.3,0.6,0.3,1.6,1.9,8.3,674,8.1,20.3,0.401,3.6,10.2,0.357,4.5,10.2,0.444,1.6,2.5,0.645,2.2,6.3,8.5,3.5,1.5,0.6,4.1,4.8,21.5,94,107,674,10.2,0.503,0.5,0.123,5.0,14.2,9.6,11.2,1.5,1.0,16.1,22.2,-0.5,0.8,0.3,0.021,-1.6,-0.6,-2.3,-0.1,82.0,19930.0,2866.0,6299.0,0.455,490.0,1339.0,0.366,2376.0,4960.0,0.479,1455.0,1965.0,0.74,886.0,2366.0,3252.0,1741.0,580.0,397.0,1279.0,1754.0,7677.0,82.0,19930.0,2883.0,6349.0,0.454,558.0,1526.0,0.366,2325.0,4823.0,0.482,1457.0,1928.0,0.756,877.0,2310.0,3187.0,1604.0,626.0,488.0,1206.0,1714.0,7781.0,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,Time Warner Cable Arena,597548,0,0,0,0,0,0,2786,1445,-1.360868317,-1.100709688,-2.461578005,0.195386494,0.195386494,0.0,-1.070867666,-1.851402857,-2.922270523,1.792112664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
