,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,POR,NBA,PF,41,0,5.8,1.2,2.6,0.449,0.0,0.0,,1.2,2.6,0.449,0.449,0.4,0.7,0.667,0.8,0.9,1.7,0.3,0.2,0.1,0.4,0.7,2.8,238,10.8,24.2,0.449,0.0,0.0,,10.8,24.2,0.449,4.1,6.1,0.667,7.0,8.6,15.6,2.9,1.6,0.9,3.4,6.5,25.7,102,104,238,16.9,0.479,0.0,0.252,15.1,19.0,17.0,9.8,1.6,1.3,11.2,25.7,0.2,0.3,0.5,0.098,-1.3,-1.7,-3.0,-0.1,82.0,19830,3004,6671,0.45,466,1318,0.354,2538,5353,0.474,1451,1901,0.763,1085,2444,3529,1926,702,368,1172,1613,7925,82.0,19830,2951,6508,0.453,466,1285,0.363,2485,5223,0.476,1312,1771,0.741,890,2328,3218,1945,612,410,1208,1651,7680,49,33,50,32,2.99,0.22,3.21,107.4,104.0,89.3,0.285,0.198,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,Rose Garden Arena,797821,41,5.8,0.34,-0.69,-0.34,0.35,450,239,-1.554907303,-1.17115952,-2.726066823,0.003041129,0.005622306,-0.002581177,-1.622661374,-2.090928466,-3.71358984,-0.033774698,41,22,19,5.8,100.8,0.9,17.0,26.6,0.2,20.6,0.1,21.1,2.5,1.3,1.8,4.6,0.021,0.0
1,2002-03,2003,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,POR,NBA,PF,77,11,16.9,3.4,6.7,0.513,0.0,0.1,0.0,3.4,6.6,0.518,0.513,1.6,2.1,0.758,1.8,2.6,4.5,0.5,0.5,0.2,0.8,1.8,8.4,1301,10.9,21.3,0.513,0.0,0.2,0.0,10.9,21.0,0.518,5.0,6.6,0.758,5.7,8.4,14.2,1.7,1.7,0.6,2.6,5.8,26.8,113,102,1301,19.9,0.555,0.01,0.313,12.9,18.9,15.9,5.7,1.7,0.8,9.6,23.0,3.2,1.6,4.8,0.177,1.4,-1.3,0.1,0.7,82.0,19855,2987,6491,0.46,379,1150,0.33,2608,5341,0.488,1450,1947,0.745,992,2378,3370,1860,725,316,1248,1634,7803,82.0,19855,2942,6540,0.45,438,1285,0.341,2504,5255,0.476,1267,1659,0.764,912,2292,3204,1863,683,391,1270,1670,7589,50,32,49,33,2.61,0.36,2.97,105.5,102.6,89.4,0.3,0.177,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,796258,77,16.9,0.45,-0.72,-0.27,2.32,2831,1506,1.054082488,-1.419948408,-0.36586592,1.842115012,1.402990526,0.439124486,0.878402782,-1.400548403,-0.522145621,-0.221604178,77,48,29,16.9,102.4,2.6,17.1,27.4,0.5,17.4,0.2,14.7,6.3,4.4,5.0,14.9,0.043,0.0
2,2003-04,2004,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,POR,NBA,PF,81,80,37.9,8.2,16.9,0.485,0.0,0.1,0.2,8.2,16.8,0.486,0.485,3.7,4.9,0.761,3.0,7.5,10.5,2.0,0.8,0.5,3.0,2.8,20.1,3067,12.0,24.8,0.485,0.0,0.1,0.2,12.0,24.7,0.486,5.4,7.1,0.761,4.4,11.1,15.4,3.0,1.2,0.7,4.5,4.1,29.5,103,104,3067,19.6,0.528,0.004,0.287,9.5,23.4,16.5,10.4,1.2,1.0,13.8,27.6,4.1,2.9,7.1,0.111,1.1,-1.6,-0.5,1.2,82.0,19980,2898,6467,0.448,381,1102,0.346,2517,5365,0.469,1263,1728,0.731,1040,2376,3416,1768,613,443,1213,1554,7440,82.0,19980,2954,6567,0.45,417,1222,0.341,2537,5345,0.475,1219,1618,0.753,1016,2292,3308,1912,657,390,1120,1534,7544,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,86.2,0.267,0.17,0.478,14.4,31.2,0.195,0.482,13.3,70.0,0.186,Rose Garden Arena,684038,81,37.9,0.34,-0.95,-0.61,5.53,5571,3067,0.069186757,-1.51378937,-1.444602613,2.032773355,2.032773355,0.0,0.319075826,-1.27980929,-0.960733464,-0.441515253,81,41,40,37.9,103.2,7.5,21.0,33.0,0.8,14.6,0.5,11.9,13.5,9.9,10.1,31.0,0.077,0.0
3,2004-05,2005,Zach Randolph,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,POR,NBA,PF,46,37,34.8,7.2,16.1,0.448,0.0,0.1,0.0,7.2,16.0,0.452,0.448,4.5,5.5,0.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,2.4,18.9,1603,11.1,24.7,0.448,0.0,0.2,0.0,11.1,24.5,0.452,6.9,8.5,0.815,4.7,10.0,14.7,2.9,1.1,0.6,3.7,3.7,29.0,104,107,1603,18.6,0.511,0.008,0.343,10.7,20.8,15.9,10.2,1.1,0.8,11.6,27.7,1.6,1.5,3.1,0.094,1.0,-1.6,-0.7,0.5,82.0,19730,2896,6422,0.451,420,1161,0.362,2476,5261,0.471,1409,1944,0.725,970,2404,3374,1722,583,544,1308,1703,7621,82.0,19730,3056,6842,0.447,440,1283,0.343,2616,5559,0.471,1397,1851,0.755,1149,2312,3461,1923,700,414,1102,1670,7949,27,55,29,53,-4.0,0.55,-3.45,103.2,107.7,89.8,0.303,0.181,0.484,15.2,29.6,0.219,0.479,12.6,67.7,0.204,Rose Garden Arena,680374,46,34.8,-0.32,0.16,-0.17,3.19,3033,1603,-0.871519142,-0.562164578,-1.43368372,1.068255356,1.068255356,0.0,-0.669582818,-0.510220078,-1.179802896,-0.709106674,46,19,27,34.9,103.3,6.5,18.7,30.9,0.7,14.0,0.4,8.5,12.3,10.6,10.8,29.7,0.103,0.0
4,2005-06,2006,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,POR,NBA,PF,74,71,34.4,7.2,16.6,0.436,0.2,0.7,0.291,7.0,15.9,0.443,0.443,3.3,4.6,0.714,2.6,5.4,8.0,1.9,0.8,0.2,2.2,2.5,18.0,2545,11.5,26.4,0.436,0.3,1.2,0.291,11.2,25.3,0.443,5.3,7.4,0.714,4.2,8.6,12.7,3.1,1.2,0.3,3.6,4.0,28.7,99,112,2545,16.9,0.483,0.045,0.279,9.0,19.1,14.0,11.4,1.2,0.4,10.7,28.8,0.4,0.9,1.3,0.024,0.5,-2.6,-2.0,0.0,82.0,19730,2791,6267,0.445,364,1042,0.349,2427,5225,0.464,1339,1944,0.689,886,2203,3089,1490,529,435,1205,1828,7285,82.0,19730,3032,6472,0.468,498,1306,0.381,2534,5166,0.491,1498,1971,0.76,1029,2445,3474,1737,592,403,1060,1704,8060,21,61,16,66,-9.45,0.54,-8.91,101.1,111.9,87.6,0.31,0.166,0.474,14.5,26.6,0.214,0.507,12.6,68.2,0.231,Rose Garden Arena,617019,74,34.4,-0.27,1.25,0.98,6.27,4698,2545,-1.301196213,-1.625060214,-2.926256426,-0.227818492,-0.227818492,0.0,-0.97423636,-1.284434794,-2.258671153,-0.417690681,74,21,53,34.4,110.4,5.4,17.5,28.0,0.8,17.0,0.2,5.2,12.1,9.5,9.5,27.5,0.03,0.0
5,2006-07,2007,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,POR,NBA,PF,68,67,35.7,8.8,18.9,0.467,0.2,0.7,0.292,8.6,18.2,0.473,0.472,5.8,7.1,0.819,2.9,7.2,10.1,2.2,0.8,0.2,3.2,2.7,23.6,2425,13.4,28.8,0.467,0.3,1.1,0.292,13.1,27.7,0.473,8.8,10.8,0.819,4.5,11.0,15.4,3.3,1.2,0.3,4.8,4.1,36.0,106,109,2425,22.8,0.537,0.037,0.374,10.0,25.6,17.6,12.8,1.2,0.5,12.6,33.1,3.8,1.9,5.7,0.112,3.4,-1.8,1.6,2.2,82.0,19955,2874,6392,0.45,426,1232,0.346,2448,5160,0.474,1543,2006,0.769,923,2299,3222,1513,555,380,1236,1931,7717,82.0,19955,2962,6292,0.471,467,1293,0.361,2495,4999,0.499,1678,2157,0.778,850,2347,3197,1703,539,380,1127,1750,8069,32,50,29,53,-4.29,0.51,-3.78,105.1,109.9,88.3,0.314,0.193,0.483,14.5,28.2,0.241,0.508,13.5,73.0,0.267,Rose Garden Arena,670778,68,35.7,1.1,0.18,1.28,6.93,4512,2425,0.91274396,-1.907294989,-0.994551029,2.162702618,2.162702618,0.0,1.224800243,-1.734247711,-0.509447468,-0.394130146,68,25,43,35.7,108.8,7.2,23.0,35.0,0.8,15.7,0.2,6.9,14.0,9.0,10.3,31.0,0.054,0.0
6,2007-08,2008,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NYK,NBA,C,69,68,32.5,7.0,15.3,0.459,0.3,1.2,0.275,6.7,14.2,0.474,0.47,3.2,4.2,0.772,2.7,7.6,10.3,2.0,0.9,0.2,2.7,2.8,17.6,2244,11.3,24.7,0.459,0.5,1.9,0.275,10.8,22.8,0.474,5.2,6.7,0.772,4.3,12.3,16.6,3.3,1.4,0.4,4.3,4.5,28.4,101,109,2244,18.0,0.513,0.076,0.273,9.1,27.6,18.0,11.8,1.4,0.6,13.6,27.4,0.9,2.0,3.0,0.063,0.5,-1.1,-0.6,0.8,82.0,19880,2967,6757,0.439,490,1454,0.337,2477,5303,0.467,1524,2095,0.727,1029,2457,3486,1530,521,213,1187,1761,7948,82.0,19880,3184,6711,0.474,587,1592,0.369,2597,5119,0.507,1535,2078,0.739,924,2573,3497,1773,621,429,1046,1665,8490,23,59,23,59,-6.61,0.06,-6.55,104.7,111.9,91.6,0.31,0.215,0.475,13.4,28.6,0.226,0.518,12.1,72.7,0.229,Madison Square Garden (IV),783739,69,32.5,-0.2,-0.65,-0.85,2.81,4331,2244,-1.609802719,-1.321760892,-2.931563611,-0.20766523,-0.20766523,0.0,-1.097738304,-0.98578927,-2.083527574,-0.092222926,69,23,46,32.5,109.7,7.6,24.8,37.5,0.9,21.5,0.2,15.8,12.0,8.7,9.3,29.0,0.049,0.0
7,2008-09,2009,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NYK,NBA,C,11,11,35.3,7.5,17.2,0.434,0.6,2.2,0.292,6.8,15.0,0.455,0.452,5.0,6.1,0.821,3.6,8.8,12.5,1.4,1.2,0.3,2.1,2.5,20.5,388,10.5,24.2,0.434,0.9,3.1,0.292,9.6,21.1,0.455,7.0,8.6,0.821,5.1,12.4,17.5,1.9,1.7,0.4,2.9,3.6,28.9,106,107,388,19.8,0.517,0.127,0.354,10.9,28.3,19.3,6.6,1.7,0.6,9.5,27.1,0.4,0.5,0.9,0.108,1.3,-1.5,-0.2,0.2,82.0,19805,3157,7091,0.445,823,2284,0.36,2334,4807,0.486,1490,1900,0.784,911,2545,3456,1738,610,204,1174,1672,8627,82.0,19805,3378,7041,0.48,571,1625,0.351,2807,5416,0.518,1514,1998,0.758,954,2826,3780,1774,654,437,1188,1592,8841,32,50,34,48,-2.61,0.28,-2.33,108.1,110.8,96.7,0.268,0.322,0.503,12.9,24.4,0.21,0.52,13.0,72.7,0.215,Madison Square Garden (IV),790801,50,35.1,1.78,0.33,2.11,5.94,3448,1757,0.231725695,-0.462664621,-0.230938925,2.252942719,2.252942719,0.0,0.397512353,-0.297508849,0.100003504,0.062763893,50,19,31,35.1,108.0,6.9,20.9,31.7,0.9,17.3,0.3,10.7,11.3,9.6,9.1,32.7,0.082,0.0
8,2008-09,2009,Zach Randolph,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,LAC,NBA,PF,39,34,35.1,8.5,17.5,0.487,0.6,1.9,0.342,7.9,15.7,0.504,0.505,3.2,4.5,0.701,3.0,6.4,9.4,2.3,0.8,0.3,2.3,2.7,20.9,1369,12.7,26.0,0.487,1.0,2.8,0.342,11.7,23.3,0.504,4.7,6.7,0.701,4.5,9.5,14.0,3.4,1.1,0.5,3.5,4.0,31.0,105,111,1369,19.6,0.535,0.107,0.259,9.6,21.7,15.5,12.9,1.1,0.7,10.7,28.4,1.2,0.9,2.2,0.076,1.8,-1.7,0.1,0.7,82.0,19880,2955,6696,0.441,535,1513,0.354,2420,5183,0.467,1354,1839,0.736,890,2377,3267,1723,572,482,1221,1650,7799,82.0,19880,3218,6805,0.473,536,1431,0.375,2682,5374,0.499,1546,2035,0.76,962,2653,3615,1951,652,414,1093,1609,8518,19,63,18,64,-8.77,0.3,-8.47,102.3,111.7,92.1,0.275,0.226,0.481,14.0,25.1,0.202,0.512,12.4,71.2,0.227,STAPLES Center,663587,50,35.1,1.78,0.33,2.11,5.94,3448,1757,0.231725695,-0.462664621,-0.230938925,2.252942719,2.252942719,0.0,0.397512353,-0.297508849,0.100003504,0.062763893,50,19,31,35.1,108.0,6.9,20.9,31.7,0.9,17.3,0.3,10.7,11.3,9.6,9.1,32.7,0.082,0.0
9,2009-10,2010,Zach Randolph,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,MEM,NBA,PF,81,81,37.7,8.0,16.5,0.488,0.2,0.6,0.288,7.9,15.9,0.496,0.494,4.5,5.7,0.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,2.8,20.8,3051,11.0,22.5,0.488,0.3,0.9,0.288,10.7,21.6,0.496,6.1,7.8,0.778,5.5,10.4,16.0,2.5,1.3,0.6,2.9,3.8,28.3,115,109,3051,21.2,0.546,0.039,0.348,12.6,23.8,18.2,8.2,1.3,0.8,10.1,24.6,7.0,2.7,9.7,0.153,2.7,-1.4,1.3,2.5,82.0,19905,3223,6875,0.469,344,1020,0.337,2879,5855,0.492,1614,2202,0.733,1070,2496,3566,1543,645,399,1248,1655,8404,82.0,19905,3277,6849,0.478,572,1618,0.354,2705,5231,0.517,1402,1858,0.755,907,2349,3256,1875,635,501,1165,1840,8528,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,93.6,0.32,0.148,0.494,13.7,31.3,0.235,0.52,13.2,73.3,0.205,FedEx Forum,552914,81,37.7,1.89,0.48,2.36,10.96,6018,3051,1.885215009,-0.835414781,1.049800228,5.874848055,5.874848055,0.0,1.973424671,-0.458095294,1.515329377,-0.634763332,81,39,42,37.7,109.2,7.7,22.0,32.6,1.0,16.1,0.4,11.6,14.3,9.8,14.3,37.1,0.068,-0.4
10,2010-11,2011,Zach Randolph,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,MEM,NBA,PF,75,74,36.3,8.0,15.8,0.503,0.1,0.6,0.186,7.9,15.3,0.515,0.507,4.0,5.3,0.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,20.1,2724,11.5,22.8,0.503,0.2,0.8,0.186,11.3,22.0,0.515,5.8,7.6,0.758,6.3,11.3,17.5,3.1,1.2,0.5,2.9,3.4,28.8,115,105,2724,22.6,0.552,0.036,0.333,14.2,26.0,20.1,10.2,1.2,0.7,10.0,25.0,6.8,3.7,10.5,0.185,3.8,-1.2,2.6,3.2,82.0,19880,3200,6801,0.471,309,926,0.334,2891,5875,0.492,1486,1981,0.75,970,2391,3361,1691,771,441,1145,1705,8195,82.0,19880,2967,6489,0.457,587,1592,0.369,2380,4897,0.486,1482,1948,0.761,905,2387,3292,1724,613,505,1367,1754,8003,46,36,48,34,2.34,0.2,2.55,107.6,105.1,91.9,0.291,0.136,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,FedEx Forum,600687,75,36.3,2.11,1.2,3.31,11.89,6252,3239,2.879058491,-0.485305275,2.393753216,8.479425284,6.902583144,1.57684214,2.849990833,-0.279308725,2.570682108,-0.800592734,75,43,32,36.3,104.4,7.8,23.3,35.9,0.8,12.4,0.3,7.9,11.6,9.2,11.7,31.3,0.114,-0.41
11,2011-12,2012,Zach Randolph,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,30,MEM,NBA,PF,28,8,26.3,4.7,10.2,0.463,0.1,0.3,0.25,4.6,9.9,0.469,0.467,2.1,3.1,0.659,2.8,5.3,8.0,1.7,0.8,0.1,1.4,2.0,11.6,735,9.5,20.5,0.463,0.1,0.6,0.25,9.4,19.9,0.469,4.2,6.3,0.659,5.6,10.6,16.2,3.5,1.5,0.3,2.9,4.1,23.3,106,101,735,17.9,0.5,0.028,0.309,12.1,23.9,17.9,11.2,1.5,0.4,11.0,22.4,1.0,1.1,2.1,0.135,1.0,-0.7,0.3,0.4,66.0,15940,2425,5422,0.447,277,849,0.326,2148,4573,0.47,1142,1504,0.759,831,1944,2775,1290,631,345,955,1316,6269,66.0,15940,2278,5132,0.444,417,1209,0.345,1861,3923,0.474,1163,1522,0.764,729,1954,2683,1274,518,363,1130,1275,6136,41,25,38,28,2.02,0.42,2.43,104.0,101.8,90.8,0.277,0.157,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,FedEx Forum,518446,28,26.3,0.19,1.65,1.84,2.02,1864,983,0.54274903,-0.324115838,0.218633192,1.502589635,1.008374175,0.49421546,0.525040923,-0.257522841,0.267518082,-0.331761663,28,17,11,26.2,99.5,5.3,21.5,32.9,0.8,15.0,0.1,5.4,9.6,6.1,6.5,22.6,0.102,-0.74
12,2012-13,2013,Zach Randolph,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,31,MEM,NBA,PF,76,75,34.3,6.2,13.5,0.46,0.0,0.3,0.087,6.2,13.2,0.469,0.461,3.0,3.9,0.75,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4,2607,9.8,21.3,0.46,0.0,0.5,0.087,9.8,20.8,0.469,4.7,6.2,0.75,6.5,11.3,17.8,2.2,1.3,0.6,3.1,3.7,24.3,106,99,2607,17.9,0.506,0.022,0.293,13.8,25.1,19.3,7.3,1.3,1.0,11.5,23.1,3.2,4.7,7.9,0.145,1.0,-0.7,0.2,1.5,82.0,19805,2964,6679,0.444,382,1107,0.345,2582,5572,0.463,1349,1746,0.773,1059,2445,3504,1715,703,436,1144,1660,7659,82.0,19805,2748,6312,0.435,504,1489,0.338,2244,4823,0.465,1319,1763,0.748,845,2359,3204,1599,600,450,1268,1643,7319,56,26,54,28,4.15,0.18,4.32,104.9,100.3,88.4,0.261,0.166,0.472,13.3,31.0,0.202,0.475,15.2,74.3,0.209,FedEx Forum,681613,76,34.3,-1.44,1.69,0.25,4.64,5888,3161,0.018875014,-0.251754885,-0.23287987,4.056223204,3.250457122,0.805766081,0.164351599,-0.100461548,0.063890051,-0.638586796,76,51,25,34.3,98.3,7.2,22.6,34.7,0.8,12.6,0.4,12.3,10.6,8.4,9.5,28.2,0.156,0.54
