,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,MIA,NBA,SF,82,82,37.6,7.1,16.1,0.44,1.8,4.7,0.383,5.3,11.4,0.463,0.495,3.0,3.6,0.82,1.1,4.0,5.2,2.2,1.1,0.3,1.9,2.5,19.0,3082,9.6,21.8,0.44,2.4,6.4,0.383,7.1,15.4,0.463,4.0,4.9,0.82,1.5,5.5,7.0,3.0,1.5,0.4,2.6,3.3,25.6,109,110,3082,15.0,0.534,0.292,0.223,3.4,12.6,7.9,9.9,1.5,0.5,9.7,22.7,3.8,2.5,6.3,0.098,1.4,-0.7,0.7,2.0,82.0,20005,3127,6850,0.456,333,940,0.354,2794,5910,0.473,1908,2476,0.771,1134,2384,3518,1688,609,350,1287,2011,8495,82.0,20005,3232,6791,0.476,265,781,0.339,2967,6010,0.494,1860,2416,0.77,1032,2424,3456,1965,656,426,1304,2053,8589,36,46,38,44,-1.15,0.21,-0.93,107.7,108.9,94.6,0.361,0.137,0.481,13.9,31.9,0.279,0.495,14.2,69.8,0.274,Miami Arena,614915,0,0,0.0,0.0,0.0,0.0,6144,3082,0.943387587,-0.074404131,0.868983456,5.689929869,5.689929869,0.0,1.244362382,-0.027688683,1.216673699,-0.0118999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIA,NBA,SF,81,81,37.0,8.2,17.5,0.467,1.6,4.3,0.382,6.6,13.3,0.494,0.513,3.1,3.5,0.88,0.9,4.4,5.4,2.3,1.4,0.4,1.6,2.3,21.1,2999,11.3,24.2,0.467,2.3,5.9,0.382,9.1,18.3,0.494,4.3,4.8,0.88,1.3,6.1,7.4,3.1,1.9,0.5,2.2,3.2,29.1,116,107,2999,18.5,0.552,0.243,0.2,2.9,13.6,8.2,10.5,1.9,0.7,7.8,24.1,7.3,2.9,10.2,0.163,2.9,-0.2,2.7,3.6,82.0,19805,3197,6896,0.464,337,997,0.338,2860,5899,0.485,1744,2223,0.785,1235,2407,3642,1856,643,374,1315,2024,8475,82.0,19805,3036,6641,0.457,295,892,0.331,2741,5749,0.477,1889,2527,0.748,1074,2266,3340,1821,689,438,1314,1946,8256,42,40,48,34,2.67,-0.27,2.4,109.5,106.7,93.8,0.322,0.145,0.488,14.3,35.3,0.253,0.479,14.5,69.1,0.284,Miami Arena,617242,0,0,0.0,0.0,0.0,0.0,6297,3194,2.430118071,0.819855287,3.249973358,9.774483114,9.346250625,0.428232489,2.720688775,0.866480904,3.587169679,-0.071751979,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,MIA,NBA,SF,82,82,36.8,8.1,17.1,0.475,2.3,5.5,0.41,5.9,11.6,0.506,0.541,3.8,4.5,0.855,1.2,3.4,4.6,2.3,1.4,0.2,1.9,2.5,22.3,3014,11.4,24.0,0.475,3.2,7.7,0.41,8.3,16.3,0.506,5.3,6.3,0.855,1.7,4.8,6.5,3.3,1.9,0.2,2.6,3.5,31.4,118,111,3014,19.7,0.586,0.321,0.26,3.8,11.1,7.4,11.1,1.9,0.4,8.9,25.2,7.9,2.1,10.0,0.159,3.9,-0.6,3.3,4.0,82.0,19805,3144,6738,0.467,436,1182,0.369,2708,5556,0.487,1569,2133,0.736,1092,2272,3364,1779,662,298,1291,2000,8293,82.0,19805,3092,6566,0.471,511,1417,0.361,2581,5149,0.501,1732,2340,0.74,1036,2355,3391,1860,656,385,1332,1896,8427,32,50,36,46,-1.63,-0.21,-1.85,108.2,109.9,92.9,0.317,0.175,0.499,14.4,31.7,0.233,0.51,14.9,68.7,0.264,Miami Arena,598761,0,0,0.0,0.0,0.0,0.0,5900,3014,3.639945576,-0.002510527,3.63743505,9.805816408,9.805816408,0.0,3.6911899,0.148049185,3.839239085,-0.157176324,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHH,NBA,SF,79,79,39.8,7.7,16.4,0.471,2.2,5.1,0.424,5.6,11.3,0.492,0.537,4.0,4.8,0.837,1.1,3.7,4.8,2.9,1.2,0.2,2.1,2.7,21.6,3142,10.2,21.6,0.471,2.9,6.7,0.424,7.3,14.9,0.492,5.3,6.4,0.837,1.4,4.9,6.3,3.9,1.5,0.3,2.7,3.6,28.5,116,113,3142,17.8,0.584,0.311,0.294,3.3,11.5,7.3,12.6,1.5,0.5,10.0,23.4,7.2,1.2,8.3,0.127,2.6,-1.2,1.4,2.7,82.0,19880,3108,6618,0.47,584,1520,0.384,2524,5098,0.495,1631,2119,0.77,987,2256,3243,1907,582,277,1241,1815,8431,82.0,19880,3254,6651,0.489,530,1340,0.396,2724,5311,0.513,1440,1957,0.736,953,2358,3311,2049,536,368,1215,1829,8478,41,41,39,43,-0.57,0.09,-0.48,111.2,111.8,91.6,0.32,0.23,0.514,14.1,29.5,0.246,0.529,13.9,70.3,0.217,Charlotte Coliseum,985722,0,0,0.0,0.0,0.0,0.0,6065,3142,3.093040534,-0.658377377,2.434663157,8.287370897,8.287370897,0.0,3.243116116,-0.305004422,2.938111695,-0.267196653,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,CHH,NBA,SF,79,78,42.6,9.1,19.2,0.477,2.6,5.6,0.47,6.5,13.6,0.48,0.546,5.9,6.8,0.867,0.8,3.2,4.0,2.0,0.9,0.3,2.2,2.4,26.8,3362,11.6,24.4,0.477,3.3,7.1,0.47,8.3,17.3,0.48,7.5,8.6,0.867,1.1,4.0,5.1,2.6,1.2,0.4,2.9,3.1,34.1,117,112,3362,19.7,0.605,0.291,0.354,2.5,8.8,5.7,8.8,1.2,0.6,9.2,26.9,9.6,1.2,10.8,0.154,3.9,-2.1,1.8,3.2,82.0,19805,2988,6342,0.471,591,1382,0.428,2397,4960,0.483,1541,1984,0.777,910,2298,3208,2021,597,349,1203,1702,8108,82.0,19805,3056,6650,0.46,487,1364,0.357,2569,5286,0.486,1356,1857,0.73,1077,2256,3333,1783,532,335,1143,1781,7955,54,28,46,36,1.87,0.26,2.13,110.9,108.9,88.6,0.313,0.218,0.518,14.3,28.7,0.243,0.496,13.3,68.1,0.204,Charlotte Coliseum,985722,79,42.6,2.06,-1.46,0.6,8.14,6528,3499,4.035984333,-1.202996977,2.832987356,9.937277523,9.251019146,0.686258377,4.135655206,-0.901179787,3.234475419,-0.516895335,79,52,27,42.5,107.1,3.2,7.7,12.9,0.9,14.3,0.3,8.5,14.2,14.3,9.6,37.4,0.082,0
5,1997-98,1998,Glen Rice,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,CHH,NBA,SF,82,82,40.2,7.7,16.9,0.457,1.6,3.7,0.433,6.1,13.2,0.464,0.504,5.2,6.1,0.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3,3295,10.3,22.6,0.457,2.1,4.9,0.433,8.2,17.7,0.464,7.0,8.2,0.849,1.5,4.3,5.8,3.0,1.3,0.4,3.0,3.3,29.8,112,109,3295,17.4,0.568,0.216,0.364,3.3,9.6,6.5,9.9,1.3,0.5,10.2,25.1,7.4,2.0,9.3,0.136,2.4,-1.6,0.9,2.4,82.0,19780,2968,6344,0.468,346,904,0.383,2622,5440,0.482,1641,2186,0.751,985,2341,3326,1941,691,312,1247,1757,7923,82.0,19780,2977,6417,0.464,369,1063,0.347,2608,5354,0.487,1436,1964,0.731,965,2259,3224,1806,582,372,1240,1902,7759,51,31,47,35,2.0,0.45,2.45,107.5,105.3,89.4,0.345,0.142,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,82,40.2,1.45,-0.1,1.35,9.1,6857,3664,2.26162486,-0.92981049,1.33181437,7.636716472,6.686706044,0.950010428,2.323799634,-0.757080414,1.566719221,-0.394452181,82,51,31,40.2,103.2,3.2,8.7,13.7,0.9,13.7,0.3,8.3,13.8,11.3,10.3,34.2,0.106,0
6,1998-99,1999,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,LAL,NBA,SF,27,25,36.5,6.3,14.7,0.432,2.0,5.0,0.393,4.4,9.7,0.452,0.499,2.9,3.3,0.856,0.3,3.3,3.7,2.6,0.6,0.2,1.7,2.5,17.5,985,9.1,21.1,0.432,2.8,7.2,0.393,6.3,13.9,0.452,4.1,4.8,0.856,0.5,4.8,5.3,3.8,0.9,0.3,2.4,3.6,25.1,110,108,985,15.2,0.542,0.341,0.227,1.1,10.4,5.9,12.2,0.9,0.4,9.4,22.0,2.0,0.3,2.2,0.108,1.6,-2.0,-0.3,0.4,50.0,12050,1841,3935,0.468,241,685,0.352,1600,3250,0.492,1027,1503,0.683,619,1482,2101,1095,389,287,754,1231,4950,50.0,12050,1759,3992,0.441,217,653,0.332,1542,3339,0.462,1064,1501,0.709,628,1403,2031,1062,408,196,716,1271,4799,31,19,30,20,3.02,-0.35,2.68,107.6,104.3,91.6,0.382,0.174,0.498,14.1,30.6,0.261,0.468,13.3,70.2,0.267,Great Western Forum,430007,27,36.5,1.76,-1.51,0.25,2.42,2489,1292,2.249545095,-1.412262604,0.837282491,2.37601003,1.707741165,0.668268864,2.331990086,-1.258713725,1.073276361,-0.336709398,27,16,11,36.5,102.4,3.3,9.3,15.3,0.6,10.1,0.2,6.9,13.0,10.3,10.7,27.5,0.073,0
7,1999-00,2000,Glen Rice,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,32,LAL,NBA,SF,80,80,31.6,5.3,12.3,0.43,1.1,2.9,0.367,4.2,9.4,0.449,0.472,4.3,5.0,0.874,0.7,3.4,4.1,2.2,0.6,0.2,1.4,2.2,15.9,2530,8.6,19.9,0.43,1.7,4.7,0.367,6.8,15.3,0.449,7.0,8.0,0.874,1.1,5.5,6.6,3.6,1.0,0.2,2.3,3.6,25.9,113,102,2530,16.2,0.551,0.234,0.404,2.4,11.3,6.9,11.1,1.0,0.3,9.0,22.0,5.7,3.2,9.0,0.17,1.2,-0.3,0.9,1.8,82.0,19805,3137,6836,0.459,344,1047,0.329,2793,5789,0.482,1649,2368,0.696,1117,2738,3855,1921,613,534,1143,1841,8267,82.0,19805,2838,6824,0.416,372,1142,0.326,2466,5682,0.434,1518,2045,0.742,1007,2531,3538,1597,627,345,1196,2099,7566,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,93.3,0.346,0.153,0.484,12.7,30.6,0.241,0.443,13.4,73.1,0.222,STAPLES Center,771420,80,31.6,0.88,-1.01,-0.14,3.96,6432,3296,1.672253242,-0.421372102,1.25088114,6.719336513,5.701939439,1.017397074,1.607558286,-0.560716962,1.046841324,-0.303339939,80,65,15,31.6,98.1,3.4,10.0,15.7,0.6,12.6,0.2,3.8,9.3,9.2,8.3,23.5,0.125,0
8,2000-01,2001,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,33,NYK,NBA,SF,75,25,29.5,4.4,10.0,0.44,1.1,2.8,0.389,3.3,7.2,0.46,0.495,2.1,2.4,0.852,0.8,3.3,4.1,1.2,0.5,0.2,1.3,2.4,12.0,2212,8.3,18.8,0.44,2.1,5.3,0.389,6.2,13.5,0.46,3.9,4.6,0.852,1.5,6.2,7.7,2.2,1.0,0.3,2.4,4.5,22.5,105,101,2212,13.7,0.54,0.281,0.242,3.4,13.0,8.4,7.4,1.0,0.5,10.3,20.5,2.7,2.9,5.7,0.123,0.5,0.1,0.5,1.4,82.0,19905,2755,6198,0.444,391,1115,0.351,2364,5083,0.465,1374,1727,0.796,773,2524,3297,1520,545,346,1189,1863,7275,82.0,19905,2568,6159,0.417,445,1266,0.352,2123,4893,0.434,1478,2015,0.733,872,2418,3290,1573,596,338,1216,1754,7059,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,86.7,0.279,0.18,0.476,14.6,24.2,0.222,0.453,14.7,74.3,0.24,Madison Square Garden (IV),810283,75,29.5,-0.32,2.98,2.67,7.68,4307,2356,0.684855509,-0.329058755,0.355796755,3.73990107,3.547963952,0.191937118,0.432261595,-0.597489809,-0.165228214,0.007218936,75,43,32,29.5,95.2,3.3,11.8,17.9,0.5,14.2,0.2,6.9,9.7,5.9,4.1,17.7,0.136,0
9,2001-02,2002,Glen Rice,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,34,HOU,NBA,SF,20,20,30.3,3.3,8.4,0.389,0.9,3.2,0.281,2.4,5.2,0.456,0.443,1.2,1.5,0.8,0.3,2.1,2.4,1.6,0.6,0.2,1.2,1.7,8.6,606,5.8,15.0,0.389,1.6,5.7,0.281,4.2,9.3,0.456,2.2,2.7,0.8,0.4,3.8,4.2,2.8,1.1,0.3,2.2,3.1,15.4,96,113,606,8.0,0.477,0.383,0.18,0.9,8.0,4.4,8.5,1.1,0.3,11.8,15.6,0.0,0.0,0.0,0.002,-3.1,-0.7,-3.8,-0.3,82.0,19980,2837,6629,0.428,496,1480,0.335,2341,5149,0.455,1402,1893,0.741,1025,2411,3436,1482,537,445,1156,1476,7572,82.0,19980,3191,6875,0.464,370,1028,0.36,2821,5847,0.482,1221,1623,0.752,1045,2507,3552,1838,576,415,988,1647,7973,28,54,27,55,-4.89,0.58,-4.31,103.1,108.6,88.2,0.286,0.223,0.465,13.4,29.0,0.211,0.491,11.5,69.8,0.178,Compaq Center,481227,20,30.3,-1.86,-0.49,-2.35,0.11,1126,606,-1.744094226,-1.550462804,-3.29455703,-0.168525401,-0.168525401,0.0,-1.810856453,-1.720109441,-3.530965893,0.086460244,20,7,13,30.3,104.1,2.1,7.4,11.0,0.6,14.0,0.2,6.4,11.1,8.5,6.9,24.6,0.069,0
