,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2001-02,2002,Jason Richardson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,GSW,NBA,SG,80,75,32.9,5.8,13.6,0.426,1.0,3.1,0.333,4.8,10.6,0.453,0.463,1.8,2.6,0.671,1.6,2.7,4.3,3.0,1.3,0.4,2.0,2.4,14.4,2629,9.0,21.1,0.426,1.6,4.8,0.333,7.4,16.3,0.453,2.7,4.1,0.671,2.4,4.2,6.6,4.6,2.0,0.6,3.1,3.8,22.2,102,110,2629,13.8,0.487,0.226,0.193,4.9,9.0,6.9,15.4,2.0,0.8,11.9,21.5,2.0,0.9,2.9,0.052,0.1,-1.0,-0.9,0.7,82.0,19780.0,2998.0,6989.0,0.429,320.0,994.0,0.322,2678.0,5995.0,0.447,1693.0,2344.0,0.722,1334.0,2493.0,3827.0,1706.0,650.0,523.0,1378.0,1884.0,8009.0,82.0,19780.0,3213.0,6993.0,0.459,404.0,1162.0,0.348,2809.0,5831.0,0.482,1622.0,2125.0,0.763,1100.0,2450.0,3550.0,2002.0,706.0,512.0,1176.0,1949.0,8452.0,21,61,26,56,-5.4,0.61,-4.8,102.8,108.5,94.5,0.335,0.142,0.452,14.7,35.3,0.242,0.488,12.9,69.4,0.232,The Arena in Oakland,593182,80,32.9,1.39,-2.16,-0.77,3.42,5235,2629,1.059359176,-0.957928408,0.101430768,3.827388555,3.827388555,0.0,1.066034133,-0.516325993,0.54970814,0.065258644,80,21,59,32.8,107.3,2.7,8.0,12.8,1.3,24.7,0.4,8.5,12.7,10.2,9.9,32.7,0.043,0.0
1,2002-03,2003,Jason Richardson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,GSW,NBA,SG,82,82,32.9,5.8,14.2,0.41,1.5,4.1,0.368,4.3,10.1,0.427,0.463,2.5,3.3,0.764,1.4,3.3,4.6,3.0,1.1,0.3,2.2,2.5,15.6,2698,9.0,21.9,0.41,2.3,6.3,0.368,6.7,15.6,0.427,3.9,5.1,0.764,2.1,5.0,7.1,4.7,1.7,0.4,3.4,3.8,24.2,105,111,2698,14.8,0.501,0.288,0.233,4.4,10.4,7.5,15.3,1.7,0.6,12.3,23.0,3.4,0.3,3.7,0.066,1.0,-1.6,-0.5,1.0,82.0,19755.0,3061.0,6941.0,0.441,425.0,1235.0,0.344,2636.0,5706.0,0.462,1853.0,2382.0,0.778,1284.0,2546.0,3830.0,1712.0,594.0,506.0,1295.0,1786.0,8400.0,82.0,19755.0,3240.0,7175.0,0.452,438.0,1177.0,0.372,2802.0,5998.0,0.467,1575.0,2084.0,0.756,1204.0,2388.0,3592.0,1934.0,710.0,491.0,1121.0,1936.0,8493.0,38,44,38,44,-1.13,0.54,-0.6,108.3,109.5,94.2,0.343,0.178,0.472,13.9,35.0,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,634935,82,32.9,1.81,-4.26,-2.45,1.24,5356,2698,1.833663019,-2.345070868,-0.511407849,3.082158512,3.082158512,0.0,2.120340659,-1.916479883,0.203860776,0.020694999,82,38,44,32.9,109.3,3.3,9.3,15.2,1.1,23.8,0.3,6.7,12.6,11.1,10.5,31.3,0.011,0.0
2,2003-04,2004,Jason Richardson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,GSW,NBA,SG,78,78,37.6,7.2,16.5,0.438,1.0,3.5,0.282,6.2,13.0,0.481,0.468,3.3,4.8,0.684,1.6,5.1,6.7,2.9,1.1,0.5,2.5,2.3,18.7,2936,10.3,23.4,0.438,1.4,5.0,0.282,8.8,18.4,0.481,4.7,6.9,0.684,2.3,7.3,9.5,4.1,1.6,0.7,3.6,3.3,26.6,100,104,2936,16.8,0.504,0.213,0.294,4.7,15.4,10.1,14.5,1.6,1.0,11.9,25.8,2.6,2.7,5.2,0.085,1.1,-0.6,0.5,1.9,82.0,19855.0,2875.0,6511.0,0.442,429.0,1283.0,0.334,2446.0,5228.0,0.468,1470.0,2028.0,0.725,1002.0,2533.0,3535.0,1681.0,576.0,389.0,1211.0,1691.0,7649.0,82.0,19855.0,2948.0,6630.0,0.445,414.0,1107.0,0.374,2534.0,5523.0,0.459,1399.0,1875.0,0.746,981.0,2532.0,3513.0,1762.0,666.0,418.0,1145.0,1801.0,7709.0,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,89.8,0.311,0.197,0.475,14.1,28.4,0.226,0.476,13.3,72.1,0.211,The Arena in Oakland,665648,78,37.6,1.15,0.63,1.78,10.07,5556,2936,1.107199065,0.734596907,1.841795972,6.879121955,6.879121955,0.0,1.254845103,0.779064615,2.033909718,0.011321616,78,35,43,37.7,101.9,5.1,13.6,21.0,1.1,20.8,0.5,13.7,11.8,10.7,9.8,30.2,0.093,0.0
3,2004-05,2005,Jason Richardson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,GSW,NBA,SG,72,72,37.8,8.5,19.0,0.446,1.7,5.1,0.338,6.7,13.9,0.486,0.492,3.0,4.3,0.693,1.7,4.2,5.9,3.9,1.5,0.4,2.3,2.2,21.7,2724,11.5,25.8,0.446,2.4,7.0,0.338,9.2,18.9,0.486,4.0,5.8,0.693,2.4,5.6,8.0,5.3,2.0,0.6,3.2,2.9,29.5,105,107,2724,19.0,0.518,0.27,0.226,4.8,12.5,8.5,19.2,2.0,0.8,10.1,27.1,3.3,2.4,5.7,0.1,2.8,-0.4,2.5,3.0,82.0,19905.0,3029.0,7039.0,0.43,624.0,1774.0,0.352,2405.0,5265.0,0.457,1412.0,1955.0,0.722,1069.0,2436.0,3505.0,1811.0,642.0,420.0,1112.0,1833.0,8094.0,82.0,19905.0,3133.0,6838.0,0.458,450.0,1239.0,0.363,2683.0,5599.0,0.479,1555.0,2087.0,0.745,1057.0,2771.0,3828.0,1858.0,570.0,417.0,1257.0,1782.0,8271.0,34,48,35,47,-2.16,0.42,-1.74,104.7,106.9,93.3,0.278,0.252,0.475,12.3,27.8,0.201,0.491,13.9,69.7,0.227,Oakland Arena,670368,72,37.8,3.13,-2.11,1.02,7.75,5356,2724,2.399814317,-0.871731808,1.528082509,5.93650898,5.93650898,0.0,2.488102435,-0.502994137,1.985108298,-0.140939024,72,33,39,37.8,106.7,4.2,11.0,17.8,1.5,24.2,0.4,11.4,12.3,11.4,11.0,34.1,0.074,0.0
4,2005-06,2006,Jason Richardson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,GSW,NBA,SG,75,75,38.4,8.5,19.2,0.446,2.4,6.4,0.384,6.1,12.8,0.477,0.509,3.7,5.5,0.673,1.4,4.4,5.8,3.1,1.3,0.5,2.2,2.7,23.2,2877,11.5,25.7,0.446,3.3,8.5,0.384,8.2,17.2,0.477,4.9,7.3,0.673,1.9,6.0,7.8,4.1,1.7,0.7,3.0,3.7,31.1,107,107,2877,19.2,0.538,0.332,0.285,4.0,13.2,8.5,15.6,1.7,1.0,9.4,27.6,4.5,2.8,7.3,0.122,3.4,-0.3,3.1,3.7,82.0,19830.0,2939.0,6785.0,0.433,625.0,1832.0,0.341,2314.0,4953.0,0.467,1573.0,2190.0,0.718,980.0,2485.0,3465.0,1694.0,604.0,357.0,1156.0,1941.0,8076.0,82.0,19830.0,3047.0,6674.0,0.457,469.0,1335.0,0.351,2578.0,5339.0,0.483,1624.0,2187.0,0.743,985.0,2662.0,3647.0,1828.0,576.0,409.0,1258.0,1919.0,8187.0,34,48,37,45,-1.35,0.25,-1.11,104.8,106.2,93.3,0.323,0.27,0.479,13.0,26.9,0.232,0.492,14.1,71.6,0.243,Oakland Arena,749185,75,38.4,3.9,-1.0,2.9,11.63,5656,2877,3.172572512,-0.047800367,3.124772145,8.630233753,8.630233753,0.0,3.264681372,0.314421938,3.57910331,0.074131764,75,32,43,38.4,104.6,4.4,11.6,18.4,1.3,22.5,0.5,13.5,12.2,11.3,10.7,32.8,0.104,0.0
5,2006-07,2007,Jason Richardson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,GSW,NBA,SG,51,49,32.8,6.0,14.4,0.417,2.2,5.9,0.365,3.8,8.5,0.453,0.492,1.8,2.7,0.657,1.4,3.7,5.1,3.4,1.1,0.6,1.6,2.5,16.0,1675,8.8,21.2,0.417,3.2,8.7,0.365,5.7,12.5,0.453,2.7,4.0,0.657,2.1,5.4,7.5,5.0,1.6,0.9,2.4,3.7,23.5,106,109,1675,15.5,0.512,0.41,0.191,4.6,12.6,8.5,16.0,1.6,1.4,9.3,22.3,1.7,1.3,3.0,0.085,1.4,-0.6,0.8,1.2,82.0,19755.0,3261.0,7048.0,0.463,700.0,1967.0,0.356,2561.0,5081.0,0.504,1515.0,2113.0,0.717,940.0,2456.0,3396.0,1950.0,750.0,466.0,1309.0,1933.0,8737.0,82.0,19755.0,3171.0,6871.0,0.462,609.0,1664.0,0.366,2562.0,5207.0,0.492,1814.0,2419.0,0.75,1074.0,2733.0,3807.0,2023.0,680.0,399.0,1525.0,1832.0,8765.0,42,40,40,42,-0.34,0.34,0.0,107.0,107.4,99.2,0.3,0.279,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,Oracle Arena,742267,51,32.8,2.93,-0.71,2.22,6.52,4361,2103,2.255292508,0.271640651,2.526933159,5.725603315,4.186806669,1.538796646,2.324587207,0.336041051,2.660628258,0.042985174,51,29,22,32.8,104.4,3.7,11.1,18.1,1.1,16.3,0.6,16.7,12.2,11.2,8.9,30.1,0.095,0.0
6,2007-08,2008,Jason Richardson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHA,NBA,SF,82,82,38.4,7.9,17.9,0.441,3.0,7.3,0.406,4.9,10.6,0.466,0.524,3.0,4.0,0.752,1.0,4.4,5.4,3.1,1.4,0.7,2.0,2.9,21.8,3149,10.8,24.4,0.441,4.0,9.9,0.406,6.7,14.4,0.466,4.1,5.5,0.752,1.3,6.0,7.3,4.3,1.9,0.9,2.8,4.0,29.7,109,109,3149,18.4,0.554,0.408,0.225,2.9,13.3,8.0,15.2,1.9,1.4,9.3,25.9,4.8,2.6,7.4,0.113,3.3,-0.3,3.0,4.0,82.0,19880.0,2960.0,6554.0,0.452,529.0,1443.0,0.367,2431.0,5111.0,0.476,1510.0,2115.0,0.714,892.0,2440.0,3332.0,1748.0,614.0,402.0,1204.0,1777.0,7959.0,82.0,19880.0,3115.0,6684.0,0.466,517.0,1456.0,0.355,2598.0,5228.0,0.497,1571.0,2102.0,0.747,999.0,2588.0,3587.0,1785.0,625.0,476.0,1177.0,1721.0,8318.0,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,91.8,0.323,0.22,0.492,13.9,25.6,0.23,0.505,13.4,71.0,0.235,Charlotte Bobcats Arena,603403,82,38.4,2.35,-1.85,0.49,6.88,6092,3149,2.638582299,-0.144849227,2.493733073,8.442011323,8.442011323,0.0,2.864736364,0.230643913,3.095380276,0.192398821,82,32,50,38.4,108.1,4.4,11.8,18.7,1.4,23.0,0.7,18.0,13.3,12.3,10.8,35.4,0.077,0.0
7,2008-09,2009,Jason Richardson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHA,NBA,SG,14,14,35.1,6.9,15.7,0.441,1.9,4.2,0.458,5.0,11.5,0.435,0.502,2.9,3.9,0.745,0.9,3.2,4.1,2.6,1.0,0.2,1.7,3.1,18.7,491,10.7,24.4,0.441,3.0,6.5,0.458,7.7,17.8,0.435,4.5,6.1,0.745,1.4,5.0,6.4,4.0,1.5,0.3,2.7,4.8,29.0,107,108,491,15.8,0.536,0.268,0.25,3.3,11.3,7.3,14.1,1.5,0.5,8.9,25.8,0.5,0.5,1.1,0.104,1.5,-0.2,1.3,0.4,82.0,19930.0,2866.0,6299.0,0.455,490.0,1339.0,0.366,2376.0,4960.0,0.479,1455.0,1965.0,0.74,886.0,2366.0,3252.0,1741.0,580.0,397.0,1279.0,1754.0,7677.0,82.0,19930.0,2883.0,6349.0,0.454,558.0,1526.0,0.366,2325.0,4823.0,0.482,1457.0,1928.0,0.756,877.0,2310.0,3187.0,1604.0,626.0,488.0,1206.0,1714.0,7781.0,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,88.3,0.312,0.213,0.494,15.1,27.7,0.231,0.498,14.4,73.0,0.229,Time Warner Cable Arena,597548,72,33.5,2.47,-3.05,-0.57,3.91,4796,2410,1.976280416,-1.890644966,0.08563545,3.503479592,3.503479592,0.0,2.122413877,-1.237283072,0.885130805,0.859823828,72,37,35,33.5,111.6,3.4,10.4,16.3,1.1,21.7,0.4,11.6,12.0,10.7,8.7,28.1,0.04,0.0
8,2008-09,2009,Jason Richardson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,PHO,NBA,SG,58,57,33.1,6.3,13.0,0.488,1.8,4.6,0.383,4.6,8.4,0.545,0.556,1.9,2.5,0.778,1.1,3.4,4.5,1.9,1.1,0.4,1.2,1.8,16.4,1919,9.6,19.7,0.488,2.7,6.9,0.383,6.9,12.7,0.545,2.9,3.8,0.778,1.7,5.1,6.8,2.9,1.6,0.7,1.9,2.7,24.8,117,113,1919,16.9,0.581,0.353,0.191,4.1,11.5,7.9,8.7,1.6,1.0,8.0,20.4,3.8,0.9,4.7,0.119,2.2,-1.0,1.2,1.6,82.0,19755.0,3373.0,6695.0,0.504,553.0,1445.0,0.383,2820.0,5250.0,0.537,1675.0,2251.0,0.744,900.0,2520.0,3420.0,1905.0,589.0,420.0,1288.0,1691.0,8974.0,82.0,19755.0,3278.0,7025.0,0.467,626.0,1635.0,0.383,2652.0,5390.0,0.492,1634.0,2108.0,0.775,993.0,2352.0,3345.0,1741.0,706.0,369.0,1165.0,1877.0,8816.0,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,96.0,0.336,0.216,0.545,14.4,27.7,0.25,0.511,12.8,71.7,0.233,US Airways Center,755302,72,33.5,2.47,-3.05,-0.57,3.91,4796,2410,1.976280416,-1.890644966,0.08563545,3.503479592,3.503479592,0.0,2.122413877,-1.237283072,0.885130805,0.859823828,72,37,35,33.5,111.6,3.4,10.4,16.3,1.1,21.7,0.4,11.6,12.0,10.7,8.7,28.1,0.04,0.0
9,2009-10,2010,Jason Richardson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,PHO,NBA,SG,79,76,31.5,6.0,12.6,0.474,2.0,5.1,0.393,4.0,7.6,0.528,0.553,1.7,2.3,0.739,1.0,4.1,5.1,1.8,0.8,0.4,1.2,2.1,15.7,2485,9.6,20.2,0.474,3.2,8.1,0.393,6.4,12.1,0.528,2.8,3.7,0.739,1.6,6.5,8.2,2.9,1.3,0.7,1.9,3.4,25.1,116,111,2485,16.6,0.574,0.401,0.184,3.9,13.9,9.2,8.8,1.3,0.9,7.9,20.8,5.0,1.7,6.6,0.128,2.2,-0.5,1.7,2.3,82.0,19730.0,3339.0,6788.0,0.492,730.0,1770.0,0.412,2609.0,5018.0,0.52,1631.0,2117.0,0.77,910.0,2616.0,3526.0,1912.0,479.0,418.0,1210.0,1713.0,9039.0,82.0,19730.0,3235.0,7165.0,0.452,561.0,1582.0,0.355,2674.0,5583.0,0.479,1606.0,2114.0,0.76,1081.0,2391.0,3472.0,1704.0,646.0,365.0,1065.0,1789.0,8637.0,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,95.3,0.312,0.261,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.224,US Airways Center,723582,79,31.5,2.42,-0.32,2.1,8.59,6011,3018,3.654527185,-0.019727369,3.634799817,9.950995698,6.99604916,2.954946538,3.897554455,0.361660634,4.259215089,-0.172224622,79,52,27,31.5,109.0,4.1,12.2,19.1,0.8,23.3,0.4,13.9,11.1,10.1,10.3,29.1,0.059,-0.68
