,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2012-13,2013,Austin Rivers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,NOH,NBA,SG,61,26,23.2,2.4,6.4,0.372,0.5,1.4,0.326,1.9,5.0,0.385,0.408,1.0,1.8,0.546,0.3,1.5,1.8,2.1,0.4,0.1,1.2,2.0,6.2,1418,5.5,14.9,0.372,1.1,3.3,0.326,4.5,11.6,0.385,2.3,4.1,0.546,0.6,3.6,4.2,4.9,1.0,0.3,2.8,4.7,14.4,89,114,1418,5.9,0.431,0.221,0.277,1.3,8.0,4.6,13.9,1.0,0.5,14.5,16.8,-1.2,0.1,-1.1,-0.038,-4.7,-1.6,-6.2,-1.5,82.0,19780.0,2955.0,6589.0,0.448,535.0,1474.0,0.363,2420.0,5115.0,0.473,1269.0,1636.0,0.776,988.0,2426.0,3414.0,1721.0,520.0,440.0,1193.0,1673.0,7714.0,82.0,19780.0,3030.0,6435.0,0.471,632.0,1688.0,0.374,2398.0,4747.0,0.505,1339.0,1764.0,0.759,835.0,2391.0,3226.0,1915.0,648.0,492.0,1086.0,1534.0,8031.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,61,23.2,-3.37,0.46,-2.91,-0.35,2644,1418,-3.421635114,-1.659589813,-5.081224927,-1.691505943,-1.691505943,0.0,-3.461203097,-1.69737133,-5.158574428,0.273230045,61,21,40,23.2,107.1,1.5,7.0,10.9,0.4,16.0,0.1,5.5,7.8,6.9,6.2,20.4,0.043,-1.35
1,2013-14,2014,Austin Rivers,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,NOP,NBA,PG,69,4,19.4,2.8,6.9,0.405,0.5,1.4,0.364,2.3,5.4,0.416,0.443,1.6,2.5,0.636,0.4,1.5,1.9,2.3,0.7,0.1,1.1,1.9,7.7,1339,7.5,18.4,0.405,1.4,3.9,0.364,6.1,14.6,0.416,4.3,6.7,0.636,1.0,4.0,5.0,6.2,1.8,0.4,3.0,5.2,20.6,99,113,1339,11.6,0.482,0.209,0.365,2.2,9.1,5.6,18.7,1.8,0.6,12.3,21.3,0.2,0.4,0.6,0.023,-2.0,-1.4,-3.4,-0.5,82.0,19855.0,3101.0,6761.0,0.459,486.0,1303.0,0.373,2615.0,5458.0,0.479,1489.0,1936.0,0.769,933.0,2486.0,3419.0,1745.0,647.0,523.0,1129.0,1857.0,8177.0,82.0,19855.0,3055.0,6567.0,0.465,652.0,1827.0,0.357,2403.0,4740.0,0.507,1637.0,2176.0,0.752,881.0,2538.0,3419.0,1845.0,577.0,504.0,1185.0,1664.0,8399.0,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,672029,69,19.4,-1.69,-0.83,-2.52,0.22,2621,1339,-0.326172754,-0.869934061,-1.196106815,1.043057448,1.043057448,0.0,-0.820936159,-1.217277348,-2.038213507,-1.67124666,69,27,42,19.4,106.7,1.5,8.0,12.1,0.7,21.4,0.1,5.1,6.2,4.8,6.1,16.2,0.045,-1.09
2,2014-15,2015,Austin Rivers,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,NOP,NBA,SG,35,3,22.1,2.5,6.3,0.387,0.4,1.4,0.28,2.1,4.9,0.419,0.419,1.5,2.0,0.746,0.3,1.6,1.9,2.5,0.5,0.2,0.9,1.9,6.8,772,5.9,15.1,0.387,1.0,3.4,0.28,4.9,11.7,0.419,3.6,4.8,0.746,0.8,3.8,4.6,5.9,1.2,0.5,2.0,4.4,16.3,103,111,772,10.1,0.472,0.225,0.32,1.8,8.2,5.0,16.7,1.2,0.7,10.6,16.7,0.4,0.3,0.7,0.046,-2.5,-0.5,-3.0,-0.2,82.0,19780.0,3108.0,6795.0,0.457,586.0,1583.0,0.37,2522.0,5212.0,0.484,1345.0,1790.0,0.751,942.0,2621.0,3563.0,1806.0,553.0,510.0,1087.0,1530.0,8147.0,82.0,19780.0,3108.0,6814.0,0.456,537.0,1605.0,0.335,2571.0,5209.0,0.494,1329.0,1751.0,0.759,870.0,2537.0,3407.0,1700.0,555.0,475.0,1003.0,1533.0,8082.0,45,37,43,39,0.79,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,Smoothie King Center,683757,76,20.6,-2.96,-1.3,-4.26,-1.65,3669,1813,-2.417456456,-1.595853366,-4.013309822,-1.164702791,-0.96850437,-0.19619842,-1.9638076,-1.543466767,-3.507274367,-0.539226219,76,46,30,20.6,104.0,1.6,7.9,12.1,0.6,20.7,0.2,8.6,7.0,5.7,6.4,18.8,0.059,-1.39
3,2014-15,2015,Austin Rivers,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,22,LAC,NBA,SG,41,2,19.3,2.9,6.7,0.427,0.6,2.0,0.309,2.2,4.7,0.477,0.473,0.8,1.3,0.582,0.4,1.7,2.0,1.7,0.7,0.2,0.9,2.0,7.1,791,7.5,17.6,0.427,1.6,5.2,0.309,5.9,12.4,0.477,2.1,3.5,0.582,1.0,4.4,5.4,4.4,1.9,0.4,2.2,5.2,18.6,98,107,791,10.6,0.488,0.296,0.201,2.2,9.6,6.0,12.8,1.9,0.7,10.5,19.0,0.1,0.7,0.8,0.046,-2.5,-0.1,-2.7,-0.1,82.0,19730.0,3228.0,6830.0,0.473,827.0,2202.0,0.376,2401.0,4628.0,0.519,1468.0,2067.0,0.71,784.0,2711.0,3495.0,2031.0,640.0,409.0,1012.0,1749.0,8751.0,82.0,19730.0,2984.0,6745.0,0.442,683.0,1959.0,0.349,2301.0,4786.0,0.481,1560.0,2105.0,0.741,868.0,2649.0,3517.0,1904.0,548.0,245.0,1171.0,1766.0,8211.0,56,26,58,24,6.59,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892,76,20.6,-2.96,-1.3,-4.26,-1.65,3669,1813,-2.417456456,-1.595853366,-4.013309822,-1.164702791,-0.96850437,-0.19619842,-1.9638076,-1.543466767,-3.507274367,-0.539226219,76,46,30,20.6,104.0,1.6,7.9,12.1,0.6,20.7,0.2,8.6,7.0,5.7,6.4,18.8,0.059,-1.39
4,2015-16,2016,Austin Rivers,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,LAC,NBA,SG,67,7,21.9,3.4,7.7,0.438,0.9,2.8,0.335,2.4,4.9,0.495,0.498,1.2,1.7,0.681,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2.0,8.9,1464,7.7,17.7,0.438,2.1,6.3,0.335,5.6,11.3,0.495,2.7,4.0,0.681,0.8,3.7,4.4,3.4,1.6,0.3,2.1,4.7,20.3,101,107,1464,11.1,0.523,0.359,0.225,1.7,7.9,4.8,10.6,1.6,0.5,9.7,19.4,0.6,1.3,1.9,0.063,-2.2,-0.5,-2.7,-0.2,82.0,19830.0,3141.0,6759.0,0.465,797.0,2190.0,0.364,2344.0,4569.0,0.513,1490.0,2152.0,0.692,721.0,2727.0,3448.0,1873.0,709.0,460.0,1063.0,1746.0,8569.0,82.0,19830.0,3015.0,6946.0,0.434,645.0,1909.0,0.338,2370.0,5037.0,0.471,1543.0,2055.0,0.751,968.0,2861.0,3829.0,1740.0,583.0,259.0,1260.0,1842.0,8218.0,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,0.318,0.324,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910,67,21.9,-2.48,0.16,-2.32,-0.02,3334,1608,-1.876139765,-0.858513425,-2.73465319,0.009025085,0.071433849,-0.062408764,-2.09067057,-0.582479435,-2.673150005,-0.21477556,67,42,25,21.8,102.8,1.6,7.0,11.3,0.7,18.1,0.1,4.9,7.8,7.6,6.0,19.5,0.078,-1.62
5,2016-17,2017,Austin Rivers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,LAC,NBA,SG,74,29,27.8,4.4,9.9,0.442,1.5,4.0,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12.0,2054,7.9,17.8,0.442,2.7,7.3,0.371,5.2,10.5,0.491,3.2,4.6,0.691,0.5,3.4,3.9,5.0,1.2,0.2,2.8,4.5,21.6,105,112,2054,11.4,0.545,0.409,0.261,1.1,7.5,4.4,15.0,1.2,0.4,12.4,20.3,1.2,1.3,2.5,0.059,-1.2,-1.0,-2.2,-0.1,82.0,19755.0,3242.0,6820.0,0.475,841.0,2245.0,0.375,2401.0,4575.0,0.525,1586.0,2128.0,0.745,738.0,2790.0,3528.0,1848.0,612.0,347.0,1062.0,1626.0,8911.0,82.0,19755.0,3163.0,6999.0,0.452,753.0,2154.0,0.35,2410.0,4845.0,0.497,1480.0,1917.0,0.772,837.0,2700.0,3537.0,1891.0,577.0,258.0,1084.0,1835.0,8559.0,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.329,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.211,STAPLES Center,782609,74,27.8,-0.59,-1.5,-2.09,-0.34,4376,2144,-0.928307061,-1.537637512,-2.465944573,0.295374797,0.469668183,-0.174293387,-0.528635552,-1.287210135,-1.815845687,-0.328914177,74,43,31,27.8,108.1,1.9,6.8,10.1,0.6,15.9,0.1,5.5,8.6,7.4,8.5,25.8,0.074,-1.67
6,2017-18,2018,Austin Rivers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,LAC,NBA,SG,61,59,33.7,5.6,13.2,0.424,2.2,5.9,0.378,3.4,7.3,0.461,0.508,1.7,2.6,0.642,0.4,1.9,2.4,4.0,1.2,0.3,1.8,2.5,15.1,2057,8.1,19.0,0.424,3.2,8.5,0.378,4.8,10.5,0.461,2.4,3.8,0.642,0.6,2.8,3.4,5.7,1.7,0.4,2.6,3.6,21.7,105,113,2057,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,1.4,1.0,2.4,0.056,-0.3,-0.9,-1.2,0.4,82.0,19705.0,3302.0,7004.0,0.471,777.0,2196.0,0.354,2525.0,4808.0,0.525,1556.0,2095.0,0.743,832.0,2766.0,3598.0,1832.0,628.0,373.0,1204.0,1638.0,8937.0,82.0,19705.0,3298.0,7194.0,0.458,881.0,2477.0,0.356,2417.0,4717.0,0.512,1457.0,1864.0,0.782,871.0,2706.0,3577.0,2015.0,699.0,462.0,1154.0,1803.0,8934.0,42,40,41,41,0.04,0.11,0.15,110.3,110.2,98.7,0.299,0.314,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,697812,61,33.7,-0.24,-1.06,-1.31,0.26,4190,2057,0.982514133,-1.999342713,-1.016828581,1.78834384,1.78834384,0.0,1.177412773,-0.997717494,0.179695279,-1.668096724,61,30,31,33.7,111.6,1.9,5.8,8.5,1.2,23.3,0.3,9.2,11.9,8.7,11.1,32.7,0.048,-1.13
7,2018-19,2019,Austin Rivers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,WAS,NBA,SG,29,2,23.6,2.6,6.7,0.392,1.1,3.7,0.311,1.5,3.0,0.489,0.477,0.9,1.6,0.543,0.3,2.1,2.4,2.0,0.6,0.3,1.2,2.5,7.2,683,5.3,13.5,0.392,2.3,7.3,0.311,3.0,6.1,0.489,1.7,3.2,0.543,0.7,4.2,4.9,4.0,1.2,0.7,2.5,5.0,14.6,95,116,683,6.8,0.49,0.546,0.237,1.6,9.8,5.6,11.2,1.2,1.2,14.4,15.5,-0.4,0.2,-0.2,-0.014,-4.1,-1.2,-5.3,-0.6,82.0,19930.0,3456.0,7387.0,0.468,930.0,2731.0,0.341,2526.0,4656.0,0.543,1508.0,1963.0,0.768,794.0,2679.0,3473.0,2154.0,683.0,379.0,1154.0,1701.0,9350.0,82.0,19930.0,3560.0,7424.0,0.48,994.0,2689.0,0.37,2566.0,4735.0,0.542,1474.0,1895.0,0.778,936.0,2939.0,3875.0,2151.0,631.0,378.0,1292.0,1741.0,9588.0,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,101.4,0.266,0.37,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,Capital One Arena,716996,76,26.7,-1.55,-0.38,-1.93,-0.99,4724,2243,-1.636126542,-0.92384037,-2.559966912,0.232640243,0.023793347,0.208846896,-1.136411156,-0.688116102,-1.824527258,-0.308918994,76,45,31,26.7,109.1,1.8,6.5,10.1,0.6,13.5,0.3,11.2,8.8,7.7,8.3,28.2,0.076,-1.41
8,2018-19,2019,Austin Rivers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,HOU,NBA,SG,47,13,28.6,3.3,8.0,0.413,1.5,4.7,0.321,1.8,3.3,0.541,0.507,0.5,1.0,0.51,0.3,1.6,1.9,2.3,0.6,0.3,0.7,2.9,8.7,1345,5.7,13.8,0.413,2.6,8.1,0.321,3.1,5.7,0.541,0.9,1.8,0.51,0.5,2.8,3.3,4.0,1.1,0.5,1.2,4.9,14.9,109,115,1345,8.2,0.511,0.585,0.13,1.2,6.4,3.7,11.7,1.1,0.8,7.4,13.9,0.8,0.6,1.4,0.05,-2.9,-0.9,-3.8,-0.6,82.0,19830.0,3218.0,7163.0,0.449,1323.0,3721.0,0.356,1895.0,3442.0,0.551,1582.0,2001.0,0.791,836.0,2613.0,3449.0,1741.0,700.0,405.0,1094.0,1803.0,9341.0,82.0,19830.0,3313.0,7106.0,0.466,831.0,2444.0,0.34,2482.0,4662.0,0.532,1493.0,1944.0,0.768,899.0,2825.0,3724.0,1929.0,607.0,369.0,1232.0,1640.0,8950.0,53,29,53,29,4.77,0.19,4.96,115.5,110.7,97.9,0.279,0.519,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,740392,76,26.7,-1.55,-0.38,-1.93,-0.99,4724,2243,-1.636126542,-0.92384037,-2.559966912,0.232640243,0.023793347,0.208846896,-1.136411156,-0.688116102,-1.824527258,-0.308918994,76,45,31,26.7,109.1,1.8,6.5,10.1,0.6,13.5,0.3,11.2,8.8,7.7,8.3,28.2,0.076,-1.41
9,2019-20,2020,Austin Rivers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,HOU,NBA,SG,68,4,23.4,3.1,7.4,0.421,1.4,4.0,0.356,1.7,3.4,0.498,0.517,1.1,1.6,0.703,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,8.8,1594,6.1,14.5,0.421,2.8,7.8,0.356,3.3,6.7,0.498,2.3,3.2,0.703,0.8,4.3,5.1,3.3,1.4,0.3,1.5,3.7,17.3,110,113,1594,10.4,0.542,0.539,0.222,1.8,9.8,5.8,10.0,1.4,0.5,8.3,15.6,1.2,1.2,2.4,0.072,-2.1,-0.4,-2.5,-0.2,72.0,17380.0,2936.0,6512.0,0.451,1126.0,3261.0,0.345,1810.0,3251.0,0.557,1484.0,1876.0,0.791,704.0,2484.0,3188.0,1557.0,627.0,371.0,1057.0,1566.0,8482.0,72.0,17380.0,3045.0,6589.0,0.462,880.0,2522.0,0.349,2165.0,4067.0,0.532,1299.0,1706.0,0.761,803.0,2645.0,3448.0,1819.0,578.0,354.0,1163.0,1515.0,8269.0,44,28,42,30,2.96,0.17,3.13,112.9,110.1,103.7,0.288,0.501,0.537,12.6,21.0,0.228,0.529,13.7,75.6,0.197,Toyota Center,578458,68,23.4,0.55,-2.39,-1.84,0.32,3956,1805,0.234437097,-2.128963011,-1.894525914,0.784854039,0.748157583,0.036696457,-0.060614634,-1.951255513,-2.011870146,-0.150339212,68,43,25,23.4,110.4,2.2,8.9,13.4,0.7,17.3,0.1,6.7,8.4,6.5,6.9,25.8,0.059,-1.77
