,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1993-94,1994,Rodney Rogers,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,DEN,NBA,SF,79,14,17.8,3.0,6.9,0.439,0.4,1.2,0.38,2.6,5.7,0.45,0.471,1.6,2.4,0.672,1.1,1.7,2.9,1.3,0.8,0.6,1.7,2.5,8.1,1406,8.5,19.4,0.439,1.2,3.3,0.38,7.2,16.1,0.45,4.5,6.7,0.672,3.2,4.8,8.0,3.6,2.2,1.7,4.7,6.9,22.7,97,103,1406,12.9,0.509,0.169,0.347,7.4,10.4,8.9,11.4,2.2,2.1,17.3,23.0,-0.1,2.1,2.0,0.067,-1.3,0.7,-0.6,0.5,82.0,19755.0,3156.0,6781.0,0.465,170.0,597.0,0.285,2986.0,6184.0,0.483,1739.0,2423.0,0.718,1105.0,2557.0,3662.0,1763.0,679.0,686.0,1422.0,1926.0,8221.0,82.0,19755.0,3065.0,7000.0,0.438,208.0,717.0,0.29,2857.0,6283.0,0.455,1761.0,2349.0,0.75,1118.0,2331.0,3449.0,1745.0,725.0,502.0,1245.0,1957.0,8099.0,42,40,45,37,1.49,0.05,1.54,103.9,102.3,96.1,0.357,0.088,0.478,15.3,32.2,0.256,0.453,13.4,69.6,0.252,McNichols Sports Arena,673738,0,0,0.0,0.0,0.0,0.0,3197,1596,-1.20262507,0.601977518,-0.600647552,1.808710311,1.282810743,0.525899568,-1.103898406,0.210301474,-0.893596932,0.831332546,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1994-95,1995,Rodney Rogers,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,DEN,NBA,PF,80,77,26.8,4.7,9.6,0.488,0.6,1.9,0.338,4.1,7.8,0.523,0.52,2.2,3.4,0.651,1.7,3.2,4.8,2.0,1.2,0.6,2.2,3.5,12.2,2142,9.2,18.8,0.488,1.2,3.6,0.338,8.0,15.2,0.523,4.4,6.7,0.651,3.2,6.2,9.4,3.9,2.3,1.1,4.2,6.9,24.0,105,107,2142,15.2,0.55,0.192,0.358,7.6,13.8,10.8,12.5,2.3,1.6,16.3,22.4,1.5,2.4,3.9,0.088,-0.3,0.3,-0.1,1.1,82.0,19980.0,3098.0,6461.0,0.479,413.0,1160.0,0.356,2685.0,5301.0,0.507,1700.0,2305.0,0.738,1040.0,2402.0,3442.0,1836.0,660.0,585.0,1381.0,2063.0,8309.0,82.0,19980.0,3050.0,6695.0,0.456,419.0,1208.0,0.347,2631.0,5487.0,0.479,1721.0,2296.0,0.75,1021.0,2207.0,3228.0,1784.0,640.0,460.0,1167.0,1956.0,8240.0,41,41,43,39,0.84,0.11,0.96,109.1,108.2,91.5,0.357,0.18,0.511,15.6,32.0,0.263,0.487,13.2,70.2,0.257,McNichols Sports Arena,704011,0,0,0.0,0.0,0.0,0.0,4275,2218,-0.391131833,0.3194371,-0.071694733,3.057257455,2.990125395,0.06713206,0.115858454,0.625810804,0.741669258,0.775759738,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1995-96,1996,Rodney Rogers,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,LAC,NBA,SF,67,51,29.1,4.6,9.6,0.477,0.7,2.3,0.32,3.8,7.3,0.527,0.516,1.7,2.7,0.628,1.7,2.6,4.3,2.5,1.1,0.5,2.1,3.2,11.6,1950,8.1,16.9,0.477,1.3,4.0,0.32,6.8,12.9,0.527,3.0,4.8,0.628,3.0,4.6,7.6,4.4,2.0,0.9,3.8,5.7,20.5,104,111,1950,13.5,0.537,0.239,0.281,6.8,10.9,8.8,13.5,2.0,1.3,16.7,19.8,1.1,1.2,2.3,0.058,-0.6,-0.5,-1.1,0.5,82.0,19730.0,3126.0,6618.0,0.472,509.0,1374.0,0.37,2617.0,5244.0,0.499,1392.0,1984.0,0.702,979.0,2190.0,3169.0,1672.0,703.0,411.0,1355.0,2008.0,8153.0,82.0,19730.0,3090.0,6471.0,0.478,444.0,1195.0,0.372,2646.0,5276.0,0.502,1824.0,2444.0,0.746,1034.0,2362.0,3396.0,1658.0,689.0,401.0,1357.0,1860.0,8448.0,29,53,31,51,-3.6,0.13,-3.46,106.5,110.3,93.2,0.3,0.208,0.511,15.3,29.3,0.21,0.512,15.2,67.9,0.282,Los Angeles Memorial Sports Arena,405495,0,0,0.0,0.0,0.0,0.0,3830,1950,0.056733337,-0.554712483,-0.497979147,2.250081878,2.250081878,0.0,0.055673819,-0.390675947,-0.335002128,0.396919124,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1996-97,1997,Rodney Rogers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,LAC,NBA,SF,81,62,30.6,5.0,10.9,0.462,0.8,2.2,0.361,4.2,8.7,0.487,0.498,2.4,3.6,0.663,1.7,3.4,5.1,2.7,1.1,0.8,2.7,3.4,13.2,2480,8.6,18.7,0.462,1.4,3.8,0.361,7.3,14.9,0.487,4.0,6.1,0.663,2.9,5.8,8.7,4.7,1.9,1.3,4.7,5.8,22.7,100,108,2480,14.2,0.53,0.204,0.326,6.2,13.4,9.7,15.3,1.9,1.9,17.9,22.2,0.7,2.2,2.9,0.056,-0.5,-0.2,-0.7,0.8,82.0,19930.0,2989.0,6696.0,0.446,474.0,1339.0,0.354,2515.0,5357.0,0.469,1517.0,2074.0,0.731,1092.0,2242.0,3334.0,1662.0,733.0,441.0,1311.0,1964.0,7969.0,82.0,19930.0,2975.0,6445.0,0.462,480.0,1345.0,0.357,2495.0,5100.0,0.489,1732.0,2312.0,0.749,1051.0,2450.0,3501.0,1654.0,737.0,419.0,1369.0,1860.0,8162.0,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,91.3,0.31,0.2,0.482,14.7,30.8,0.227,0.499,15.5,68.1,0.269,Los Angeles Memorial Sports Arena,232895,81,30.6,-0.22,-0.53,-0.75,3.92,4927,2565,-0.549798977,-0.428777302,-0.978576279,2.335405368,2.201483249,0.133922119,-0.430321264,-0.289151626,-0.71947289,0.392984767,81,35,46,30.5,106.7,3.4,11.6,19.4,1.1,18.8,0.8,23.6,11.6,8.9,8.4,27.7,0.064,0
4,1997-98,1998,Rodney Rogers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,LAC,NBA,SF,76,70,32.9,5.6,12.3,0.456,0.9,2.8,0.34,4.7,9.5,0.49,0.494,3.0,4.3,0.686,2.0,3.5,5.6,2.7,1.2,0.5,2.5,3.2,15.1,2499,8.9,19.4,0.456,1.5,4.4,0.34,7.4,15.0,0.49,4.7,6.8,0.686,3.2,5.6,8.8,4.2,1.9,0.8,4.0,5.0,23.9,104,111,2499,15.8,0.532,0.227,0.351,7.0,12.4,9.7,14.2,1.9,1.0,15.2,22.6,2.6,0.7,3.3,0.063,0.6,-1.5,-0.9,0.7,82.0,19780.0,2930.0,6690.0,0.438,525.0,1468.0,0.358,2405.0,5222.0,0.461,1480.0,2047.0,0.723,1040.0,2276.0,3316.0,1533.0,625.0,456.0,1323.0,1827.0,7865.0,82.0,19780.0,3236.0,6832.0,0.474,334.0,923.0,0.362,2902.0,5909.0,0.491,1663.0,2267.0,0.734,1169.0,2469.0,3638.0,1826.0,726.0,412.0,1158.0,1747.0,8469.0,17,65,21,61,-7.37,-0.16,-7.53,103.3,111.2,92.4,0.306,0.219,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,254840,76,32.9,1.2,-5.93,-4.73,-3.14,4866,2499,0.770149879,-1.031601001,-0.261451122,3.181727703,3.181727703,0.0,0.805945794,-0.676868742,0.129077052,0.254908441,76,17,59,32.9,112.8,3.5,11.2,19.7,1.2,23.8,0.5,15.0,12.7,11.5,10.4,33.6,-0.013,0
5,1998-99,1999,Rodney Rogers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,LAC,NBA,SF,47,7,20.6,2.8,6.3,0.441,0.4,1.3,0.286,2.4,5.0,0.483,0.471,1.4,2.1,0.673,1.4,2.4,3.8,1.6,1.0,0.5,1.4,3.0,7.4,968,7.3,16.5,0.441,1.0,3.5,0.286,6.3,13.0,0.483,3.8,5.6,0.673,3.6,6.3,9.9,4.3,2.6,1.2,3.7,7.8,19.3,102,108,968,14.7,0.51,0.212,0.34,7.5,14.8,10.9,13.9,2.6,1.7,16.2,19.1,0.9,0.3,1.2,0.062,-0.5,-0.1,-0.6,0.3,50.0,12125.0,1711.0,4007.0,0.427,214.0,668.0,0.32,1497.0,3339.0,0.448,883.0,1225.0,0.721,665.0,1293.0,1958.0,820.0,424.0,236.0,796.0,1223.0,4519.0,50.0,12125.0,1830.0,3858.0,0.474,222.0,627.0,0.354,1608.0,3231.0,0.498,1078.0,1445.0,0.746,640.0,1506.0,2146.0,1101.0,419.0,289.0,782.0,1042.0,4960.0,9,41,11,39,-8.82,-0.12,-8.94,100.0,109.7,89.5,0.306,0.167,0.454,14.9,30.6,0.22,0.503,14.8,66.9,0.279,Los Angeles Memorial Sports Arena,256568,47,20.6,0.05,-0.52,-0.47,1.81,1826,968,0.576355961,-0.374401141,0.20195482,1.472369034,1.472369034,0.0,0.385127264,-0.028921547,0.356205717,0.893647518,47,8,39,20.6,106.4,2.4,12.9,22.6,1.0,27.0,0.5,28.6,8.0,6.3,6.5,18.2,0.014,0
6,1999-00,2000,Rodney Rogers,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,28,PHO,NBA,PF,82,7,27.9,5.2,10.7,0.486,1.4,3.2,0.439,3.8,7.5,0.506,0.551,1.9,3.0,0.639,1.7,3.8,5.5,2.1,1.1,0.6,2.0,3.5,13.8,2286,9.6,19.7,0.486,2.6,5.9,0.439,7.0,13.8,0.506,3.6,5.6,0.639,3.1,6.9,10.0,3.8,2.1,1.0,3.6,6.5,25.2,107,99,2286,17.1,0.57,0.297,0.283,6.9,14.8,10.9,12.5,2.1,1.5,14.1,22.2,3.4,3.9,7.4,0.154,1.5,1.1,2.6,2.7,82.0,19805.0,3093.0,6771.0,0.457,458.0,1246.0,0.368,2635.0,5525.0,0.477,1467.0,1934.0,0.759,1022.0,2558.0,3580.0,2098.0,744.0,433.0,1368.0,1973.0,8111.0,82.0,19805.0,2825.0,6665.0,0.424,403.0,1146.0,0.352,2422.0,5519.0,0.439,1630.0,2205.0,0.739,1071.0,2465.0,3536.0,1700.0,733.0,427.0,1422.0,1794.0,7683.0,53,29,56,26,5.22,0.02,5.24,104.6,99.0,94.0,0.286,0.184,0.491,15.2,29.3,0.217,0.454,15.7,70.5,0.245,America West Arena,773115,82,27.9,2.04,3.4,5.44,12.47,5030,2549,1.008243173,1.364320114,2.372563288,6.734445535,5.879398211,0.855047325,1.424587244,1.448780267,2.873367512,0.576631661,82,53,29,27.9,94.3,3.8,12.8,21.0,1.1,21.7,0.6,19.1,10.0,8.1,6.3,19.8,0.145,0
7,2000-01,2001,Rodney Rogers,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,29,PHO,NBA,SF,82,3,26.6,4.6,10.7,0.43,0.7,2.3,0.296,3.9,8.4,0.467,0.462,2.3,3.0,0.761,1.1,3.2,4.4,2.2,1.2,0.6,1.9,3.3,12.2,2183,8.9,20.7,0.43,1.3,4.5,0.296,7.6,16.2,0.467,4.4,5.8,0.761,2.2,6.3,8.5,4.3,2.3,1.1,3.7,6.4,23.6,98,98,2183,14.6,0.507,0.216,0.282,4.8,14.0,9.3,14.5,2.3,1.6,13.8,23.3,1.0,3.7,4.7,0.104,-0.7,1.3,0.6,1.4,82.0,19805.0,2944.0,6757.0,0.436,332.0,1054.0,0.315,2612.0,5703.0,0.458,1490.0,1973.0,0.755,970.0,2529.0,3499.0,1905.0,775.0,429.0,1250.0,1864.0,7710.0,82.0,19805.0,2792.0,6422.0,0.435,327.0,937.0,0.349,2465.0,5485.0,0.449,1618.0,2127.0,0.761,902.0,2588.0,3490.0,1652.0,682.0,416.0,1433.0,1819.0,7529.0,51,31,48,34,2.21,0.42,2.63,100.3,98.0,93.1,0.292,0.156,0.46,14.1,27.3,0.221,0.46,16.3,73.7,0.252,America West Arena,737586,82,26.6,0.34,0.72,1.06,5.79,4449,2265,-0.863913335,1.033188955,0.16927562,3.401945224,3.598313746,-0.196368523,-0.712072374,1.087188034,0.37511566,0.793388269,82,51,31,26.6,97.0,3.2,12.6,19.6,1.2,22.6,0.6,22.8,9.6,7.0,7.5,20.1,0.109,0
8,2001-02,2002,Rodney Rogers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,PHO,NBA,SF,50,7,25.1,5.0,10.7,0.466,1.0,2.8,0.35,4.0,7.9,0.508,0.512,1.6,2.0,0.828,1.9,2.9,4.8,1.4,1.0,0.3,1.3,3.0,12.6,1254,10.4,22.4,0.466,2.1,5.9,0.35,8.4,16.5,0.508,3.4,4.1,0.828,4.0,6.1,10.1,3.0,2.1,0.7,2.8,6.2,26.3,110,104,1254,17.8,0.545,0.262,0.185,8.4,13.3,10.8,9.9,2.1,1.0,10.3,23.0,2.3,1.4,3.7,0.142,1.6,0.1,1.7,1.2,82.0,19830.0,3097.0,6934.0,0.447,358.0,1096.0,0.327,2739.0,5838.0,0.469,1250.0,1630.0,0.767,1072.0,2430.0,3502.0,1838.0,668.0,401.0,1205.0,1785.0,7802.0,82.0,19830.0,2957.0,6663.0,0.444,433.0,1208.0,0.358,2524.0,5455.0,0.463,1511.0,2013.0,0.751,1030.0,2493.0,3523.0,1821.0,685.0,475.0,1265.0,1521.0,7858.0,36,46,39,43,-0.68,0.39,-0.3,103.3,104.0,91.4,0.235,0.158,0.472,13.6,30.1,0.18,0.476,14.4,70.2,0.227,America West Arena,668939,77,24.4,2.09,0.17,2.26,6.19,4381,2274,2.271698561,-0.747166058,1.524532504,5.082749103,3.553142506,1.529606597,2.071841469,-0.610408296,1.461433173,1.317724595,77,42,35,24.4,99.8,2.8,11.6,18.7,0.9,18.0,0.4,18.5,7.8,7.3,5.9,17.6,0.091,0
9,2001-02,2002,Rodney Rogers,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,BOS,NBA,SF,27,1,23.2,4.0,8.2,0.482,1.4,3.5,0.411,2.5,4.7,0.535,0.57,1.3,1.9,0.7,1.3,2.7,4.0,1.5,0.6,0.4,1.6,2.9,10.7,626,8.9,18.4,0.482,3.2,7.9,0.411,5.6,10.5,0.535,2.9,4.1,0.7,2.8,6.1,8.9,3.3,1.3,1.0,3.5,6.5,23.9,108,103,626,15.4,0.59,0.428,0.225,5.8,13.1,9.4,11.7,1.3,1.5,14.7,20.8,0.9,0.8,1.7,0.128,0.8,-0.4,0.4,0.4,82.0,19830.0,2852.0,6731.0,0.424,699.0,1946.0,0.359,2153.0,4785.0,0.45,1498.0,1960.0,0.764,891.0,2570.0,3461.0,1722.0,793.0,292.0,1114.0,1776.0,7901.0,82.0,19830.0,2797.0,6579.0,0.425,514.0,1511.0,0.34,2283.0,5068.0,0.45,1612.0,2091.0,0.771,954.0,2807.0,3761.0,1802.0,623.0,476.0,1335.0,1734.0,7720.0,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,92.5,0.291,0.289,0.476,12.8,24.1,0.223,0.464,15.1,72.9,0.245,FleetCenter,659751,77,24.4,2.09,0.17,2.26,6.19,4381,2274,2.271698561,-0.747166058,1.524532504,5.082749103,3.553142506,1.529606597,2.071841469,-0.610408296,1.461433173,1.317724595,77,42,35,24.4,99.8,2.8,11.6,18.7,0.9,18.0,0.4,18.5,7.8,7.3,5.9,17.6,0.091,0
