,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2015-16,2016,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,LAL,NBA,PG,80,48,28.2,4.9,12.0,0.41,1.6,4.6,0.351,3.3,7.3,0.447,0.478,1.8,2.4,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2,2259,8.7,21.3,0.41,2.9,8.2,0.351,5.8,13.0,0.447,3.1,4.2,0.737,1.0,5.0,6.1,5.9,2.1,0.3,4.4,3.2,23.4,96,112,2259,13.2,0.507,0.387,0.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,-0.7,0.7,0.0,0.001,-0.7,-1.6,-2.3,-0.1,82.0,19730,2880,6956,0.414,639,2016,0.317,2241,4940,0.454,1583,2028,0.781,878,2645,3523,1478,593,337,1124,1662,7982,82.0,19730,3323,7023,0.473,700,2016,0.347,2623,5007,0.524,1420,1942,0.731,897,2915,3812,2022,617,458,1037,1573,8766,17,65,17,65,-9.56,0.64,-8.92,101.6,111.6,95.6,0.292,0.29,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,STAPLES Center,778877,80,28.2,-0.91,-1.82,-2.72,-0.65,4573,2259,-1.670622822,-1.78874899,-3.459371813,-0.817872468,-0.817872468,0.0,-1.444717148,-1.704051404,-3.148768552,0.034873448,80,17,63,28.2,110.1,2.8,10.1,15.2,1.2,27.3,0.2,6.6,10.3,8.4,10.9,28.6,0.034,-2.08
1,2016-17,2017,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,LAL,NBA,PG,63,60,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,3.0,0.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6,1811,9.4,23.3,0.405,3.6,10.3,0.352,5.8,13.0,0.447,4.0,5.1,0.782,0.8,5.1,5.9,8.2,2.3,0.4,4.7,3.5,26.5,101,113,1811,15.3,0.518,0.443,0.217,1.8,11.9,6.7,26.8,2.3,0.7,15.6,26.6,0.3,1.0,1.3,0.033,0.7,-1.5,-0.8,0.6,82.0,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,674,320,1243,1698,8575,82.0,19705,3405,7053,0.483,830,2245,0.37,2575,4808,0.536,1499,1966,0.762,843,2801,3644,2110,698,440,1188,1520,9139,26,56,24,58,-6.88,0.58,-6.29,106.0,113.0,98.5,0.259,0.295,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213,STAPLES Center,776917,63,28.7,1.65,-2.9,-1.26,0.78,3782,1811,-0.284344663,-2.539738946,-2.824083609,-0.06933644,-0.06933644,0.0,0.086502556,-2.059732461,-1.973229905,1.268558647,63,21,42,28.7,114.3,3.0,10.8,15.9,1.4,31.1,0.3,10.5,9.9,8.1,10.3,29.5,0.022,-1.18
2,2017-18,2018,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,BRK,NBA,PG,48,35,25.7,5.8,14.0,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2.0,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5,1234,10.9,26.4,0.414,3.5,10.9,0.324,7.4,15.5,0.477,3.8,5.2,0.74,1.2,6.3,7.4,9.8,1.4,0.7,5.8,3.7,29.2,98,111,1234,15.2,0.509,0.414,0.195,2.6,13.8,8.1,35.7,1.4,1.0,16.8,30.8,-0.5,0.9,0.4,0.014,0.8,-2.0,-1.2,0.3,82.0,19855,3136,7114,0.441,1041,2924,0.356,2095,4190,0.5,1428,1850,0.772,792,2852,3644,1941,512,390,1245,1688,8741,82.0,19855,3418,7334,0.466,741,2010,0.369,2677,5324,0.503,1471,1921,0.766,853,2981,3834,1782,630,450,1015,1615,9048,28,54,31,51,-3.74,0.07,-3.67,106.9,110.6,98.9,0.26,0.411,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,Barclays Center,640010,48,25.7,2.73,-4.35,-1.62,-0.12,2649,1234,-0.581879537,-3.528933665,-4.110813202,-0.869890198,-0.869890198,0.0,-0.073175953,-3.569966783,-3.643142736,1.521397825,48,16,32,25.7,112.4,3.3,12.2,18.6,0.8,20.3,0.4,11.8,9.9,8.2,7.5,28.5,0.033,-1.38
3,2018-19,2019,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,BRK,NBA,PG,81,81,30.2,8.1,18.7,0.434,2.9,7.8,0.369,5.2,10.9,0.482,0.512,2.0,2.5,0.78,0.7,3.2,3.9,7.0,1.2,0.2,3.1,1.7,21.1,2448,12.8,29.5,0.434,4.5,12.3,0.369,8.3,17.1,0.482,3.1,4.0,0.78,1.0,5.1,6.1,10.9,1.9,0.4,4.9,2.7,33.3,107,110,2448,19.4,0.533,0.419,0.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,2.4,2.6,5.0,0.097,4.0,-0.6,3.4,3.4,82.0,19980,3301,7358,0.449,1047,2965,0.353,2254,4393,0.513,1555,2088,0.745,900,2919,3819,1954,539,339,1236,1763,9204,82.0,19980,3460,7581,0.456,848,2486,0.341,2612,5095,0.513,1442,1872,0.77,902,2889,3791,1944,638,432,1104,1807,9210,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,100.8,0.284,0.403,0.52,13.0,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597,81,30.2,4.62,-2.2,2.42,6.9,5545,2596,2.391975114,-0.908027662,1.483947452,5.652608958,6.180959451,-0.528350494,2.786389275,-1.031433598,1.754955677,0.872389499,81,42,39,30.2,107.9,3.2,9.9,14.8,1.2,28.2,0.2,9.0,11.1,9.9,7.7,32.7,0.096,-0.23
4,2019-20,2020,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,GSW,NBA,PG,33,33,32.1,8.3,19.2,0.43,3.6,9.7,0.374,4.6,9.5,0.487,0.524,3.4,4.4,0.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6,1060,12.3,28.7,0.43,5.4,14.5,0.374,6.9,14.2,0.487,5.1,6.5,0.785,0.6,4.9,5.5,9.3,1.4,0.4,4.6,2.9,35.2,106,116,1060,19.1,0.558,0.506,0.227,1.4,11.4,6.2,36.0,1.4,0.8,12.6,32.2,0.9,0.4,1.3,0.058,4.5,-1.9,2.6,1.2,65.0,15725,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,1214,1511,0.803,647,2138,2785,1663,534,299,969,1304,6912,65.0,15725,2743,5760,0.476,879,2261,0.389,1864,3499,0.533,1113,1422,0.783,661,2359,3020,1698,536,321,1016,1308,7478,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,100.3,0.264,0.355,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,Chase Center,614176,45,32.3,3.62,-2.25,1.37,3.78,3169,1452,3.021882855,-3.724103668,-0.702220813,1.538416787,1.538416787,0.0,3.296387537,-3.148445767,0.14794177,1.673350306,45,11,34,32.3,114.3,3.6,10.7,16.0,1.1,18.5,0.3,9.0,11.9,10.6,10.5,35.0,0.043,-1.85
5,2019-20,2020,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIN,NBA,PG,12,12,32.7,7.3,17.6,0.412,3.2,9.2,0.345,4.1,8.4,0.485,0.502,4.0,4.6,0.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7,392,10.3,25.0,0.412,4.5,13.0,0.345,5.8,12.0,0.485,5.7,6.5,0.873,0.4,6.2,6.5,9.4,2.0,0.5,5.4,2.6,30.8,105,113,392,17.6,0.553,0.521,0.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,0.2,0.3,0.5,0.064,1.8,-1.7,0.1,0.2,64.0,15560,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,1223,1624,0.753,675,2193,2868,1525,555,362,981,1370,7248,64.0,15560,2760,5786,0.477,740,2040,0.363,2020,3746,0.539,1263,1613,0.783,647,2383,3030,1560,499,355,992,1383,7523,19,45,24,40,-4.3,0.28,-4.02,108.1,112.2,103.4,0.277,0.433,0.514,13.0,22.1,0.209,0.541,13.2,77.2,0.218,Target Center,482112,45,32.3,3.62,-2.25,1.37,3.78,3169,1452,3.021882855,-3.724103668,-0.702220813,1.538416787,1.538416787,0.0,3.296387537,-3.148445767,0.14794177,1.673350306,45,11,34,32.3,114.3,3.6,10.7,16.0,1.1,18.5,0.3,9.0,11.9,10.6,10.5,35.0,0.043,-1.85
6,2020-21,2021,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MIN,NBA,PG,42,26,28.5,6.7,15.5,0.431,2.9,7.4,0.387,3.8,8.1,0.471,0.523,2.7,3.5,0.765,0.4,2.3,2.6,5.8,1.1,0.4,2.7,1.6,19.0,1196,11.1,25.7,0.431,4.7,12.2,0.387,6.4,13.5,0.471,4.5,5.9,0.765,0.6,3.8,4.4,9.6,1.8,0.7,4.4,2.7,31.4,108,117,1196,17.6,0.555,0.475,0.229,1.4,8.9,5.0,33.6,1.8,1.3,13.5,29.1,1.0,0.6,1.6,0.063,3.3,-1.7,1.6,1.1,72.0,17405,2932,6546,0.448,944,2706,0.349,1988,3840,0.518,1265,1662,0.761,757,2376,3133,1846,632,398,1027,1507,8073,72.0,17405,3098,6426,0.482,945,2412,0.392,2153,4014,0.536,1332,1695,0.786,718,2579,3297,1932,550,398,1102,1432,8473,23,49,24,48,-5.56,0.31,-5.25,109.5,115.0,101.6,0.254,0.413,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,Target Center,15774,42,28.5,2.58,-1.6,0.98,3.56,2596,1196,1.939902071260658,-3.179593059770091,-1.239690988509434,0.9334531492312096,0.9334531492312096,0.0,2.519918465672329,-2.399729273566572,0.120189192105757,1.299887354433301,42,16,26,28.5,116.8,2.3,7.7,11.8,1.1,23.1,0.4,13.2,11.0,8.9,8.0,30.3,0.033,-2.4
7,2021-22,2022,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,MIN,NBA,PG,65,65,32.0,6.2,15.0,0.411,2.7,8.0,0.34,3.5,7.0,0.492,0.502,3.0,3.7,0.825,0.4,2.9,3.3,7.1,1.0,0.3,2.5,2.0,18.1,2077,9.2,22.3,0.411,4.0,11.9,0.34,5.2,10.5,0.492,4.5,5.5,0.825,0.6,4.4,4.9,10.5,1.4,0.5,3.8,3.0,26.9,112,115,2077,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.1,1.4,1.0,13.2,25.1,2.9,1.5,4.4,0.101,2.2,-1.5,0.8,1.4,82.0,19780,3411,7458,0.457,1211,3386,0.358,2200,4072,0.54,1474,1894,0.778,921,2700,3621,2106,721,460,1175,1786,9507,82.0,19780,3298,7163,0.46,1071,3062,0.35,2227,4101,0.543,1624,2081,0.78,904,2858,3762,2149,593,397,1339,1715,9291,46,36,48,34,2.63,-0.1,2.53,114.3,111.7,100.9,0.254,0.454,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,Target Center,657148,65,32.0,2.74,2.0,4.74,12.74,4849,2273,2.345835439237744,-0.7901475050506772,1.555687934187066,5.037722240296788,4.814568927559065,0.2231533127377239,2.872717600535582,-0.2441627743253931,2.628554826210189,0.7249066885228692,65,39,26,31.9,109.8,2.9,8.9,13.6,1.0,16.7,0.3,9.2,10.8,9.4,10.0,32.2,0.099,-1.64
8,2022-23,2023,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MIN,NBA,PG,54,54,32.9,6.3,13.5,0.465,2.7,7.0,0.391,3.5,6.4,0.546,0.567,2.6,3.1,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9,1778,9.0,19.4,0.465,4.0,10.1,0.391,5.1,9.3,0.546,3.8,4.5,0.856,0.7,3.7,4.4,8.9,1.6,0.6,3.9,3.1,25.8,115,116,1778,16.1,0.604,0.521,0.23,1.8,8.5,5.2,27.0,1.6,1.0,15.5,22.8,2.3,1.5,3.8,0.103,1.9,-0.7,1.2,1.4,82.0,19830,3515,7167,0.49,997,2731,0.365,2518,4436,0.568,1467,1942,0.755,749,2686,3435,2145,657,444,1258,1768,9494,82.0,19830,3428,7277,0.471,1007,2728,0.369,2421,4549,0.532,1634,2133,0.766,928,2734,3662,2051,674,336,1262,1654,9497,42,40,41,41,-0.04,-0.18,-0.22,113.7,113.8,101.0,0.271,0.381,0.56,13.6,21.5,0.205,0.54,13.3,74.3,0.225,Target Center,687510,71,32.5,1.13,2.81,3.94,11.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,39,32,32.5,112.1,2.5,7.5,11.5,1.0,19.9,0.4,11.3,12.3,9.6,9.1,34.3,0.102,-0.49
9,2022-23,2023,D'Angelo Russell,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,LAL,NBA,PG,17,17,30.9,6.3,13.0,0.484,2.7,6.5,0.414,3.6,6.5,0.555,0.588,2.1,2.9,0.735,0.4,2.5,2.9,6.1,0.6,0.5,2.3,1.4,17.4,526,9.6,19.9,0.484,4.1,10.0,0.414,5.5,9.9,0.555,3.2,4.4,0.735,0.6,3.9,4.5,9.3,0.9,0.7,3.5,2.1,26.7,118,117,526,17.1,0.61,0.502,0.222,1.5,8.5,5.1,28.8,0.9,1.3,13.9,22.6,0.9,0.4,1.3,0.118,3.1,-0.7,2.4,0.6,82.0,19880,3516,7298,0.482,885,2558,0.346,2631,4740,0.555,1691,2182,0.775,818,2930,3748,2072,526,378,1154,1466,9608,82.0,19880,3607,7698,0.469,1028,2991,0.344,2579,4707,0.548,1319,1706,0.773,908,2770,3678,2104,624,416,1035,1760,9561,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,101.3,0.299,0.351,0.542,12.3,22.8,0.232,0.535,10.9,76.3,0.171,Crypto.com Arena,763168,71,32.5,1.13,2.81,3.94,11.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,39,32,32.5,112.1,2.5,7.5,11.5,1.0,19.9,0.4,11.3,12.3,9.6,9.1,34.3,0.102,-0.49
