,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2002-03,2003,John Salmons,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,PHI,NBA,PG,64,1,7.9,0.8,1.8,0.414,0.2,0.5,0.323,0.6,1.3,0.447,0.457,0.4,0.5,0.743,0.3,0.7,0.9,0.7,0.3,0.1,0.5,0.8,2.1,504,5.0,12.1,0.414,1.0,3.2,0.323,4.0,8.9,0.447,2.7,3.6,0.743,1.7,4.5,6.1,4.9,1.8,0.6,3.0,5.5,13.7,99,105,504,9.5,0.502,0.267,0.302,3.7,10.2,6.9,14.3,1.8,0.9,18.1,14.3,0.2,0.4,0.6,0.058,-1.9,0.6,-1.3,0.1,82.0,19855.0,2975.0,6640.0,0.448,245.0,787.0,0.311,2730.0,5853.0,0.466,1746.0,2253.0,0.775,1042.0,2415.0,3457.0,1771.0,844.0,284.0,1212.0,1804.0,7941.0,82.0,19855.0,2876.0,6363.0,0.452,453.0,1278.0,0.354,2423.0,5085.0,0.476,1547.0,2035.0,0.76,908.0,2400.0,3308.0,1809.0,639.0,521.0,1405.0,1885.0,7752.0,48,34,48,34,2.3,-0.55,1.76,105.0,102.5,91.4,0.339,0.119,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,First Union Center,807097,64,7.9,-1.15,-0.5,-1.64,0.48,1000,520,-1.885128225,-0.49922658,-2.384354805,0.085674772,0.21257007,-0.126895298,-2.37086996,-1.678693981,-4.049563941,0.337794649,64,37,27,7.7,95.6,0.7,9.1,13.4,0.3,15.5,0.1,16.2,3.2,2.0,2.3,5.6,0.039,0.0
1,2003-04,2004,John Salmons,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,PHI,NBA,SG,77,24,20.8,2.1,5.4,0.387,0.6,1.9,0.34,1.4,3.5,0.413,0.447,0.9,1.2,0.772,0.5,2.1,2.5,1.7,0.8,0.2,1.0,1.6,5.8,1603,5.5,14.2,0.387,1.7,5.0,0.34,3.8,9.1,0.413,2.4,3.1,0.772,1.3,5.4,6.7,4.6,2.1,0.5,2.6,4.1,15.1,98,103,1603,10.6,0.485,0.353,0.221,2.8,11.5,7.2,14.5,2.1,0.8,14.4,15.6,0.4,1.7,2.1,0.064,-1.7,0.9,-0.8,0.5,82.0,19855.0,2682.0,6260.0,0.428,339.0,992.0,0.342,2343.0,5268.0,0.445,1512.0,2009.0,0.753,941.0,2408.0,3349.0,1640.0,654.0,358.0,1307.0,1701.0,7215.0,82.0,19855.0,2751.0,6369.0,0.432,443.0,1329.0,0.333,2308.0,5040.0,0.458,1474.0,1982.0,0.744,996.0,2398.0,3394.0,1747.0,678.0,463.0,1245.0,1757.0,7419.0,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,88.0,0.321,0.158,0.456,15.5,28.2,0.242,0.467,14.7,70.7,0.231,Wachovia Center,788128,77,20.8,-1.87,0.11,-1.76,1.71,2973,1603,-0.909288084,-0.124621178,-1.033909262,1.405079421,1.405079421,0.0,-1.19625261,-0.432440263,-1.628692873,0.102231797,77,32,45,20.6,97.5,2.1,10.3,16.4,0.8,24.6,0.2,10.7,6.7,5.5,4.7,15.2,0.081,0.0
2,2004-05,2005,John Salmons,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,25,PHI,NBA,SG,58,8,17.1,1.5,3.6,0.405,0.5,1.6,0.341,0.9,2.1,0.454,0.479,0.6,0.8,0.729,0.2,1.9,2.1,2.0,0.7,0.2,0.9,1.6,4.1,993,4.3,10.7,0.405,1.6,4.6,0.341,2.7,6.1,0.454,1.8,2.4,0.729,0.6,5.5,6.2,5.8,2.0,0.7,2.6,4.7,12.0,100,105,993,9.7,0.511,0.433,0.229,1.3,12.5,6.9,17.5,2.0,1.0,18.1,12.6,0.2,1.2,1.4,0.066,-2.5,1.6,-0.9,0.2,82.0,19855.0,2946.0,6736.0,0.437,505.0,1453.0,0.348,2441.0,5283.0,0.462,1731.0,2194.0,0.789,909.0,2536.0,3445.0,1710.0,756.0,321.0,1274.0,1878.0,8128.0,82.0,19855.0,2930.0,6618.0,0.443,565.0,1560.0,0.362,2365.0,5058.0,0.468,1764.0,2299.0,0.767,952.0,2663.0,3615.0,1878.0,681.0,383.0,1394.0,1929.0,8189.0,43,39,39,43,-0.74,-0.33,-1.07,103.5,104.3,94.9,0.326,0.216,0.475,14.2,25.4,0.257,0.485,15.4,72.7,0.267,Wachovia Center,732686,58,17.1,-1.82,1.27,-0.55,1.81,1993,997,-1.762559965,0.889355908,-0.873204056,0.95642857,0.952750346,0.003678225,-2.178145053,0.184641948,-1.993503106,0.161885478,58,30,28,17.0,99.5,1.9,10.9,17.0,0.7,22.1,0.2,19.1,5.7,4.3,3.6,10.9,0.071,0.0
3,2005-06,2006,John Salmons,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,PHI,NBA,SG,82,24,25.1,2.7,6.4,0.42,0.3,1.1,0.299,2.4,5.3,0.445,0.445,1.9,2.4,0.775,0.6,2.1,2.7,2.7,0.9,0.2,1.5,2.2,7.5,2059,5.5,13.1,0.42,0.7,2.2,0.299,4.9,10.9,0.445,3.9,5.0,0.775,1.2,4.3,5.5,5.6,1.8,0.3,3.1,4.5,15.6,100,110,2059,10.7,0.508,0.167,0.384,2.7,9.8,6.3,16.7,1.8,0.5,17.0,16.3,0.5,1.2,1.7,0.04,-2.3,-0.3,-2.7,-0.3,82.0,19905.0,3001.0,6546.0,0.458,375.0,1031.0,0.364,2626.0,5515.0,0.476,1770.0,2330.0,0.76,873.0,2425.0,3298.0,1653.0,651.0,404.0,1159.0,1712.0,8147.0,82.0,19905.0,3100.0,6699.0,0.463,498.0,1420.0,0.351,2602.0,5279.0,0.493,1609.0,2111.0,0.762,974.0,2533.0,3507.0,1882.0,630.0,386.0,1269.0,1898.0,8307.0,38,44,35,47,-1.95,-0.15,-2.1,106.0,108.1,92.7,0.356,0.158,0.487,13.3,25.6,0.27,0.5,14.3,71.3,0.24,Wachovia Center,677278,82,25.1,-1.36,-2.47,-3.82,-1.29,4022,2059,-1.276983548,-1.763997521,-3.040981069,-0.305558004,-0.305558004,0.0,-1.57064877,-1.792029713,-3.362678483,-0.035411646,82,38,44,25.1,106.2,2.1,8.7,14.0,0.9,21.1,0.2,6.2,8.4,7.3,7.2,21.0,0.056,0.0
4,2006-07,2007,John Salmons,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,SAC,NBA,SG,79,19,27.0,3.0,6.5,0.456,0.5,1.4,0.357,2.5,5.1,0.484,0.495,2.0,2.6,0.779,0.6,2.7,3.3,3.2,0.9,0.3,1.5,2.2,8.5,2135,5.6,12.3,0.456,0.9,2.7,0.357,4.6,9.6,0.484,3.8,4.8,0.779,1.1,5.1,6.3,6.0,1.7,0.6,2.8,4.2,15.9,108,109,2135,12.7,0.553,0.217,0.395,2.5,12.2,7.3,18.8,1.7,1.0,16.4,15.3,2.0,1.6,3.6,0.081,-0.9,0.4,-0.5,0.8,82.0,19805.0,2941.0,6532.0,0.45,530.0,1513.0,0.35,2411.0,5019.0,0.48,1891.0,2473.0,0.765,797.0,2396.0,3193.0,1665.0,671.0,265.0,1194.0,1792.0,8303.0,82.0,19805.0,3147.0,6671.0,0.472,557.0,1524.0,0.365,2590.0,5147.0,0.503,1600.0,2115.0,0.757,907.0,2648.0,3555.0,1840.0,572.0,405.0,1335.0,1990.0,8451.0,33,49,36,46,-1.8,0.46,-1.35,106.2,108.0,94.8,0.379,0.232,0.491,13.5,23.1,0.289,0.513,14.9,72.5,0.24,ARCO Arena (II),709997,79,27.0,-1.08,-0.76,-1.84,1.91,4265,2135,0.016004575,-0.90366659,-0.887662015,2.024934943,2.024934943,0.0,-0.441259467,-0.88777399,-1.329033457,-0.168186628,79,32,47,27.0,106.7,2.7,10.4,17.0,0.9,21.2,0.3,18.8,9.0,7.9,7.1,22.9,0.058,0.0
5,2007-08,2008,John Salmons,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,SAC,NBA,SG,81,41,31.1,4.7,9.9,0.477,0.5,1.5,0.325,4.2,8.4,0.504,0.501,2.6,3.2,0.823,0.9,3.4,4.3,2.6,1.1,0.4,2.1,2.1,12.5,2517,7.7,16.1,0.477,0.8,2.4,0.325,6.9,13.7,0.504,4.3,5.2,0.823,1.5,5.5,7.0,4.2,1.9,0.6,3.4,3.4,20.4,106,110,2517,13.9,0.556,0.15,0.325,3.6,12.6,8.2,13.4,1.9,1.0,15.7,19.2,2.0,1.7,3.7,0.071,-0.3,-0.3,-0.6,0.9,82.0,19830.0,3043.0,6558.0,0.464,510.0,1367.0,0.373,2533.0,5191.0,0.488,1812.0,2272.0,0.798,829.0,2456.0,3285.0,1567.0,651.0,334.0,1317.0,1839.0,8408.0,82.0,19830.0,3137.0,6732.0,0.466,597.0,1600.0,0.373,2540.0,5132.0,0.495,1722.0,2287.0,0.753,970.0,2465.0,3435.0,1878.0,661.0,452.0,1250.0,1892.0,8593.0,38,44,35,47,-2.26,0.4,-1.86,107.5,109.9,94.7,0.346,0.208,0.503,14.8,25.2,0.276,0.51,13.9,71.7,0.256,ARCO Arena (II),580181,81,31.1,-0.95,-1.77,-2.71,0.06,5023,2517,-0.732618837,-1.119138164,-1.851757001,1.151255454,1.151255454,0.0,-0.84427833,-1.093800726,-1.938079057,-0.182022479,81,37,44,31.1,108.6,3.4,11.1,17.8,1.1,23.0,0.4,14.5,12.6,9.0,8.4,26.9,0.058,0.0
6,2008-09,2009,John Salmons,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,SAC,NBA,SF,53,53,37.4,6.6,14.0,0.472,1.5,3.5,0.418,5.2,10.6,0.489,0.524,3.6,4.4,0.823,0.8,3.4,4.2,3.7,1.1,0.2,2.3,2.3,18.3,1980,9.0,19.1,0.472,2.0,4.7,0.418,7.0,14.4,0.489,4.9,6.0,0.823,1.1,4.6,5.7,5.0,1.5,0.2,3.1,3.1,25.0,111,116,1980,16.0,0.573,0.247,0.312,2.5,10.6,6.5,17.3,1.5,0.3,12.6,21.9,2.9,0.1,3.0,0.072,1.5,-1.7,-0.2,0.9,82.0,19905.0,2990.0,6685.0,0.447,586.0,1594.0,0.368,2404.0,5091.0,0.472,1682.0,2107.0,0.798,840.0,2366.0,3206.0,1619.0,569.0,349.0,1266.0,1910.0,8248.0,82.0,19905.0,3281.0,6792.0,0.483,580.0,1430.0,0.406,2701.0,5362.0,0.504,1824.0,2412.0,0.756,1018.0,2592.0,3610.0,1796.0,704.0,423.0,1178.0,1737.0,8966.0,17,65,19,63,-8.76,0.16,-8.6,105.5,114.7,94.2,0.315,0.238,0.491,14.3,24.5,0.252,0.526,13.0,69.9,0.269,ARCO Arena (II),520169,79,37.5,1.13,-2.66,-1.53,2.72,6462,3272,0.812063852,-2.903098957,-2.091035105,1.127963782,0.677234918,0.450728864,0.793751656,-2.408224343,-1.614472687,0.495408431,79,27,52,37.5,113.5,3.5,9.8,15.6,1.1,20.3,0.3,9.3,13.4,11.0,10.5,34.4,0.023,0.0
7,2008-09,2009,John Salmons,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,CHI,NBA,SF,26,21,37.7,6.3,13.4,0.473,1.9,4.5,0.415,4.5,8.9,0.502,0.543,3.7,4.4,0.843,0.6,3.7,4.3,2.0,1.0,0.6,1.7,2.3,18.3,979,8.7,18.4,0.473,2.6,6.2,0.415,6.1,12.2,0.502,5.1,6.1,0.843,0.8,5.1,5.9,2.8,1.3,0.8,2.3,3.2,25.1,117,111,979,16.0,0.596,0.338,0.33,1.9,11.2,6.6,8.8,1.3,1.1,9.7,20.2,1.9,0.7,2.6,0.127,1.8,-0.5,1.3,0.8,82.0,19930.0,3126.0,6846.0,0.457,493.0,1293.0,0.381,2633.0,5553.0,0.474,1633.0,2052.0,0.796,970.0,2481.0,3451.0,1732.0,615.0,453.0,1192.0,1709.0,8378.0,82.0,19930.0,3141.0,6864.0,0.458,486.0,1400.0,0.347,2655.0,5464.0,0.486,1633.0,2077.0,0.786,1017.0,2491.0,3508.0,1723.0,622.0,449.0,1177.0,1708.0,8401.0,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,93.1,0.3,0.189,0.493,13.3,28.0,0.239,0.493,13.1,70.9,0.238,United Center,868667,79,37.5,1.13,-2.66,-1.53,2.72,6462,3272,0.812063852,-2.903098957,-2.091035105,1.127963782,0.677234918,0.450728864,0.793751656,-2.408224343,-1.614472687,0.495408431,79,27,52,37.5,113.5,3.5,9.8,15.6,1.1,20.3,0.3,9.3,13.4,11.0,10.5,34.4,0.023,0.0
8,2009-10,2010,John Salmons,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,CHI,NBA,SG,51,28,33.2,4.5,10.7,0.42,1.4,3.8,0.38,3.1,7.0,0.441,0.486,2.3,2.9,0.789,0.4,3.1,3.4,2.5,1.3,0.4,1.4,2.0,12.7,1695,7.0,16.7,0.42,2.2,5.8,0.38,4.8,10.8,0.441,3.5,4.5,0.789,0.5,4.7,5.3,3.8,2.0,0.7,2.1,3.1,19.7,106,106,1695,12.7,0.53,0.35,0.268,1.2,10.1,5.7,11.6,2.0,1.0,10.3,18.1,1.2,2.0,3.2,0.092,-0.9,1.3,0.5,1.1,82.0,19905.0,3081.0,6825.0,0.451,352.0,1066.0,0.33,2729.0,5759.0,0.474,1479.0,1962.0,0.754,937.0,2715.0,3652.0,1704.0,531.0,478.0,1175.0,1648.0,7993.0,82.0,19905.0,3043.0,6885.0,0.442,584.0,1680.0,0.348,2459.0,5205.0,0.472,1457.0,1958.0,0.744,916.0,2589.0,3505.0,1715.0,578.0,438.0,1090.0,1643.0,8127.0,41,41,36,46,-1.63,0.0,-1.64,103.5,105.3,93.1,0.287,0.156,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,United Center,849760,81,34.9,-0.6,3.06,2.46,9.94,6022,3109,0.465946488,1.734615593,2.200562081,7.958202322,7.009788658,0.948413664,0.389569876,1.821391766,2.210961642,0.641018303,81,48,33,34.9,99.8,2.9,8.2,12.5,1.2,23.6,0.3,7.6,10.6,8.8,8.4,27.0,0.163,0.85
9,2009-10,2010,John Salmons,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,30,MIL,NBA,SG,30,28,37.6,6.9,14.8,0.467,1.5,3.9,0.385,5.4,10.9,0.497,0.518,4.6,5.3,0.867,0.6,2.6,3.2,3.3,1.1,0.1,1.8,2.2,19.9,1129,9.6,20.5,0.467,2.1,5.4,0.385,7.5,15.1,0.497,6.4,7.3,0.867,0.8,3.7,4.5,4.5,1.6,0.2,2.5,3.0,27.6,116,106,1129,17.6,0.581,0.264,0.357,1.6,8.3,4.8,15.0,1.6,0.3,9.4,22.7,2.5,1.4,3.9,0.165,2.2,0.9,3.2,1.4,82.0,19980.0,3050.0,6998.0,0.436,645.0,1813.0,0.356,2405.0,5185.0,0.464,1264.0,1675.0,0.755,965.0,2560.0,3525.0,1740.0,580.0,385.0,1085.0,1823.0,8009.0,82.0,19980.0,2870.0,6361.0,0.451,438.0,1276.0,0.343,2432.0,5085.0,0.478,1692.0,2211.0,0.765,790.0,2722.0,3512.0,1581.0,573.0,421.0,1254.0,1664.0,7870.0,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,91.7,0.239,0.259,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,Bradley Center,619453,81,34.9,-0.6,3.06,2.46,9.94,6022,3109,0.465946488,1.734615593,2.200562081,7.958202322,7.009788658,0.948413664,0.389569876,1.821391766,2.210961642,0.641018303,81,48,33,34.9,99.8,2.9,8.2,12.5,1.2,23.6,0.3,7.6,10.6,8.8,8.4,27.0,0.163,0.85
