,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1992-93,1993,Dennis Scott,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,ORL,NBA,SF,54,43,32.6,6.1,14.1,0.431,2.0,5.0,0.403,4.1,9.2,0.446,0.502,1.7,2.2,0.786,0.7,2.7,3.4,2.5,1.1,0.3,1.9,2.4,15.9,1759,9.3,21.6,0.431,3.1,7.6,0.403,6.3,14.0,0.446,2.6,3.3,0.786,1.1,4.2,5.3,3.9,1.6,0.5,2.9,3.7,24.3,105,109,1759,13.2,0.527,0.351,0.153,2.6,9.0,6.0,12.2,1.6,0.6,11.3,22.5,1.2,1.6,2.8,0.076,0.6,-0.1,0.5,1.1,82.0,19880.0,3257.0,6708.0,0.486,317.0,889.0,0.357,2940.0,5819.0,0.505,1821.0,2495.0,0.73,1040.0,2566.0,3606.0,1952.0,542.0,467.0,1429.0,1925.0,8652.0,82.0,19880.0,3307.0,7255.0,0.456,248.0,754.0,0.329,3059.0,6501.0,0.471,1682.0,2306.0,0.729,1166.0,2271.0,3437.0,2091.0,715.0,401.0,1119.0,1975.0,8544.0,41,41,45,37,1.32,0.03,1.35,108.5,107.1,96.3,0.372,0.133,0.509,15.5,31.4,0.271,0.473,11.9,68.8,0.232,Orlando Arena,621191,0,0,0.0,0.0,0.0,0.0,3570,1759,0.476664633,0.177106273,0.653770906,3.059641916,3.059641916,0.0,0.953848665,0.106087165,1.059935831,0.15888214,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1993-94,1994,Dennis Scott,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,ORL,NBA,SF,82,37,27.8,4.7,11.6,0.405,1.9,4.7,0.399,2.8,6.8,0.408,0.486,1.5,1.9,0.774,0.7,2.0,2.7,2.6,1.0,0.4,1.1,2.0,12.8,2283,8.5,21.0,0.405,3.4,8.6,0.399,5.1,12.4,0.408,2.7,3.5,0.774,1.2,3.6,4.8,4.8,1.8,0.7,2.1,3.6,23.1,111,109,2283,14.1,0.513,0.409,0.168,2.7,8.0,5.4,13.9,1.8,0.9,8.4,20.8,3.4,1.5,5.0,0.104,1.3,-0.4,0.8,1.6,82.0,19730.0,3341.0,6883.0,0.485,394.0,1137.0,0.347,2947.0,5746.0,0.513,1590.0,2346.0,0.678,1177.0,2356.0,3533.0,2070.0,683.0,456.0,1327.0,1713.0,8666.0,82.0,19730.0,3263.0,7125.0,0.458,296.0,847.0,0.349,2967.0,6278.0,0.473,1525.0,2047.0,0.745,1197.0,2305.0,3502.0,2103.0,756.0,442.0,1228.0,1844.0,8347.0,50,32,52,30,3.89,-0.21,3.68,110.8,106.7,95.2,0.341,0.165,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.214,Orlando Arena,626931,0,0,0.0,0.0,0.0,0.0,4764,2382,1.448487571,-0.196349225,1.252138346,4.848389051,4.86453213,-0.016143079,1.81848662,-0.384849292,1.433637328,0.051195729,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1994-95,1995,Dennis Scott,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,ORL,NBA,SF,62,10,24.2,4.6,10.4,0.439,2.4,5.7,0.426,2.1,4.7,0.454,0.555,1.4,1.8,0.754,0.4,2.0,2.4,2.1,0.7,0.2,0.9,1.9,12.9,1499,9.5,21.7,0.439,5.1,11.9,0.426,4.5,9.9,0.454,2.9,3.8,0.754,0.8,4.1,4.9,4.4,1.5,0.5,1.9,4.0,27.0,120,111,1499,16.3,0.577,0.546,0.177,2.0,9.0,5.6,12.9,1.5,0.6,7.6,21.6,3.5,1.1,4.6,0.147,3.2,-0.8,2.5,1.7,82.0,19930.0,3460.0,6899.0,0.502,523.0,1412.0,0.37,2937.0,5487.0,0.535,1648.0,2465.0,0.669,1149.0,2457.0,3606.0,2281.0,672.0,488.0,1297.0,1726.0,9091.0,82.0,19930.0,3242.0,7093.0,0.457,468.0,1239.0,0.378,2774.0,5854.0,0.474,1560.0,2106.0,0.741,1136.0,2226.0,3362.0,1986.0,700.0,367.0,1234.0,1954.0,8512.0,57,25,59,23,7.06,-0.62,6.44,115.1,107.8,95.1,0.357,0.205,0.539,14.0,34.0,0.239,0.49,13.3,68.4,0.22,Orlando Arena,656410,0,0,0.0,0.0,0.0,0.0,4409,2245,2.621128279,-0.572619824,2.048508456,5.523484659,4.046283518,1.47720114,2.947280218,-0.716828268,2.23045195,0.122990716,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1995-96,1996,Dennis Scott,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,ORL,NBA,SF,82,82,37.1,6.0,13.6,0.44,3.3,7.7,0.425,2.7,6.0,0.458,0.559,2.2,2.7,0.82,0.8,3.0,3.8,3.0,1.1,0.4,1.5,2.1,17.5,3041,8.4,19.2,0.44,4.6,10.8,0.425,3.9,8.4,0.458,3.1,3.8,0.82,1.1,4.2,5.3,4.2,1.5,0.5,2.1,2.9,24.6,118,110,3041,16.1,0.589,0.562,0.199,2.5,9.2,5.9,12.4,1.5,0.7,9.1,19.9,6.4,2.4,8.8,0.138,2.9,-0.6,2.3,3.3,82.0,19855.0,3203.0,6640.0,0.482,622.0,1645.0,0.378,2581.0,4995.0,0.517,1543.0,2232.0,0.691,966.0,2401.0,3367.0,2080.0,663.0,406.0,1160.0,1709.0,8571.0,82.0,19855.0,3060.0,6736.0,0.454,496.0,1357.0,0.366,2564.0,5379.0,0.477,1499.0,2037.0,0.736,1087.0,2365.0,3452.0,1869.0,644.0,324.0,1238.0,1827.0,8115.0,60,22,56,26,5.56,-0.16,5.4,112.9,106.9,91.8,0.336,0.248,0.529,13.2,29.0,0.232,0.491,14.0,68.8,0.223,Orlando Arena,707168,0,0,0.0,0.0,0.0,0.0,6689,3487,3.206253699,-0.213308905,2.992944794,10.17888391,9.330932896,0.847951015,3.511240554,-0.153454643,3.357785911,-0.273901701,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,1996-97,1997,Dennis Scott,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,ORL,NBA,SF,66,62,32.8,4.5,11.3,0.398,2.2,5.7,0.394,2.3,5.7,0.402,0.496,1.2,1.5,0.792,0.6,2.5,3.1,2.1,1.1,0.3,1.2,2.1,12.5,2166,7.5,18.8,0.398,3.7,9.4,0.394,3.8,9.4,0.402,2.0,2.5,0.792,1.0,4.1,5.1,3.5,1.9,0.5,2.0,3.5,20.6,107,108,2166,12.4,0.519,0.498,0.135,2.1,9.1,5.5,11.1,1.9,0.7,9.3,18.6,2.0,1.8,3.8,0.084,0.2,-0.1,0.0,1.1,82.0,19855.0,2839.0,6497.0,0.437,567.0,1662.0,0.341,2272.0,4835.0,0.47,1474.0,1975.0,0.746,1071.0,2221.0,3292.0,1689.0,694.0,363.0,1250.0,1643.0,7719.0,82.0,19855.0,2966.0,6450.0,0.46,455.0,1327.0,0.343,2511.0,5123.0,0.49,1361.0,1860.0,0.732,1080.0,2398.0,3478.0,1798.0,704.0,417.0,1314.0,1769.0,7748.0,45,37,40,42,-0.35,0.28,-0.07,105.6,106.0,88.3,0.304,0.256,0.481,14.5,30.9,0.227,0.495,15.3,67.3,0.211,Orlando Arena,711311,66,32.8,-0.44,1.91,1.47,6.33,4198,2260,0.370474243,-0.03468956,0.335784683,3.548985864,3.572035498,-0.023049634,0.488836013,-0.075366311,0.413469702,-0.02980408,66,38,28,32.8,102.4,2.5,8.1,13.5,1.1,20.2,0.3,10.4,11.2,9.6,11.0,29.2,0.112,0
5,1997-98,1998,Dennis Scott,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,DAL,NBA,SF,52,42,34.6,5.0,12.8,0.387,1.8,5.3,0.344,3.2,7.6,0.417,0.458,1.9,2.3,0.822,0.8,3.0,3.8,2.5,0.8,0.6,1.8,2.3,13.6,1797,7.7,19.8,0.387,2.8,8.1,0.344,4.9,11.7,0.417,2.9,3.5,0.822,1.2,4.7,5.9,3.8,1.3,1.0,2.7,3.6,21.0,99,110,1797,12.2,0.492,0.41,0.177,2.4,10.0,6.1,12.4,1.3,1.2,11.4,20.6,0.5,0.8,1.3,0.036,-0.2,-1.1,-1.3,0.3,82.0,19905.0,2882.0,6754.0,0.427,422.0,1183.0,0.357,2460.0,5571.0,0.442,1308.0,1738.0,0.753,1008.0,2280.0,3288.0,1535.0,646.0,466.0,1182.0,1643.0,7494.0,82.0,19905.0,3138.0,6819.0,0.46,386.0,1130.0,0.342,2752.0,5689.0,0.484,1333.0,1868.0,0.714,1223.0,2644.0,3867.0,1882.0,658.0,374.0,1240.0,1608.0,7995.0,20,62,24,58,-6.11,-0.22,-6.33,100.5,107.2,89.9,0.257,0.175,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936,81,28.3,-0.1,1.07,0.97,5.81,4473,2352,-0.742983478,-1.695682833,-2.438666311,0.377522251,0.417208146,-0.039685895,-0.671643055,-1.72552838,-2.397171436,1.082594822,81,29,52,28.2,103.6,2.5,8.9,15.2,0.7,14.3,0.5,15.4,9.5,9.3,8.3,24.1,0.07,0
6,1997-98,1998,Dennis Scott,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,PHO,NBA,SF,29,3,17.0,2.4,5.6,0.438,1.1,2.4,0.449,1.4,3.2,0.43,0.534,0.3,0.4,0.667,0.3,1.4,1.7,0.8,0.3,0.2,0.4,1.1,6.2,493,7.6,17.3,0.438,3.3,7.3,0.449,4.3,9.9,0.43,0.9,1.3,0.667,0.9,4.5,5.3,2.6,1.1,0.7,1.3,3.3,19.3,109,106,493,11.9,0.541,0.426,0.074,1.9,9.7,5.9,7.6,1.1,1.0,6.7,16.5,0.6,0.5,1.0,0.101,0.1,-0.7,-0.6,0.2,82.0,19955.0,3138.0,6710.0,0.468,431.0,1211.0,0.356,2707.0,5499.0,0.492,1459.0,1948.0,0.749,991.0,2452.0,3443.0,2124.0,756.0,429.0,1236.0,1765.0,8166.0,82.0,19955.0,2923.0,6618.0,0.442,394.0,1091.0,0.361,2529.0,5527.0,0.458,1501.0,2051.0,0.732,1051.0,2343.0,3394.0,1803.0,720.0,323.0,1363.0,1769.0,7741.0,56,26,56,26,5.18,-0.75,4.44,107.4,101.8,91.4,0.29,0.18,0.5,14.0,29.7,0.217,0.471,15.3,70.0,0.227,America West Arena,779943,81,28.3,-0.1,1.07,0.97,5.81,4473,2352,-0.742983478,-1.695682833,-2.438666311,0.377522251,0.417208146,-0.039685895,-0.671643055,-1.72552838,-2.397171436,1.082594822,81,29,52,28.2,103.6,2.5,8.9,15.2,0.7,14.3,0.5,15.4,9.5,9.3,8.3,24.1,0.07,0
7,1998-99,1999,Dennis Scott,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NYK,NBA,SF,15,0,13.7,1.1,3.7,0.304,0.5,1.9,0.276,0.6,1.8,0.333,0.375,0.1,0.3,0.25,0.2,1.1,1.3,0.5,0.2,0.1,0.3,1.1,2.9,206,4.6,15.0,0.304,2.1,7.8,0.276,2.4,7.2,0.333,0.3,1.1,0.25,0.8,4.6,5.4,2.1,0.8,0.3,1.3,4.6,11.5,81,102,206,3.9,0.372,0.518,0.071,1.8,9.4,5.7,6.7,0.8,0.4,8.0,14.6,-0.2,0.2,0.0,-0.006,-3.8,-0.5,-4.3,-0.1,50.0,12100.0,1610.0,3704.0,0.435,208.0,589.0,0.353,1402.0,3115.0,0.45,892.0,1218.0,0.732,551.0,1510.0,2061.0,963.0,395.0,262.0,804.0,1140.0,4320.0,50.0,12100.0,1528.0,3790.0,0.403,234.0,662.0,0.353,1294.0,3128.0,0.414,979.0,1335.0,0.733,616.0,1426.0,2042.0,923.0,425.0,215.0,766.0,1035.0,4269.0,27,23,27,23,1.02,0.43,1.45,98.6,97.5,86.9,0.329,0.159,0.463,15.9,27.9,0.241,0.434,14.9,71.0,0.258,Madison Square Garden (IV),494075,36,20.5,-0.28,0.47,0.19,1.68,1397,738,-0.253287408,-1.464719564,-1.718006972,0.376998866,0.376998866,0.0,-0.54351829,-1.941967891,-2.485486181,0.909916754,36,18,18,20.6,96.2,1.4,7.1,11.8,0.4,12.0,0.1,4.2,5.7,5.3,4.1,13.5,0.08,0
8,1998-99,1999,Dennis Scott,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,30,MIN,NBA,SF,21,9,25.3,3.3,7.5,0.446,1.4,3.2,0.426,2.0,4.2,0.461,0.538,1.0,1.3,0.815,0.2,1.6,1.8,1.5,0.6,0.1,0.7,1.5,9.1,532,6.9,15.6,0.446,2.9,6.7,0.426,4.1,8.8,0.461,2.2,2.7,0.815,0.5,3.3,3.8,3.2,1.2,0.2,1.4,3.2,18.9,115,106,532,12.4,0.565,0.433,0.172,1.0,7.5,4.0,9.5,1.2,0.3,7.7,15.1,1.0,0.3,1.3,0.113,-0.1,-0.7,-0.8,0.2,50.0,12025.0,1838.0,4327.0,0.425,122.0,410.0,0.298,1716.0,3917.0,0.438,849.0,1143.0,0.743,754.0,1392.0,2146.0,1218.0,426.0,272.0,641.0,1185.0,4647.0,50.0,12025.0,1680.0,3823.0,0.439,213.0,654.0,0.326,1467.0,3169.0,0.463,1055.0,1470.0,0.718,591.0,1563.0,2154.0,1114.0,363.0,262.0,836.0,1017.0,4628.0,25,25,26,24,0.38,-0.55,-0.17,101.9,101.5,91.0,0.264,0.095,0.439,11.7,32.5,0.196,0.467,15.8,70.2,0.276,Target Center,427974,36,20.5,-0.28,0.47,0.19,1.68,1397,738,-0.253287408,-1.464719564,-1.718006972,0.376998866,0.376998866,0.0,-0.54351829,-1.941967891,-2.485486181,0.909916754,36,18,18,20.6,96.2,1.4,7.1,11.8,0.4,12.0,0.1,4.2,5.7,5.3,4.1,13.5,0.08,0
9,1999-00,2000,Dennis Scott,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,VAN,NBA,SF,66,0,19.1,1.9,5.0,0.375,1.1,2.9,0.376,0.8,2.2,0.375,0.482,0.7,0.9,0.842,0.2,1.4,1.6,1.0,0.4,0.1,0.5,1.6,5.6,1263,5.2,13.9,0.375,3.0,7.9,0.376,2.3,6.0,0.375,2.0,2.4,0.842,0.7,3.8,4.4,2.9,1.2,0.4,1.3,4.3,15.4,109,112,1263,9.4,0.515,0.568,0.171,1.5,8.6,5.0,8.7,1.2,0.5,7.7,14.0,1.4,0.1,1.5,0.057,-1.0,-1.1,-2.2,-0.1,82.0,19855.0,2892.0,6441.0,0.449,324.0,898.0,0.361,2568.0,5543.0,0.463,1594.0,2060.0,0.774,1005.0,2324.0,3329.0,1700.0,608.0,346.0,1381.0,1881.0,7702.0,82.0,19855.0,3136.0,6613.0,0.474,361.0,1083.0,0.333,2775.0,5530.0,0.502,1530.0,1989.0,0.769,970.0,2336.0,3306.0,1932.0,725.0,519.0,1234.0,1912.0,8163.0,22,60,25,57,-5.62,0.52,-5.1,102.3,108.5,91.0,0.32,0.139,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,General Motors Place,569864,66,19.1,-0.67,0.8,0.13,2.16,2422,1263,-0.127302837,-1.770473837,-1.897776673,0.549882386,0.549882386,0.0,-0.402215667,-2.170858869,-2.573074536,0.124302699,66,18,48,19.2,105.2,1.4,8.0,13.0,0.4,13.3,0.1,8.6,7.4,5.0,5.8,16.4,0.032,0
