,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2006-07,2007,Thabo Sefolosha,-1.0,0.0,0.0,0.0,False,3.0,0.0,500.0,22,CHI,NBA,SG,71,4,12.2,1.5,3.6,0.426,0.2,0.6,0.357,1.3,3.0,0.439,0.455,0.3,0.6,0.511,0.5,1.7,2.2,0.8,0.5,0.2,0.8,1.4,3.6,868,6.4,15.1,0.426,0.9,2.5,0.357,5.6,12.6,0.439,1.4,2.7,0.511,2.1,7.0,9.0,3.5,1.9,0.6,3.5,5.9,15.1,89,99,868,8.5,0.464,0.164,0.176,4.6,15.4,10.1,10.7,1.9,1.0,17.9,17.2,-0.8,1.7,0.8,0.047,-4.2,1.6,-2.6,-0.1,82.0,19780,3046,6663,0.457,480,1237,0.388,2566,5426,0.473,1528,2083,0.734,984,2597,3581,1832,639,445,1310,1908,8100,82.0,19780,2793,6416,0.435,484,1387,0.349,2309,5029,0.459,1619,2219,0.73,897,2456,3353,1675,614,433,1429,1900,7689,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,93.6,0.313,0.186,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,United Center,912364,71,12.2,-2.23,1.02,-1.21,1.18,1899,967,-3.343982161,1.444541403,-1.899440758,0.419812928,0.420637829,-0.0008249,-3.573250282,0.590186963,-2.983063319,0.463593564,71,42,29,12.2,93.2,1.7,13.8,20.6,0.5,19.1,0.2,13.3,4.4,2.3,2.6,7.8,0.08,0.0
1,2007-08,2008,Thabo Sefolosha,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,CHI,NBA,SG,69,22,20.8,2.6,6.1,0.428,0.4,1.3,0.33,2.2,4.8,0.453,0.462,1.1,1.5,0.721,0.7,3.0,3.7,1.9,0.9,0.4,1.3,1.9,6.7,1436,6.5,15.1,0.428,1.0,3.2,0.33,5.4,12.0,0.453,2.7,3.7,0.721,1.8,7.4,9.2,4.6,2.2,1.1,3.3,4.6,16.7,97,106,1436,11.4,0.497,0.209,0.247,3.8,16.7,10.0,14.3,2.2,1.6,16.6,17.3,-0.3,1.8,1.5,0.05,-2.3,1.2,-1.0,0.4,82.0,19805,2987,6861,0.435,474,1305,0.363,2513,5556,0.452,1533,2029,0.756,1050,2478,3528,1811,635,429,1197,1784,7981,82.0,19805,2982,6583,0.453,571,1522,0.375,2411,5061,0.476,1699,2217,0.766,914,2582,3496,1794,648,465,1254,1746,8234,33,49,32,50,-3.09,-0.11,-3.19,103.9,107.2,93.0,0.296,0.19,0.47,13.4,28.9,0.223,0.496,14.2,73.1,0.258,United Center,901502,69,20.8,-1.86,1.56,-0.29,2.4,2814,1436,-2.266995722,1.709749356,-0.557246366,1.609362016,1.609362016,0.0,-2.443385092,1.205396993,-1.237988099,0.165803349,69,27,42,20.8,102.1,3.0,14.8,22.6,0.9,24.0,0.4,18.5,7.3,4.8,5.4,15.3,0.082,0.0
2,2008-09,2009,Thabo Sefolosha,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,CHI,NBA,SF,43,14,17.1,1.8,4.2,0.434,0.3,1.2,0.3,1.5,3.1,0.485,0.475,0.5,0.6,0.84,0.6,2.3,2.9,1.5,0.8,0.4,0.9,1.2,4.5,735,5.5,12.8,0.434,1.1,3.5,0.3,4.5,9.3,0.485,1.5,1.8,0.84,1.8,6.8,8.6,4.6,2.5,1.3,2.6,3.5,13.6,102,107,735,11.7,0.503,0.275,0.137,4.1,15.0,9.6,13.1,2.5,1.9,16.1,14.0,0.1,0.9,1.0,0.067,-1.2,1.7,0.5,0.5,82.0,19930,3126,6846,0.457,493,1293,0.381,2633,5553,0.474,1633,2052,0.796,970,2481,3451,1732,615,453,1192,1709,8378,82.0,19930,3141,6864,0.458,486,1400,0.347,2655,5464,0.486,1633,2077,0.786,1017,2491,3508,1723,622,449,1177,1708,8401,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,93.1,0.3,0.189,0.493,13.3,28.0,0.239,0.493,13.1,70.9,0.238,United Center,868667,66,22.0,-2.41,2.17,-0.24,2.56,2858,1453,-1.48869383,1.982322616,0.493628786,2.41081888,2.41081888,0.0,-1.605593538,1.714975903,0.109382365,0.332348448,66,26,40,22.0,104.4,2.8,13.4,21.6,1.1,28.5,0.7,29.2,8.0,6.5,5.8,18.4,0.075,0.0
3,2008-09,2009,Thabo Sefolosha,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,OKC,NBA,SG,23,22,31.2,3.2,7.6,0.417,0.4,1.6,0.243,2.8,6.0,0.464,0.443,1.7,2.1,0.833,1.2,4.0,5.2,2.0,1.7,1.1,1.2,2.3,8.5,718,5.2,12.5,0.417,0.6,2.6,0.243,4.6,9.9,0.464,2.9,3.4,0.833,2.0,6.5,8.5,3.3,2.9,1.9,1.9,3.9,13.9,104,106,718,12.5,0.497,0.211,0.274,4.4,14.8,9.5,9.8,2.9,2.7,12.1,13.7,0.3,1.0,1.2,0.081,-1.6,2.8,1.2,0.6,82.0,19805,2999,6716,0.447,328,949,0.346,2671,5767,0.463,1626,2069,0.786,999,2497,3496,1663,608,371,1330,1655,7952,82.0,19805,3230,6799,0.475,524,1439,0.364,2706,5360,0.505,1468,1930,0.761,884,2496,3380,1769,697,407,1140,1656,8452,23,59,24,58,-6.1,0.06,-6.04,102.9,109.4,93.6,0.308,0.141,0.471,14.8,28.6,0.242,0.514,13.0,73.9,0.216,Ford Center,766868,66,22.0,-2.41,2.17,-0.24,2.56,2858,1453,-1.48869383,1.982322616,0.493628786,2.41081888,2.41081888,0.0,-1.605593538,1.714975903,0.109382365,0.332348448,66,26,40,22.0,104.4,2.8,13.4,21.6,1.1,28.5,0.7,29.2,8.0,6.5,5.8,18.4,0.075,0.0
4,2009-10,2010,Thabo Sefolosha,8.0,0.0,1.0,2.0,False,0.0,20.0,500.0,25,OKC,NBA,SG,82,82,28.6,2.4,5.4,0.44,0.5,1.6,0.313,1.9,3.8,0.494,0.486,0.7,1.1,0.674,0.9,3.8,4.7,1.8,1.2,0.6,1.1,1.9,6.0,2348,4.3,9.7,0.44,0.9,2.9,0.313,3.4,6.8,0.494,1.3,2.0,0.674,1.7,6.8,8.5,3.2,2.1,1.0,2.0,3.4,10.7,103,104,2348,9.8,0.509,0.297,0.202,3.8,14.8,9.5,8.9,2.1,1.5,15.8,10.9,0.6,3.4,4.0,0.082,-1.9,2.0,0.1,1.3,82.0,19805,3063,6629,0.462,418,1229,0.34,2645,5400,0.49,1778,2210,0.805,960,2607,3567,1639,654,481,1227,1743,8322,82.0,19805,3007,6718,0.448,481,1414,0.34,2526,5304,0.476,1541,2018,0.764,937,2397,3334,1618,616,384,1238,1755,8036,50,32,51,31,3.49,0.06,3.55,108.3,104.6,93.1,0.333,0.185,0.494,13.9,28.6,0.268,0.483,14.0,73.6,0.229,Oklahoma City Arena,738149,82,28.6,-3.06,0.99,-2.07,1.25,4848,2475,-2.413286538,2.213315856,-0.199970683,3.230837663,2.886158681,0.344678982,-2.446241687,2.017193923,-0.429047764,-0.16828532,82,50,32,28.6,103.8,3.8,13.4,19.9,1.2,24.0,0.6,17.5,9.3,8.3,7.7,28.1,0.1,1.52
5,2010-11,2011,Thabo Sefolosha,21.0,0.0,2.0,0.0,False,1.0,4.0,500.0,26,OKC,NBA,SG,79,79,25.9,2.0,4.2,0.471,0.4,1.3,0.275,1.6,2.9,0.558,0.514,0.7,1.0,0.747,0.8,3.6,4.4,1.4,1.2,0.5,0.7,2.2,5.1,2049,4.0,8.4,0.471,0.7,2.6,0.275,3.3,5.8,0.558,1.5,2.0,0.747,1.6,7.1,8.7,2.8,2.5,1.0,1.4,4.3,10.1,112,106,2049,10.4,0.545,0.306,0.237,3.8,15.5,9.9,7.9,2.5,1.4,13.0,9.4,1.6,2.5,4.1,0.097,-1.3,1.9,0.6,1.3,82.0,20005,3066,6609,0.464,487,1403,0.347,2579,5206,0.495,1977,2401,0.823,903,2604,3507,1672,654,487,1156,1836,8596,82.0,20005,3123,6823,0.458,482,1335,0.361,2641,5488,0.481,1557,2093,0.744,932,2395,3327,1712,587,356,1152,1767,8285,55,27,51,31,3.79,0.02,3.81,111.2,107.2,92.7,0.363,0.212,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,Chesapeake Energy Arena,744068,79,25.9,-1.88,-0.14,-2.02,1.5,4661,2393,-0.830426822,1.827833165,0.997406343,4.59853114,3.901065703,0.697465437,-1.051704034,1.833845647,0.782141613,0.032296631,79,53,26,25.9,106.0,3.6,14.3,21.2,1.2,26.6,0.5,14.7,8.0,7.2,6.7,25.0,0.072,1.42
6,2011-12,2012,Thabo Sefolosha,-1.0,0.0,2.0,0.0,False,2.0,0.0,500.0,27,OKC,NBA,SG,42,42,21.8,1.6,3.7,0.432,0.7,1.7,0.437,0.9,2.0,0.429,0.532,0.9,1.0,0.884,0.5,2.5,3.0,1.1,0.9,0.4,1.0,1.9,4.8,914,3.8,8.8,0.432,1.8,4.0,0.437,2.0,4.7,0.429,2.1,2.4,0.884,1.2,6.0,7.2,2.7,2.1,1.0,2.3,4.4,11.5,109,104,914,9.8,0.584,0.458,0.277,2.8,12.5,8.0,7.4,2.1,1.4,18.7,10.6,0.8,1.0,1.8,0.095,-1.3,1.7,0.4,0.6,66.0,15990,2462,5229,0.471,472,1317,0.358,1990,3912,0.509,1406,1744,0.806,726,2157,2883,1224,498,539,1079,1352,6802,66.0,15990,2405,5629,0.427,421,1231,0.342,1984,4398,0.451,1167,1519,0.768,835,1889,2724,1312,542,321,937,1322,6398,47,19,46,20,6.12,0.32,6.44,109.8,103.2,93.0,0.334,0.252,0.516,15.3,27.8,0.269,0.465,13.0,72.1,0.207,Chesapeake Energy Arena,600699,42,21.8,-2.72,2.65,-0.08,1.41,2642,1360,-0.878538752,2.854876272,1.97633752,3.353507698,1.706289966,1.647217732,-0.887879865,2.595709608,1.707829743,0.205503013,42,31,11,21.8,94.6,2.5,10.6,15.9,0.9,22.7,0.4,9.2,7.8,6.2,5.3,17.9,0.121,2.08
7,2012-13,2013,Thabo Sefolosha,-1.0,0.0,2.0,0.0,False,2.0,0.0,500.0,28,OKC,NBA,SG,81,81,27.5,2.8,5.8,0.481,1.3,3.2,0.419,1.4,2.6,0.558,0.597,0.7,0.9,0.826,0.7,3.2,3.9,1.5,1.3,0.5,0.8,2.2,7.6,2229,5.2,10.8,0.481,2.5,6.0,0.419,2.7,4.8,0.558,1.3,1.6,0.826,1.3,6.0,7.3,2.9,2.4,1.0,1.5,4.1,14.1,121,103,2229,12.8,0.617,0.554,0.148,3.2,12.4,8.2,8.2,2.4,1.5,11.4,11.4,3.6,3.1,6.8,0.146,0.6,1.8,2.4,2.5,82.0,19830,3126,6504,0.481,598,1588,0.377,2528,4916,0.514,1819,2196,0.828,854,2725,3579,1753,679,624,1253,1654,8669,82.0,19830,2966,6972,0.425,610,1761,0.346,2356,5211,0.452,1372,1773,0.774,987,2350,3337,1681,673,322,1212,1698,7914,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,93.3,0.338,0.244,0.527,14.4,26.7,0.28,0.469,13.5,73.4,0.197,Chesapeake Energy Arena,746323,81,27.5,0.01,1.78,1.79,6.61,4969,2529,1.235551651,1.886884597,3.122436248,7.606808364,6.642911246,0.963897118,1.170661688,2.130118273,3.300779961,0.001571529,81,59,22,27.5,98.0,3.2,10.8,16.5,1.3,26.8,0.5,10.9,9.1,7.4,7.2,22.5,0.131,1.63
8,2013-14,2014,Thabo Sefolosha,-1.0,0.0,2.0,0.0,False,1.0,0.0,500.0,29,OKC,NBA,SG,61,61,26.0,2.3,5.6,0.415,0.8,2.5,0.316,1.5,3.1,0.495,0.485,0.9,1.1,0.768,0.8,2.8,3.6,1.5,1.3,0.3,0.9,1.5,6.3,1584,4.5,10.8,0.415,1.5,4.8,0.316,3.0,6.0,0.495,1.7,2.2,0.768,1.6,5.4,7.0,3.0,2.5,0.5,1.7,2.9,12.2,106,104,1584,10.4,0.517,0.447,0.203,3.7,11.5,7.8,8.3,2.5,0.9,12.9,11.9,0.9,2.1,3.0,0.092,-1.2,1.5,0.3,0.9,82.0,19805,3194,6782,0.471,664,1839,0.361,2530,4943,0.512,1653,2052,0.806,887,2781,3668,1794,678,501,1256,1858,8705,82.0,19805,2984,6842,0.436,705,1968,0.358,2279,4874,0.468,1512,2080,0.727,900,2456,3356,1785,669,296,1248,1672,8185,59,23,58,24,6.34,0.32,6.66,110.5,103.9,95.4,0.303,0.271,0.52,14.0,26.5,0.244,0.488,13.9,75.6,0.221,Chesapeake Energy Arena,746323,61,26.0,-1.98,0.38,-1.6,1.27,3694,1820,-1.869786056,2.206874679,0.337088624,2.864078543,2.653572656,0.210505887,-1.638447372,2.621343081,0.98289571,-0.218304209,61,44,17,26.0,101.9,2.8,10.2,14.9,1.3,29.8,0.3,7.4,10.3,6.4,7.2,22.7,0.099,0.43
9,2014-15,2015,Thabo Sefolosha,-1.0,0.0,2.0,0.0,False,1.0,0.0,500.0,30,ATL,NBA,SF,52,7,18.8,2.0,4.8,0.418,0.5,1.5,0.321,1.5,3.3,0.462,0.468,0.9,1.1,0.776,1.0,3.3,4.3,1.4,1.0,0.4,0.7,1.3,5.3,976,5.4,13.0,0.418,1.3,4.1,0.321,4.1,9.0,0.462,2.4,3.0,0.776,2.8,8.9,11.7,3.9,2.8,1.1,2.0,3.5,14.6,106,100,976,13.8,0.506,0.313,0.233,6.4,19.3,13.1,11.2,2.8,1.8,12.2,14.6,0.8,1.7,2.5,0.121,-0.8,1.8,1.0,0.8,82.0,19730,3121,6699,0.466,818,2152,0.38,2303,4547,0.506,1349,1735,0.778,715,2611,3326,2111,744,380,1167,1457,8409,82.0,19730,2991,6815,0.439,720,2112,0.341,2271,4703,0.483,1262,1651,0.764,948,2631,3579,1931,604,404,1317,1611,7964,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,713909,52,18.8,-1.29,2.94,1.65,2.89,1935,976,0.061159372,3.978436785,4.039596157,3.358694308,3.358694308,0.0,0.187644348,3.094273403,3.281917751,-0.630248203,52,43,9,18.8,94.6,3.3,16.9,24.7,1.0,28.6,0.4,23.3,5.3,4.4,3.3,13.2,0.109,2.01
