,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2004-05,2005,J.R. Smith,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,NOH,NBA,SG,76,56,24.5,3.9,9.8,0.394,1.1,3.7,0.288,2.8,6.1,0.458,0.449,1.5,2.1,0.689,0.5,1.5,2.0,1.9,0.7,0.1,1.4,1.8,10.3,1859,8.7,22.1,0.394,2.4,8.3,0.288,6.3,13.8,0.458,3.3,4.7,0.689,1.2,3.3,4.5,4.2,1.6,0.3,3.2,4.0,23.1,95,110,1859,10.9,0.478,0.376,0.215,2.4,7.5,4.8,14.6,1.6,0.5,11.7,23.2,-0.7,0.9,0.2,0.006,-1.5,-1.4,-2.9,-0.4,82.0,19930.0,2718.0,6556.0,0.415,415.0,1316.0,0.315,2303.0,5240.0,0.44,1401.0,1830.0,0.766,1019.0,2281.0,3300.0,1724.0,550.0,310.0,1217.0,1883.0,7252.0,82.0,19930.0,2847.0,6299.0,0.452,494.0,1346.0,0.367,2353.0,4953.0,0.475,1644.0,2122.0,0.775,947.0,2485.0,3432.0,1742.0,634.0,452.0,1168.0,1728.0,7832.0,18,64,21,61,-7.07,0.78,-6.3,99.7,107.7,87.6,0.279,0.201,0.446,14.2,29.1,0.214,0.491,13.9,70.7,0.261,New Orleans Arena,583070,0,0,0,0,0,0,3432,1859,-1.321940345,-2.269797401,-3.591737746,-0.802754597,-0.802754597,0.0,-1.250745915,-2.371099335,-3.621845249,0.507052396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2005-06,2006,J.R. Smith,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,20,NOK,NBA,SG,55,25,18.0,2.6,6.7,0.393,0.9,2.5,0.371,1.7,4.1,0.407,0.464,1.5,1.8,0.822,0.3,1.7,2.0,1.1,0.7,0.1,1.0,1.6,7.7,989,7.9,20.0,0.393,2.8,7.6,0.371,5.0,12.3,0.407,4.5,5.5,0.822,1.0,5.0,6.0,3.2,2.0,0.2,2.9,4.9,23.1,101,108,989,12.7,0.515,0.383,0.276,2.2,11.3,6.6,10.3,2.0,0.3,11.6,21.9,0.4,0.8,1.2,0.06,-0.8,-0.2,-1.0,0.3,82.0,19805.0,2831.0,6428.0,0.44,300.0,885.0,0.339,2531.0,5543.0,0.457,1649.0,2176.0,0.758,918.0,2379.0,3297.0,1519.0,611.0,311.0,1095.0,1786.0,7611.0,82.0,19805.0,2883.0,6286.0,0.459,546.0,1486.0,0.367,2337.0,4800.0,0.487,1530.0,2014.0,0.76,860.0,2498.0,3358.0,1584.0,527.0,432.0,1197.0,1910.0,7842.0,38,44,33,49,-2.82,0.31,-2.51,103.7,106.8,89.0,0.339,0.138,0.464,12.9,26.9,0.257,0.502,14.3,73.4,0.243,Ford Center,744920,0,0,0,0,0,0,1855,989,-0.339237076,-0.803780917,-1.143017994,0.814732747,0.814732747,0.0,-0.292298393,-1.1339909,-1.426289293,0.437236203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2006-07,2007,J.R. Smith,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,21,DEN,NBA,SG,63,24,23.3,4.5,10.2,0.441,2.4,6.1,0.39,2.1,4.2,0.515,0.557,1.6,2.0,0.81,0.5,1.8,2.3,1.4,0.8,0.1,1.3,2.3,13.0,1471,9.5,21.6,0.441,5.0,12.8,0.39,4.5,8.8,0.515,3.4,4.2,0.81,1.0,3.8,4.8,3.0,1.6,0.3,2.8,4.9,27.4,112,109,1471,15.6,0.585,0.593,0.196,2.3,8.5,5.5,10.2,1.6,0.4,10.8,22.8,2.5,1.1,3.7,0.12,2.0,-0.5,1.4,1.2,82.0,19780.0,3164.0,6805.0,0.465,484.0,1440.0,0.336,2680.0,5365.0,0.5,1827.0,2449.0,0.746,1001.0,2558.0,3559.0,1920.0,678.0,435.0,1352.0,1756.0,8639.0,82.0,19780.0,3257.0,7088.0,0.46,554.0,1569.0,0.353,2703.0,5519.0,0.49,1438.0,1945.0,0.739,1006.0,2461.0,3467.0,2010.0,680.0,424.0,1343.0,1946.0,8506.0,45,37,45,37,1.62,0.07,1.69,107.6,105.9,97.4,0.36,0.212,0.501,14.6,28.9,0.268,0.499,14.5,71.8,0.203,Pepsi Center,706437,0,0,0,0,0,0,3106,1518,2.557259422,-1.355015817,1.202243605,3.100495211,2.915826335,0.184668876,2.754112489,-1.241860448,1.512252042,0.710704967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2007-08,2008,J.R. Smith,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,DEN,NBA,SG,74,0,19.2,4.2,9.1,0.461,2.1,5.3,0.403,2.1,3.8,0.542,0.578,1.7,2.4,0.719,0.6,1.5,2.1,1.7,0.8,0.2,1.5,1.9,12.3,1421,10.5,22.8,0.461,5.3,13.2,0.403,5.2,9.6,0.542,4.3,6.0,0.719,1.5,3.7,5.1,4.3,2.1,0.4,3.8,4.9,30.7,111,109,1421,18.1,0.603,0.579,0.264,3.3,8.1,5.8,14.7,2.1,0.6,13.0,25.8,2.5,1.3,3.7,0.126,3.4,-0.8,2.6,1.6,82.0,19855.0,3307.0,7038.0,0.47,569.0,1605.0,0.355,2738.0,5433.0,0.504,1891.0,2519.0,0.751,918.0,2698.0,3616.0,2024.0,752.0,551.0,1203.0,1731.0,9074.0,82.0,19855.0,3334.0,7303.0,0.457,621.0,1710.0,0.363,2713.0,5593.0,0.485,1481.0,2028.0,0.73,1042.0,2680.0,3722.0,2107.0,644.0,393.0,1343.0,1950.0,8770.0,50,32,51,31,3.71,0.03,3.74,110.0,106.3,99.7,0.358,0.228,0.51,12.9,25.5,0.269,0.499,14.1,72.1,0.203,Pepsi Center,711962,0,0,0,0,0,0,3207,1529,3.555546262,-1.038553474,2.516992788,4.165214265,3.609670888,0.555543376,3.809153141,-1.363378755,2.445774386,0.766340456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2008-09,2009,J.R. Smith,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,DEN,NBA,SG,81,18,27.7,5.2,11.7,0.446,2.2,5.6,0.397,3.0,6.1,0.491,0.541,2.5,3.4,0.754,0.5,3.1,3.7,2.8,1.0,0.2,1.9,2.3,15.2,2245,9.6,21.5,0.446,4.1,10.3,0.397,5.5,11.3,0.491,4.6,6.2,0.754,1.0,5.8,6.7,5.1,1.8,0.3,3.4,4.3,28.0,111,109,2245,16.8,0.576,0.477,0.286,2.3,12.8,7.7,17.3,1.8,0.5,12.3,24.2,3.6,2.2,5.8,0.124,2.6,-0.3,2.2,2.4,82.0,19730.0,3058.0,6510.0,0.47,548.0,1477.0,0.371,2510.0,5033.0,0.499,1891.0,2487.0,0.76,905.0,2507.0,3412.0,1820.0,710.0,492.0,1257.0,1874.0,8555.0,82.0,19730.0,2966.0,6738.0,0.44,601.0,1643.0,0.366,2365.0,5095.0,0.464,1742.0,2228.0,0.782,991.0,2391.0,3382.0,1756.0,648.0,447.0,1265.0,1944.0,8275.0,54,28,50,32,3.41,-0.29,3.13,110.4,106.8,94.3,0.382,0.227,0.512,14.2,27.5,0.29,0.485,14.1,71.7,0.259,Pepsi Center,706165,0,0,0,0,0,0,5308,2680,3.332067811,0.468724304,3.800792116,9.07033776,7.243849275,1.826488485,3.54467966,0.234041321,3.778720981,0.501962825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2009-10,2010,J.R. Smith,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,DEN,NBA,SG,75,0,27.8,5.7,13.8,0.414,2.1,6.2,0.338,3.6,7.5,0.477,0.491,1.9,2.7,0.706,0.4,2.7,3.1,2.4,1.3,0.3,1.9,2.3,15.4,2082,10.4,25.1,0.414,3.8,11.4,0.338,6.6,13.8,0.477,3.5,4.9,0.706,0.7,5.0,5.7,4.5,2.4,0.5,3.4,4.2,28.1,101,108,2082,15.0,0.515,0.452,0.195,1.6,11.3,6.5,15.0,2.4,0.7,11.0,26.9,0.6,2.1,2.7,0.062,0.5,-0.4,0.1,1.1,82.0,19780.0,3124.0,6678.0,0.468,544.0,1517.0,0.359,2580.0,5161.0,0.5,1937.0,2508.0,0.772,889.0,2505.0,3394.0,1719.0,683.0,417.0,1136.0,1844.0,8729.0,82.0,19780.0,3088.0,6766.0,0.456,523.0,1498.0,0.349,2565.0,5268.0,0.487,1695.0,2207.0,0.768,955.0,2513.0,3468.0,1723.0,578.0,438.0,1235.0,1943.0,8394.0,53,29,52,30,4.09,0.06,4.15,111.8,107.5,94.8,0.376,0.227,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,Pepsi Center,737301,0,0,0,0,0,0,4481,2241,1.823038848,-0.604785735,1.218253113,4.586630008,4.323201643,0.263428365,2.536174936,-0.524147849,2.012027087,0.829969426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2010-11,2011,J.R. Smith,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,DEN,NBA,SF,79,6,24.9,4.3,9.9,0.435,1.6,4.0,0.39,2.7,5.9,0.466,0.514,2.1,2.8,0.738,0.6,3.5,4.1,2.2,1.2,0.2,1.3,2.2,12.3,1968,8.7,20.0,0.435,3.2,8.1,0.39,5.5,11.9,0.466,4.2,5.6,0.738,1.1,7.1,8.2,4.5,2.3,0.4,2.6,4.4,24.7,109,106,1968,16.4,0.55,0.406,0.282,2.7,15.8,9.4,14.2,2.3,0.6,10.2,22.2,2.6,2.3,5.0,0.121,1.1,0.6,1.7,1.9,82.0,19705.0,3145.0,6613.0,0.476,662.0,1704.0,0.388,2483.0,4909.0,0.506,1859.0,2429.0,0.765,791.0,2652.0,3443.0,1813.0,605.0,352.0,1157.0,1719.0,8811.0,82.0,19705.0,3153.0,6876.0,0.459,576.0,1675.0,0.344,2577.0,5201.0,0.495,1539.0,2036.0,0.756,864.0,2525.0,3389.0,1820.0,611.0,488.0,1127.0,1864.0,8421.0,50,32,54,28,4.76,0.05,4.81,112.3,107.3,95.6,0.367,0.258,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,Pepsi Center,696568,0,0,0,0,0,0,4116,2044,2.522778681,0.225542869,2.74832155,5.749224945,5.793317329,-0.044092384,2.876465282,0.322147841,3.198613124,0.354576371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-12,2012,J.R. Smith,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,26,NYK,NBA,SG,35,1,27.6,4.7,11.6,0.407,1.9,5.5,0.347,2.8,6.1,0.462,0.49,1.1,1.6,0.709,0.8,3.1,3.9,2.4,1.5,0.2,1.3,2.5,12.5,967,8.8,21.6,0.407,3.6,10.3,0.347,5.2,11.3,0.462,2.1,2.9,0.709,1.5,5.7,7.2,4.5,2.9,0.3,2.5,4.6,23.2,104,100,967,15.2,0.508,0.477,0.136,3.4,12.9,8.1,15.2,2.9,0.5,9.7,22.0,1.0,1.5,2.5,0.122,0.8,1.3,2.1,1.0,66.0,15940.0,2365.0,5335.0,0.443,517.0,1538.0,0.336,1848.0,3797.0,0.487,1211.0,1634.0,0.741,743.0,2012.0,2755.0,1328.0,622.0,276.0,1056.0,1391.0,6458.0,66.0,15940.0,2316.0,5238.0,0.442,444.0,1238.0,0.359,1872.0,4000.0,0.468,1171.0,1590.0,0.736,717.0,2045.0,2762.0,1248.0,536.0,334.0,1125.0,1437.0,6247.0,36,30,41,25,3.2,-0.81,2.39,104.4,101.0,93.2,0.306,0.288,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,Madison Square Garden (IV),652179,0,0,0,0,0,0,2219,1142,1.759144975,0.570588042,2.329733016,2.950684608,2.97659159,-0.025906982,2.030999777,1.135714229,3.166714006,0.887913465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012-13,2013,J.R. Smith,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,NYK,NBA,SG,80,0,33.5,6.6,15.6,0.422,1.9,5.5,0.356,4.7,10.2,0.458,0.484,3.0,3.9,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,2.8,18.1,2678,10.5,24.9,0.422,3.1,8.7,0.356,7.4,16.2,0.458,4.7,6.2,0.762,1.3,7.2,8.5,4.4,2.0,0.5,2.7,4.5,28.9,107,106,2678,17.6,0.522,0.349,0.249,2.7,16.3,9.3,14.5,2.0,0.8,8.8,26.5,4.0,2.7,6.7,0.12,1.6,-0.4,1.3,2.2,82.0,19730.0,2996.0,6689.0,0.448,891.0,2371.0,0.376,2105.0,4318.0,0.487,1313.0,1729.0,0.759,890.0,2436.0,3326.0,1579.0,672.0,294.0,988.0,1650.0,8196.0,82.0,19730.0,2916.0,6365.0,0.458,639.0,1789.0,0.357,2277.0,4576.0,0.498,1378.0,1821.0,0.757,824.0,2591.0,3415.0,1580.0,523.0,327.0,1242.0,1576.0,7849.0,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,89.8,0.258,0.354,0.515,11.7,25.6,0.196,0.508,14.8,74.7,0.216,Madison Square Garden (IV),780353,0,0,0,0,0,0,5709,3029,1.497169989,0.403541049,1.900711038,7.210251406,7.010863034,0.199388372,1.959419281,0.745132065,2.704551346,0.544416983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013-14,2014,J.R. Smith,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,NYK,NBA,SF,74,37,32.7,5.4,12.9,0.415,2.6,6.5,0.394,2.8,6.4,0.436,0.514,1.2,1.9,0.652,0.5,3.5,4.0,3.0,0.9,0.3,1.5,2.6,14.5,2421,8.7,21.0,0.415,4.2,10.5,0.394,4.5,10.4,0.436,2.0,3.0,0.652,0.8,5.7,6.5,4.8,1.4,0.4,2.4,4.3,23.5,106,111,2421,13.9,0.527,0.503,0.145,1.7,13.1,7.2,15.1,1.4,0.7,9.6,21.6,2.5,1.2,3.7,0.073,1.0,-1.2,-0.2,1.1,82.0,19855.0,3027.0,6739.0,0.449,759.0,2038.0,0.372,2268.0,4701.0,0.482,1271.0,1670.0,0.761,870.0,2437.0,3307.0,1641.0,631.0,367.0,1063.0,1815.0,8084.0,82.0,19855.0,2934.0,6401.0,0.458,713.0,1921.0,0.371,2221.0,4480.0,0.496,1568.0,2050.0,0.765,843.0,2600.0,3443.0,1618.0,513.0,277.0,1193.0,1611.0,8149.0,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,90.3,0.248,0.302,0.505,12.5,25.1,0.189,0.514,14.0,74.3,0.245,Madison Square Garden (IV),812292,0,0,0,0,0,0,4638,2421,1.75020889,-3.133327255,-1.383118366,1.678540548,1.678540548,0.0,2.082828356,-2.650255079,-0.567426722,-0.55807924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
