,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1996-97,1997,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,DAL,NBA,SG,28,15,27.1,3.6,9.1,0.398,1.0,3.3,0.304,2.6,5.9,0.451,0.453,2.3,2.9,0.813,0.8,2.5,3.2,2.4,1.0,0.2,2.4,2.7,10.6,759,7.2,18.2,0.398,2.0,6.5,0.304,5.3,11.6,0.451,4.6,5.7,0.813,1.5,4.9,6.4,4.8,1.9,0.4,4.7,5.3,21.1,96,110,759,11.0,0.51,0.359,0.313,3.2,10.7,6.9,15.6,1.9,0.5,18.5,21.6,-0.2,0.5,0.3,0.017,-2.5,-0.3,-2.8,-0.2,82.0,19805.0,2813.0,6452.0,0.436,430.0,1316.0,0.327,2383.0,5136.0,0.464,1375.0,1918.0,0.717,1040.0,2262.0,3302.0,1663.0,654.0,351.0,1324.0,1798.0,7431.0,82.0,19805.0,2966.0,6469.0,0.458,538.0,1444.0,0.373,2428.0,5025.0,0.483,1482.0,1974.0,0.751,1098.0,2428.0,3526.0,1794.0,687.0,433.0,1284.0,1720.0,7952.0,24,58,23,59,-6.35,-0.12,-6.47,101.1,108.2,89.0,0.297,0.204,0.469,15.4,30.0,0.213,0.5,14.9,67.3,0.229,Reunion Arena,619178,28,27.1,-1.2,0.47,-0.72,1.19,1423,759,-1.307602683,-1.006558436,-2.31416112,0.170002795,0.170002795,0.0,-1.362675064,-1.000851543,-2.363526607,0.66382844,28,8,20,27.1,101.0,2.5,10.1,15.7,1.0,21.3,0.2,6.7,10.0,6.9,8.4,21.1,0.105,0
1,1997-98,1998,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,DAL,NBA,SG,67,19,22.5,3.0,8.3,0.357,0.7,2.4,0.294,2.3,5.9,0.382,0.4,1.0,1.3,0.774,0.5,1.9,2.4,2.5,0.8,0.1,1.6,2.1,7.6,1505,7.1,19.8,0.357,1.7,5.8,0.294,5.4,14.0,0.382,2.3,3.0,0.774,1.2,4.5,5.7,5.9,2.0,0.3,3.8,5.0,18.1,88,109,1505,9.3,0.429,0.292,0.151,2.5,9.5,6.0,18.8,2.0,0.4,15.1,21.3,-1.7,0.8,-0.9,-0.028,-3.8,-1.2,-5.0,-1.1,82.0,19905.0,2882.0,6754.0,0.427,422.0,1183.0,0.357,2460.0,5571.0,0.442,1308.0,1738.0,0.753,1008.0,2280.0,3288.0,1535.0,646.0,466.0,1182.0,1643.0,7494.0,82.0,19905.0,3138.0,6819.0,0.46,386.0,1130.0,0.342,2752.0,5689.0,0.484,1333.0,1868.0,0.714,1223.0,2644.0,3867.0,1882.0,658.0,374.0,1240.0,1608.0,7995.0,20,62,24,58,-6.11,-0.22,-6.33,100.5,107.2,89.9,0.257,0.175,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936,67,22.5,-1.51,-2.46,-3.96,-1.06,2851,1505,-2.519378981,-1.600334009,-4.11971299,-1.057418413,-1.057418413,0.0,-2.433346844,-1.603242054,-4.036588898,0.493626988,67,17,50,22.4,104.0,1.9,8.6,14.9,0.8,21.4,0.1,4.6,7.5,7.5,7.2,20.5,0.055,0
2,1998-99,1999,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DAL,NBA,SG,33,2,17.2,2.7,6.7,0.403,0.5,1.8,0.305,2.2,4.9,0.438,0.443,1.6,2.0,0.815,0.4,2.2,2.5,1.9,1.2,0.1,1.1,1.3,7.5,567,8.5,21.0,0.403,1.7,5.6,0.305,6.8,15.4,0.438,5.0,6.2,0.815,1.1,6.8,7.9,6.1,3.8,0.2,3.4,4.2,23.7,102,101,567,18.0,0.499,0.267,0.294,2.4,14.1,8.2,19.9,3.8,0.3,12.6,23.1,0.7,0.7,1.3,0.112,0.4,1.4,1.8,0.6,50.0,12075.0,1749.0,4033.0,0.434,202.0,595.0,0.339,1547.0,3438.0,0.45,881.0,1210.0,0.728,645.0,1478.0,2123.0,921.0,352.0,292.0,692.0,1065.0,4581.0,50.0,12075.0,1815.0,4037.0,0.45,216.0,686.0,0.315,1599.0,3351.0,0.477,855.0,1193.0,0.717,660.0,1519.0,2179.0,1073.0,361.0,244.0,699.0,1042.0,4701.0,19,31,21,29,-2.4,-0.1,-2.5,102.3,104.9,89.0,0.3,0.148,0.459,13.2,29.8,0.218,0.476,13.3,69.1,0.212,Reunion Arena,362837,33,17.2,1.27,1.31,2.57,2.26,1063,567,1.219018486,1.49680121,2.715819696,1.58945207,1.58945207,0.0,1.392359378,1.186355046,2.578714424,0.471347688,33,10,23,17.2,98.9,2.2,12.7,19.9,1.2,36.4,0.1,3.1,5.0,4.2,4.5,13.8,0.056,0
3,1999-00,2000,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,DAL,NBA,SG,68,67,29.8,4.6,10.7,0.433,1.1,2.7,0.392,3.6,8.0,0.447,0.483,2.4,2.9,0.831,1.0,3.7,4.8,3.1,1.5,0.2,1.5,2.8,12.8,2025,7.9,18.2,0.433,1.8,4.6,0.392,6.1,13.6,0.447,4.0,4.9,0.831,1.7,6.3,8.1,5.3,2.6,0.3,2.5,4.7,21.7,108,105,2025,16.5,0.531,0.255,0.267,3.7,13.4,8.6,15.9,2.6,0.4,11.1,20.0,3.2,1.7,4.9,0.116,0.5,0.6,1.1,1.6,82.0,19730.0,3195.0,7047.0,0.453,519.0,1326.0,0.391,2676.0,5721.0,0.468,1407.0,1751.0,0.804,931.0,2444.0,3375.0,1810.0,592.0,416.0,1124.0,1770.0,8316.0,82.0,19730.0,3225.0,7053.0,0.457,429.0,1244.0,0.345,2796.0,5809.0,0.481,1484.0,2005.0,0.74,1251.0,2719.0,3970.0,1901.0,604.0,416.0,1318.0,1814.0,8363.0,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,94.9,0.248,0.188,0.49,12.6,25.5,0.2,0.488,14.2,66.1,0.21,Reunion Arena,606177,68,29.8,1.36,-1.05,0.31,3.91,4050,2025,1.822128784,0.498721914,2.320850698,5.246470088,5.246470088,0.0,1.87083576,0.930475567,2.801311326,0.134797742,68,36,32,29.8,102.5,3.7,12.0,19.7,1.5,30.7,0.2,6.0,9.4,10.7,9.1,26.9,0.078,0
4,2000-01,2001,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NYK,NBA,PG,28,0,15.0,1.4,4.7,0.305,0.6,1.7,0.34,0.9,3.0,0.286,0.366,0.9,1.0,0.857,0.3,1.5,1.9,1.0,0.8,0.0,0.8,1.6,4.3,421,5.3,17.2,0.305,2.1,6.2,0.34,3.2,11.0,0.286,3.2,3.7,0.857,1.2,5.7,6.8,3.8,2.9,0.1,2.8,6.0,15.8,87,97,421,8.4,0.419,0.359,0.214,2.7,12.0,7.5,11.5,2.9,0.2,12.8,19.1,-0.4,0.7,0.3,0.039,-3.9,2.1,-1.8,0.0,82.0,19905.0,2755.0,6198.0,0.444,391.0,1115.0,0.351,2364.0,5083.0,0.465,1374.0,1727.0,0.796,773.0,2524.0,3297.0,1520.0,545.0,346.0,1189.0,1863.0,7275.0,82.0,19905.0,2568.0,6159.0,0.417,445.0,1266.0,0.352,2123.0,4893.0,0.434,1478.0,2015.0,0.733,872.0,2418.0,3290.0,1573.0,596.0,338.0,1216.0,1754.0,7059.0,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,86.7,0.279,0.18,0.476,14.6,24.2,0.222,0.453,14.7,74.3,0.24,Madison Square Garden (IV),810283,50,16.6,-1.5,2.7,1.2,2.15,1559,830,-1.862217535,1.845957605,-0.016259931,1.168251961,1.168251961,0.0,-1.587589632,1.735666402,0.14807677,1.517967788,50,21,29,16.6,93.8,2.2,13.5,21.1,0.9,32.4,0.0,2.6,5.4,4.4,2.8,10.9,0.084,0
5,2000-01,2001,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,VAN,NBA,PG,22,0,18.6,1.9,6.2,0.301,0.6,2.2,0.292,1.2,4.0,0.307,0.353,2.0,2.3,0.863,0.4,3.0,3.5,3.0,1.0,0.0,1.2,1.9,6.4,409,5.2,17.4,0.301,1.8,6.1,0.292,3.5,11.3,0.307,5.6,6.5,0.863,1.2,8.6,9.7,8.4,2.8,0.1,3.5,5.4,17.9,95,102,409,13.1,0.442,0.353,0.375,2.5,18.6,10.6,25.8,2.8,0.2,14.6,20.7,0.0,0.5,0.5,0.053,-2.1,1.2,-0.8,0.1,82.0,19780.0,2870.0,6539.0,0.439,325.0,947.0,0.343,2545.0,5592.0,0.455,1457.0,1892.0,0.77,894.0,2431.0,3325.0,1899.0,586.0,359.0,1291.0,1733.0,7522.0,82.0,19780.0,3143.0,6791.0,0.463,389.0,1075.0,0.362,2754.0,5716.0,0.482,1317.0,1798.0,0.732,1052.0,2534.0,3586.0,1935.0,710.0,476.0,1217.0,1768.0,7992.0,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,91.7,0.289,0.145,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,General Motors Place,563218,50,16.6,-1.5,2.7,1.2,2.15,1559,830,-1.862217535,1.845957605,-0.016259931,1.168251961,1.168251961,0.0,-1.587589632,1.735666402,0.14807677,1.517967788,50,21,29,16.6,93.8,2.2,13.5,21.1,0.9,32.4,0.0,2.6,5.4,4.4,2.8,10.9,0.084,0
6,2001-02,2002,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,BOS,NBA,PG,79,4,20.8,2.4,6.2,0.389,1.2,3.1,0.385,1.2,3.1,0.394,0.487,1.7,2.0,0.845,0.3,2.4,2.7,2.3,0.7,0.0,1.2,1.8,7.7,1643,6.0,15.4,0.389,3.0,7.8,0.385,3.0,7.6,0.394,4.1,4.9,0.845,0.7,6.0,6.7,5.8,1.8,0.0,3.0,4.6,19.1,106,103,1643,12.9,0.545,0.506,0.318,1.4,13.1,7.1,18.6,1.8,0.0,14.5,18.0,1.8,2.0,3.8,0.111,-0.9,0.4,-0.5,0.6,82.0,19830.0,2852.0,6731.0,0.424,699.0,1946.0,0.359,2153.0,4785.0,0.45,1498.0,1960.0,0.764,891.0,2570.0,3461.0,1722.0,793.0,292.0,1114.0,1776.0,7901.0,82.0,19830.0,2797.0,6579.0,0.425,514.0,1511.0,0.34,2283.0,5068.0,0.45,1612.0,2091.0,0.771,954.0,2807.0,3761.0,1802.0,623.0,476.0,1335.0,1734.0,7720.0,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,92.5,0.291,0.289,0.476,12.8,24.1,0.223,0.464,15.1,72.9,0.245,FleetCenter,659751,79,20.8,-0.12,-2.38,-2.49,0.16,3427,1761,-0.451276707,-1.003491107,-1.454767814,1.165744892,1.16970099,-0.003956099,-0.644710974,-1.220622932,-1.865333906,0.409774082,79,47,32,20.8,100.1,2.4,11.5,18.1,0.7,19.9,0.0,0.9,7.0,5.9,5.2,13.0,0.077,0
7,2002-03,2003,Erick Strickland,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,IND,NBA,SG,71,10,18.0,2.3,5.4,0.429,0.9,2.3,0.388,1.4,3.1,0.459,0.511,1.0,1.2,0.805,0.3,1.7,2.0,2.9,0.5,0.1,1.4,1.6,6.5,1275,6.7,15.6,0.429,2.5,6.6,0.388,4.2,9.0,0.459,2.9,3.6,0.805,0.9,5.0,6.0,8.6,1.6,0.3,4.0,4.6,18.8,104,104,1275,13.5,0.547,0.421,0.229,2.1,10.5,6.4,27.2,1.6,0.4,19.0,18.3,1.4,1.3,2.7,0.101,0.3,-0.1,0.2,0.7,82.0,19905.0,2911.0,6608.0,0.441,379.0,1119.0,0.339,2532.0,5489.0,0.461,1739.0,2271.0,0.766,1004.0,2622.0,3626.0,1910.0,696.0,443.0,1210.0,1811.0,7940.0,82.0,19905.0,2860.0,6690.0,0.428,407.0,1197.0,0.34,2453.0,5493.0,0.447,1527.0,1992.0,0.767,1006.0,2458.0,3464.0,1696.0,620.0,513.0,1258.0,1923.0,7654.0,48,34,51,31,3.49,-0.7,2.79,104.6,100.8,91.6,0.344,0.169,0.469,13.7,29.0,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,670461,71,18.0,0.66,0.81,1.46,3.78,2540,1317,1.28121547,-1.167667815,0.113547655,1.937292683,1.713576605,0.223716078,0.932046911,-1.916974563,-0.984927652,0.130320618,71,40,31,18.0,98.1,1.7,9.2,14.2,0.5,21.0,0.1,5.5,6.1,5.1,4.6,13.6,0.07,0
8,2003-04,2004,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,MIL,NBA,PG,43,0,13.3,1.8,4.6,0.403,0.7,1.5,0.439,1.2,3.0,0.385,0.477,1.0,1.2,0.863,0.3,1.3,1.7,2.1,0.6,0.0,1.3,1.5,5.4,571,7.3,18.0,0.403,2.7,6.1,0.439,4.6,11.9,0.385,4.0,4.7,0.863,1.2,5.3,6.5,8.3,2.4,0.2,5.0,5.8,21.2,100,105,571,14.0,0.529,0.337,0.26,2.6,11.5,7.1,25.7,2.4,0.3,19.8,21.6,0.4,0.4,0.8,0.069,-0.1,0.0,-0.1,0.3,82.0,19780.0,2970.0,6650.0,0.447,401.0,1145.0,0.35,2569.0,5505.0,0.467,1698.0,2192.0,0.775,960.0,2502.0,3462.0,1872.0,554.0,383.0,1110.0,1668.0,8039.0,82.0,19780.0,3034.0,6719.0,0.452,456.0,1296.0,0.352,2578.0,5423.0,0.475,1428.0,1932.0,0.739,983.0,2521.0,3504.0,1870.0,615.0,406.0,1164.0,1878.0,7952.0,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,91.6,0.33,0.172,0.477,12.7,27.6,0.255,0.485,13.3,71.8,0.213,Bradley Center,690180,43,13.3,0.74,-1.3,-0.56,1.1,1180,612,0.53633312,-1.476784528,-0.940451408,0.573925772,0.430168113,0.143757659,0.668981109,-1.71014304,-1.041161931,0.44204694,43,21,22,13.3,101.8,1.3,10.2,16.9,0.6,31.0,0.0,3.3,4.2,4.4,3.7,10.7,0.034,0
9,2004-05,2005,Erick Strickland,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,MIL,NBA,SG,62,5,16.4,1.8,4.9,0.375,0.3,1.3,0.253,1.5,3.6,0.421,0.41,0.8,1.0,0.813,0.2,1.5,1.7,1.9,0.5,0.0,1.0,1.7,4.9,1014,5.9,15.9,0.375,1.1,4.3,0.253,4.8,11.5,0.421,2.7,3.3,0.813,0.6,4.8,5.4,6.0,1.6,0.1,3.3,5.4,15.7,92,111,1014,8.1,0.453,0.273,0.211,1.3,10.7,6.0,17.8,1.6,0.1,16.2,17.8,-0.6,0.4,-0.3,-0.012,-3.8,-0.7,-4.6,-0.6,82.0,19780.0,2964.0,6580.0,0.45,325.0,925.0,0.351,2639.0,5655.0,0.467,1720.0,2229.0,0.772,985.0,2405.0,3390.0,1720.0,529.0,289.0,1132.0,1797.0,7973.0,82.0,19780.0,3098.0,6678.0,0.464,463.0,1349.0,0.343,2635.0,5329.0,0.494,1559.0,2022.0,0.771,935.0,2413.0,3348.0,1953.0,611.0,370.0,1067.0,1953.0,8218.0,30,52,32,50,-2.99,-0.1,-3.09,106.6,109.8,90.8,0.339,0.141,0.475,13.0,29.0,0.261,0.499,12.4,72.0,0.233,Bradley Center,637009,62,16.4,-2.02,-1.56,-3.58,-0.26,1940,1014,-2.465723462,-1.617540922,-4.083264384,-0.693380173,-0.693380173,0.0,-2.456475224,-2.027835766,-4.48431099,0.483739326,62,20,42,16.3,105.4,1.5,9.6,15.2,0.5,21.4,0.0,1.4,5.7,4.5,4.8,13.6,0.038,0
