,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2000-01,2001,Stromile Swift,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,VAN,NBA,PF,80,6,16.4,1.9,4.2,0.451,0.0,0.1,0.0,1.9,4.2,0.457,0.451,1.1,1.8,0.603,1.4,2.2,3.6,0.4,0.8,1.0,0.8,2.0,4.9,1312,6.1,13.5,0.451,0.0,0.2,0.0,6.1,13.4,0.457,3.4,5.6,0.603,4.3,7.0,11.3,1.1,2.5,3.3,2.6,6.4,15.6,97,101,1312,13.1,0.487,0.012,0.416,9.6,15.1,12.4,3.5,2.5,4.3,13.8,16.2,0.2,1.6,1.9,0.069,-2.9,0.9,-2.0,0.0,82.0,19780.0,2870.0,6539.0,0.439,325.0,947.0,0.343,2545.0,5592.0,0.455,1457.0,1892.0,0.77,894.0,2431.0,3325.0,1899.0,586.0,359.0,1291.0,1733.0,7522.0,82.0,19780.0,3143.0,6791.0,0.463,389.0,1075.0,0.362,2754.0,5716.0,0.482,1317.0,1798.0,0.732,1052.0,2534.0,3586.0,1935.0,710.0,476.0,1217.0,1768.0,7992.0,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,91.7,0.289,0.145,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,General Motors Place,563218,80,16.4,-2.09,0.71,-1.38,1.24,2535,1312,-2.463716567,0.350211891,-2.113504676,0.426876459,0.426876459,0.0,-2.436664721,0.301746878,-2.134917842,0.177220519,80,22,58,16.4,103.7,2.2,13.7,22.4,0.8,29.4,1.0,54.7,5.9,5.2,4.7,13.5,0.031,0
1,2001-02,2002,Stromile Swift,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,MEM,NBA,PF,68,14,26.5,4.3,9.0,0.48,0.0,0.0,0.0,4.3,8.9,0.482,0.48,3.2,4.5,0.711,2.4,4.0,6.3,0.7,0.8,1.7,1.8,2.6,11.8,1805,8.6,17.8,0.48,0.0,0.1,0.0,8.6,17.7,0.482,6.3,8.9,0.711,4.7,7.9,12.5,1.5,1.5,3.3,3.6,5.2,23.4,103,104,1805,17.2,0.539,0.005,0.499,10.0,16.6,13.3,5.0,1.5,4.3,14.1,21.8,1.7,2.0,3.7,0.099,-1.1,0.0,-1.0,0.4,82.0,19780.0,2851.0,6535.0,0.436,336.0,1096.0,0.307,2515.0,5439.0,0.462,1334.0,1883.0,0.708,984.0,2413.0,3397.0,1785.0,646.0,488.0,1344.0,1571.0,7372.0,82.0,19780.0,3119.0,6829.0,0.457,398.0,1112.0,0.358,2721.0,5717.0,0.476,1346.0,1788.0,0.753,1135.0,2560.0,3695.0,1961.0,781.0,457.0,1207.0,1784.0,7982.0,23,59,20,62,-7.44,0.7,-6.74,98.2,106.3,91.1,0.288,0.168,0.462,15.4,27.8,0.204,0.486,13.7,68.0,0.197,Pyramid Arena,591030,68,26.5,-1.22,0.32,-0.9,2.08,3465,1805,-1.982280577,-0.615960631,-2.598241208,0.139409794,0.139409794,0.0,-2.153981314,-0.640769442,-2.794750756,-0.227586801,68,19,49,26.5,103.7,4.0,14.3,24.4,0.8,18.0,1.7,46.5,10.2,8.7,7.6,23.9,0.065,0
2,2002-03,2003,Stromile Swift,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MEM,NBA,PF,67,26,22.1,3.5,7.3,0.481,0.0,0.0,0.0,3.5,7.3,0.483,0.481,2.6,3.7,0.722,1.7,4.0,5.7,0.7,0.8,1.6,1.5,2.3,9.7,1478,8.2,17.1,0.481,0.0,0.1,0.0,8.2,17.1,0.483,6.2,8.6,0.722,4.0,9.5,13.5,1.6,1.9,3.6,3.5,5.3,22.7,104,103,1478,18.0,0.542,0.004,0.501,8.8,20.3,14.6,5.0,1.9,4.8,14.2,21.2,1.6,1.7,3.3,0.108,-0.7,0.5,-0.1,0.7,82.0,19930.0,3049.0,6743.0,0.452,467.0,1279.0,0.365,2582.0,5464.0,0.473,1430.0,1936.0,0.739,943.0,2466.0,3409.0,1892.0,651.0,500.0,1262.0,1678.0,7995.0,82.0,19930.0,3224.0,7008.0,0.46,431.0,1188.0,0.363,2793.0,5820.0,0.48,1381.0,1819.0,0.759,1126.0,2555.0,3681.0,1991.0,714.0,430.0,1213.0,1782.0,8260.0,28,54,32,50,-3.23,0.63,-2.6,103.9,107.3,92.7,0.287,0.19,0.487,14.2,27.0,0.212,0.491,13.4,68.7,0.197,Pyramid Arena,611322,67,22.1,-0.7,0.71,0.01,3.05,2887,1478,-1.698035494,0.504447658,-1.193587836,1.171479389,1.171479389,0.0,-1.549050088,0.258809286,-1.290240803,-0.17049349,67,26,41,22.0,102.5,4.0,17.7,29.6,0.8,20.8,1.6,51.5,8.1,7.4,5.8,20.1,0.055,0
3,2003-04,2004,Stromile Swift,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,MEM,NBA,PF,77,10,19.8,3.5,7.4,0.469,0.0,0.1,0.25,3.5,7.4,0.471,0.47,2.5,3.4,0.725,1.8,3.1,4.9,0.5,0.7,1.5,1.1,2.4,9.4,1528,9.2,19.6,0.469,0.0,0.1,0.25,9.2,19.5,0.471,6.5,9.0,0.725,4.8,8.1,13.0,1.3,1.9,4.1,3.0,6.5,25.0,106,99,1528,19.2,0.53,0.007,0.459,10.3,17.7,14.0,4.4,1.9,5.6,11.4,22.8,2.4,2.4,4.8,0.15,-0.2,0.7,0.5,1.0,82.0,19880.0,2963.0,6657.0,0.445,447.0,1314.0,0.34,2516.0,5343.0,0.471,1557.0,2143.0,0.727,1047.0,2381.0,3428.0,1915.0,795.0,565.0,1226.0,1903.0,7930.0,82.0,19880.0,2859.0,6550.0,0.436,369.0,1091.0,0.338,2490.0,5459.0,0.456,1643.0,2150.0,0.764,1099.0,2508.0,3607.0,1674.0,673.0,461.0,1395.0,1891.0,7730.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,91.4,0.322,0.197,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251,Pyramid Arena,622723,77,19.8,0.35,1.44,1.79,5.38,3077,1602,-1.186476344,-0.155916408,-1.342392752,1.146883249,1.138405836,0.008477412,-1.046871989,-0.22330028,-1.27017227,-0.122401587,77,48,29,19.9,98.0,3.1,15.3,26.2,0.7,17.3,1.5,46.6,6.9,6.7,4.8,16.3,0.076,0
4,2004-05,2005,Stromile Swift,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,MEM,NBA,PF,60,14,21.3,3.7,8.1,0.449,0.0,0.1,0.0,3.7,8.1,0.452,0.449,2.8,3.7,0.758,1.5,3.0,4.6,0.7,0.7,1.5,1.5,3.0,10.1,1279,9.3,20.7,0.449,0.0,0.2,0.0,9.3,20.5,0.452,7.0,9.3,0.758,3.9,7.7,11.6,1.8,1.7,3.9,3.8,7.7,25.6,101,100,1279,16.7,0.517,0.008,0.449,8.7,16.9,12.8,6.2,1.7,5.7,13.3,24.9,0.6,2.3,2.9,0.107,-2.4,1.1,-1.3,0.2,82.0,19705.0,2802.0,6271.0,0.447,531.0,1486.0,0.357,2271.0,4785.0,0.475,1526.0,2024.0,0.754,887.0,2307.0,3194.0,1716.0,699.0,476.0,1197.0,1910.0,7661.0,82.0,19705.0,2684.0,6215.0,0.432,426.0,1215.0,0.351,2258.0,5000.0,0.452,1679.0,2179.0,0.771,993.0,2387.0,3380.0,1633.0,612.0,476.0,1303.0,1853.0,7473.0,45,37,48,34,2.29,0.34,2.64,105.5,102.9,88.5,0.323,0.237,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,FedEx Forum,691362,60,21.3,-1.04,0.36,-0.68,2.06,2478,1327,-2.213855685,-0.290836937,-2.504692622,0.165357572,0.094782908,0.070574664,-2.038617795,-0.214066877,-2.252684672,0.254712994,60,32,28,21.3,100.7,3.0,14.4,24.5,0.7,16.9,1.5,50.0,7.3,6.7,5.4,14.9,0.083,0
5,2005-06,2006,Stromile Swift,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,HOU,NBA,C,66,5,20.4,3.4,6.9,0.491,0.0,0.0,0.0,3.4,6.9,0.493,0.491,2.1,3.2,0.651,1.6,2.8,4.4,0.4,0.6,0.8,1.4,3.0,8.9,1344,9.1,18.6,0.491,0.0,0.1,0.0,9.1,18.5,0.493,5.5,8.5,0.651,4.2,7.6,11.8,1.0,1.5,2.0,3.7,8.0,23.8,100,102,1344,14.6,0.533,0.004,0.456,9.1,16.1,12.7,3.6,1.5,3.0,14.2,22.7,0.4,2.1,2.5,0.091,-2.8,0.1,-2.7,-0.2,82.0,19830.0,2708.0,6252.0,0.433,469.0,1414.0,0.332,2239.0,4838.0,0.463,1502.0,1980.0,0.759,849.0,2565.0,3414.0,1580.0,588.0,320.0,1193.0,1863.0,7387.0,82.0,19830.0,2708.0,6310.0,0.429,541.0,1465.0,0.369,2167.0,4845.0,0.447,1560.0,2135.0,0.731,874.0,2477.0,3351.0,1647.0,582.0,373.0,1094.0,1716.0,7517.0,34,48,36,46,-1.59,0.28,-1.3,101.6,103.3,88.0,0.317,0.226,0.471,14.3,25.5,0.24,0.472,13.1,74.6,0.247,Toyota Center,636110,66,20.4,-1.77,0.23,-1.54,1.2,2492,1344,-3.925415709,-0.134319332,-4.059735041,-0.9040231,-0.9040231,0.0,-3.723719522,-0.048740767,-3.77246029,0.60463936,66,26,40,20.4,101.5,2.8,14.0,21.9,0.6,19.9,0.8,38.8,6.4,5.2,4.2,12.6,0.075,0
6,2006-07,2007,Stromile Swift,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,MEM,NBA,C,54,18,19.1,3.0,6.4,0.465,0.0,0.1,0.0,3.0,6.3,0.472,0.465,1.8,2.5,0.724,1.6,3.1,4.6,0.3,0.6,1.1,1.3,2.7,7.8,1029,8.0,17.2,0.465,0.0,0.2,0.0,8.0,17.0,0.472,4.8,6.7,0.724,4.2,8.2,12.5,0.8,1.5,3.1,3.4,7.3,20.9,100,109,1029,14.2,0.517,0.014,0.387,9.9,19.2,14.5,2.8,1.5,4.6,14.6,20.8,0.2,0.8,1.0,0.047,-3.0,-0.9,-4.0,-0.5,82.0,19980.0,2998.0,6448.0,0.465,500.0,1362.0,0.367,2498.0,5086.0,0.491,1835.0,2410.0,0.761,866.0,2375.0,3241.0,1680.0,564.0,407.0,1343.0,1827.0,8331.0,82.0,19980.0,3287.0,6761.0,0.486,576.0,1480.0,0.389,2711.0,5281.0,0.513,1603.0,2113.0,0.759,965.0,2483.0,3448.0,2062.0,681.0,450.0,1253.0,1992.0,8753.0,22,60,27,55,-5.15,0.71,-4.44,106.9,112.3,93.6,0.374,0.211,0.504,15.2,25.9,0.285,0.529,14.0,71.1,0.237,FedEx Forum,600836,54,19.1,-1.98,0.6,-1.37,1.24,2030,1029,-4.003627575,-0.980025723,-4.983653298,-1.175969598,-1.175969598,0.0,-3.560211353,-0.717287193,-4.277498545,0.262703556,54,15,39,19.1,108.9,3.1,17.0,25.9,0.6,18.5,1.1,53.4,7.5,5.5,5.9,15.4,0.029,0
7,2007-08,2008,Stromile Swift,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,MEM,NBA,PF,35,4,15.7,2.7,5.1,0.525,0.0,0.1,0.0,2.7,5.0,0.531,0.525,1.5,2.3,0.642,1.3,2.4,3.7,0.6,0.3,1.0,1.1,2.1,6.8,549,8.5,16.2,0.525,0.0,0.2,0.0,8.5,16.1,0.531,4.8,7.4,0.642,4.2,7.6,11.8,2.0,0.9,3.3,3.6,6.8,21.8,105,109,549,15.9,0.56,0.011,0.458,9.3,17.1,13.2,6.6,0.9,4.8,15.5,20.4,0.4,0.5,0.9,0.079,-2.0,0.1,-1.9,0.0,82.0,19805.0,3060.0,6737.0,0.454,620.0,1779.0,0.349,2440.0,4958.0,0.492,1517.0,2097.0,0.723,848.0,2567.0,3415.0,1574.0,503.0,386.0,1251.0,1592.0,8257.0,82.0,19805.0,3394.0,7076.0,0.48,591.0,1625.0,0.364,2803.0,5451.0,0.514,1387.0,1791.0,0.774,932.0,2721.0,3653.0,1963.0,711.0,403.0,1096.0,1842.0,8766.0,22,60,25,57,-6.21,0.45,-5.76,105.0,111.4,95.3,0.311,0.264,0.5,14.0,23.8,0.225,0.521,12.2,73.4,0.196,FedEx Forum,523578,56,15.1,-1.18,-0.21,-1.39,0.77,1672,844,-2.693042007,-1.143211357,-3.836253364,-0.473557511,-0.473557511,0.0,-2.955158139,-1.388906608,-4.344064747,0.395078616,56,20,36,15.1,104.4,2.4,15.7,25.0,0.3,14.6,1.0,52.4,5.3,3.9,4.3,12.5,0.049,0
8,2007-08,2008,Stromile Swift,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,NJN,NBA,PF,21,0,14.0,2.0,4.2,0.477,0.0,0.0,,2.0,4.2,0.477,0.477,1.0,1.3,0.75,0.9,2.5,3.3,0.2,0.2,0.9,0.6,1.9,5.0,295,7.5,15.7,0.477,0.0,0.0,,7.5,15.7,0.477,3.7,5.0,0.75,3.2,9.2,12.5,0.7,0.9,3.2,2.1,6.9,18.7,103,106,295,12.7,0.523,0.0,0.318,7.1,20.5,13.7,2.3,0.9,4.7,10.7,17.4,0.1,0.3,0.5,0.074,-3.7,-0.7,-4.4,-0.2,82.0,19830.0,2856.0,6450.0,0.443,498.0,1430.0,0.348,2358.0,5020.0,0.47,1647.0,2237.0,0.736,913.0,2520.0,3433.0,1925.0,521.0,390.0,1229.0,1855.0,7857.0,82.0,19830.0,2982.0,6543.0,0.456,534.0,1448.0,0.369,2448.0,5095.0,0.48,1774.0,2311.0,0.768,896.0,2517.0,3413.0,1810.0,662.0,362.0,1098.0,1836.0,8272.0,34,48,27,55,-5.06,-0.09,-5.15,104.0,109.4,91.5,0.347,0.222,0.481,14.2,26.6,0.255,0.497,12.7,73.8,0.271,Izod Center,641921,56,15.1,-1.18,-0.21,-1.39,0.77,1672,844,-2.693042007,-1.143211357,-3.836253364,-0.473557511,-0.473557511,0.0,-2.955158139,-1.388906608,-4.344064747,0.395078616,56,20,36,15.1,104.4,2.4,15.7,25.0,0.3,14.6,1.0,52.4,5.3,3.9,4.3,12.5,0.049,0
9,2008-09,2009,Stromile Swift,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NJN,NBA,PF,6,0,10.7,1.5,2.5,0.6,0.0,0.0,,1.5,2.5,0.6,0.6,0.8,1.8,0.455,0.8,1.3,2.2,0.2,0.0,0.3,1.2,2.5,3.8,64,7.5,12.5,0.6,0.0,0.0,,7.5,12.5,0.6,4.2,9.2,0.455,4.2,6.7,10.8,0.8,0.0,1.7,5.8,12.5,19.2,91,113,64,6.6,0.58,0.0,0.733,9.2,15.1,12.1,2.6,0.0,2.6,26.1,19.6,-0.1,0.0,0.0,-0.026,-7.7,-1.7,-9.5,-0.1,82.0,19830.0,2925.0,6536.0,0.448,652.0,1735.0,0.376,2273.0,4801.0,0.473,1542.0,1980.0,0.779,850.0,2415.0,3265.0,1636.0,559.0,391.0,1075.0,1838.0,8044.0,82.0,19830.0,2953.0,6385.0,0.462,600.0,1536.0,0.391,2353.0,4849.0,0.485,1738.0,2281.0,0.762,872.0,2523.0,3395.0,1793.0,567.0,393.0,1103.0,1680.0,8244.0,34,48,34,48,-2.44,0.13,-2.31,108.3,111.0,89.9,0.303,0.265,0.497,12.7,25.2,0.236,0.509,13.0,73.5,0.272,Izod Center,621062,19,9.7,-3.08,-0.33,-3.41,-0.07,366,185,-5.550934813,-1.458906576,-7.009841389,-0.413143003,-0.413143003,0.0,-5.231767947,-1.282962002,-6.514729949,1.770580829,19,10,9,9.7,101.9,1.6,15.8,24.6,0.2,13.8,0.4,50.0,3.4,3.2,2.9,8.5,0.041,0
