,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2004-05,2005,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,19,POR,NBA,PG,68,26,19.6,2.5,6.3,0.393,0.3,1.0,0.246,2.2,5.3,0.421,0.413,1.5,2.0,0.789,0.1,1.4,1.5,3.3,0.5,0.1,1.8,1.8,6.8,1330,6.8,17.3,0.393,0.7,2.8,0.246,6.1,14.5,0.421,4.2,5.3,0.789,0.4,3.8,4.2,9.0,1.4,0.2,5.0,4.8,18.5,93,111,1330,9.7,0.471,0.16,0.309,0.9,7.8,4.5,27.8,1.4,0.2,20.4,21.2,-0.9,0.5,-0.4,-0.013,-3.4,-2.5,-5.9,-1.3,82.0,19730.0,2896.0,6422.0,0.451,420.0,1161.0,0.362,2476.0,5261.0,0.471,1409.0,1944.0,0.725,970.0,2404.0,3374.0,1722.0,583.0,544.0,1308.0,1703.0,7621.0,82.0,19730.0,3056.0,6842.0,0.447,440.0,1283.0,0.343,2616.0,5559.0,0.471,1397.0,1851.0,0.755,1149.0,2312.0,3461.0,1923.0,700.0,414.0,1102.0,1670.0,7949.0,27,55,29,53,-4.0,0.55,-3.45,103.2,107.7,89.8,0.303,0.181,0.484,15.2,29.6,0.219,0.479,12.6,67.7,0.204,Rose Garden Arena,680374,68,19.6,-1.58,-3.13,-4.71,-1.33,2517,1330,-3.062229984,-3.32693849,-6.389168473,-2.475031522,-2.475031522,0.0,-3.129295108,-3.493765681,-6.623060789,0.209286524,68,19,49,19.6,106.6,1.4,6.9,11.6,0.5,18.8,0.1,1.9,8.0,6.6,6.4,17.9,0.04,0.0
1,2005-06,2006,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,POR,NBA,PG,68,30,24.1,3.4,8.5,0.394,0.8,2.4,0.352,2.5,6.1,0.411,0.444,1.9,2.6,0.743,0.3,1.5,1.8,3.6,1.0,0.1,1.7,2.5,9.5,1641,7.6,19.3,0.394,1.9,5.4,0.352,5.7,13.9,0.411,4.3,5.8,0.743,0.6,3.4,4.0,8.2,2.2,0.2,3.8,5.6,21.5,99,114,1641,13.0,0.491,0.28,0.303,1.4,7.5,4.4,26.5,2.2,0.3,14.9,22.2,0.4,0.2,0.6,0.017,-1.2,-1.6,-2.8,-0.3,82.0,19730.0,2791.0,6267.0,0.445,364.0,1042.0,0.349,2427.0,5225.0,0.464,1339.0,1944.0,0.689,886.0,2203.0,3089.0,1490.0,529.0,435.0,1205.0,1828.0,7285.0,82.0,19730.0,3032.0,6472.0,0.468,498.0,1306.0,0.381,2534.0,5166.0,0.491,1498.0,1971.0,0.76,1029.0,2445.0,3474.0,1737.0,592.0,403.0,1060.0,1704.0,8060.0,21,61,16,66,-9.45,0.54,-8.91,101.1,111.9,87.6,0.31,0.166,0.474,14.5,26.6,0.214,0.507,12.6,68.2,0.231,Rose Garden Arena,617019,68,24.1,-0.36,-0.48,-0.85,2.2,3029,1641,-0.855935684,-1.979744811,-2.835680495,-0.072125315,-0.072125315,0.0,-0.717643018,-1.287696785,-2.005339803,0.498588338,68,17,51,24.1,107.3,1.5,6.7,11.2,1.0,27.8,0.1,3.1,8.9,6.8,7.0,19.4,0.045,0.0
2,2006-07,2007,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,BOS,NBA,PG,78,30,20.2,2.3,6.1,0.371,0.5,1.6,0.289,1.8,4.4,0.402,0.41,1.2,1.4,0.818,0.2,1.2,1.4,2.8,0.6,0.1,1.3,2.1,6.1,1578,5.8,15.7,0.371,1.2,4.2,0.289,4.6,11.4,0.402,3.0,3.6,0.818,0.6,3.0,3.6,7.2,1.4,0.4,3.2,5.5,15.8,95,110,1578,8.6,0.458,0.27,0.232,1.3,7.1,4.1,22.7,1.4,0.5,15.8,17.8,-0.5,1.0,0.5,0.015,-3.2,-1.0,-4.2,-0.9,82.0,19855.0,2858.0,6454.0,0.443,471.0,1283.0,0.367,2387.0,5171.0,0.462,1670.0,2178.0,0.767,918.0,2391.0,3309.0,1630.0,589.0,382.0,1350.0,1971.0,7857.0,82.0,19855.0,2966.0,6337.0,0.468,429.0,1212.0,0.354,2537.0,5125.0,0.495,1776.0,2376.0,0.747,848.0,2476.0,3324.0,1811.0,604.0,449.0,1250.0,1757.0,8137.0,24,58,31,51,-3.41,-0.29,-3.7,103.2,106.9,92.0,0.337,0.199,0.479,15.4,27.0,0.259,0.502,14.5,73.8,0.28,TD Banknorth Garden,690576,78,20.2,-1.01,1.18,0.17,3.57,3059,1578,-1.974173217,-0.389132734,-2.363305951,0.312524283,0.312524283,0.0,-2.176285952,-0.533341163,-2.709627116,0.358211969,78,21,57,20.2,104.1,1.2,6.1,9.7,0.6,18.9,0.1,7.7,7.6,5.5,4.5,17.3,0.061,0.0
3,2007-08,2008,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,MIN,NBA,PG,60,51,32.2,3.7,9.3,0.401,0.5,1.9,0.281,3.2,7.4,0.432,0.43,1.3,1.8,0.743,0.3,2.0,2.3,5.9,1.0,0.2,1.9,2.9,9.3,1933,6.0,15.0,0.401,0.9,3.1,0.281,5.2,11.9,0.432,2.1,2.8,0.743,0.4,3.2,3.6,9.6,1.6,0.3,3.0,4.6,15.0,100,114,1933,10.4,0.462,0.205,0.189,0.9,7.4,4.0,27.7,1.6,0.5,15.6,16.6,0.2,0.5,0.7,0.018,-2.2,-1.0,-3.1,-0.6,82.0,19730.0,3076.0,6817.0,0.451,441.0,1259.0,0.35,2635.0,5558.0,0.474,1246.0,1693.0,0.736,964.0,2428.0,3392.0,1630.0,616.0,306.0,1188.0,1885.0,7839.0,82.0,19730.0,3056.0,6481.0,0.472,541.0,1516.0,0.357,2515.0,4965.0,0.507,1742.0,2266.0,0.769,871.0,2545.0,3416.0,1899.0,610.0,467.0,1103.0,1434.0,8395.0,22,60,23,59,-6.78,0.52,-6.26,103.8,111.2,91.9,0.248,0.185,0.484,13.6,27.5,0.183,0.513,12.9,73.6,0.269,Target Center,593537,60,32.2,-1.88,0.79,-1.09,2.12,3743,1933,-1.608850507,-0.969037875,-2.577888382,0.169842438,0.169842438,0.0,-1.730257324,-0.485943476,-2.216200801,0.056826679,60,13,47,32.2,109.9,2.0,6.6,10.2,1.0,20.4,0.2,7.6,12.1,9.3,10.5,26.8,0.047,0.0
4,2008-09,2009,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIN,NBA,PG,75,43,27.9,3.6,9.3,0.383,1.0,2.8,0.346,2.6,6.5,0.399,0.435,1.7,2.1,0.819,0.4,1.3,1.7,4.6,1.0,0.2,1.9,2.5,9.8,2095,6.7,17.4,0.383,1.8,5.3,0.346,4.9,12.2,0.399,3.3,4.0,0.819,0.8,2.4,3.2,8.6,1.8,0.3,3.7,4.6,18.5,100,114,2095,10.8,0.481,0.303,0.23,1.7,5.5,3.5,26.1,1.8,0.4,16.0,19.6,0.0,0.8,0.8,0.019,-2.0,-1.4,-3.4,-0.7,82.0,19805.0,2986.0,6766.0,0.441,543.0,1539.0,0.353,2443.0,5227.0,0.467,1504.0,1957.0,0.769,975.0,2442.0,3417.0,1674.0,512.0,322.0,1165.0,1785.0,8019.0,82.0,19805.0,3109.0,6561.0,0.474,536.0,1420.0,0.377,2573.0,5141.0,0.5,1668.0,2145.0,0.778,813.0,2539.0,3352.0,1765.0,610.0,484.0,1028.0,1642.0,8422.0,24,58,27,55,-4.91,0.18,-4.74,106.1,111.4,91.6,0.289,0.227,0.481,13.3,27.7,0.222,0.515,12.0,75.0,0.254,Target Center,595013,75,27.9,-0.07,-0.49,-0.56,3.22,4044,2095,0.039526925,-0.537799384,-0.49827246,2.411140985,2.411140985,0.0,0.008791609,-0.313556578,-0.304764969,0.167313754,75,23,52,27.9,108.9,1.3,4.8,7.4,1.0,26.9,0.2,7.2,9.8,7.0,7.5,23.5,0.057,0.0
5,2009-10,2010,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,LAC,NBA,PG,39,1,14.9,1.7,4.3,0.404,0.3,1.2,0.234,1.4,3.1,0.471,0.437,0.6,0.8,0.774,0.1,0.9,1.1,2.9,0.6,0.1,1.1,1.7,4.3,582,6.0,14.8,0.404,1.0,4.2,0.234,5.0,10.6,0.471,2.1,2.8,0.774,0.4,3.2,3.7,10.2,2.0,0.4,3.9,5.8,15.1,97,112,582,9.8,0.47,0.283,0.187,1.0,7.2,4.1,30.3,2.0,0.6,19.7,17.4,-0.1,0.3,0.2,0.015,-3.5,-0.8,-4.3,-0.3,82.0,19705.0,3002.0,6601.0,0.455,483.0,1457.0,0.332,2519.0,5144.0,0.49,1362.0,1867.0,0.73,927.0,2502.0,3429.0,1810.0,532.0,466.0,1285.0,1581.0,7849.0,82.0,19705.0,3193.0,6792.0,0.47,529.0,1457.0,0.363,2664.0,5335.0,0.499,1455.0,1910.0,0.762,879.0,2490.0,3369.0,1926.0,686.0,363.0,1059.0,1588.0,8370.0,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,92.6,0.283,0.221,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,STAPLES Center,670063,43,15.3,-0.76,-0.9,-1.66,0.5,1284,659,-1.93467034,-1.589586077,-3.524256417,-0.262290387,-0.262290387,0.0,-2.117381868,-1.568706846,-3.686088714,1.033257364,43,18,25,15.3,105.9,0.9,6.5,10.3,0.6,25.5,0.1,7.2,5.3,4.4,3.3,12.1,0.044,-0.91
6,2009-10,2010,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,24,CLE,NBA,PG,4,0,19.3,4.0,8.8,0.457,0.5,2.3,0.222,3.5,6.5,0.538,0.486,1.3,1.5,0.833,0.0,1.0,1.0,3.0,0.5,0.0,1.5,1.5,9.8,77,10.9,23.9,0.457,1.4,6.1,0.222,9.6,17.7,0.538,3.4,4.1,0.833,0.0,2.7,2.7,8.2,1.4,0.0,4.1,4.1,26.6,102,108,77,14.0,0.518,0.257,0.171,0.0,5.9,3.1,27.1,1.4,0.0,13.7,26.4,0.0,0.1,0.1,0.065,-2.0,-2.7,-4.7,-0.1,82.0,19780.0,3101.0,6391.0,0.485,602.0,1582.0,0.381,2499.0,4809.0,0.52,1569.0,2180.0,0.72,791.0,2692.0,3483.0,1835.0,564.0,425.0,1137.0,1591.0,8373.0,82.0,19780.0,2935.0,6633.0,0.442,524.0,1511.0,0.347,2411.0,5122.0,0.471,1444.0,1907.0,0.757,794.0,2366.0,3160.0,1661.0,542.0,325.0,1045.0,1708.0,7838.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,43,15.3,-0.76,-0.9,-1.66,0.5,1284,659,-1.93467034,-1.589586077,-3.524256417,-0.262290387,-0.262290387,0.0,-2.117381868,-1.568706846,-3.686088714,1.033257364,43,18,25,15.3,105.9,0.9,6.5,10.3,0.6,25.5,0.1,7.2,5.3,4.4,3.3,12.1,0.044,-0.91
7,2010-11,2011,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,MIN,NBA,PG,37,8,19.2,2.6,6.5,0.402,0.8,2.1,0.359,1.9,4.4,0.423,0.461,1.2,1.6,0.733,0.5,1.0,1.5,3.0,0.7,0.1,1.7,1.7,7.2,711,6.8,16.9,0.402,2.0,5.5,0.359,4.8,11.4,0.423,3.1,4.2,0.733,1.2,2.6,3.8,7.8,1.7,0.2,4.5,4.5,18.6,98,114,711,10.5,0.497,0.324,0.249,2.6,5.9,4.2,24.2,1.7,0.3,19.3,19.9,0.0,0.2,0.1,0.008,-1.9,-1.6,-3.5,-0.3,82.0,19780.0,3090.0,7014.0,0.441,589.0,1565.0,0.376,2501.0,5449.0,0.459,1519.0,1977.0,0.768,1085.0,2556.0,3641.0,1650.0,592.0,422.0,1398.0,1825.0,8288.0,82.0,19780.0,3230.0,6902.0,0.468,639.0,1707.0,0.374,2591.0,5195.0,0.499,1733.0,2227.0,0.778,913.0,2577.0,3490.0,2031.0,777.0,447.0,1183.0,1717.0,8832.0,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,96.5,0.282,0.223,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,Target Center,624960,37,19.2,0.03,-2.47,-2.44,0.33,1446,711,-1.323065575,-1.80920434,-3.132269915,-0.138990904,-0.138990904,0.0,-1.348403078,-1.958946138,-3.307349215,0.216170062,37,11,26,19.2,107.4,1.0,5.3,8.3,0.7,22.5,0.1,3.8,8.0,5.5,7.3,16.6,0.045,-1.3
8,2011-12,2012,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,PHO,NBA,PG,60,1,14.9,2.4,5.7,0.412,0.6,1.8,0.314,1.8,4.0,0.456,0.461,0.9,1.1,0.791,0.3,1.2,1.5,2.3,0.7,0.2,1.1,2.0,6.1,895,8.2,19.8,0.412,1.9,6.1,0.314,6.3,13.7,0.456,3.1,3.9,0.791,1.2,4.1,5.3,8.0,2.4,0.7,3.9,6.9,21.3,99,107,895,13.2,0.495,0.307,0.196,2.5,8.9,5.7,24.5,2.4,1.0,15.5,22.3,0.4,0.7,1.1,0.058,-1.7,0.4,-1.3,0.1,66.0,15840.0,2495.0,5445.0,0.458,444.0,1295.0,0.343,2051.0,4150.0,0.494,1058.0,1397.0,0.757,717.0,2035.0,2752.0,1486.0,431.0,366.0,928.0,1233.0,6492.0,66.0,15840.0,2505.0,5510.0,0.455,398.0,1131.0,0.352,2107.0,4379.0,0.481,1100.0,1444.0,0.762,802.0,2064.0,2866.0,1416.0,526.0,288.0,929.0,1293.0,6508.0,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,92.6,0.257,0.238,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,US Airways Center,514718,60,14.9,0.78,-1.55,-0.76,0.94,1746,895,-0.751660473,-0.816796566,-1.568457039,0.545583709,0.545583709,0.0,-0.475268796,-0.252128183,-0.727396979,1.036764704,60,31,29,14.9,105.4,1.2,8.4,13.5,0.7,32.0,0.2,10.8,4.7,4.6,4.5,13.4,0.03,-1.29
9,2012-13,2013,Sebastian Telfair,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,PHO,NBA,PG,46,2,17.3,2.0,5.4,0.381,0.9,2.5,0.381,1.1,2.9,0.381,0.468,1.0,1.2,0.772,0.3,1.2,1.5,2.5,0.6,0.2,1.2,1.8,6.0,795,6.1,16.0,0.381,2.8,7.3,0.381,3.3,8.7,0.381,2.8,3.7,0.772,0.8,3.6,4.4,7.4,1.8,0.6,3.4,5.4,17.8,101,110,795,10.9,0.505,0.457,0.231,1.7,8.2,4.9,21.9,1.8,0.9,16.3,18.2,0.3,0.4,0.7,0.042,-1.4,-0.3,-1.7,0.1,82.0,19805.0,3061.0,6917.0,0.443,480.0,1455.0,0.33,2581.0,5462.0,0.473,1203.0,1618.0,0.744,959.0,2454.0,3413.0,1855.0,659.0,434.0,1278.0,1688.0,7805.0,82.0,19805.0,3181.0,6771.0,0.47,568.0,1464.0,0.388,2613.0,5307.0,0.492,1405.0,1855.0,0.757,958.0,2598.0,3556.0,1870.0,684.0,421.0,1258.0,1511.0,8335.0,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,93.4,0.234,0.21,0.477,14.3,27.0,0.174,0.512,14.2,71.9,0.208,US Airways Center,632913,59,16.6,-0.05,0.64,0.59,2.05,1917,980,-1.245586732,0.05639568,-1.189191052,0.803061902,0.803061902,0.0,-1.206958565,-0.04860888,-1.255567445,1.75616411,59,21,38,16.6,99.2,1.2,7.3,12.0,0.6,23.3,0.2,9.7,5.9,4.8,3.7,13.4,0.074,0.63
