,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1995-96,1996,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIA,NBA,PF,74,42,22.4,3.7,7.4,0.501,0.0,0.0,0.0,3.7,7.4,0.503,0.501,1.6,2.4,0.663,1.6,4.3,5.9,0.6,0.6,0.5,1.3,3.7,9.0,1655,8.7,17.4,0.501,0.0,0.1,0.0,8.7,17.4,0.503,3.8,5.7,0.663,3.9,10.1,14.0,1.5,1.5,1.1,3.1,8.6,21.2,103,101,1655,13.5,0.533,0.004,0.325,8.8,21.8,15.5,4.9,1.5,1.7,13.5,19.9,0.8,3.0,3.8,0.11,-2.6,0.8,-1.8,0.1,82.0,19780,2902,6348,0.457,552,1458,0.379,2350,4890,0.481,1553,2187,0.71,999,2495,3494,1752,574,439,1394,2158,7909,82.0,19780,2734,6303,0.434,446,1237,0.361,2288,5066,0.452,1878,2498,0.752,982,2315,3297,1645,662,403,1288,2031,7792,42,40,45,37,1.43,0.03,1.46,105.3,103.8,91.1,0.345,0.23,0.501,16.0,30.1,0.245,0.469,14.8,71.8,0.298,Miami Arena,606088,0,0,0.0,0.0,0.0,0.0,3291,1715,-2.440846238,1.261975605,-1.178870634,1.385724454,1.364940444,0.02078401,-2.500612355,1.528153883,-0.972458473,0.730232892,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1996-97,1997,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MIA,NBA,PF,18,9,20.8,2.2,5.8,0.371,0.0,0.1,0.0,2.2,5.8,0.375,0.371,1.9,2.6,0.761,1.7,4.2,5.9,0.5,0.7,0.5,1.4,3.7,6.3,374,5.7,15.3,0.371,0.0,0.1,0.0,5.7,15.1,0.375,5.1,6.7,0.761,4.5,11.1,15.6,1.3,1.7,1.3,3.6,9.7,16.4,92,97,374,9.5,0.451,0.01,0.438,10.0,23.7,17.0,4.0,1.7,1.9,16.6,18.9,-0.3,0.8,0.5,0.07,-5.0,1.3,-3.7,-0.2,82.0,19805,2822,6235,0.453,678,1865,0.364,2144,4370,0.491,1454,2022,0.719,957,2402,3359,1735,650,439,1306,1919,7776,82.0,19805,2687,6226,0.432,411,1134,0.362,2276,5092,0.447,1541,2108,0.731,999,2321,3320,1512,646,392,1324,1831,7326,61,21,57,25,5.49,0.07,5.56,106.8,100.6,88.2,0.324,0.299,0.507,15.5,29.2,0.233,0.465,15.6,70.6,0.248,Miami Arena,615160,18,20.8,-3.55,0.29,-3.26,-0.03,695,374,-4.777779168,1.449153336,-3.328625832,-0.111545418,-0.111545418,0.0,-4.576498914,1.757599834,-2.81889908,0.938108887,18,10,8,20.8,97.0,4.2,20.9,33.5,0.7,19.0,0.5,23.1,7.0,6.3,4.8,15.0,0.111,0.0
2,1997-98,1998,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DAL,NBA,PF,5,0,14.6,3.4,9.0,0.378,0.0,0.0,,3.4,9.0,0.378,0.378,0.6,0.6,1.0,1.6,3.2,4.8,0.6,0.2,0.0,2.0,3.8,7.4,73,12.4,32.9,0.378,0.0,0.0,,12.4,32.9,0.378,2.2,2.2,1.0,5.8,11.7,17.5,2.2,0.7,0.0,7.3,13.9,27.1,76,105,73,6.4,0.399,0.0,0.067,11.9,24.9,18.3,8.4,0.7,0.0,17.8,35.3,-0.3,0.1,-0.2,-0.161,-11.5,-5.3,-16.8,-0.3,82.0,19905,2882,6754,0.427,422,1183,0.357,2460,5571,0.442,1308,1738,0.753,1008,2280,3288,1535,646,466,1182,1643,7494,82.0,19905,3138,6819,0.46,386,1130,0.342,2752,5689,0.484,1333,1868,0.714,1223,2644,3867,1882,658,374,1240,1608,7995,20,62,24,58,-6.11,-0.22,-6.33,100.5,107.2,89.9,0.257,0.175,0.458,13.6,27.6,0.194,0.488,14.0,65.1,0.195,Reunion Arena,503936,5,14.6,-2.34,-1.83,-4.17,-0.06,138,73,-8.907985573,-3.672270991,-12.58025656,-0.374152216,-0.374152216,0.0,-7.989524241,-2.583848106,-10.57337235,2.003207277,5,1,4,14.7,99.3,3.2,20.5,39.0,0.2,7.7,0.0,0.0,5.0,6.2,3.6,11.6,0.062,0.0
3,1998-99,1999,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NYK,NBA,PF,50,44,23.6,3.4,7.4,0.462,0.0,0.0,0.0,3.4,7.3,0.463,0.462,1.3,2.2,0.611,1.6,4.1,5.7,1.1,0.9,0.3,1.5,3.2,8.1,1182,7.9,17.2,0.462,0.0,0.0,0.0,7.9,17.2,0.463,3.1,5.0,0.611,3.8,9.5,13.4,2.6,2.1,0.8,3.4,7.4,19.0,95,95,1182,13.1,0.489,0.003,0.293,8.5,19.6,14.3,8.9,2.1,1.1,14.9,19.8,0.2,2.3,2.5,0.1,-2.1,1.2,-0.8,0.4,50.0,12100,1610,3704,0.435,208,589,0.353,1402,3115,0.45,892,1218,0.732,551,1510,2061,963,395,262,804,1140,4320,50.0,12100,1528,3790,0.403,234,662,0.353,1294,3128,0.414,979,1335,0.733,616,1426,2042,923,425,215,766,1035,4269,27,23,27,23,1.02,0.43,1.45,98.6,97.5,86.9,0.329,0.159,0.463,15.9,27.9,0.241,0.434,14.9,71.0,0.258,Madison Square Garden (IV),494075,50,23.6,-2.35,2.12,-0.24,2.27,2914,1601,-2.27869528,1.545599645,-0.733095635,1.6804031,1.075492906,0.604910194,-2.23014992,1.741175584,-0.488974336,0.583042656,50,27,23,23.6,92.0,4.1,17.9,26.8,0.9,21.7,0.3,15.0,8.2,5.1,4.6,13.5,0.128,0.0
4,1999-00,2000,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NYK,NBA,PF,80,21,24.6,3.4,6.7,0.505,0.0,0.0,0.333,3.4,6.7,0.506,0.506,1.3,1.6,0.781,1.8,4.5,6.3,1.0,0.6,0.5,1.3,3.5,8.0,1971,7.4,14.6,0.505,0.0,0.1,0.333,7.3,14.5,0.506,2.7,3.5,0.781,3.9,9.9,13.8,2.2,1.4,1.1,2.9,7.6,17.5,105,99,1971,13.6,0.542,0.006,0.239,8.9,21.1,15.2,7.0,1.4,1.6,15.1,16.7,1.9,3.4,5.2,0.127,-1.4,1.4,-0.1,1.0,82.0,19830,2897,6374,0.455,351,937,0.375,2546,5437,0.468,1410,1805,0.781,802,2521,3323,1588,515,349,1201,1983,7555,82.0,19830,2711,6398,0.424,404,1197,0.338,2307,5201,0.444,1609,2153,0.747,927,2441,3368,1609,603,354,1161,1799,7435,50,32,46,36,1.46,-0.16,1.3,102.5,100.9,89.2,0.283,0.147,0.482,14.4,24.7,0.221,0.455,13.6,73.1,0.251,Madison Square Garden (IV),810103,80,24.6,-2.05,3.43,1.38,4.79,4149,2222,-1.207296403,0.773911721,-0.433384683,2.615668535,2.640249322,-0.024580787,-1.408440553,0.861021196,-0.547419357,0.376857084,80,49,31,24.6,97.4,4.5,18.2,28.9,0.6,20.2,0.5,25.5,8.3,6.2,4.6,15.2,0.103,0.0
5,2000-01,2001,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,NYK,NBA,PF,77,29,27.6,4.1,8.0,0.511,0.0,0.0,0.333,4.1,7.9,0.512,0.512,2.2,2.7,0.814,2.2,4.5,6.7,0.8,0.8,0.9,1.3,3.7,10.4,2125,8.2,16.0,0.511,0.0,0.1,0.333,8.2,15.9,0.512,4.5,5.5,0.814,4.5,8.9,13.4,1.6,1.6,1.8,2.6,7.5,20.8,111,96,2125,16.9,0.566,0.005,0.342,10.1,18.9,14.6,5.4,1.6,2.6,12.3,18.5,4.1,4.1,8.2,0.185,-0.3,1.4,1.2,1.7,82.0,19905,2755,6198,0.444,391,1115,0.351,2364,5083,0.465,1374,1727,0.796,773,2524,3297,1520,545,346,1189,1863,7275,82.0,19905,2568,6159,0.417,445,1266,0.352,2123,4893,0.434,1478,2015,0.733,872,2418,3290,1573,596,338,1216,1754,7059,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,86.7,0.279,0.18,0.476,14.6,24.2,0.222,0.453,14.7,74.3,0.24,Madison Square Garden (IV),810283,77,27.6,-0.54,1.46,0.92,5.07,4226,2311,0.969758043,1.804862991,2.774621034,6.545730686,5.971780145,0.573950541,0.6326207,2.049227272,2.681847972,0.208718036,77,45,32,27.6,94.9,4.5,16.8,25.8,0.8,20.0,0.9,36.7,8.3,5.6,4.5,17.3,0.133,0.0
6,2001-02,2002,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NYK,NBA,C,82,82,33.8,5.6,11.4,0.494,0.0,0.1,0.167,5.6,11.4,0.496,0.494,2.6,3.2,0.815,2.6,6.5,9.1,1.1,0.9,1.0,1.9,4.2,13.9,2771,8.9,18.1,0.494,0.0,0.1,0.167,8.9,18.0,0.496,4.2,5.1,0.815,4.1,10.3,14.4,1.7,1.4,1.5,3.0,6.6,22.1,105,103,2771,15.8,0.542,0.006,0.283,9.0,22.3,15.6,5.8,1.4,2.1,12.7,20.3,3.1,3.4,6.5,0.112,-1.0,0.0,-1.0,0.7,82.0,19805,2817,6520,0.432,474,1344,0.353,2343,5176,0.453,1406,1786,0.787,876,2458,3334,1720,558,288,1192,1800,7514,82.0,19805,2924,6570,0.445,443,1256,0.353,2481,5314,0.467,1550,2047,0.757,959,2540,3499,1762,686,385,1103,1670,7841,30,52,29,53,-3.99,-0.16,-4.15,101.5,105.9,89.7,0.274,0.206,0.468,14.0,25.6,0.216,0.479,12.9,71.9,0.236,Madison Square Garden (IV),810283,82,33.8,-1.84,0.48,-1.36,2.33,5238,2771,-2.429761887,0.902945356,-1.526816531,1.731437527,1.731437527,0.0,-2.231255543,1.405070759,-0.826184784,0.113820387,82,30,52,33.8,104.5,6.5,19.7,30.9,0.9,18.4,1.0,37.4,11.8,10.0,7.8,27.9,0.074,0.0
7,2002-03,2003,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NYK,NBA,C,81,81,31.8,6.1,12.7,0.483,0.0,0.0,0.667,6.1,12.7,0.483,0.484,1.7,2.3,0.75,2.0,5.9,7.9,2.0,1.0,1.2,1.7,4.2,14.0,2577,10.2,21.1,0.483,0.0,0.1,0.667,10.2,21.0,0.483,2.8,3.8,0.75,3.3,9.8,13.1,3.3,1.7,2.0,2.8,7.1,23.3,102,102,2577,16.7,0.511,0.003,0.179,7.1,22.2,14.5,11.3,1.7,2.8,11.1,22.4,2.3,3.0,5.4,0.1,-0.6,0.7,0.1,1.3,82.0,19855,2967,6725,0.441,606,1582,0.383,2361,5143,0.459,1320,1620,0.815,842,2376,3218,1800,579,255,1149,1888,7860,82.0,19855,2961,6478,0.457,358,1053,0.34,2603,5425,0.48,1691,2193,0.771,935,2613,3548,1732,627,308,1179,1631,7971,37,45,37,45,-1.35,-0.26,-1.61,104.7,106.2,90.7,0.241,0.235,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,Madison Square Garden (IV),779479,81,31.8,-0.62,1.41,0.79,6.61,4925,2577,-1.438233936,1.329582427,-0.108651509,3.480776012,3.480776012,0.0,-1.068333044,1.903158453,0.834825409,0.211316259,81,36,45,31.8,103.6,5.9,19.7,31.2,1.0,22.3,1.2,53.6,10.0,8.4,6.8,27.2,0.069,0.0
8,2003-04,2004,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,NYK,NBA,PF,80,75,31.9,4.9,10.4,0.473,0.0,0.0,0.0,4.9,10.3,0.475,0.473,1.3,1.6,0.835,1.8,6.5,8.3,1.9,0.7,1.0,1.7,3.7,11.1,2548,8.2,17.4,0.473,0.0,0.1,0.0,8.2,17.4,0.475,2.2,2.7,0.835,3.1,10.9,13.9,3.1,1.2,1.7,2.8,6.3,18.7,101,101,2548,14.1,0.503,0.004,0.153,6.7,23.1,15.0,10.2,1.2,2.4,13.0,18.5,1.7,3.3,5.0,0.094,-1.3,0.6,-0.8,0.8,82.0,19880,2881,6513,0.442,406,1115,0.364,2475,5398,0.459,1374,1732,0.793,950,2543,3493,1695,608,391,1289,1897,7542,82.0,19880,2785,6491,0.429,415,1228,0.338,2370,5263,0.45,1678,2198,0.763,950,2444,3394,1676,675,383,1132,1600,7663,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,89.5,0.266,0.171,0.474,15.1,28.0,0.211,0.461,13.2,72.8,0.259,Madison Square Garden (IV),785739,80,31.9,-1.42,0.49,-0.93,4.2,5078,2687,-1.120130495,0.746171873,-0.373958622,3.26046798,3.101173898,0.159294082,-1.135765039,1.118243361,-0.017521678,-0.061412658,80,38,42,31.8,101.0,6.5,20.1,31.2,0.7,15.0,1.0,30.5,10.9,8.4,6.8,22.6,0.088,0.0
9,2004-05,2005,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,NYK,NBA,PF,80,80,35.7,5.3,11.3,0.471,0.0,0.1,0.5,5.3,11.2,0.47,0.472,0.8,1.1,0.786,2.1,8.3,10.4,2.0,0.9,1.0,1.2,3.9,11.5,2855,7.9,16.7,0.471,0.0,0.1,0.5,7.8,16.6,0.47,1.2,1.6,0.786,3.2,12.3,15.4,3.0,1.3,1.5,1.8,5.7,17.0,104,105,2855,14.1,0.488,0.004,0.093,6.9,27.4,17.1,9.3,1.3,2.1,9.5,16.6,1.8,3.3,5.2,0.087,-0.9,0.2,-0.8,0.9,82.0,19880,2978,6599,0.451,441,1240,0.356,2537,5359,0.473,1580,2060,0.767,965,2393,3358,1665,629,260,1204,1942,7977,82.0,19880,3001,6454,0.465,464,1276,0.364,2537,5178,0.49,1711,2264,0.756,969,2448,3417,1697,602,389,1195,1736,8177,33,49,34,48,-2.44,-0.28,-2.72,106.2,108.9,90.7,0.312,0.188,0.485,13.8,28.3,0.239,0.501,13.8,71.2,0.265,Madison Square Garden (IV),800144,80,35.7,-1.9,0.45,-1.45,3.29,5457,2855,-1.737057793,0.259691916,-1.477365877,1.847738184,1.847738184,0.0,-1.601377432,0.9071787,-0.694198731,-0.298250878,80,31,49,35.7,107.5,8.3,24.5,37.6,0.9,16.2,1.0,41.6,11.4,10.0,8.7,29.0,0.06,0.0
10,2005-06,2006,Kurt Thomas,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,33,PHO,NBA,C,53,50,26.6,3.6,7.4,0.486,0.0,0.0,,3.6,7.4,0.486,0.486,1.4,1.7,0.815,1.9,5.9,7.8,1.1,0.4,1.0,1.1,3.6,8.6,1411,6.7,13.9,0.486,0.0,0.0,,6.7,13.9,0.486,2.7,3.3,0.815,3.6,11.1,14.7,2.0,0.8,1.9,2.0,6.9,16.2,107,103,1411,13.1,0.527,0.0,0.235,8.2,24.1,16.3,5.6,0.8,2.7,11.7,15.5,1.3,2.0,3.3,0.112,-2.6,0.8,-1.8,0.1,82.0,19955,3430,7167,0.479,837,2097,0.399,2593,5070,0.511,1189,1475,0.806,778,2650,3428,2179,549,412,1088,1683,8886,82.0,19955,3243,7141,0.454,516,1423,0.363,2727,5718,0.477,1429,1956,0.731,1028,2735,3763,1546,591,282,1218,1623,8431,54,28,55,27,5.55,-0.07,5.48,111.5,105.8,95.8,0.206,0.293,0.537,12.2,22.1,0.166,0.49,13.2,72.1,0.2,America West Arena,730179,53,26.6,-2.11,2.93,0.82,3.58,2860,1417,-3.447843124,2.085837209,-1.362005915,1.000355565,1.019871629,-0.019516063,-3.285197453,2.062895015,-1.222302438,-0.130787572,53,36,17,26.6,98.9,5.9,21.1,32.3,0.4,12.8,1.0,35.8,7.9,7.7,5.8,20.6,0.118,0.0
11,2006-07,2007,Kurt Thomas,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,34,PHO,NBA,C,67,13,18.0,1.9,3.9,0.486,0.0,0.0,0.0,1.9,3.9,0.488,0.486,0.8,1.1,0.789,1.3,4.4,5.7,0.4,0.4,0.4,0.5,2.3,4.6,1208,5.2,10.8,0.486,0.0,0.0,0.0,5.2,10.7,0.488,2.3,2.9,0.789,3.6,12.2,15.7,1.0,1.0,1.2,1.5,6.5,12.8,111,103,1208,11.4,0.531,0.004,0.274,8.7,26.9,18.3,2.7,1.0,1.7,10.8,12.1,1.2,1.7,2.9,0.115,-2.1,0.4,-1.7,0.1,82.0,19905,3388,6855,0.494,785,1965,0.399,2603,4890,0.532,1476,1827,0.808,737,2583,3320,2122,553,394,1189,1659,9037,82.0,19905,3238,7087,0.457,504,1387,0.363,2734,5700,0.48,1458,1901,0.767,1008,2504,3512,1548,566,304,1242,1759,8438,61,21,59,23,7.3,-0.03,7.28,113.9,106.4,95.6,0.267,0.287,0.551,13.4,22.7,0.215,0.492,13.6,71.9,0.206,US Airways Center,755302,67,18.0,-2.04,1.78,-0.26,2.37,2854,1420,-3.030929912,1.731530581,-1.299399332,1.073903552,0.48321422,0.590689332,-3.035232818,1.449938078,-1.58529474,-0.105615011,67,51,16,18.0,100.5,4.4,23.9,36.9,0.4,14.5,0.4,30.5,5.7,4.9,3.4,14.5,0.073,0.0
12,2007-08,2008,Kurt Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,35,SEA,NBA,C,42,39,25.2,3.3,6.5,0.513,0.0,0.0,,3.3,6.5,0.513,0.513,0.9,1.3,0.696,2.2,6.5,8.8,1.3,0.8,1.0,0.7,3.1,7.5,1060,6.5,12.7,0.513,0.0,0.0,,6.5,12.7,0.513,1.8,2.6,0.696,4.4,12.9,17.3,2.5,1.6,2.0,1.3,6.2,14.9,115,104,1060,15.8,0.536,0.0,0.207,9.7,28.2,19.0,7.6,1.6,2.9,8.7,13.2,1.4,1.6,3.0,0.134,-0.9,1.6,0.8,0.7,82.0,19830,3125,7032,0.444,313,939,0.333,2812,6093,0.462,1436,1866,0.77,971,2688,3659,1748,531,400,1310,1680,7999,82.0,19830,3288,7136,0.461,607,1576,0.385,2681,5560,0.482,1534,2048,0.749,961,2655,3616,1997,706,440,1082,1610,8717,20,62,19,63,-8.76,0.72,-8.04,100.5,109.5,96.3,0.265,0.134,0.467,14.3,26.8,0.204,0.503,11.9,73.7,0.215,KeyArena at Seattle Center,547556,70,22.6,-2.7,4.09,1.39,4.4,3637,1852,-2.618245614,2.811633067,0.193387453,2.75423268,2.591755197,0.162477483,-2.671663718,3.122392018,0.4507283,0.089041554,70,32,38,22.6,101.7,5.4,23.4,34.3,0.8,25.9,0.8,36.8,6.8,5.6,5.4,17.5,0.094,0.0
