,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2011-12,2012,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,NOH,NBA,PF,42,10,15.0,1.4,3.0,0.452,0.0,0.0,0.0,1.4,3.0,0.456,0.452,1.2,1.5,0.839,1.2,1.8,3.0,0.3,0.2,0.2,0.6,1.9,4.0,630,4.9,10.9,0.452,0.0,0.1,0.0,4.9,10.8,0.456,4.5,5.3,0.839,4.2,6.6,10.9,1.0,0.9,0.6,2.1,6.7,14.3,110,107,630,10.1,0.541,0.008,0.492,9.4,14.3,11.9,3.0,0.9,0.9,13.5,13.3,0.7,0.4,1.2,0.088,-3.3,-1.0,-4.3,-0.4,66.0,15940.0,2300.0,5103.0,0.451,259.0,777.0,0.333,2041.0,4326.0,0.472,1057.0,1397.0,0.757,724.0,1991.0,2715.0,1368.0,488.0,316.0,1024.0,1324.0,5916.0,66.0,15940.0,2305.0,5188.0,0.444,425.0,1342.0,0.317,1880.0,3846.0,0.489,1129.0,1487.0,0.759,731.0,1910.0,2641.0,1379.0,523.0,380.0,915.0,1235.0,6164.0,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,88.3,0.274,0.152,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,New Orleans Arena,498618,42,15.0,-3.1,-0.76,-3.86,-0.61,1172,630,-2.368231048,-1.734243823,-4.102474871,-0.435138681,-0.435138681,0.0,-2.880151647,-1.687000438,-4.567152085,0.088818487,42,16,26,15.0,101.8,1.8,12.8,19.7,0.2,11.0,0.2,15.2,5.1,3.8,4.1,12.9,0.048,-1.38
1,2012-13,2013,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,NOH,NBA,SF,59,9,10.9,0.9,1.8,0.5,0.0,0.0,,0.9,1.8,0.5,0.5,0.7,1.0,0.729,0.7,1.2,1.9,0.3,0.2,0.1,0.2,1.3,2.5,646,4.4,8.9,0.5,0.0,0.0,,4.4,8.9,0.5,3.6,5.0,0.729,3.7,6.0,9.7,1.4,0.9,0.6,1.2,6.5,12.5,121,112,646,10.1,0.565,0.0,0.557,8.0,13.3,10.6,4.0,0.9,0.9,9.6,10.5,1.0,0.2,1.2,0.087,-2.3,-0.7,-3.0,-0.2,82.0,19780.0,2955.0,6589.0,0.448,535.0,1474.0,0.363,2420.0,5115.0,0.473,1269.0,1636.0,0.776,988.0,2426.0,3414.0,1721.0,520.0,440.0,1193.0,1673.0,7714.0,82.0,19780.0,3030.0,6435.0,0.471,632.0,1688.0,0.374,2398.0,4747.0,0.505,1339.0,1764.0,0.759,835.0,2391.0,3226.0,1915.0,648.0,492.0,1086.0,1534.0,8031.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,59,10.9,-2.9,1.9,-1.01,0.62,1205,646,-1.296640837,-0.606470288,-1.903111125,0.279258638,0.279258638,0.0,-2.230023508,-0.931999584,-3.162023092,0.044432644,59,19,40,11.0,101.9,1.2,11.9,17.8,0.2,15.7,0.1,13.7,3.1,2.7,2.6,9.4,0.039,-0.21
2,2013-14,2014,Lance Thomas,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,NOP,NBA,SF,5,0,8.4,0.4,1.8,0.222,0.0,0.0,,0.4,1.8,0.222,0.222,0.4,0.8,0.5,0.4,1.0,1.4,0.6,0.0,0.0,0.4,0.8,1.2,42,2.5,11.2,0.222,0.0,0.0,,2.5,11.2,0.222,2.5,5.0,0.5,2.5,6.2,8.7,3.7,0.0,0.0,2.5,5.0,7.4,70,116,42,0.5,0.279,0.0,0.444,5.4,14.0,9.7,9.7,0.0,0.0,15.7,13.8,-0.1,0.0,-0.1,-0.117,-6.5,-3.0,-9.6,-0.1,82.0,19855.0,3101.0,6761.0,0.459,486.0,1303.0,0.373,2615.0,5458.0,0.479,1489.0,1936.0,0.769,933.0,2486.0,3419.0,1745.0,647.0,523.0,1129.0,1857.0,8177.0,82.0,19855.0,3055.0,6567.0,0.465,652.0,1827.0,0.357,2403.0,4740.0,0.507,1637.0,2176.0,0.752,881.0,2538.0,3419.0,1845.0,577.0,504.0,1185.0,1664.0,8399.0,34,48,33,49,-2.71,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249,Smoothie King Center,672029,5,8.4,-2.49,-1.06,-3.55,-0.02,82,42,-4.921175884,-4.593990139,-9.515166023,-0.144427418,-0.144427418,0.0,-5.458355909,-5.874464009,-11.33281992,-0.356796387,5,3,2,8.4,95.1,1.0,10.2,17.9,0.0,0.0,0.0,0.0,1.4,3.0,2.4,8.0,0.049,-0.58
3,2014-15,2015,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,OKC,NBA,SF,22,13,20.5,2.0,5.7,0.357,0.0,0.0,0.0,2.0,5.7,0.36,0.357,1.0,1.5,0.697,1.3,2.1,3.4,0.9,0.5,0.0,0.8,1.7,5.1,450,5.0,14.0,0.357,0.0,0.1,0.0,5.0,13.9,0.36,2.6,3.7,0.697,3.1,5.2,8.4,2.2,1.2,0.0,1.9,4.2,12.6,91,109,450,6.6,0.402,0.008,0.262,6.8,11.0,8.9,6.3,1.2,0.0,10.8,15.1,-0.2,0.3,0.0,0.005,-4.0,-0.7,-4.7,-0.3,82.0,19830.0,3184.0,7119.0,0.447,632.0,1864.0,0.339,2552.0,5255.0,0.486,1524.0,2020.0,0.754,1052.0,2844.0,3896.0,1681.0,598.0,454.0,1205.0,1829.0,8524.0,82.0,19830.0,3085.0,7008.0,0.44,681.0,1984.0,0.343,2404.0,5024.0,0.479,1494.0,2005.0,0.745,917.0,2587.0,3504.0,1815.0,642.0,377.0,1118.0,1675.0,8345.0,45,37,47,35,2.18,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213,Chesapeake Energy Arena,746323,62,24.0,-4.38,-0.68,-5.06,-2.35,2910,1490,-3.998964009,-1.724964789,-5.723928798,-2.257379233,-2.257379233,0.0,-4.001554759,-2.337619517,-6.339174276,-0.277890502,62,20,42,24.0,107.0,2.1,8.9,13.6,0.6,18.8,0.1,4.7,9.4,5.8,6.4,23.3,0.047,-1.35
4,2014-15,2015,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,NYK,NBA,PF,40,24,26.0,3.4,7.9,0.434,0.2,0.5,0.333,3.3,7.4,0.441,0.445,1.2,1.7,0.742,0.9,2.1,3.0,1.2,0.7,0.2,1.4,1.6,8.3,1040,6.9,16.0,0.434,0.4,1.1,0.333,6.6,14.9,0.441,2.5,3.3,0.742,1.9,4.2,6.1,2.5,1.3,0.4,2.9,3.2,16.7,92,113,1040,8.6,0.478,0.066,0.209,4.0,9.5,6.7,7.9,1.3,0.6,14.2,17.8,-0.6,0.2,-0.5,-0.022,-3.8,-2.1,-5.9,-1.0,82.0,19855.0,2882.0,6726.0,0.428,560.0,1614.0,0.347,2322.0,5112.0,0.454,1211.0,1575.0,0.769,867.0,2443.0,3310.0,1746.0,575.0,382.0,1206.0,1768.0,7535.0,82.0,19855.0,3031.0,6592.0,0.46,694.0,1825.0,0.38,2337.0,4767.0,0.49,1543.0,2032.0,0.759,898.0,2669.0,3567.0,1783.0,659.0,353.0,1153.0,1564.0,8299.0,17,65,17,65,-9.32,-0.18,-9.5,99.9,110.0,91.2,0.234,0.24,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.234,Madison Square Garden (IV),812292,62,24.0,-4.38,-0.68,-5.06,-2.35,2910,1490,-3.998964009,-1.724964789,-5.723928798,-2.257379233,-2.257379233,0.0,-4.001554759,-2.337619517,-6.339174276,-0.277890502,62,20,42,24.0,107.0,2.1,8.9,13.6,0.6,18.8,0.1,4.7,9.4,5.8,6.4,23.3,0.047,-1.35
5,2015-16,2016,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,NYK,NBA,PF,59,5,22.3,2.9,6.5,0.442,0.7,1.8,0.404,2.1,4.6,0.458,0.5,1.7,2.0,0.857,0.6,1.6,2.2,0.9,0.4,0.1,1.0,1.8,8.2,1313,6.6,15.0,0.442,1.7,4.3,0.404,4.9,10.7,0.458,4.0,4.7,0.857,1.3,3.8,5.1,2.1,0.9,0.3,2.2,4.3,18.9,107,112,1313,10.4,0.557,0.285,0.312,2.9,8.0,5.4,6.4,0.9,0.4,11.6,16.9,1.2,0.5,1.7,0.062,-1.7,-1.5,-3.2,-0.4,82.0,19805.0,3022.0,6886.0,0.439,610.0,1762.0,0.346,2412.0,5124.0,0.471,1411.0,1753.0,0.805,850.0,2788.0,3638.0,1682.0,467.0,466.0,1099.0,1616.0,8065.0,82.0,19805.0,3114.0,7035.0,0.443,626.0,1838.0,0.341,2488.0,5197.0,0.479,1435.0,1904.0,0.754,890.0,2733.0,3623.0,1703.0,589.0,343.0,927.0,1520.0,8289.0,32,50,33,49,-2.73,0.0,-2.74,104.6,107.6,93.4,0.255,0.256,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,Madison Square Garden (IV),812292,59,22.3,-2.07,0.1,-1.96,0.31,2642,1313,-0.938809846,0.022254925,-0.916554921,1.22358849,1.22358849,0.0,-1.234175902,-1.113810763,-2.347986665,-0.367763591,59,25,34,22.3,103.5,1.6,6.9,10.6,0.4,13.3,0.1,4.9,8.0,6.1,6.1,20.9,0.074,-1.35
6,2016-17,2017,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,NYK,NBA,PF,46,15,21.0,2.1,5.3,0.398,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6.0,968,5.0,12.6,0.398,2.0,4.4,0.447,3.0,8.2,0.371,2.2,2.6,0.843,1.7,5.7,7.3,1.8,1.1,0.3,1.3,4.4,14.2,108,114,968,8.4,0.516,0.348,0.209,3.5,12.3,7.9,5.0,1.1,0.4,8.6,13.1,0.6,0.4,0.9,0.046,-2.4,-1.1,-3.5,-0.4,82.0,19855.0,3244.0,7256.0,0.447,704.0,2022.0,0.348,2540.0,5234.0,0.485,1364.0,1731.0,0.788,983.0,2723.0,3706.0,1786.0,581.0,455.0,1139.0,1668.0,8556.0,82.0,19855.0,3259.0,7163.0,0.455,806.0,2313.0,0.348,2453.0,4850.0,0.506,1533.0,1988.0,0.771,953.0,2715.0,3668.0,1786.0,615.0,377.0,1060.0,1516.0,8857.0,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,96.0,0.239,0.279,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),810741,46,21.0,-3.08,-0.27,-3.35,-1.01,1962,968,-2.628877207,-1.90954118,-4.538418387,-0.87731631,-0.87731631,0.0,-2.75306818,-2.175076764,-4.928144944,-0.659265554,46,15,31,21.0,112.4,2.4,10.9,17.1,0.5,16.9,0.1,4.5,6.7,6.8,6.3,19.0,0.028,-1.46
7,2017-18,2018,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NYK,NBA,PF,73,31,18.5,1.4,3.7,0.382,0.7,1.7,0.403,0.7,2.0,0.364,0.476,0.6,0.7,0.83,0.6,1.8,2.4,0.6,0.4,0.2,0.5,1.8,4.1,1353,3.7,9.8,0.382,1.8,4.5,0.403,1.9,5.2,0.364,1.6,1.9,0.83,1.6,4.8,6.4,1.6,1.1,0.5,1.5,4.9,10.9,103,113,1353,6.3,0.513,0.464,0.199,3.6,10.7,7.2,4.2,1.1,0.9,12.1,10.7,0.3,0.6,0.9,0.031,-3.2,-0.5,-3.7,-0.6,82.0,19830.0,3334.0,7193.0,0.464,673.0,1914.0,0.352,2661.0,5279.0,0.504,1225.0,1557.0,0.787,859.0,2752.0,3611.0,1912.0,552.0,421.0,1207.0,1682.0,8566.0,82.0,19830.0,3233.0,7078.0,0.457,917.0,2494.0,0.368,2316.0,4584.0,0.505,1475.0,1906.0,0.774,838.0,2702.0,3540.0,1965.0,670.0,389.0,1096.0,1509.0,8858.0,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,96.8,0.216,0.266,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,Madison Square Garden (IV),792608,73,18.5,-3.12,-0.1,-3.22,-1.66,2773,1353,-3.021069164,0.043161907,-2.977907257,-0.156315663,-0.156315663,0.0,-3.256479117,-0.676210186,-3.932689303,-0.636103293,73,25,48,18.5,107.3,1.8,9.8,14.3,0.4,16.2,0.2,11.7,7.2,4.7,4.7,16.7,0.052,-0.16
8,2018-19,2019,Lance Thomas,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NYK,NBA,PF,46,17,17.0,1.7,4.3,0.396,0.5,1.7,0.278,1.2,2.6,0.475,0.452,0.6,0.8,0.75,0.5,2.1,2.5,0.6,0.4,0.2,0.5,1.8,4.5,783,4.8,12.1,0.396,1.4,4.9,0.278,3.4,7.3,0.475,1.7,2.2,0.75,1.3,5.9,7.2,1.7,1.0,0.4,1.5,5.1,12.6,97,116,783,6.4,0.482,0.401,0.183,2.7,13.1,7.8,5.0,1.0,0.8,10.1,12.9,-0.3,0.3,0.1,0.004,-4.8,-0.9,-5.7,-0.7,82.0,19780.0,3134.0,7241.0,0.433,823.0,2421.0,0.34,2311.0,4820.0,0.479,1484.0,1956.0,0.759,857.0,2811.0,3668.0,1646.0,557.0,422.0,1151.0,1713.0,8575.0,82.0,19780.0,3434.0,7352.0,0.467,969.0,2673.0,0.363,2465.0,4679.0,0.527,1493.0,1948.0,0.766,881.0,3016.0,3897.0,2098.0,607.0,458.0,1084.0,1708.0,9330.0,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,99.6,0.27,0.334,0.49,12.4,22.1,0.205,0.533,11.7,76.1,0.203,Madison Square Garden (IV),779087,46,17.0,-3.47,0.66,-2.81,-0.87,1665,783,-4.300825548,-1.011994244,-5.312819792,-1.019334861,-1.019334861,0.0,-4.211683702,-1.34299403,-5.554677732,-0.445684914,46,7,39,17.0,107.9,2.1,11.5,16.3,0.4,18.3,0.2,10.6,4.5,4.1,3.7,18.0,0.055,-0.54
9,2019-20,2020,Lance Thomas,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,31,BRK,NBA,PF,7,4,14.0,1.1,3.3,0.348,0.6,1.9,0.308,0.6,1.4,0.4,0.435,0.6,0.6,1.0,0.3,1.6,1.9,0.9,0.0,0.0,0.9,1.6,3.4,98,3.9,11.1,0.348,1.9,6.3,0.308,1.9,4.8,0.4,1.9,1.9,1.0,1.0,5.3,6.3,2.9,0.0,0.0,2.9,5.3,11.6,91,115,98,3.0,0.485,0.565,0.174,2.2,11.4,6.9,8.2,0.0,0.0,19.5,13.1,-0.1,0.1,0.0,-0.015,-5.7,-2.5,-8.2,-0.2,72.0,17480.0,2908.0,6498.0,0.448,941.0,2746.0,0.343,1967.0,3752.0,0.524,1291.0,1732.0,0.745,766.0,2683.0,3449.0,1761.0,464.0,323.0,1099.0,1510.0,8048.0,72.0,17480.0,2981.0,6688.0,0.446,877.0,2505.0,0.35,2104.0,4183.0,0.503,1250.0,1625.0,0.769,766.0,2541.0,3307.0,1630.0,554.0,379.0,919.0,1521.0,8089.0,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,101.4,0.267,0.423,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,Barclays Center,524907,7,14.0,-3.82,-1.26,-5.08,-0.21,246,115,-3.973124558,-8.595579644,-12.5687042,-0.575793172,-0.505904295,-0.069888877,-2.869776626,-8.310361802,-11.18013843,-0.589151943,7,4,3,14.0,133.5,1.6,14.1,18.3,0.0,0.0,0.0,0.0,3.9,2.4,5.3,16.0,-0.061,-0.31
