,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2011-12,2012,Tristan Thompson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,CLE,NBA,PF,60,25,23.7,3.2,7.4,0.439,0.0,0.0,0.0,3.2,7.3,0.441,0.439,1.8,3.2,0.552,3.1,3.4,6.5,0.5,0.5,1.0,1.4,2.2,8.2,1424,7.2,16.3,0.439,0.0,0.1,0.0,7.2,16.2,0.441,3.9,7.1,0.552,6.9,7.5,14.4,1.0,1.0,2.3,3.0,4.9,18.2,98,108,1424,13.3,0.469,0.005,0.434,14.4,16.8,15.5,3.3,1.0,3.3,13.3,19.2,0.3,0.9,1.1,0.038,-2.4,-2.3,-4.7,-1.0,66.0,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140,66.0,15965,2536,5431,0.467,448,1236,0.362,2088,4195,0.498,1095,1464,0.748,752,2073,2825,1527,524,409,917,1381,6615,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,91.3,0.307,0.238,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,Quicken Loans Arena,525577,60,23.7,-2.16,-0.8,-2.96,-0.58,2740,1424,-2.723031341,-2.256068513,-4.979099854,-1.612336032,-1.612336032,0.0,-2.750481911,-2.130816773,-4.881298684,-0.408311505,60,18,42,23.7,108.5,3.4,14.6,23.3,0.5,13.9,1.0,50.4,7.8,6.9,6.1,22.1,0.024,-1.78
1,2012-13,2013,Tristan Thompson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,CLE,NBA,PF,82,82,31.3,4.8,9.7,0.488,0.0,0.0,0.0,4.8,9.7,0.49,0.488,2.2,3.5,0.608,3.7,5.7,9.4,1.3,0.7,0.9,1.5,2.9,11.7,2564,7.9,16.2,0.488,0.0,0.1,0.0,7.9,16.1,0.49,3.6,5.9,0.608,6.2,9.5,15.7,2.2,1.2,1.4,2.5,4.7,19.4,108,108,2564,16.1,0.516,0.004,0.364,13.2,22.1,17.5,6.9,1.2,2.2,11.7,18.3,3.2,2.0,5.2,0.098,-0.2,-1.6,-1.8,0.1,82.0,19730,2993,6901,0.434,547,1581,0.346,2446,5320,0.46,1380,1826,0.756,1004,2359,3363,1694,647,334,1149,1737,7913,82.0,19730,3109,6527,0.476,610,1639,0.372,2499,4888,0.511,1469,1987,0.739,889,2563,3452,1963,624,560,1249,1615,8297,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,92.3,0.265,0.229,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,Quicken Loans Arena,663882,82,31.3,-0.87,0.32,-0.55,3.39,4987,2564,-0.300154175,-0.057921905,-0.35807608,3.112349762,3.112349762,0.0,-0.451040578,0.073680323,-0.377360255,-0.495482609,82,24,58,31.3,107.6,5.7,19.6,30.1,0.7,14.2,0.9,32.3,9.5,9.2,8.9,28.6,0.054,0.35
2,2013-14,2014,Tristan Thompson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,CLE,NBA,PF,82,82,31.6,4.4,9.3,0.477,0.0,0.0,0.0,4.4,9.3,0.478,0.477,2.9,4.1,0.693,3.3,5.9,9.2,0.9,0.5,0.4,1.3,2.3,11.7,2594,7.2,15.1,0.477,0.0,0.0,0.0,7.2,15.1,0.478,4.7,6.7,0.693,5.3,9.6,15.0,1.4,0.8,0.7,2.1,3.7,19.1,110,108,2594,14.9,0.528,0.001,0.445,11.4,21.5,16.3,4.5,0.8,1.1,10.6,17.5,3.4,2.3,5.7,0.106,-0.6,-1.5,-2.1,-0.1,82.0,19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054,82.0,19930,3097,6847,0.452,765,2083,0.367,2332,4764,0.49,1365,1803,0.757,841,2648,3489,2037,587,461,1144,1599,8324,33,49,32,50,-3.29,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,Quicken Loans Arena,710522,82,31.6,-1.57,-0.77,-2.34,0.73,5068,2594,-0.661250552,-2.841018955,-3.502269507,-0.984072975,-0.984072975,0.0,-0.501984326,-2.565083597,-3.067067923,-1.110280641,82,33,49,31.6,108.7,5.9,19.3,28.7,0.5,10.9,0.4,17.8,9.9,8.1,8.5,26.4,0.053,-0.36
3,2014-15,2015,Tristan Thompson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,CLE,NBA,PF,82,15,26.8,3.3,6.0,0.547,0.0,0.0,,3.3,6.0,0.547,0.547,1.9,3.0,0.641,3.3,4.7,8.0,0.5,0.4,0.7,1.0,2.3,8.5,2194,6.3,11.6,0.547,0.0,0.0,,6.3,11.6,0.547,3.8,5.9,0.641,6.5,9.1,15.6,0.9,0.8,1.4,2.0,4.5,16.4,121,106,2194,15.6,0.58,0.0,0.508,14.5,19.7,17.2,2.7,0.8,2.2,12.2,14.0,4.7,2.1,6.8,0.148,0.1,-1.4,-1.2,0.4,82.0,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457,82.0,19780,3121,6850,0.456,634,1848,0.343,2487,5002,0.497,1214,1629,0.745,885,2487,3372,1974,642,368,1092,1685,8090,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,92.3,0.287,0.334,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,843042,82,26.8,-1.43,-0.53,-1.96,1.09,5662,2921,0.285864853,0.638304386,0.924169239,5.512636893,2.738811811,2.773825082,1.043774893,0.288981021,1.332755915,-1.171491321,82,53,29,26.8,104.5,4.7,17.4,26.9,0.4,10.6,0.7,33.7,8.6,7.1,6.0,23.6,0.072,-0.67
4,2015-16,2016,Tristan Thompson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,24,CLE,NBA,PF,82,34,27.7,3.0,5.1,0.588,0.0,0.0,,3.0,5.1,0.588,0.588,1.8,3.0,0.616,3.3,5.7,9.0,0.8,0.5,0.6,0.7,2.5,7.8,2269,5.6,9.5,0.588,0.0,0.0,,5.6,9.5,0.588,3.4,5.5,0.616,6.1,10.7,16.7,1.4,0.9,1.2,1.4,4.6,14.6,130,104,2269,15.9,0.611,0.0,0.576,13.5,23.3,18.4,4.0,0.9,1.8,10.4,11.7,5.6,3.1,8.7,0.185,0.5,-0.3,0.2,1.2,82.0,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,82.0,19855,3019,6736,0.448,647,1862,0.347,2372,4874,0.487,1378,1855,0.743,760,2604,3364,1756,590,362,1092,1690,8063,57,25,57,25,6.0,-0.55,5.45,110.9,104.5,93.3,0.259,0.352,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042,82,27.7,-1.01,0.79,-0.22,3.24,5676,2891,0.90826961,2.491076205,3.399345814,9.097603584,6.663276723,2.434326862,1.153348383,2.077889241,3.231237625,-0.645693748,82,57,25,27.7,102.2,5.7,20.9,29.3,0.5,12.1,0.6,29.0,8.6,6.1,5.7,23.6,0.102,0.82
5,2016-17,2017,Tristan Thompson,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,CLE,NBA,C,78,78,29.9,3.4,5.6,0.6,0.0,0.0,0.0,3.4,5.6,0.604,0.6,1.4,2.7,0.498,3.7,5.5,9.2,1.0,0.5,1.1,0.8,2.3,8.1,2336,5.6,9.3,0.6,0.0,0.1,0.0,5.6,9.3,0.604,2.3,4.6,0.498,6.1,9.2,15.3,1.6,0.8,1.8,1.4,3.8,13.5,128,109,2336,15.3,0.594,0.007,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5.0,2.3,7.3,0.149,0.0,-0.7,-0.7,0.7,82.0,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,766,2821,3587,1858,539,327,1121,1486,9048,82.0,19880,3333,7284,0.458,850,2353,0.361,2483,4931,0.504,1271,1644,0.773,902,2724,3626,2024,598,349,1033,1690,8787,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.399,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,Quicken Loans Arena,843042,78,29.9,-2.04,1.1,-0.94,1.46,5856,2898,-1.012781091,1.587195599,0.574414508,4.933889936,3.415069256,1.51882068,-0.885042994,1.547901425,0.66285843,-0.624867974,78,50,28,30.0,109.0,5.5,17.7,25.6,0.5,11.8,1.1,42.4,10.3,8.2,9.2,28.3,0.07,1.43
6,2017-18,2018,Tristan Thompson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,CLE,NBA,C,53,22,20.2,2.5,4.4,0.562,0.0,0.0,,2.5,4.4,0.562,0.562,0.8,1.5,0.544,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,5.8,1072,6.0,10.7,0.562,0.0,0.0,,6.0,10.7,0.562,2.0,3.6,0.544,5.8,10.3,16.1,1.5,0.7,0.8,1.6,4.7,14.0,120,112,1072,13.6,0.569,0.0,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,1.8,0.7,2.5,0.113,-1.0,-1.9,-2.9,-0.2,82.0,19730,3311,6950,0.476,981,2636,0.372,2330,4314,0.54,1488,1909,0.779,694,2761,3455,1916,582,312,1126,1524,9091,82.0,19730,3429,7238,0.474,956,2596,0.368,2473,4642,0.533,1200,1588,0.756,812,2766,3578,2122,613,340,1105,1696,9014,50,32,43,39,0.94,-0.35,0.59,112.9,111.9,98.0,0.275,0.379,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,843042,53,20.2,-1.76,-2.04,-3.8,-1.6,3032,1488,-0.841001705,-0.77274306,-1.613744765,0.918816788,0.079909815,0.838906973,-0.755141609,-0.94359047,-1.698732079,-0.700154345,53,27,26,20.2,113.2,4.3,21.0,28.7,0.3,11.6,0.3,24.6,7.7,4.4,5.8,20.2,0.02,-0.67
7,2018-19,2019,Tristan Thompson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CLE,NBA,C,43,40,27.9,4.7,8.8,0.529,0.0,0.0,,4.7,8.8,0.529,0.529,1.6,2.5,0.642,4.0,6.2,10.2,2.0,0.7,0.4,1.4,2.1,10.9,1198,8.3,15.8,0.529,0.0,0.0,,8.3,15.8,0.529,2.8,4.4,0.642,7.2,11.0,18.2,3.6,1.2,0.7,2.4,3.7,19.5,117,116,1198,18.4,0.551,0.0,0.279,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,2.1,0.5,2.6,0.105,1.4,-1.9,-0.5,0.4,82.0,19755,3189,7184,0.444,847,2388,0.355,2342,4796,0.488,1342,1694,0.792,879,2619,3498,1698,534,195,1106,1642,8567,82.0,19755,3539,7148,0.495,984,2590,0.38,2555,4558,0.561,1293,1680,0.77,782,2835,3617,2107,568,459,1022,1592,9355,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,96.6,0.236,0.332,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.181,Quicken Loans Arena,793337,43,27.9,-2.14,-0.66,-2.79,-1.32,2422,1198,-0.246354593,0.957837959,0.711483366,2.086023804,2.086023804,0.0,-0.301074672,0.326214047,0.025139375,-1.430762834,43,8,35,27.9,118.8,6.2,23.7,33.9,0.7,18.3,0.4,29.1,10.0,7.7,7.6,29.7,-0.003,0.16
8,2019-20,2020,Tristan Thompson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CLE,NBA,PF,57,51,30.2,5.1,9.9,0.512,0.2,0.4,0.391,4.9,9.5,0.518,0.52,1.7,2.8,0.615,4.0,6.2,10.1,2.1,0.6,0.9,1.8,2.2,12.0,1721,8.1,15.9,0.512,0.3,0.7,0.391,7.9,15.2,0.518,2.8,4.6,0.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,112,114,1721,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14.0,18.3,2.0,1.1,3.1,0.085,-0.2,-1.3,-1.5,0.2,65.0,15725,2619,5715,0.458,727,2070,0.351,1892,3645,0.519,983,1296,0.758,704,2172,2876,1500,447,211,1073,1188,6948,65.0,15725,2851,5811,0.491,804,2143,0.375,2047,3668,0.558,955,1245,0.767,633,2154,2787,1699,613,412,844,1277,7461,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,98.7,0.227,0.362,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,Rocket Mortgage Fieldhouse,643008,57,30.2,-2.4,1.48,-0.92,1.42,3554,1721,-2.298318188,0.996035456,-1.302282732,1.253524633,1.253524633,0.0,-1.751191737,0.278046051,-1.473145687,-1.417662502,57,19,38,30.2,115.2,6.2,20.7,29.4,0.6,15.0,0.9,51.5,13.9,7.4,10.5,35.7,0.032,0.0
9,2020-21,2021,Tristan Thompson,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,BOS,NBA,PF,54,43,23.8,3.1,6.0,0.518,0.0,0.1,0.0,3.1,6.0,0.523,0.518,1.3,2.2,0.592,3.1,5.0,8.1,1.2,0.4,0.6,1.1,2.2,7.6,1287,6.4,12.4,0.518,0.0,0.1,0.0,6.4,12.3,0.523,2.7,4.6,0.592,6.4,10.2,16.7,2.5,0.9,1.3,2.4,4.5,15.5,116,112,1287,14.2,0.54,0.009,0.368,14.5,23.5,19.0,7.2,0.9,2.4,14.1,14.8,1.5,1.4,2.9,0.107,-1.5,-1.0,-2.5,-0.2,72.0,17380,2985,6401,0.466,979,2618,0.374,2006,3783,0.53,1160,1496,0.775,765,2421,3186,1689,556,383,1012,1471,8109,72.0,17380,2875,6191,0.464,925,2473,0.374,1950,3718,0.524,1329,1692,0.785,677,2382,3059,1732,531,334,1015,1389,8004,36,36,39,33,1.46,-0.14,1.32,114.0,112.5,98.3,0.234,0.409,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,30067,54,23.8,-2.38,0.19,-2.19,-0.25,2936,1419,-2.034495304656885,-0.619323097915077,-2.653818402571962,0.0615551459493653,0.1787668720792925,-0.1172117261299272,-2.111983357108607,-0.098551982380605,-2.210535339489212,-0.3833263897422026,54,27,27,23.8,110.9,5.0,21.2,29.5,0.4,12.8,0.6,26.0,7.3,5.7,6.6,22.1,0.068,1.42
