,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2009-10,2010,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,NOH,NBA,SG,73,17,25.6,5.5,12.1,0.451,1.6,4.3,0.374,3.8,7.8,0.493,0.517,2.0,2.4,0.814,1.0,1.9,2.9,1.6,0.8,0.2,1.0,1.7,14.5,1872,11.0,24.4,0.451,3.2,8.7,0.374,7.8,15.8,0.493,4.0,4.9,0.814,2.0,3.8,5.8,3.2,1.6,0.3,2.1,3.5,29.3,111,112,1872,17.4,0.55,0.354,0.2,4.4,8.9,6.6,10.3,1.6,0.4,7.3,25.3,3.1,0.9,4.0,0.103,2.3,-1.4,0.9,1.4,82.0,19830.0,3178.0,6842.0,0.464,571.0,1572.0,0.363,2607.0,5270.0,0.495,1293.0,1661.0,0.778,852.0,2450.0,3302.0,1828.0,625.0,300.0,1103.0,1606.0,8220.0,82.0,19830.0,3250.0,6730.0,0.483,539.0,1517.0,0.355,2711.0,5213.0,0.52,1383.0,1841.0,0.751,870.0,2586.0,3456.0,1925.0,574.0,367.0,1177.0,1597.0,8422.0,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,92.6,0.243,0.23,0.506,12.7,24.8,0.189,0.523,13.5,73.8,0.205,New Orleans Arena,617366,73,25.6,2.57,-1.26,1.32,5.27,3653,1872,2.052159775,-0.91165336,1.140506415,3.715818939,3.715818939,0.0,2.035518716,-0.988524023,1.046994693,0.000455954,73,33,40,25.6,108.3,1.9,8.0,12.2,0.8,18.8,0.2,7.7,8.6,7.0,7.7,24.5,0.054,-1.57
1,2010-11,2011,Marcus Thornton,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,23,NOH,NBA,SG,46,0,16.2,3.0,7.3,0.41,0.8,2.0,0.376,2.2,5.2,0.423,0.463,1.1,1.4,0.758,0.5,2.3,2.8,0.9,0.4,0.1,0.8,1.1,7.8,745,9.9,24.3,0.41,2.5,6.8,0.376,7.4,17.5,0.423,3.6,4.8,0.758,1.8,7.7,9.5,3.1,1.4,0.3,2.7,3.6,26.1,99,106,745,14.0,0.494,0.278,0.198,4.1,17.4,10.7,10.3,1.4,0.4,9.2,25.6,0.0,0.9,0.9,0.057,0.2,-0.5,-0.3,0.3,82.0,19830.0,2944.0,6416.0,0.459,444.0,1232.0,0.36,2500.0,5184.0,0.482,1452.0,1897.0,0.765,824.0,2468.0,3292.0,1691.0,624.0,359.0,1069.0,1719.0,7784.0,82.0,19830.0,2882.0,6306.0,0.457,557.0,1562.0,0.357,2325.0,4744.0,0.49,1390.0,1805.0,0.77,769.0,2457.0,3226.0,1739.0,497.0,396.0,1192.0,1674.0,7711.0,46,36,44,38,0.89,0.39,1.28,106.2,105.2,88.7,0.296,0.192,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,New Orleans Arena,603088,73,24.3,1.25,-0.82,0.43,4.27,3459,1775,1.028851613,0.008179452,1.037031065,3.384334557,3.384334557,0.0,1.116228588,0.015839055,1.132067643,0.943691184,73,37,36,24.3,104.4,2.7,11.5,17.0,0.9,23.4,0.1,5.0,9.2,5.9,8.8,21.9,0.077,-0.94
2,2010-11,2011,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,SAC,NBA,SG,27,23,38.1,7.9,17.5,0.45,2.0,5.4,0.361,5.9,12.1,0.491,0.506,3.5,4.4,0.805,1.3,3.4,4.7,3.4,1.7,0.2,2.1,2.2,21.3,1030,10.4,23.2,0.45,2.6,7.2,0.361,7.8,16.0,0.491,4.7,5.8,0.805,1.8,4.5,6.2,4.5,2.2,0.2,2.7,2.9,28.1,112,110,1030,18.2,0.547,0.311,0.249,3.9,10.3,7.0,15.3,2.2,0.4,9.6,24.4,1.9,0.8,2.6,0.123,2.3,-0.4,1.9,1.0,82.0,19855.0,3134.0,6979.0,0.449,428.0,1277.0,0.335,2706.0,5702.0,0.475,1455.0,1981.0,0.734,1071.0,2526.0,3597.0,1675.0,608.0,391.0,1324.0,1805.0,8151.0,82.0,19855.0,3260.0,6826.0,0.478,480.0,1353.0,0.355,2780.0,5473.0,0.508,1589.0,2085.0,0.762,868.0,2508.0,3376.0,1779.0,666.0,464.0,1204.0,1723.0,8589.0,24,58,27,55,-5.34,0.54,-4.8,103.5,109.0,95.2,0.284,0.183,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,Power Balance Pavilion,569496,73,24.3,1.25,-0.82,0.43,4.27,3459,1775,1.028851613,0.008179452,1.037031065,3.384334557,3.384334557,0.0,1.116228588,0.015839055,1.132067643,0.943691184,73,37,36,24.3,104.4,2.7,11.5,17.0,0.9,23.4,0.1,5.0,9.2,5.9,8.8,21.9,0.077,-0.94
3,2011-12,2012,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,SAC,NBA,SG,51,51,34.9,6.9,15.7,0.438,2.1,6.1,0.345,4.8,9.7,0.497,0.505,2.8,3.2,0.865,1.6,2.0,3.7,1.9,1.4,0.2,1.6,2.2,18.7,1780,10.0,22.9,0.438,3.0,8.8,0.345,7.0,14.0,0.497,4.0,4.6,0.865,2.4,3.0,5.4,2.8,2.0,0.3,2.4,3.2,27.1,111,112,1780,17.4,0.544,0.386,0.203,4.9,6.7,5.8,9.4,2.0,0.5,8.8,23.4,3.7,0.1,3.8,0.103,2.4,-1.4,1.1,1.4,66.0,15915.0,2490.0,5712.0,0.436,411.0,1301.0,0.316,2079.0,4411.0,0.471,1127.0,1532.0,0.736,882.0,1947.0,2829.0,1271.0,561.0,323.0,952.0,1287.0,6518.0,66.0,15915.0,2668.0,5609.0,0.476,439.0,1236.0,0.355,2229.0,4373.0,0.51,1118.0,1468.0,0.762,815.0,2154.0,2969.0,1571.0,518.0,423.0,1014.0,1313.0,6893.0,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,94.7,0.268,0.228,0.472,13.0,29.1,0.197,0.515,13.9,70.5,0.199,Power Balance Pavilion,478764,51,34.9,2.94,-2.47,0.46,3.52,3552,1780,2.878034706,-1.511367196,1.36666751,3.742643084,3.742643084,0.0,2.951795464,-0.823988691,2.127806772,0.100458298,51,19,32,34.9,108.7,2.0,6.1,9.7,1.4,21.9,0.2,7.3,13.3,10.2,12.6,36.0,0.034,-2.03
4,2012-13,2013,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,SAC,NBA,SG,72,8,24.0,4.6,10.8,0.429,2.0,5.3,0.372,2.7,5.5,0.484,0.52,1.5,1.8,0.881,0.7,1.8,2.5,1.3,0.8,0.1,0.9,1.5,12.7,1726,9.9,23.0,0.429,4.2,11.3,0.372,5.7,11.7,0.484,3.3,3.7,0.881,1.5,3.9,5.4,2.7,1.8,0.1,2.0,3.1,27.2,111,114,1726,16.3,0.552,0.49,0.163,3.2,9.0,6.0,9.0,1.8,0.2,7.6,23.1,3.1,0.1,3.2,0.089,2.3,-2.0,0.3,1.0,82.0,19830.0,3086.0,6904.0,0.447,610.0,1681.0,0.363,2476.0,5223.0,0.474,1437.0,1869.0,0.769,943.0,2385.0,3328.0,1708.0,671.0,342.0,1199.0,1717.0,8219.0,82.0,19830.0,3222.0,6831.0,0.472,625.0,1762.0,0.355,2597.0,5069.0,0.512,1550.0,1980.0,0.783,973.0,2601.0,3574.0,2058.0,624.0,517.0,1208.0,1636.0,8619.0,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,0.271,0.243,0.491,13.4,26.6,0.208,0.517,13.6,71.0,0.227,Sleep Train Arena,563743,72,24.0,2.28,-1.0,1.28,4.45,3404,1726,2.161078578,-2.836254424,-0.675175846,1.83028225,1.83028225,0.0,2.305274159,-2.514392132,-0.209117972,0.162108559,72,26,46,24.0,111.2,1.8,8.0,13.2,0.8,20.5,0.1,2.6,8.6,7.5,8.5,23.1,0.014,-3.13
5,2013-14,2014,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,SAC,NBA,SG,46,26,24.4,3.1,8.1,0.381,1.2,3.9,0.318,1.8,4.2,0.438,0.457,0.9,1.1,0.808,0.8,1.8,2.7,1.0,0.7,0.2,0.8,1.6,8.3,1121,6.4,16.9,0.381,2.6,8.1,0.318,3.9,8.8,0.438,1.9,2.4,0.808,1.8,3.9,5.6,2.1,1.4,0.4,1.7,3.4,17.4,101,111,1121,9.7,0.484,0.48,0.139,3.9,8.7,6.2,6.6,1.4,0.6,8.8,17.1,0.4,0.5,0.9,0.038,-1.4,-0.9,-2.3,-0.1,82.0,19830.0,3026.0,6766.0,0.447,491.0,1475.0,0.333,2535.0,5291.0,0.479,1698.0,2237.0,0.759,990.0,2656.0,3646.0,1547.0,587.0,318.0,1249.0,1849.0,8241.0,82.0,19830.0,3103.0,6734.0,0.461,696.0,1833.0,0.38,2407.0,4901.0,0.491,1577.0,2139.0,0.737,813.0,2568.0,3381.0,1927.0,637.0,459.0,1116.0,1897.0,8479.0,28,54,33,49,-2.9,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949,72,24.2,-0.17,-0.53,-0.7,2.41,3656,1865,0.692720779,-1.116725095,-0.424004316,2.197365159,2.157935585,0.039429574,0.712129948,-1.584160852,-0.872030903,-0.228134669,72,33,39,24.2,105.3,2.0,8.4,13.0,0.8,19.8,0.2,7.9,8.6,6.0,7.0,22.1,0.068,-1.21
6,2013-14,2014,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,BRK,NBA,SG,26,1,23.8,4.2,10.2,0.414,2.0,5.3,0.38,2.2,5.0,0.45,0.511,1.8,2.3,0.8,0.7,2.2,2.8,1.2,1.0,0.1,1.1,1.4,12.3,620,9.3,22.5,0.414,4.4,11.6,0.38,4.9,10.9,0.45,4.1,5.1,0.8,1.5,4.7,6.3,2.5,2.3,0.3,2.5,3.0,27.1,106,109,620,16.1,0.547,0.515,0.226,3.5,10.8,7.1,8.6,2.3,0.4,9.0,24.4,0.6,0.5,1.1,0.087,1.6,-1.6,0.0,0.3,82.0,19880.0,2931.0,6391.0,0.459,709.0,1922.0,0.369,2222.0,4469.0,0.497,1508.0,2002.0,0.753,721.0,2407.0,3128.0,1714.0,705.0,311.0,1191.0,1777.0,8079.0,82.0,19880.0,2980.0,6511.0,0.458,662.0,1802.0,0.367,2318.0,4709.0,0.492,1539.0,2026.0,0.76,921.0,2594.0,3515.0,1723.0,608.0,337.0,1296.0,1704.0,8161.0,44,38,38,44,-1.0,-0.58,-1.58,106.7,107.7,91.4,0.313,0.301,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,Barclays Center,707331,72,24.2,-0.17,-0.53,-0.7,2.41,3656,1865,0.692720779,-1.116725095,-0.424004316,2.197365159,2.157935585,0.039429574,0.712129948,-1.584160852,-0.872030903,-0.228134669,72,33,39,24.2,105.3,2.0,8.4,13.0,0.8,19.8,0.2,7.9,8.6,6.0,7.0,22.1,0.068,-1.21
7,2014-15,2015,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,BOS,NBA,SG,39,0,16.4,3.3,7.8,0.416,1.3,3.2,0.419,1.9,4.6,0.414,0.502,1.1,1.3,0.824,0.5,1.4,1.9,0.9,0.5,0.2,0.6,0.9,8.9,640,9.9,23.9,0.416,4.1,9.7,0.419,5.9,14.2,0.414,3.3,4.0,0.824,1.5,4.2,5.7,2.7,1.6,0.5,1.7,2.7,27.2,107,107,640,15.8,0.531,0.407,0.167,3.2,9.4,6.2,8.8,1.6,0.8,6.3,23.9,0.8,0.6,1.4,0.104,2.5,-0.5,2.0,0.7,82.0,19880.0,3193.0,7211.0,0.443,660.0,2021.0,0.327,2533.0,5190.0,0.488,1266.0,1678.0,0.754,910.0,2685.0,3595.0,2009.0,674.0,294.0,1133.0,1738.0,8312.0,82.0,19880.0,3125.0,6943.0,0.45,607.0,1804.0,0.336,2518.0,5139.0,0.49,1442.0,1909.0,0.755,893.0,2772.0,3665.0,1798.0,583.0,431.0,1239.0,1545.0,8299.0,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208,TD Garden,721350,48,15.0,1.81,0.26,2.07,2.37,1468,721,1.154019097,-0.229595042,0.924424055,1.345739839,1.345739839,0.0,1.280690905,-1.530052481,-0.249361576,0.072088314,48,19,29,15.0,101.7,1.3,8.7,13.0,0.6,23.7,0.1,13.7,5.3,4.0,4.1,13.3,0.053,-0.76
8,2014-15,2015,Marcus Thornton,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,PHO,NBA,SG,9,0,9.0,1.4,4.4,0.325,0.2,2.1,0.105,1.2,2.3,0.524,0.35,0.4,0.6,0.8,0.4,1.0,1.4,0.2,0.7,0.0,0.6,0.3,3.6,81,8.0,24.6,0.325,1.2,11.7,0.105,6.8,12.9,0.524,2.5,3.1,0.8,2.5,5.5,8.0,1.2,3.7,0.0,3.1,1.8,19.7,78,104,81,8.3,0.379,0.475,0.125,5.4,12.3,8.8,3.9,3.7,0.0,10.6,25.6,-0.2,0.1,-0.1,-0.077,-5.3,0.4,-4.9,-0.1,82.0,19880.0,3178.0,7038.0,0.452,698.0,2048.0,0.341,2480.0,4990.0,0.497,1343.0,1767.0,0.76,896.0,2643.0,3539.0,1659.0,700.0,385.0,1238.0,1744.0,8397.0,82.0,19880.0,3149.0,6972.0,0.452,633.0,1798.0,0.352,2516.0,5174.0,0.486,1540.0,2030.0,0.759,951.0,2766.0,3717.0,1734.0,651.0,337.0,1276.0,1664.0,8471.0,39,43,38,44,-0.9,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221,US Airways Center,693862,48,15.0,1.81,0.26,2.07,2.37,1468,721,1.154019097,-0.229595042,0.924424055,1.345739839,1.345739839,0.0,1.280690905,-1.530052481,-0.249361576,0.072088314,48,19,29,15.0,101.7,1.3,8.7,13.0,0.6,23.7,0.1,13.7,5.3,4.0,4.1,13.3,0.053,-0.76
9,2015-16,2016,Marcus Thornton,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,HOU,NBA,SG,47,6,18.8,3.7,9.3,0.4,1.6,4.6,0.338,2.1,4.7,0.461,0.484,1.1,1.2,0.879,0.7,1.8,2.4,1.4,0.7,0.1,0.9,1.6,10.0,885,9.7,24.2,0.4,4.1,12.0,0.338,5.6,12.2,0.461,2.8,3.2,0.879,1.7,4.7,6.4,3.7,1.9,0.2,2.2,4.1,26.2,105,111,885,14.6,0.512,0.497,0.133,3.8,10.5,7.2,12.8,1.9,0.3,8.0,24.3,0.9,0.4,1.3,0.072,1.1,-1.9,-0.8,0.2,82.0,19830.0,3094.0,6847.0,0.452,878.0,2533.0,0.347,2216.0,4314.0,0.514,1671.0,2407.0,0.694,930.0,2601.0,3531.0,1821.0,821.0,430.0,1307.0,1790.0,8737.0,82.0,19830.0,3200.0,6977.0,0.459,796.0,2206.0,0.361,2404.0,4771.0,0.504,1525.0,2018.0,0.756,970.0,2690.0,3660.0,2015.0,734.0,404.0,1360.0,1847.0,8721.0,41,41,42,40,0.2,0.14,0.34,108.3,108.1,97.6,0.352,0.37,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,Toyota Center,737244,61,18.2,2.73,-1.43,1.3,2.93,2354,1109,1.308162915,-1.951332128,-0.643169213,1.194005435,1.194005435,0.0,1.588514303,-2.211358062,-0.622843759,0.64565197,61,32,29,18.2,104.0,1.8,9.9,15.2,0.8,19.4,0.1,3.8,6.7,5.7,6.2,17.8,0.057,-2.07
