,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1995-96,1996,Gary Trent,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,POR,NBA,PF,69,10,17.7,3.2,6.2,0.513,0.0,0.1,0.0,3.2,6.1,0.524,0.513,1.1,2.0,0.553,1.2,2.2,3.4,0.7,0.4,0.2,1.3,1.7,7.5,1219,9.4,18.2,0.513,0.0,0.4,0.0,9.4,17.9,0.524,3.3,6.0,0.553,3.6,6.5,10.1,2.1,1.1,0.5,3.9,4.9,22.0,100,106,1219,12.4,0.527,0.021,0.329,7.9,14.3,11.1,7.0,1.1,0.7,15.8,21.0,0.1,1.6,1.7,0.065,-2.6,-0.3,-2.9,-0.3,82.0,19905.0,3064.0,6688.0,0.458,480.0,1358.0,0.353,2584.0,5330.0,0.485,1537.0,2321.0,0.662,1160.0,2577.0,3737.0,1760.0,594.0,417.0,1377.0,1859.0,8145.0,82.0,19905.0,2953.0,6677.0,0.442,472.0,1355.0,0.348,2481.0,5322.0,0.466,1574.0,2127.0,0.74,932.0,2316.0,3248.0,1817.0,708.0,409.0,1192.0,1996.0,7952.0,44,38,48,34,2.35,-0.14,2.21,106.0,103.5,92.6,0.347,0.203,0.494,15.2,33.4,0.23,0.478,13.5,73.4,0.236,Rose Garden Arena,848055,0,0,0.0,0.0,0.0,0.0,2397,1229,-2.923742557,-0.820544078,-3.744286635,-0.623142391,-0.623612875,0.000470484,-2.998513607,-1.517705346,-4.516218953,0.047826627,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1996-97,1997,Gary Trent,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,POR,NBA,PF,82,28,23.4,4.4,8.2,0.536,0.0,0.1,0.0,4.4,8.1,0.544,0.536,2.0,2.8,0.699,1.9,3.3,5.2,1.1,0.6,0.4,1.6,2.3,10.8,1918,9.9,18.5,0.536,0.0,0.3,0.0,9.9,18.2,0.544,4.4,6.3,0.699,4.3,7.5,11.8,2.4,1.3,1.0,3.6,5.1,24.3,110,104,1918,16.8,0.569,0.016,0.34,9.9,16.3,13.2,8.0,1.3,1.4,14.3,21.2,2.9,2.6,5.5,0.139,0.2,-0.1,0.1,1.0,82.0,19855.0,3000.0,6465.0,0.464,501.0,1401.0,0.358,2499.0,5064.0,0.493,1613.0,2261.0,0.713,1058.0,2494.0,3552.0,1710.0,640.0,435.0,1357.0,1928.0,8114.0,82.0,19855.0,2798.0,6423.0,0.436,457.0,1279.0,0.357,2341.0,5144.0,0.455,1719.0,2327.0,0.739,952.0,2197.0,3149.0,1703.0,656.0,428.0,1242.0,1887.0,7772.0,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,90.9,0.35,0.217,0.503,15.4,32.5,0.249,0.471,14.3,72.4,0.268,Rose Garden Arena,852798,82,23.4,0.05,-1.32,-1.27,2.34,3785,1979,-0.420064492,-0.199712417,-0.619776909,2.128869871,2.276980742,-0.148110871,-0.55057875,-0.633483435,-1.184062185,-0.163872737,82,49,33,23.4,103.9,3.3,14.5,23.3,0.6,15.7,0.4,17.4,9.2,6.5,6.3,19.7,0.069,0
2,1997-98,1998,Gary Trent,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,POR,NBA,PF,41,13,24.5,4.3,8.8,0.493,0.1,0.2,0.444,4.2,8.5,0.494,0.499,2.8,4.0,0.693,2.0,3.8,5.7,1.4,0.7,0.5,1.8,2.8,11.5,1005,9.4,19.0,0.493,0.2,0.5,0.444,9.2,18.6,0.494,6.0,8.6,0.693,4.2,8.2,12.4,3.1,1.4,1.0,3.8,6.1,25.0,107,102,1005,16.7,0.547,0.025,0.454,9.6,17.2,13.5,10.5,1.4,1.4,14.3,22.6,1.4,1.4,2.8,0.135,0.3,0.5,0.8,0.7,82.0,19830.0,2885.0,6397.0,0.451,324.0,1047.0,0.309,2561.0,5350.0,0.479,1640.0,2226.0,0.737,1086.0,2522.0,3608.0,1766.0,585.0,464.0,1383.0,1859.0,7734.0,82.0,19830.0,2810.0,6520.0,0.431,373.0,1087.0,0.343,2437.0,5433.0,0.449,1626.0,2253.0,0.722,1011.0,2201.0,3212.0,1764.0,770.0,445.0,1160.0,1823.0,7619.0,46,36,45,37,1.4,-0.57,0.83,104.0,102.4,90.0,0.348,0.164,0.476,15.8,33.0,0.256,0.46,13.4,71.4,0.249,Rose Garden Arena,846559,54,25.2,-0.01,-1.55,-1.55,1.23,2599,1360,-0.631478761,-1.042226957,-1.673705718,0.761475484,0.761475484,0.0,-0.640254805,-0.856544392,-1.496799197,0.232543371,54,25,29,25.1,104.2,4.0,15.7,26.5,0.6,15.9,0.5,17.2,9.8,7.7,7.3,21.5,0.059,0
3,1997-98,1998,Gary Trent,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,TOR,NBA,PF,13,7,27.3,4.9,11.2,0.438,0.0,0.2,0.0,4.9,11.0,0.448,0.438,2.4,3.8,0.633,3.3,4.7,8.0,1.1,0.6,0.6,1.7,3.5,12.2,355,9.3,21.3,0.438,0.0,0.4,0.0,9.3,20.9,0.448,4.5,7.2,0.633,6.3,8.9,15.2,2.0,1.2,1.2,3.2,6.7,23.2,100,110,355,14.9,0.474,0.021,0.336,13.1,20.0,16.4,7.0,1.2,1.6,11.6,23.4,0.1,0.1,0.3,0.039,-1.6,-3.5,-5.2,-0.3,82.0,19930.0,2965.0,6813.0,0.435,372.0,1086.0,0.343,2593.0,5727.0,0.453,1479.0,2060.0,0.718,1187.0,2149.0,3336.0,1746.0,769.0,663.0,1371.0,1851.0,7781.0,82.0,19930.0,3271.0,6826.0,0.479,396.0,1034.0,0.383,2875.0,5792.0,0.496,1603.0,2289.0,0.7,1270.0,2506.0,3776.0,2219.0,737.0,514.0,1370.0,1748.0,8541.0,16,66,17,65,-9.27,0.94,-8.33,101.2,111.0,92.6,0.302,0.159,0.462,15.1,32.1,0.217,0.508,14.9,62.9,0.235,SkyDome,674685,54,25.2,-0.01,-1.55,-1.55,1.23,2599,1360,-0.631478761,-1.042226957,-1.673705718,0.761475484,0.761475484,0.0,-0.640254805,-0.856544392,-1.496799197,0.232543371,54,25,29,25.1,104.2,4.0,15.7,26.5,0.6,15.9,0.5,17.2,9.8,7.7,7.3,21.5,0.059,0
4,1998-99,1999,Gary Trent,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,DAL,NBA,PF,45,23,30.3,6.4,13.4,0.477,0.0,0.1,0.0,6.4,13.3,0.481,0.477,3.2,5.2,0.617,2.8,5.0,7.8,1.7,0.6,0.5,1.5,2.7,16.0,1362,11.4,23.8,0.477,0.0,0.2,0.0,11.4,23.6,0.481,5.7,9.3,0.617,5.0,8.9,13.9,3.0,1.1,0.9,2.6,4.8,28.5,107,105,1362,20.8,0.51,0.008,0.39,10.4,18.6,14.5,11.0,1.1,1.2,8.6,26.0,3.0,1.0,4.0,0.14,2.6,-1.4,1.2,1.1,50.0,12075.0,1749.0,4033.0,0.434,202.0,595.0,0.339,1547.0,3438.0,0.45,881.0,1210.0,0.728,645.0,1478.0,2123.0,921.0,352.0,292.0,692.0,1065.0,4581.0,50.0,12075.0,1815.0,4037.0,0.45,216.0,686.0,0.315,1599.0,3351.0,0.477,855.0,1193.0,0.717,660.0,1519.0,2179.0,1073.0,361.0,244.0,699.0,1042.0,4701.0,19,31,21,29,-2.4,-0.1,-2.5,102.3,104.9,89.0,0.3,0.148,0.459,13.2,29.8,0.218,0.476,13.3,69.1,0.212,Reunion Arena,362837,45,30.3,2.04,-1.35,0.69,3.57,2554,1362,1.126344361,-0.889550474,0.236793886,2.067237933,2.067237933,0.0,1.171409319,-0.610365075,0.561044244,-0.358273113,45,18,27,30.2,103.6,5.0,16.7,26.7,0.6,14.8,0.5,14.2,10.2,8.4,8.8,24.8,0.048,0
5,1999-00,2000,Gary Trent,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DAL,NBA,SF,11,11,27.4,6.4,12.9,0.493,0.0,0.2,0.0,6.4,12.7,0.5,0.493,1.0,1.9,0.524,1.8,2.9,4.7,2.0,0.7,0.3,2.3,2.5,13.7,301,11.8,23.9,0.493,0.0,0.3,0.0,11.8,23.5,0.5,1.8,3.5,0.524,3.4,5.4,8.7,3.7,1.3,0.5,4.2,4.7,25.4,95,109,301,14.6,0.499,0.014,0.148,7.2,11.4,9.3,12.7,1.3,0.7,14.2,25.8,-0.1,0.1,0.1,0.014,-0.6,-2.2,-2.8,-0.1,82.0,19730.0,3195.0,7047.0,0.453,519.0,1326.0,0.391,2676.0,5721.0,0.468,1407.0,1751.0,0.804,931.0,2444.0,3375.0,1810.0,592.0,416.0,1124.0,1770.0,8316.0,82.0,19730.0,3225.0,7053.0,0.457,429.0,1244.0,0.345,2796.0,5809.0,0.481,1484.0,2005.0,0.74,1251.0,2719.0,3970.0,1901.0,604.0,416.0,1318.0,1814.0,8363.0,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,94.9,0.248,0.188,0.49,12.6,25.5,0.2,0.488,14.2,66.1,0.21,Reunion Arena,606177,11,27.4,-0.61,-1.37,-1.98,0.09,602,301,-1.756630311,-1.761376547,-3.518006858,-0.117902265,-0.117902265,0.0,-1.59913572,-2.017865829,-3.61700155,-0.032514918,11,2,9,27.2,105.6,2.9,11.9,17.9,0.7,25.8,0.3,9.1,8.6,7.9,9.6,25.6,0.042,0
6,2000-01,2001,Gary Trent,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,DAL,NBA,PF,33,4,9.7,1.7,3.9,0.438,0.0,0.0,0.0,1.7,3.9,0.442,0.438,0.6,1.1,0.528,1.2,1.6,2.8,0.3,0.4,0.2,0.7,1.6,4.0,319,9.2,21.0,0.438,0.0,0.2,0.0,9.2,20.8,0.442,3.1,5.8,0.528,6.3,8.6,14.9,1.6,2.1,1.3,3.6,8.4,21.5,93,100,319,13.8,0.456,0.008,0.277,14.0,18.1,16.1,5.2,2.1,1.8,13.1,23.9,-0.1,0.5,0.4,0.057,-3.2,-1.2,-4.3,-0.2,82.0,19805.0,3085.0,6716.0,0.459,517.0,1357.0,0.381,2568.0,5359.0,0.479,1552.0,1954.0,0.794,831.0,2571.0,3402.0,1740.0,618.0,492.0,1141.0,1907.0,8239.0,82.0,19805.0,2938.0,6693.0,0.439,381.0,1140.0,0.334,2557.0,5553.0,0.46,1631.0,2231.0,0.731,1068.0,2623.0,3691.0,1778.0,622.0,379.0,1273.0,1848.0,7888.0,53,29,53,29,4.28,0.32,4.61,107.1,102.6,93.2,0.291,0.202,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,Reunion Arena,680238,33,9.7,-1.19,-0.85,-2.03,0.17,627,319,-3.337383593,-1.31516164,-4.652545233,-0.312062776,-0.312062776,0.0,-2.937812928,-1.472573943,-4.410386871,0.720577172,33,21,12,9.8,104.0,1.6,16.5,24.5,0.4,28.9,0.2,24.2,3.7,2.5,3.4,7.9,0.018,0
7,2001-02,2002,Gary Trent,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,MIN,NBA,PF,64,10,17.8,3.0,6.0,0.507,0.0,0.0,0.0,3.0,5.9,0.509,0.507,1.4,2.3,0.639,1.6,2.6,4.2,0.9,0.3,0.4,0.9,2.5,7.5,1140,9.0,17.7,0.507,0.0,0.1,0.0,9.0,17.6,0.509,4.3,6.7,0.639,4.8,7.7,12.6,2.8,1.0,1.3,2.7,7.4,22.2,110,105,1140,15.4,0.538,0.005,0.378,10.7,16.6,13.7,8.3,1.0,1.8,11.5,19.9,1.9,1.1,3.0,0.125,-0.8,-0.7,-1.6,0.1,82.0,19805.0,3175.0,6887.0,0.461,396.0,1047.0,0.378,2779.0,5840.0,0.476,1399.0,1754.0,0.798,1059.0,2562.0,3621.0,1993.0,524.0,427.0,1097.0,1739.0,8145.0,82.0,19805.0,2962.0,6654.0,0.445,492.0,1321.0,0.372,2470.0,5333.0,0.463,1452.0,1958.0,0.742,912.0,2326.0,3238.0,1855.0,542.0,407.0,1097.0,1676.0,7868.0,50,32,51,31,3.38,0.2,3.58,109.0,105.3,90.5,0.255,0.152,0.49,12.5,31.3,0.203,0.482,12.7,73.7,0.218,Target Center,731673,64,17.8,-0.1,-1.45,-1.55,0.79,2272,1188,-0.453807207,-2.01076531,-2.464572517,0.178233109,0.292998042,-0.114764933,-0.551715809,-1.831837235,-2.383553044,0.311561843,64,39,25,17.8,107.2,2.6,14.9,23.7,0.3,15.6,0.4,20.8,5.8,5.3,4.7,14.3,0.023,0
8,2002-03,2003,Gary Trent,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,MIN,NBA,SF,80,22,15.3,2.6,4.9,0.535,0.0,0.0,0.0,2.6,4.8,0.537,0.535,0.8,1.3,0.594,1.3,2.3,3.6,1.0,0.4,0.3,0.7,1.8,6.0,1222,8.9,16.6,0.535,0.0,0.1,0.0,8.9,16.5,0.537,2.6,4.3,0.594,4.5,7.9,12.4,3.3,1.4,1.0,2.5,6.1,20.3,110,104,1222,15.9,0.549,0.005,0.26,10.1,16.7,13.5,10.0,1.4,1.4,12.0,18.3,2.0,1.3,3.3,0.128,0.0,-0.1,-0.1,0.6,82.0,19805.0,3172.0,6809.0,0.466,296.0,804.0,0.368,2876.0,6005.0,0.479,1406.0,1826.0,0.77,959.0,2614.0,3573.0,2070.0,553.0,433.0,1124.0,1704.0,8046.0,82.0,19805.0,3005.0,6873.0,0.437,472.0,1362.0,0.347,2533.0,5511.0,0.46,1394.0,1853.0,0.752,974.0,2444.0,3418.0,1871.0,571.0,405.0,1116.0,1686.0,7876.0,51,31,47,35,2.07,0.39,2.46,106.1,103.8,91.9,0.268,0.118,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,Target Center,643684,80,15.3,-0.43,-0.17,-0.59,1.97,2450,1264,-0.302290501,-0.856259143,-1.158549644,1.026379925,1.195061672,-0.168681747,-0.666052019,-1.212784908,-1.878836927,-0.018802511,80,50,30,15.3,101.8,2.3,14.5,23.0,0.4,20.1,0.3,17.8,4.7,4.7,3.8,12.1,0.042,0
9,2003-04,2004,Gary Trent,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,MIN,NBA,C,68,2,15.1,2.3,4.8,0.473,0.0,0.1,0.0,2.3,4.7,0.481,0.473,1.0,1.3,0.758,1.2,2.0,3.2,0.7,0.2,0.3,0.8,1.9,5.6,1025,8.2,17.3,0.473,0.0,0.3,0.0,8.2,16.9,0.481,3.6,4.8,0.758,4.4,7.0,11.4,2.6,0.6,0.9,2.8,6.8,19.9,103,102,1025,12.9,0.515,0.018,0.277,9.8,14.1,12.0,7.8,0.6,1.2,12.8,19.4,1.1,1.2,2.3,0.106,-2.2,-1.1,-3.2,-0.3,82.0,19755.0,3033.0,6571.0,0.462,326.0,897.0,0.363,2707.0,5674.0,0.477,1361.0,1743.0,0.781,875.0,2645.0,3520.0,1890.0,561.0,462.0,1043.0,1731.0,7753.0,82.0,19755.0,2741.0,6625.0,0.414,395.0,1181.0,0.334,2346.0,5444.0,0.431,1426.0,1893.0,0.753,1001.0,2400.0,3401.0,1701.0,547.0,296.0,1106.0,1656.0,7303.0,58,24,57,25,5.49,0.37,5.86,105.9,99.7,89.0,0.265,0.137,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,Target Center,723071,68,15.1,-1.23,-2.95,-4.18,-0.47,2056,1096,-2.500996628,-3.022228891,-5.523225519,-1.561242539,-1.245692388,-0.315550151,-2.424196221,-3.137724753,-5.561920973,0.058407023,68,45,23,15.0,103.4,2.0,13.1,20.4,0.2,9.2,0.3,16.8,4.4,4.2,4.5,11.6,0.03,0
