,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2005-06,2006,Hakim Warrick,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,23,MEM,NBA,PF,68,2,10.6,1.5,3.4,0.443,0.0,0.0,,1.5,3.4,0.443,0.443,1.1,1.7,0.661,0.6,1.5,2.1,0.4,0.2,0.3,0.8,1.7,4.1,724,7.8,17.5,0.443,0.0,0.0,,7.8,17.5,0.443,5.8,8.8,0.661,3.3,7.8,11.1,2.3,1.1,1.6,4.3,8.7,21.4,94,102,724,11.0,0.499,0.0,0.504,7.3,16.8,12.1,7.5,1.1,2.3,16.7,22.5,-0.3,1.1,0.8,0.053,-4.9,-0.1,-5.0,-0.5,82.0,19855.0,2746.0,6125.0,0.448,590.0,1578.0,0.374,2156.0,4547.0,0.474,1476.0,2077.0,0.711,834.0,2379.0,3213.0,1586.0,600.0,442.0,1134.0,1757.0,7558.0,82.0,19855.0,2691.0,6172.0,0.436,408.0,1223.0,0.334,2283.0,4949.0,0.461,1465.0,1942.0,0.754,927.0,2404.0,3331.0,1605.0,597.0,456.0,1213.0,1867.0,7255.0,49,33,52,30,3.7,0.05,3.74,105.9,101.6,86.3,0.339,0.258,0.496,13.9,25.8,0.241,0.469,14.7,72.0,0.237,FedEx Forum,647533,68,10.6,-2.44,-0.87,-3.3,-0.18,1392,767,-4.710997046,-2.101246361,-6.812243407,-1.611292158,-1.462743436,-0.148548722,-4.670298812,-2.375770964,-7.046069776,0.835012426,68,42,26,10.6,101.6,1.5,14.7,22.7,0.2,13.1,0.3,28.8,3.5,2.6,2.5,8.2,0.041,0.0
1,2006-07,2007,Hakim Warrick,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MEM,NBA,PF,82,43,26.2,4.5,8.7,0.524,0.0,0.1,0.0,4.5,8.6,0.53,0.524,3.6,4.7,0.771,1.6,3.5,5.1,0.9,0.5,0.4,2.0,2.8,12.7,2152,8.9,17.0,0.524,0.0,0.2,0.0,8.9,16.8,0.53,7.1,9.2,0.771,3.1,6.9,10.0,1.8,1.0,0.7,3.8,5.5,24.9,109,113,2152,15.9,0.592,0.011,0.545,7.2,16.1,11.7,6.0,1.0,1.1,15.4,21.9,3.2,0.5,3.7,0.082,-0.3,-1.7,-2.0,0.0,82.0,19980.0,2998.0,6448.0,0.465,500.0,1362.0,0.367,2498.0,5086.0,0.491,1835.0,2410.0,0.761,866.0,2375.0,3241.0,1680.0,564.0,407.0,1343.0,1827.0,8331.0,82.0,19980.0,3287.0,6761.0,0.486,576.0,1480.0,0.389,2711.0,5281.0,0.513,1603.0,2113.0,0.759,965.0,2483.0,3448.0,2062.0,681.0,450.0,1253.0,1992.0,8753.0,22,60,27,55,-5.15,0.71,-4.44,106.9,112.3,93.6,0.374,0.211,0.504,15.2,25.9,0.285,0.529,14.0,71.1,0.237,FedEx Forum,600836,82,26.2,-0.83,-2.48,-3.31,-0.26,4245,2152,-1.446318925,-2.825825017,-4.272143942,-1.671869835,-1.671869835,0.0,-1.403304384,-2.600110587,-4.003414971,0.03514515,82,22,60,26.2,110.9,3.5,14.5,23.2,0.5,14.7,0.4,15.8,11.1,7.9,7.6,24.9,0.023,0.0
2,2007-08,2008,Hakim Warrick,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,MEM,NBA,PF,75,30,23.4,4.4,8.7,0.502,0.2,0.6,0.271,4.2,8.1,0.521,0.512,2.4,3.5,0.704,1.6,3.1,4.7,0.7,0.5,0.4,1.1,2.1,11.4,1754,9.4,18.7,0.502,0.4,1.4,0.271,9.0,17.4,0.521,5.3,7.5,0.704,3.5,6.7,10.2,1.5,1.0,0.8,2.4,4.5,24.5,110,112,1754,16.2,0.555,0.074,0.398,7.8,15.0,11.4,5.2,1.0,1.2,10.0,21.6,2.5,0.8,3.3,0.09,-0.3,-1.6,-1.9,0.0,82.0,19805.0,3060.0,6737.0,0.454,620.0,1779.0,0.349,2440.0,4958.0,0.492,1517.0,2097.0,0.723,848.0,2567.0,3415.0,1574.0,503.0,386.0,1251.0,1592.0,8257.0,82.0,19805.0,3394.0,7076.0,0.48,591.0,1625.0,0.364,2803.0,5451.0,0.514,1387.0,1791.0,0.774,932.0,2721.0,3653.0,1963.0,711.0,403.0,1096.0,1842.0,8766.0,22,60,25,57,-6.21,0.45,-5.76,105.0,111.4,95.3,0.311,0.264,0.5,14.0,23.8,0.225,0.521,12.2,73.4,0.196,FedEx Forum,523578,75,23.4,-0.51,-3.07,-3.58,-1.02,3522,1754,-1.72497487,-2.434141664,-4.159116534,-1.258614182,-1.258614182,0.0,-1.774634705,-2.243545673,-4.018180379,-0.177404833,75,20,55,23.4,112.0,3.1,13.8,21.1,0.5,16.1,0.4,18.4,8.9,6.1,8.3,22.7,0.02,0.0
3,2008-09,2009,Hakim Warrick,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,26,MEM,NBA,PF,82,7,24.7,4.1,8.5,0.491,0.1,0.3,0.217,4.1,8.2,0.5,0.494,3.2,4.6,0.711,1.6,3.4,5.0,0.8,0.6,0.5,1.2,2.1,11.6,2029,8.9,18.2,0.491,0.1,0.6,0.217,8.8,17.6,0.5,7.0,9.8,0.711,3.4,7.3,10.7,1.7,1.3,1.0,2.6,4.5,25.0,111,110,2029,16.9,0.554,0.033,0.54,7.7,17.0,12.3,5.9,1.3,1.6,10.3,22.0,3.0,1.7,4.7,0.111,0.2,-0.9,-0.7,0.7,82.0,19805.0,2865.0,6311.0,0.454,398.0,1106.0,0.36,2467.0,5205.0,0.474,1570.0,2077.0,0.756,847.0,2337.0,3184.0,1423.0,615.0,385.0,1252.0,1777.0,7698.0,82.0,19805.0,3018.0,6378.0,0.473,536.0,1510.0,0.355,2482.0,4868.0,0.51,1574.0,2043.0,0.77,842.0,2431.0,3273.0,1735.0,632.0,443.0,1194.0,1786.0,8146.0,24,58,26,56,-5.46,0.24,-5.23,103.5,109.5,90.1,0.329,0.175,0.486,14.8,25.8,0.249,0.515,14.1,73.5,0.247,FedEx Forum,519895,82,24.7,-0.2,1.05,0.85,4.97,3852,2029,-0.89236598,-1.105215849,-1.997581829,0.777132813,0.777132813,0.0,-1.114852092,-1.302447722,-2.417299813,-0.210568245,82,24,58,24.7,105.9,3.4,14.8,22.9,0.6,15.9,0.5,20.6,8.4,6.5,6.7,20.8,0.073,0.0
4,2009-10,2010,Hakim Warrick,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,27,MIL,NBA,PF,48,6,21.3,3.8,7.9,0.481,0.0,0.1,0.167,3.8,7.8,0.487,0.483,2.6,3.6,0.727,1.8,2.6,4.4,0.7,0.4,0.2,1.2,1.7,10.2,1024,9.3,19.3,0.481,0.1,0.3,0.167,9.3,19.0,0.487,6.4,8.8,0.727,4.4,6.4,10.8,1.8,0.9,0.5,2.9,4.2,25.1,108,105,1024,15.6,0.54,0.016,0.455,9.2,14.6,11.8,5.8,0.9,0.8,11.2,22.6,1.2,1.3,2.5,0.119,-0.4,-0.5,-1.0,0.3,82.0,19980.0,3050.0,6998.0,0.436,645.0,1813.0,0.356,2405.0,5185.0,0.464,1264.0,1675.0,0.755,965.0,2560.0,3525.0,1740.0,580.0,385.0,1085.0,1823.0,8009.0,82.0,19980.0,2870.0,6361.0,0.451,438.0,1276.0,0.343,2432.0,5085.0,0.478,1692.0,2211.0,0.765,790.0,2722.0,3512.0,1581.0,573.0,421.0,1254.0,1664.0,7870.0,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,91.7,0.239,0.259,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,Bradley Center,619453,76,20.5,-0.42,-2.24,-2.66,0.21,3085,1588,-1.426497544,-2.241460161,-3.667957704,-0.747248551,-0.567679127,-0.179569424,-1.707311829,-2.630875463,-4.338187292,-0.379525047,76,36,40,20.5,104.9,2.5,12.6,19.1,0.3,11.8,0.2,14.3,7.1,5.8,5.9,17.3,0.065,-1.83
5,2009-10,2010,Hakim Warrick,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,27,CHI,NBA,PF,28,0,19.0,3.0,6.1,0.483,0.0,0.0,0.0,3.0,6.1,0.485,0.483,2.8,3.6,0.755,1.4,2.2,3.6,0.6,0.3,0.3,0.8,1.5,8.7,533,8.0,16.6,0.483,0.0,0.1,0.0,8.0,16.5,0.485,7.4,9.9,0.755,3.9,6.0,9.9,1.6,0.7,0.8,2.2,4.2,23.5,114,108,533,15.7,0.56,0.006,0.593,8.5,12.8,10.6,5.2,0.7,1.1,9.6,20.2,1.0,0.5,1.5,0.133,-0.3,-1.6,-1.9,0.0,82.0,19905.0,3081.0,6825.0,0.451,352.0,1066.0,0.33,2729.0,5759.0,0.474,1479.0,1962.0,0.754,937.0,2715.0,3652.0,1704.0,531.0,478.0,1175.0,1648.0,7993.0,82.0,19905.0,3043.0,6885.0,0.442,584.0,1680.0,0.348,2459.0,5205.0,0.472,1457.0,1958.0,0.744,916.0,2589.0,3505.0,1715.0,578.0,438.0,1090.0,1643.0,8127.0,41,41,36,46,-1.63,0.0,-1.64,103.5,105.3,93.1,0.287,0.156,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,United Center,849760,76,20.5,-0.42,-2.24,-2.66,0.21,3085,1588,-1.426497544,-2.241460161,-3.667957704,-0.747248551,-0.567679127,-0.179569424,-1.707311829,-2.630875463,-4.338187292,-0.379525047,76,36,40,20.5,104.9,2.5,12.6,19.1,0.3,11.8,0.2,14.3,7.1,5.8,5.9,17.3,0.065,-1.83
6,2010-11,2011,Hakim Warrick,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,28,PHO,NBA,PF,80,6,17.7,2.9,5.6,0.511,0.0,0.1,0.091,2.8,5.4,0.522,0.512,2.7,3.7,0.721,1.1,2.6,3.7,0.9,0.4,0.1,1.0,1.3,8.4,1416,8.2,16.0,0.511,0.0,0.4,0.091,8.2,15.6,0.522,7.6,10.6,0.721,3.2,7.5,10.6,2.5,1.1,0.3,2.8,3.6,24.0,113,111,1416,16.5,0.581,0.025,0.659,7.2,17.0,12.1,7.6,1.1,0.5,12.1,20.9,2.6,0.8,3.4,0.116,0.1,-1.0,-1.0,0.3,82.0,20005.0,3219.0,6844.0,0.47,701.0,1857.0,0.377,2518.0,4987.0,0.505,1472.0,1939.0,0.759,821.0,2478.0,3299.0,1945.0,545.0,357.0,1169.0,1666.0,8611.0,82.0,20005.0,3309.0,7018.0,0.472,585.0,1595.0,0.367,2724.0,5423.0,0.502,1481.0,1964.0,0.754,985.0,2647.0,3632.0,1890.0,644.0,356.0,1189.0,1740.0,8684.0,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,94.4,0.283,0.271,0.522,13.2,23.7,0.215,0.513,13.1,71.6,0.211,US Airways Center,720249,80,17.7,0.19,-3.69,-3.5,-0.41,2817,1416,-0.908759716,-2.337010902,-3.245770618,-0.356608363,-0.356608363,0.0,-1.074303641,-2.808675072,-3.882978713,-0.405324397,80,39,41,17.7,110.0,2.6,15.3,24.9,0.4,15.2,0.1,6.8,7.0,5.3,5.8,17.7,0.027,-1.31
7,2011-12,2012,Hakim Warrick,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,29,PHO,NBA,PF,35,0,14.4,2.1,5.1,0.411,0.0,0.3,0.1,2.1,4.9,0.429,0.414,2.2,2.8,0.768,0.9,1.7,2.6,0.9,0.2,0.1,1.0,1.0,6.4,503,7.6,18.5,0.411,0.1,1.0,0.1,7.5,17.5,0.429,7.8,10.2,0.768,3.2,6.3,9.5,3.1,0.8,0.3,3.7,3.6,23.2,100,109,503,13.1,0.503,0.056,0.55,7.0,13.5,10.3,9.3,0.8,0.4,13.9,23.4,0.3,0.2,0.5,0.05,-1.1,-1.6,-2.7,-0.1,66.0,15840.0,2495.0,5445.0,0.458,444.0,1295.0,0.343,2051.0,4150.0,0.494,1058.0,1397.0,0.757,717.0,2035.0,2752.0,1486.0,431.0,366.0,928.0,1233.0,6492.0,66.0,15840.0,2505.0,5510.0,0.455,398.0,1131.0,0.352,2107.0,4379.0,0.481,1100.0,1444.0,0.762,802.0,2064.0,2866.0,1416.0,526.0,288.0,929.0,1293.0,6508.0,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,92.6,0.257,0.238,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,US Airways Center,514718,35,14.4,-0.99,-2.02,-3.0,-0.23,982,503,-2.890438317,-3.052747223,-5.94318554,-0.817035399,-0.817035399,0.0,-2.832200194,-3.742516474,-6.574716668,-0.274270596,35,15,20,14.4,107.1,1.7,12.4,20.2,0.2,12.7,0.1,6.7,4.7,4.8,4.0,13.4,0.021,-1.48
8,2012-13,2013,Hakim Warrick,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NOH,NBA,PF,1,0,7.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7,7.7,15.5,0.5,0.0,0.0,,7.7,15.5,0.5,15.5,15.5,1.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,31.0,154,102,7,28.8,0.694,0.0,1.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,19.1,0.0,0.0,0.1,0.353,6.7,7.3,14.0,0.0,82.0,19780.0,2955.0,6589.0,0.448,535.0,1474.0,0.363,2420.0,5115.0,0.473,1269.0,1636.0,0.776,988.0,2426.0,3414.0,1721.0,520.0,440.0,1193.0,1673.0,7714.0,82.0,19780.0,3030.0,6435.0,0.471,632.0,1688.0,0.374,2398.0,4747.0,0.505,1339.0,1764.0,0.759,835.0,2391.0,3226.0,1915.0,648.0,492.0,1086.0,1534.0,8031.0,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,88.5,0.248,0.224,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208,New Orleans Arena,565930,28,17.5,-2.21,-1.62,-3.83,-0.43,942,489,-3.979546193,-1.888698172,-5.868244365,-0.77564645,-0.77564645,0.0,-3.895336291,-2.360774285,-6.256110576,-0.01860931,28,6,22,17.5,107.8,2.4,14.1,22.5,0.5,17.8,0.2,10.2,6.5,5.3,6.0,17.2,0.03,-0.31
9,2012-13,2013,Hakim Warrick,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,CHA,NBA,PF,27,14,17.9,2.4,6.0,0.405,0.0,0.1,0.0,2.4,5.9,0.413,0.405,2.1,3.2,0.674,0.8,2.5,3.3,0.9,0.4,0.2,1.1,1.4,7.0,482,7.2,17.7,0.405,0.0,0.3,0.0,7.2,17.4,0.413,6.3,9.4,0.674,2.3,7.4,9.7,2.7,1.3,0.7,3.2,4.0,20.7,94,112,482,11.3,0.473,0.018,0.528,4.8,16.6,10.6,9.0,1.3,1.0,12.6,21.7,-0.2,0.1,-0.1,-0.007,-2.9,-2.2,-5.1,-0.4,82.0,19805.0,2823.0,6649.0,0.425,469.0,1399.0,0.335,2354.0,5250.0,0.448,1546.0,2060.0,0.75,917.0,2389.0,3306.0,1587.0,591.0,479.0,1153.0,1561.0,7661.0,82.0,19805.0,3185.0,6762.0,0.471,716.0,1847.0,0.388,2469.0,4915.0,0.502,1332.0,1784.0,0.747,971.0,2645.0,3616.0,2071.0,569.0,565.0,1152.0,1746.0,8418.0,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,91.5,0.31,0.21,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,628293,28,17.5,-2.21,-1.62,-3.83,-0.43,942,489,-3.979546193,-1.888698172,-5.868244365,-0.77564645,-0.77564645,0.0,-3.895336291,-2.360774285,-6.256110576,-0.01860931,28,6,22,17.5,107.8,2.4,14.1,22.5,0.5,17.8,0.2,10.2,6.5,5.3,6.0,17.2,0.03,-0.31
