,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1993-94,1994,David Wesley,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,NJN,NBA,PG,60,0,9.0,1.1,2.9,0.368,0.2,0.8,0.234,0.9,2.1,0.417,0.399,0.7,0.9,0.83,0.2,0.6,0.7,2.1,0.6,0.1,0.9,0.8,3.1,542,5.9,16.1,0.368,1.0,4.4,0.234,4.9,11.8,0.417,4.1,4.9,0.83,0.9,3.2,4.1,11.4,3.5,0.4,4.8,4.4,17.0,97,105,542,13.0,0.464,0.27,0.305,1.9,6.7,4.3,33.3,3.5,0.5,20.9,19.4,-0.1,0.7,0.6,0.053,-1.6,0.6,-0.9,0.2,82.0,19830.0,3169.0,7115.0,0.445,223.0,683.0,0.327,2946.0,6432.0,0.458,1900.0,2495.0,0.762,1300.0,2556.0,3856.0,1900.0,696.0,576.0,1196.0,1693.0,8461.0,82.0,19830.0,3266.0,7125.0,0.458,235.0,739.0,0.318,3031.0,6386.0,0.475,1514.0,2038.0,0.743,1142.0,2528.0,3670.0,1919.0,715.0,582.0,1248.0,1901.0,8281.0,45,37,47,35,2.2,-0.08,2.11,107.2,104.9,95.5,0.351,0.096,0.461,12.7,34.0,0.267,0.475,13.5,69.1,0.212,Brendan Byrne Arena,658304,0,0,0.0,0.0,0.0,0.0,1125,560,-0.714478428,0.475761229,-0.238717199,0.723561462,0.688791408,0.034770054,-0.545892489,-0.335485076,-0.881377565,0.571270523,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1994-95,1995,David Wesley,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,BOS,NBA,PG,51,36,27.1,2.5,6.1,0.409,1.0,2.3,0.429,1.5,3.8,0.397,0.49,1.4,1.8,0.755,0.6,1.7,2.3,5.2,1.6,0.2,1.7,2.8,7.4,1380,4.7,11.6,0.409,1.9,4.4,0.429,2.8,7.2,0.397,2.6,3.5,0.755,1.1,3.2,4.3,9.8,3.0,0.3,3.2,5.3,14.0,111,110,1380,12.9,0.533,0.38,0.3,2.5,7.3,4.9,27.2,3.0,0.4,19.7,13.8,1.5,1.1,2.6,0.091,-0.4,0.9,0.5,0.9,82.0,19805.0,3179.0,6847.0,0.464,362.0,984.0,0.368,2817.0,5863.0,0.48,1708.0,2268.0,0.753,1156.0,2320.0,3476.0,1783.0,612.0,361.0,1305.0,1975.0,8428.0,82.0,19805.0,3303.0,6820.0,0.484,375.0,1047.0,0.358,2928.0,5773.0,0.507,1601.0,2225.0,0.72,1064.0,2335.0,3399.0,1999.0,653.0,454.0,1232.0,1922.0,8582.0,35,47,36,46,-1.88,-0.04,-1.92,108.6,110.6,94.0,0.331,0.144,0.491,14.3,33.1,0.249,0.512,13.6,68.6,0.235,Boston Garden,606070,0,0,0.0,0.0,0.0,0.0,2734,1380,1.198803326,0.742867716,1.941671041,3.309206245,3.309206245,0.0,1.207662849,1.325804029,2.533466878,0.168350414,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1995-96,1996,David Wesley,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,BOS,NBA,PG,82,53,25.7,4.1,9.0,0.459,1.4,3.3,0.426,2.7,5.7,0.478,0.538,2.6,3.5,0.753,0.8,2.4,3.2,4.8,1.2,0.1,1.9,2.5,12.3,2104,8.0,17.4,0.459,2.7,6.4,0.426,5.3,11.0,0.478,5.1,6.8,0.753,1.6,4.6,6.3,9.2,2.4,0.3,3.8,4.9,23.9,116,110,2104,18.5,0.585,0.37,0.391,3.5,10.7,7.0,29.2,2.4,0.4,15.6,20.9,4.8,1.6,6.3,0.144,2.8,0.0,2.8,2.5,82.0,19905.0,3163.0,6942.0,0.456,539.0,1453.0,0.371,2624.0,5489.0,0.478,1630.0,2284.0,0.714,1050.0,2427.0,3477.0,1792.0,653.0,406.0,1302.0,2041.0,8495.0,82.0,19905.0,3296.0,6856.0,0.481,415.0,1162.0,0.357,2881.0,5694.0,0.506,1767.0,2366.0,0.747,1040.0,2590.0,3630.0,1916.0,667.0,489.0,1314.0,1965.0,8774.0,33,49,32,50,-3.4,0.03,-3.37,106.4,109.9,96.2,0.329,0.209,0.494,14.1,28.8,0.235,0.511,14.3,70.0,0.258,FleetCenter,730842,0,0,0.0,0.0,0.0,0.0,4265,2104,3.206605469,-0.286193219,2.920412251,6.092001336,6.092001336,0.0,3.034137533,0.007155458,3.041292991,0.076891831,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,1996-97,1997,David Wesley,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,BOS,NBA,PG,74,73,40.4,6.2,13.2,0.468,1.4,3.9,0.36,4.8,9.3,0.513,0.521,3.0,3.9,0.781,0.9,2.7,3.6,7.3,2.2,0.2,2.9,3.0,16.8,2991,7.6,16.3,0.468,1.7,4.8,0.36,5.9,11.5,0.513,3.8,4.8,0.781,1.1,3.3,4.4,9.0,2.7,0.2,3.5,3.7,20.8,112,112,2991,16.5,0.563,0.294,0.296,2.4,8.2,5.1,29.1,2.7,0.3,16.1,18.8,5.0,1.1,6.1,0.097,1.1,-0.6,0.6,1.9,82.0,19905.0,3066.0,6967.0,0.44,467.0,1331.0,0.351,2599.0,5636.0,0.461,1649.0,2199.0,0.75,1095.0,2188.0,3283.0,1792.0,810.0,315.0,1342.0,1915.0,8248.0,82.0,19905.0,3365.0,6696.0,0.503,493.0,1351.0,0.365,2872.0,5345.0,0.537,1626.0,2257.0,0.72,1005.0,2628.0,3633.0,2130.0,720.0,557.0,1446.0,1827.0,8849.0,15,67,22,60,-7.33,0.71,-6.62,103.9,111.4,95.8,0.316,0.191,0.474,14.5,29.4,0.237,0.539,15.8,68.5,0.243,FleetCenter,664022,74,40.4,2.55,-1.86,0.69,8.13,6038,2991,2.479444738,-0.605005007,1.874439732,7.048947564,7.048947564,0.0,2.29892947,0.14394473,2.442874199,-0.103259447,74,13,61,40.4,109.6,2.7,7.3,12.2,2.2,25.6,0.2,5.7,15.3,12.0,13.0,44.0,0.048,0
4,1997-98,1998,David Wesley,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,CHH,NBA,PG,81,81,35.1,4.7,10.7,0.443,0.7,2.1,0.347,4.0,8.6,0.467,0.477,2.8,3.6,0.795,0.6,2.0,2.6,6.5,1.7,0.4,2.8,2.8,13.0,2845,7.2,16.3,0.443,1.1,3.2,0.347,6.1,13.1,0.467,4.3,5.4,0.795,0.9,3.1,4.0,10.0,2.6,0.6,4.3,4.3,19.9,106,106,2845,15.2,0.532,0.197,0.333,2.1,6.9,4.5,30.2,2.6,0.8,18.6,19.8,3.3,2.5,5.8,0.098,0.6,0.1,0.7,1.9,82.0,19780.0,2968.0,6344.0,0.468,346.0,904.0,0.383,2622.0,5440.0,0.482,1641.0,2186.0,0.751,985.0,2341.0,3326.0,1941.0,691.0,312.0,1247.0,1757.0,7923.0,82.0,19780.0,2977.0,6417.0,0.464,369.0,1063.0,0.347,2608.0,5354.0,0.487,1436.0,1964.0,0.731,965.0,2259.0,3224.0,1806.0,582.0,372.0,1240.0,1902.0,7759.0,51,31,47,35,2.0,0.45,2.45,107.5,105.3,89.4,0.345,0.142,0.495,14.6,30.4,0.259,0.493,14.6,70.8,0.224,Charlotte Coliseum,959634,81,35.1,0.11,0.01,0.11,5.51,5862,3130,1.699220534,0.063524708,1.762745242,7.215248517,6.648020059,0.567228458,1.824843457,0.517680896,2.342524353,-0.023530832,81,50,31,35.1,102.2,2.0,6.2,9.7,1.7,28.4,0.4,13.5,11.9,9.9,9.0,30.0,0.104,0
5,1998-99,1999,David Wesley,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,CHH,NBA,PG,50,50,37.0,4.9,10.9,0.446,1.2,3.4,0.359,3.6,7.5,0.485,0.502,3.2,3.8,0.832,0.5,2.8,3.2,6.4,2.0,0.2,2.8,2.6,14.1,1848,7.0,15.8,0.446,1.8,4.9,0.359,5.3,10.9,0.485,4.6,5.5,0.832,0.7,4.0,4.7,9.3,2.9,0.3,4.1,3.8,20.4,107,103,1848,16.9,0.561,0.312,0.35,1.5,8.4,5.1,31.3,2.9,0.4,18.4,19.8,3.1,1.7,4.8,0.124,1.5,0.2,1.7,1.7,50.0,12150.0,1671.0,3718.0,0.449,268.0,735.0,0.365,1403.0,2983.0,0.47,1034.0,1384.0,0.747,480.0,1493.0,1973.0,1110.0,443.0,247.0,796.0,1101.0,4644.0,50.0,12150.0,1739.0,4003.0,0.434,212.0,637.0,0.333,1527.0,3366.0,0.454,959.0,1306.0,0.734,655.0,1491.0,2146.0,1092.0,443.0,232.0,762.0,1151.0,4649.0,26,24,25,25,-0.1,0.73,0.63,102.3,102.4,89.7,0.372,0.198,0.485,15.5,24.4,0.278,0.461,14.3,69.5,0.24,Charlotte Coliseum,480807,50,37.0,1.31,-0.42,0.89,5.14,3493,1848,2.716284171,0.564245587,3.280529758,5.686128416,5.686128416,0.0,2.795914852,1.020787934,3.816702786,0.003891299,50,26,24,36.9,98.9,2.8,7.5,12.1,2.0,28.3,0.2,5.6,13.8,10.1,10.8,28.1,0.116,0
6,1999-00,2000,David Wesley,-1.0,0.0,0.0,0.0,False,2.0,0.0,500.0,29,CHH,NBA,PG,82,82,33.7,5.0,11.6,0.426,1.1,3.0,0.355,3.9,8.6,0.451,0.472,2.6,3.4,0.778,0.5,2.3,2.7,5.6,1.3,0.1,1.9,2.3,13.6,2760,7.5,17.7,0.426,1.6,4.6,0.355,5.9,13.1,0.451,4.0,5.1,0.778,0.7,3.4,4.2,8.6,2.0,0.2,2.9,3.4,20.7,106,105,2760,15.0,0.519,0.26,0.288,1.6,7.4,4.6,28.2,2.0,0.3,12.9,20.1,3.4,2.7,6.1,0.106,0.4,-0.3,0.1,1.5,82.0,19780.0,2935.0,6533.0,0.449,339.0,1001.0,0.339,2596.0,5532.0,0.469,1863.0,2458.0,0.758,884.0,2635.0,3519.0,2023.0,732.0,480.0,1206.0,1670.0,8072.0,82.0,19780.0,3048.0,6811.0,0.448,410.0,1086.0,0.378,2638.0,5725.0,0.461,1347.0,1807.0,0.745,966.0,2550.0,3516.0,1903.0,604.0,421.0,1297.0,2076.0,7853.0,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,93.9,0.376,0.153,0.475,13.7,25.7,0.285,0.478,14.6,73.2,0.198,Charlotte Coliseum,732827,82,33.7,0.81,-1.83,-1.02,2.58,5733,2912,1.329430082,-0.446428553,0.883001529,5.38048482,5.22304744,0.15743738,1.370995345,-0.004016884,1.366978461,-0.153926975,82,49,33,33.6,100.3,2.3,6.6,9.9,1.3,23.0,0.1,3.4,11.4,9.2,10.4,27.8,0.109,0
7,2000-01,2001,David Wesley,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,CHH,NBA,SG,82,82,37.9,6.4,15.1,0.422,1.2,3.1,0.376,5.2,12.0,0.434,0.461,3.3,4.1,0.799,0.8,2.0,2.7,4.4,1.6,0.2,2.1,2.7,17.2,3106,9.0,21.4,0.422,1.7,4.5,0.376,7.4,17.0,0.434,4.7,5.9,0.799,1.1,2.8,3.9,6.2,2.2,0.3,3.0,3.8,24.4,104,103,3106,15.3,0.509,0.208,0.274,2.4,5.9,4.1,21.7,2.2,0.4,11.0,23.1,4.2,3.4,7.6,0.117,0.4,0.0,0.4,1.9,82.0,19880.0,2800.0,6501.0,0.431,340.0,984.0,0.346,2460.0,5517.0,0.446,1599.0,2146.0,0.745,1033.0,2608.0,3641.0,1900.0,665.0,455.0,1183.0,1753.0,7539.0,82.0,19880.0,2767.0,6501.0,0.426,389.0,1081.0,0.36,2378.0,5420.0,0.439,1444.0,1910.0,0.756,892.0,2436.0,3328.0,1748.0,616.0,375.0,1204.0,1768.0,7367.0,46,36,48,34,2.1,-0.65,1.45,101.8,99.5,89.4,0.33,0.151,0.457,13.7,29.8,0.246,0.456,14.1,74.5,0.222,Charlotte Coliseum,615424,82,37.9,0.19,-0.69,-0.5,4.75,6587,3500,1.001894789,-0.189645257,0.812249531,6.404645329,5.056463598,1.348181731,1.065407844,0.276442958,1.341850802,-0.040415805,82,46,36,37.9,97.7,2.0,5.2,7.8,1.6,23.5,0.2,4.7,12.4,9.9,8.3,28.0,0.147,0
8,2001-02,2002,David Wesley,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,31,CHH,NBA,SG,67,63,37.1,5.4,13.6,0.4,1.3,3.8,0.332,4.2,9.8,0.427,0.447,2.1,2.8,0.734,0.7,1.5,2.1,3.5,1.1,0.2,1.8,2.2,14.2,2487,7.8,19.6,0.4,1.8,5.5,0.332,6.0,14.1,0.427,3.0,4.0,0.734,0.9,2.1,3.1,5.1,1.6,0.3,2.6,3.2,20.5,100,108,2487,11.3,0.479,0.281,0.207,2.0,4.5,3.3,16.2,1.6,0.4,10.7,20.4,1.1,1.5,2.6,0.05,-1.1,-0.9,-2.1,0.0,82.0,19755.0,2893.0,6580.0,0.44,346.0,994.0,0.348,2547.0,5586.0,0.456,1568.0,2105.0,0.745,1059.0,2505.0,3564.0,1759.0,653.0,456.0,1150.0,1747.0,7700.0,82.0,19755.0,2850.0,6594.0,0.432,433.0,1156.0,0.375,2417.0,5438.0,0.444,1488.0,1938.0,0.768,963.0,2399.0,3362.0,1639.0,625.0,422.0,1140.0,1703.0,7621.0,44,38,44,38,0.96,-0.4,0.57,104.3,103.3,89.7,0.32,0.151,0.466,13.3,30.6,0.238,0.465,13.3,72.2,0.226,Charlotte Coliseum,462738,67,37.1,-0.72,-1.98,-2.7,-0.11,5419,2864,-0.757677091,-1.741503755,-2.499180846,0.367516752,0.331514409,0.036002344,-0.518255237,-1.345999206,-1.864254443,-0.050358654,67,36,31,37.2,103.2,1.5,3.9,6.3,1.1,18.9,0.2,5.4,11.0,11.1,10.1,27.5,0.097,0
9,2002-03,2003,David Wesley,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,32,NOH,NBA,SG,73,73,37.1,6.2,14.2,0.433,1.8,4.3,0.424,4.3,9.9,0.437,0.498,2.5,3.2,0.781,0.5,1.9,2.4,3.4,1.5,0.1,1.8,2.4,16.7,2710,8.9,20.6,0.433,2.7,6.3,0.424,6.2,14.3,0.437,3.7,4.7,0.781,0.8,2.7,3.5,5.0,2.2,0.2,2.6,3.4,24.1,109,105,2710,15.1,0.533,0.305,0.229,1.6,5.9,3.8,16.4,2.2,0.2,10.4,21.4,4.5,2.5,7.0,0.124,1.0,0.1,1.1,2.1,82.0,19905.0,2914.0,6695.0,0.435,404.0,1075.0,0.376,2510.0,5620.0,0.447,1467.0,1910.0,0.768,1097.0,2475.0,3572.0,1807.0,656.0,394.0,1212.0,1769.0,7699.0,82.0,19905.0,2857.0,6518.0,0.438,338.0,1001.0,0.338,2519.0,5517.0,0.457,1474.0,1925.0,0.766,909.0,2368.0,3277.0,1630.0,647.0,427.0,1196.0,1754.0,7526.0,47,35,47,35,2.11,-0.59,1.52,103.9,101.6,89.4,0.285,0.161,0.465,13.9,31.7,0.219,0.464,14.0,73.1,0.226,New Orleans Arena,641683,73,37.1,0.62,0.08,0.71,6.8,5445,2895,1.584941593,-0.514618619,1.070322975,5.626253308,5.677351202,-0.051097894,1.692743585,-0.062400185,1.630343399,-0.009722381,73,43,30,37.1,100.8,1.9,5.3,8.1,1.5,24.2,0.1,3.4,12.0,10.2,9.3,30.0,0.114,0
