,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2010-11,2011,Hassan Whiteside,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,SAC,NBA,C,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4,0.0,,115,2,-17.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.007,-27.9,0.0,-27.9,0.0,82.0,19855,3134,6979,0.449,428,1277,0.335,2706,5702,0.475,1455,1981,0.734,1071,2526,3597,1675,608,391,1324,1805,8151,82.0,19855,3260,6826,0.478,480,1353,0.355,2780,5473,0.508,1589,2085,0.762,868,2508,3376,1779,666,464,1204,1723,8589,24,58,27,55,-5.34,0.54,-4.8,103.5,109.0,95.2,0.284,0.183,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,Power Balance Pavilion,569496,0,0,0.0,0.0,0.0,0.0,4,2,-5.234460308,-4.559125311,-9.793585619,-0.00804887,-0.00804887,0.0,-6.377574339,5.778883602,-0.598690737,11.17195212,1,1,0,1.7,133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.008,0.17
1,2011-12,2012,Hassan Whiteside,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,SAC,NBA,C,18,0,6.1,0.7,1.5,0.444,0.0,0.0,,0.7,1.5,0.444,0.444,0.3,0.7,0.417,0.9,1.3,2.2,0.0,0.2,0.8,0.3,0.7,1.6,109,5.6,12.6,0.444,0.0,0.0,,5.6,12.6,0.444,2.3,5.6,0.417,7.4,10.7,18.1,0.0,1.4,7.0,2.3,5.6,13.5,98.0,102,109,16.2,0.449,0.0,0.444,15.4,24.3,19.6,0.0,1.4,10.0,13.4,14.8,0.0,0.2,0.2,0.073,-2.0,0.4,-1.6,0.0,66.0,15915,2490,5712,0.436,411,1301,0.316,2079,4411,0.471,1127,1532,0.736,882,1947,2829,1271,561,323,952,1287,6518,66.0,15915,2668,5609,0.476,439,1236,0.355,2229,4373,0.51,1118,1468,0.762,815,2154,2969,1571,518,423,1014,1313,6893,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,94.7,0.268,0.228,0.472,13.0,29.1,0.197,0.515,13.9,70.5,0.199,Power Balance Pavilion,478764,18,6.1,-2.41,1.82,-0.59,0.13,218,109,-2.785933681,1.160357411,-1.62557627,0.062099621,0.062099621,0.0,-3.054262272,-0.011905601,-3.066167872,-0.637429462,18,6,12,6.0,93.8,1.3,17.6,31.1,0.2,16.7,0.8,62.5,2.7,3.0,1.6,5.3,0.036,0.99
2,2014-15,2015,Hassan Whiteside,15T,0.0,1.0,0.0,False,0.0,1.0,500.0,25,MIA,NBA,C,48,32,23.8,5.1,8.1,0.628,0.0,0.0,,5.1,8.1,0.628,0.628,1.6,3.3,0.5,3.0,7.0,10.0,0.1,0.6,2.6,1.2,2.7,11.8,1142,11.2,17.9,0.628,0.0,0.0,,11.2,17.9,0.628,3.6,7.2,0.5,6.7,15.6,22.3,0.3,1.2,5.7,2.7,6.0,26.1,117.0,97,1142,26.2,0.619,0.0,0.403,15.6,34.7,25.4,1.0,1.2,9.2,11.3,21.1,2.8,2.4,5.3,0.221,2.5,1.6,4.1,1.8,82.0,19730,2885,6330,0.456,556,1659,0.335,2329,4671,0.499,1438,1940,0.741,747,2461,3208,1626,642,372,1214,1636,7764,82.0,19730,2960,6523,0.454,666,1887,0.353,2294,4636,0.495,1391,1905,0.73,894,2467,3361,1748,646,359,1215,1715,7977,37,45,33,49,-2.6,-0.32,-2.92,103.9,106.7,90.9,0.306,0.262,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213,AmericanAirlines Arena,808223,48,23.8,0.9,-0.08,0.82,2.68,2214,1142,1.114390664,2.618856523,3.733247187,3.779438948,3.779438948,0.0,1.169695428,2.008636375,3.178331803,0.050400089,48,18,30,23.8,106.8,7.0,29.3,44.1,0.6,17.6,2.6,76.4,8.7,5.9,5.8,19.9,0.047,2.38
3,2015-16,2016,Hassan Whiteside,3,0.0,2.0,2.0,False,0.0,83.0,500.0,26,MIA,NBA,C,73,43,29.1,5.7,9.3,0.606,0.0,0.0,,5.7,9.3,0.606,0.606,2.9,4.5,0.65,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,14.2,2125,10.0,16.5,0.606,0.0,0.0,,10.0,16.5,0.606,5.2,7.9,0.65,5.7,15.1,20.9,0.7,1.1,6.5,3.3,4.9,25.1,117.0,95,2125,25.6,0.629,0.0,0.482,13.1,32.4,23.1,2.4,1.1,9.7,14.2,20.7,5.0,5.3,10.3,0.233,1.7,2.4,4.1,3.3,82.0,19830,3150,6697,0.47,498,1480,0.336,2652,5217,0.508,1406,1889,0.744,807,2811,3618,1709,553,531,1155,1502,8204,82.0,19830,3054,6914,0.442,605,1742,0.347,2449,5172,0.474,1356,1761,0.77,803,2580,3383,1657,612,337,1060,1608,8069,48,34,46,36,1.65,-0.14,1.5,106.1,104.4,93.6,0.282,0.221,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,AmericanAirlines Arena,809350,73,29.1,-0.39,0.71,0.32,3.73,4711,2416,0.373470291,2.415834225,2.789304516,6.836313348,5.349009489,1.48730386,0.308088348,3.086047832,3.394136179,-0.84204301,73,42,31,29.1,103.5,8.6,28.2,41.4,0.6,16.1,3.7,74.5,9.4,8.6,6.1,25.8,0.094,3.14
4,2016-17,2017,Hassan Whiteside,5T,0.0,3.0,0.0,False,0.0,3.0,500.0,27,MIA,NBA,C,77,77,32.6,7.0,12.6,0.557,0.0,0.0,,7.0,12.6,0.557,0.557,2.9,4.6,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,17.0,2513,10.9,19.5,0.557,0.0,0.0,,10.9,19.5,0.557,4.5,7.2,0.628,5.9,15.9,21.8,1.1,1.1,3.2,3.1,4.5,26.3,113.0,100,2513,22.6,0.579,0.0,0.368,12.8,35.3,24.0,3.8,1.1,5.0,12.0,22.7,4.2,5.3,9.5,0.181,0.9,0.5,1.5,2.2,82.0,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,872,2705,3577,1742,588,469,1102,1680,8460,82.0,19780,3108,6904,0.45,639,1864,0.343,2469,5040,0.49,1518,1940,0.782,837,2737,3574,1611,556,398,1121,1530,8373,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,95.2,0.251,0.314,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,805400,77,32.6,0.17,1.01,1.18,5.31,5003,2513,-0.765608907,1.725097648,0.959488741,4.722997653,4.722997653,0.0,-0.239569845,2.153436719,1.913866874,-0.681817536,77,39,38,32.6,106.6,10.3,31.3,45.1,0.7,16.5,2.1,52.6,9.5,8.5,7.5,29.1,0.1,2.18
5,2017-18,2018,Hassan Whiteside,-1,0.0,3.0,0.0,False,0.0,0.0,500.0,28,MIA,NBA,C,54,54,25.3,5.8,10.7,0.54,0.0,0.0,1.0,5.7,10.7,0.538,0.542,2.4,3.4,0.703,3.2,8.2,11.4,1.0,0.7,1.7,1.7,2.4,14.0,1364,11.5,21.3,0.54,0.1,0.1,1.0,11.4,21.2,0.538,4.7,6.7,0.703,6.4,16.3,22.7,2.0,1.4,3.5,3.4,4.8,27.8,111.0,99,1364,24.1,0.573,0.003,0.315,14.3,36.6,25.4,6.9,1.4,5.9,12.3,24.7,2.3,3.0,5.3,0.187,1.5,1.1,2.6,1.6,82.0,19930,3184,6997,0.455,903,2506,0.36,2281,4491,0.508,1209,1601,0.755,763,2801,3564,1862,620,437,1179,1648,8480,82.0,19930,3090,6873,0.45,785,2181,0.36,2305,4692,0.491,1476,1885,0.783,744,2791,3535,1720,616,378,1160,1587,8441,44,38,42,40,0.48,-0.33,0.15,106.8,106.3,95.6,0.229,0.358,0.52,13.3,21.5,0.173,0.507,13.1,79.0,0.215,AmericanAirlines Arena,804850,54,25.3,-0.68,1.05,0.36,1.82,2958,1441,-2.235139183,2.39191256,0.156773376,2.150021443,2.42918301,-0.279161567,-2.060046068,2.173615458,0.11356939,0.332593436,54,30,24,25.3,105.0,8.2,31.7,44.8,0.7,18.2,1.7,54.7,8.2,5.8,7.4,22.8,0.089,2.62
6,2018-19,2019,Hassan Whiteside,-1,0.0,3.0,0.0,False,0.0,0.0,500.0,29,MIA,NBA,C,72,53,23.3,5.4,9.4,0.571,0.0,0.2,0.125,5.4,9.2,0.581,0.572,1.5,3.4,0.449,3.6,7.8,11.3,0.8,0.6,1.9,1.3,2.7,12.3,1674,11.3,19.8,0.571,0.1,0.5,0.125,11.3,19.4,0.581,3.2,7.1,0.449,7.5,16.3,23.8,1.6,1.3,4.0,2.8,5.6,25.9,112.0,99,1674,23.5,0.564,0.024,0.357,16.3,35.6,25.9,5.6,1.3,7.3,11.0,22.6,2.3,4.0,6.3,0.18,1.1,1.2,2.3,1.8,82.0,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,82.0,19730,3141,7116,0.441,973,2717,0.358,2168,4399,0.493,1432,1861,0.769,831,2792,3623,1913,612,389,1159,1652,8687,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,98.2,0.247,0.368,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,805264,72,23.3,-1.01,1.02,0.0,1.56,3465,1674,-0.644527463,3.754815658,3.110288196,5.001566281,5.001566281,0.0,-0.687465028,3.396254989,2.708789961,-0.072451189,72,33,39,23.3,106.2,7.8,30.5,44.1,0.6,19.7,1.9,61.0,8.4,6.8,6.9,20.7,0.085,2.89
7,2019-20,2020,Hassan Whiteside,11,0.0,4.0,0.0,False,0.0,3.0,500.0,30,POR,NBA,C,67,61,30.0,6.5,10.5,0.621,0.1,0.1,0.571,6.4,10.4,0.622,0.624,2.4,3.6,0.686,3.9,9.7,13.5,1.2,0.4,2.9,1.8,2.9,15.5,2008,10.3,16.7,0.621,0.1,0.2,0.571,10.3,16.5,0.622,3.9,5.7,0.686,6.1,15.4,21.5,1.9,0.6,4.7,2.8,4.7,24.7,125.0,107,2008,25.0,0.644,0.01,0.34,13.6,33.3,23.6,5.9,0.6,8.4,12.9,19.6,5.6,3.0,8.5,0.204,2.5,0.7,3.2,2.6,74.0,17835,3122,6749,0.463,952,2525,0.377,2170,4224,0.514,1312,1632,0.804,754,2599,3353,1525,465,451,946,1606,8508,74.0,17835,3090,6781,0.456,1003,2619,0.383,2087,4162,0.501,1410,1828,0.771,852,2617,3469,1840,502,364,953,1488,8593,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,100.7,0.242,0.374,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,Moda Center,628303,67,30.0,-0.12,1.55,1.43,5.0,4457,2114,0.703384672,2.262651692,2.966036364,6.133294167,6.126033284,0.007260883,0.572632865,2.088606564,2.661239429,-0.577719287,67,34,33,30.0,112.0,9.7,29.4,43.5,0.4,10.6,2.9,64.7,8.6,9.3,9.4,28.1,0.06,3.31
8,2020-21,2021,Hassan Whiteside,-1,0.0,4.0,0.0,False,0.0,0.0,500.0,31,SAC,NBA,C,36,4,15.2,3.5,6.2,0.563,0.0,0.0,0.0,3.5,6.2,0.565,0.563,1.1,2.2,0.519,1.7,4.3,6.0,0.6,0.3,1.3,1.1,2.0,8.1,546,11.1,19.7,0.563,0.0,0.1,0.0,11.1,19.6,0.565,3.6,6.9,0.519,5.4,13.5,18.9,1.8,0.8,4.0,3.5,6.4,25.8,107.0,111,546,19.2,0.566,0.004,0.353,12.2,31.8,21.9,5.6,0.8,7.1,13.4,23.5,0.3,0.6,0.9,0.081,-1.8,-0.4,-2.2,0.0,72.0,17305,3067,6382,0.481,874,2400,0.364,2193,3982,0.551,1181,1585,0.745,674,2307,2981,1836,543,358,963,1400,8189,72.0,17305,3139,6438,0.488,893,2349,0.38,2246,4089,0.549,1283,1631,0.787,767,2489,3256,1823,545,336,988,1348,8454,31,41,28,44,-3.68,0.23,-3.45,113.6,117.2,100.0,0.248,0.376,0.549,12.0,21.3,0.185,0.557,12.1,75.0,0.199,Golden 1 Center,0,36,15.2,-0.65,-1.73,-2.38,-0.23,1171,546,-4.718248416582726,0.8206554802412876,-3.897592936341439,-0.3202165192554988,-0.3202165192554988,0.0,-3.948717277778744,-0.1270693876280461,-4.07578666540679,0.1681884117929787,36,16,20,15.2,114.5,4.3,26.9,41.5,0.3,12.0,1.3,70.8,6.4,4.9,3.6,16.7,0.028,0.93
9,2021-22,2022,Hassan Whiteside,-1,0.0,4.0,0.0,False,1.0,0.0,500.0,32,UTA,NBA,C,65,8,17.9,3.3,5.1,0.652,0.0,0.0,,3.3,5.1,0.652,0.652,1.6,2.6,0.623,2.6,5.0,7.6,0.4,0.3,1.6,0.8,2.8,8.2,1162,9.1,14.0,0.652,0.0,0.0,,9.1,14.0,0.652,4.4,7.1,0.623,7.1,14.0,21.0,1.1,0.9,4.4,2.3,7.6,22.7,132.0,104,1162,22.9,0.662,0.0,0.506,16.2,29.9,23.3,3.4,0.9,7.8,11.6,17.1,3.4,2.3,5.8,0.238,0.6,1.4,2.1,1.2,82.0,19730,3327,7067,0.471,1192,3308,0.36,2135,3759,0.568,1470,1916,0.767,884,2916,3800,1836,588,402,1149,1547,9316,82.0,19730,3314,7318,0.453,994,2837,0.35,2320,4481,0.518,1199,1581,0.758,809,2599,3408,1917,636,352,982,1664,8821,49,33,56,26,6.04,-0.37,5.67,116.7,110.5,97.1,0.271,0.468,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,Vivint Smart Home Arena,750546,65,17.9,0.51,-1.59,-1.08,3.35,2538,1227,1.007040496384917,2.261066520300096,3.268107016685014,3.765099817408517,3.595337777756708,0.1697620396518084,0.6617177243643372,2.279029457668741,2.940747182033078,-0.1274275832427365,65,40,25,17.9,109.0,5.0,27.5,38.9,0.3,11.7,1.6,71.5,6.8,4.8,4.7,17.6,0.06,2.45
