,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,2014-15,2015,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,19,MIN,NBA,SF,82,82,36.2,6.1,13.9,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1.0,0.6,2.2,2.3,16.9,2969,8.5,19.5,0.437,0.7,2.2,0.31,7.8,17.3,0.453,6.1,8.0,0.76,2.3,4.1,6.4,2.9,1.5,0.9,3.0,3.3,23.8,103,114,2969,13.9,0.517,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0.0,2.1,0.034,-0.4,-2.0,-2.4,-0.3,82.0,19805,2986,6820,0.438,406,1223,0.332,2580,5597,0.461,1638,2110,0.776,949,2406,3355,1771,668,327,1231,1571,8016,82.0,19805,3373,6933,0.487,697,1897,0.367,2676,5036,0.531,1294,1704,0.759,953,2619,3572,1933,686,449,1243,1751,8737,16,66,19,63,-8.79,0.79,-8.0,102.9,112.2,94.4,0.309,0.179,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187,Target Center,595652,82,36.2,-1.25,-1.1,-2.35,0.71,5905,2969,-0.354837003,-2.065055767,-2.41989277,0.499637899,0.499637899,0.0,-0.668120769,-1.933495988,-2.601616757,-0.077320287,82,16,66,36.2,111.3,2.9,8.5,13.5,1.0,16.9,0.6,20.0,13.1,11.6,10.9,36.0,0.021,-2.2
1,2015-16,2016,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,20,MIN,NBA,SF,81,81,35.1,7.3,16.0,0.459,0.7,2.3,0.3,6.6,13.6,0.486,0.481,5.3,7.0,0.761,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,20.7,2845,10.5,22.9,0.459,1.0,3.4,0.3,9.5,19.6,0.486,7.6,10.0,0.761,1.9,3.3,5.2,2.9,1.4,0.8,3.2,2.9,29.7,106,113,2845,16.5,0.543,0.147,0.437,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,3.4,0.7,4.1,0.069,0.9,-2.2,-1.3,0.5,82.0,19880,3095,6668,0.464,455,1347,0.338,2640,5321,0.496,1753,2213,0.792,821,2587,3408,1916,656,375,1231,1696,8398,82.0,19880,3276,6962,0.471,742,2089,0.355,2534,4873,0.52,1394,1842,0.757,877,2558,3435,1857,638,427,1220,1768,8688,29,53,31,51,-3.54,0.15,-3.38,106.5,110.1,95.2,0.332,0.202,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,Target Center,581178,81,35.1,-0.07,0.76,0.69,6.04,5755,2845,0.549237642,-0.773570037,-0.224332395,3.695434525,3.695434525,0.0,0.037444026,-0.715383028,-0.677939003,0.783050204,81,29,52,35.1,107.9,2.3,6.6,10.0,1.0,16.1,0.6,15.8,12.3,9.5,9.9,33.6,0.066,-1.4
2,2016-17,2017,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,21,MIN,NBA,SF,82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,3048,11.8,26.1,0.452,1.7,4.8,0.356,10.1,21.3,0.473,6.9,9.0,0.76,1.7,3.8,5.5,3.1,1.4,0.5,3.1,3.0,32.2,107,115,3048,16.5,0.534,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,3.3,0.9,4.2,0.066,0.7,-2.4,-1.7,0.2,82.0,19805,3235,6922,0.467,601,1723,0.349,2634,5199,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1150,1646,8657,82.0,19805,3246,6829,0.475,811,2213,0.366,2435,4616,0.528,1445,1881,0.768,806,2508,3314,1896,629,413,1169,1681,8748,31,51,38,44,-1.11,0.47,-0.64,110.8,112.0,94.6,0.287,0.249,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,Target Center,607203,82,37.2,-0.3,-1.9,-2.2,-0.73,6133,3048,1.438409163,-0.754787756,0.683621407,5.367522987,5.367522987,0.0,1.465841742,-0.409399439,1.056442303,0.513161696,82,31,51,37.2,111.3,2.8,7.7,11.5,1.0,16.9,0.4,10.6,13.5,10.0,10.9,35.5,0.062,-2.04
3,2017-18,2018,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,22,MIN,NBA,SF,82,82,36.3,6.9,15.9,0.438,1.4,4.1,0.331,5.6,11.7,0.475,0.481,2.5,3.8,0.643,1.0,3.4,4.4,2.0,1.1,0.6,1.7,2.0,17.7,2979,9.6,21.8,0.438,1.9,5.7,0.331,7.7,16.1,0.475,3.4,5.3,0.643,1.4,4.6,6.0,2.7,1.5,0.9,2.3,2.7,24.4,101,113,2979,13.0,0.505,0.26,0.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.034,-0.8,-1.7,-2.4,-0.3,82.0,19805,3365,7063,0.476,658,1845,0.357,2707,5218,0.519,1592,1980,0.804,848,2593,3441,1861,689,345,1021,1495,8980,82.0,19805,3298,6942,0.475,890,2431,0.366,2408,4511,0.534,1311,1683,0.779,803,2626,3429,1962,529,382,1239,1711,8797,47,35,47,35,2.23,0.12,2.35,113.4,111.1,96.0,0.28,0.261,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,Target Center,699308,82,36.3,-0.43,0.26,-0.17,2.74,6380,3143,-0.809241323,0.187632144,-0.621609179,3.413421304,3.480597688,-0.067176384,-0.433730489,0.383974871,-0.049755618,0.181178334,82,47,35,36.3,108.9,3.4,9.4,14.0,1.1,17.3,0.6,18.2,11.1,9.7,9.9,33.8,0.083,-0.66
4,2018-19,2019,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIN,NBA,SF,73,73,34.8,6.8,16.6,0.412,1.6,4.8,0.339,5.2,11.8,0.441,0.461,2.8,4.1,0.699,1.1,3.7,4.8,2.5,1.0,0.7,1.9,2.1,18.1,2543,9.4,22.8,0.412,2.2,6.6,0.339,7.2,16.2,0.441,3.9,5.6,0.699,1.6,5.1,6.6,3.5,1.3,0.9,2.6,2.9,24.9,100,115,2543,12.4,0.493,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.2,-1.8,-3.0,-0.6,82.0,19830,3413,7483,0.456,827,2357,0.351,2586,5126,0.504,1570,1995,0.787,923,2750,3673,2018,683,411,1074,1664,9223,82.0,19830,3452,7386,0.467,1041,2752,0.378,2411,4634,0.52,1401,1827,0.767,921,2822,3743,2145,539,455,1209,1795,9346,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,100.2,0.267,0.315,0.511,11.4,24.6,0.21,0.538,12.9,74.9,0.19,Target Center,627543,73,34.8,-0.94,0.06,-0.88,0.69,5381,2543,-1.122966346,-0.85350066,-1.976467006,1.000931361,1.000931361,0.0,-0.7462425,-0.354920193,-1.101162693,-0.272165923,73,31,42,34.8,111.9,3.7,9.9,14.9,1.0,17.0,0.7,18.2,11.1,11.1,9.8,35.4,0.069,-0.95
5,2019-20,2020,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,MIN,NBA,SF,42,42,34.6,8.4,18.8,0.444,2.2,6.5,0.331,6.2,12.3,0.505,0.502,3.5,4.9,0.72,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4,1455,11.2,25.2,0.444,2.9,8.8,0.331,8.3,16.4,0.505,4.8,6.6,0.72,1.5,5.5,7.0,4.9,0.9,1.1,3.4,3.2,30.1,104,115,1455,16.1,0.535,0.348,0.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,0.6,0.8,1.4,0.046,1.1,-1.5,-0.4,0.6,64.0,15560,2586,5865,0.441,853,2540,0.336,1733,3325,0.521,1223,1624,0.753,675,2193,2868,1525,555,362,981,1370,7248,64.0,15560,2760,5786,0.477,740,2040,0.363,2020,3746,0.539,1263,1613,0.783,647,2383,3030,1560,499,355,992,1383,7523,19,45,24,40,-4.3,0.28,-4.02,108.1,112.2,103.4,0.277,0.433,0.514,13.0,22.1,0.209,0.541,13.2,77.2,0.218,Target Center,482112,54,34.4,0.46,-1.64,-1.19,1.26,4005,1858,0.549653324,-2.08441729,-1.534763966,1.156946123,1.156946123,0.0,0.257764995,-1.701140843,-1.443375848,-0.090403886,54,15,39,34.4,112.8,3.9,11.0,16.0,0.8,15.0,1.0,22.9,13.5,9.5,10.0,34.5,0.062,-0.97
6,2019-20,2020,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,24,GSW,NBA,SF,12,12,33.6,7.2,15.7,0.457,1.7,4.9,0.339,5.5,10.8,0.512,0.511,3.4,5.1,0.672,1.5,3.1,4.6,3.6,1.3,1.4,2.1,2.2,19.4,403,10.2,22.3,0.457,2.4,7.0,0.339,7.8,15.3,0.512,4.9,7.2,0.672,2.1,4.4,6.5,5.1,1.9,2.0,3.0,3.1,27.7,106,113,403,17.5,0.542,0.314,0.324,4.7,10.3,7.4,18.2,1.9,3.8,10.4,25.4,0.2,0.3,0.5,0.064,1.0,-1.1,-0.1,0.2,65.0,15725,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,1214,1511,0.803,647,2138,2785,1663,534,299,969,1304,6912,65.0,15725,2743,5760,0.476,879,2261,0.389,1864,3499,0.533,1113,1422,0.783,661,2359,3020,1698,536,321,1016,1308,7478,15,50,16,49,-8.71,0.59,-8.12,105.2,113.8,100.3,0.264,0.355,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,Chase Center,614176,54,34.4,0.46,-1.64,-1.19,1.26,4005,1858,0.549653324,-2.08441729,-1.534763966,1.156946123,1.156946123,0.0,0.257764995,-1.701140843,-1.443375848,-0.090403886,54,15,39,34.4,112.8,3.9,11.0,16.0,0.8,15.0,1.0,22.9,13.5,9.5,10.0,34.5,0.062,-0.97
7,2020-21,2021,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,25,GSW,NBA,PF,71,71,33.3,7.1,14.9,0.477,2.0,5.2,0.38,5.1,9.7,0.529,0.543,2.4,3.4,0.714,1.2,3.7,4.9,2.4,0.9,1.0,1.8,2.2,18.6,2364,10.0,21.0,0.477,2.8,7.3,0.38,7.3,13.7,0.529,3.4,4.7,0.714,1.6,5.3,6.9,3.3,1.3,1.4,2.5,3.2,26.2,107,111,2364,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0,72.0,17305,2973,6347,0.468,1048,2789,0.376,1925,3558,0.541,1193,1520,0.785,574,2524,3098,1991,587,342,1080,1526,8187,72.0,17305,2897,6408,0.452,891,2481,0.359,2006,3927,0.511,1426,1834,0.778,769,2635,3404,1711,567,312,1083,1406,8111,39,33,38,34,1.06,0.04,1.1,111.1,110.1,102.2,0.239,0.439,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,Chase Center,33457,71,33.3,-1.4,2.72,1.31,7.31,5081,2364,-1.074320936975486,0.5044895260683512,-0.5698314109071348,2.623254993079645,2.623254993079645,0.0,-1.091905225859851,1.275691992661806,0.1837867668019542,-0.2409367796367574,71,38,33,33.3,109.1,3.7,10.6,15.3,0.9,16.9,1.0,31.4,12.2,9.7,9.6,31.9,0.112,1.32
8,2021-22,2022,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,GSW,NBA,SF,73,73,31.9,6.5,14.0,0.466,2.2,5.5,0.393,4.4,8.5,0.513,0.543,2.0,3.2,0.634,1.2,3.3,4.5,2.2,1.0,0.7,1.5,2.2,17.2,2330,9.9,21.3,0.466,3.3,8.4,0.393,6.7,13.0,0.513,3.1,4.9,0.634,1.8,5.0,6.8,3.4,1.6,1.1,2.3,3.3,26.3,109,109,2330,15.0,0.56,0.392,0.231,4.1,10.9,7.6,10.8,1.6,2.1,9.0,23.1,1.8,3.4,5.1,0.105,0.3,0.1,0.4,1.4,82.0,19730,3323,7087,0.469,1176,3231,0.364,2147,3856,0.557,1280,1665,0.769,800,2930,3730,2223,719,372,1221,1723,9102,82.0,19730,3111,7098,0.438,1000,2948,0.339,2111,4150,0.509,1426,1880,0.759,792,2705,3497,1875,649,317,1189,1474,8648,53,29,55,27,5.54,-0.02,5.52,112.5,106.9,98.4,0.235,0.456,0.552,13.5,22.8,0.181,0.509,13.0,78.7,0.201,Chase Center,740624,73,31.9,-0.7,4.34,3.64,12.64,6410,3096,0.2174240002378312,1.919715523130979,2.13713952336881,7.84809670593334,4.506061033232781,3.34203567270056,0.9363884359915297,2.406333216485763,3.342721652477293,0.0775978113386056,73,47,26,31.9,105.4,3.3,9.5,13.7,1.0,18.1,0.7,22.5,10.8,8.4,8.3,29.5,0.14,0.93
9,2022-23,2023,Andrew Wiggins,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,GSW,NBA,SF,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1,1190,9.9,21.0,0.473,3.5,8.9,0.396,6.4,12.1,0.53,1.7,2.9,0.611,2.4,5.0,7.4,3.4,1.8,1.1,1.9,4.2,25.1,113,114,1190,14.7,0.564,0.425,0.136,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,1.0,1.3,2.3,0.091,-0.1,-0.4,-0.5,0.5,82.0,19830,3538,7393,0.479,1363,3540,0.385,2175,3853,0.564,1314,1655,0.794,864,2793,3657,2446,588,323,1336,1757,9753,82.0,19830,3478,7423,0.469,1060,2915,0.364,2418,4508,0.536,1589,2067,0.769,880,2673,3553,2110,646,326,1172,1510,9605,44,38,45,37,1.8,-0.15,1.66,116.1,114.4,101.6,0.224,0.479,0.571,14.1,24.4,0.178,0.54,12.3,76.0,0.214,Chase Center,740624,37,32.2,-0.2,0.99,0.79,3.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,19,18,32.2,110.9,3.4,10.1,14.7,1.2,24.2,0.8,27.2,11.5,8.9,9.4,32.9,0.114,0.74
