,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc,GP_espn,MPG_espn,ORPM_espn,DRPM_espn,RPM_espn,WINS_espn,poss_raptor,mp_raptor,raptor_offense_raptor,raptor_defense_raptor,raptor_total_raptor,war_total_raptor,war_reg_season_raptor,war_playoffs_raptor,predator_offense_raptor,predator_defense_raptor,predator_total_raptor,pace_impact_raptor,GP_nba,W_nba,L_nba,MIN_nba,DEF RTG_nba,DREB_nba,DREB%_nba,%DREB_nba,STL_nba,STL%_nba,BLK_nba,%BLK_nba,OPP PTS OFF TOV_nba,OPP PTS 2ND CHANCE_nba,OPP PTS FB_nba,OPP PTS PAINT_nba,DEF WS_nba,D-LEBRON_bball
0,1993-94,1994,Aaron Williams,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,22,UTA,NBA,PF,6,0,2.0,0.3,1.3,0.25,0.0,0.0,,0.3,1.3,0.25,0.25,0.0,0.2,0.0,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.7,12,8.6,34.4,0.25,0.0,0.0,,8.6,34.4,0.25,0.0,4.3,0.0,4.3,8.6,12.9,4.3,0.0,0.0,4.3,17.2,17.2,58,106,12,-7.0,0.237,0.0,0.125,9.8,19.0,14.4,13.0,0.0,0.0,10.6,34.8,-0.1,0.0,-0.1,-0.327,-17.6,-6.3,-23.9,-0.1,82.0,19830.0,3207.0,6729.0,0.477,179.0,559.0,0.32,3028.0,6170.0,0.491,1761.0,2379.0,0.74,1059.0,2385.0,3444.0,2179.0,751.0,364.0,1191.0,1988.0,8354.0,82.0,19830.0,2973.0,6641.0,0.448,289.0,967.0,0.299,2684.0,5674.0,0.473,1773.0,2444.0,0.725,1100.0,2327.0,3427.0,1806.0,593.0,459.0,1318.0,1922.0,8008.0,53,29,53,29,4.22,-0.12,4.1,108.6,104.1,93.1,0.354,0.083,0.49,13.3,31.3,0.262,0.469,14.6,68.4,0.267,Delta Center,814502,0,0,0.0,0.0,0.0,0.0,24,12,-15.70849829,-3.848085999,-19.55658429,-0.106220365,-0.106220365,0.0,-14.10268244,-2.613143154,-16.71582559,3.108686111,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1994-95,1995,Aaron Williams,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,23,MIL,NBA,PF,15,0,4.8,0.5,1.6,0.333,0.0,0.1,0.0,0.5,1.5,0.348,0.333,0.5,0.8,0.667,0.3,0.9,1.3,0.0,0.1,0.4,0.5,0.9,1.6,72,5.8,17.3,0.333,0.0,0.7,0.0,5.8,16.5,0.348,5.8,8.6,0.667,3.6,10.1,13.7,0.0,1.4,4.3,5.0,10.1,17.3,78,105,72,7.0,0.41,0.042,0.5,8.1,24.1,15.9,0.0,1.4,6.2,19.3,22.3,-0.2,0.1,-0.1,-0.067,-8.7,-0.3,-9.0,-0.1,82.0,19855.0,3022.0,6586.0,0.459,494.0,1349.0,0.366,2528.0,5237.0,0.483,1608.0,2259.0,0.712,1063.0,2187.0,3250.0,1737.0,674.0,359.0,1393.0,1858.0,8146.0,82.0,19855.0,3248.0,6589.0,0.493,491.0,1242.0,0.395,2757.0,5347.0,0.516,1517.0,2081.0,0.729,1014.0,2337.0,3351.0,2103.0,770.0,407.0,1359.0,1973.0,8504.0,34,48,29,53,-4.37,0.07,-4.3,106.2,110.9,92.7,0.343,0.205,0.496,15.5,31.3,0.244,0.53,15.3,68.3,0.23,Bradley Center,670720,0,0,0.0,0.0,0.0,0.0,141,72,-8.659897562,0.136449933,-8.523447629,-0.21494261,-0.21494261,0.0,-8.179999268,-0.59445284,-8.774452108,1.267535855,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,1996-97,1997,Aaron Williams,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,DEN,NBA,C,1,0,10.0,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,3.0,4.0,0.0,6.0,10,15.6,26.0,0.6,0.0,0.0,,15.6,26.0,0.6,0.0,0.0,,10.4,15.6,26.0,0.0,0.0,15.6,20.8,0.0,31.2,64,94,10,19.1,0.6,0.0,0.0,23.1,33.8,28.5,0.0,0.0,20.5,44.4,40.2,-0.1,0.0,-0.1,-0.281,-7.9,2.4,-5.5,0.0,82.0,19930.0,2934.0,6687.0,0.439,636.0,1711.0,0.372,2298.0,4976.0,0.462,1516.0,1992.0,0.761,994.0,2452.0,3446.0,1889.0,503.0,487.0,1359.0,1784.0,8020.0,82.0,19930.0,3297.0,7063.0,0.467,484.0,1232.0,0.393,2813.0,5831.0,0.482,1457.0,1943.0,0.75,1086.0,2459.0,3545.0,1846.0,724.0,453.0,1057.0,1725.0,8535.0,21,61,24,58,-6.28,-0.12,-6.4,104.5,111.2,92.4,0.298,0.256,0.486,15.2,28.8,0.227,0.501,11.8,69.3,0.206,McNichols Sports Arena,340486,33,17.1,-1.05,1.33,0.28,1.23,1049,563,-0.556604795,-2.107725281,-2.664330076,0.0275452,0.0275452,0.0,-1.156569112,-1.867439092,-3.024008204,0.139434723,33,4,29,17.0,102.6,2.5,14.4,24.3,0.5,19.8,0.9,40.8,7.3,5.7,4.8,15.8,0.058,0
3,1996-97,1997,Aaron Williams,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,25,VAN,NBA,PF,32,1,17.3,2.6,4.5,0.573,0.0,0.0,0.0,2.6,4.4,0.577,0.573,1.0,1.5,0.673,1.9,2.4,4.3,0.5,0.5,0.8,0.9,2.3,6.2,553,8.0,14.0,0.573,0.0,0.1,0.0,8.0,13.9,0.577,3.2,4.8,0.673,5.9,7.7,13.5,1.5,1.6,2.6,2.7,7.1,19.3,113,110,553,16.4,0.599,0.007,0.343,12.4,16.6,14.5,4.8,1.6,3.6,14.5,16.2,0.8,0.4,1.2,0.104,-0.9,-0.7,-1.6,0.1,82.0,19780.0,2819.0,6453.0,0.437,445.0,1274.0,0.349,2374.0,5179.0,0.458,1230.0,1734.0,0.709,1023.0,2155.0,3178.0,1862.0,657.0,464.0,1301.0,1755.0,7313.0,82.0,19780.0,3092.0,6556.0,0.472,500.0,1369.0,0.365,2592.0,5187.0,0.5,1468.0,2018.0,0.727,1206.0,2426.0,3632.0,1974.0,725.0,461.0,1251.0,1593.0,8152.0,14,68,15,67,-10.23,0.06,-10.17,100.3,111.8,88.4,0.269,0.197,0.471,15.3,29.7,0.191,0.51,14.4,64.1,0.224,General Motors Place,683442,33,17.1,-1.05,1.33,0.28,1.23,1049,563,-0.556604795,-2.107725281,-2.664330076,0.0275452,0.0275452,0.0,-1.156569112,-1.867439092,-3.024008204,0.139434723,33,4,29,17.0,102.6,2.5,14.4,24.3,0.5,19.8,0.9,40.8,7.3,5.7,4.8,15.8,0.058,0
4,1997-98,1998,Aaron Williams,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,26,SEA,NBA,PF,65,9,11.6,1.8,3.4,0.523,0.0,0.0,0.0,1.8,3.4,0.525,0.523,1.0,1.3,0.776,0.7,1.5,2.3,0.2,0.3,0.6,0.8,1.8,4.6,757,8.1,15.5,0.523,0.0,0.1,0.0,8.1,15.5,0.525,4.7,6.0,0.776,3.4,7.0,10.4,1.0,1.3,2.7,3.5,8.4,20.9,105,103,757,13.4,0.575,0.005,0.386,7.7,15.4,11.6,3.0,1.3,3.8,16.3,18.8,0.7,1.0,1.7,0.105,-3.1,-0.2,-3.3,-0.2,82.0,19755.0,3052.0,6458.0,0.473,621.0,1569.0,0.396,2431.0,4889.0,0.497,1521.0,2109.0,0.721,931.0,2225.0,3156.0,1986.0,804.0,376.0,1145.0,1812.0,8246.0,82.0,19755.0,2896.0,6491.0,0.446,417.0,1287.0,0.324,2479.0,5204.0,0.476,1449.0,2001.0,0.724,1141.0,2314.0,3455.0,1825.0,640.0,403.0,1394.0,1824.0,7658.0,61,21,61,21,7.17,-0.84,6.33,111.6,103.6,89.8,0.327,0.243,0.521,13.4,28.7,0.236,0.478,15.9,66.1,0.223,KeyArena at Seattle Center,699952,65,11.6,-1.14,-1.86,-3.01,-0.06,1445,764,-3.095203045,-0.663721563,-3.758924608,-0.396152696,-0.337032078,-0.059120619,-3.188490784,-1.191626314,-4.380117098,0.520207182,65,49,16,11.6,98.3,1.5,12.8,21.5,0.3,11.7,0.6,48.1,4.4,3.4,3.8,10.1,0.053,0
5,1998-99,1999,Aaron Williams,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,27,SEA,NBA,PF,40,2,11.5,1.3,3.1,0.423,0.0,0.0,0.0,1.3,3.1,0.426,0.423,1.4,1.9,0.73,1.4,1.9,3.2,0.6,0.4,0.6,0.8,1.9,4.0,458,6.1,14.4,0.423,0.0,0.1,0.0,6.1,14.3,0.426,6.3,8.7,0.73,6.3,8.7,15.0,2.6,1.6,2.8,3.5,8.8,18.5,105,103,458,15.2,0.508,0.008,0.602,13.4,18.9,16.1,7.8,1.6,3.9,16.2,18.4,0.6,0.4,1.1,0.11,-1.7,0.1,-1.6,0.0,50.0,12100.0,1756.0,3976.0,0.442,309.0,899.0,0.344,1447.0,3077.0,0.47,922.0,1354.0,0.681,676.0,1422.0,2098.0,1087.0,393.0,201.0,765.0,1047.0,4743.0,50.0,12100.0,1838.0,4026.0,0.457,264.0,765.0,0.345,1574.0,3261.0,0.483,857.0,1187.0,0.722,652.0,1446.0,2098.0,1111.0,399.0,224.0,746.0,1165.0,4797.0,25,25,23,27,-1.08,-0.35,-1.43,105.0,106.2,89.6,0.341,0.226,0.481,14.3,31.9,0.232,0.489,14.1,68.6,0.213,KeyArena at Seattle Center,426800,40,11.5,-1.0,-0.6,-1.6,0.51,865,458,-1.628632436,-0.180059768,-1.808692204,0.220764372,0.220764372,0.0,-1.864312666,-0.445034661,-2.309347327,0.330384376,40,19,21,11.5,99.6,1.9,16.8,27.7,0.4,17.5,0.6,47.1,5.0,2.8,2.4,9.7,0.035,0
6,1999-00,2000,Aaron Williams,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,28,WAS,NBA,PF,81,0,19.1,2.9,5.6,0.522,0.0,0.0,0.0,2.9,5.5,0.526,0.522,1.8,2.5,0.726,2.0,3.1,5.0,0.7,0.5,1.1,1.0,2.9,7.6,1545,7.9,15.1,0.522,0.0,0.1,0.0,7.9,15.0,0.526,4.9,6.7,0.726,5.3,8.4,13.7,1.9,1.4,3.1,2.7,7.8,20.6,114,104,1545,17.7,0.572,0.007,0.447,11.7,18.9,15.2,6.2,1.4,4.3,12.9,17.8,3.2,1.6,4.8,0.15,0.0,0.4,0.3,0.9,82.0,19805.0,3010.0,6681.0,0.451,335.0,890.0,0.376,2675.0,5791.0,0.462,1566.0,2107.0,0.743,1064.0,2438.0,3502.0,1771.0,593.0,383.0,1320.0,2149.0,7921.0,82.0,19805.0,3005.0,6547.0,0.459,390.0,1052.0,0.371,2615.0,5495.0,0.476,1790.0,2405.0,0.744,962.0,2418.0,3380.0,1793.0,686.0,503.0,1225.0,1967.0,8190.0,29,53,32,50,-3.28,-0.19,-3.47,103.5,107.0,92.7,0.315,0.133,0.476,14.8,30.6,0.234,0.489,13.9,71.7,0.273,MCI Center,616593,81,19.1,0.27,1.3,1.57,4.15,3018,1545,0.609035047,0.514507977,1.123543024,3.058038234,3.058038234,0.0,0.303507846,0.518059013,0.821566859,0.144508197,81,29,52,19.1,102.3,3.1,16.2,26.4,0.5,17.0,1.1,51.4,6.7,5.1,5.3,14.1,0.051,0
7,2000-01,2001,Aaron Williams,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,29,NJN,NBA,PF,82,25,28.5,3.6,7.9,0.457,0.0,0.0,0.0,3.6,7.9,0.458,0.457,3.0,3.8,0.787,2.6,4.6,7.2,1.1,0.7,1.4,1.6,3.9,10.2,2336,6.6,14.5,0.457,0.0,0.0,0.0,6.6,14.5,0.458,5.5,6.9,0.787,4.7,8.5,13.2,2.0,1.3,2.5,3.0,7.1,18.8,106,103,2336,15.1,0.533,0.003,0.477,10.1,19.2,14.5,6.5,1.3,3.6,14.4,17.8,2.9,2.3,5.2,0.107,-1.3,-0.3,-1.6,0.2,82.0,19730.0,2781.0,6550.0,0.425,361.0,1084.0,0.333,2420.0,5466.0,0.443,1629.0,2146.0,0.759,909.0,2337.0,3246.0,1603.0,649.0,407.0,1208.0,1982.0,7552.0,82.0,19730.0,2937.0,6452.0,0.455,428.0,1189.0,0.36,2509.0,5263.0,0.477,1664.0,2231.0,0.746,1001.0,2622.0,3623.0,1840.0,619.0,522.0,1304.0,1808.0,7966.0,26,56,26,56,-5.05,-0.25,-5.3,100.0,105.5,91.8,0.328,0.165,0.452,13.9,25.7,0.249,0.488,14.9,70.0,0.258,Continental Airlines Arena,556573,82,28.5,-2.0,0.21,-1.79,1.61,4519,2336,-1.666391994,-0.229865953,-1.896257948,1.017985111,1.017985111,0.0,-1.75604446,0.044038089,-1.712006371,0.042844837,82,26,56,28.5,104.3,4.6,17.6,29.0,0.7,14.6,1.4,46.7,9.8,8.4,7.4,21.4,0.049,0
8,2001-02,2002,Aaron Williams,-1.0,0.0,0.0,0.0,False,0.0,0.0,500.0,30,NJN,NBA,PF,82,13,18.9,2.8,5.4,0.526,0.0,0.0,0.0,2.8,5.3,0.529,0.526,1.6,2.3,0.699,1.4,2.7,4.1,0.9,0.4,0.9,1.0,2.6,7.2,1546,7.8,14.8,0.526,0.0,0.1,0.0,7.8,14.8,0.529,4.4,6.3,0.699,3.9,7.6,11.5,2.6,1.0,2.6,2.7,7.2,20.0,111,100,1546,15.2,0.568,0.005,0.424,8.3,16.4,12.3,8.1,1.0,3.5,13.2,17.4,2.4,2.5,5.0,0.154,-1.4,0.9,-0.4,0.6,82.0,19830.0,3042.0,6816.0,0.446,403.0,1194.0,0.338,2639.0,5622.0,0.469,1402.0,1907.0,0.735,1039.0,2515.0,3554.0,1990.0,716.0,490.0,1189.0,1734.0,7889.0,82.0,19830.0,2858.0,6668.0,0.429,409.0,1175.0,0.348,2449.0,5493.0,0.446,1423.0,1890.0,0.753,999.0,2517.0,3516.0,1563.0,669.0,439.0,1317.0,1667.0,7548.0,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,91.8,0.28,0.175,0.476,13.4,29.2,0.206,0.459,14.9,71.6,0.213,Continental Airlines Arena,564194,82,18.9,-0.9,1.64,0.73,3.37,3800,1962,-1.486198212,0.897261554,-0.588936658,2.177692606,1.914513805,0.263178801,-1.813713469,0.672457232,-1.141256237,0.281518843,82,52,30,18.9,95.1,2.7,14.2,23.0,0.4,10.9,0.9,37.3,5.7,4.9,4.1,13.0,0.097,0
9,2002-03,2003,Aaron Williams,-1.0,0.0,0.0,0.0,False,1.0,0.0,500.0,31,NJN,NBA,C,81,0,19.7,2.5,5.4,0.453,0.0,0.0,0.0,2.5,5.4,0.454,0.453,1.3,1.6,0.785,1.7,2.4,4.1,1.1,0.3,0.7,1.0,2.5,6.2,1597,6.5,14.4,0.453,0.0,0.0,0.0,6.5,14.4,0.454,3.3,4.3,0.785,4.5,6.4,10.9,2.9,0.9,1.9,2.8,6.8,16.4,103,100,1597,11.9,0.504,0.002,0.296,9.8,13.9,11.8,9.0,0.9,2.7,14.6,16.4,1.2,2.4,3.7,0.11,-2.2,0.6,-1.6,0.2,82.0,19755.0,2906.0,6585.0,0.441,346.0,1041.0,0.332,2560.0,5544.0,0.462,1662.0,2195.0,0.757,991.0,2528.0,3519.0,1887.0,717.0,374.0,1212.0,1772.0,7820.0,82.0,19755.0,2757.0,6461.0,0.427,425.0,1185.0,0.359,2332.0,5276.0,0.442,1453.0,1941.0,0.749,932.0,2461.0,3393.0,1607.0,693.0,423.0,1358.0,1880.0,7392.0,49,33,56,26,5.22,-0.8,4.42,103.8,98.1,91.6,0.333,0.158,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,622574,81,19.7,-2.0,-0.12,-2.12,1.01,3727,1937,-2.655599097,0.255289794,-2.400309303,0.379164799,-0.323429223,0.702594022,-2.70907708,-0.003271404,-2.712348484,-0.074571695,81,49,32,19.8,96.2,2.4,11.9,19.2,0.3,9.0,0.7,35.2,6.6,5.2,4.4,14.5,0.089,0
